,company,datePublished,author,headline,description,articleBody,tags,url
0,AA01,2019-12-06T16:10:01+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Amtek Auto Limited,"Amtek Auto Limited has informed the Exchange that the Register of Members &amp;amp; Share Transfer Books of the Company will remain closed from December 24, 2019 to December 27, 2019 (both days inclusive) for the purpose of Annual General Meeting of the Company (AGM).","Amtek Auto Limited has informed the Exchange that the Register of Members &amp;amp; Share Transfer Books of the Company will remain closed from December 24, 2019 to December 27, 2019 (both days inclusive) for the purpose of Annual General Meeting of the Company (AGM).Source : NSE",Announcements,https://www.moneycontrol.com//news/announcements/amtek-auto-limited_13249881.html
1,AA01,2019-11-21T22:39:05+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",Amtek Auto Q2 net loss widens to Rs 92.24 cr,"Total revenue of the company declined to Rs 194.24 crore as compared to Rs 300.84 crore in the year-ago period, Amtek Auto said in a regulatory filing.  ","Debt-ridden auto component maker Amtek Auto on&nbsp;November 21 reported widening of its net loss to Rs 92.24 crore for the second quarter ended September 30, 2019. The company had posted a net loss of Rs 67.25 crore for the July-September period of 2018-19.  Total revenue of the company declined to Rs 194.24 crore as compared to Rs 300.84 crore in the year-ago period, Amtek Auto said in a regulatory filing.  In July 2017, the company went into corporate insolvency resolution process after the National Company Law Tribunal (NCLT), Chandigarh admitted a plea of Corporation Bank.  The tribunal appointed Dinkar T Venkatasubramanian as Interim Resolution Professional (IRP) to manage the company's operations.  Trading of Amkek Auto's stock on the BSE has been suspended for &amp;quot;penal reasons&amp;quot;, BSE said without giving details.","Amtek Auto, Business, Results",https://www.moneycontrol.com//news/business/amtek-auto-q2-net-loss-widens-to-rs-9224-cr_13204921.html
2,AA01,2019-08-20T10:13:44+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/mint-8731/', 'name': 'Mint'}",Lenders upset with Sanjeev Gupta for taking Liberty with top bids,,"Highlights: - Liberty House has backed out after placing the winning bids for Amtek Auto, ABG Shipyard and Adhunik Metaliks - Angry lenders have since sued Liberty House and want the firm barred from bidding for distressed assets in India under the IBC -------------------------------------------------  When an insolvency appeals court ordered the liquidation of bankrupt Amtek Auto last week, lenders lost hope of recovering much of the dues worth Rs 12,603 crore owed by the once thriving auto parts maker.  Many of Amtek&rsquo;s lenders are now directing their anger at Sanjeev Gupta, Chairman of London-based metals company Liberty House, which, after placing a winning bid to acquire Amtek Auto, backed out abruptly at the last moment, scuppering the bankruptcy process.  It&rsquo;s not the first time that Liberty House has stumbled after placing a winning bid. This has been a pattern, lenders say. It has reneged on two previous occasions &mdash; one after emerging as the top bidder for ABG Shipyard and the other in the case of Adhunik Metaliks in a similar way.  Angry lenders have since sued Liberty House and want the firm barred from bidding for distressed assets in India under the Insolvency &amp;amp;amp; Bankruptcy Code (IBC).  &ldquo;It&rsquo;s been a colossal loss for lenders,&rdquo; a senior banking executive, who was on the committee of creditors of two of these assets, said on condition of anonymity. &ldquo;We want Liberty House to be blacklisted. In the case of Adhunik Metaliks, we will appropriate the Rs 55 crore that has been paid to us (by Liberty House). But we also want Liberty House to be penalised for the cost of delay in resolution and for how much the asset has deteriorated since their resolution plans were approved.&rdquo;  More than a year after being declared the successful bidder, Liberty House has failed to pay the Rs 4,400 crore it offered to acquire Amtek. Gupta also reneged on the resolution amount for Adhunik Metaliks, where he offered Rs 600 crore against a combined loan default of Rs 5,000 crore by the metals group. In the case of ABG Shipyard, Liberty House was the sole bidder, offering Rs 5,200 crore (with Rs 400 crore upfront) against the Rs 18,245 crore that the shipbuilder owed banks.  All three cases are now heading towards liquidation. In March, Liberty House also withdrew its resolution plan for Amtek Ring Gears, a unit of Amtek Auto, long after being declared the winning bidder. The insolvency court imposed a cost of Rs 1 lakh on Liberty House for its casual approach to the resolution process, but allowed it to withdraw its bid.  &ldquo;It&rsquo;s still possible to revive Adhunik Metaliks,&rdquo; the banker said. &ldquo;We have received some interest from miners in Odisha who are keen on the steel plant, some private equity investors and a large auto component company. But it&rsquo;s unlikely any of them will match Liberty House&rsquo;s bid. The liquidation process in this case has been stayed for now. In the case of Amtek Auto, I don&rsquo;t know if Deccan Value Investors (which had originally offered a competing bid of about Rs 3,150 crore) is still interested. We intend to follow through on the criminal charges against Liberty House and Sanjeev Gupta.&rdquo;  In May, the Insolvency and Bankruptcy Board of India, the bankruptcy regulator, charged Liberty House and its senior executives with wilfully breaching the terms of the Amtek Auto resolution plan.  A year ago, when Mint had interviewed Gupta, the London-based entrepreneur said he wanted to make an investment commitment of as much as $10 billion to India. Liberty House is part of the Gupta Family Group Alliance, a closely held but loosely linked collection of the family&rsquo;s various business interests in the UK, European Union and Australia.  In July, Liberty Steel completed a 740 million euro acquisition of seven major steelworks and five service centres across seven European countries from ArcelorMittal, after which it became one of the world&rsquo;s top 10 steel producers outside China.  Gupta&rsquo;s plan at the time, he said, was to manufacture &lsquo;green steel&rsquo; in India from steel scrap that he could source from breaking old ships at the shipyard, and then send it down the value chain of steel-making at Adhunik and manufacture auto components at Amtek.  In response to questions over doubts about the credibility of his offers and his funding lines at the time, Gupta had said: &ldquo;In my opinion, (we should be) welcomed with open arms rather than with questions. We&rsquo;re not taking money from anybody but using our own money. Where are you coming from, where is the money from &mdash; why are there these questions?&rdquo;  A spokesperson for Liberty House did not respond to emailed queries for this report.  &ldquo;I believe Liberty House found it difficult to raise the funds needed to follow through on their resolution commitments,&rdquo; said an investment banker, who advises several resolution applicants. &ldquo;In India, most acquisition funding raised for stressed assets has been through local banks, which are comfortable lending to, say, JSW Steel (for Monnet Ispat) or Tata Steel (for Bhushan Steel). They are less comfortable lending to an outsider like Liberty House, whose foreign credit lines may not be accessible for India.&rdquo;  &ldquo;What a resolution plan can offer also depends on industry cycles,&rdquo; said the investment banker. &ldquo;With the massive slowdown in the automobile sector in India, auto component makers have been hit hard. It&rsquo;s a bad time to put money into the business and easier to let the resolution plan lapse. Liberty House may have been keen on steel-making, but will be much less interested now in non-core assets, like the shipyard and Amtek Auto.&rdquo;  Though IBC took off with much fanfare, three years on, it is struggling to close several of the original &ldquo;dirty dozen&rdquo; bad assets even as bankruptcy courts heave under the burden of too many cases being filed. &ldquo;First, IBC is seeing endless delays. And now, there are cases such as these, which fail at the last mile,&rdquo; the investment banker said. &ldquo;The story of this financial year is that IBC is not the preferred option for banks if they want to resolve bad loans. They want to stay out of the legal system and take one-time settlements instead, either from existing promoters or new buyers.&rdquo;","Business, IBC, Liberty House, Sanjeev Gupta",https://www.moneycontrol.com//news/business/lenders-upsetsanjeev-gupta-for-taking-libertytop-bids_12909081.html
3,AA01,2019-08-16T19:05:05+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",NCLAT orders liquidation of Amtek Auto,A three-member bench headed by Chairperson Justice S J Mukhopadhaya directed the Chandigarh bench of the National Company Law Tribunal (NCLT) to pass an order of liquidation as 270 days mandated under IBC for finalising a resolution plan have already lapsed.  ,"The National Company Law Appellate Tribunal (NCLAT) on August 16 ordered liquidation of debt-ridden Amtek Auto as it declined lenders' request for extension of insolvency resolution process deadline. Amtek Auto was among the first list of 12 companies which were referred by the RBI in 2017 to respective banks for initiation of insolvency process for defaults.  UK-based Liberty House was selected as the highest bidder by the committee of creditors (CoC) of Amtek Auto. However, it later backed out citing some reasons following which the lenders requested 90 days more time to find a new buyer.  A three-member bench headed by Chairperson Justice S J Mukhopadhaya directed the Chandigarh bench of the National Company Law Tribunal (NCLT) to pass an order of liquidation as 270 days mandated under IBC for finalising a resolution plan have already lapsed.  &amp;quot;We are neither inclined to give any direction as was sought for by the CoC nor to exclude any period calling for fresh Resolution Plan,&amp;quot; NCLAT said in an order Friday.  It further said,&amp;quot;more than 270 days having passed, the Adjudicating Authority (NCLT) will pass appropriate order of liquidation, which will be in accordance with law.&amp;quot;  The Insolvency and Bankruptcy Code (IBC) mandates completion of insolvency process within 180 days with an extension of 90 days, failing which liquidation has to be initiated against the corporate debtor.  NCLAT also observed that there was no extraordinary situation in the resolution process of Amtek Auto to exclude 90 days period.  &amp;quot;In absence of any extraordinary situation and the fact that more than 270 days have already passed, we find no ground to exclude any period,&amp;quot; it said adding &amp;quot;once a plan is approved by the NCLT under Section 31, if it is not implemented, that cannot be a ground to exclude any period.&amp;quot;  NCLAT also observed that the CoC could request NCLT for considering a pending resolution plan or to call for a fresh one only if the earlier resolution plan is approved within the stipulated deadline.  Corporate Insolvency Resolution Process of Amtek Auto was initiated on July 24, 2017 by NCLT and lenders of the company had selected the resolution plans by two firms - UK-based Liberty House Group Pte Ltd, and Deccan Value Investors LP.  Later, Deccan Value Investors withdrew from the race and a revised plan of Liberty House was selected by the CoC on April 2, 2018 with 94.20 per cent votes.  However, Liberty House backed out from the race and even refused to furnish the performance guarantee and other terms and conditions which were approved.  Following this, the CoC encashed Liberty House's Rs 50 crore Bid Bond Guarantee and requested NCLT to grant another 90 days to the resolution professional (RP) to make another attempt for a fresh process and to debar the UK-based firm.  NCLT said there was no scope for going beyond 270 days and starting the process to publish re-advertisement and invite fresh plans etc would defeat the IBC, which mandates time-bound resolution.  Meanwhile, Liberty House informed NCLT that it had found discrepancies in the condition of machineries, valuations and representations made in the Information Memorandum and found it to be incorrect, false and reflecting inflated values.  Liberty House Group alleged that RP was to provide Information Memorandum with the relevant information, including the liquidation value of Amtek Auto.  It further contended that investment of Amtek Auto was overvalued in the liquidation reports and it wanted to submit fresh plan after coming to know about discrepancies.  However, NCLT rejected all pleas, following which all parties approached the appellate tribunal -- NCLAT, which also declined to extend the deadline.  Over contentions by Liberty House for non-compliance of its offer for Amtek Auto, NCLAT said it &amp;quot;cannot be deliberated by this Appellate Tribunal&amp;quot; as the grounds shown by it were &amp;quot;genuine or it attracts punishment&amp;quot;.  It has given liberty to RP and CoC of Amtek Auto to move an application before NCLT &amp;quot;to decide as to whether the matter is required to be referred to the Insolvency and Bankruptcy Board of India or the central government for taking any action.&amp;quot;","Amtek Auto, Business, Market news, NCLAT",https://www.moneycontrol.com//news/business/nclat-orders-liquidationamtek-auto_12900881.html
4,AA01,2019-03-28T20:25:05+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",Lenders ask for fresh round of bidding for Amtek Auto at NCLAT,NCLAT listed the matter for next hearing on April 22 and said 'CoC would not approve any other plan' in between.  ,"Lenders of Amtek Auto on Thursday sought permission from the NCLAT to conduct a second round of bidding for the debt-ridden auto component maker after the highest bidder UK-based Liberty House backed out. The Committee of Creditors (CoC) led by Corporation Bank informed the National Company Law Appellate Tribunal (NCLAT) that the second highest bidder Deccan Value Investors LP is also considering to submit a revised offer.  However, an NCLAT bench headed by Chairman Justice S J Mukhopadhaya said it would like to hear Deccan Value Investors and Amtek Auto's former promoters on the matter.  NCLAT listed the matter for next hearing on April 22 and said &amp;quot;CoC would not approve any other plan&amp;quot; in between.  It also said the Resolution Professional (RP) will continue to function and would &amp;quot;ensure that the company remains a going concern.&amp;quot;  According to reports, Deccan Value Investors, which had emerged as the second highest resolution applicant for Amtek Auto, had placed a bid of Rs 3,150 crore.  Amtek Auto has a total debt of Rs 12,603 crore and the liquidation value of its assets was determined at Rs 4,119 crore.  Liberty House had offered Rs 4,025 crore, including upfront payment of Rs 3,225 crore and a fresh infusion of Rs 500 crore for stabilising and improving operations.  However, Liberty House backed out of the process.  Earlier this month, NCLAT had allowed the withdrawal of Liberty House's bid for ARGL, an Amtek subsidiary.  Amtek is an integrated auto component manufacturer with operations across forging, iron and aluminium casting, machining and sub-assemblies.  In July 2017, NCLT had admitted insolvency proceedings initiated by a consortium of banks led by Corporation Bank.","Amtek Auto, Business, Market news, NCLAT",https://www.moneycontrol.com//news/business/lenders-ask-for-fresh-roundbidding-for-amtek-auto-at-nclat_12306121.html
5,AA01,2019-01-07T22:49:05+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",NCLAT asks Liberty House if it wants to go ahead with resolution plan for Amtek Auto,The appellate tribunal has also asked the Committee of Creditors (CoC) if it has a higher bid for Amtek Auto other than that of Liberty House or not.  ,"The National Company Law Appellate Tribunal (NCLAT) has asked if UK-based Liberty House is willing to go ahead with its resolution plan for the debt-ridden Amtek Auto in which it has emerged as the highest bidder.  The appellate tribunal has also asked the Committee of Creditors (CoC) if it has a higher bid for Amtek Auto other than that of Liberty House or not.  A two-member bench of the appellate tribunal headed by Justice S J Mukhopadhaya has asked the counsel of the respective parties to take instruction from the client and inform the bench.  The NCLAT has issued notice to the CoC, resolution professional (RP) of Amtek Auto and directed to list the matter on January 22 for the next hearing.  The appellate tribunal was hearing a petition filed by Liberty House.  During the proceedings, senior advocate A S Chandiok representing Liberty House said that once the CoC recommends the adjudicating (NCLT) after selecting the highest bidder, it does not have power to call it back.  &amp;quot;If somebody wants to give more money, then we are ready to look at it. They should tell us the new amount, which they are getting,&amp;quot; said Chandiok.  In March last year, Liberty House, part of Sanjeev Gupta's global industrial group GFG Alliance, said it emerged as the successful highest bidder for Amtek Auto.  Following which, RP of Amtek Auto submitted resolution plan as approved by CoC to the Adjudicating Authority (NCLT) for approval under section 30 of Insolvency &amp;amp;amp; Bankruptcy Code.  However, Liberty House made no payments despite repeated requests from the RP to do so, the lenders said.  It has also not submitted a bank guarantee of Rs 100 crore to lenders, following which they filed an application before NCLT to cancel the approval as it failed to pay.  The CoC had also sought to bar Liberty House from bidding for any insolvent company.","Amtek Auto, Business, India, Liberty House",https://www.moneycontrol.com//news/business/nclat-asks-liberty-house-if-it-wants-to-go-aheadresolution-plan-for-amtek-auto_11921881.html
6,AA01,2018-11-08T22:44:04+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",CCI clears Liberty House's buyout of Amtek Auto,"Mergers and acquisitions beyond a certain threshold require the approval of the Competition Commission of India (CCI), which keeps a tab on unfair business practices across sectors.","The Competition Commission has approved Liberty House's proposed acquisition of debt-laden Amtek Auto, according to a tweet.  In July, the National Company Law Tribunal (NCLT) gave its nod for the deal.  &amp;quot;@CCI_India approves acquisition of Amtek Auto Limited by Liberty House,&amp;quot; the regulator said in a tweet.  Mergers and acquisitions beyond a certain threshold require the approval of the Competition Commission of India (CCI), which keeps a tab on unfair business practices across sectors.  Amtek is into making auto components  Incorporated in Singapore, Liberty House is a private limited company and a wholly-owned subsidiary of Liberty Global Holding Ltd. The principal activity of the company is that of an investment holding company, as per the notice submitted to the CCI.","Amtek Auto, Business, India, Liberty House",https://www.moneycontrol.com//news/business/cci-clears-liberty-house39s-buyoutamtek-auto_11664161.html
7,AA01,2018-09-20T11:52:14+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",Videocon auction: Banks may appoint common financial advisor,"The proposal was discussed by all the lenders, led by State Bank of India, in a meeting on September 17 where many stakeholders gave inputs as to how this process can be made simpler","Moneycontrol News  Lenders to consumer electronics major Videocon may appoint a common financial advisor for the auction process for 15 of its group companies against which they have initiated bankruptcy proceedings, sources told The Economic Times.  The banks want to run a coordinated auction process to ensure that the timeline for circulation of proposals to prospective buyers and the receipt of final bids and resolution plans remain the same for all the entities on the block.  Many of Videocon's group companies have inter-linked operations, which is why it would be easy for bidders to submit combined bids for a group of entities rather than different plans for each, sources told the newspaper.  Lenders are trying to avoid an Amtek Auto-like situation where bidders had to submit a separate resolution plan for all entities with linked operations, which ultimately delayed the whole process, a banking official was quoted as saying.  The proposal was discussed by all the lenders, led by State Bank of India, in a meeting on&nbsp;September 17&nbsp;where&nbsp;many stakeholders gave inputs as to how this process can be made simpler. Legal advisors and resolution professionals were also present at the meeting.  Insolvency courts have admitted petitions for many entities of the Videocon Group but orders have been reserved in some cases where the promoter's arguments are still being heard.  Banks have already submitted proofs of claims against the companies and are now waiting for the formal process to begin. Once that happens, the lenders&nbsp;can&nbsp;proceed with valuation of the assets to be sold and appoint due diligence experts wherever necessary.  Videocon has split up its core electronics business into smaller entities, each of which deal with a different aspect of the larger business. Some of them are involved in manufacturing, some are responsible for distribution and sales, while others own various brands.  The company is one of the 28 defaulters identified by the Reserve Bank of India against which insolvency proceedings can be initiated.","Business, India, insolvency, Videocon",https://www.moneycontrol.com//news/business/videocon-auction-banks-may-appoint-common-financial-advisor_11446841.html
8,AA01,2018-07-25T22:24:08+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",NCLT approves Liberty House bid for Amtek Auto,"Amtek is one of the largest integrated auto component manufacturers in India with operations across forging, iron and aluminium casting, machining and sub-assemblies.","The National Company Law Tribunal (NCLT) today approved bid of UK-based Liberty House to acquire the debt ridden Amtek Auto. The Chandigarh bench of the NCLT has approved the Liberty House bid on recommendation of the Committee of Creditors (CoC) of the company.  &amp;quot;The Adjudicating Authority (NCLT) has been pleased to approve the resolution plan submitted by Liberty House Group Pte Ltd,&amp;quot; Amtek Auto informed BSE.  Amtek has a total debt of Rs 12,603 crores and the liquidation value of its assets was determined at Rs 4,119 crores. Liberty House has offered Rs 3,225 crore affront and fresh infusion for stabilising and improving operations to the tune of Rs 500 crores. The total resolution amount stands at Rs 4,025 crores.  &amp;quot;The total potential recovery by the Financial Creditors has been calculated at Rs 4,404 crore,&amp;quot; NCLT has said in its orders.  It further said:&amp;quot;The resolution plan submitted by LHG Pte Limited is found to be in conformity with sub-section (2) of Section 30 of the IBC Code and the same is approved with the modification that the timelines given in the resolution plan shall stand extended during the period&amp;quot;.  Amtek is one of the largest integrated auto component manufacturers in India with operations across forging, iron and aluminium casting, machining and sub-assemblies.  In July last year, NCLT had admitted insolvency proceedings initiated by a consortium of banks led by Corporation Bank.","Business, Companies, Current Affairs, India",https://www.moneycontrol.com//news/business/nclt-approves-liberty-house-bid-for-amtek-auto_11203801.html
9,AA01,2018-06-25T17:17:45+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",Sanjeev Gupta's Liberty House enters US steel sector,To invest $1 billion in the next one year in acquisition of more assets.,"Moneycontrol News  Liberty House, the UK-based company owned by Sanjeev Gupta, restarted a steel facility in South Carolina on Monday, marking the entry of the Group in the US market.  The facility, which has a rolling capacity of 750,000 tons a year, was shuttered in 2015, before Gupta acquired it last year.  The billionaire industrialist, who is also vying for several stressed assets in India, is looking to invest $1 billion in the US to acquire and develop steel, aluminium, engineering, mining, energy generation, and financial services assets.  Liberty House is part of the Gupta family's GFG Alliance Group.  &amp;quot;The Group is also establishing a New York regional head office as a hub for its global business,&amp;quot; said a statement from the Group.  Overall, the Group plans to invest $5 billion &amp;quot;over the next few years.&amp;quot;  &amp;quot;It marks our first step into the American market and is as much a milestone for us in the USA as the restart of Liberty Steel Newport after a similar shutdown period was in the UK. That triggered a cascade of major acquisitions, investments and turnaround successes for GFG in the UK. I very much hope and expect that a similar journey has started today for our family in the USA,&amp;quot; Gupta said.  In India, the entrepreneur is in race of several of the distress assets that have been referred to the insolvency courts. The assets include Amtek Auto and Bhushan Power &amp;amp;amp; Steel. His Liberty House is also said to be in the race for Usha Martin.","Business, Companies, Liberty House, Sanjeev Gupta",https://www.moneycontrol.com//news/business/sanjeev-gupta39s-liberty-house-enters-us-steel-sector_11051101.html
