,company,datePublished,author,headline,description,articleBody,tags,url
0,ADANI54145,2023-12-05T09:10:31+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",Adani Green seals $1.36 billion funding,"Adani Green Energy said on Tuesday it received a follow-on funding of $1.36 billion via senior debt facility, boosting its construction financing framework - which is backed by a consortium of international banks - to $3 billion.","Adani Green Energy&nbsp;(AGEL) has received a follow-on funding of $1.36 billion via senior debt facility, boosting its construction financing framework - which is backed by a consortium of international banks - to $3 billion, the company announced on December 5.  Vneet S Jaain, MD, AGEL, said the extension of the construction financing framework to $3 billion is a historic landmark and will boost the development of Khavda site which is poised to become the world&rsquo;s largest renewable energy park with a generation capacity of 17 GW.  The definitive agreements have been executed with eight leading international banks, which are all returning lenders and instrumental in establishing AGEL&rsquo;s construction financing framework since March 2021. The green loan facility has been extended by consortium of lenders which include&ndash; BNP Paribas, Coöperatieve Rabobank U.A., DBS Bank Ltd, Intesa Sanpaolo S.p.A., MUFG Bank, Ltd., Societe Generale, Standard Chartered Bank and Sumitomo Mitsui Banking Corporation.  Amit Singh, CEO, AGEL, said the company is committed to deliver low-cost green electrons by leveraging technology, accelerating digital transformation, and continued focus on development and operational excellence. &amp;quot;We are committed to expand our renewable power capacity to 45 GW by 2030 underscoring our dedication to mitigate climate change risks,&amp;quot; he said.  Adani Green Energy Limited (AGEL) is India&rsquo;s largest renewable energy solutions partner. AGEL develops, owns, and operates utility-scale grid- connected solar, wind and hybrid renewable power plants. With a locked-in growth trajectory up to 20.4 Gigawatt (GW), AGEL currently has an operating renewable portfolio of 8.4 GW, the largest in India, spread across 12 states, offsetting over 41 million tonnes of CO2 emissions cumulatively.","Business, Companies",https://www.moneycontrol.com//news/business/adani-green-seals-36136-billion-funding_17359711.html
1,ADANI54145,2023-08-07T14:55:27+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/reuters-6885/', 'name': 'Reuters'}",QIA likely to have picked up shares worth $500 million in Adani Green,"Over 1.1 million shares of the Adani Group-owned renewable power producer changed hands in fourteen block deals as of 2 p.m. IST, as per data from Refinitiv, in a price range of 882 to 954 rupees per share","Qatar Investment Authority (QIA) likely picked up shares worth $500 million in India's Adani Green Energy via block deals on August 7, ET Now reported, citing sources.  Over 1.1 million shares of the Adani Group-owned renewable power producer changed hands in&nbsp;14 block deals as of 2 pm IST, as per data from Refinitiv, in a price range of Rs 882-954 per share.  QIA's potential investment in the billionaire Gautam Adani-owned firm comes at a time when the group is coming out of the impact caused by US-based Hindenburg Research said it held short positions in the conglomerate in January.  The short seller's report battered investor confidence and wiped out nearly $147 billion from Adani companies' market value.  Shares of its group companies have rebounded but are still down around $100 billion in value.  QIA and Adani Green did not immediately respond to Reuters' request for comment.  Shares of Adani Green fell as much as 12.59 percent earlier on August 7, but have trimmed most of their losses. The stock was trading down 3.3 percent, as of 2:30 p.m IST.","Business, Companies",https://www.moneycontrol.com//news/business/qia-likely-to-have-pickedshares-worth-36500-millionadani-green_17161351.html
2,ADANI54145,2023-07-31T14:57:37+05:30,"{'@type': 'Person', 'name': 'Shubham Raj'}",Adani Green Energy Q1 net profit jumps 51% to Rs 323 crore,"The company said its revenue from power supply was up by 55 percent YoY at Rs. 2,059 crore.","Adani Green Energy on July 31 reported a consolidated net profit of Rs 323 crore for the quarter ended June 2023, up 50.93 percent from Rs 214 crore last year.  The company's total revenue stood at Rs 2,404 crore, up 41.32 percent from Rs 1,701 crore reported last year.  The company said its revenue from power supply was up 55 percent on-year at Rs. 2,059 crore. Earnings before interest, taxes, depreciation, and amortisation (EBITDA) from power supply increased by 53 percent YoY to Rs 1,938 Cr with a high EBITDA margin of 92.5 percent.  Operational Capacity increases by 43% to 8,316 MW YoY with addition of 1,750 MW solar&ndash;wind Hybrid, 212 MW solar and 554 MW wind power plants over the last one year.  Solar portfolio Capacity Utilisation Factor (CUF) at 26.9 percent with 40 basis points improvement YoY, the company said. Wind portfolio CUF at 38.7 percent with 830 basis pints reduction YoY.  The reduction is primarily due to relatively lower wind speed, which was higher last year. Overall Hybrid portfolio CUF stands at a strong 47.2 percent.&nbsp;Sale of Energy increases by 70 percent YoY at 6,023&nbsp;million units in Q1FY24&nbsp;versus 3,550&nbsp;million units in Q1 FY23.  &ldquo;The robust growth in revenue, EBITDA and cash profit is primarily driven by capacity addition of 2,516 MW over the last one year. The consistent industry-leading EBITDA margin is driven by AGEL&rsquo;s best-in-class O&amp;amp;amp;M practices enabling it to achieve higher electricity generation at lower O&amp;amp;amp;M companies,&rdquo; said the company.","Adani Green Energy, Results",https://www.moneycontrol.com//news/results/adani-green-energy-q1-net-profit-jumps-51-to-rs-323-crore_17143841.html
3,ADANI54145,2023-02-07T16:29:25+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","Adani Green Energy net profit surges 110%, revenue 41% in Q3",Bottom line got a significant boost as share of profit from joint ventures and associates came in at Rs 44 crore for the quarter against Rs 1 crore in Q3 FY22,"Adani Green Energy on February 7 said consolidated net profit zoomed 110 percent to Rs&nbsp;103 crore for the quarter ended December 31, 2022, from Rs 49 crore in the year-ago period. The bottom-line got a significant boost as share of profit from joint ventures and associates came in at Rs 44 crore for the quarter against Rs 1 crore in Q3 FY22.  Consolidated&nbsp;revenue from operations rose 41 percent on year to Rs 1,973 crore, from Rs&nbsp;1,400&nbsp;crore in the year-ago period,&nbsp;Adani Green Energy said in an exchange filing.  However, operating performance took a hit as depreciation expenses and&nbsp;other income increased in the quarter, the renewables arm of the embattled Adani Group conglomerate said. EBITDA (earnings before interest, taxes, depreciation and amortization) fell 18.2 percent YoY to Rs 853&nbsp;crore. EBITDA margin contracted to 43.2 percent from&nbsp;74.5 percent in the year-ago period.  The company's stock has fallen 55 percent since the publication on Hindenburg Research report on January 24. Pledged stake in the company&nbsp;is now down to 1.36 percent from 4.36 percent after the promoters pre-payed some loans to release shares.  ALSO READ: Some Adani shares climb, after group's market losses top $110 billion  Solar portfolio CUF (Capacity Utilisation Factor) stood at 24 percent, improving 140 basis points YoY, as per the exchange filing.&nbsp;Newly commissioned Hybrid portfolio CUF was at 34&nbsp;percent while wind portfolio CUF took a knock of 610 basis points YoY to 27.1 percent, due to one-off disruption in a Gujarat transmission line.  &ldquo;The continued strong performance demonstrates the resilience of our business model supported by a robust capital management program with leverage well aligned with the business model. We appreciate that, in the last few days, this has further been reaffirmed by the rating agencies, equity and credit research analysts and various banks, financial institutions and long term investors,&amp;quot; said Vneet S. Jaain, MD &amp;amp;amp; CEO, Adani Green Energy Ltd.  In the earnings press release, the company informed that it is on track to reach ~ 8,300 MW commissioned capacity, the largest in India, by end of FY23. About 97 percent of the company's rated credit facilities are rated between &lsquo;A&rsquo; to &lsquo;AAA&rsquo; equivalent credit scale, it added.","Adani Green Energy, Results",https://www.moneycontrol.com//news/results/adani-green-energy-net-profit-surges-110-revenue-41q3_16853121.html
4,ADANI54145,2022-04-13T18:51:58+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}","Adani Green Energy becomes 8th most valued firm; overtakes Bajaj Finance, HDFC",The company had on Monday entered the list of top-10 valued firms.,"Adani Green Energy on Wednesday became the eighth most valued firm in the country with a market valuation of Rs 4.48 lakh crore after overtaking Bajaj Finance and HDFC.  The company had on Monday entered the list of top-10 valued firms.  Adani Green Energy commanded a market valuation of Rs 4,48,050.99 crore on BSE to take the eighth spot on the top-10 list.  Shares of the company jumped 2.70 per cent to settle at Rs 2,864.75 on BSE.  During the day, it rallied 5.75 per cent to Rs 2,950.  The company went past Bajaj Finance and HDFC to climb to the eighth position.  The market capitalisation of Bajaj Finance is at Rs 4,43,685.79 crore, while while HDFC had a valuation of Rs 4,31,028.49 crore.  Shares of Adani Green have rallied 115.75 per cent so far this year.  Reliance Industries Ltd with a market valuation of Rs 17,26,714.05 crore is the country&rsquo;s most valued firm, followed by TCS (Rs 13,39,688.48 crore), HDFC Bank (Rs 8,12,338.57 crore), Infosys (Rs 7,35,611.35 crore), ICICI Bank (Rs 5,29,739.59 crore), Hindustan Unilever Ltd (Rs 5,05,737.77 crore), State Bank of India (Rs 4,61,848.65 crore), Adani Green Energy (Rs 4,48,050.99 crore), Bajaj Finance (Rs 4,43,685.79 crore) and HDFC (Rs 4,31,028.49 crore).  Disclaimer:&nbsp;&ldquo;Reliance Industries Ltd. is the sole beneficiary of Independent Media Trust which controls Network18 Media &amp;amp;amp; Investments Ltd.&rdquo;","Adani Green Energy, Business, most valued firm",https://www.moneycontrol.com//news/business/adani-green-energy-becomes-8th-most-valued-firm-overtakes-bajaj-finance-hdfc_16271901.html
5,ADANI54145,2022-04-11T18:53:28+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}","Godrej Industries launches Godrej Capital; commits investment of Rs 1,500 crore","GCL is the holding entity for Godrej Housing Finance, a housing finance company and Godrej Finance Ltd, which is an NBFC (Non-Banking Financial Company).","Godrej Industries Ltd (GIL) on Monday announced the launch of Godrej Capital (GCL), the financial services arm of the group.  GCL is the holding entity for Godrej Housing Finance, a housing finance company and Godrej Finance Ltd, which is an NBFC (Non-Banking Financial Company).  The Group plans to invest Rs 5,000 crore of equity over the next few years into the financial services venture.  &amp;quot;We believe there is clear logic and path in creating a strong position in this (financial services) space and that's why we are now investing in it. We now feel ready and have the appetite to invest.&amp;quot;  &amp;quot;We see it as a big opportunity and will go after it with a lot of intent over the next few years,&amp;quot; Godrej Capital's Chairman Pirojsha Godrej, said.  He further said that the group has committed to invest Rs 1,500 crore into its financial services arm and expects the business to require a total of Rs 5,000 crore equity investments by 2026.  &amp;quot;On equity front, we have already committed and by the end of the month, we will have Rs 1,500 crore of the equity invested. This is all coming from Godrej Industries' balance sheet. For the remaining Rs 3,500 crore that we will require by 2026, we will seek Godrej Industries' board approval. We do expect to infuse most of that capital from the group,&amp;quot; he said.  The company aims to build Rs 30,000 crore of balance sheet by 2026, a release said.  &amp;quot;We envision Godrej Capital becoming a new-age, leading retail financial services institution in the years ahead,&amp;quot; GCL's Managing Director and CEO Manish Shah, said.  The company will continue maintaining focus on the growth of secured loans consisting of home loans and Loans Against Property (LAP).  GCL currently has its footprint across Mumbai, Bengaluru, Delhi-NCR, Ahmedabad and Pune and will soon be operational in six new cities - Jaipur, Chandigarh, Hyderabad, Chennai, Indore and Surat.","Business, Godrej Capital, Godrej Industries",https://www.moneycontrol.com//news/business/godrej-industries-launches-godrej-capital-commits-investmentrs-1500-crore_16263221.html
6,ADANI54145,2022-02-02T17:08:25+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",Adani Green Energy net up 20% to Rs 49 crore in December quarter,"The company had reported a consolidated net profit of Rs 41 crore in the quarter ended on December 31, 2020, a BSE filing stated.","Adani Green Energy on Wednesday posted a nearly 20 per cent rise in its consolidated net profit to Rs 49 crore in the October-December quarter compared to the year-ago period mainly on the back of higher revenues.  The company had reported a consolidated net profit of Rs 41 crore in the quarter ended on December 31, 2020, a BSE filing stated.  Total income of the company rose to Rs 1,471 crore in the quarter from Rs 843 crore in the same period a year ago.  Commenting on the results, Vneet S. Jaain, MD &amp;amp;amp; CEO, Adani Green Energy said in a statement, &amp;quot;The continued robust operational performance and improving visibility of growth with firm PPAs performance and improving visibility of growth with firm PPAs demonstrate that we are well on track to become the largest renewable player by 2030&rdquo;.  He further said, &amp;quot;Our commitment towards ESG is only getting stronger with the global recognition of our efforts to light up the world with green energy and to further incorporate the best ESG practices on all fronts.&rdquo;  The company sold 2,504 million units of electricity in the December quarter, up from 1,273 MU in the same period a year ago.  During April to December 2021, it sold 6,456 MU which is higher than 3,857 MU in the nine months period a year ago.  Adani Green Energy, a part of India-based Adani Group, has one of the largest global renewable portfolios with overall portfolio of 20.3 GW 3 including operating, under-construction, awarded and assets under acquisition catering to investment-grade counterparties.  The company develops, builds, owns, operates and maintains utility-scale grid-connected solar and wind farm projects.  Key customers of AGEL include Solar Energy Corporation of India (SECI),&nbsp; NTPC and various state discoms.  Listed in 2018, AGEL is a USD 40 billion market cap company helping India meet its COP21 goals.","Adani Green Energy, Business, Results",https://www.moneycontrol.com//news/business/adani-green-energy-net20-to-rs-49-croredecember-quarter_15996521.html
7,ADANI54145,2021-09-02T16:51:28+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",Adani Green raises $750 million via green bonds,The funds shall be utilised towards equity funding of the capex for renewable projects under construction by AGEL.,"Adani Green Energy Ltd (AGEL) on Thursday said it has raised $750 million (around Rs 5,483 crore) through green bonds.  &amp;quot;AGEL... has priced its maiden ListCo senior issuance of $750 million through a 3-year issuance under the 144A / Reg S format, at a fixed coupon of 4.375 per cent,&amp;quot; a company statement said.  The issuance was oversubscribed by 4.7x.  The funds shall be utilised towards equity funding of the capex for renewable projects under construction by AGEL.  Under the structure, AGEL can draw up to $1,700 million (including the present issuance) over the course of time subject to the covenants of the structure, it said.  The notes were rated Ba3 (Stable) by Moody's, it stated.  Earlier, AGEL had completed the tie-up of a $1.35 billion revolving construction framework arrangement for senior debt funding of construction stage projects.  With this $750 million ListCo issuance, AGEL has completed the final phase of its capital management plan, and now has a fully funded programme for both debt and equity for its stated target of 25 GW by 2025, it added.  &ldquo;This ListCo Senior Green Bond issuance is yet another landmark transaction for AGEL and fully funds our pipeline of projects and reinforces our commitment towards being a sustainability focused global infrastructure platform.  &amp;quot;We expect to further accelerate our footprint and are firmly on track to become the world&rsquo;s largest renewable energy company by 2030,&amp;quot; said Vneet S Jaain, MD and CEO, AGEL.  The joint lead managers to the issuance were Axis Bank, Barclays, BNP Paribas, DBS Bank Ltd, Emirates NBD Capital, IMI-Intesa Sanpaolo, MUFG, Mizuho Securities, SMBC Nikko and Standard Chartered Bank.  AGEL, a part of Adani Group, has one of the largest global renewable portfolios with locked-in growth of up to 19.8 GW including operating, under-construction, awarded, and assets under acquisition catering to investment-grade counterparties.  Key customers of AGEL include Solar Energy Corporation of India (SECI), NTPC and various state discoms.","Adani Green Energy Ltd, Business, Companies",https://www.moneycontrol.com//news/business/adani-green-raises-36750-million-via-green-bonds_15505361.html
8,ADANI54145,2021-07-14T17:02:16+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}","Adani Green Energy gets shareholders nod to raise borrowing limit to Rs 25,000 crore","The special resolution to enhance the borrowing limits of the company to Rs 25,000 crore, has been approved with the requisite majority, a BSE filing stated.","Adani Green Energy has received shareholders' approval to raise its borrowing limit to Rs 25,000 crore from the existing Rs 15,000 crore in the annual general meeting held on July 13, 2021.  The special resolution to enhance the borrowing limits of the company to Rs 25,000 crore, has been approved with the requisite majority, a BSE filing stated.  The members of the company at their meeting held on January 9, 2018, had passed a resolution authorizing the Board of Directors of the company to borrow monies, from time to time, up to Rs 15,000 crore.  In view of the growth plans of the company, it is proposed to increase the borrowing limits from Rs 15,000 crore to Rs 25,000 crore for the company, the notice for AGM had explained earlier.  Driven by the vision to commission 25 GW operational capacity by 2025, an aspiration to be the largest solar energy company in the world by 2025 &amp;amp;amp; the largest renewable energy company in the world by 2030 and to support its business operations, the company may need additional funds, the company had stated in the AGM notice.  Shareholders have also approved the appointment of Vneet S. Jaain as Managing Director &amp;amp;amp; Chief Executive Officer.  The members also approved a proposal for re-appointment of Rajesh S Adani, as a director of the company.","Adani Green Energy, Business, Companies",https://www.moneycontrol.com//news/business/adani-green-energy-gets-shareholders-nod-to-raise-borrowing-limit-to-rs-25000-crore_15292161.html
9,ADANI54145,2021-05-19T08:41:02+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",Adani Green Energy to acquire 5GW renewable portfolio from SB Energy for $3.5 billion,"SB Energy has a total renewable portfolio of 4,954 MW in four states, this deal with Adani Green Energy is the largest acquisition in India's renewable space.","Adani Green Energy will acquire 5 GW of renewable power portfolio from SB Energy India for a fully-completed enterprise evaluation (EV) of $3.5 billion (approx Rs 26,000 crore), the company announced in an official statement.  The share purchase agreement was signed on May 19 for acquisition of 100 percent interest in SB Energy from SoftBank Group and Bharti Group, who held 80 percent and 20 percent stake, respectively.  In recent times, this is the fourth successive deal struck in the solar segment&nbsp; by Adani Green Energy whose stock has surged by almost 13 percent in the last one month.&nbsp; On April 19, it was trading at Rs 1055. On May 18, it traded around Rs 1199.  The stock was up 5 percent intraday at the time of publishing this article on the back of the deal announcement.  Earlier, it acquired the domestic assets of Sterling and Wilson&nbsp; and Toronto-based SkyPower Global. It has also sold a 20 percent stake to France's Total.  The India government has an ambitious target to achieve 175GW of renewable capacity, including 100GW of solar power by 2022.  SB Energy has a total renewable portfolio of 4,954 MW in four states. This is the largest acquisition in India's renewable space.  Also Read | Adani Green shares hit 5% upper circuit on acquisition of SB Energy's renewable portfolio  Adani Group Chairman Gautam Adani called this acquisition &ldquo;another step&rdquo; in their vision to become the world&rsquo;s largest solar player by 2025 and the largest renewable company by 2030.  &ldquo;The renewable energy platform that we are building will lay the foundation for attracting several other global industries that are increasingly looking to reduce their carbon footprint (and set up adjacent platforms for hydrogen and storage). We are well on our way to achieve our stated solar portfolio targets four years before the deadline we set for ourselves. The quality of assets that SoftBank and the Bharti Group have built are excellent and I compliment their efforts to support India&rsquo;s renewable energy transition. We are proud to take their legacy forward,&rdquo; he added.  The deal is expected to enable Adani Green Energy to achieve its target renewable portfolio of 25 GW, four years ahead of the timeline and takes the company&rsquo;s present total renewable capacity to 24.3 GW and operating renewable capacity of 4.9 GW.  The portfolio consists of large scale utility assets where 84 percent or 4,180 MW is solar capacity (1,400 MW operational capacity and 3,554 MW under construction), 9 percent or 450 MW is wind-solar hybrid capacity and 7 percent or 324 MW is wind capacity.  &ldquo;This acquisition demonstrates Adani Green Energy&rsquo;s intent to be the leader in sustainable energy transition globally and makes it one of the largest renewable energy platforms in the world. The closing of the transaction is subject to customary approvals and conditions,&rdquo; a statement from the company read.  All projects in the acquisition have 25 year power purchase agreements (PPAs) with state-run companies such as Solar Energy Corporation of India (SECI), NTPC and NHPC.  Masayoshi Son, Representative Director, Corporate Officer, Chairman &amp;amp;amp; CEO of SoftBank Group Corporation in his statement said SB Energy India was established in 2015 to create a &ldquo;market leading clean energy company&rdquo; and added that the deal with Adani Green Energy will help &ldquo;drive the next phase of growth&rdquo;.  He added that SB Group is continually transitioning to a &ldquo;global investment holding company focused on accelerating the deployment of artificial intelligence&rdquo;.  Adani Green Energy is a part of India's Adani Group and has one of the largest global renewable portfolios with 19.3 GW of operating, under-construction and awarded projects, and locked-in growth projects catering to investment-grade counterparties. The company develops, builds, owns, operates and maintains utility-scale grid-connected solar and wind farm projects.","Adani Energy, Business, India, ma, renewables, SB Energy",https://www.moneycontrol.com//news/business/adani-green-energy-to-acquire-5gw-renewable-portfoliosb-energy-for-3635-billion_15096541.html
