,company,datePublished,author,headline,description,articleBody,tags,url
0,AE01,2024-02-13T23:22:59+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","Jefferies sees Adani Ent an attractive play on capex theme, starts coverage with 19% upside","Adani Enterprises share price: Jefferies' target price indicates a 19 percent upside from last closing price of Rs 3,180. Despite potential risks such as project delays and leverage issues, Jefferies remains optimistic about Adani Enterprises' growth trajectory and investment potential.","Foreign broking firm Jefferies on February 13 initiated coverage on Adani Enterprises with a 'buy' tag, projecting doubling of EBITDA by FY26 to Rs 21,449 crore. It has set a target price of Rs 3,800 on the stock, citing key triggers such as the commissioning of the Navi Mumbai Airport and green hydrogen manufacturing units.  Jefferies' target price indicates a 19 percent upside from the last closing price of Rs 3,180.  Despite potential risks such as project delays and leverage issues, Jefferies remains optimistic about the&nbsp;growth and investment potential in&nbsp;Adani Enterprises.  Also Read:&nbsp;Moody's revises ratings outlook on 4 Adani Group firms  The broking firm has noted in its recent report that Adani Enterprises, since inception, incubated and unlocked value in self-sustaining businesses such as ports, power, city gas distribution, transmission, and FMCG.  &amp;quot;It is now building new businesses in airports, new energy/ Green Hydrogen (GH2), data centre, roads, and copper, some of which will also likely find their way to demergers (value unlocking) over the next decade,&amp;quot; Jefferies said.  Citing the airports business, it added that Adani Airports commands a substantial 23 percent share of passenger traffic in India, overseeing operations at eight airports, including the soon-to-be-commissioned Navi Mumbai Airport (NMIAL).  For further building these new businesses, the company&nbsp;will invest $5-7 billion capex annually over FY24-28 and the balance sheet is ripe to undertake capex again, believes the broking firm as net debt/EBITDA has come&nbsp;down to 3.2x in FY23 from 6x+ average in FY14-18.  &amp;quot;While net debt/EBITDA may again touch 6x in near term, we believe fund-raising opportunities at the business level may partly assuage it,&amp;quot; the report said.  Also Read:&nbsp;Review filed against SC&rsquo;s judgment on Adani-Hindenburg issue  Thus,&nbsp;Jefferies expects Adani Enterprises' EBITDA to double from FY23 to FY26 and grow over three times by FY28. The contribution of new businesses will scale from&nbsp;40 percent of consolidated EBITDA to ~75 percent by FY26 and 85 percent by FY28.  In sum-of-the-parts enterprise value mix, the brokerage has attributed 33 percent to airport, 53 percent to ANIL (Adani New Industries Limited), 4 percent to mining, 4 percent to roads, 3 percent to data center and 3 percent to 3 percent to mining.  At current market price, the stock is trading at 28x/22x FY25/FY26E EV/EBITDA, Jefferies noted.  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Adani Enterprises, Buzzing Stocks",https://www.moneycontrol.com//news/buzzing-stocks/jefferies-sees-adani-entattractive-playcapex-theme-starts-coverage19-upside_17449251.html
1,AE01,2024-01-17T10:10:22+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/reuters-6885/', 'name': 'Reuters'}",Adani Group raises stake in news agency IANS,"AMG Media Networks, a unit of Indian billionaire Gautam Adani's flagship firm Adani Enterprises, opens new tab has increased its ownership of IANS shares with voting rights to 76%, and nearly all non-voting shares, up from 50.5% each earlier.","The media arm of India's Adani Group on Wednesday said it increased its stake in IANS India by subscribing to fresh shares issued by the news agency worth 50 million rupees ($601,801).  AMG Media Networks, a unit of Indian billionaire Gautam Adani's flagship firm Adani Enterprises, opens new tab has increased its ownership of IANS shares with voting rights to 76%, and nearly all non-voting shares, up from 50.5% each earlier.  The IANS acquisition, announced in December, is Adani's latest media venture, following the conglomerate's purchase of 65% stake in news broadcaster NDTV&nbsp;in December 2022 and Quintillion Business Media earlier that year.  Adani had initially acquired a 50.5% stake in IANS for 510,000 rupees.","Business, Companies",https://www.moneycontrol.com//news/business/adani-group-raises-stakenews-agency-ians_17402021.html
2,AE01,2024-01-15T09:47:15+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",Adani Enterprises gain on bagging SECI order for electrolysers manufacturing,"Adani New Industries, a wholly owned subsidiary, has received letter of award from Solar Energy Corporation of India for setting up annual electrolysers manufacturing capacity of 198.5 MW ","Adani Enterprises&nbsp;traded a tad higher in the early trade on January 15 after the Adani group flagship announced receiving order from Solar Energy Corporation of India (SECI) for set up manufacturing capacity for electrolysers in India.  At 9.31 am, Adani Enterprises was quoting at Rs 3,109.00, up Rs 4.75, or 0.15 percent, on the BSE.  &amp;quot;Adani New Industries, a wholly owned subsidiary, has received Letter of Award (LoA) from Solar Energy Corporation of India (SECI) for setting up electrolysers manufacturing capacity of 198.5 MW per annum in India under strategic interventions for Green Hydrogen Transition Scheme (Tranche-I),&amp;quot; the company said in exchange note.  The project,&nbsp;covered by the production linked incentive scheme, has to be completed within 30 months from the date of LoA.  The maximum incentive to be allocated over the period of five years from scheduled commissioning date is Rs 293.78 crore.  Catch all market action in our live blog  The share touched a 52-week high of Rs 3,739 on January 16, 2023 and a 52-week low of Rs 1,017.10 on February 3, 2023. The stock is trading 16.85 percent below its 52-week high and 205.67 percent above its 52-week low.  The share price gained 68 percent in the last 9 months.  Disclaimer: The views and investment tips expressed by experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Adani Enterprises, Buzzing Stocks",https://www.moneycontrol.com//news/buzzing-stocks/adani-enterprises-gainbagging-seci-order-for-electrolysers-manufacturing_17399061.html
3,AE01,2023-09-14T08:51:04+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",Adani Enterprises arm to produce 5.2 MW series wind turbine generators,The company was so far manufacturing and supplying 5.2 MW Wind Turbine Generators (WTGs) for domestic wind industry players.,"Adani Enterprises Ltd said on Wednesday that its arm Adani New Industries Ltd has received a key international certification and will now be able to start production of 5.2 MW series wind turbine generators for global markets.  The company was so far manufacturing and supplying 5.2 MW Wind Turbine Generators (WTGs) for domestic wind industry players.  &amp;quot;Adani Wind's 5.2 MW WTGs, which are India's largest, have received type certification from WindGuard GmbH. The certification enables Adani Wind to start series production for global markets,&amp;quot; Adani Enterprises Limited (AEL) said in a regulatory filing.  Adani Wind is the wind energy solutions division of Adani New Industries Limited (ANIL), a wholly-owned subsidiary of Adani Enterprises Ltd.  The certification to standards relating to equipment for use in renewable energy applications affirms that the company's 5.2 MW WTG meets highest quality and safety standards and provides international recognition to this turbine, the filing said.  &amp;quot;The type certificate reaffirms the quality and robustness of our 5.2 MW WTG platform built to bring down Levelised Cost of Energy,&amp;quot; ANIL Director Vneet Jaain said in the filing.  &amp;quot;The certification is a boost to our endeavour of making India the global manufacturing hub for renewable equipment. We are focused on building a portfolio of high-yield next generation wind turbines made in India and are well-poised to cater to the global wind energy demand,&amp;quot; he said.  Adani Wind's 5.2 MW wind turbine features a rotor diameter of 160 metres and a tip height of 200 metres, making it one of the most powerful onshore wind turbines in the world, the filing said. The 5.2 MW WTG is developed by Adani Wind in collaboration with W2E Wind to Energy GmbH, Germany at its plant in Kutch, Gujarat, it added.","Business, Companies",https://www.moneycontrol.com//news/business/adani-enterprises-arm-to-produce-52-mw-series-wind-turbine-generators_17238691.html
4,AE01,2023-08-03T15:08:47+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","Adani Enterprises Q1 results: Net profit up 44% at Rs 674 crore, revenue down 38%",Adani Enterprises Q1 result: The bottomline grew despite a 38 percent fall in the topline.,"Adani Enterprises on August 3 reported a consolidated net profit of Rs 674 crore for the quarter ended June 2023, rising&nbsp;44 percent over Rs 469 crore reported last fiscal.  The company's revenue from operations came in at Rs 25,438 crore,&nbsp;down 38 percent from Rs 40,844 crore reported during the previous corresponding quarter, it said in an exchange filing. Adani Enterprises attributed the fall to&nbsp;correction in coal prices.  Other income&nbsp;rose to Rs 371.5 crore in Q1 from Rs 222&nbsp;crore year ago and supported the rise in net profit.  The company said its Earnings before interest, taxes, depreciation, and amortization (EBITDA) increased by 47 percent YoY to Rs 2,896 crore &amp;quot;on account of strong operational growth&amp;quot;.  Adani Enterprises is a business incubator of Adani Enterprises and houses several businesses such as data centres, airports, roads, solar manufacturing, wind turbine manufacturing and mining.  &amp;quot;Every quarter, year after year and across three decades, Adani Enterprises has consistently proven its reputation not only as India&rsquo;s most successful business incubator but also as a global powerhouse in infrastructure development,&amp;quot; said Gautam Adani, Chairman of the Adani Group.  The company said its data center business has an orderbook of 110 MW from Hyperscale &amp;amp;amp; Enterprise customers. During the quarter, Adani Airports handled 21.3 million passengers (up by 27 percent YoY), and 2.5 lakh MT Cargo (up by 9 percent YoY).  Several of roads that it is building are in various stages of completion with most developed one completed 58 percent while least developed one completed 10 percent.  For its new industries, solar module sales increased by 87 percent to 614 MW. Blade manufacturing facility off its wind turbine plant is ready for commercial production. For its mining business, production of Carmichael Mine, Australia was at 2.6 MMT during the quarter.  The stock closed up 2.37 percent at Rs 2531.90 on BSE.","Adani Enterprises, Results",https://www.moneycontrol.com//news/results/adani-enterprises-q1-results-net-profit44-at-rs-674-crore-revenue-down-38_17152431.html
5,AE01,2023-06-23T11:43:47+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/reuters-6885/', 'name': 'Reuters'}",Adani Enterprises says JV raised $213 million to build data center,Adani Enterprises said on Friday that its joint venture with private data center operator EdgeConneX has raised $213 million to fund its under-construction data center.,Adani Enterprises said on Friday that its joint venture with private data center operator EdgeConneX has raised $213 million to fund its under-construction data center.,"Adani Enterprises, Business, Companies, JV",https://www.moneycontrol.com//news/business/adani-enterprises-says-jv-raised-36213-million-to-build-data-center_17091491.html
6,AE01,2023-02-14T14:09:03+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","Adani Enterprises posts Rs 820 crore net profit in Q3, revenue up 42%. Stock zooms","The company's revenue from operations zoomed 42 percent to Rs 26,612.2 crore in the December quarter from Rs 18,757.9 crore recorded last year","Adani Group flagship Adani Enterprises&nbsp;has reported consolidated net profit of Rs 820 crore for the October-December 2022 quarter, as against a loss of Rs 11.63 crore a year ago.  The company's revenue from operations has zoomed 42 percent to Rs&nbsp;26,612.2 crore from Rs&nbsp;18,757.9&nbsp;crore last year.  Bloomberg estimates indicated that the company may post a revenue of Rs 29,245 crore and a net profit of Rs 582.80 crore.  EBIDTA (earnings before interest, taxes, depreciation and amortization) doubled year-on-year to Rs 1,968 crore.&nbsp;Margin improved to 6.1 percent from 4.1 percent YoY.  Soon after the results, the stock broke into the green, gaining over 6 percent in trade. At 2:30 pm, it was quoting at Rs&nbsp;1,833.25&nbsp;apiece on the NSE.  Follow our live blog for all the market action  &ldquo;Our fundamental strength lies in mega-scale infrastructure project execution capabilities, organisational development and exceptional O&amp;amp;amp;M management skills comparable to the best in the world,&amp;quot; Adani group Chairman Gautam Adani said.  During the quarter, Adani Airports handled 20.3 million passengers (an increase of 40 percent YoY),&nbsp;142,000 air traffic movements (an increase of 21 percent YoY) and 1.8 lakh MT cargo, as per the earnings release.  &amp;quot;Our success is due to our strong governance, strict regulatory compliance, sustained performance, and solid cashflow generation. The current market volatility is temporary; AEL will continue to work with the twin objectives of moderate leverage and looking at strategic opportunities to expand and grow,&amp;quot; he said.  For the quarter, Adani New Industries Supply Chain Ecosystem's solar modules volume went up by 63 percent to 430 MW, Integrated Resources Management volume increased by 8 percent to 15.8 MMT and mining services production volume came in&nbsp;at 6.2 MMT.","Adani Enterprises, Buzzing Stocks, Results",https://www.moneycontrol.com//news/results/adani-enterprises-posts-rs-820-crore-net-profitq3-revenue42-stock-zooms_16880151.html
7,AE01,2023-02-06T06:36:13+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",Adani Group to cut capital spending plans after halting $2.5 billion FPO: Report,"As per reports, the group may put up increased collateral to lenders in form of stock pledges and trim its capex plans for some businesses","The Adani Group is considering cutting down its capital spending plans after it said it has called off the $2.5 billion Adani Enterprises FPO in light of the Hindenburg report, sources told Mint.  As per the sources, the group may put up increased collateral to lenders in form of stock pledges and trim its capex plans for some businesses. Particularly in certain businesses, it may consider a 16-18 months growth timeline, instead of the usual 12-month target. The reports added that &ldquo;usual pace of growth would return once normalcy returns&rdquo;.  Also Read I Uday Kotak on Adani-Hindenburg fiasco: 'Don't see systemic risk to Indian financial system'  The sources further said that funding alternatives via internal accruals, private placement and promoter equity may also be considered. Banking sources also told the paper in a separate report that domestic lenders do not plan to interfere if Adani uses sanctioned, but yet unused credit lines as they would prefer avoiding defaults.  Also Read I Adverse developments likely to reduce Adani Group&rsquo;s ability to raise capital: Moody's on Hindenburg report  Adani did not immediately respond to Mint or Reuters. Moneycontrol could not independently verify the reports.  Since the Hindenburg Report in January alleged stock manipulation and raised questions over the running of Adani Group companies, the various arms have lost billions of dollars in stock value. Founder Gautam Adani has also slipped on the Forbes rich list as his value plummeted.  Also Read I SEBI examining Adani Group shares rout: Report  Adani Enterprises chairman Gautam Adani addressed investors on February 2 and spoke about the cancellation of the company's follow-on public offering (FPO). He stated that considering volatility of the market seen on February 1, the Board &amp;quot;strongly felt that it would not have been morally correct to proceed with the FPO&amp;quot;.  &amp;quot;For me, the interest of my investors is paramount and everything is secondary. Hence to insulate the investors from potential losses we have withdrawn the FPO. The fundamentals of our company are strong. Our balance sheet is healthy and assets, robust,&amp;quot; Adani said. &amp;quot;Once the market stabilizes, we will review our capital market strategy.&amp;quot;  Also Read I Hindenburg impact: Icra says monitoring Adani group companies","Adani Group, Business, capital spending plans, Companies",https://www.moneycontrol.com//news/business/adani-group-to-cut-capital-spending-plans-after-halting-3625-billion-fpo-report_16849501.html
8,AE01,2023-01-30T09:14:47+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",Hindenburg on Adani's 413-page rebuttal: Cannot obfuscate by nationalism,"The Adani Group has not even attempted to clarify its relationship with a Chinese National (Chang Chung-Ling), despite a plethora of linkages, Hindenburg Research has said ","The Hindenburg Research on January 30 described as an &amp;quot;attempt to obfuscate by nationalism&amp;quot; the Adani Group's 413-page rebuttal to its accusations of stock manipulation and use of tax havens in a report that also flagged debt worries.  &amp;quot;The Adani Group has not even attempted to clarify its relationship with a Chinese National (Chang Chung-Ling), despite a plethora of linkages,&amp;quot; the US-based short seller said.  In its latest statement, Hindenburg Research said that the Adani Group did not respond to questions in its original report, pointing out one on the nature of relationship between Vinod Adani,&nbsp; Gautam Adani's older brother, and Chang Chung-Ling, nor the group's association with the Chinese national.  It alleged that its report had shown in one example how an entity that had been an Adani-related party made a major investment in one of the suspect offshore holders, &amp;quot;drawing a clear line between the Adani Group and the suspected stock parking entities&amp;quot;, it said.  Also Read | MSCI seeks feedback on Adani Group over Hindenburg report  &amp;quot;We also showed how several of the suspected stock parking entities had been formed with the help of Amicorp, which was involved in one of the most notorious international fraud and money laundering scandals in history, the 1MDB scandal. We also note that the recent Follow On Public Offer (FPO) in Adani Enterprises contains many of the same type of Mauritius funds that we pointed out as likely being in clear violation of SEBI regulations,&amp;quot; the statement alleged.  It also gave an example of the anchor list of Adani Enterprises investors, alleging that it &amp;quot;contains a host of suspect Mauritius funds &mdash; such as (1) Ayushmat Limited (2) Coeus Global Opportunities Fund (3) Great International Tusker Fund and (4) Aviator Global Investment.&amp;quot;  Adani's rebuttal  Adani Group's 413-page rebuttal came as its flagship company, Adani Enterprises, pushes ahead with a $2.5 billion share sale. This has been overshadowed by Hindenburg's report, which flagged concerns about debt levels and the use of tax havens.  &amp;quot;This is rife with conflict of interest and intended only to create a false market in securities to enable Hindenburg, an admitted short seller, to book massive financial gain through wrongful means at the cost of countless investors,&amp;quot; it added.  &ldquo;This is not merely an unwarranted attack on any specific company but a calculated attack on India, the independence, integrity and quality of Indian institutions, and the growth story and ambition of India,&rdquo; Adani said in its response.  Also Read | SEBI increases scrutiny of Adani group: Reuters report  Market impact  After the Hindenburg report came to light, Adani Enterprises' share price tanked 20 percent in between January 23 to 27.  The stock seems to have gained some footing after&nbsp;Adani Group chief financial officer Jugeshinder Singh panned&nbsp;allegations made by Hindenburg Research and said the follow-on public offer (FPO) of flagship Adani Enterprises will continue as scheduled.  On January 30, Adani Enterprises' stock gained 10 percent. At 9.43 am it was quoting at Rs 2,966.30, up Rs 204.15, or 7.39 percent. It has touched an intraday high of Rs 3,038.35 and an intraday low of Rs 2,771.05.  Singh attacked Hindenburg's report, calling it a&nbsp;malicious misrepresentation of facts, adding that the US short-seller deliberately used only part of the group&rsquo;s disclosures to make misleading points. Hindenburg Research said on January 25 it was holding short positions in the Adani Group companies through US-traded bonds and non-Indian-traded derivative instruments.  The report, and its fallout, is being seen as one of the biggest career challenges to face the billionaire Gautam Adani, whose business interests range from ports, airports, mining and power to media and cement. It sparked a rout in all Adani Group-related companies' stocks and sharpened regulatory watch over them.  (with agency inputs)","Adani, Adani Group, Business, company, Hindenburg Research, report, stocks",https://www.moneycontrol.com//news/business/hindenburgadani39s-413-page-rebuttal-cannot-obfuscate-by-nationalism_16831281.html
9,AE01,2023-01-25T10:22:10+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/reuters-6885/', 'name': 'Reuters'}","Hindenburg says holds short positions in India's Adani, flags risks","The seven listed companies of the Adani group, which is controlled by world's third richest man Gautam Adani, have an 85% downside on a fundamental basis due to sky-high valuations, Hindenburg said in the report.","Short-seller Hindenburg Research said on Wednesday it holds short positions in India's Adani Group companies through U.S.-traded bonds and non-Indian-traded derivative instruments.  The seven listed companies of the Adani group, which is controlled by world's third richest man Gautam Adani, have an 85% downside on a fundamental basis due to sky-high valuations, Hindenburg said in the&nbsp;report.  To catch all the latest updates from around the world, follow moneycontrol's LIVE blog&nbsp;here  &amp;quot;Key listed Adani companies have also taken on substantial debt, including pledging shares of their inflated stock for loans, putting the entire group on precarious financial footing,&amp;quot; Hindenburg said.  An Adani spokesperson did not immediately respond to Reuters request for comment on the report. The company has repeatedly dismissed debt concerns.  Adani Chief Financial Officer Jugeshinder Singh&nbsp;said&nbsp;on Jan. 21 &amp;quot;Nobody has raised debt concerns to us. No single investor has.&amp;quot; Adani Enterprises, the flagship company of ports-to-energy conglomerate Adani Group, has said it&nbsp;will raise $2.5 billion&nbsp;in India's largest follow-on public offering due this Friday.  Also read:&nbsp;Truck operators say Adani Cement&rsquo;s ask is unviable; ACC dealers hurt by supply disruptions&nbsp;  Shares of Adani Enterprises surged 125% in 2022, while other group companies, including power and gas units, rose over 100%.  Adani Group's total gross debt in the financial year ending March 31, 2022, rose 40% to 2.2 trillion rupees. CreditSights, part of the Fitch Group, described the group last September as &amp;quot;overleveraged&amp;quot; and said it had &amp;quot;concerns&amp;quot; over its debt.  While the report later corrected some calculation errors, CreditSights said it maintained concerns over leverage.","Adani, Business, Companies, Gautam Adani, Hindenburg",https://www.moneycontrol.com//news/business/hindenburg-says-holds-short-positionsindia39s-adani-flags-risks_16824041.html
