,company,datePublished,author,headline,description,articleBody,tags,url
0,API,2024-03-07T09:46:53+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",Asian Paints gains as subsidiary signs agreements with GCPL to set up facility,Asian Paints (Polymers) will set up an ethylene storage and handling facility in Dahej,"Shares of Asian Paints gained 0.7 percent at the open on March 7, a day after the company said that its subsidiary had signed agreements with Gujarat Chemical Port Limited (GCPL) to set up ethylene storage and handling facility in Dahej.  At 9.20 am, the stock was trading at Rs 2,846.85 on the NSE.  Follow our market blog for live updates  In a regulatory filing, Asian Paints (Polymers) (APPPL) had entered into agreements with GCPL to set up an ethylene storage and handling facility in Dahej.  Also read:&nbsp;Asian Paints Q3: Brokerages positive on rural recovery, competition a worry. Buy, sell or hold?  APPPL will be providing a security deposit of Rs 460 crore to GCPL which will be refunded over a period of 17&ndash;18 years. This would be in addition to the cost of setting up the VAM and VAE (vinyl acetate ethylene emulsion and vinyl acetate monomer) manufacturing facility of Rs 2,100 crore.  For Q3FY24, Asian Paints reported&nbsp;a consolidated net profit of Rs&nbsp;1,475.16 crore for Q3FY24, up 34.4 percent from Rs 1,097.06 crore in the previous fiscal. Revenue for the same period also grew&nbsp;5.4 percent year-on-year (YoY)&nbsp;to Rs 9,104 crore against Rs&nbsp;8,636.7 crore in Q3FY23.  Disclaimer: The views and investment tips expressed by investment experts on&nbsp;Moneycontrol.com&nbsp;are their own and not those of the website or its management.&nbsp;Moneycontrol.com&nbsp;advises users to check with certified experts before taking any investment decisions.","Asian Paints, Buzzing Stocks",https://www.moneycontrol.com//news/buzzing-stocks/asian-paints-gains-as-subsidiary-signs-agreementsgcpl-to-setfacility_17488911.html
1,API,2024-02-28T12:03:10+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","Asian Paints extends fall, down 7% in four days as competition flares up",Concerns over increased competitive intensity due to Grasim's foray into the paints sector has triggered a flurry of downgrades and cuts in price targets for Asian Paints. ,"Shares of Asian Paints continued its downward spiral, falling around 7 percent in the past four days as Grasim's foray into the paints business has sparked fears of increased competitive intensity in the sector.  At 11.54 am, shares of Asian Paints were trading at Rs 2,807 on the NSE.  Grasim launched its paint brand, Birla Opus, last week, which aims to attain the second&nbsp;position in the decorative paints market, which is currently being dominated by Asian Paints.  Not just that, Grasim also targets to achieve profitability and a gross revenue of Rs 10,000 crore within three years&nbsp;of commencing full-scale operations. While the bullish targets set by Grasim and an equally comprehensive strategy by the management to make it a reality has ushered optimism from the Street, it has heated things up for Asian Paints.  Even though&nbsp;brokerages believe Asian Paints will emerge as the industry leader after the&nbsp;shake-up,&nbsp;they also feel that it is not the guaranteed winner, hinting towards increased competition. These concerns have also triggered a flurry of downgrades and cuts in price targets for Asian Paints.  Follow our live blog for all the live action  In&nbsp;anticipation&nbsp;of an expected increase in competitive pressure within the industry, brokerage firm CLSA has downgraded Asian Paints to a 'sell' rating. Additionally,&nbsp;the firm also&nbsp;reduced their price target for the stock by close to 25 percent to Rs 2,425. Furthermore, CLSA has adjusted its earnings estimates for Asian Paints for FY25/26, lowering them by 8-10 percent.  CLSA&nbsp;also foresees a potential de-rating for Asian Paints, with its stock price projected to align more closely with its 15-year average multiple.  Goldman Sachs also shares the same concern&nbsp;and thereby&nbsp;reduced its price target for the stock by approximately 14 percent to Rs 2,850, while maintaining a 'neutral' call. Moreover, the firm has decreased its target multiple for the stock from the previous 58x to 52x. Additionally, Goldman Sachs has adjusted its earnings-per-stock estimates for FY25/26, lowering&nbsp;it by 5.2 percent and 10.9 percent, respectively.  Moreover, the stock's expensive valuations have also prompted brokerages to see limited upside in the&nbsp;stock from a&nbsp;near term perspective.  Also Read |&nbsp;Grasim's paint foray turns brokerages bearish on Asian Paints as competition heats up; stock falls 4%  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  &amp;amp;nbsp;","Asian Paints, Buzzing Stocks",https://www.moneycontrol.com//news/buzzing-stocks/asian-paints-extends-fall-down-7four-days-as-competition-flares-up_17480481.html
2,API,2024-01-19T21:47:31+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Accumulate Asian Paints; target of Rs 3460: KR Choksey,"KR Choksey recommended accumulate rating on Asian Paints with a target price of Rs 3460 in its research report dated January 19, 2024.","KR Choksey's research report on Asian Paints For Q3FY24, APNT reported revenue of INR 91,031 Mn, a growth of 5.4% YoY/ 7.4% QoQ. Revenue was in line with our estimate. For 9MFY24, revenue grew by 4.1% YoY to INR 2,67,640 Mn. Q3FY24 growth was supported by the extended festive season, however there was some relative moderation in demand in the latter part of the quarter. APNT saw some recovery in the rural markets. Gross margin expanded by 504 bps YoY/ 24 bps QoQ in the quarter as raw material prices saw further deflation of 0.2% QoQ. The gross margins inched up despite a 1.3% price decrease taken in the portfolio. In 9MFY24, the gross margin expanded by 595 bps YoY. EBITDA for the quarter grew by 27.6% YoY/ 19.8% QoQ to INR 20,561 Mn and was 3.1% higher than our estimate due to lower employee and other expenses. EBITDA margin expanded by 393 bps YoY/ 234 bps QoQ to 22.6%. EBITDA margin expansion was driven by material cost softening, growth in luxury products, and operating, sourcing and formulation efficiencies. For 9MFY24, EBITDA grew by 34.1% YoY to INR 58,936 Mn while EBITDA margin expanded by 492 bps YoY to 22.0%. PAT for the quarter was at INR 14,477 Mn, reporting a growth of 35.0% YoY/ 20.1% QoQ. PAT was 2.7% higher than our estimate, flowing down from the higher EBITDA. PAT for 9MFY24 grew by 46.3% YoY to INR 42,035 Mn. While there were no exceptional items for the quarter or comparable quarters, on a 9MFY24 basis, growth in Adj. PAT was 45.1% YoY. Outlook We make small adjustments to our FY24E/ FY25E EPS of +1.1%/ -1.3% respectively, as we factor in the strong margin performance in Q3FY24 but reduce our revenue assumption slightly. We introduce our FY26E estimates. We expect Revenue/ EBITDA/ Adj. PAT to grow at 10.0%/ 14.6%/ 15.4% CAGR, respectively, between FY23-26E. The share currently trades at 54.4x/ 52.4x/ 47.5x FY24E/ FY25E/ FY26E Adj. EPS, respectively. Since our last report, the share price has increased by 5.6%. We roll over our valuation to FY26E and apply a P/E multiple of 52x (earlier 55x on FY25E EPS) on FY26E EPS of INR 66.5 to arrive at a target price of INR 3,460 (INR 3,365 earlier); an upside potential of 9.4%. Accordingly, we maintain our &ldquo;ACCUMULATE&rdquo; rating on the shares of Asian Paints Ltd. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Asian Paints - 19012024 - kr","Accumulate, Asian Paints, KR Choksey, Recommendations",https://www.moneycontrol.com//news/recommendations/accumulate-asian-paints-targetrs-3460-kr-choksey_17407451.html
3,API,2024-01-18T14:45:43+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Neutral Asian Paints; target of Rs 3340: Motilal Oswal,"Motilal Oswal recommended Neutral rating on Asian Paints with a target price of Rs 3340 in its research report dated January 18, 2024.","Motilal Oswal's research report on Asian Paints Asian Paints (APNT) reported a volume growth of 12% YoY in 3QFY24 (est. 13%), characterized by double-digit expansion in both rural and urban markets. The revenue growth is supported by an extended festive season. However, it has been sluggish due to price reductions and unfavorable mix (low mix of luxury segment). Benign raw material prices continue to drive gross margin. APNT clocked a gross margin of 43.6%, the best in the last 11 quarters. The gross margin in FY25/FY26 will be the key monitorable, considering the changing competitive landscape and dwindling raw material price benefits. EBITDA reported a beat led by a higher-than-expected gross margin improvement. EBITDA surged 28% YoY during the quarter. APNT achieved a 22% EBITDA margin in 9MFY24. However, management reiterated its EBITDA margin guidance of 18-20% in the medium term. We model a 21.5% margin for FY25/FY26.  Outlook We believe valuations are expensive at ~53xFY25E EPS and 48xFY26E EPS, especially considering the uncertain competitive pressure. We reiterate our Neutral rating with a TP of INR3,340 (based on 50x Dec&rsquo;25E EPS). For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Asian Paints - 18012024 - moti","Asian Paints, Motilal Oswal, neutral, Recommendations",https://www.moneycontrol.com//news/recommendations/neutral-asian-paints-targetrs-3340-motilal-oswal_17404701.html
4,API,2024-01-18T14:17:52+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Hold Asian Paints; target of Rs 3490: Sharekhan,"Sharekhan recommended Hold rating on Asian Paints with a target price of Rs 3490 in its research report dated January 17, 2024.","Sharekhan's research report on Asian Paints Asian Paints&rsquo; (APL&rsquo;s) Q3FY24 performance beat expectations with PAT growing 35% y-o-y to Rs. 1,475 crore driven by a 393 bps y-o-y rise in OPM to 22.6%. Decorative paint volume growth improved to 12% from 6% in Q2 due to shift of festive season. Volume growth to remain in double-digits in Q4, while value growth will remain lower due to a change in mix. 9MFY24 OPM stood at 22%; management retained 18-20% OPM guidance for near term.  Outlook Stock trades at premium valuation of 52x and 47x its FY2025E and FY2026E EPS. Premium valuations and risk of heightened competition on margins keeps risk-reward unfavourable. We maintain Hold with a revised PT of Rs. 3,490. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Asian Paints - 18012024 - khan","Asian Paints, Hold, Recommendations, Sharekhan",https://www.moneycontrol.com//news/recommendations/hold-asian-paints-targetrs-3490-sharekhan_17404621.html
5,API,2024-01-17T16:27:30+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","Asian Paints' growth supported by extended festive season, says CEO Amit Syngle","In the Home D&eacute;cor space, the company had a more favorable quarter, with new categories gaining traction.","The growth of Asian Paints was sustained by the prolonged festive season, although there was a slight slowdown in demand towards the end of the quarter, said&nbsp;Amit Syngle, Managing Director &amp;amp;amp; CEO of Asian Paints.&nbsp; The company's Auto OE and General Industrial coating segments experienced robust revenue growth and favorable profit margins, he added.  &ldquo;The quarter delivered a Decorative &amp;amp;amp; Industrial coating combined value growth of 6.1 percent with a strong double-digit Industrial coatings value growth. The Decorative Business grew well in Luxury and Economy segments to register a robust 12 percent volume growth and a value growth of 5.5 percent, &amp;quot; Syngle said in Asian Paints' earnings press release.  &amp;quot;Our International Business saw growth in the Middle East and Africa and registered increased profitability overall. It, however, continued to remain constrained by macroeconomic headwinds, inflationary pressures in key geographies of South Asia and Egypt,&amp;quot; he said talking about the international business.  ALSO READ: Asian Paints Q3: Net profit up 34% to Rs 1,475 crore, revenue up 5%; meets estimates  In the Home D&eacute;cor space, Asian Paints had a more favourable quarter, with new categories gaining traction. Syngle said the company made significant progress in integrating its offerings within Beautiful Homes stores and network. The company's margins saw notable improvement due to the growth in luxury products and the easing of raw material prices, along with operational, formulation, and sourcing efficiencies in Q3, he added.  &amp;quot;Moving forward, we will maintain focus on driving strong sales growth and continue to invest in multiple initiatives and solutions for our customers, building on our leadership position,&amp;quot; said Syngle.  The company on January 17 reported a consolidated net profit of Rs&nbsp;1,475.16 crore for the third quarter of the financial year 2023-24, up 34.4 percent from Rs 1,097.06 crore in the year-ago period.&nbsp;Sequentially, the profit was up 19.69 percent.  The paint manufacturer reported a 5.4 percent year-on-year (YoY) up in consolidated revenue at Rs 9,104 crore in the December quarter against Rs&nbsp;8,636.7 crore in the year-ago period.  Shares of Asian Paints&nbsp;ended 1.43 percent lower at Rs&nbsp;3,249.70 on the NSE on January 17.","Asian Paints, Results",https://www.moneycontrol.com//news/results/asian-paints39-growth-supported-by-extended-festive-season-says-ceo-amit-syngle_17403141.html
6,API,2024-01-17T14:48:21+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","Asian Paints Q3: Net profit up 34% to Rs 1,475 crore, revenue up 5%; meets estimates",The company witnessed 12 percent volume growth and 5.5 percent value sales in Decorative Business for India.,"Asian Paints on January 17 reported a consolidated net profit of Rs&nbsp;1,475.16 crore for the third quarter of the financial year 2023-24, up 34.4 percent from Rs 1,097.06 crore in the year-ago period.&nbsp;Sequentially the profit was up 19.69 percent.  The paint manufacturer reported a 5.4 percent year-on-year (YoY) up in consolidated revenue at Rs 9,104 crore in the December quarter against Rs&nbsp;8,636.7 crore in the year-ago period.&nbsp;The revenue was up 7.37 percent from the September quarter. The company witnessed 12 percent volume growth and 5.5 percent value sales in Decorative Business for India.  Profit and revenue met expectations as it was likely to clock Rs 9,200 crore-9,330 crore in revenue in the October-December quarter, according to three brokerage estimates. Analysts had predicted Asian Paints&rsquo; Q3 net profit to grow as much as 30 percent on-year.  The earnings before interest, tax, depreciation, and amortization (EBITDA) came in at Rs&nbsp;2,056 crore against Rs&nbsp;1,611.4 crore in the year-ago quarter. The EBITDA margin stood at&nbsp;22.6 percent against&nbsp;18.7 percent in the year-ago period.  &amp;quot;Growth was supported by the extended festive season, though we saw some moderation in demand in the latter part of the quarter. Both our Auto OE and General Industrial coating businesses achieved sturdy revenue growths and good profit margins.&amp;quot; said&nbsp;Amit Syngle, Managing Director &amp;amp;amp; CEO.  &amp;quot;We saw a better quarter in the Home D&eacute;cor space, with new categories making headway, as we made good progress on integrating our offerings within our beautiful homes stores and network. Our margins gained significantly from growth in luxury products and softening raw material prices coupled with operational, formulation and sourcing efficiencies in Q3.&amp;quot; he added.  Further, in Q3FY24, sales remained flat for the international business at Rs 779.1 crore compared to Rs 778.8 crore,&nbsp;over&nbsp;macro-economic headwinds and inflation in key markets of South Asia and Egypt. However, in constant currency terms, sales increased by 5.2 percent. The PBT before exceptional items for Q3 FY24 stood at Rs 58.3 crore, marking a rise from Rs 37 crore in the same period last year.  The company's bath fitting business experienced a 5.0 percent decline in sales, dropping to Rs 85.4 crores from Rs 89.8 crores due to weak industry demand. The kitchen business, after four consecutive quarters of de-growth, saw flat sales in Q3 FY'24 at Rs 100.1 crores compared to Rs 100.7 crores. On a positive note, White Teak's sales in Q3 FY'24 rose by 18.3 percent to Rs 33.7 crores, and Weatherseal witnessed a significant increase with sales more than doubling to Rs 13.7 crores.  Additionally, brownfield expansions at both Khandala and Kasna have been successfully completed, resulting in an increased installed production capacity from 300,000 KL p.a. to 400,000 KL p.a. and from 80,000 KL p.a. to 100,000 KL p.a., respectively.  The shares of Asian Paints on January 17 closed&nbsp;1.44 percent down at Rs 3,249.95 on BSE.","Asian Paints, Results",https://www.moneycontrol.com//news/results/asian-paints-q3-net-profit34-to-rs-1475-crore-revenue5-meets-estimates_17402971.html
7,API,2023-08-12T10:43:16+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Asian Paints; target of Rs 3691: Geojit,"Geojit is bullish on Asian Paints has recommended buy rating on the stock with a target price of Rs 3691 in its research report dated August 08, 2023.","Geojit's research report on Asian Paints Asian Paints Ltd. (APNT), is engaged in the business of manufacturing, selling and distribution of paints and related products for home d&eacute;cor. APNT is the market leader in the Indian paint manufacturing industry. APNT maintained double digit volume growth of 10% YoY, aided by improving rural demand. While revenue grew by 6.7% YoY in Q1FY24. EBITDA margin expanded by 502bps YoY to 23.1%, supported by a fall in raw material prices and efficient sourcing of raw materials. Robust demand and expansion in the distribution network supported the decorative volumes, while industrial paint demand was supported by the Auto segments. Good progress in the monsoon and a longer festival season augur well for peak season demand. Outlook Superior product mix and comfort with moderating raw material prices bode well for profitability. We increase FY24 &amp;amp;amp; FY25 earnings forecasts by 5%/2%, respectively, in expectation of margin expansion. We revise our rating to BUY with a TP of Rs. 3,691, based on a P/E of 60x on FY25E EPS. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  Asian Paints - 09 -08 - 2023 - geo","Asian Paints, Buy, Geojit, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-asian-paints-targetrs-3691-geojit_17186191.html
8,API,2023-07-29T21:29:05+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Reduce Asian Paints; target of Rs 3000: ICICI Securities,"ICICI Securities recommended reduce rating on Asian Paints with a target price of Rs 3000 in its research report dated July 26, 2023.","ICICI Securities research report on Asian Paints While Q1FY24 PAT growth of 48.9% YoY was higher than consensus estimates, the results were qualitatively weaker in our view as (1) In-spite of delay in monsoon and stronger Apr&rsquo;23, the revenue growth was muted at 6.7% YoY, (2) volume growth was 330bps higher than revenue growth indicating mix deterioration and higher volumes of low value products such as putty and (3) B2B portfolio (Industrial paints and Projects) has reported double digit revenue growth indicating weaker growth of consumer portfolio. APNT is likely to report EBITDA margin (Q1FY24 standalone: 24.6%) higher than its target range of 18-20% in FY24 due to lower RM prices. However, we believe the margin expansion is likely to be short lived and is likely to correct with increase in competitive intensity from Q4FY24. Maintain REDUCE. Outlook We model Asian Paints to report revenue and PAT CAGR of 9.8% and 14%, respectively. We believe the valuations (P/E of 60.2x FY25E) are stretched considering the increase in competitive pressure. Our DCF based revised target price is Rs3,000. Maintain REDUCE. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  Asian Paints - 27 -07 - 2023 - isc","Asian Paints, ICICI Securities, Recommendations, Reduce",https://www.moneycontrol.com//news/recommendations/reduce-asian-paints-targetrs-3000-icici-securities_17141311.html
9,API,2023-07-28T19:01:54+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Neutral Asian Paints; target of Rs 3120: Motilal Oswal,"Motilal Oswal recommended Neutral rating on Asian Paints with a target price of Rs 3120 in its research report dated July 26, 2023.","Motilal Oswal's research report on Asian Paints APNT reported strong volume growth of 10% in 1QFY24 (est. 8%). The management attributed this growth to the strong performance of the economy and premium segments, although the luxury segment lagged behind. Additionally, the company observed an improvement in rural markets, with rural and urban markets coming closer in terms of performance. The increase in gross margin was attributed to the softening of raw material prices, efficient sourcing, and a favorable product mix. As raw material prices stabilize, the gross margin is expected to return to normal levels. The management has given guidance for the EBITDA margin to be in the range of 18-20%. Although sharp input cost reductions could lead to healthy earnings growth, APNT&rsquo;s valuations are fair at 62.3xFY24E and 54.5xFY25E EPS. Outlook We retain our Neutral rating with a TP of INR3,120 (based on 50xFY25E EPS). For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  Asian Paints - 26 -07 - 2023 - moti","Asian Paints, Motilal Oswal, neutral, Recommendations",https://www.moneycontrol.com//news/recommendations/neutral-asian-paints-targetrs-3120-motilal-oswal_17138451.html
