,company,datePublished,author,headline,description,articleBody,tags,url
0,BA06,2024-02-29T11:40:33+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","Bajaj Auto trades ex-buyback, stock falls 4%","As per analysts at Nuvama, the acceptance ratio of the share buyback could be in the range of 4-10 percent; the buyback is likely to be completed within the next 15 days","Shares of Bajaj Auto fell around 4 percent in early trade on February 29 as they traded ex-buyback. The company's board had approved a Rs 4,000-crore share buyback in January, the record date for which was on February 28.  At 11.18 am, shares of Bajaj Auto were trading at Rs 7,982.15 on the NSE.  The company&nbsp;had announced buyback 40 lakh shares, or 1.4 percent stake, at a price of Rs 10,000 per share. The floor price of the buyback sits at a premium of 18 percent to the current market price.&nbsp;The buyback&nbsp;will happen through the tender offer route.  Follow our market blog for all the live action  However, given the smaller size of buyback and higher retail shares, acceptance ratio is expected to be lower. As per analysts at Nuvama, the acceptance ratio could come in the range of 4-10 percent. Those with investments of up to Rs 2 lakh are treated as retail investors.  The buyback is likely to be completed within the next 15 days.  This also marks Bajaj Auto's second share buyback in&nbsp;two&nbsp;years. Previously, the two-wheeler company repurchased shares worth Rs 2,500 crore from stakeholders&nbsp;at Rs 4,600 per share. Meanwhile, the company is also on the path to&nbsp;end FY24 with a cash balance of Rs 20,000 crore, providing it the headroom to reward investors and stage the buyback.  Shares of the two-wheeler company have more than doubled in the past year, even hitting an all-time high of Rs 8,650 this month.  Also Read |&nbsp;Bajaj Auto board approves Rs 4,000-crore share buyback at Rs 10,000 per share  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Bajaj Auto, Buzzing Stocks",https://www.moneycontrol.com//news/buzzing-stocks/bajaj-auto-trades-ex-buyback-stock-falls-4_17481931.html
1,BA06,2024-01-31T09:32:32+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Bajaj Auto; target of Rs 8818: KR Choksey,"KR Choksey is bullish on Bajaj Auto has recommended buy rating on the stock with a target price of Rs 8818 in its research report dated January 29, 2024.","KR Choksey's research report on Bajaj Auto For Q3FY24, BJAUT&rsquo;s total volumes grew by 22.1% YoY/ 14.0% QoQ to 12,00,997 units. Volumes for 9MFY24 grew by 7.0% YoY to 32,82,357 units. Revenue grew by 30.5% YoY/ 12.2% QoQ to INR 1,21,653 Mn and was in line with our estimate. The strong revenue performance was led by strong performance in domestic markets due to festive sales. Average realization improved by 7.6% YoY but moderated by 1.4% QoQ. For 9MFY24, revenue grew by 21.0% YoY to INR 3,33,155 Mn. The average realization grew by 13.8% YoY. EBITDA for the quarter was at INR 24,149 Mn, a growth of 37.4% YoY/ 13.4% QoQ and was in line with our estimate. EBITDA margin improved by 99 bps YoY/ 20 bps QoQ to 19.9%, driven by better YoY realizations, dynamic cost management and operating leverage which more than offset the drag from competitive investments on growing scale on electric scooters. For 9MFY24, EBITDA grew by 35.1% YoY to INR 64,773 Mn while EBITDA margin expanded by 203 bps YoY to 19.4%. PBT before share of associates grew by 37.1% YoY/ 11.1% QoQ to INR 26,662 Mn for the quarter, and by 32.2% YoY to INR 72,506 Mn for 9MFY24. PAT for the quarter was at INR 20,326 Mn, a growth of 38.0% YoY and was in line with our estimate. PAT is not comparable on a QoQ basis as the share of associates is only recorded by BJAUT in Q2 and Q4 and not in Q1 and Q3. For 9MFY24, PAT improved by 30.8% YoY to INR 56,968 Mn. Outlook We expect Revenue/ EBITDA/ Adj. PAT to grow at CAGR 15.4%/ 20.7%/ 18.1%, respectively over FY23-FY26E. The stock is currently trading at 27.1x/ 23.8x/ 21.5x our Adj. EPS estimate for FY24E/ FY25E/ FY26E, respectively. The share price has rallied by 23.8% since our last report. We assign a P/E multiple of 25.0x on FY26E EPS of INR 352.7 and arrive at a target price of INR 8,818/share (INR 7,093/share previously); implying an upside potential of 16.1% from the CMP. Accordingly, we maintain our &ldquo;BUY&rdquo; recommendation on the shares of Bajaj Auto. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  Bajaj Auto - 2912024 - kr","Bajaj Auto, Buy, KR Choksey, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-bajaj-auto-targetrs-8818-kr-choksey_17422081.html
2,BA06,2024-01-11T18:24:48+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}","Bajaj Auto Q3 PAT seen up 37.1% YoY to Rs 2,044.7 cr: Motilal Oswal","Net Sales are expected to increase by 29.9 percent Y-o-Y (up 12.2 percent Q-o-Q) to Rs 12,096.7 crore, according to Motilal Oswal.","Motilal Oswal has come out with its third quarter (October - December&rsquo; 24) earnings estimates for the AUTOMOBILES sector. The brokerage house expects Bajaj Auto to report net profit at Rs 2,044.7 crore up 37.1% year-on-year (up 11.4% quarter-on-quarter). Net Sales are expected to increase by 29.9 percent Y-o-Y (up 12.2 percent Q-o-Q) to Rs 12,096.7 crore, according to Motilal Oswal. Earnings before interest, tax, depreciation and amortisation (EBITDA) are likely to rise by 36.5 percent Y-o-Y (up 13.7 percent Q-o-Q) to Rs 2,425.5 crore. Disclaimer: The views and investment tips expressed by investment experts on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Motilal_Automobiles","automobiles, Bajaj Auto, Brokerage Results Estimates, earnings, Motilal Oswal, Result Poll",https://www.moneycontrol.com//news/result-poll/bajaj-auto-q3-pat-seen371-yoy-to-rs-20447-cr-motilal-oswal_17395931.html
3,BA06,2024-01-03T12:37:13+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Bajaj Auto; target of Rs 7567: Sharekhan,"Sharekhan is bullish on Bajaj Auto has recommended buy rating on the stock with a target price of Rs 7567 in its research report dated January 02, 2024.","Sharekhan's research report on Bajaj Auto Store addition for Triumph would continue as it is aiming for 100 stores in near term. It would continue to focus on high-margin trajectory on its premiumization play. Stock trades at P/E multiple of 19.8x and EV/EBITDA multiple of 14.2x its FY26 E estimates.  Outlook  We reiterate a Buy rating on Bajaj Auto with a revised PT of Rs. 7,567 on its superior profitability, play on premiumisation, and expectation of a gradual recovery in exports. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Bajaj Auto - 03 - 01 - 2024 - khan","Bajaj Auto, Buy, Recommendations, Sharekhan",https://www.moneycontrol.com//news/recommendations/buy-bajaj-auto-targetrs-7567-sharekhan_17387221.html
4,BA06,2024-01-25T09:04:35+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/veer-sharma-32391/', 'name': 'Veer Sharma'}","Bajaj Auto scales all time high as Q3 beats estimates: Should you buy, sell, or hold the stock?",Jefferies suggests the two-wheeler segment of the company is poised for a rebound and expects a 15 percent volume CAGR in FY24-26,"Shares of&nbsp;Bajaj Auto&nbsp;surged over 5 percent to hit its all-time high on January 25, extending the previous day's gains, after the two-wheeler major reported record high revenue and net profit for the third straight quarter. The stock closed at Rs&nbsp;7,590 in the session.  Brokerages have a mixed outlook on the stock, citing optimism over electrification, improving product mix and sales rebound, among other factors, but concerns over rising competition linger.  Earlier, on January 24, the Bajaj Auto stock rose 1.55 percent to end at Rs 7,206 ahead of results. It has gained over 42 percent since October.  Follow our market blog for all the live action  Brokerage ratings and target prices  Morgan Stanley has an 'overweight' call on Bajaj Auto with a target price of Rs 8,082 per share, implying an upside potential of about 12 percent from the previous closing price. Analysts at the firm said that October-December was a strong quarter and that improving product mix supported gross margin and EBITDA.  Also read:&nbsp;Bajaj Auto Q3FY24 net profit up 37% YoY at Rs 2,042 crore on robust sales, price hikes  Jefferies has a 'buy' rating on Bajaj Auto with a target price of Rs 9,000, implying an upside of nearly 25 percent. The firm said that the two-wheeler segment of the company is poised for a rebound, anticipating a 15 percent volume CAGR in FY24-26. Further, Bajaj Auto's increased focus on electrification with a market share of 13 percent bodes well. &amp;quot;The three-wheeler segment is also getting a good reception,&amp;quot; said the brokerage.  However, Citi has a 'sell' rating on the stock, with a target price of Rs 5,000, implying a downside of about 31 percent. The brokerage believes that the competitive intensity in the motorcycle space is high, and export revival could be long drawn.  Robust Q3 results  During the fiscal third quarter, the Triumph-maker reported a 37 percent year-on-year (YoY) increase in net profit for the third quarter Rs 2,041.88 crore driven by robust sales of its two-wheelers, price hikes and higher realisations amid consistent demand.  Benefiting from a more favourable product mix with an emphasis on premium vehicles, the Pune-based automaker witnessed a 30 percent increase in revenue, reaching Rs 12,113.51 crore in the October-December period. In comparison, the turnover during Q3FY23 amounted to Rs 9,315 crore.  Bajaj Auto stated that its margin increased further to 20.1 percent, up by +100 bps YoY. This improvement was attributed to better realisations, dynamic cost management, and operating leverage, which more than offset the impact of competitive investments in electric scooters.  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  &amp;amp;nbsp;","Bajaj Auto, Business, Result Analysis",https://www.moneycontrol.com//news/business/bajaj-auto-scales-all-time-high-as-q3-beats-estimates-should-you-buy-sell-or-holdstock_17414711.html
5,BA06,2024-01-01T13:23:31+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}","Bajaj Auto December sales rise 16% to 3,26,806 units","The company had sold a total of 2,81,514 units in December 2022, Bajaj Auto said in a statement.","Bajaj Auto on Monday reported a 16 per cent rise in total sales at 3,26,806 units in December 2023.  The company had sold a total of 2,81,514 units in December 2022, Bajaj Auto said in a statement.  Total two-wheeler sales were at 2,83,001 units last month as against 2,47,052 units in the year-ago period, a growth of 15 per cent, it added.  Domestic two-wheeler sales were at 1,58,370 units as compared to 1,25,553 units in the corresponding month a year ago, up 26 per cent, the company said.  Exports of two-wheelers were higher at 1,24,631 units last month from 1,21,499 units in December 2022.  Total commercial vehicle sales were higher by 27 per cent at 43,805 units as against 34,462 units in the same month a year ago, the company said.","Business, Companies",https://www.moneycontrol.com//news/business/bajaj-auto-december-sales-rise-16-to-326806-units_17384901.html
6,BA06,2023-12-01T11:54:46+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",Bajaj Auto sales grow 31% in November,"The Pune-based company had sold a total of 3,06,719 vehicles in November 2022, according to a statement.","Bajaj Auto on Friday reported a 31 per cent growth in its total vehicle sales at 4,03,003 units in November over the corresponding month of last year.  The Pune-based company had sold a total of 3,06,719 vehicles in November 2022, according to a statement.  Total domestic sales (two-wheelers and commercial vehicles) in the previous month grew by a whopping 69 per cent to 2,57,744 units as against 1,52,883 69 units in November 2022.  At the same time, exports during the month under review declined 6 per cent to 1,45,259 from 1,53,836 vehicles shipped out to overseas markets in the same month of last year, as per the statement.  Two-wheelers' domestic sales were at 2,18,597 units, registering a growth of 77 per cent over 1,23,657 units sold in November 2022, while exports fell 6 per cent year-on-year to 1,30,451 units in the previous month, it said.  The total two-wheeler sales during November 2023 were recorded at 3,49,048 units, growing 33 per cent over the same month last year.  The total commercial vehicles sales were 53,955 units in November 2023, as per the statement.","Auto, Bajaj Auto, Business, Companies",https://www.moneycontrol.com//news/business/bajaj-auto-sales-grow-31november_17356441.html
7,BA06,2023-10-03T09:59:51+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}","Bajaj Auto September sales down 1% at 3,92,558 units","The company had sold total 3,94,747 units in September 2022, Bajaj Auto said in a regulatory filing.","Bajaj Auto Ltd on Tuesday reported 1 per cent decline in total sales at 3,92,558 units in September 2023 compared to the same month last year.  The company had sold total 3,94,747 units in September 2022, Bajaj Auto said in a regulatory filing.  Total two-wheeler sales were at 3,27,712 units last month as against 3,48,355 units in the year-ago period, down 6 per cent, it added.  Domestic two-wheeler sales were at 2,02,510 units as compared to 2,22,912 units in the corresponding month a year ago, the company said.  Exports of two-wheelers were marginally down at 1,25,202 units last month as against 1,25,443 units in September last year. Total commercial vehicle sales were, however, up 40 per cent at 64,846 units as against 46,392 units in the same month last year, the company said.","Bajaj Auto, Business, Companies",https://www.moneycontrol.com//news/business/bajaj-auto-september-sales-down-1-at-392558-units_17257371.html
8,BA06,2023-08-01T12:06:54+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",Bajaj Auto sales dip 10% in July,"The company had sold 3,54,670 units in July 2022.","Bajaj Auto on Tuesday said its total sales declined by 10 per cent to 3,19,747 units in July. The company had sold 3,54,670 units in July 2022.  In the domestic market, the company's sales dropped by 2 per cent to 1,79,263 units from 1,82,956 units in July 2022, Bajaj Auto said in a statement.  Exports declined by 18 per cent year-on-year to 1,40,484 last month, from 1,71,714 units in July 2022, it added.","Business, Companies",https://www.moneycontrol.com//news/business/bajaj-auto-sales-dip-10july_17146441.html
9,BA06,2023-07-31T14:33:58+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Accumulate Bajaj Auto; target of Rs 5321: KR Choksey,"KR Choksey recommended accumulate rating on Bajaj Auto with a target price of Rs 5321 in its research report dated July 29, 2023.","KR Choksey's research report on Bajaj Auto BJAUT&rsquo;s operating revenue for Q1FY24 was at INR 1,03,119 mn, a growth of 28.8% YoY/ 15.5% QoQ. The underlying volume growth was 10.0% YoY/ 19.5% QoQ. Average Selling Price was higher by 17.6% YoY, but lower by 2.8% QoQ. Domestic revenues registered its biggest-ever quarter, maintaining its double-digit growth trajectory yet again. EBITDA for the quarter improved by 50.2% YoY/ 16.6% QoQ to INR 19,323 mn. EBITDA margin expanded by 267 bps YoY/ 18 bps QoQ to 18.7%. PBT before share of associates was INR 21,841 mn, a growth of 42.4% YoY/ 19.4% QoQ. PAT for the quarter was INR 16,441 mn, which grew by 41.3% YoY but declined by 3.6% QoQ. The QoQ decline was on account of the share of associates only being recorded in Q2 and Q4 and not in Q1 and Q3. Outlook We assign a P/E multiple of 18.5x (17.0x previously) on FY25E EPS of INR 287.6 ( INR 279.8 previously) to arrive at a target price of INR 5,321/share (INR 4,756/share previously); implying an upside potential of 9.5% from the CMP. Accordingly, we maintain our recommendation of &ldquo;ACCUMULATE&rdquo; on the shares of Bajaj Auto. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  Bajaj Auto - 28 -07 - 2023 -kr","Accumulate, Bajaj Auto, KR Choksey, Recommendations",https://www.moneycontrol.com//news/recommendations/accumulate-bajaj-auto-targetrs-5321-kr-choksey_17143731.html
