,company,datePublished,author,headline,description,articleBody,tags,url
0,BHE,2024-02-26T09:34:12+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",BHEL share price gain 1% despite Stock Exchanges impose fine,"The share touched a 52-week high of Rs 243.30 and a 52-week low of Rs 66.30 on 05 February, 2024 and 27 February, 2023, respectively.","Bharat Heavy Electricals (BHEL) share price rose 1&nbsp;percent in the early trade on February 26 despite Stock Exchanges imposing a fine on the company for non-compliance.  At 09:22 am Bharat Heavy Electricals was quoting at Rs 231.95, up Rs 2.20, or 0.96 percent, on the BSE.  The company received notice from BSE Ltd. and the National Stock Exchange of India Limited (NSE) each imposing a fine of Rs 5,42,800 for non-compliance with Regulation 17 (1) of SEBI (LODR) Regulations, 2015 about the composition of the board of directors as the number of independent directors is less than 50% of the actual strength of the BHEL&rsquo;s Board.  As per the provisions of the SOP Circular issued by Stock Exchanges, BHEL is proposing to seek a waiver of fines levied by Stock Exchanges, the company said.  BHEL is a government company and the directors including independent directors are appointed by the Government of India.  BHEL is regularly taking up with the Government of India for the appointment of a requisite number of independent directors to ensure compliance with the aforesaid regulations, it added.  Catch all market action in our live blog  The company had reported a standalone net loss of Rs 163 crore for the quarter ended December 31, 2023, and revenue from operations rose 4.5% to Rs 5,504 crore.  Earlier this month, the company received a Rs 5,500-crore order from Haryana Power Generation Corp Ltd. to set up a 1x800 MW Ultra Supercritical Expansion Unit at Deen Bandhu Chhotu Ram Thermal Power Plant (DCRTPP) in Yamuna Nagar.  The share touched a 52-week high of Rs 243.30 and a 52-week low of Rs 66.30 on 05 February 2024 and 27 February 2023, respectively.  Currently, the stock is trading 4.67 percent below its 52-week high and 249.85 percent above its 52-week low.  The stock price jumped 236 percent in the last 1-year.  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Bharat Heavy Electricals, Buzzing Stocks",https://www.moneycontrol.com//news/buzzing-stocks/bhel-share-price-gain-1-despite-stock-exchanges-impose-fine_17474681.html
1,BHE,2024-02-09T09:56:58+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","BHEL gains on winning Rs 5,500-crore order","The company's board of directors will meet on February 13 to approve unaudited financial results for &amp;amp; up to the quarter ended December 31, 2023","Bharat Heavy Electricals (BHEL) share price rose in the early trade on February 9 after the company received Rs 5,500-crore order from Haryana Power&nbsp;Generation Corp Ltd.  At 9.24 am, BHEL was quoting at Rs 234.10, up Rs 3.20, or 1.39 percent, on the BSE.  The company will set up 1x800 MW Ultra Supercritical Expansion Unit at Deen Bandhu Chhotu Ram Thermal Power Plant (DCRTPP) in Yamuna Nagar.  It will supply equipment, boiler, turbine, generator, and associated auxiliaries along with electrical and civil works. It will also be responsible for the building and commissioning of the unit.&nbsp;The contract is to be executed in 57 months.  Catch all market action in our live blog  A meeting of the board of directors will be held on February 13 to approve the unaudited financial results for and&nbsp; up to the quarter ended December 31,&nbsp;2023.  In January, the company received an order of EPC package for a 3x800 MW NLC Talabira Thermal Power Project (NTTPP) in Odisha's Jharsuguda district.  The share touched a 52-week high of Rs 243.30 on February 5, 2024 and a 52-week low of Rs 66.30 on February 27, 2023. The stock is trading 3.78 percent below its 52-week high and 253.09 percent above its 52-week low.","Bharat Heavy Electricals, Buzzing Stocks",https://www.moneycontrol.com//news/buzzing-stocks/bhel-gainswinning-rs-5500-crore-order_17438771.html
2,BHE,2024-01-15T09:26:13+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","BHEL shares hit 52-week high on EPC contract win worth Rs 15,000 crore","The said contract valued at Rs 15,000 crore and is to be executed in 64 months.","The&nbsp;Bharat Heavy Electricals (BHEL) stock touched a 52-week high of Rs 205.60&nbsp;in early trade on January 15 after the company received a contract from NLC India.  At 09:19 am, Bharat Heavy Electricals was quoting at Rs 201.70, up Rs 5.30, or 2.70 percent, on the BSE.  The order is an EPC package for a 3x800 MW NLC Talabira Thermal Power Project (NTTPP) in Odisha's Jharsuguda district.  The major equipment will be manufactured at BHEL&rsquo;s Trichy, Haridwar, Hyderabad, Jhansi, Bengaluru, Ranipet, Bhopal, Rudrapur, and Varanasi plants.  Catch all market action in our live blog  The contract included erection &amp;amp;amp; commissioning, civil works, and supply of Boiler, Turbine, Generator, and associated auxiliaries along with electrical and C&amp;amp;amp;I, Balance of Plant Packages.  The said contract, valued at Rs 15,000 crore, is to be executed in 64 months.  In Q2FY24, BHEL reported a consolidated net loss of Rs 238.12 crore as against a profit of Rs 12.10 crore in the previous fiscal. Total income for the reporting period fell to Rs 5,305.38 crore from Rs 5,418.74 crore in the same period a year ago.","Bharat Heavy Electricals, Buzzing Stocks",https://www.moneycontrol.com//news/buzzing-stocks/bhel-shares-hit-52-week-highepc-contract-win-worth-rs-15000-crore_17398991.html
3,BHE,2024-01-06T09:59:06+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/shailaja-mohapatra-25341/', 'name': 'Shailaja Mohapatra'}","IREDA, Cello, Mamaearth could make it to MSCI index, Nykaa, Mankind need to rally more","Inclusion or increase in stock weightage in global indices like MSCI and FTSE leads to inflows from passive funds, which track that index. Exclusion from these indices usually leads to outflows.","Recently-listed IREDA, Cello World,&nbsp;Honasa Consumer&nbsp;Products and Signature Global are among the top contenders likely to make it to the MSCI Smallcap index, according to&nbsp;Nuvama Alternative &amp;amp;amp; Quantitative Research.&nbsp;MSCI will make the&nbsp;official announcement on February 13, with adjustments set to take place on February 29.  According to Nuvama, the other probable inclusions to MSCI Smallcap index include Jaiprakash Associates, RR Kabel, KPI Green Energy, Protean e-gov, Swan Energy, J Kumar Infraprojects, RattanIndia Power, Time Technoplast, Ethosa, Sandur Manganese, Kesoram Industries, Sai Silks Kalamandir, Fedbank and DB Realty.  These stocks have rallied anywhere between 10-100 percent in the past three months making their free float-adjusted market capitalisation eligible for inclusion. According to Nuvama's calculation, IREDA's inclusion could bring $11 million worth passive inflows into the stock while other stocks could see $2-7 million of inflows each.  Also Read:&nbsp;One-third of India's wealth coming from stock markets, says NSE's Ashish Chauhan  Inclusion or increase in stock weightage in global indices like MSCI and FTSE leads to inflows from passive funds, which track that index. Exclusion from these indices usually leads to outflows. Thus, the announcements are widely tracked.  MSCI Standard Index  Jindal Stainless, BHEL, Punjab National Bank, NMDC and Oberoi Realty are currently qualifying for&nbsp;inclusion into MSCI Standard index.  &amp;quot;The current market prices need to hold up for inclusion. Once included, the stocks could see $130-150 million of passive inflows each,&amp;quot; said Abhilash Pagaria, Head, Nuvama Alternative &amp;amp;amp; Quantitative Research.  Also Read:&nbsp;SEBI updates short-selling framework with two provisions, aligns with 2007 circular  Some other strong contenders for inclusion into MSCI Standard index are Alkem Labs,&nbsp;Prestige Estates, Union Bank of India and Solar Industries. However, these stocks need to rally another 2-6 percent from current levels, said Pagaria.  Similarly, Dalmia Bharat, NHPC, GMR Airports, FSN E-Commerce Ventures, Canara Bank, Mankind Pharma, Bosch and Vodafone Idea can also make it to the MSCI Standard index if the stocks rally between 8-20 percent.  &amp;quot;If&nbsp;these stocks don't see upside momentum before Feb announcement, they can&nbsp;be strong candidates for May review,&amp;quot; added Pagaria. MSCI has set the cut-off period for Feb announcement between January 18 and 31.  When it comes to exclusions, Indraprastha Gas could drop off the index if it falls 3-4 percent from current market price. Currently, it is safe, said Nuvama.  Also read:&nbsp;SME IPOs: Here are 7 tips to tell the good from the bad  India now commands a 17.1 percent share in the MSCI emerging market index compared to 8 percent in October 2020. In the previous rejig, MSCI included&nbsp;nine Indian stocks in MSCI Standard Index, which included IndusInd Bank, Suzlon Energy, Persistent Systems and Paytm parent One97 Communications among others.  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Buzzing Stocks, Cello World, FSN E–Commerce Ventures, IREDA, MSCI",https://www.moneycontrol.com//news/buzzing-stocks/ireda-cello-mamaearth-could-make-it-to-msci-index-nykaa-mankind-need-to-rally-more_17390361.html
4,BHE,2024-01-01T10:20:16+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","BHEL rallies 5% on reports of outbidding L&amp;amp;T in NLC's Rs 19,422-cr Odisha project","BHEL was the lowest bidder for the Rs 19,422-crore project, beating out L&amp;amp;T, reports suggest.","Shares of BHEL gained nearly 5 percent in early trades on reports that the engineering and manufacturing enterprise had emerged as the lowest bidder for NLC's Odisha project, outbidding L&amp;amp;amp;T. At 9:50am, the stock was trading at Rs 202.40.  Follow our market blog for live updates  According to multiple market reports on January 1,&nbsp;BHEL&nbsp;( Bharat Heavy Electricals Limited)&nbsp;has won a&nbsp; Rs 19,422-crore job from NLC for a Talabira project. While Moneycontol could not independently verify the details, multiple reports say that BHEL was the lowest bidder for the Rs&nbsp;19,422-crore&nbsp;project, beating out&nbsp;L&amp;amp;amp;T. The reports add that under this turnkey contract,&nbsp;BHEL will build three ultra supercritical units of 800 MW each for NLC India at Talabira, Odisha.&nbsp;Additional chatter suggests that&nbsp;L&amp;amp;amp;T had not bid for the contract and that&nbsp;the order is&nbsp;unlikely in FY2024 and no work is expected in&nbsp;FY2025&nbsp;as the project doesn't have land assigned yet.  Also read:&nbsp;Narrative on NTPC stock keeps changing on market&rsquo;s whims, says Kotak Institutional Equities  In Q2FY24, BHEL reported a consolidated net loss of Rs 238.12 crore as against a profit of Rs 12.10 crore in the previous fiscal. Total income for the reporting period fell to Rs 5,305.38 crore from Rs 5,418.74 crore in the same period a year ago.  &nbsp;Disclaimer: The views and investment tips expressed by investment experts on&nbsp;Moneycontrol.com&nbsp;are their own and not those of the website or its management.&nbsp;Moneycontrol.com&nbsp;advises users to check with certified experts before taking any investment decisions.&nbsp;","BHEL, Buzzing Stocks",https://www.moneycontrol.com//news/buzzing-stocks/bhel-rallies-5reportsoutbidding-ltnlc39s-rs-19422-cr-odisha-project_17384591.html
5,BHE,2023-10-05T14:18:58+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",BHEL pays Rs 88 crore final dividend to Government of India for FY23,"A cheque towards the final dividend on the equity (63.17 per cent) held by Government of India was presented to Union Minister of Heavy Industries Mahendra Nath Pandey by BHEL Chairman and Managing Director Nalin Shinghal, it said in a BSE filing.","State-owned engineering firm BHEL on Thursday said it has paid Rs 88 crore as final dividend to Government of India for fiscal year 2022-23.  A cheque towards the final dividend on the equity (63.17 per cent) held by Government of India was presented to Union Minister of Heavy Industries Mahendra Nath Pandey by BHEL Chairman and Managing Director Nalin Shinghal, it said in a BSE filing.  The total dividend paid to the company's shareholders for FY 2022-23 amounts to over Rs 139 crore.","Business, Companies",https://www.moneycontrol.com//news/business/bhel-pays-rs-88-crore-final-dividend-to-governmentindia-for-fy23_17261001.html
6,BHE,2023-08-23T12:52:13+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",BHEL manufactures first set of indigenous SCR Catalysts to limit NOx emission,"These selective catalyst reactors (SCR) were hitherto being imported and this is a significant milestone under the 'Make in India' initiative of the government, a BHEL statement said.","State-owned engineering firm Bharat Heavy Electricals Ltd (BHEL) on Wednesday said it has successfully manufactured the first set of indigenous SCR Catalysts for limiting NOx emissions from thermal power plants.  These selective catalyst reactors (SCR) were hitherto being imported and this is a significant milestone under the 'Make in India' initiative of the government, a BHEL statement said.  According to the statement, the first set of indigenously manufactured SCR catalysts for the 5x800 MW Yadadri Thermal Power Station in Telangana, were flagged off by Renuka Gera, Director (Industrial Systems &amp;amp;amp; Products), BHEL, from the company's Solar Business Division (SBD) unit in Bengaluru.  BHEL has set up a SCR catalyst manufacturing facility at its SBD unit to cater to NOx abatement in thermal power stations.  Combustion of coal converts the nitrogen bound in coal to form products such as nitric oxide (NO), nitrogen dioxide (NO2) and nitrous oxide (N2O).  These products are collectively called oxides of nitrogen (NOx) -- a major pollutant. Recognising the long-term severe effects of NOx and in consideration of the Ministry of Environment and Forest's notification, the Telangana State Power Generation Corporation Limited (TSGENCO) had placed an order for SCRs for 5x800 MW Yadadri thermal power station.  Further, Maharashtra State Power Generation Co Ltd (MAHAGENCO) for 1x660 MW Bhusawal thermal power station, West Bengal Power Development Corporation Limited (WBPDCL) for 1x660 MW Sagardighi thermal power station and NALCO for 1x18.5 MW Damanjodi thermal power station.  BHEL has been committed to environment protection and offers a complete bouquet of environment friendly technologies for thermal power plants.  In addition to high efficiency boilers, BHEL supplies electrostatic precipitators, Flue Gas Desulphurisation units and Selective Catalyst Reactors for which the company has indigenised the technology absorbed from the market leader, NANO, Republic of Korea.","BHEL, Business, Companies",https://www.moneycontrol.com//news/business/bhel-manufactures-first-setindigenous-scr-catalysts-to-limit-nox-emission_17216091.html
7,BHE,2023-07-26T14:35:53+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",BHEL synchronises 660 MW Unit-2 of Maitree thermal power project in Bangladesh,Synchronisation of a thermal power plant means beginning of electricity supply through main grid at prescribed parameters.,"State-owned engineering firm Bharat Heavy Electricals on Wednesday announced synchronisation of 660-MW unit-2 of the 1,320-MW Maitree Super Thermal Power Project (STPP) with the electricity grid in Bangladesh.  Synchronisation of a thermal power plant means beginning of electricity supply through main grid at prescribed parameters.  The synchronisation of the unit has been done ahead of the commitment given at a high level G2G meeting, which was a very tough target even at the time it was given, a company statement said.  Bharat Heavy Electricals Ltd (BHEL) has achieved a major milestone with the successful synchronisation of the 660-MW Unit-2 of the 1,320-MW Maitree Super Thermal Power Project (STPP) in Bangladesh, it stated.  Maitree STPP is located at Rampal, Mongla, Bagerhat, Bangladesh, and is being set up by BHEL for the Bangladesh-India Friendship Power Company (BIFPCL), a 50:50 joint venture between the Bangladesh Power Development Board (BPDB) and NTPC Ltd.  The project is a symbol of successful cooperation between India and Bangladesh and is a priority infrastructure development project for Bangladesh aimed at establishing reliable, cost-effective, base-load power production in the country.  This project is a testament to BHEL's expertise and technological prowess in the power sector, it said, adding that the accomplishment further strengthens BHEL's position as a leading global player in providing reliable and sustainable energy solutions.","Business, Companies",https://www.moneycontrol.com//news/business/bhel-synchronises-660-mw-unit-2maitree-thermal-power-projectbangladesh_17133361.html
8,BHE,2023-05-29T15:03:53+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Reduce BHEL; target of Rs 67: Prabhudas Lilladher,"Prabhudas Lilladher recommended reduce rating on BHEL with a target price of Rs 67 in its research report dated May 28, 2023.","Prabhudas Lilladher's research report on BHEL BHEL reported a revenue growth of 2.1% to Rs82.3bn, with Adj. EBITDA margins coming in at ~7.5% in Q4FY23 vs 3.8% in Q4FY22 (adjusting for net provision). FY23 order inflows came in at Rs235bn (flat YoY) and order book stands at Rs913bn (4.1x FY23 revenue). Thermal power ordering is witnessing a pickup, after a gap of three years owing to rising power demand. BHEL is favorably placed in ~3700MW of orders. Additionally, projects of ~6000MW are under bidding stage for Yamunanagar, Adani Mundra, Talabira and Nayveli, which augurs well for BHEL in the medium term. While in industrial segment management targets to gradually increase its revenue contribution (~21% as of FY23), owing to strong traction witnessed in defence (SRGM for Navy), railways (strong Vande Bharat prospects), nuclear and hydro. We believe, pickup in thermal power orders and companies focus on diversification in segments such as railways, defence, nuclear, hydro augurs well for company in long term. However, execution pace, operational efficiency and margins in near term will be closely watched. The stock is trading at PE of 31.1x/17.7x FY24/25E. Upgrade to &lsquo;Reduce&rsquo;.  Outlook We roll forward to FY25E and upgrade to &lsquo;Reduce&rsquo; (Sell earlier) with revised TP of Rs67 (Rs36 earlier) valuing it at 15x FY25E (12x FY24E), factoring in gradual revival of thermal tendering and execution pace. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  BHEL - 28 -05 - 2023 - prabhu","BHEL, Prabhudas Lilladher, Recommendations, Reduce",https://www.moneycontrol.com//news/recommendations/reduce-bhel-targetrs-67-prabhudas-lilladher_17043641.html
9,BHE,2022-10-13T08:23:58+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}","Coal India, NLC India rope in BHEL to set up coal gasification based plants","Under the Memorandum of Understanding (MoU) with Coal India Limited (CIL), BHEL said it will jointly set up a coal to ammonium nitrate project based on gasification of high ash domestic coal.","State-owned BHEL&nbsp;said it has entered into two separate agreements with Coal India and NLC India Ltd to set up coal gasification based plants.  Under the Memorandum of Understanding (MoU) with Coal India Limited (CIL), BHEL said it will jointly set up a coal to ammonium nitrate project based on gasification of high ash domestic coal.  As per the agreement with NLC India Limited (NLCIL), a lignite-based gasification pilot plant will be set up for power generation, utilising BHEL's indigenously-developed Pressurised Fluidised Bed Gasification (PFBG) technology.  The MoUs were signed in presence of Minister of Heavy Industries Mahendra Nath Pandey, Minister of Mines &amp;amp;amp; Coal Pralhad Joshi, NITI Aayog member V.K. Saraswat, BHEL CMD Nalin Shinghal, CIL CMD Pramod Agrawal, NLCIL CMD Rakesh Kumar and other senior officials of the ministries and the three PSUs, BHEL said in a statement.  BHEL's coal gasification technology will not only help in gainful utilisation of India's large coal reserves in a sustainable manner and indigenous production of high-end chemicals, but can also boost power generation through integrated gasification combined cycle (IGCC) technology, in line with the Prime Minister Naremdra Modi's vision of Aatmanirbhar Bharat.  &amp;quot;75 per cent of Indian coal has high ash content and technologies developed abroad are not capable of handling such coal. BHEL's PFBG technology is most suited for this type of coal. The company has already successfully set up India's first high-ash Indian coal to Methanol (0.25 TPD) pilot plant,&amp;quot; BHEL said.","BHEL, Business, Companies",https://www.moneycontrol.com//news/business/coal-india-nlc-india-ropebhel-to-setcoal-gasification-based-plants_16652101.html
