,company,datePublished,author,headline,description,articleBody,tags,url
0,BI26,2024-02-28T09:14:48+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","Indus Towers stocks gain 2% on Vodafone Idea Rs 45,000-crore fund-raising plans","As of October 2023, Vodafone Idea owed Indus Towers around Rs 5,600 crore. Vodafone Idea repaid Rs 300 crore in January 2023.","Shares of Indus Towers gain 2.14 percent on February 28, a day after Vodafone Idea announced that its board approved fundraise of up to Rs 45,000 crore via equity and debt. At 9:20 am, the stock was trading at Rs 245.40.  The stock has gained over the last few sessions on reports of the beleaguered telecom'&nbsp; fundraising plans on the hope that some of the funds raised will be used to by Vodafone Idea to repay the money it owes to Indus Towers.  As of October 2023, Vodafone Idea owed Indus Towers around Rs 5,600 crore. The company&nbsp;is&nbsp;involved in installing, owning, and managing communications structures and telecom towers for wireless operators.&nbsp;Vodafone Idea&nbsp;had repaid Rs 300 crore to Indus Towers in January 2023.  Follow our market blog for live updates  On February 27, Citi Research had said that the fund raise can drive further upside for Indus Towers and will be a key factor to monitor. The note added that with the fundraise Indus Towers&nbsp;could potentially recover nearly half of its past outstanding dues from Vodafone Idea over the next two years.  Also read:&nbsp;Citi Research raises Indus Towers' target price to Rs 320 amid focus on Voda Idea fund raise  In Q3FY24, Indus Towers&nbsp;reported a net profit of&nbsp; Rs 1,540.1 crore for the Q3FY24.&nbsp;In the previous fiscal,&nbsp;Indus Towers posted a net loss of Rs 708.2 crore. EBITDA for the same period also grew to Rs 3,621.6 crore from Rs 1,185.8 crore in the corresponding period in the previous fiscal.  Disclaimer: The views and investment tips expressed by investment experts on&nbsp;Moneycontrol.com&nbsp;are their own and not those of the website or its management.&nbsp;Moneycontrol.com&nbsp;advises users to check with certified experts before taking any investment decisions. ","Buzzing Stocks, Indus Towers",https://www.moneycontrol.com//news/buzzing-stocks/indus-towers-stocks-gain-2vodafone-idea-rs-45000-crore-fund-raising-plans_17479851.html
1,BI26,2024-02-26T05:47:54+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/sunil-shankar-matkar-2345/', 'name': 'Sunil Shankar Matkar'}","Trade Spotlight | How to deal in Indus Towers, Astral, Computer Age Management Services",Indus Towers has seen a decisive breakout of downward sloping resistance trendline and saw a gap up opening. The stock formed strong bullish candlestick pattern on the daily charts with healthy volumes.,"The market is expected to remain positive, continuing to form higher highs, though there may be some intermittent volatility, experts said, adding&nbsp;that the Nifty 50 is likely to face the hurdle on the higher side at 22,500 in the coming sessions with immediate key support at 22,000.  On February 23, the benchmark indices closed flat with a negative bias, with the Nifty 50 falling 5 points to 22,213, and the BSE Sensex declining 15 points to 73,143, while the broader markets were tad better than the benchmarks as the Nifty Midcap 100 and Smallcap 100 indices gained 0.3 percent and 0.4 percent.  Stocks that were backed by bulls last Friday included Indus Towers, Astral, and Computer Age Management Services. Indus Towers has seen a decisive breakout of downward sloping resistance trendline and saw a gap up opening. The stock jumped 7 percent to Rs 241 and formed strong bullish candlestick pattern on the daily charts with healthy volumes. Further, it traded above all key moving averages.  Astral, after several weeks of consolidation, has seen a decisive breakout of downward sloping resistance trendline and formed robust bullish candlestick pattern on the daily timeframe with above average volumes. The stock rallied 5.6 percent to Rs 2,076 and traded above all key moving averages.  Computer Age Management Services also traded above all key moving averages, rising nearly 4 percent to Rs 3,113 and formed long bullish candlestick pattern on the daily scale with significantly higher volumes.  Here's what Rajesh Palviya of Axis Securities recommends investors should do with these stocks when the market resumes trading today:  Indus Towers  On the weekly chart, the stock has confirmed its past couple of years &lsquo;multiple resistance&rsquo; zone at Rs 232 levels on a closing basis indicating strong comeback of bulls. It has also confirmed a &amp;quot;rounding bottom&amp;quot; formation indicating trend reversal.  Since the last four months volumes are continuously rising indicating increased participation. The stock is sustaining above its 20, 50, 100 and 200-day SMA (simple moving average) and these averages are also inching upward along with rising prices which signifies strong uptrend. The daily and weekly Bollinger band buy signal suggests increased momentum.  Investors should buy, hold and accumulate this stock with an expected upside of Rs 260-285, with downside support zone of Rs 230-215 levels.    Astral  Since June 2023, the stock was consolidating within broad range (Rs 2,055-1,770) however with last week's strong upmove of 5 percent it has decisively broken out this range on a closing basis indicating major breakout. This breakout is accompanied with huge volumes indicating increased participation. This consolidation breakout signals continuation of prior uptrend.  The daily and weekly &amp;quot;Bollinger band&amp;quot; buy signal suggests increased momentum. The daily, weekly and monthly strength indicator RSI (relative strength index) is in positive terrain which shows sustained strength. The golden crossover of 20, 50, 100 and 200 day SMA reconfirms bullish trend.  Investors should buy, hold and accumulate this stock with an expected upside of Rs 2,200-2,310, with downside support zone of Rs 2,000-1,960 levels.  Computer Age Management Services  Since December 2021 the stock was consolidating with Rs 2,980-2,040 levels, however with last week's strong upmove of 8 percent it has confirmed &amp;quot;rounding bottom&amp;quot; formation at Rs 3,000 levels indicating strong comeback of bulls.  Last four months rising volumes signifies increased participation. The stock is sustaining above its 20, 50, 100 and 200-day SMA and these averages are also inching upward along with rising prices which signifies strong uptrend.  Investors should buy, hold and accumulate this stock with an expected upside of Rs 3,340-3,540, with downside support zone of Rs 3,000-2,920 levels.    Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Astral, Computer Age Management Services, Indus Towers, Stocks Views, Technicals, Trade Spotlight",https://www.moneycontrol.com//news/technicals/trade-spotlight-|-how-to-dealindus-towers-astral-computer-age-management-services_17474291.html
2,BI26,2024-01-29T20:15:12+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Neutral Indus Towers; target of Rs 210: Motilal Oswal,"Motilal Oswal recommended Neutral rating on Indus Towers with a target price of Rs 210 in its research report dated January 24, 2024.","Motilal Oswal's research report on Indus Towers Indus reported revenue/adj. EBITDA growth of 1%/3% QoQ (in line), led by strong tower/rental adds of 7.6k/7.2k and INR3b in provision write-backs. Rental EBITDA grew 3% QoQ. PAT growth was strong at 19% QoQ, led by lower power costs, and interest income for delayed payments. The company is benefiting from aggressive site adds by Bharti and the 5G rollout. However, since these are single-tenancy sites, they could drive higher capex, which alters the return profile despite adding linear (single tenant) sites and reduces FCF. Further, VIL&rsquo;s weak outlook and limited funding capability could dilute tenancies in the near term and raise concerns about its long-term tower sharing-led business model. Subsequently, we reiterate our Neutral rating. Outlook We factor in revenue/EBITDA growth of 5/6% in FY24-26E and arrive at a TP of INR210, implying an EV/tenancy ratio of INR1.6m and an EV/EBITDA ratio of 3.9x. We reiterate our Neutral rating on the stock. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  Indus Towers - 2612024 - moti","Indus Towers, Motilal Oswal, neutral, Recommendations",https://www.moneycontrol.com//news/recommendations/neutral-indus-towers-targetrs-210-motilal-oswal_17419281.html
3,BI26,2024-01-10T09:12:23+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","BofA Securities double upgrades Indus Towers to 'buy&rsquo;, sees 28% upside",Analysts at BofA Securities said that the double upgrade for Indus Towers means that the risk-reward for the stock is turning favourable,"Shares of&nbsp;Indus Towers&nbsp;surged 4 percent to Rs 220 per share&nbsp;on January 10 after brokerage firm BofA Securities double upgraded the stock to &ldquo;buy&rdquo; and also raised the target price by almost 80 percent on favourable &ldquo;risk-reward&rdquo;.  The brokerage raised the target prices to Rs 270 from Rs 148, implying an upside of 28 percent from current levels.  In the past month, the telecom player has surged over 11 percent against a 2 percent rise in the benchmark Sensex. Indus Towers hit a 52-week high of Rs 229 per share on January 5.  Follow live blog for all the market action  Analysts at BofA Securities said the double upgrade means that the risk-reward is turning favourable. &amp;quot;The potential reduction in capital expenditures or capex would likely lead to improving dividends. We see room for FY25&nbsp;EV/EBITDA&nbsp;of 5x to re-rate as 5G rollout improves and telcos witness a tariff hike,&amp;quot; the brokerage firm said.  Analysts at JM Financial expect Indus Towers to report 5,900 net tenacy additions for the December quarter and 6,200 more towers, primarily driven by Bharti Airtel&rsquo;s aggressive 5G rollout and rural expansion programme. Rentals are expected to be flat on a sequential basis.  Bharti is Indus Towers&rsquo; top tenant and also holds around 47.95 percent stake in the company.  Also Read:&nbsp;Moneycontrol Pro Panorama | Telecom Bill 2023: Striking the right chord  The brokerage expects revenue to improve 6.7 percent year-on-year to Rs 721 crore in the December quarter but profit after tax (PAT) could see a sharp decline of 292 percent to Rs 136 crore.  &ldquo;We raise our target price for Indus Towers to Rs 180 per share from Rs 160 due to rolling forward our valuations to March 2025. However, we maintain a 'hold' rating on Indus due to duopoly risks,&amp;quot; it said.  The company&rsquo;s board will meet on January 23 to consider and approve Q3 results and nine-months ended December quarter performance, the management has said.  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Buzzing Stocks, Indus Towers, telecom stocks",https://www.moneycontrol.com//news/buzzing-stocks/bofa-securities-double-upgrades-indus-towers-to-39buyâ-sees-28-upside_17393801.html
4,BI26,2023-08-01T20:04:09+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Neutral Indus Towers; target of Rs 170 : Motilal Oswal,"Motilal Oswal recommended Neutral rating on Indus Towers with a target price of Rs 170 in its research report dated July 28, 2023.","Motilal Oswal's research report on Indus Towers Indus reported 1.4% QoQ EBITDA growth (in line), led by 5% consolidated revenue growth as energy revenue grew by a sharp 10% QoQ. Rental revenue saw moderate 2% QoQ growth (in line) on 1.5%/0.7% QoQ growth in tenancy/rentals rates. Indus is benefiting from the aggressive site adds from Bharti along with 5G rollout, but being single tenancy sites, it could alter the return profile despite adding linear (single tenant) sites. Further, VIL&rsquo;s weak outlook and limited funding capability could a.) dilute tenancies in the near term, b.) put risk on the long-term tower sharing-led business model. Subsequently, we reiterate our Neutral rating on the stock. Outlook We factor EBITDA growth of 50/7% in FY24/25E on a low base on FY23, due to VIL write offs, arriving at our TP of INR170, implying an EV/tenancy ratio of INR1.8m and an EV/EBITDA ratio of 2.9x. We reiterate our Neutral rating on the stock. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  Indus Towers - 31 -07 - 2023 - moti","Indus Towers, Motilal Oswal, neutral, Recommendations",https://www.moneycontrol.com//news/recommendations/neutral-indus-towers-targetrs-170motilal-oswal_17147041.html
5,BI26,2023-04-28T22:37:52+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Neutral Indus Towers; target of Rs 160: Motilal Oswal,"Motilal Oswal recommended Neutral rating on Indus Towers with a target price of Rs 160 in its research report dated April 27, 2023.","Motilal Oswal's research report on Indus Towers Indus reported flat revenue and an adjusted EBITDA in-line with expectations, but PAT has been marginally impacted due to INR434m provisioning for VIL. This is much below INR53b provisioned in 9MFY23, as it has paid almost 90-100% of its billings. Weak FCF has reduced to INR13.4b for FY23 and the company has not declared any dividend. We expect Revenue/EBITDA CAGR of 1%/25% over FY23-25, with the risk of falling tenancies, despite the optimism around 5G-led tenancy additions. VIL&rsquo;s risk of survival and its weak return profile with single-digit ROCE has created uncertainty regarding the outlook for Indus Towers. Subsequently, we reiterate our Neutral rating on the stock. Outlook We factor in a revenue/EBITDA CAGR of 1%/25% over FY23-25 to arrive at our TP of INR160, implying an EV/tenancy ratio of INR1.7m and an EV/EBITDA ratio of 4.1x. The absence of dividend in FY23 v/s 5% in FY22 and declining FCF yield to 3.5% dilute the recurring annuity return investment thesis. We reiterate our Neutral rating on the stock. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  Indus Towers - 28 -04 - 2023 - moti","Indus Towers, Motilal Oswal, neutral, Recommendations",https://www.moneycontrol.com//news/recommendations/neutral-indus-towers-targetrs-160-motilal-oswal_16977571.html
6,BI26,2023-01-29T18:04:21+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Neutral Indus Towers; target of Rs 174: Motilal Oswal,"Motilal Oswal recommended Neutral rating on Indus Towers with a target price of Rs 174 in its research report dated January 25, 2023.","Motilal Oswal's research report on Indus Towers INDUSTOW&rsquo;s 3QFY23 performance continued to be adversely impacted by VIL. Its inability to raise funds increased provisions (INR23b), revenue equalization write-off (INR663m), and reversal of INR11b in the last quarter. Adjusting for the impact, revenue/EBITDA declined 1% QoQ to INR68b/INR35b, respectively. VIL&rsquo;s risk of survival puts uncertainty towards Indus Towers outlook. We expect Revenue/EBITDA CAGR of 1%/25% over FY23-25, respectively, with a risk of falling tenancies, despite the optimism around 5G-led tenancy additions. Subsequently, we reiterate our Neutral rating. Outlook We factor in a revenue/EBITDA CAGR of 1%/25%, respectively, over FY23-25 to arrive at our TP of INR174, implying an EV/tenancy ratio of INR1.3m and an EV/EBITDA ratio of 3.2x. The stock had garnered a healthy dividend yield of 5%, (FY22) but given the reversal in VIL revenue, not recognizing 3QFY23 revenue and uncertainty in receivables, would pose risk on the company financials. We reiterate our Neutral rating on the stock. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Indus Towers - 27 -01-2023 - moti","Indus Towers, Motilal Oswal, neutral, Recommendations",https://www.moneycontrol.com//news/recommendations/neutral-indus-towers-targetrs-174-motilal-oswal_16830431.html
7,BI26,2022-11-01T19:04:24+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Neutral Indus Towers; target of Rs 197: Motilal Oswal,"Motilal Oswal recommended Neutral rating on Indus Towers with a target price of Rs 197 in its research report dated October 29, 2022.","Motilal Oswal's research report on Indus Towers INDUSTOW&rsquo;s 2QFY23 performance was weighed down by higher provisions (INR17.7b), along with INR11b in write backs. Adjusted for the same, revenue/EBITDA stood flat at INR69b/INR45b. IDEA-related provisions ballooned to INR30b, highlighting the liquidity risk posed by it. IDEA has proposed a substantial monthly billing until Dec&rsquo;22 and the balance by Jul&rsquo;23, subject to its capital infusion plans. We expect an EBITDA CAGR of a mere 2% over FY22-24, with a risk of falling tenancies, despite the optimism around 5G-led tenancy additions. Subsequently, we maintain our Neutral rating. Outlook We factor in a revenue/EBITDA CAGR of a mere 2% over FY22-24 to arrive at our TP of INR197, implying an EV/tenancy ratio of INR2m and an EV/EBITDA ratio of 4.6x. The stock garners a healthy dividend yield of 5% (FY22), but the management said it will be a function of FCF, which remains at risk. We maintain our Neutral rating. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Indus Towers - 31-10-2022 - moti","Indus Towers, Motilal Oswal, neutral, Recommendations",https://www.moneycontrol.com//news/recommendations/neutral-indus-towers-targetrs-197-motilal-oswal_16682111.html
8,BI26,2022-11-01T18:25:19+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Reduce Indus Towers; target of Rs 170: ICICI Direct,"ICICI Direct recommended reduce rating on Indus Towers with a target price of Rs 170 in its research report dated October 31, 2022.","ICICI Direct's research report on Indus Towers Indus Towers was formed by the merger of Bharti Infratel and Indus Towers. This combined strength makes Indus one of the largest telecom tower companies in the world. The company has 187926 towers and 338128 co-locations (as on Q2FY23) and a nationwide presence covering all 22 telecom circles. Outlook Despite Vodafone Idea&rsquo;s (VIL) survival, near term growth challenges remain with competitive renewals as well as delays from VIL for dues. We also await traction of potential growth in adjacent areas such as small cells/in building solutions, etc. We maintain REDUCE rating. We value Indus at Rs 170 i.e. 4.5x FY24E EV/EBITDA. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Indus Towers - 31-10-2022 - icici","ICICI Direct, Indus Towers, Recommendations, Reduce",https://www.moneycontrol.com//news/recommendations/reduce-indus-towers-targetrs-170-icici-direct_16681961.html
9,BI26,2022-07-28T22:18:49+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",Indus Towers MD Bimal Dayal resigns,Indus Towers said it has taken note of Bimal Dayal's resignation and a succession plan will be communicated in due course.,"Indus Towers Ltd on July 28 announced the resignation of Bimal Dayal, who was serving as the company's managing director and chief executive officer since 2016.  Dayal has decided to &amp;quot;pursue opportunities outside Indus Towers&amp;quot;, the telecom infrastructure service provider said in a regulatory filing. Dayal's successor was yet to be named.  The company said its board, in a meeting held on July 27, &amp;quot;took note&amp;quot; of Dayal's resignation and a succession plan will be communicated in due course. &amp;quot;His last working day with the company is under discussion,&amp;quot; it added.  Dayal's resignation marks an end to his 12-year tenure with Indus Towers. This includes a six-year stint as the chief operating officer, followed by a six-year stint as the MD &amp;amp;amp; CEO.  &amp;quot;After twelve wonderful years at Indus Towers, it is time for me to move on,&amp;quot; Dayal said. &amp;quot;What I am leaving behind is a very stable and performing company with a great talent pool,&amp;quot; he added.  Indus Towers Chairman N Kumar, while lauding Dayal's services over the past 12 years, said he &amp;quot;led this company through&nbsp;the tough times of the last five years wherein the company braved the consolidation in the industry, the unknown of COVID, the difficult phase of AGR issue and culminated an impeccable merger between the company and erstwhile Indus Towers Limited&amp;quot;.  Indus Towers, in the last quarterly results released for the January-March period, had reported a 34 percent on-year jump in net profit to Rs&nbsp;1,829 crore. The company's revenue during the same period climbed by 10 percent on-year to&nbsp;Rs 7,116 crore.  On the day when Indus Towers confirmed the resignation of its MD&amp;amp;amp;CEO, the company's shares closed at Rs 223.05 a piece on NSE and BSE, which was 0.04 percent higher as compared to the previous day's close.","Announcements, Bimal Dayal, Companies, Indus Towers",https://www.moneycontrol.com//news/announcements/indus-towers-md-bimal-dayal-resigns_16529001.html
