,company,datePublished,author,headline,description,articleBody,tags,url
0,BP11,2017-11-10T21:39:08+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Bafna Pharmaceuticals' appoints Company Secretary &amp;amp; CO,"The Board of Directors in their meeting held on November 10, 2017  has appointed  Ms. Nirmala L, as the Company Secretary and Compliance Officer of the Company with effect from October 23, 2017.","The Board of Directors in their meeting held on 10 November 2017  has appointed  Ms. Nirmala L, as the Company Secretary and Compliance Officer of the Company with effect from 23 October 2017.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/bafna-pharmaceuticals39-appoints-company-secretaryco_10037421.html
1,BP11,2017-11-01T14:28:25+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","Bafna Pharmaceuticals' board meeting on November 10, 2017","The meeting of the Board of Directors of the Company is scheduled to be held on Friday, the 10th November 2017 to consider the Unaudited Financial Results for the quarter and half year ended 30th September 2017.","The meeting of the Board of Directors of the Company is scheduled to be held on Friday, the 10th November 2017 to consider the Unaudited Financial Results for the quarter and half year ended 30th September 2017.  The share touched its 52-week high Rs 35.25 and 52-week low Rs 20.00 on 10 January, 2017 and 14 August, 2017, respectively.    Currently, it is trading 30.5 percent below its 52-week high and 22.5 percent above its 52-week low.    Market capitalisation stands at Rs 55.51 crore.  Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/bafna-pharmaceuticals39-board-meetingnovember-10-2017_9962041.html
2,BP11,2017-10-06T21:25:56+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Bafna Pharma appoints Nirav Maniar as Director,We would like to inform you that the appointment of Mr. Nirav Maniar as an Additional Director of the Company.,Appointment of Mr. Nirav Maniar as an Additional Director of the CompanySource : BSE,Announcements,https://www.moneycontrol.com//news/announcements/bafna-pharma-appoints-nirav-maniar-as-director_9827781.html
3,BP11,2017-10-03T22:51:16+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Bafna Pharma: Outcome of AGM,"We kindly want to inform you that the proceedings of Annual General Meeting to be held on September 30, 2017.","Proceedings of Annual General Meeting held on September 30, 2017 - Regulation 30 of SEBI (LODR) Regulations 2015Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/bafna-pharma-outcomeagm_9806961.html
4,BP11,2017-09-12T16:20:50+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Bafna Pharma: Outcome of board meeting,Bafna Pharma has informed about the outcome of board meeting.,"1. Approval of Directors report 2. Fixing of date, place, time of 22nd AGM. 3. Fixing of Book Closure for 22nd AGM 4. Fixing of Cut-off Date for voting 5. To recommend the appointment of Statutory Auditor of the Company. 6. To recommend the re-appointment of Managing Director of the Company  7.To recommend the re-appoint of Whole time Director of the Company. Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/bafna-pharma-outcomeboard-meeting_9668021.html
5,BP11,2017-08-08T22:45:47+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Bafna Pharma: Outcome of board meeting,"We kindly want to inform you that the outcome of Meeting of Board of Directors to be held on August 08, 2017.","Outcome of Meeting of Board of Directors held on 8th August, 2017.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/bafna-pharma-outcomeboard-meeting_9434401.html
6,BP11,2017-03-14T12:42:29+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Bafna Pharma: Outcome of board meeting,"Tthis is to inform you that, the Board of Directors of Bafna Pharma in their meeting held on Tuesday, the 14th day of March, 2017 considered and approved the Private Placement Offer Letter (PAS-4)  2.Constituted Warrant Allotment Committee of the Board.","Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulation, 2015, this is to inform you that, the Board of Directors of the Company in their meeting held on Tuesday, the 14th day of March, 2017 which commenced at 11.00 A.M. and concluded at 12.15 P.M., inter alia transacted the following:    1.Considered and approved the Private Placement Offer Letter (PAS-4)  2.Constituted Warrant Allotment Committee of the Board.Source : BSE Read all announcements in Bafna Pharma",Announcements,https://www.moneycontrol.com//news/announcements/bafna-pharma-outcomeboard-meeting_8637461.html
7,BP11,2017-03-10T21:54:55+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Bafna Pharma's board meeting on Mar 14, 2017","Bafna Pharmaceuticals board meeting will be held on March 14, 2017.","Bafna Pharmaceuticals Ltd has informed BSE that the 162nd Board Meeting of the Directors of the Company will be held on March 14, 2017 inter alia, to transact following business1. To consider and approve PRIVATE PLACEMENT OFFER LETTER (Form PAS-4).Source : BSE Read all announcements in Bafna Pharma",Announcements,https://www.moneycontrol.com//news/announcements/bafna-pharma39s-board-meetingmar-14-2017_8630641.html
8,BP11,2017-01-05T15:34:24+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Bafna Pharmaceuticals: Updates on outcome of board meeting,"Bafna Pharmaceuticals Ltd has informed BSE that meeting of the Board of Directors of the Company was held on January 04, 2017, where it was decided to withdraw entire preferential issue of 40,00,000 share warrants and in-principle application filed with the Stock Exchanges.","Bafna Pharmaceuticals Ltd has informed BSE that meeting of the Board of Directors of the Company was held on January 04, 2017, where it was decided to withdraw entire preferential issue of 40,00,000 share warrants and in-principle application filed with the Stock Exchanges.Source : BSE Read all announcements in Bafna Pharma",Announcements,https://www.moneycontrol.com//news/announcements/bafna-pharmaceuticals-updatesoutcomeboard-meeting_8216701.html
9,BP11,2017-01-04T21:48:08+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Bafna Pharmaceuticals: Outcome of board meeting,"Bafna Pharmaceuticals has informed about Outcome of Board Meeting held on January 04, 2017.","Bafna Pharmaceuticals Ltd has informed BSE about Outcome of Board Meeting held on January 04, 2017.Source : BSE Read all announcements in Bafna Pharma",Announcements,https://www.moneycontrol.com//news/announcements/bafna-pharmaceuticals-outcomeboard-meeting_8212001.html
10,BP11,2016-11-11T22:43:36+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Bafna Pharmaceuticals: Outcome of board meeting,"Bafna Pharmaceuticals has informed regarding Outcome of Board Meeting held on November 11, 2016.","Bafna Pharmaceuticals Ltd has informed BSE regarding Outcome of Board Meeting held on November 11, 2016.Source : BSE Read all announcements in Bafna Pharma",Announcements,https://www.moneycontrol.com//news/announcements/bafna-pharmaceuticals-outcomeboard-meeting_7953421.html
11,BP11,2016-11-01T15:30:20+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Bafna Pharmaceuticals' board meeting on November 11, 2016","Bafna Pharmaceuticals Ltd has informed BSE that the meeting of the Board of Directors of the Company is scheduled to be held on November 11, 2016, to consider among others, the Unaudited Financial Results for the quarter ended September 30, 2016.","Bafna Pharmaceuticals Ltd has informed BSE that the meeting of the Board of Directors of the Company is scheduled to be held on November 11, 2016, to consider among others, the Unaudited Financial Results for the quarter ended September 30, 2016.Further, the Company confirms that as per the Company's internal code for Prevention of Insider Trading, the trading window for dealing in the securities of the Company by the Directors and employees will remain closed from the date of receipt of this communication till 48 hours after the announcement of financial results made to the public, i.e. November 13, 2016.Source : BSE Read all announcements in Bafna Pharma",Announcements,https://www.moneycontrol.com//news/announcements/bafna-pharmaceuticals-board-meetingnovember-11-2016_7868141.html
12,BP11,2016-06-17T21:50:39+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Bafna Pharmaceuticals: Outcome of board meeting,"Bafna Pharmaceuticals at its meeting held on June 17, 2016, considered and approved the proposal for Allotment of Equity Shares of 10,00,000 to Promoters and 30,00,000 Equity Shares to External investors (Non-Promoter) under Preferential allotment basis through Postal Ballot Process.","Bafna Pharmaceuticals Ltd has informed BSE that the Board of Directors of the Company at its meeting held on June 17, 2016, considered and approved the proposal for Allotment of Equity Shares of 10,00,000 to Promoters and 30,00,000 Equity Shares to External investors (Non-Promoter) under Preferential allotment basis through Postal Ballot Process.Source : BSE Read all announcements in Bafna Pharma",Announcements,https://www.moneycontrol.com//news/announcements/bafna-pharmaceuticals-outcomeboard-meeting_6887521.html
13,BP11,2016-06-10T15:34:58+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Bafna Pharma's board meeting on June 17, 2016","Bafna Pharmaceuticals Ltd has informed BSE that a meeting of the Board of Directors of the Company will be held on June 17, 2016 to consider the proposal of issue of Equity Shares to Promoter Group and / or External Investors on a private placement /preferential allotment basis.","Bafna Pharmaceuticals Ltd has informed BSE that a meeting of the Board of Directors of the Company will be held on June 17, 2016 to consider the proposal of issue of Equity Shares to Promoter Group and / or External Investors on a private placement /preferential allotment basis under the provisions of the Companies Act, 2013.Further, the trading window for dealing with securities of the Company will be closed for the employees &amp;amp; Directors w.e.f. June 10, 2016 to till the date of the Board Meeting (both days inclusive).Source : BSE Read all announcements in Bafna Pharma",Announcements,https://www.moneycontrol.com//news/announcements/bafna-pharmas-board-meetingjune-17-2016_6845741.html
14,BP11,2016-03-03T22:01:17+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Bafna Pharma CFO M. R. Ramachandran resigns,"Bafna Pharmaceuticals has informed that Mr. M. R. Ramachandran, Chief Financial Officer has submitted his resignation and relieved from the services of the Company effective from the closing hours of March 03, 2016.","Bafna Pharmaceuticals Ltd has informed BSE that Mr. M. R. Ramachandran, Chief Financial Officer has submitted his resignation and relieved from the services of the Company effective from the closing hours of March 03, 2016.Source : BSE Read all announcements in Bafna Pharma",Announcements,https://www.moneycontrol.com//news/announcements/bafna-pharma-cfo-m-r-ramachandran-resigns_5753741.html
15,BP11,2016-01-28T15:24:31+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Bafna Pharmaceuticals' board meeting on February 11, 2016","Bafna Pharmaceuticals Ltd has informed BSE that a meeting of the Board of Directors of the Company is scheduled on February 11, 2016, to consider and approve the Unaudited Financial Results for the quarter ended December 31, 2015.","Bafna Pharmaceuticals Ltd has informed BSE that a meeting of the Board of Directors of the Company is scheduled on February 11, 2016, to consider and approve the Unaudited Financial Results for the quarter ended December 31, 2015.Further, the Trading Window of the Company will remain closed from January 28, 2016 and shall be opened 48 (Forty-Eight) hours after the aforesaid financial results are approved by the Board of Directors on February 11, 2016 and filed with the stock exchanges.Source : BSE Read all announcements in Bafna Pharma",Announcements,https://www.moneycontrol.com//news/announcements/bafna-pharmaceuticals-board-meetingfebruary-11-2016_5191601.html
16,BP11,2015-11-20T19:44:33+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Bafna Pharmaceuticals: Updates on outcome of AGM,"Bafna Pharmaceuticals has submitted a copy of the minutes of the proceedings of the 20th Annual General Meeting (AGM) of the Company held on September 29, 2015.","Bafna Pharmaceuticals Ltd has submitted to BSE a copy of the minutes of the proceedings of the 20th Annual General Meeting (AGM) of the Company held on September 29, 2015.Source : BSE Read all announcements in Bafna Pharma",Announcements,https://www.moneycontrol.com//news/announcements/bafna-pharmaceuticals-updatesoutcomeagm_4263001.html
17,BP11,2015-10-23T12:36:47+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Bafna Pharmaceuticals' board meeting on November 06, 2015","Bafna Pharmaceuticals Ltd has informed BSE that the meeting of the Board of Directors of the Company is scheduled on November 06, 2015, inter alia, to consider the Un-Audited Financial Results for the Quarter ending September 30, 2015.","Bafna Pharmaceuticals Ltd has informed BSE that the meeting of the Board of Directors of the Company is scheduled on November 06, 2015, inter alia, to consider the Un-Audited Financial Results for the Quarter ending September 30, 2015.Further, the Company confirms that as per the Company's internal code for Prevention of Insider Trading, the Trading window for the dealing in the securities of the Company by the Directors and Employees will remain closed from the date of receipt of this communication till 48 hours after the announcement of the results made to the public.Source : BSE Read all announcements in Bafna Pharma",Announcements,https://www.moneycontrol.com//news/announcements/bafna-pharmaceuticals-board-meetingnovember-06-2015_3743381.html
