,company,datePublished,author,headline,description,articleBody,tags,url
0,BS13,2017-02-08T14:49:02+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Bharati Defence's board meeting on February 14, 2017","Bharati Defence and Infrastructure Ltd has informed BSE that a Meeting of the Board of Directors of the Company will be held on February 14, 2017, inter alia, to consider, approve and take on record the Unaudited Financial Results of the Company for the quarter ended December 31, 2016.","Bharati Defence and Infrastructure Ltd has informed BSE that a Meeting of the Board of Directors of the Company will be held on February 14, 2017, inter alia, to consider, approve and take on record the Unaudited Financial Results of the Company for the quarter ended December 31, 2016.Source : BSE Read all announcements in Bharati Def",Announcements,https://www.moneycontrol.com//news/announcements/bharati-defences-board-meetingfebruary-14-2017_8451201.html
1,BS13,2016-11-09T15:55:30+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Bharati Defence and Infrastructure's board meeting on November 14, 2016","Bharati Defence and Infrastructure Ltd has informed BSE that a Meeting of the Board of Directors of the Company will be held on November 14, 2016, inter alia, to consider, approve and take on record the Unaudited Financial Results of the Company for the quarter and half year ended September 30, 2016.","Bharati Defence and Infrastructure Ltd has informed BSE that a Meeting of the Board of Directors of the Company will be held on November 14, 2016, inter alia, to consider, approve and take on record the Unaudited Financial Results of the Company for the quarter and half year ended September 30, 2016.Source : BSE Read all announcements in Bharati Def",Announcements,https://www.moneycontrol.com//news/announcements/bharati-defenceinfrastructures-board-meetingnovember-14-2016_7934861.html
2,BS13,2016-08-08T16:15:57+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Bharati Defence and Infrastructure's board meeting on August 13, 2016","Bharati Defence and Infrastructure Ltd has informed BSE that a Meeting of the Board of Directors of the Company will be held on August 13, 2016, inter alia, to consider and approve the Unaudited Financial Results of the. Company for the quarter ended June 30, 2016.","Bharati Defence and Infrastructure Ltd has informed BSE that a Meeting of the Board of Directors of the Company will be held on August 13, 2016, inter alia, to consider and approve the Unaudited Financial Results of the. Company for the quarter ended June 30, 2016.Source : BSE Read all announcements in Bharati Def",Announcements,https://www.moneycontrol.com//news/announcements/bharati-defenceinfrastructures-board-meetingaugust-13-2016_7226261.html
3,BS13,2016-05-06T18:48:32+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","7 years after messy bidding war, 2 rival ship-builders at sea",Life seems to have come a full circle for both ABG Shipyard and Bharati Defence ever since they both made competing open offers for Great Offshore in 2009. Ever since their fortunes have taken a turn for the worse.,"Karthik Krishnanmoneycontrol.comLife seems to have come a full circle for both ABG Shipyard and Bharati Defence ever since they both made competing open offers for Great Offshore in 2009. Bharati Defence (then Bharati Shipyard), which bought the Mumbai-based offshore oilfield services provider for over Rs 700 crore, has been suffering from a winner&amp;amp;rsquo;s curse ever since. Its troubles began soon after it won the takeover battle for Great Offshore. Triggers for its fall, many say, mainly had to do with unfavourable conditions in the country. Importing ships had always been cheaper than building them at our backyard. Basic customs duty was little and countervailing levy on imports was nil &amp;amp;mdash; which put Indian shipyards, especially private players like ABG and Bharati, at a greater disadvantage while building vessels for the country. In 2010, Bharati&amp;amp;rsquo;s secured and unsecured loans more than doubled from their levels in the year before and by March 2013 its total debt stood at Rs 8,500 crore. With its back to the wall, the shipbuilder tried its best to get out the funk. In 2013, it approached the corporate debt restructuring cell only to walk right out of it the next year. There wasn&amp;amp;rsquo;t much left for its lenders to do but to sell a majority of the loans to an asset reconstruction company. Right now, Edelweiss Asset Reconstruction owns about three-quarters of the shipyard&amp;amp;rsquo;s debt. For what it was worth, the shipbuilder also tapped the Board for Industrial and Financial Reconstruction last year. Meanwhile, a similar story was unfolding in the docks of ABG Shipyard. In 2010, it completed its purchase of the indebted Western India Shipyard, buying it off the hands of its lender. The repair rig had been making nothing but losses since it began life in 1996. And with this purchase, along with the many headwinds that already existed in the system, ABG&amp;amp;rsquo;s fortunes changed for the worse. Right now, burdened with a debt of Rs 11,000 crore, a fate worse than Bharati&amp;amp;rsquo;s, ABG&amp;amp;rsquo;s lenders are now looking to take it over, after its promoters couldn&amp;amp;rsquo;t find an investor once again. Sources now say its 22-strong lenders are considering strategic debt restructuring (SDR) to recover their debt. There isn&amp;amp;rsquo;t much choice or time left for these two: both have begun their search for an investor. Recently, however, ABG&amp;amp;rsquo;s talks with Vietnam-based Masan Group for a strategic stake sale came unstuck. There is rough weather ahead of both of them unless the government steps in with quick fixes. More incentives for private shipbuilders and allowing them&amp;amp;nbsp;to win defence contracts would be one way to go. Raising import costs would be another. &amp;amp;nbsp;",", ABG Shipyard, Bharati Defence and Infrastructure, Business, Great Offshore",https://www.moneycontrol.com//news/business/7-years-after-messy-bidding-war-2-rival-ship-builders-at-sea_6565081.html
4,BS13,2016-01-07T16:01:28+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Bharati Shipyard: Outcome of board meeting,"Bharati Shipyard Ltd has informed BSE that the Board of Directors of the Company at its meeting held on January 07, 2016 have approved for issuance and allotment of 2647313 convertible warrants at Rs.22/- per warrant on preferential basis to M/s. Edelweiss Finance &amp;amp; Investments.","Bharati Shipyard Ltd has informed BSE that the Board of Directors of the Company at its meeting held on January 07, 2016 have approved for issuance and allotment of 2647313 convertible warrants at Rs.22/- per warrant on preferential basis to M/s. Edelweiss Finance &amp;amp; Investments Limited in compliance with all statutory and relevant regulations.The Company has received 25% amount towards the issue price i.e. Rs.5.50 per warrant, totaling to Rs.1,45,60,221.50 from M/s. Edelweiss Finance &amp;amp; Investments Limited.Accordingly, the Company have allotted on January 07, 2016, 2647313 convertible warrants to M/s. Edelweiss Finance &amp;amp; Investments Limited.Source : BSE Read all announcements in BharatiShipyard",Announcements,https://www.moneycontrol.com//news/announcements/bharati-shipyard-outcomeboard-meeting_4913321.html
5,BS13,2015-11-10T09:07:15+05:30,"{'@type': 'Person', 'name': 'Faizan Javed'}",Bharati Shipyard Q2 net loss at Rs 220 cr,"The company had reported a net loss of Rs 44.96 crore in the year-ago period, it said in a BSE filing. The total income from operations increased to Rs 10.96 crore during the quarter under review as against Rs 6.58 crore in the year-ago period.","Bharati Shipyard has reported a standalone net loss of Rs 219.92 crore for the quarter ended September 30. The company had reported a net loss of Rs 44.96 crore in the year-ago period, it said in a BSE filing. The total income from operations increased to Rs 10.96 crore during the quarter under review as against Rs 6.58 crore in the year-ago period. Bharati Shipyard, a leading private sector shipyard, is engaged in design and construction of sea-going, coastal, harbour, inland crafts and vessels. The product range which initially was limited to simple inland cargo barges, deep-sea trawlers and dredgers has now been upgraded to building maneuverable and power-packed ocean going tractor tugs, cargo ships, tankers and other support vessels required for the offshore industry. &amp;amp;nbsp;","Bharati Shipyard, BSE, consolidated net profit, net profit, Results, total Income",https://www.moneycontrol.com//news/results/bharati-shipyard-q2-net-loss-at-rs-220-cr_4076661.html
6,BS13,2015-09-15T17:45:46+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Bharati Shipyard loan: Edelweiss calls for debt aggregation,"It can be noted that Edelweiss ARC has been buying over stressed loans of lenders from banks since last year and is now planning a Rs 4,500 crore restructuring for the ailing company","Citing troubles it is facing with the Bharati Shipyard loans, Edelweiss Asset Reconstruction Company today said there is a need for debt aggregation for smoother resolution of stressed assets. &amp;quot;We have taken over 70 percent of the loans of Bharati Shipyard and the remaining 30 percent are spread across 10 banks. This creates problems in the resolution of assets as bringing all the lenders together is an issue,&amp;quot; its managing director and chief executive Sibi Anthony said speaking at a seminar here. He said in the absence of the same, there is a need for all the lenders to come forward on debt aggregation and ensure that the player who is most interested in turning around the asset gets complete freedom to do so. It can be noted that Edelweiss ARC has been buying over stressed loans of lenders from banks since last year and is now planning a Rs 4,500 crore restructuring for the ailing company. Reserve Bank deputy governor R Gandhi acknowledged the difficulties faced by the ARCs like Edelweiss. &amp;quot;Many times, sale of debts of a single borrower to a single SC (securitisation company) or RC (reconstruction company) may not be possible, sale of entire debt of one borrower to a single SC/RC would help in effective and efficient resolution,&amp;quot; he said.","Bharati Shipyard, Business, Edelweiss Asset Reconstruction Company, PTI, R Gandhi, Reserve Bank, Sibi Anthony",https://www.moneycontrol.com//news/business/bharati-shipyard-loan-edelweiss-calls-for-debt-aggregation_3088621.html
7,BS13,2015-07-31T20:45:02+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Bharati Shipyard to change name to reflect focus on defence,"Indicating greater focus on defence business, Bharati Shipyard Ltd on Friday said it will change its name to Bharati Defence and Infrastructure Ltd.","Indicating greater focus on defence business, Bharati Shipyard Ltd on Friday said it will change its name to Bharati Defence and Infrastructure Ltd. &amp;quot;The Board of Directors of the company at its meeting held on July 31, 2015 (has unanimously decided)...to change name of the company from Bharati Shipyard Ltd to Bharati Defence And Infrastructure Ltd,&amp;quot; the company said in a regulatory filing. The board also decided to carry out consequential amendments to the Memorandum and Articles of Association of the company, reflecting the name change by way of postal ballot. The board has also decided &amp;quot;to issue convertible warrants to the lender&amp;quot;.&amp;amp;nbsp;","Bharati Defence And Infrastructure Ltd, Bharati Shipyard, Business, Memorandum and Articles of Association, PTI",https://www.moneycontrol.com//news/business/bharati-shipyard-to-change-name-to-reflect-focusdefence_2268921.html
8,BS13,2015-07-25T00:02:02+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","BharatiShipyard board meeting on July 31, 2015","Bharati Shipyard's board meeting will be held on July 31, 2015, to consider the business, subject to all necessary approvals and Change of name of the Company from","Bharati Shipyard Ltd has informed BSE that a meeting of the Board of Directors of the Company will be held on July 31, 2015, inter alia, to consider the following business, subject to all necessary approvals:1. Change of name of the Company from &amp;quot;Bharati Shipyard Limited&amp;quot; to &amp;quot;Bharati Defence And Infrastructure Limited&amp;quot;.2. Change of Objects Clause of the Company to enable the Company to foray into Defence products and other allied activities.3. To issue Convertible Warrants to the lender.Source : BSE Read all announcements in BharatiShipyard",Announcements,https://www.moneycontrol.com//news/announcements/bharatishipyard-board-meetingjuly-31-2015_2147321.html
9,BS13,2015-04-01T08:17:25+05:30,"{'@type': 'Person', 'name': 'Nazim Khan'}",Over 250 cos appoint women directors to meet Sebi deadline,"Among the large Sensex and Nifty companies, the three non-compliant firms till late evening were ONGC, PNB and BPCL -- all of them public sector entities, as per the status update report submitted by exchanges to Sebi. It could not be ascertained whether these companies made compliance with Sebi norms later in the night.","Waking up at the last moment, over 250 companies including from Adani and Essar Groups, appointed women directors to meet the Sebi deadline of Tuesday midnight for having at least one female board member, even as some PSUs were seen lagging behind. The companies have, however, mostly appointed wives or daughters of their promoters or top executives, while some have also replaced their independent directors with their female family members, mainly wives, daughters or sisters. Among the large Sensex and Nifty companies, the three non-compliant firms till late evening were ONGC, PNB&amp;amp;nbsp;and BPCL&amp;amp;nbsp;-- all of them public sector entities, as per the status update report submitted by exchanges to Sebi. It could not be ascertained whether these companies made compliance with Sebi norms later in the night. Overall, more than 1,000 listed companies did not have even one woman director till late hours, but most of them were small and little-known entities including those below the threshold equity capital base of Rs 10 crore for these norms. More than 250 companies however, appointed women directors on Tuesday. The numbers can rise further as board meetings were scheduled till late night to comply with the norms, which were first announced in February 2014 with an initial deadline of October 1, 2014. It was later extended by 6 months. On Tuesday too, meetings continued till almost midnight and nearly 200 companies made such appointments as part of last-minute rush that began late last week after a stern warning from the regulator. Tuesday onwards, the companies without a woman director may face penal action under the Sebi regulations, as also under the Companies Act, including monetary fines. While Sebi norms provide for penalty of up to Rs 25 crore, the penalty under the Companies Act can be from Rs 5,000 to Rs 5 lakh. Sources said the stock exchanges were asked by Sebi to submit a compliance status on Tuesday, while a final update would be provided on Tuesday after taking into account late-night filings. Subsequently, Sebi will look into the final compliance status and begin the process for undertaking necessary action against the non-compliant companies. Similar action would be initiated by the Corporate Affairs Ministry for non-compliance to the Companies Act provisions. The companies which appointed women members on their boards as independent directors on Tuesday included Adani Power, Adani Ports&amp;amp;nbsp;and SEZ, Essar Oil, Golden Tobacco, Prime Capital Market, Linc Pen&amp;amp;nbsp;and Plastics&amp;amp;nbsp;and Kohinoor Foods. Other companies that announced appointments of women directors on Tuesday were GVK Power, Dhampure Specialty Sugars, Ashoka Buildcon, ABG Infralogistics, Surya Roshni Ltd, Bharati Shipyard, India Home Loan Ltd, Landmark Property, Donear Industries Ltd&amp;amp;nbsp;and Nitesh Estates. At least 80 companies on Tuesday announced appointment of women directors as independent board members, while another 110 appointed non-independent female directors. There are more than 5,000 companies listed on the BSE, while NSE has nearly 1,650 entities on its platform. Till evening, nearly 200 NSE-listed companies were yet to comply, while the number could be higher at the BSE. However, nearly half the appointments made by the companies were of the persons from within the families of the promoters or top executives. The companies that have decided to appoint women directors as independent members of their boards seem to have preferred bankers and chartered accountants, shows an analysis of the announcements made by listed firms in last few days. A few companies, such as United Breweries Holdings Ltd, have opted for a foreign national to be appointed as a woman director, while many of them have decided to promote a senior management personnel to the board. To meet the deadline, many firms are appointing the same women executives on boards of their various group companies. Some companies have, however, expressed their inability to meet the deadline, while citing reasons ranging from a sudden exit of existing women directors to 'lack of quorum' in their board meetings to make an appointment. Sebi has warned of strict penal action against the firms that fail to comply, while Chairman U K Sinha recently said it was &amp;quot;really shameful&amp;quot; that many companies were not being able to appoint even one woman director. The companies are required to appoint women directors as per the new Corporate Governance regime ushered in by Sebi in 2014, which also included various measures with regard to independent directors and top management salaries to safeguard the interest of small investors. Earlier, the new regime was applicable to all the listed firms. Sebi later exempted smaller companies -- those having equity share capital of up to Rs 10 crore and networth not exceeding Rs 25 crore, as also those listed on the SME platforms of the stock exchanges -- from the mandatory compliance &amp;quot;for the time being&amp;quot;.","ABG Infralogistics, Adani Ports and Special Economic Zone, Adani Power, Ashoka Buildcon, Bharat Petroleum Corporation, Bharati Shipyard, BSE, Business, Dhampure Specialty Sugars, Donear Industries, Essar Oil, Golden Tobacco, GVK Power & Infrastructure, India Home Loans, Kohinoor Foods, Landmark Property Development Company, Linc Pen and Plastics, Nifty, Nitesh Estates, NSE, Oil and Natural Gas Corporation, Prime Capital Market, Punjab National Bank, SEBI, Sensex, Surya Roshni, U K Sinha, United Breweries Holdings, Women",https://www.moneycontrol.com//news/business/over-250-cos-appoint-women-directors-to-meet-sebi-deadline_1345969.html
