,company,datePublished,author,headline,description,articleBody,tags,url
0,BT08,2017-11-02T21:36:06+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","BS Limited's board meeting November 11, 2017","We would like to inform your good selves due to unavoidable circumstances the Board  Meeting scheduled on November 11, 2017.","we would like to inform your good selves due to unavoidable circumstances the  Board  Meeting scheduled on November 11, 2017 is pre-poned  and  scheduled to be held on Friday, November 10, 2017 at the Corporate Office of the Company, situated at 304, Trendset Towers, Road No. 2, Banjara Hills, Hyderabad 500034, Telangana.  In this regard, please find enclosed a copy of Notice of the Board Meeting.  We request you to take the same on record.  Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/bs-limited39s-board-meeting-november-11-2017_9977181.html
1,BT08,2017-11-01T20:15:55+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","BS Limited's board meeting November 11, 2017 ","We would like to inform your good selves that a Meeting of the Board of Directors of the Company is scheduled to be held on Saturday, November 11, 2017 at the Corporate Office of the Company.","we would like to inform your good selves that a Meeting of the Board of Directors of the Company is scheduled to be held on Saturday, November 11, 2017 at the Corporate Office of the Company, situated at 304, Trendset Towers, Road No. 2, Banjara Hills, Hyderabad 500034, Telangana.  In this regard, please find enclosed a copy of Notice of the Board Meeting.  We request you to take the same on record.  Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/bs-limited39s-board-meeting-november-11-2017_9965321.html
2,BT08,2017-08-01T10:41:40+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","BS Limited's board meeting on  August 10, 2017","A Meeting of the Board of Directors of the Company is scheduled to be held on Thursday, August 10, 2017 at the Corporate Office of the Company, to consider, publish and take on record, the Un-Audited Financial Results for the Quarter ended June 30, 2017.","A Meeting of the Board of Directors of the Company is scheduled to be held on Thursday, August 10, 2017 at the Corporate Office of the Company, situated at 504, Trendset Towers, Road No. 2, Banjara Hills, Hyderabad 500034, Telangana inter-alia amongst other Items as per the Agenda, to consider, publish and take on record, the Un-Audited Financial Results for the Quarter ended June 30, 2017.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/bs-limited39s-board-meeting-august-10-2017_9368681.html
3,BT08,2017-02-04T15:24:25+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",BS Limited: Outcome of board meeting,"BS Limited has informed about outcome of board meeting held on February 4, 2017.","BS Ltd has informed BSE about Outcome of Board Meeting held on February 04, 2017.Source : BSE Read all announcements in BS Limited",Announcements,https://www.moneycontrol.com//news/announcements/bs-limited-outcomeboard-meeting_8428641.html
4,BT08,2017-01-27T15:53:16+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",BS: Updates on outcome of AGM,"BS Ltd has submitted to BSE a copy of  has submitted to BSE a copy of Minutes of the 12th Annual General Meeting (AGM) of the Company held on December 29, 2016.","BS Ltd has submitted to BSE a copy of  has submitted to BSE a copy of Minutes of the 12th Annual General Meeting (AGM) of the Company held on December 29, 2016.Source : BSE Read all announcements in BS Limited",Announcements,https://www.moneycontrol.com//news/announcements/bs-updatesoutcomeagm_8356281.html
5,BT08,2017-01-02T21:39:49+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",BS director Mahesh Kumar Khera resigns,"BS has informed that Mr. Mahesh Kumar Khera, Director of the Company, has resigned, vide his Letter dated December 30, 2016, from the Directorship of the Company with immediate effect. The Board of Directors of the Company by way of a Circular Resolution passed today i.e. January 02, 2017, has accepted his resignation.","BS Ltd has informed BSE that Mr. Mahesh Kumar Khera, Director of the Company, has resigned, vide his Letter dated December 30, 2016, from the Directorship of the Company with immediate effect.The Board of Directors of the Company by way of a Circular Resolution passed today i.e. January 02, 2017, has accepted his resignation and consented to relieve Mr. Mahesh Kumar Khera of his duties and responsibilities vested by the Board as Director, with effect from January 01, 2017.Source : BSE Read all announcements in BS Limited",Announcements,https://www.moneycontrol.com//news/announcements/bs-director-mahesh-kumar-khera-resigns_8198001.html
6,BT08,2016-12-29T16:02:33+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",BS Limited: Outcome of AGM,"BS Ltd has informed BSE that the 12th Annual General Meeting (AGM) of the Company was held on December 29, 2016.","BS Ltd has informed BSE that the 12th Annual General Meeting (AGM) of the Company was held on December 29, 2016.Source : BSE Read all announcements in BS Limited",Announcements,https://www.moneycontrol.com//news/announcements/bs-limited-outcomeagm_8180461.html
7,BT08,2016-12-07T21:49:40+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","BS AGM on Dec 29, 2016","BS has informed that the Annual General Meeting (AGM) of the Company will be held on December 29, 2016.","BS Ltd has informed BSE that the Annual General Meeting (AGM) of the Company will be held on December 29, 2016.Source : BSE Read all announcements in BS Limited",Announcements,https://www.moneycontrol.com//news/announcements/bs-agmdec-29-2016_8081481.html
8,BT08,2016-11-21T22:08:02+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","BS board meeting on Nov 28, 2016","BS has informed that a meeting of the Board of Directors of the Company will be held on November 28, 2016.","BS Ltd has informed BSE that a meeting of the Board of Directors of the Company will be held on November 28, 2016.Source : BSE Read all announcements in BS Limited",Announcements,https://www.moneycontrol.com//news/announcements/bs-board-meetingnov-28-2016_7998241.html
9,BT08,2016-05-05T09:47:23+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",BS Limited: Updates on outcome of board meeting,"BS Ltd has submitted to BSE a copy of Resolution passed at the meeting of the Board of Directors of the Company on April 29, 2016.","BS Ltd has submitted to BSE a copy of Resolution passed at the meeting of the Board of Directors of the Company on April 29, 2016.Source : BSE Read all announcements in BS Limited",Announcements,https://www.moneycontrol.com//news/announcements/bs-limited-updatesoutcomeboard-meeting_6535401.html
