,company,datePublished,author,headline,description,articleBody,tags,url
0,C,2024-02-06T07:06:46+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/sunil-shankar-matkar-2345/', 'name': 'Sunil Shankar Matkar'}","Trade Spotlight | Your game plan for Cipla, Bharat Forge, Redington India today","Cipla formed long bullish candlestick pattern on the daily charts with above average volumes. The stock continued to trade above all key moving averages (20, 50, 100 and 200-day EMAs) which is a positive sign.","Experts advised traders to maintain caution, especially after the formation of a bearish Shooting Star and a Double Top candlestick patterns on the daily charts in the previous session, followed by a bearish candlestick formation on February 5. Hence, further sharp uptrend is possible only after the Nifty 50 decisively surpasses its record high of 22,126, till then the consolidation may be seen with support at 21,500 mark, experts said, adding that the Bank Nifty seems to have turned cautious ahead of the Monetary Policy Committee meeting on February 8.  On February 5, the Nifty 50 shed nearly 200 points from the day's to close 82 points down at 21,772, and the BSE Sensex fell 354 points to 71,731, while the broader markets had a mixed trend.  Stocks which reported strong performance in the Nifty 500 league included Cipla, Bharat Forge, and Redington India. Cipla ended at new closing high of Rs 1,434, continuing northward journey for four days in a row, and formed long bullish candlestick pattern on the daily charts with above average volumes. The stock continued to trade above all key moving averages (20, 50, 100 and 200-day EMA - exponential moving averages) which is a positive sign.  Bharat Forge also traded above all key moving averages, rising 2.6 percent to Rs 1,272 and formed bullish candlestick pattern on the daily timeframe. The stock has seen a breakout of downward sloping resistance trendline with above average volumes, which is a positive sign.  Redington India has also seen a decisive breakout of falling resistance trendline adjoining highs of December 12, 2022 and July 6, 2023, and recorded a robust bullish candlestick pattern on the daily charts. It has seen a positive opening and clocked 8 percent gains to end a new closing high of Rs 204, with strong volumes for yet another session.  Here's what Ashish Kyal of Waves Strategy Advisors recommends investors should do with these stocks when the market resumes trading today:  Cipla  Cipla managed to break its previous swing high, achieving record high closing. Since past 4 trading sessions, the stock has not given any closing below its prior day&rsquo;s low which keeps the tone positive.  Middle Bollinger band is acting as strong support for this stock i.e. Rs 1,340. Adding to the positive outlook, the MACD (moving average convergence divergence) indicator recently presented a bullish crossover, signaling bullish momentum can continue in the next few trading sessions.  In short, outlook for Cipla is bullish. Dips can be used as buying opportunity for a move to Rs 1,550 levels.    Bharat Forge  Bharat Forge broke its trading range of past 5 trading sessions i.e. Rs 1,200 &ndash; Rs 1,250 levels. Super Trend has given a positive signal on the daily chart which indicates bullish bias. MACD is about to give a bullish crossover for which follow up buying is needed. Nearest support is placed at Rs 1,220.  In short, Bharat Forge is bullish. A sustained move above Rs 1,275 can lift prices towards new record high levels of Rs 1,350 as long as Rs 1,220 holds on the downside.  Redington India  Redington has been moving higher and intact in strong uptrend. Prices have given a close above Rs 195 levels which confirms breakout of the Rounding Bottom. Price bounced back on the upside by taking support of the Ichimoku cloud.  In short, trend for this stock is positive. Use dips towards Rs 198 as a buying opportunity for a move towards Rs 222-225 levels as long as Rs 190 holds on the downside.    Follow Ashish Kyal on Twitter - @kyalashish  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Bharat Forge, Cipla, Redington (India), Stocks Views, Technicals, Trade Spotlight",https://www.moneycontrol.com//news/technicals/trade-spotlight-|-your-game-plan-for-cipla-bharat-forge-redington-india-today_17430381.html
1,C,2024-01-31T11:44:09+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Cipla; target of Rs 1660: ICICI Securities,"ICICI Securities is bullish on Cipla recommended buy rating on the stock with a target price of Rs 1660 in its research report dated January 26, 2024.","ICICI Securities research report on Cipla Cipla&rsquo;s outperformance in Q3FY24 was led by better EBITDA margin (up 224bps YoY) and profit (up 45%). US sales of USD 230mn were flat QoQ, though its better performance in India (up 11.5% YoY) and South Africa (15% YoY) boosted revenue growth. Cipla continues to have a robust pipeline of peptide and respiratory assets in the US which may lead to 19% CAGR over FY23-26E. US growth in FY25E is likely to be driven by the launch of four peptide products while the launch of gAbraxane and gAdvair is contingent on obtaining clearances from the USFDA for Goa (re-inspection in Q1FY25) and Pithampur plants. Management has raised FY24 margin guidance by 50bps to 23.5-24% and expects flattish gross margin in FY25. Outlook We maintain BUY on the stock, but raise target price to INR 1,660, valuing the company at 22x FY26E earnings (including gRevlimid). For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  Cipla - 2912024 - icici","Buy, Cipla, ICICI Securities, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-cipla-targetrs-1660-icici-securities_17422401.html
2,C,2024-01-31T09:32:30+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Cipla; target of Rs 1592: KR Choksey,"KR Choksey is bullish on Cipla has recommended buy rating on the stock with a target price of Rs 1592 in its research report dated January 29, 2024.","KR Choksey's research report on Cipla Cipla clocked in 13.7% Y-o-Y (-1.1% Q-o-Q) rise in revenue (vs. our estimate of Rs. 65,055 Mn, a beat of 2.5%) It was driven by stronger than anticipated growth in North America revenue, which grew at 19.8% Y-o-Y (+1.5% Q-o-Q) to Rs. 19,160 Mn (vs. our estimate of Rs. 17,920 Mn, a beat of 7%), SAGA growing at 19.9% Y-o-Y (-17.9% Q-o-Q) to Rs. 8,150 Mn (vs. our estimate of Rs. 7,820 Mn, a beat of 4%), and India market recording 11.5% Y-o-Y (+1.5% Q-o-Q) growth in revenue to Rs. 28,590 (vs. our estimate of Rs. 28,193 Mn, in line, with a beat of 1%) &bull; North America&rsquo;s has seen 15th consecutive quarter of a growth on a Y-o-Y basis driven by peptide product like Lanreotide injection (under 505 (b)(2) filing, as an NDA) gaining market share, its existing respiratory assets performing and contribution from Lenalidomide&rsquo;s sales. &bull; The net income (reported) increased at 31.8% Y-o-Y (-6.6% Q-o-Q) to Rs. 10,559 (vs. our estimate of Rs. 10,521 Mn) while adjusted net income increased at 44.6% Y-o-Y (-1.0% Q-o-Q) to Rs. 11,580 Mn for Q3FY24 (a beat of 10.0%). Outlook Currently, the stock is trading at 41.7x/26.0x/23.6x/21.5x based on its FY23A/FY24EFY25E/FY26E EPS estimates, respectively. We envisage the company to grow its revenue and earnings at 9.8% CAGR over FY23-FY25E, and PAT to grow at 24.6% CAGR over FY23-26E. We introduce FY26E estimates and roll forward our valuation basis to FY26E while applying 25.0x (unchanged) multiple on FY26E EPS of Rs. 63.7 and arrive at a target price of Rs 1,592/share and retain our rating of BUY (upside: 16.2%). For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. CIPLA - 2912024 - kr","Buy, Cipla, KR Choksey, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-cipla-targetrs-1592-kr-choksey_17422051.html
3,C,2024-01-29T19:35:46+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Cipla; target of Rs 1600: Motilal Oswal,"Motilal Oswal is bullish on Cipla recommended buy rating on the stock with a target price of Rs 1600 in its research report dated January 25, 2024.","Motilal Oswal's research report on Cipla CIPLA beat our earnings estimates in 3QFY24, aided by an outperformance in the domestic formulation (DF)/North America (NA) segments and better operating leverage. These factors were offset to some extent by a muted performance of emerging markets and the API segment. The company is making efforts to minimize the timeline for potential approvals (g-Advair/gAbraxane) in the NA market. We raise our EPS estimates by 12%/9%/7% for FY24/FY25/FY26 to factor in a) peptide-based niche approvals, b) industry-beating growth in core chronic therapies in the DF segment, and c) continued efforts for brand building in consumer healthcare. Outlook We value CIPLA at 25x 12M forward earnings and add INR30 (g-Revlimid NPV) to arrive at a TP of INR1,600. We remain positive on CIPLA on the back of a) respiratory/peptide asset build-up for the NA market, b) robust brand franchise in DF, and c) scope for inorganic growth given surplus cash of INR75b as of 3Q-end. Retain BUY. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  Cipla - 2612024 - moti","Buy, Cipla, Motilal Oswal, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-cipla-targetrs-1600-motilal-oswal_17419091.html
4,C,2024-01-29T09:36:56+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",Cipla tumbles 3% after Samina Hamied steps down as VC,Hamied will continue to remain associated with the company as a non-executive director who is liable to retire by rotation.,"Shares of Cipla&nbsp;slipped 3&nbsp;percent in opening trade on January 29 after Samina Hamied stepped down from her role as the executive vice-chair of the company.&nbsp;However, she will continue to remain associated with the company as a non-executive director who is liable to retire by rotation.  The drugmaker stated that the transition in Hamied's&nbsp;role&nbsp;is part of a larger promoter strategy&nbsp;aimed at transforming Cipla into a completely professionally managed company like conglomerates such as the Tata Group.  The company approved the appointment of Balram Bhargava as an additional and independent director for&nbsp;five years until March 31, 2029.  Bhargava is a prominent figure in global public health leadership and has actively championed the south-south cooperation, advocated for equitable healthcare access, supported the democratisation of scientific research, and fostered public-private collaboration to introduce new technologies and cost-effective innovative products into healthcare systems. He also brings more than 35 years of experience to the table.  Follow our market blog to catch all the live action  At 9.20am, the shares of Cipla were trading at Rs 1,326 on the NSE. Some profit-booking also seeped into the counter, pulling the stock lower as it has run up over&nbsp;7 percent in the past month, buoyed by its robust Q3 results.  On that account, brokerage firm Nomura has downgraded the stock to a 'neutral' rating, with a price target of Rs 1,427 as it sees limited upside in the counter given its recent run-up and a lack of new near-term catalysts.  The firm also sees the approval and launch timeline of key drugs, Advair and Abraxane in the US, which are caught in regulatory snags, as the key monitorables for Cipla.  Also read |&nbsp;Cipla's Samina Hamied steps down as executive vice chairperson citing personal commitments  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  &amp;amp;nbsp;  &amp;amp;nbsp;","Buzzing Stocks, Cipla",https://www.moneycontrol.com//news/buzzing-stocks/cipla-tumbles-3-after-samina-hamied-steps-down-as-vc_17417761.html
5,C,2024-01-17T13:19:45+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Cipla; target of Rs 1540: Motilal Oswal,"Motilal Oswal is bullish on Cipla recommended buy rating on the stock with a target price of Rs 1540 in its research report dated January 16, 2024.","Motilal Oswal's research report on Cipla A robust ANDA pipeline to overcome price erosion and deliver growth After exhibiting a moderate 7% YoY earnings growth in FY23, we expect Cipla to end FY24 on a strong note with a 26% YoY earnings growth. Cipla has executed efforts to improve its growth outlook beyond FY24. On the India business front, in particular, Cipla is working to not only enhance its prescription base but also strengthen its trade generics and consumer healthcare businesses. Even in the US generics segment, Cipla is developing a pipeline of difficult-tomanufacture products, including respiratory and peptide products, to sustain its growth momentum. Outlook Hence, we model a 13% earnings CAGR over FY24-26. We value Cipla at 25x 12- month forward earnings and add an NPV of INR30 for g-Revlimid to arrive at our TP of INR1,540. Cipla remains our top-pick in the large-cap pharma space, given: a) its threepronged growth levers in India, b) a robust ANDA pipeline to overcome price erosion and deliver growth, and c) a de-risked regulatory factor through filings from the alternate sites. We maintain our BUY rating on the stock. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Cipla - 17012024 - moti","Buy, Cipla, Motilal Oswal, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-cipla-targetrs-1540-motilal-oswal_17402701.html
6,C,2024-01-23T09:50:56+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",Cipla shares rally 8% to hit 52-week high on strong Q3 earnings,"Cipla also clocked in its highest ever quarterly revenue for the North America business, driven by strong respiratory season.","Shares of Cipla rallied as much as 8 percent to hit a 52-week high of Rs&nbsp;1,425&nbsp;in&nbsp;trade on January 23, a day after the company reported a strong performance in Q3 on all key parameters of profit, revenue and profitability.  The company's net profit for the quarter grew 32.7 percent on-year to Rs&nbsp;1,049 crore despite an exceptional loss of Rs&nbsp;194.8 crore. The bottomline growth was also aided by a 14.2 percent on-year increase in revenue to Rs&nbsp;6,544 crore in the October-December period.  Growth was largely broad-based across markets as the company clocked in its highest ever&nbsp;North American&nbsp;sales at&nbsp; $230&nbsp;million, up 18 percent on year. The India business grew nearly 12 percent to Rs&nbsp;2,859&nbsp; crore, whereas sales from the South Africa recorded&nbsp;a near 10 percent rise to Rs 603 crore.  Growth in the India business was driven by a strong performance across branded prescription, trade generics and consumer health, while that in&nbsp;North America was supported by continuing momentum in key assets and robust demand in base business along with some year-end buying.  The South Africa business also benefitted from the increase in revenue in local currency terms. This performance was supported by positive traction in prescription, OTC (over-the-counter) and tender.  At close, shares of Cipla were&nbsp; 7 percent higher at Rs&nbsp;1,409 on the NSE. The strong quarterly performance also aided the company's operating margins as it expanded to&nbsp;26.5 percent in Q3 as against 24.2 percent a year ago.  The drugmaker has also&nbsp;filed the generic of asthama drug&nbsp;Symbicort and one other inhalation asset in Q3. It also plans to launch four peptides in FY25.  Meanwhile, the company also incorporated its arm to sell, distribute pharma drugs in Mexico.  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Buzzing Stocks, Cipla",https://www.moneycontrol.com//news/buzzing-stocks/cipla-shares-rally-8-to-hit-52-week-highstrong-q3-earnings_17410831.html
7,C,2023-09-26T14:18:41+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",Cipla introduces drone-powered critical medicine delivery in Himachal Pradesh,"The Mumbai-based firm aims to deliver medicines for cardiac, respiratory and other essential chronic therapies as part of the initiative.","Drug major Cipla on Tuesday said it has introduced drone-powered deliveries of critical medicines for hospitals and pharmacies in Himachal Pradesh in partnership with Sky Air Mobility.  The Mumbai-based firm aims to deliver medicines for cardiac, respiratory and other essential chronic therapies as part of the initiative.  The use of drones will support on-time deliveries of the company's medicines to chemists and clinics in remote areas while minimising risks such as delays, temperature excursions affecting cold chain products, and roadside accidents, Cipla said in a statement.  &amp;quot;As we accelerate our digital agenda across all functions, implementing drone-powered distribution enhances our supply chain resilience, strengthens connects with channel partners, helps us stay future ready and maintain reliable, prompt delivery of our trusted high-quality drugs to stockists and patients in the region,&amp;quot; Cipla Global Supply Chain Head Swapn Malpani said.  The drug firm said it also aims to scale the service in the future through distribution to hospitals and expand market coverage to inaccessible and hilly terrains such as Uttarakhand and the Northeast region in India.","Business, Companies",https://www.moneycontrol.com//news/business/cipla-introduces-drone-powered-critical-medicine-deliveryhimachal-pradesh_17250941.html
8,C,2023-07-30T11:08:18+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Neutral Cipla; target of Rs 1130: Motilal Oswal,"Motilal Oswal recommended Neutral rating on Cipla with a target price of Rs 1130 in its research report dated July 26, 2023.","Motilal Oswal's research report on Cipla Cipla delivered better-than-expected 1QFY24 performance, led by superior executions in North America (NA) and domestic formulation (DF) segments. Cipla is on track to build a complex product pipeline in the peptide space, and reduce compliance risk by incorporating alternate manufacturing sites. We raise our earnings estimates by 6% each for FY24/FY25 to factor in: a) reduced competition in the US generics segment, b) better visibility for niche launches in NA, and c) better operating leverage. Outlook We value Cipla at 22x 12M forward earnings and add NPV of INR30 related to g-Revlimid to arrive at our TP of INR1,130. There has been a healthy revival in outlook for NA markets in addition to betterthan-industry performance in the branded generics segment (DF/South Africa). However, we reiterate our Neutral rating on limited upside from current levels. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  Cipla - 27 -07 - 2023 - moti","Cipla, Motilal Oswal, neutral, Recommendations",https://www.moneycontrol.com//news/recommendations/neutral-cipla-targetrs-1130-motilal-oswal_17141661.html
9,C,2023-07-29T22:03:29+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Cipla; target of Rs 1279: Sharekhan,"Sharekhan is bullish on Cipla has recommended buy rating on the stock with a target price of Rs 1279 in its research report dated July 26, 2023.","Sharekhan's research report on Cipla Profitability strongly beat ours and consensus estimates in Q1FY2024 by 15.7% and 15.9%, respectively, driven by continued strong growth in the US and a recovery in India, leading to an improved products mix. US business growth was driven by continued performance of key products such as gRevlimid and Lanreotide and stability in market share of Albuterol. A rise in chronic segment&rsquo;s revenues aided a recovery in India business&rsquo; revenues.  Outlook We revise our earnings growth estimate to 22.6% over FY23-FY25E from a 15.2% CAGR earlier, and hence upgrade the PT to Rs. 1279 (vs. before Rs. 1,030) and also upgrade the rating to Buy. Stock trades at a lower level of ~22.7x and ~19.4x its FY24 and FY25E EPS estimates vs. peers trading at ~28.2x and ~23.3x its FY24E and FY25E EPS estimates, indicating attractive valuation. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  Cipla - 27 -07 - 2023 - khan","Buy, Cipla, Recommendations, Sharekhan",https://www.moneycontrol.com//news/recommendations/buy-cipla-targetrs-1279-sharekhan_17141371.html
