,company,datePublished,author,headline,description,articleBody,tags,url
0,CI29,2024-03-06T08:51:01+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",Coal India gain on green nod to SECL's Gevra mine capacity expansion,"SECL is a &amp;quot;Miniratna&amp;quot; Company, and one of eight fully owned subsidiaries of Coal India. The company has its headquarters at Bilaspur, Chhattisgarh.","Shares of Coal India gained on March 6 after its Chhattisgarh-based subsidiary South Eastern Coalfield (SECL)-run Gevra mine secured the&nbsp;environmental clearance to expand production capacity to 70 million tonnes a year.  The expansion will position Gevra as the largest coal mine in Asia, overtaking Indonesia's Sangatta mine in terms of production.  The Gevra mine, stretching approximately 10km in length and 4km in breadth, has a&nbsp;capacity to produce 52.5 million tonnes of coal every year, which makes it the largest in India.  Follow our market blog to catch all the live action  SECL is a 'Miniratna'&nbsp;company, and one of the eight fully owned subsidiaries of Coal India. Headquartered at Bilaspur, Chhattisgarh, it runs more than 90 coal mines across Chhattisgarh and Madhya Pradesh.  The company deploys environment-friendly, blast-free mining technology, including surface miners and ripper mining equipment, in addition to heavy earth-moving machinery such as 42-cubic-metre shovels and 240-tonne dumpers for overburden removal.  The expansion of Gevra mine aligns with India's aim of achieving self-sufficiency in coal production and phasing out imports for power generation by FY26.  In FY23, the company produced 167 million tonnes (MT) of coal and aims to raise it&nbsp;to 200 MT in FY24 and to 260 MT by FY26. It also achieved its highest-ever mineral offtake last fiscal year at 160.05 million tonnes in FY23, with coal dispatch to the power sector reaching an all-time high of 139.92 MT.  Also Read |&nbsp;Buzzing Stocks: Zomato, Wipro, Coal India, NHPC, Bharti Airtel, IRCTC, Tata Tech and others in news  In the previous session, Coal India shares closed 1 percent higher at Rs 461.00 on the National Stock Exchange (NSE). In the last one year, the PSU stock has risen 104 percent, compared to a 26 percent rise in benchmark Nifty 50.  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Buzzing Stocks, Coal India, coal mine, SECL, South Eastern Coalfields Limited",https://www.moneycontrol.com//news/buzzing-stocks/coal-india-gaingreen-nod-to-secl39s-gevra-mine-capacity-expansion_17487401.html
1,CI29,2024-02-29T09:44:19+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","Coal India gains on JV with BHEL for ammonium nitrate plant in Odisha, BHEL falls","Under the JVA, they will be setting up a coal to 2000 TPD ammonium nitrate plant using BHEL&rsquo;s in-house developed PFBG (pressurized fluidized bed gasification) technology. ","Shares of Coal India gained nearly 1 percent at the open on the NSE on February 29 after signing a joint venture agreement for setting up an ammonium nitrate plant as part of the planned coal-to-chemical business with BHEL, on February 28.  At 9:20am, the stock was trading at Rs 437.30. On the other hand, BHEL shares traded&nbsp;down nearly 1 percent at Rs 222.  Follow our market blog for live updates  In an exchange filing on February 28, Coal India reported that it had&nbsp;signed a joint venture agreement (JVA) with BHEL, to undertake coal to chemicals business. Under the JVA, they will be setting up a coal to 2000 TPD ammonium nitrate plant using BHEL&rsquo;s in-house developed PFBG (pressurised fluidised bed gasification) technology.  Coal India will hold 51 percent stake and the remaining 49 percent will be owned by BHEL.&nbsp;The joint venture company will be incorporated in Odisha as a private limited company with an initial paid-up share capital of&nbsp;Rs 1,00,000.  Also read:&nbsp;Coal India, BHEL form JV to set up ammonium nitrate plant  For Q3FY24, Coal India reported&nbsp;a net profit of&nbsp;Rs. 9,069.19 crore up 16.94 percent from Rs. 7,755.55 crore in the previous fiscal. BHEL reported a net loss of Rs 163 crore for the quarter ended December 31, 2023 as against Rs 31 crore profit in the year-ago period.  Disclaimer: The views and investment tips expressed by investment experts on&nbsp;Moneycontrol.com&nbsp;are their own and not those of the website or its management.&nbsp;Moneycontrol.com&nbsp;advises users to check with certified experts before taking any investment decisions. ","Buzzing Stocks, Coal India",https://www.moneycontrol.com//news/buzzing-stocks/coal-india-gainsjvbhel-for-ammonium-nitrate-plantodisha-bhel-falls_17481631.html
2,CI29,2024-02-20T12:11:57+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Coal India; target of Rs 520: Motilal Oswal,"Motilal Oswal is bullish on Coal India recommended buy rating on the stock with a target price of Rs 520 in its research report dated January 19, 2024.","Motilal Oswal's research report on Coal India In a recent investor interaction, Coal India (COAL) management highlighted the following points: a) COAL would achieve production of 770mt in FY24 and 838mt by FY25; b) e-auction premiums have softened in 4QFY24 to 35- 50%, but volumes via the e-auction route have improved (15% vs. 8-9% in 9MFY24); and c) the company is committed to supplying at least 610mt to the power sector in FY24 and increasing the dispatch by 50mt p.a. going forward. Based on the YTD performance, COAL is confident of achieving 770mt of production during FY24, with five subsidiaries on track to achieve 100% of the annual production target. The number is lower than earlier guidance as SECL subsidiary would fall short by 8-9mt due to some pending clearance for mine. Though e-auction premiums have declined in Jan-Feb&rsquo;24 to 35-50% from 117% in 3QFY24, the increase in e-auction volumes (~15% of the quarterly dispatches vs. 8-9%) would largely offset the impact. Domestic power generation is expected to grow by 7.7% to 1,750bu in FY24, which will drive coal demand. Dispatches to coal-fired plants till Jan&rsquo;24 stood at 509mt (up 7.3mt YoY) and are expected to cross 610mt in FY24E. In line with the recent trend in e-auction premiums, we have trimmed our eauction premium for FY26E while increasing e-auction volumes.  Outlook As a result, we have increased FY26E revenue/EBITDA/APAT by 1%/9%/7%. COAL trades at EV/EBITDA of 4.9x FY26E. We reiterate our BUY rating on the stock with a revised TP of INR520 (5.5x EV/EBITDA). We believe COAL is well placed to capitalize on the growth opportunity ahead. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Coal India - 20022024 - moti","Buy, Coal India, Motilal Oswal, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-coal-india-targetrs-520-motilal-oswal_17465481.html
3,CI29,2024-02-20T09:04:05+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",Coal India E-auction premiums decline but could be offset by increase in volumes; stocks down 2%,"For FY2024, Coal India has slightly lowered its FY24E volume guidance to 770mt and FY2025 and is expected to dispatch over 610mt to the power sector in FY24E.","Shares of Coal India&nbsp;fell 2 percent at open on the NSE on February 20, a day after the management told analysts that its E-auction premiums had dropped to around 48-50 percent in January 2024, and to around 38 percent in February 2024. On the other hand, volumes had increased 17 percent and stood at 13 percent of sales. At 9:20 am, the stock was trading at Rs 420.50.  Follow our market blog for live updates  In an earnings call, Coal India management said that E-auction premiums for FY2024 are expected to be around 80 percent. Additionally, for FY2024, Coal India has&nbsp;slightly lowered its FY24E volume guidance to 770mt and FY2025 and is expected to dispatch over 610mt to the power sector in FY24E. The management added that Coal India will bid for three blocks in critical minerals auctions conducted by the country&rsquo;s mines ministry in February.  In a conversation with Moneycontrol, Mayuresh Joshi, Head - Equity Research at William O'Neil said that scaling down production volume was not significant due to wide variation in previous production levels -750 to 780 million tonnes. While the&nbsp;decrease in e-auction premiums spooked the stock, the situation is not believed to be structural in nature and is expected to normalize over time, unless it persists for a long period of time.&nbsp; Going forward Joshi said, that there is an expectation of marginal earnings cut in the next couple of quarters if e-auction premiums remain low. Additionally, infrastructure developments such as evacuation lines and railway lines are expected to contribute to stable output  What brokerages say  Brokerage firm CITI has a neutral call on the stock with a target price of Rs 430 per share. The E-auction volume, according to the brokerage should largely offset the premium decline. The stock has more than doubled in the last year on strong volumes and power demand. CITI values the company at&nbsp;8x Sep&rsquo;25 FY25 P/E.  CLSA has an outperform call on the stock and has raised the target price to Rs 480. According to the report, import substitution could keep the Domestic Coal Balance intact, even if output outstrips supply. At a&nbsp;5x CY26 EV/EBITDA, CLSA sees the valuations as fair.  Motilal Oswal has a buy call on the stock with a target price of Rs 461. According to the brokerage, &amp;quot;the&nbsp; Ministry of Power has set the FY2024 electricity generation target at 1,750 bu. Of this, the share of thermal power is expected to be over 75 percent. This augurs well for COAL to achieve strong coal production in the next few years.&amp;quot;  Also read:&nbsp;Coal India to bid for 3 mines in critical minerals auctions in February  In Q3FY24, Coal India&nbsp;reported a 17.8 percent YoY rise in net profit to Rs 9,093.69 crore for Q3FY24. Revenue increased 2.8 percent YoY to&nbsp;Rs&nbsp;36,153.97 crore while&nbsp;earnings before interest, tax, depreciation, and amortisation (EBITDA)&nbsp;grew 13 percent YoY to Rs 13,576.35 crore.  Disclaimer: The views and investment tips expressed by investment experts on&nbsp;Moneycontrol.com&nbsp;are their own and not those of the website or its management.&nbsp;Moneycontrol.com&nbsp;advises users to check with certified experts before taking any investment decisions. ","Buzzing Stocks, Coal India",https://www.moneycontrol.com//news/buzzing-stocks/coal-india-e-auction-premiums-declinecould-be-offset-by-increasevolumes-stocks-down-2_17464471.html
4,CI29,2024-02-13T09:09:43+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","Coal India keeps brokerages upbeat on ratings, target price hikes with strong Q3 earnings","Nuvama Research has maintained buy rating on the stock but increased target price to Rs 561 from Rs 500 earlier, Motilal Oswal has retained its buy rating and increased target price to Rs 490 a share, up 13 percent.","Brokerages upgraded Coal India's rating and raised the target price after the state-run miner reported strong December quarter earnings, despite lower e-auction prices. The year-over-year increase in earnings was attributed to higher volume, FSA price, and reduced expenses.  Nuvama Research has maintained a 'buy' rating on the stock but increased the target price to Rs 561 from Rs 500 earlier, Motilal Oswal too retained the 'buy' tag and raised the target to Rs 490 a share, up 13 percent. Antique Stock Broking followed suit with the 'buy' call and a 9 percent hike in target price to Rs 508.  Coal India posted a 17.8 percent increase in consolidated net profit to Rs 9,093.69 crore for the quarter ended December 31, 2023, compared to Rs 7,719.11 crore last year, while its revenue rose 2.8 percent to Rs 36,153.97 crore&nbsp;and consolidated sales increased 4.4 percent to Rs 38,357.23 crore. Its EBITDA surged 13 percent to Rs 13,576.35 crore in Q3 of this fiscal year from Rs 11,973.68 crore a year ago.  The company supplies around 89 percent of its production to the power sector, which constitutes over 80 percent of total power generation in India. To meet the growing coal demands in the power sector, Coal India is aiming for a production of 780&nbsp;million tonnes in FY24, with e-auction dispatches at approximately 15 percent of total volumes.  With India's lag in achieving its FY30 renewable energy target and a 7.2 percent on-year growth target in power generation for FY24, primarily from thermal power, Coal India is poised for strong production in the coming years. Given the robust performance, positive volume outlook, higher e-auction premiums, and reduced costs, Motilal Oswal&nbsp;has increased our EBITDA estimates by 15 percent, 9 percent, and 10 percent for FY24, FY25, and FY26, respectively.  During the quarter, there was an increase in the amount of coal sold through Fuel Supply Agreement (FSA) by 9 percent YoY to 172 million tonnes and through e-auction by 8 percent YoY to 15.8 million tonnes. Although e-auction prices were lower at Rs3,321 per tonne compared to Rs5,047 per tonne last year, the impact was partially mitigated by higher FSA prices, which improved to Rs1,532 per tonne, up by Rs 68 YoY.  Nuvama Research expects Coal India to receive performance incentives in Q4FY24 due to a likely surpassing of committed power sector supply. Anticipating a 5 percent annual volume growth from FY24 to FY26, Nuvama foresees stable costs offsetting lower e-auction prices, ensuring robust EBITDA over the next two years. Despite an annual capex of Rs 150&ndash;160&nbsp;billion, the company maintains strong free cash flow of Rs 190&ndash;240&nbsp;billion. Projected dividends per share are Rs 25 in both FY25 and FY26. Nuvama's diversification into power, coal gasification, etc, is scheduled to commence in FY25.  In 2HFY24, Coal India started with Rs 371 billion in cash. Antique Stock Broking says that initially concerns arose about weak cash flow due to provisioning in 1H, and fears of reduced peak cash generation with narrowing e-auction premiums. However, it's now expected that Coal India can sustain over Rs 300 billion in cash generation, exceeding the FY24 capex of Rs 165 billion. This may lead to leftover cash of Rs135 billion, translating to dividends of Rs22 per share.","Buzzing Stocks, Coal India, equity markets, markets News",https://www.moneycontrol.com//news/buzzing-stocks/coal-india-keeps-brokerages-upbeatratings-target-price-hikesstrong-q3-earnings_17446521.html
5,CI29,2024-02-12T19:25:06+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","Coal India Q3 Results: Profit soars 18% YoY to Rs 9,094 crore","Revenue from operations increased 2.8% to Rs 36,153.97 crore from Rs 35,169.33 crore in the quarter under review. The state-owned company also declared its second interim dividend for financial year 2023-24 at Rs 5.25 per share.","Coal India Ltd (CIL) on February 12 reported a 17.8 percent rise in consolidated net profit to Rs 9,093.69 crore for the quarter ended December 31, 2023. The government-owned company had reported a net profit of Rs 7,719.11 crore in the year-ago period.  Revenue from operations increased 2.8 percent to Rs&nbsp;36,153.97 crore from Rs 35,169.33 crore in the quarter under review. Moreover, CIL&rsquo;s consolidated sales increased to Rs 38,357.23 crore in the October-December period from Rs 36,754.29 crore in the corresponding period of the previous fiscal year, an increase of 4.4 percent.  The state-owned company also said that the board has declared its second interim dividend for financial year 2023-24 at Rs 5.25 per share. The dividend will be paid out on March 12.  The company's earnings before interest, tax, depreciation, and amortisation (EBITDA) rose 13 percent to Rs 13,576.35 crore in the third quarter of this fiscal year over Rs 11,973.68 crore in the year-ago period. The EBITDA margin stood at 35.4 percent in the reporting quarter compared to 32.6 percent in the corresponding period of the previous fiscal.  Coal India Ltd accounts for over 80 percent of domestic coal output.  The company said raw coal production was at&nbsp;198.994&nbsp;million tonnes during the quarter, up from&nbsp;180.064 million tonnes in the comparable quarter last year.  Offtake of raw coal stood at&nbsp;191.195 million tonnes against&nbsp;175.789 million tonnes in the year-ago quarter.  On February 12, Coal India shares closed at Rs 432.8 apiece on the NSE against their previous closing, down 5 percent.","CIL, Coal India, Coal India Limited, earnings, Q3, Results",https://www.moneycontrol.com//news/results/coal-india-q3-results-profit-soars-18-yoy-to-rs-909369-crore_17446091.html
6,CI29,2024-01-09T14:19:01+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",Coal India extends fuel supply agreement tenure for non-regulated sector,The move aims at ensuring long-term assurance of coal supply through linkage auction to the non-regulated sector.,"State-owned CIL on Tuesday said it has extended the tenure of fuel supply pact to ten years from the earlier five years for the non-regulated sector.  The move aims at ensuring long-term assurance of coal supply through linkage auction to the non-regulated sector.  Coal India Ltd (CIL) has begun the seventh tranche of the linkage auction to the non-regulated sector within days of completion of the sixth round.  &amp;quot;CIL has proactively increased the tenure of fuel supply agreement (FSA) to 10 years, beginning with the seventh tranche,&amp;quot; the company said in a statement.  For sponge iron sub-sector customers, the seventh round of linkage auction started in the last week of December to meet their coal demand, even though the conversion ratio of successful bids into FSAs was low by this sector in the sixth round.  &amp;quot;CIL is committed to supplying coal to the extent of the normative requirement of all industrial sectors including sponge iron. In this endeavour, regular linkage auctions, as per the government's approved policy are being conducted for long-term coal linkages,&amp;quot; a senior official of the PSU said.  The response in the sixth tranche of linkage auction for sponge iron sub-sector has been rousing with 99 per cent of the total offered quantity of 11.05 million tonne (MT) being successfully booked.  Coal India arms South Eastern Coalfields Ltd (SECL) and Mahanadi Coalfields Ltd (MCL) accounted for 86 per cent of the total offered quantity at 9.5 MT. While SECL put 7.67 MT for the linkage auction, MCL chipped in with 1.83 MT.  Almost the entire quantity was booked, the company said in a statement.  Out of the total successful booking of 7.64 MT in SECL by the sponge iron units, only 3.88 MT or 51 per cent was converted into FSAs. In the case of MCL, 1.44 MT got converted into FSAs out of the total booked quantity of 1.83 MT.  CIL extended the timeline in order to facilitate the signing of FSAs by 75 days over and above the norm of 90 days.  Apart from long-term assurance of regular supply of coal provided through linkage auction, CIL is also conducting single window e-auction where any consumer can participate and get coal for meeting short-term requirements.  As of December quarter FY24, 64 MT of coal was offered across CIL, of which 56.7 MT was successfully booked, including 17.4 MT from SECL and 15.3 MT through MCL.  With increased availability of coal in the last quarter of the fiscal, offer of coal is likely to increase further under the e-auction window. CIL is aiming to put 20 per cent of the envisaged production of this fiscal's fourth quarter under e-auction.  Coal India accounts for over 80 per cent of domestic coal output.","Business, Companies",https://www.moneycontrol.com//news/business/coal-india-extends-fuel-supply-agreement-tenure-for-non-regulated-sector_17393071.html
7,CI29,2024-01-02T11:09:32+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",Jefferies upgrades JSW Steel to 'hold' on cautiously optimistic outlook for 2024,"Being the biggest consumer, China drives metal prices. &amp;quot;Jefferies China team expects fiscal policy to be more supportive, and investments to boost economic growth and avoid deflation in 2024,&amp;quot; the firm said.  ","With macros turning positive in the West and signs of China stability, foreign broking firm Jefferies expects a healthy 6-15 percent volume CAGR over FY24-26 for Coal India, Tata Steel and JSW Steel.  While it already had 'buy' ratings on Coal India and Tata Steel, it upgraded JSW Steel from 'underperform' to 'hold' on January 2.  Being the biggest consumer, China drives&nbsp;metal prices. &amp;quot;Jefferies&nbsp;China team expects fiscal policy to be more supportive, and investments to boost economic growth and avoid deflation in 2024,&amp;quot; the firm said.  Follow our live blog for all the market action  As prices rise and India volume growth remains strong, Jefferies&nbsp;sees good upside for metal stocks, which have remained subdued over the past year.&nbsp;Its target for&nbsp;Coal India is&nbsp;Rs 450, for Tata Steel it is Rs 160 and JSW Steel is Rs 800. It believes JSW Steel's valuation is expensive and hence has a lower target than the consensus.  &amp;quot;Steel imports rose over October-November but should ease as the premium of Indian steel price to landed import has contracted from 11-14 percent to just 4 percent at spot,&amp;quot; said Jefferies. It sees India steel price at Rs 58,000-58,500.  At 10:45am, Tata Steel was quoting Rs&nbsp;138.20 on the NSE, lower by 1.18 percent. JSW Steel was quoting at Rs 866, down 1.28 percent.  &amp;quot;Indian metal and mining firms offer a bright spot in the world largely devoid of volume growth in commodities. Start of new capacities should drive strong 12-15 percent India volume CAGR for JSW Steel and Tata Steel over FY24-26,&amp;quot; the firm said.  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Buzzing Stocks, Coal India, JSW Steel, Tata Steel",https://www.moneycontrol.com//news/buzzing-stocks/jefferies-upgrades-jsw-steel-to-39hold39cautiously-optimistic-outlook-for-2024_17385911.html
8,CI29,2024-01-02T09:48:28+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",Coal India shares gain as Dec production increases 8.2%,"For the period of April-December 2023, production grew by 11 percent to 531.9 million tonnes compared to year-ago period ( April-December 2022). ","Shares of Coal India opened 1 percent higher on January 2, a day after the company disclosed&nbsp;that production in December grew 8.2 percent on-year to 71.9 million tonnes. At 9:20am, the stock was trading at Rs 385.40.  Follow our market blog for live updates  In a regulatory filing after the trading hour on January 1, Coal India said that&nbsp;coal production in December 2023 increased by 8.2 percent to 71.9 million tonnes. For the period of April-December 2023, production grew by 11 percent to 531.9 million tonnes compared to year-ago period ( April-December 2022). Additionally, the offtake rose 6.1 percent YoY to 66.6 million tonnes in December 2023, while the offtake in nine months ended December 2023 grew 8.7 percent to 552 million tonnes.  Foreign brokerage firm Jefferies has given a 'buy' call to the stock and raised the target price to Rs 450 from Rs 425. &amp;quot;Coal India's volume growth trajectory has improved and is likely to sustain amid India's strong economic growth outlook and rising power consumption,&amp;quot; the report said.  Also read:&nbsp;Jefferies raises target price on Coal India, JSW Steel, Tata Steel, Hindalco; bullish on Indian metals  In Q2FY2024, Coal India reported a 13 percent year-on-year increase in consolidated net profit at Rs 6,814 crore for the quarter ended September 30, 2023. According to analysts, this has been due to power demand and boosted production along with a weak monsoon. Revenue for the same period also grew 10 percent year-on-year to Rs 32,776 crore.  Disclaimer: The views and investment tips expressed by investment experts on&nbsp;Moneycontrol.com&nbsp;are their own and not those of the website or its management.&nbsp;Moneycontrol.com&nbsp;advises users to check with certified experts before taking any investment decisions. ","Buzzing Stocks, Coal India",https://www.moneycontrol.com//news/buzzing-stocks/coal-india-shares-gain-as-dec-production-increases-82_17385771.html
9,CI29,2023-12-01T14:56:42+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",CIL's coal output rises 11.5% to 460 million tonnes during April-November,"&amp;quot;With 11.5 per cent year-on-year growth CIL stayed ahead of the annual asking rate of 10.2 per cent. The production saw an upsurge of 47.4 MT in quantum terms compared to 412.5 MT of same period last year,&amp;quot; the PSU said.","State-owned CIL on Friday said its coal production grew by 11.5 per cent to reach 460 million tonnes (MT) during the April-November period of the ongoing fiscal. CIL accounts for over 80 per cent of domestic coal output.  The company had produced 412.5 MT of coal in the year-ago period, Coal India Ltd (CIL) said in a statement. &amp;quot;With 11.5 per cent year-on-year growth CIL stayed ahead of the annual asking rate of 10.2 per cent. The production saw an upsurge of 47.4 MT in quantum terms compared to 412.5 MT of same period last year,&amp;quot; the PSU said.  All the seven arms of CIL have registered growth with two of them -- BCCL and NCL -- achieving their respective progressive targets. During the last month CIL's production increased by 8.7 per cent to 66 MT from 60.7 MT in the corresponding month of previous fiscal.  Supply of coal by CIL to the power sector registered a rise of 4.7 per cent to 398.7 MT in the April-November period compared to 380.8 MT in the year-ago period.  &amp;quot;CIL feels confident of breaching the demand projection of 610 MT placed on it by the Ministry of Power for the current fiscal,&amp;quot; it said, adding that in a challenge, during remaining four months of FY'24, CIL has to grow over the high base of the penultimate four months of previous financial.  All the efforts are in this direction. Year to date coal stock at CIL's pitheads is at 45 MTs, which is around 58 per cent more compared to 28.5 MTs of the same period last year.  CIL's total supplies were at 485.4 MT during the first eight months of the current fiscal, registering a growth of 8.7 per cent. The supplies by the maharatna firm was at 446.4 MT during the corresponding period of FY'23.  &amp;quot;For the month of November 2023 coal off-take of 63 MTs was higher by 2.3 MTs compared to 60.7 MTs of November 2022,&amp;quot; it said.","Business, CIL, Coal India, Companies",https://www.moneycontrol.com//news/business/cil39s-coal-output-rises-115-to-460-million-tonnes-during-april-november_17356791.html
