,company,datePublished,author,headline,description,articleBody,tags,url
0,D04,2024-02-22T05:55:22+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/sunil-shankar-matkar-2345/', 'name': 'Sunil Shankar Matkar'}","Trade Spotlight | How you should deal in DLF, State Bank of India, Raymond today","State Bank of India formed bullish candlestick pattern on the daily timeframe, though the volume was below average. The stock traded way above all key moving averages and maintained higher highs, higher lows formation since October 2023.","The market is largely expected to consolidate in the coming session before heading back to its record high of 22,249, with immediate support at the 22,000 mark and key support at the 21,750 level. In case the market gains strength after consolidation, then 22,300 is the next level to watch out for, followed by 22,500, the key resistance area, experts said.  On February 21, the market snapped its six-day winning streak with the BSE Sensex falling more than 400 points to 72,623, while the Nifty 50 dropped 142 points to 22,055 and formed a bearish engulfing candlestick pattern on the daily charts, which is a bearish trend reversal pattern formed at the top, but the index still continued with its higher-high, higher-low formation.  The broader markets fell more than the benchmarks as the Nifty Midcap 100 and Smallcap 100 indices corrected more than 1 percent each.  Stocks that outperformed the market included DLF, State Bank of India, and Raymond. DLF continued its higher highs, higher lows formation since October 2023, on the daily charts, and rallied 2.66 percent to end at record closing high of Rs 887. The stock has formed bullish candlestick pattern on the daily charts with healthy volumes and traded above all key moving averages.  State Bank of India, too, ended at new closing high of Rs 771.5, and formed bullish candlestick pattern on the daily timeframe, though the volume was below average. The stock traded way above all key moving averages and maintained higher highs, higher lows formation since October 2023.  Raymond has seen a breakout of downward sloping resistance trendline adjoining highs of November 12, 2023 and January 16, 2024, and formed long bullish candlestick pattern on the daily scale with robust volumes. The stock gained 5.8 percent at Rs 1,874 and traded above all key moving averages.  Here's what Riyank Arora of Mehta Equities recommends investors should do with these stocks when the market resumes trading today:  State Bank of India  The stock has made a good move above its previous high of Rs 775 and is currently pulling back to its anchor VWAP (volume-weighted average price) support zone.  The anchor VWAP support zone is placed at Rs 760-765 levels, below which the next support is near Rs 750 mark. Overall, the trend continues to be bullish, and the stock looks poised to reach Rs 825 and above.  DLF  The stock is moving in an uptrend, with the rally continuously pushing the stock price up. The immediate support for the stock is at Rs 840 mark, below which the next support is near Rs 800 level. Overall, the stock looks poised for an upside move towards Rs 950 and Rs 1,000.    Raymond  The stock is moving in an uptrend, with its major support placed at Rs 1,490 mark. The immediate resistance is at Rs 1,925 mark, above which the move can extend towards Rs 2,150 and beyond.  Immediate support is placed at Rs 1,650 mark, and it is expected that the stock should move above Rs 1,925 in a short span of time and head higher further.  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","DLF, Raymond, State Bank of India, Stocks Views, Technicals, Trade Spotlight",https://www.moneycontrol.com//news/technicals/trade-spotlight-|-how-you-should-dealdlf-state-bankindia-raymond-today_17470301.html
1,D04,2024-02-21T13:04:21+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","DLF stock hits fresh 52-week high after arm acquires Gurugram land parcel for Rs 1,241 cr","DLF's wholly-owned subsidiary DLF Home Developers entered into private treaty with Axis Trustee Services and IREO Private to acquire land parcel in Gurugram for Rs 1,241 crore","Shares of DLF rallied over 3 percent to hit a fresh 52-week high of Rs 891.6 per share on February 21 after its wholly-owned subsidiary DLF Home Developers entered into private treaty with Axis Trustee Services and IREO Private to acquire land parcel in Gurugram for Rs 1,241 crore.  The stock of this realty major has surged over 22 percent so far this year, as against 1 percent rise in the benchmark Sensex.  Follow our live blog for all the market action  DLF's arm will acquire land in Gurugram, Haryana under the provisions of SARFAESI Act and the total development potential of this land will be based on all eligible floor area ratio (FAR), which would be 7.5 million square feet.  Out of the 28.5 acres of land, registration and transfer of first tranche, which is 19.3 acres of land parcels, has been completed against&nbsp;DLF Home Developers&nbsp;for Rs 858 crore. &amp;quot;The remaining land parcels would be acquired by DLF Home Developers subject to requisite approvals or permissions,&amp;quot; the exchange filing read.  ALSO READ: Mumbai real estate: DLF's first project may have apartments in Rs 5.5 crore to Rs 7.5 crore range  In Q3FY24, DLF clocked highest quarterly sales booking of Rs 9,047 crore backed by multiple launches during the quarter, while net profit rose 26 percent year-on-year (YoY) to Rs 649 crore.  &amp;quot;We witnessed healthy demand momentum across all these products and both projects in Gurugram were completely sold out within a record time. With this strong performance, the new sales bookings for the nine-month period stood at Rs 13,316 crore and hence will be comfortably exceeding our full year guidance,&amp;quot; the exchange filing read.  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Buzzing Stocks, DLF, Realty stocks",https://www.moneycontrol.com//news/buzzing-stocks/dlf-stock-hits-fresh-52-week-high-after-arm-acquires-gurugram-land-parcel-for-rs-1241-cr_17468951.html
2,D04,2024-02-13T12:54:19+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/abhishek-mukherjee-29811/', 'name': 'Abhishek Mukherjee'}",Q3 earnings: Cyclicals drive show amid margin boost; consumer staples in hot water,A key trend in Q3 was the K-shaped recovery in the economy &ndash; robust demand in urban markets but continuing sluggishness in rural India.,"Infrastructure, financials, energy and real estate companies led earnings growth for India Inc. during the December-quarter as the government&rsquo;s capex cycle coupled with healthy margins boosted their Q3 numbers.  Within financials, large private sector banks benefitted from healthy loan demand even as the rising cost of funds weighed on their profitability. A contrasting trend was seen in consumer staples, where declining raw material inflation was offset by anemic volume growth, especially in the rural markets.  IT companies expectedly delivered weak numbers due to macroeconomic headwinds in the US and Europe, their biggest markets. The slowdown in discretionary spending and delays in deal conversions are expected to persist this year, according to analysts.  Also Read:&nbsp;For Indian IT, 2023 was one of the worst years since Global Financial Crisis  Hits and misses  &ldquo;The 3QFY24 corporate earnings scorecard has been in line so far, with heavyweights such as HDFC Bank, Tata Steel, ICICI Bank, JSW Steel, and Reliance Industries driving the aggregate. The earnings spread has been decent, with 64 percent of our coverage universe either meeting or exceeding profit expectations. However, growth has primarily been led by the BFSI, metals, oil and gas, and auto sectors,&rdquo; Motilal Oswal said in a recent note.  Global brokerage firm Jefferies noted that earnings upgrades were substantially more than downgrades.  Meaningful EPS upgrades were seen in energy public sector units, cement and pharma (generics), while notable cuts were seen in select companies such as Jubilant Foods, Laurus Labs, Tech Mahindra, Voltas, and life insurance players.  &ldquo;Nifty consensus earnings for FY24/25 have seen earnings changes of -1.1 percent/-1.0 percent during the results season. Earnings growth at 16 percent/14 percent is built in for FY24/FY25,&rdquo; Jefferies added.    Real estate companies reaped the benefits of strong pre-sales and firm demand. DLF and Macrotech Developers clocked a 25 percent on-year jump in PAT.  State-owned oil refining companies Indian Oil, Bharat Petroleum and Hindustan Petroleum had a standout quarter due to healthy marketing margins as a freeze on petrol and diesel prices despite a fall in input crude oil prices helped recover losses incurred when rates were high in 2022-23.  The great divide  A key trend that emerged from the Q3 show was the K-shaped recovery in the economy &ndash; robust demand in urban markets but continuing sluggishness in rural India.  Case in point &ndash; the contrasting fortunes of India&rsquo;s biggest car company and biggest FMCG firm.  Maruti Suzuki posted a 33 percent on-year jump in Q3 net profit to Rs 3,130 crore, blowing past estimates of about Rs 2,800 crore. Revenue increased 15 percent to Rs 33,309.7 crore amid strong sales of utility vehicles, which eclipsed entry-level cars as the biggest growth driver for domestic automakers.  &ldquo;The small car segment continued to remain muted and passenger vehicles sales volumes fell 16 percent YoY. Aided by a strong SUV lineup, the company&rsquo;s market share in the SUV segment improved to ~21 percent,&rdquo; analysts at Geojit said.  Hindustan Unilever, on the other hand, clocked standalone net profit growth of 0.55 percent y-o-y to Rs 2,519 crore, while revenue dipped 0.38 percent to Rs 14,928 crore.  Analyst call tracker: HUL, Asian Paints among struggling giants in consumption space  At its post-earnings call, the management said the Q3 demand trend was similar to that in Q2, with urban growing ahead of rural. It plans more premium product launches, which is growing 2.5x its mass portfolio.  &ldquo;Due to lower agriculture yields and uncertainty of future crop outputs, rural consumer sentiment remains subdued. Consequently, the anticipated buoyancy from the festive season did not materialise. The dualism we've seen in the recent past continues, with certain parts of the market recovering faster than the rest,&rdquo; Hindustan Unilever MD Rohit Jawa said on the earnings call.  Other consumer staples companies witnessed a similar trend. Biscuit maker Britannia Industries said the rural area remains a concern, and its strategy will be focused on driving market share gains.  &ldquo;We expect earnings growth to be lower due to moderate volume growth (low-to-mid single digits) given the prolonged delay in rural recovery and an increase in competitive intensity from regional/unorganised players,&rdquo; analysts at Nomura noted.  While the December quarter delivered margin expansion due to softer raw material prices, consumption companies&rsquo; short-term outlook is more dependent on premiumisation than rural demand recovery, analysts said.  Disclaimer: The views and investment tips expressed by experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","HUL, Result Analysis",https://www.moneycontrol.com//news/result-analysis/q3-earnings-cyclicals-drive-show-amid-margin-boost-consumer-stapleshot-water_17447521.html
3,D04,2024-01-30T22:17:24+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Neutral DLF; target of Rs 740: Motilal Oswal,"Motilal Oswal recommended Neutral rating on DLF with a target price of Rs 740 in its research report dated January 27, 2024.","Motilal Oswal's research report on DLF DLF reported its highest-ever pre-sales of INR90.5b in 3QFY4, up 4x YoY/QoQ and 21% above our estimate. The strong performance was driven by three new launches during the quarter, which contributed over INR86b to overall bookings. For 9MFY24, bookings stood at INR133b, doubled YoY, and exceeded the company&rsquo;s full-year guidance of INR130b. The company launched the first phase of DLF Privana, Gurugram, which was sold out within 72 hours of launch and clocked bookings of over INR72b. Other launches in Gurugram and Panchkula contributed INR14b of pre-sales. In the absence of any new launches, we expect DLF to end FY24 with flat pre-sales of INR154b. However, with projects worth over INR700b slated for launch over the next two-three years, we expect DLF to report a 27% CAGR in pre-sales over FY24-26E to INR250b. Outlook We incorporate higher realization for its New Gurugram land and tweak our monetization assumption to incorporate its aggressive launch pipeline as indicated by the company. We revise our TP to INR740, indicating 2% downside potential. Reiterate our Neutral rating. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. DLF - 2912024 - moti","DLF, Motilal Oswal, neutral, Recommendations",https://www.moneycontrol.com//news/recommendations/neutral-dlf-targetrs-740-motilal-oswal_17421411.html
4,D04,2024-01-25T13:23:45+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}","DLF sales bookings jump 2-fold to Rs 13,316 crore in April-December","During the April-December period of the previous fiscal, the company's sales bookings stood at Rs 6,599 crore.","Realty major DLF Ltd's sales bookings jumped two times annually to Rs 13,316 crore during the first nine months of this fiscal, mainly on high demand for its luxury housing properties in Gurugram.  During the April-December period of the previous fiscal, the company's sales bookings stood at Rs 6,599 crore.  In the 2022-23 fiscal, DLF's sales bookings stood at a little over Rs 15,000 crore, and it is likely to clock higher numbers in the current fiscal.  On Wednesday, the company reported a more than three-time increase in its sales booking to Rs 9,047 crore in the December quarter as against Rs 2,507 crore in the year-ago period. &nbsp; This is the highest quarterly sales booking achieved by the company.  The record sales bookings in the third quarter were mainly driven by sales of 1,113 luxury apartments in Gurugram for Rs 7,200 crore within three days of the pre-launch last month.  In the third quarter of 2023-24, DLF launched three new projects --two in Gurugram and one in Panchkula--totalling over 5 million square feet.  DLF said it witnessed a healthy demand, and both projects in Gurugram were completely sold out within record time.  &amp;quot;With this strong performance, the new sales bookings for the nine-month period stood at Rs 13,316 crore and hence will be comfortably exceeding our full-year guidance,&amp;quot; the company said.  DLF has reported a 27 per cent increase in consolidated net profit to Rs 655.71 crore in the December quarter, boosted by higher income and lower expenses.  Its profit stood at Rs 517.94 crore in the year-ago period.  Total consolidated income rose to Rs 1,643.51 crore in the third quarter of the current fiscal from Rs 1,559.66 crore in the same period a year ago.  DLF's total expenses declined to Rs 1,131.97 crore in the December quarter from Rs 1,151.62 crore in the year-ago period.  DLF is India's largest real estate company in terms of market capitalisation.  DLF Group has 215 million sq ft of development potential across residential and commercial segments. The group has an annuity portfolio of over 42 million square feet.","DLF, Real Estate",https://www.moneycontrol.com//news/real-estate/dlf-sales-bookings-jump-2-fold-to-rs-13316-croreapril-december_17415581.html
5,D04,2023-08-10T14:38:20+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Neutral DLF; target of Rs 455: Motilal Oswal,"Motilal Oswal recommended Neutral rating on DLF with a target price of Rs 455 in its research report dated August 07, 2023.","Motilal Oswal's research report on DLF Housing segment continues to witness strong demand, supported by tailwinds from fundamental demand drivers. Consolidation among larger and credible brands continues to be a key trend in the housing segment, primarily driven by rising confidence toward developers with strong execution legacy. In FY23, DLF&rsquo;s pre-sales doubled YoY to INR155b, driven by a strong response to a new luxury project launched in Gurugram. Its identified launch pipeline will help the company sustain the momentum.&nbsp; Expansion of new global captives, R&amp;amp;amp;D and the technology sector will boost demand for office space. In Retail, there has been a significant rebound with improved footfalls. This resurgence is primarily supported by a recovery in the luxury segment. DLF maintains a positive outlook on the rental business and is consequently deploying capital to grow the office portfolio (developing 5.3msf across Gurugram and Chennai). Given a recovery in the retail segment and consumption trends in the country, DLF has also initiated the development of new sets of malls across geographies, with an aim of doubling its retail presence in the next 4-5 years. DLF continue to strengthen its sales, CRM and project execution teams, and its upgraded ERP system has significantly enhanced the company&rsquo;s digital capabilities. Outlook The current valuation indicates that the company&rsquo;s 146msf land in DLF (DevCo.) and 24msf land in DCCDL (RentCo.) are valued at INR620b. This valuation incorporates a ~15 years of monetization timeline for the land bank, which we believe is fair. We value the land at ~INR530b, implying that there is limited upside potential from the current valuation. Maintain NEUTRAL with a TP of INR455. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  DLF - 08 -08 - 2023 - moti","DLF, Motilal Oswal, neutral, Recommendations",https://www.moneycontrol.com//news/recommendations/neutral-dlf-targetrs-455-motilal-oswal_17173151.html
6,D04,2023-07-26T12:02:46+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy DLF; target of Rs 504: HDFC Securities,"HDFC Securities is bullish on DLF has recommended buy rating on the stock with a target price of Rs 504 in its research report dated July 24, 2023.","HDFC Securities' research report on DLF DLF recorded decent presales of INR 20.4bn (+0/-76% YoY/QoQ), given there were no new launches during the quarter. It announced its re-entry into the MMR market with a slum rehabilitation project in Andheri. The total project size is expected to be around 3.5msf with DLF executing the first phase with a saleable area of 0.9msf and GDV of around INR 20bn+. This project is getting executed under a JV with the DLF share at 51%. DLF has already invested INR 4bn for the entire project in a convertible instrument which eventually will get converted to equity. The project is expected to be a normal high-rise premium project. For FY24, it reiterated guidance of INR 120-130bn in total presales, backed by 11.2msf of launches with a sales potential of INR 197bn. Of this, 5msf will be in the luxury segment, with 3.5msf in DLF Phase V and 1.5msf in Chennai. Net debt reduced significantly to INR 570mn (vs INR 7.2bn in Q4FY23) on the back of a strong collection of INR 15.7bn (+47%/-18% YoY/QoQ). The cash position is strong at INR 30bn, earmarked for growth, dividend payout and debt reduction. Outlook Given (1) the strong presales momentum supported by price hikes; (2) robust launch plans; and (3) an expected increase in office occupancy levels, we maintain BUY on DLF, with a TP of INR 504/share. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. DLF - 25 -07 - 2023 - hdfc","Buy, DLF, HDFC Securities, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-dlf-targetrs-504-hdfc-securities_17132811.html
7,D04,2023-05-23T14:14:05+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}"," DLF Chairman Rajiv Singh wealthiest Indian real estate entrepreneur with fortune of Rs 59,030 crore:...",GROHE-HURUN India Real Estate Rich List 2023 ranks 100 individuals from 67 companies and 16 cities.,"With a wealth of Rs 59,030 crore, Rajiv Singh of DLF, continues to remain the wealthiest Indian real estate entrepreneur for the second year in row followed by Mangal Prabhat Lodha and his family of Macrotech Developers who has secured the second spot on the GROHE-HURUN India Real Estate Rich List 2023 with a wealth of Rs 42,270 crore.  GROHE-HURUN India Real Estate Rich List 2023 ranks 100 individuals from 67 companies and 16 cities. As per the report, 61 per cent of the list saw their wealth increase, of which 25 were new faces, while 36 saw their wealth decrease.  &amp;quot;The entry point to the top 10 has surged from Rs 3,350 crore in 2017 to a staggering Rs 15,000 crore today. Similarly, the threshold to make it to the top 50 has risen from Rs 660 crore in 2017 to Rs 1,300 crore presently,&amp;quot; Hurun India MD and Chief Researcher Anas Rahman Junaid told reporters.  &ldquo;Indian real estate sector is all set to &lsquo;fire from all cylinders&rsquo;. With a GDP of around $17 trillion, China has 105 real estate billionaires and with the population just 1/4th of that of India, US has around 32 billionaires. Next decade, enroute to $10 trillion GDP, Indian real estate wealth creation could beat US and significantly reduce the gap with China. In 2017 GROHE Hurun Real Estate Rich List, only 15 percent of the brands were national and now it is more than 60 percent. Next step could be for these brands to go global. At this juncture of world economy and geopolitics, Indian real estate entrepreneurs are best poised to create global brands than the others. This will result in massive value creation,&rdquo; he told Moneycontrol  Arjun Menda &amp;amp;amp; family of RMZ Corp debuted the third position on the list, with a wealth of Rs 37,000 crore. Currently, his sons, Raj Menda and Manoj Menda, are responsible for overseeing the day-to-day operations of the RMZ Group.  With a wealth of Rs 26,620 crore, Chandru Raheja &amp;amp;amp; family, of K Raheja Corp, have successfully held onto the fourth position in the GROHE-HURUN India Real Estate Rich List 2023, augmenting his net worth by an additional Rs 330 crore this year.  In Delhi-NCR, Manoj Gaur of Gaursons India is at the 40th position with a wealth of Rs 1,950 crore while Pradeep Aggarwal of Signature global is at the 58th place (Rs 1,090 crore), BPTP's Kabul Chawla &amp;amp;amp; family is at the 64th position (Rs 980 crore), Omaxe's Rohtas Goel &amp;amp;amp; family is at the 67th place (Rs 940 crore) and Pankaj Bajaj &amp;amp;amp; family of Eldeco Infrastructure &amp;amp;amp; Properties is at the 72nd position (Rs 860 crore)  Ranked fifth on the list, Niranjan Hiranandani, 73, boasts a fortune of Rs 23,900 crore as the founder of Hiranandani Communities. Jitendra Virwani, 57, is ranked sixth on the list with a wealth of Rs 23,100 crore as the founder of Embassy Office Parks.  Vikas Oberoi, 53 and the founder of Oberoi Realty, has descended to the seventh position on the list. However, his wealth has witnessed an impressive surge of 44 percent, reaching Rs 22,970 crore.  Basant Bansal &amp;amp;amp; family of M3M India occupy the eighth spot on the list. Raja Bagmane, 63, of Bagmane Developers, ranks ninth on the list with a wealth of Rs 16,100 crore.  G. Amarender Reddy &amp;amp;amp; family, the founder and chairman of GAR Corporation, made their debut at the 10th position on the list with a wealth of Rs 15,000 crore.  Mumbai leads the list Mumbai leads the list with 29 individuals in GROHE-HURUN India Real Estate Rich List 2023, followed by New Delhi with 23 and Bengaluru with 18. The top three cities on the list account for more than 70 percent of the list.  The report said that Maharashtra and Gujarat account for 40 percent of the cumulative wealth of the list, followed by the southern region states consisting of Karnataka, Telangana, Tamil Nadu and Andhra Pradesh with 34 percent. Northern region states Delhi, Haryana and Punjab are the closest third with a 25 percent share.  With 37 individuals, Maharashtra is the preferred state of residence for real estate entrepreneurs on the list, followed by Delhi with 23 and Karnataka with 18, the report noted.  As many as 11 real estate entrepreneurs graduated from the University of Mumbai followed by Bengaluru University with 5, the List said, adding there were three from Massachusetts Institute of Technology. As many as 11 real estate entrepreneurs graduated from overseas universities, with three MIT is the preferred foreign universities for real estate entrepreneurs in India.  Average age of the realtors in the List is 63. The youngest is 45 years old and the oldest is 94 years. With a wealth of Rs 380 crore, the youngest on the List is KV Satish (45) of DS Max Properties. The oldest on the List is Prithvi Raj Singh Oberoi (94), of East India Hotels, who registered a wealth of Rs 4,010 crore.","Business, Companies, DLF, Rajiv Singh",https://www.moneycontrol.com//news/business/dlf-chairman-rajiv-singh-wealthiest-indian-real-estate-entrepreneurfortuners-59030-crore-report_17022871.html
8,D04,2023-05-16T15:41:03+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Neutral DLF; target of Rs 440: Motilal Oswal,"Motilal Oswal recommended Neutral rating on DLF with a target price of Rs 440 in its research report dated May 14, 2023.","Motilal Oswal's research report on DLF DLFU reported record bookings of INR85b in 4QFY23, up three-fold YoY and about in line with our estimate of INR89b. The company had a successful launch at Sector 63, Gurugram (Arbour) with bookings of INR80b, but also reported cancellations worth INR1b at The Camellias, Gurugram. The company reported bookings of INR150b in FY23, doubling YoY, driven by major launches in Gurugram and Chandigarh Tri-city, which accounted for 80% of the overall sales. Overall company launched ~10msf of projects in FY23. DLFU plans to launch 11msf of projects in FY24 with a sales potential of INR197b. Along with INR73b of existing inventory, company will have INR270b of inventory to monetize in FY24. In FY23, DLFU clocked an inventory churn ratio of ~68% with a total inventory of ~INR221b and bookings of INR150b.  Outlook We bake in the cash flows from revised project pipeline and roll forward our estimates, resulting in revised TP of INR440 (v/s INR415 earlier). Our monetization based land valuation method values DLF/DCCDL&rsquo;s 147msf/25msf land at INR490b v/s the current implied value of INR485b, indicating a fair valuation with no upside potential. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. DLF - 15 -05 - 2023 - moti","DLF, Motilal Oswal, neutral, Recommendations",https://www.moneycontrol.com//news/recommendations/neutral-dlf-targetrs-440-motilal-oswal_17006101.html
9,D04,2023-05-16T13:42:22+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy DLF; target of Rs 504: HDFC Securities,"HDFC Securities is bullish on DLF has recommended buy rating on the stock with a target price of Rs 504 in its research report dated May 12, 2023.","HDFC Securities' research report on DLF DLF recorded its highest-ever annual and quarterly presales of INR 150.6bn (+107% YoY) and INR 84.5bn (+210%/+237% YoY/QoQ) resp., beating its annual guidance of INR 80bn. This was on the back of strong demand for its luxury project&mdash;The Arbour (launched and sold out in Q4FY23)&mdash;which recorded presales of more than INR 80bn. For FY24, it expects to achieve at least INR 110bn in presales backed by 11.2msf of launches with a sales potential of INR 197bn. Of this, 5msf will be in the Luxury segment with 3.5msf in DLF Phase V and 1.5msf in Chennai. Net debt reduced significantly to INR 7.2bn (vs INR 20.9bn in Q3FY23), on the back of strong residential collection of INR 18bn (+52%/+41% YoY/QoQ) during Q4FY23. It expects to grow residential collection by 20-25% in FY24 (INR 53bn in FY23) with free cash earmarked for growth, dividend payout and debt reduction.  Outlook Given (1) the strong presales momentum supported by price hikes; (2) robust launch plans; and (3) an expected increase in office occupancy levels, we maintain BUY on DLF, with an increased TP of INR 504/share. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. DLF - 15 -05 - 2023 - hdfc","Buy, DLF, HDFC Securities, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-dlf-targetrs-504-hdfc-securities_17005801.html
