,company,datePublished,author,headline,description,articleBody,tags,url
0,DC05,2018-04-18T17:52:25+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}","CBI arrests promoters of Diamond Power Infrastructure in Rs 2,654-cr bank fraud","The agency in an FIR said that the DPIL, which manufactures electric cables and equipment, is promoted by Suresh Narain Bhatnagar and his sons Amit and Sumit, who are also the directors of the firm.","The CBI arrested today the promoters and directors of Vadodara-based Diamond Power Infrastructure Ltd. (DPIL) in connection with an alleged over Rs 2,654 crore bank loan fraud case, officials said here.  The agency in an FIR said that the DPIL, which manufactures electric cables and equipment, is promoted by Suresh Narain Bhatnagar and his sons Amit and Sumit, who are also the directors of the firm.  The loan, it said, was declared a non-performing asset in 2016-17.  &amp;quot;It is alleged that the DPIL, through its management, (had) fraudulently availed credit facilities from a consortium of 11 banks (both public and private) since 2008, leaving behind an outstanding debit of Rs 2,654.40 crore as of June 29, 2016,&amp;quot; the agency said.  A non-bailable warrant was issued against them on the agency's request, CBI spokesperson Abhishek Dayal said.  The agency had received input about the whereabouts of the Bhatnagar trio late last night following which teams were sent to arrest them.  &amp;quot;The accused were arrested today and will be produced before the Special Judge, Ahmedabad,&amp;quot; Dayal said.  The company and its directors managed to get term loans and credit facilities despite being on the Reserve Bank of India's defaulters list and the Export Credit Guarantee Corporation's caution list at the time of the initial sanction of credit limits by the consortium, the CBI alleged.  When the consortium was formed in 2008, the Axis Bank was the lead bank for the term loan and the Bank of India was the lead bank for cash credit limits.  It is alleged that the firm, with active connivance of officials from various banks, managed to get enhanced credit facilities.  According to the CBI, the company had allegedly submitted false stock statements to the lead bank by treating receivables more than 180 days (non-current asset) as less than 180 days (current asset) to get more drawing power in their cash credit accounts.  Earlier in the day, the Gujarat Anti Terrorist Squad said the trio were held from a hotel in Udaipur last night.","Business, CBI, Companies, Diamond Power Infrastructure",https://www.moneycontrol.com//news/business/cbi-arrests-promotersdiamond-power-infrastructurers-2654-cr-bank-fraud_10797621.html
1,DC05,2017-11-28T16:32:02+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Diamond Power Infrastructure - Outcome of board meeting,Diamond Power Infrastructure has informed about the outcome of board meeting.,"Diamond Power Infrastructure has informed about the outcome of board meeting.  The share touched its 52-week high Rs 50.50 and 52-week low Rs 15.85 on 31 January, 2017 and 22 November, 2017, respectively.    Currently, it is trading 62.97 percent below its 52-week high and 17.98 percent above its 52-week low.    Market capitalisation stands at Rs 504.36 crore.  Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/diamond-power-infrastructure-outcomeboard-meeting_10131821.html
2,DC05,2017-11-14T12:25:22+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Diamond Power Infrastructure' board meeting adjourned,Diamond Power Infrastructure has informed that its board meeting has been adjourned,"Diamond Power Infrastructure has informed that its board meeting has been adjourned  At 12:17 hrs Diamond Power Infrastructure was quoting at Rs 17.70, up Rs 0.20, or 1.14 percent.    The share touched its 52-week high Rs 50.50 and 52-week low Rs 16.40 on 31 January, 2017 and 27 October, 2017, respectively.    Currently, it is trading 64.95 percent below its 52-week high and 7.93 percent above its 52-week low.    Market capitalisation stands at Rs 477.39 crore.  Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/diamond-power-infrastructure39-board-meeting-adjourned_10053281.html
3,DC05,2017-11-06T16:07:28+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","Diamond Power Infrastructure's board meeting on November 14, 2017","Intimation of Board Meeting scheduled to be held on 14th November, 2017.","Intimation of Board Meeting scheduled to be held on 14th November, 2017.  The share touched its 52-week high Rs 57.80 and 52-week low Rs 16.40 on 03 November, 2016 and 27 October, 2017, respectively.    Currently, it is trading 68.86 percent below its 52-week high and 9.76 percent above its 52-week low.    Market capitalisation stands at Rs 485.48 crore.  Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/diamond-power-infrastructure39s-board-meetingnovember-14-2017_10001981.html
4,DC05,2017-04-20T15:56:49+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Diamond Power: Outcome of board meeting,"Diamond Power has informed that meeting of board of directors held on April 20, 2017.",Outcome of Board meeting held on 20.04.2017Source : BSE Read all announcements in Diamond Power,Announcements,https://www.moneycontrol.com//news/announcements/diamond-power-outcomeboard-meeting_8807981.html
5,DC05,2017-04-20T15:56:48+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Diamond Power: Outcome of board meeting,"Diamond Power has informed that meeting of board of directors held on April 20, 2017.",Outcome of Board meeting held on 20.04.2017Source : BSE,Announcements,https://www.moneycontrol.com//news/announcements/diamond-power-outcomeboard-meeting_8896301.html
6,DC05,2017-03-14T11:34:40+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Diamond Power lenders approve Rs 1,200 cr infusion under SDR","&amp;quot;The company would like to inform its shareholders that lenders in their meeting in-principally agreed, subject to approvals of various authorities, towards the proposal received from CKP Group to infuse Rs 1,200 crore under SDR scheme,&amp;quot; Diamond Power Infrastructure said in a BSE filing.","Diamond Power Infrastructure today said its lenders have in principally agreed to a proposal from CKP Group to infuse Rs 1,200 crore under Strategic Debt Restructuring (SDR) scheme. &amp;quot;The company would like to inform its shareholders that lenders in their meeting in-principally agreed, subject to approvals of various authorities, towards the proposal received from CKP Group to infuse Rs 1,200 crore under SDR scheme,&amp;quot; Diamond Power Infrastructure said in a BSE filing. Earlier this month, Diamond Power Infrastructure said its shareholders have approved the proposal to convert Rs 2,398 crore debt into equity and optionally convertible redeemable preference shares (OCRPS). Shares of the company were trading 4.95 percent higher at Rs 42.40 on BSE.","BSE, Business, CKP Group, Diamond Power Infrastructure, strategic debt restructuring",https://www.moneycontrol.com//news/business/diamond-power-lenders-approve-rs-1200-cr-infusion-under-sdr_8636761.html
7,DC05,2017-03-07T10:02:09+05:30,"{'@type': 'Person', 'name': 'Faizan Javed'}",Diamond Power gets shareholder nod to convert debt into equity,"The special resolution to convert the debt of Rs 855 crore and Rs 1,543 crore into equity shares and OCRPS under strategic debt restructuring (SDR) was passed by requisite majority by the shareholders, the company stated in a BSE filing.","Diamond Power Infrastructure said its shareholders have approved the proposal to convert Rs 2,398 crore debt into equity and optionally convertible redeemable preference shares (OCRPS). The special resolution to convert the debt of Rs 855 crore and Rs 1,543 crore into equity shares and OCRPS under strategic debt restructuring (SDR) was passed by requisite majority by the shareholders, the company stated in a BSE filing. According to the statement, Bank of India will be alloted 5.43 crore shares convert debt of Rs 224.34 crore followed by Bank of Baroda at 2.71 crore shares for Rs 111.9 crore and ICICI Bank at 2.22 crore shares for Rs 91.72 crore loans under the SDR. Under this arrangement company will allot leders 20.70 crore shares to convert a total debt of Rs 854.82 crore. Similarly, the lenders will be alloted 5.28 crore OCRPS to convert loans of Rs 1,543 crore of the lenders. Bank of India will be issued 1.38 crore OCRPS to convert debt of Rs 405 crore. Bank of Baroda will be issued 69.17 lakh OCRPS to convert loan amount of Rs 202 crore while it is proposed to allot 56.70 lakh OCRPS to ICICI Bank for its loan of Rs 122 crore to the company.","Bank Of Baroda, Bank Of India, BSE, Business, convert, Diamond Power Infrastructure, ICICI Bank, optionally convertible redeemable preference shares",https://www.moneycontrol.com//news/business/diamond-power-gets-shareholder-nod-to-convert-debt-into-equity_8604681.html
8,DC05,2017-02-27T10:51:11+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Diamond Power Infrastructure's board meeting on March 04, 2017","Diamond Power Infrastructure Ltd has informed BSE that the Board Meeting of the Directors of the Company will scheduled to be held on March 04, 2017 to discuss and approve Appointment of Shri Surinder Kumar Negi as a Professional Managing Director of the Company","Diamond Power Infrastructure Ltd has informed BSE that the Board Meeting of the Directors of the Company will scheduled to be held on March 04, 2017 to discuss and approve Appointment of Shri Surinder Kumar Negi as a Professional Managing Director of the Company.Further, in accordance with the Company",Announcements,https://www.moneycontrol.com//news/announcements/diamond-power-infrastructures-board-meetingmarch-04-2017_8558761.html
9,DC05,2017-02-14T19:12:05+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Diamond Power Infrastructure Q3 loss widens to Rs 213 cr,"Diamond Power Infrastructure today reported consolidated net loss of Rs 213.23 crore for the quarter ended December 31, 2016.","Diamond Power Infrastructure today reported consolidated net loss of Rs 213.23 crore for the quarter ended December 31, 2016. The company had reported a consolidated net loss of the Rs 53.01 crore in the corresponding period of 2015, it said in a BSE filing today. According to the statement, the company's income from operations declined to Rs 252.08 crore in the third quarter compared to Rs 502.70 crore. In a seperate filing, it also informed the BSE that its board, at a meeting held today, has approved issuance of 8.09 crore warrants convertible into shares of the company to various strategic investors on preferential basis/Funds/FIIs. Yesterday, the company had said that its board will consider proposal for the issue of around 5.31 crore warrants amounting to Rs 244.55 crore to CKP Power Finserve Pvt Ltd on preferential basis.","BSE, December, Diamond Power Infrastructure, net loss, quarter, Results",https://www.moneycontrol.com//news/results/diamond-power-infrastructure-q3-loss-widens-to-rs-213-cr_8495961.html
