,company,datePublished,author,headline,description,articleBody,tags,url
0,ED,2018-11-22T15:39:02+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Empee Distilleries Limited,Empee Distilleries Limited has informed the Exchange regarding Non Compliance as per Regulation 33 of the SEBI (Listing Obligation Disclosure Requirements) Regulations.,Empee Distilleries Limited has informed the Exchange regarding Non Compliance as per Regulation 33 of the SEBI (Listing Obligation Disclosure Requirements) Regulations.Source : NSE,Announcements,https://www.moneycontrol.com//news/announcements/empee-distilleries-limited_11756161.html
1,ED,2017-08-17T10:00:52+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","Empee Distilleries' board meeting on August 21, 2017",a) To consider and approve the Boards' Report for the financial year 2016-17.&amp;lt;BR&amp;gt; b) To consider holding of AGM. &amp;lt;BR&amp;gt; c) To consider and approve the Notice of AGM.&amp;lt;BR&amp;gt; d) To announce the date of Book closure. &amp;lt;BR&amp;gt;,a) To consider and approve the Boards' Report for the financial year 2016-17. b) To consider holding of AGM.  c) To consider and approve the Notice of AGM. d) To announce the date of Book closure. Source : BSE,Announcements,https://www.moneycontrol.com//news/announcements/empee-distilleries39-board-meetingaugust-21-2017_9491761.html
2,ED,2017-02-23T12:40:09+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Empee Distilleries: Outcome of board meeting,"Empee Distilleries Ltd has informed BSE about Outcome of Board Meeting held on February 23, 2017.","Empee Distilleries Ltd has informed BSE about Outcome of Board Meeting held on February 23, 2017.Source : BSE Read all announcements in Empee Distiller",Announcements,https://www.moneycontrol.com//news/announcements/empee-distilleries-outcomeboard-meeting_8546621.html
3,ED,2017-02-22T11:52:23+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Empee Distilleries' EGM on March 15, 2017","Empee Distilleries Ltd has informed BSE that the Extra Ordinary General Meeting (EGM) of the Company will be held on March 15, 2017.","Empee Distilleries Ltd has informed BSE that the Extra Ordinary General Meeting (EGM) of the Company will be held on March 15, 2017.Source : BSE Read all announcements in Empee Distiller",Announcements,https://www.moneycontrol.com//news/announcements/empee-distilleries-egmmarch-15-2017_8538021.html
4,ED,2017-02-20T15:09:41+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Empee Distilleries' board meeting on Feb 23, 2017","Empee Distilleries Ltd has informed BSE that the meeting of the Board of Directors of the Company is scheduled to be held on February 23, 2017, to consider the allotment of Share Warrants.","Empee Distilleries Ltd has informed BSE that the meeting of the Board of Directors of the Company is scheduled to be held on February 23, 2017, to consider the allotment of Share Warrants.Source : BSE Read all announcements in Empee Distiller",Announcements,https://www.moneycontrol.com//news/announcements/empee-distilleries-board-meetingfeb-23-2017_8526321.html
5,ED,2017-02-13T22:51:22+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Empee Distilleries: Outcome of board meeting,"Empee Distilleries has informed about Outcome of Board Meeting held on February 13, 2017.","Empee Distilleries Ltd has informed BSE about Outcome of Board Meeting held on February 13, 2017.Source : BSE Read all announcements in Empee Distiller",Announcements,https://www.moneycontrol.com//news/announcements/empee-distilleries-outcomeboard-meeting_8487041.html
6,ED,2017-02-06T21:48:53+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Empee Distilleries board meeting on Feb 13, 2017","Empee Distilleries has informed that a meeting of the Board of Directors of the Company is scheduled to be held on February 13, 2017, to consider the Un-audited Financial Results for the quarter ended December 31, 2016. To consider a proposal to sell the investments held in M/s. Empee Hotels Ltd.","Empee Distilleries Ltd has informed BSE that a meeting of the Board of Directors of the Company is scheduled to be held on February 13, 2017, inter alia, to consider the following:1. Un-audited Financial Results for the quarter ended December 31, 2016.2. To consider a proposal to sell the investments held in M/s. Empee Hotels Ltd.Source : BSE Read all announcements in Empee Distiller",Announcements,https://www.moneycontrol.com//news/announcements/empee-distilleries-board-meetingfeb-13-2017_8436881.html
7,ED,2017-02-02T21:56:01+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Empee Distilleries: Outcome of EGM,"Empee Distilleries has submitted a copy of the minutes of the Extra Ordinary General Meeting (EGM) of the Company held on January 19, 2017.","Empee Distilleries Ltd has submitted to BSE a copy of the minutes of the Extra Ordinary General Meeting (EGM) of the Company held on January 19, 2017.Source : BSE Read all announcements in Empee Distiller",Announcements,https://www.moneycontrol.com//news/announcements/empee-distilleries-outcomeegm_8413501.html
8,ED,2016-12-29T15:12:53+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Empee Distilleries' EGM on January 19, 2017","Empee Distilleries Ltd has informed BSE that the Extra Ordinary General Meeting (EGM) of the Company will be held on January 19, 2017.","Empee Distilleries Ltd has informed BSE that the Extra Ordinary General Meeting (EGM) of the Company will be held on January 19, 2017.Source : BSE Read all announcements in Empee Distiller",Announcements,https://www.moneycontrol.com//news/announcements/empee-distilleries-egmjanuary-19-2017_8179981.html
9,ED,2016-09-16T16:19:40+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Empee Distilleries: Outcome of board meeting,"Empee Distilleries Ltd has informed BSE regarding Outcome of Board Meeting held on September 16, 2016.","Empee Distilleries Ltd has informed BSE regarding Outcome of Board Meeting held on September 16, 2016.Source : BSE Read all announcements in Empee Distiller",Announcements,https://www.moneycontrol.com//news/announcements/empee-distilleries-outcomeboard-meeting_7467521.html
10,ED,2016-08-04T08:55:57+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Empee Distilleries' board meeting on August 11, 2016","Empee Distilleries Ltd has informed BSE that a meeting of the Board of Directors of the Company is scheduled to be held on August 11, 2016 to consider inter-alia the Un-audited Financial Results for the quarter ended June 30, 2016.","Empee Distilleries Ltd has informed BSE that a meeting of the Board of Directors of the Company is scheduled to be held on August 11, 2016 to consider inter-alia the Un-audited Financial Results for the quarter ended June 30, 2016.Source : BSE Read all announcements in Empee Distiller",Announcements,https://www.moneycontrol.com//news/announcements/empee-distilleries-board-meetingaugust-11-2016_7195461.html
