,company,datePublished,author,headline,description,articleBody,tags,url
0,GAI,2024-02-15T05:53:50+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/kunal-shah-23981/', 'name': 'Kunal Shah'}","Hot Stocks | Axis Bank, GAIL India, PNB may deliver up to 14% return in short term","Beyond 21,850, the Nifty could potentially move towards 22,200. Support for the near term is positioned at 21,700.","The Nifty 50 remained highly volatile, reflecting predominant bullishness throughout the day following a weak start, on February 14. However, the sentiment remains sideways to negative as long as it stays below 21,850. A decisive move above 21,850 might trigger a strong rally in the market.  Beyond 21,850, the Nifty could potentially move towards 22,200. Support for the near term is seen at 21,700.  The Bank Nifty bulls made a robust return, overpowering the bears and successfully defending the crucial support at 45,000. The index is firmly on a buy mode, with immediate support at 45,500 acting as a cushion for the bulls.  The banking index is indicating an immediate target of 46,500, and if it sustains above this level, further upside towards the 48,000 mark can be anticipated.  Here are three buy calls for short term:  GAIL India: Buy | LTP: Rs 176 | Stop-Loss: Rs 165 | Target: Rs 190/200 | Return: 14 percent  The stock is exhibiting a strong upward trend, characterized by consistent higher highs and higher lows on the daily chart. The momentum indicator, RSI (relative strength index), has recently experienced a positive crossover, confirming a buy signal.  The lower-end support is identified at Rs 165, providing a crucial cushion for the bulls. The stock has the potential to reach upside targets of Rs 190 and Rs 200 in the near term.  Punjab National Bank: Buy | LTP: Rs 123 | Stop-Loss: Rs 117 | Target: Rs 130/136 | Return: 11 percent  The stock exhibits a clear uptrend, characterized by higher highs and higher lows, rebounding from a correction to find support at its 14-day moving average.  Moreover, it recently closed above its 10-day moving average post-correction. The relative strength index (RSI) indicates a bullish crossover on the daily chart, currently positioned at 67.    Axis Bank: Buy | LTP: Rs 1,097 | Stop-Loss: Rs 1,050 | Target: Rs 1,150/1,200 | Return: 9 percent  The stock has recently experienced robust buying activity on the daily chart and is approaching a breakout from a falling trendline. Trading above its short-term moving average indicates a positive setup.  The lower-end support is established at Rs 1,050, acting as a foundation for potential bullish movements. The stock's upside targets are projected at Rs 1,150 and Rs 1,200 in the near term.    Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Axis Bank, GAIL India, Hot Stocks, Punjab National Bank, Stocks Views, Technicals",https://www.moneycontrol.com//news/technicals/hot-stocks-|-axis-bank-gail-india-pnb-may-deliverto-14-returnshort-term_17452981.html
1,GAI,2024-02-03T13:26:49+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Reduce GAIL; target of Rs 145: Emkay Global Financial,"Emkay Global Financial recommended reduce rating on GAIL with a target price of Rs 145 in its research report dated January 30, 2024.","Emkay Global Financial's research report on GAIL GAIL reported a 23% beat in Q3FY24 EBITDA at Rs38.2bn, led by higher-thanexpected gas marketing EBITDA at Rs20.7bn (vs. Rs15.9bn est.) and petchem turning positive QoQ at Rs2bn vs. near breakeven estimates. PAT came in at Rs28.4bn, a 40% beat with other income also higher. Gas transmission EBITDA was 6% above estimates on lower opex, volumes being inline. LPG-LHC earnings rose with 35% QoQ recovery in Aramco LPG OSPs. Management has upped marketing EBITDA guidance for FY24/25/26E to &amp;amp;gt;Rs55/40/45bn, led by focus on margins and cost optimization. Petchem should remain in black. We raise our FY24E EPS by 12% and FY25-26E EPS by 6% on higher marketing income. Outlook We increase our TP by 16% to Rs145 (6x Dec-25 EV/EBITDA). We maintain REDUCE due to recent strong stock runup and outlook being priced in For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  GAIL - 3112024 - emkay","Emkay Global Financial, GAIL, Recommendations, Reduce",https://www.moneycontrol.com//news/recommendations/reduce-gail-targetrs-145-emkay-global-financial_17428161.html
2,GAI,2024-02-02T21:20:03+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy GAIL (India); target of Rs 200: Sharekhan,"Sharekhan is bullish on GAIL (India) has recommended buy rating on the stock with a target price of Rs 200 in its research report dated January 29, 2024.","Sharekhan's research report on GAIL (India) Standalone PAT of Rs. 2,843 crore, up 18% q-o-q was 29% above our estimate led by sharp earnings beat from gas trading/petchem segments, higher other income and rise in interest cost/tax rate offsetting slightly subdued gas transmission. Petchem segment turned EBITDA positive led by higher utilization, better absorption of fixed cost and lower gas cost. GAIL trading benefited from continued strong marketing margins, while LPG-LHC EBITDA growth was led by higher realisations. Management upped FY24 gas marketing EBITDA guidance to Rs. 5,500 crore and expect it to be at Rs. 4,000 crore/Rs. 4,500 crore for FY25/FY26. GAIL aims for reasonable petchem profits in FY25; strong gas transmission volume growth to continue. Outlook We reiterate our Buy rating with a revised PT of Rs. 200 given our expectation of strong earnings growth and reasonable valuation of 7.7x FY26E EV/EBITDA, 10x FY26E EPS and 1.5x FY26E P/BV. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. GAIL (India) - 3012024 - khan","Buy, GAIL India, Recommendations, Sharekhan",https://www.moneycontrol.com//news/recommendations/buy-gail-(india)-targetrs-200-sharekhan_17427851.html
3,GAI,2024-02-01T12:01:28+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Reduce GAIL (India); target of Rs 157: Prabhudas Lilladher,"Prabhudas Lilladher recommended reduce rating on GAIL (India) with a target price of Rs 157 in its research report dated January 30, 2024.","Prabhudas Lilladher's research report on GAIL (India) GAIL reported higher than estimated EBITDA of Rs 38.2 bn (up 9% QoQ, PLe: Rs 33.5 bn) while PAT came in at Rs 28.4 bn (up 18% QoQ, PLe: Rs 24 bn). Transmission and trading volumes grew 1% QoQ. The company expects transmission volumes to grow by 12-15 mmscmd in the next 2 years. Going forward, we build in a 4.5/4% CAGR volume growth over FY24-26E in transmission and trading segments.  Outlook We downgrade our rating from &lsquo;Hold&rsquo; to &lsquo;Reduce&rsquo; and value it at 12x FY26 adj EPS of 10.8 and the value of listed and unlisted investment at Rs 27 to arrive at our target price of Rs 157(previous TP Rs155). For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. GAIL (India) - 3012024 - prabhu","GAIL India, Prabhudas Lilladher, Recommendations, Reduce",https://www.moneycontrol.com//news/recommendations/reduce-gail-(india)-targetrs-157-prabhudas-lilladher_17424971.html
4,GAI,2024-02-01T11:21:43+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy GAIL; target of Rs 200: Motilal Oswal,"Motilal Oswal is bullish on GAIL recommended buy rating on the stock with a target price of Rs 200 in its research report dated January 29, 2024.","Motilal Oswal's research report on GAIL GAIL reported EBITDA of INR38.2b in 3QFY24, 10% above our estimate of INR34.7b. It was driven by stronger-than-expected performances in the gas transmission, LPG, and petchem segments. PAT stood at INR28.4b, beating our estimate of INR24.2b (up 12x YoY). Management emphasized that improved realization fueled a strong performance in the Liquid Hydrocarbon segment. Additionally, higher petrochemical sales, improved marketing margins, and reduced costs in the petrochemical segment contributed to an overall robust performance. GAIL anticipates a robust domestic gas demand, projecting gas transmission volumes to reach 124mmscmd by end-FY24. Forecasts indicate a continued annual growth of 10-12% in volumes for FY25-26, with projected figures of 133mmscmd for FY25 and 141mmscmd for FY26 in the segment. Management highlighted that the optimal cost for the petrochemical segment is USD8-9/mmBtu, and the company currently procures and supplies at this rate to the PATA petrochemical plant. The segment's utilization level is at 101%, and no shutdown is anticipated for the PATA plant in the near future.  Outlook We value the core business at 12x Dec&rsquo;25E adjusted EPS of INR14.1. Adding the value of listed and unlisted investments of INR31, we arrive at our TP of INR200. Reiterate BUY. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. GAIL - 3012024 - moti","Buy, GAIL, Motilal Oswal, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-gail-targetrs-200-motilal-oswal_17424651.html
5,GAI,2024-01-30T09:32:56+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",GAIL hits 52-week high on long-term LNG deal with Abu Dhabi firm,Broking house Sharekhan maintains Buy rating on GAIL with a revised price target of Rs 200.,"Shares of&nbsp;GAIL (India) hit a 52-week high of Rs 175.15 in early trade on January 30 after the company signed an LNG purchase agreement with an Abu Dhabi-based company.  At 9:20am, GAIL India was quoting Rs 173.85, up Rs 2.15, or 1.25 percent, on the BSE. &amp;quot;The company has successfully concluded a long-term LNG purchase agreement for purchase of around 0.5 MMTPA LNG from ADNOC Gas,&amp;quot; it said.  As per the contract signed on October 30, 2022 between GAIL and Abu Dhabi National Oil Company (ADNOC) PJSC, in potential areas of collaboration both parties shall explore opportunities, including purchase of LNG by GAIL from ADNOC for a tenure ranging from short term to medium and long-term.  Under this agreement, the deliveries will commence from 2026 onwards for a duration of 10 years, across India.  Catch all market action in our live blog  Broking house Sharekhan expect GAIL to post a strong earnings recovery across its business segments supported by stabilising global LNG supplies and improving price environment for its commodity businesses.  Valuation of 7.7x its FY2026 EV/EBITDA given expectation of a strong earnings growth and a healthy dividend yield of 3-4&nbsp;percent. Hence, maintain Buy rating on GAIL with a revised price target (PT) of Rs 200.  Earlier in this month, GAIL (India) has signed a deal with global commodity trader Vitol Asia to buy around one million metric tons of liquefied natural gas (LNG) annually for 10 years, starting 2026.  The company reported a multi-fold increase in consolidated net profit at Rs 3,193.34 crore in the third quarter of the financial year 2023-24 against consolidated net profit of Rs 397.59 crore in the same period last year. Sequentially, net profit increased 31 percent from Rs 2,442.18 in the quarter ending September 2023.  Revenue from operations came in at Rs 34,767.84 in the quarter ending December 31, a marginal decline from Rs 35,939.96 in the year-ago period.  GAIL is India's largest natural gas company, with a diversified interest across natural gas value chain of trading, transmission, LPG production &amp;amp;amp; transmission, LNG re-gasification, petrochemicals, city gas, and E&amp;amp;amp;P.","Buzzing Stocks, GAIL India",https://www.moneycontrol.com//news/buzzing-stocks/gail-hits-52-week-highlong-term-lng-dealabu-dhabi-firm_17420211.html
6,GAI,2024-01-12T11:26:23+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}","GAIL Q3 PAT seen up 879.7% YoY to Rs. 2,410 cr: Prabhudas Lilladher","Net Sales are expected to decrease by 7.4 percent Y-o-Y (up 3 percent Q-o-Q) to Rs. 32,780 crore, according to Prabhudas Lilladher.","Prabhudas Lilladher has come out with its third quarter (October-December&rsquo; 23) earnings estimates for the Oil &amp;amp;amp; Gas sector. The brokerage house expects GAIL to report net profit at Rs. 2,410 crore up 879.7% year-on-year (up 0.1% quarter-on-quarter). Net Sales are expected to decrease by 7.4 percent Y-o-Y (up 3 percent Q-o-Q) to Rs. 32,780 crore, according to Prabhudas Lilladher. Earnings before interest, tax, depreciation and amortisation (EBITDA) are likely to rise by 1,183.8 percent Y-o-Y (down 3.9 percent Q-o-Q) to Rs. 3,350 crore. Disclaimer: The views and investment tips expressed by investment experts on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Prabhudas_Oil &amp;amp;amp; Gas","Brokerage Recos - Sector Report, Brokerage Results Estimates, earnings, GAIL, Oil & Gas, Prabhudas Lilladher",https://www.moneycontrol.com//news/brokerage-results-estimates/gail-q3-pat-seen8797-yoy-to-rs-2410-cr-prabhudas-lilladher_17396691.html
7,GAI,2024-01-02T07:50:39+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy GAIL (India) Ltd; target of Rs 190 Sharekhan,"Sharekhan is bullish on GAIL (India) Ltd has recommended buy rating on the stock with a target price of Rs 190 in its research report dated January 01, 2024.","Sharekhan's research report on GAIL (India) Ltd The gas transmission business has multiple growth drivers in terms of volume growth/tariff improvement. We expect 9% CAGR over FY23-26E for gas transmission volume and reach 140 mmscmd in FY26E. Petchem segment expected to turnaround gradually given improved plant utilisation, likely better HDPE prices as capacity addition to lag demand growth and soft LNG prices. Likely monetisation of stake in GAIL Gas (wholly owned subsidiary of GAIL) could unlock value and add ~8% (or ~Rs. 15/share) to GAIL&rsquo;s valuation.  Outlook We reiterate a Buy rating on GAIL with a raised PT of Rs. 190 given our expectation of strong earnings growth, potential improvement in earnings quality (higher earnings share of core gas transmission + RoE of 15.8% in FY26E) and reasonable valuation of 7.5x FY26E EV/EBITDA, 9.8x FY26E EPS and 1.5x FY26E P/BV. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. GAIL (India) - 02 - 01 - 2024 - khan","Buy, GAIL India Ltd, Recommendations, Sharekhan",https://www.moneycontrol.com//news/recommendations/buy-gail-(india)-ltd-targetrs-190-sharekhan_17385451.html
8,GAI,2024-01-23T06:18:25+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/om-mehra-35151/', 'name': 'Om Mehra'}","Hot Stocks: Here's why you should buy Indian Hotels, GAIL India for the short term","Pre-budget sentiment might lead to more volatility this week, as there are just three trading sessions and all eyes are on Bank Nifty, which is in oversold territory.","The Nifty concluded the week on January 20 at 21,572, reflecting a 1.47 percent dip from 21,894 levels. Despite persistent attempts to breach crucial resistance, each effort led to a sell-off, resulting in a consolidation trend within the 21,500-21,750 range, indicative of sideways movement. Weekly support remains robust at the 21,400 levels, while the upper Bollinger band presents resistance at 21,850.  In the previous week, the Bank Nifty experienced a notable 3.36 percent loss, closing at 46,058. The key technical indicator, the 20-day simple moving average (SMA), stands at 47,100, serving as a formidable resistance level. Additionally, the 200-day moving average (DMA) at 44,500 acts as critical support with a breach below these levels could intensify selling.  Noteworthy is the robust performance of the PSU Banking sector pack, which recorded a commendable 3.3 percent gain during the week. This surge played a pivotal role in bolstering bullish sentiment across banking stocks.  Pre-budget sentiment might lead to more volatility this week, as there are just three trading sessions and all eyes are on Bank Nifty, which is in oversold territory. There's an anticipation of a potential rebound from lower levels, especially within the private banking stocks.  Here are three buy calls for short term:  GAIL India: Buy | LTP: Rs 166.5 | Stop-Loss: Rs 158 | Target: Rs 180 | Return: 8 percent  The GAIL India has recently experienced a significant breakthrough, marking a horizontal trendline breakout on the daily scale. This breakout was not only notable for its technical significance but was also accompanied by a remarkable surge in trading volume, surpassing three times the 50-day average volume.  Adding to the bullish sentiment, the stock displayed a substantial bullish candle on the breakout day, further reinforcing the strength of this upward movement.  The stock is currently trading at an all-time high level, supported by a convergence of positive signals from various technical indicators. All moving averages and momentum indicators are aligning to suggest a strong bullish momentum in the stock.  Both the daily and weekly relative strength index (RSI) is firmly situated in a higher zone indicating stock may zoom higher from the current levels. The MACD histogram is signalling a pickup in upside momentum, adds yet another layer of confirmation to the positive outlook.  Hence, based on the above technical structure, one can initiate a long position at CMP Rs 166.5 for a target price of Rs 180. The stop-loss can be kept at Rs 158.  Indian Hotels Company: Buy | LTP: Rs 479 | Stop-Loss: Rs 460 | Target: Rs 522 | Return: 9 percent  The Indian Hotels Company is currently trading at Rs 479, demonstrating a consistent upward trend within a positive rising channel. This bullish movement is further supported by its short-term moving averages of 20 and 50 indicating a favourable short-term momentum.  Additionally, weekly RSI stands at 74 and is trending upward suggesting increased buying participation and positive investor sentiment. Furthermore, the stock has recently surpassed a significant trendline resistance which had been acting as a formidable supply zone. This breakout is a strong indication of a potential upward surge in the stock price.  Hence, based on the above technical structure, one can initiate a long position at CMP Rs 479 for a target price of Rs 522. The stop-loss can be kept at Rs 460.    Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","GAIL India, Hot Stocks, Indian Hotels Company, Stocks Views, Technicals",https://www.moneycontrol.com//news/technicals/hot-stocks-here39syou-should-buy-indian-hotels-gail-india-forshort-term_17410371.html
9,GAI,2023-08-04T11:09:18+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy GAIL (India); target of Rs 137: HDFC Securities,"HDFC Securities is bullish on GAIL (India) has recommended buy rating on the stock with a target price of Rs 137 in its research report dated July 31, 2023.","HDFC Securities' research report on GAIL (India) Q1FY24 reported EBITDA/PAT at INR 24/14bn, came in below our estimates, impacted by weak earnings from the LPG and Liquid Hydro Carbon (LHC) segment. However, sharp pick-up in natural gas transmission volumes, higher tariff and higher gas marketing volumes supported earnings. Other income came in higher at INR 2.7bn, however was partially offset by higher interest cost of INR 1.8bn (+3.6x YoY, +95% QoQ). Outlook Our BUY recommendation on GAIL with a target price of INR 137 is based on (1) an increase in gas transmission volume to 127mmscmd by FY25 on the back of an increase in domestic gas production, (2) completion of major pipelines in eastern and southern India, and (3) expectation of improvement in earnings from the petchem segment. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  GAIL (India) - 03 -08 - 2023 - hdfc","Buy, GAIL India, HDFC Securities, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-gail-(india)-targetrs-137-hdfc-securities_17154321.html
