,company,datePublished,author,headline,description,articleBody,tags,url
0,GG03,2019-11-21T18:43:25+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",RBI releases list of top wilful defaulters under RTI Act: Report,"Among the 30 defaulters, three companies belong to fugitive businessman Mehul Choksi.","The Reserve Bank of India (RBI) has released a list of 30 major wilful defaulters in response to an RTI filed by The Wire in May this year.  This comes four years after the Supreme Court first directed the central bank to make public a list of the country's wilful defaulters.  Among the 30 defaulters, three companies belong to fugitive businessman Mehul Choksi.  The publication said that the total outstanding advances to these 30 companies adds up to over Rs 50,000 crore. This figure also includes the amount banks have written off.  The names on the list include some well-known ones like Gitanjali Gems, Rotomac Global, Zoom Developers, Deccan Chronicle Holdings, Winsome Diamonds, REI Agro, Siddhi Vinayak Logistics and Kudos Chemie. The report states that at some point or another over the course of the past five years, the Central Bureau of Investigation or the Enforcement Directorate has filed cases against these companies or their promoters.  The list given by the RBI is sourced from the Central Repository of Information on Large Credits (CRILC) which is a centralised banking database. Starting February this year, the option to list borrowers as wilful defaulters was given to banks.","Business, Economy, India, Reserve Bank of India, RTI Act, wilful defaulters",https://www.moneycontrol.com//news/business/rbi-releases-listtop-wilful-defaulters-under-rti-act-report_13204101.html
1,GG03,2018-05-11T17:58:08+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",Morgan Stanley sells nearly 38 lakh shares of Gitanjali Gems,Shareholding of Morgan Stanley Mauritius Company Ltd and Morgan Stanley (France) has come now down to 2.06 percent from 5.25 percent.,"Investment firm Morgan Stanley has sold 37.86 lakh shares of scam-hit jewellery firm Gitanjali Gems through open market transactions, according to a regulatory filing.  Shareholding of Morgan Stanley Mauritius Company Ltd and Morgan Stanley (France) has come now down to 2.06 percent from 5.25 percent.  On May 9, Morgan Stanely sold 37,86,860 shares of Gitanjali Gems, the filing said.  The share price of Gitanjali Gems today closed at Rs 3.84.  Central investigating agencies such as the CBI and the Enforcement Directorate are looking into the over Rs 13,000-crore fraud at Punjab National Bank (PNB) allegedly involving jeweller Nirav Modi and his uncle Mehul Choksi, the promoter of Gitanjali Gems.","Business, Companies, Gitanjali Gems, Morgan Stanley",https://www.moneycontrol.com//news/business/morgan-stanley-sells-nearly-38-lakh-sharesgitanjali-gems_10887281.html
2,GG03,2018-05-03T18:26:34+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",Seized Mehul Choksi firm's jewellery for involvement in laundering: ED to HC,"A bench of Justices S Muralidhar and I S Mehta were hearing a plea by Choksi's firm challenging the alleged illegal seizure of documents and articles by the probe agency in a money laundering case in connection with the over Rs 11,000 crore Punjab National Bank (PNB) fraud case.","Jewellery stock of Gitanjali Gems were seized as it was being in direct control of diamantaire Mehul Choksi, who has refused to join investigation, and involved in money laundering, the Enforcement Directorate (ED) today told the Delhi High Court.  ED contended that the proceed of crime generated through criminal activities arising out of the scheduled offences under the Prevention of Money Laundering Act (PMLA) were &amp;quot;layered and integrated in the veil of huge bullion/ jewellery business of Mehul Choksi in order to project the same as untainted property, which includes the business of Gitanjali Gems&amp;quot;.  A bench of Justices S Muralidhar and I S Mehta were hearing a plea by Choksi's firm challenging the alleged illegal seizure of documents and articles by the probe agency in a money laundering case in connection with the over Rs 11,000 crore Punjab National Bank (PNB) fraud case.  In its affidavit, ED said, &amp;quot;The jewellery stock of the petitioner (Gitanjali Gems) has been seized with the reason to believe, recorded in writing on the basis of information/ documents in possession, that the petitioner company, being under the direct control of prime accused Mehul Choksi is very much involved in the process of money laundering.&amp;quot;  Billionaire Nirav Modi, his uncle Choksi and others are being investigated by multiple probe agencies after the scam came to light in January following a complaint by the PNB that they had allegedly cheated the nationalised bank to the tune of Rs 11,400 crore, with the purported involvement of a few employees of the bank.  The ED has registered the money laundering case against Modi, his firms and others on the basis of a CBI FIR.","Business, Companies, Current Affairs, Gitanjali Gems, India, Mehul Choksi, Punjab National Bank",https://www.moneycontrol.com//news/business/seized-mehul-choksi-firm39s-jewellery-for-involvementlaundering-ed-to-hc_10859801.html
3,GG03,2018-03-20T13:00:15+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/kshitij-anand-6879/', 'name': 'Kshitij Anand'}",Heads up! Small &amp;amp; midcaps could see over 20% contraction in multiples in FY19,Metis Capital Management co-founder Piyush Sharma feels the  biggest risk to equities today comes from overly optimistic expectations based on unrealistic acceleration narrative.,"Smallcaps and midcaps could see a substantial contraction in their multiples (&amp;amp;gt;20%) and largecaps could see 10-15% contraction to get valuations closer to underlying fundamentals, Piyush Sharma, Co-founder, and Co-Portfolio Manager, Metis Capital Management Ltd, said in an interview to Moneycontrol's Kshitij Anand.  Q) A straight 10% fall from the highs seen in India market after a sharp 29% rally seen in the year 2017. Do you see nervousness in the small &amp;amp;amp; midcap space which outperformed in the previous calendar year?&nbsp;&nbsp;  It&rsquo;s been a while since we had a combination of such stretched valuations coupled with peak or near-peak profitability across most industries. Bring in an element of reduction/deceleration in liquidity and you&rsquo;ll likely face sharp draw-downs as earnings expectations align with underlying realities.  It&rsquo;s hard to back a broad-based acceleration narrative at this point.&nbsp; Stocks, particularly most mid and small caps, are still well ahead of levels that can be justified by their earnings.  Q) Do you think protectionist measures initiated by the Trump government will impact Indian markets?&nbsp;  It is evident that any exporter of shrimps would be very distraught right now.&nbsp; However, the fact is that anti-dumping tariffs on shrimps, polyester fiber, steel flangs, etc. have immaterial direct or indirect impact on Nifty&rsquo;s components.  The US isn&rsquo;t a major market for Indian 2W exports either.&nbsp; The biggest potential threat one could cite would be clearly within pharmaceuticals, which make less than 5 percent of Nifty&rsquo;s weight. Overall, these actions and associated rhetoric is little more than noise.  Q) FY18 belonged to the bulls but what is your outlook for FY19?&nbsp;  While we appear to be on a solid footing in terms of overall profitability, valuations are pricing an unrealistically sharp and sustainable acceleration.&nbsp; Street expectations are for at least a high-teens earnings growth in largecaps and well ahead of 20% earnings growth in midcaps and smallcaps.  We believe that the single biggest risk to equities today comes from such overly optimistic expectations that are, in our opinion, relying on an unrealistic acceleration narrative.  Our view is that smallcaps and midcaps (as a universe) could see a substantial contraction in their multiples (&amp;amp;gt;20%) and largecaps could see&nbsp; about 10-15% contraction to get valuations closer to underlying fundamentals.  Some of that has already occurred YTD but it&rsquo;s not enough. The key driver that took small and midcap valuations to such levels was the skewed liquidity last year&nbsp;&mdash; when we disaggregated SIP allocation by capitalisation, we noted that about 45% of equity SIP allocation last year went outside largecaps even as that space collectively accounted for just 30% of total market capitalisation and even less of total free float capitalisation.  While this liquidity isn&rsquo;t large enough to drive disconnects in much more &lsquo;institutionalised&rsquo; and liquid largecaps, it disproportionately contributed towards taking small and midcap indices higher, while also artificially contributing towards the performance of supposedly &lsquo;large-cap&rsquo; domestic funds, which clearly had a very generous exposure to mid and smallcaps.  With SEBI introducing further clarity into how funds should allocate, that skewed liquidity wouldn&rsquo;t be a tailwind this year, as capital shifts towards large-caps.  While, as a universe, small and midcaps are clearly stretched, the best opportunities almost always lie within those and micro-cap parts of the size spectrum.  Here in lies the basis of our view that 2018 would be the ideal market for bottom-up managers to distinguish themselves.  At Metis, our focus is to own names where earnings expectations for our book aren&rsquo;t dependent on a wide economic turnaround to outpace broader markets in FY19, with company/industry idiosyncrasies driving above-market earnings growth.  Q) Any particular sector which is likely to hog the limelight in FY19?&nbsp;  We are bottom-up investors and we neither believe in nor recommend employing a sector-picking approach to stock selection. That said, we do believe that certain themes are likely to work better vs. others over the next few years.  In particular, we expect solid traction within scale businesses that operate within highly unorganised/informal industries (Diagnostics services, textiles, etc.).&nbsp; Impact of GST within many such industries cannot be overstated and we expect some of the names to gain significant share without compromising profitability within such fragmented industries.  Elsewhere, from a longer-term perspective, select names within consumer discretionary space look appealing, despite optically high headline multiples.  Q) After this recent correction, do you think inflows into MFs which picked up the pace in 2017 could now see some redemptions?  Less than 5 percent of the Indian MF investors arguably have staying power to tide through sharp drawdowns.&nbsp; Meanwhile, more than 3/4th of inflows aren&rsquo;t through SIPs.  Since we don&rsquo;t have any association with Indian AMCs, it&rsquo;s hard for us to speculate on their flows but numbers suggest that a sharp drawdown can easily move the flows the other way.&nbsp; In our view, these flows aren&rsquo;t as sticky as advertised.  Do you think there could be more skeletons which could come out of the closet in the banking sector especially after the Nirav Modi-PNB saga?  Skeletons typically come out when credit growth slows and therefore the denominator fails to conceal deterioration in the numerator as outstanding loans season over a period of time.  It&rsquo;s na&iuml;ve to suggest that we have seen everything. Be it a state-owned enterprise such as Air India, or a publicly-held one such as Gitanjali Gems, both PSBs, and private banks have exposures to cash-bleeding/cash-siphoning entities.  It&rsquo;s just that operational risk is much wide spread in case of PSBs and accordingly charge-offs are far higher.&nbsp; On the face of it, private banks seem much better capitalized and therefore seem unlikely to face any sort of &lsquo;disastrous&rsquo; situation at this stage.  At our end, however, given clouded visibility into the quality of credits, we have little to no exposure to Indian state-owned or private banks and we don&rsquo;t see that changing materially in the near future.  Q) FIIs seems to be bailing out from Indian markets. Do you think the trend could continue this year?&nbsp;  FPI equity flows haven&rsquo;t been particularly great over the past&nbsp;three years either, but there is limited evidence to suggest that there is any structural sudden negative shift in investor views.  However, given that a vast majority of global allocators deploy a top-down approach to EM allocations, optically high headline earnings multiples don&rsquo;t necessarily help make a case for India.  From our point of view though, we fail to see the rationale of owning say Dow 30 over Nifty 50 if you are paying essentially the same price for every dollar of earnings.&nbsp; Similarly, it&rsquo;s hard to argue against India not fundamentally deserving 30% premium over MSCI EM.","Business, Economy, markets, stocks",https://www.moneycontrol.com//news/business/heads-up-smallmidcaps-could-see-over-20-contractionmultiplesfy19_10675581.html
4,GG03,2018-03-13T16:25:51+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",NSE fines Gitanjali Gems; 23 others for not filing fin results,NSE will initiate further regulatory action on the companies which could include suspension if they do not comply with the requirement to file quarterly financial results.,"Top stock exchange NSE has levied penalties on as many as 24 companies including scam hit Gitanjali Gems for failure to file financial results for quarter-ended December 31.  NSE will initiate further regulatory action on the companies which could include suspension if they do not comply with the requirement to file quarterly financial results.  The decision has been communicated through letters to investors of these companies by Central Depository Services Ltd (CDSL).  &amp;quot;The exchange has taken an initiative to intimate shareholders of the companies through CDSL who have not submitted financial results, shareholding pattern,&amp;quot; an National Stock Exchange (NSE) spokesperson told PTI.  The list of non-compliant companies include Mehul Choksi-owned Gitanjali Gems.  ABG Shipyard, Amtek Auto, DS Kulkarni Developers, Bharati Defence and Infrastructure, Educomp Solutions, Shree Renuka Sugars, Moser-Baer (I) and Sterling Biotech are also among the 24 companies on the list.  &amp;quot;Investors are requested to kindly take note that companies in which you have invested have not submitted quarterly filings of financial results for the quarter December 31,&amp;quot; the CDSL letter available with PTI said.  &amp;quot;Exchange has levied fines on the company and continued non-compliance may lead to further regulatory action on the company which may include suspension.&amp;quot; it added.  Companies are required to file the results on a quarterly basis within 45 days from the end of the quarter, under the listing norms.  As per Sebi, stock exchanges can use imposition of fines as action of first resort in case of non-compliance with listing regulations including non-submission of the financial results within the stipulated time period.  Further, the exchanges can invoke suspension of trading in case of subsequent and consecutive defaults.  Sebi rules mandate the bourses to follow a system of uniform fine structure for non-compliance with listing norms and a standard operating procedure for suspension of specified securities.  According to the norms, exchanges can levy a penalty of Rs 5,000 per day on the entity for failure to file financial results, till the date of compliance. This fine is payable if it is the first case of such non-compliance by the company.  For each subsequent and consecutive non-compliance, exchanges have to impose a fine of Rs 10,000 per day of not complying, till the date of compliance.  If the violation continues for more than 15 days, additional fine of 0.1 per cent of paid up capital of the entity or Rs 1 crore, whichever is less is imposed.","Business, Companies, markets",https://www.moneycontrol.com//news/business/nse-fines-gitanjali-gems-23-others-for-not-filing-fin-results_10642061.html
5,GG03,2018-03-12T08:03:37+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/latha-venkatesh-6670/', 'name': 'Latha Venkatesh'}",COMMENT - PNB Fraud: Keep RBI out of the mud slinging,There is all round criticism that the RBI should have supervised banks better,"Latha Venkatesh   The rise in non-performing loans and the Nirav Modi scam has led to a free-for-all in the political mud slinging. But the RBI, given the nature of its role must be&nbsp; spared the innuendo.  Firstly, the Reserve Bank (RBI) is a reluctant gold regulator. It does not deal much with bullion trade.&nbsp; RBI understands the government securities and foreign exchange markets. It is itself a trader in and regulator of these markets; also it regulates banks&nbsp; which are big players in these markets. RBI is not similarly placed with respect to bullion. By&nbsp; law, it cannot trade in gold nor even buy in the secondary market. The only time RBI bought gold was in a primary market sale from the IMF in 2010. In fact, the RBI doesn&rsquo;t even have a gold department. It became the accidental implementor of the government&rsquo;s gold policies in&nbsp; the 2013&nbsp; taper tantrum crisis.  Secondly,&nbsp; when the rupee started sliding in July 2013 following the US Fed&rsquo;s decision to tighten dollar supply, India&rsquo;s biggest handicap was its massive current account deficit of 4.8&nbsp;percent in the year ended March 31, 2013. It was imperative to bring down imports and the obvious choice was to control gold imports. It is not possible for the country to come down heavily on, say crude imports or machinery imports. Also, gold imports had risen sharply in FY13 and was the single biggest reason for the unsustainable current account deficit. The fact that controlling gold imports would increase smuggling was known to one and all. RBI, under Dr Subbarao, sources tell us, was also unhappy with the 80:20 scheme, but had to acquiesce to the government&rsquo;s demand given the run on the rupee. Likewise, the next governor, Raghuram Rajan, was unconvinced of the FCNR scheme that was designed to attract dollars by offering NRIs an attractive return. But both governors agreed to the government&rsquo;s schemes because something had to be done to shore up the sagging confidence in the rupee. The ruse worked and by&nbsp; December 2013 the rupee started recovering. On the hindsight, it is possible to pick a zillion holes in both the gold control and the FCNR schemes but in the trying months of 2013 it was not possible to wait for a perfect plan.  By February 2014, as the election surveys started pointing to a victory for the BJP and chances of a stable government, the rupee strengthened. From February to May, it rose from 62 to 60 per dollar i.e. by 3.5 percent and on May 15 and 16, i.e. in just 2 days, it rose from 60 to 58&nbsp;per dollar, i.e. by a further 3.5 percent. It is possible given that appreciation, the RBI and government were worried about Indian exports getting noncompetitive. It is possible the RBI agreed to liberalization of gold imports on May 21 to smother&nbsp;the strengthening of the rupee.  The bullion traders were right in criticizing the 80:20 scheme from the start i.e. from July 2013. But few had any alternative suggestions to bring down the current account deficit. The new BJP government that took office in May 2014 also did not immediately abolish the 80:20 scheme. It waited another six months till Nov 2014. In the intervening period, according to the Congress, the then commerce minister Nirmala Sitharaman had even defended the scheme in Parliament. There was a reason for the defence. Both government and RBI wanted to be sure that the current account deficit will remain manageable.  The problem with the&nbsp; BJP&rsquo;s attacks on the UPA for liberalizing the 80:20 scheme and the UPA&rsquo;s reply in attacking Nirmala Sitharaman is that on hindsight everyone forgets the psyche of policy makers in 2014, when India had just recovered from the taper tantrum and no one wanted to take chances.  Thirdly, the liberalized permission to import gold was granted to a class of importers who are identified as star or premier by the government (not RBI) based on their export record over many years. The favoured status was not granted by singling out people.  Fourthly, as data now shows, the tainted Gitanjali Gems imported the least amount of gold compared with other Star Trading Companies.  Fifthly, the Nirav Modi-Choksi team manipulated bank rules to get credit for diamonds, not gold. Even if the 80:20 scheme was a terrible one, it has no connection to the misuse of bank rules by the duo.  Sixthly, the 80:20 scheme may have had many holes, but it worked. Both gold imports and the current account deficit cam down.  There is all round criticism that the RBI should have supervised banks better. Again to be fair to RBI, it had warned banks on three occasions in 2016 and 2017 to connect the SWIFT system to their core banking systems. It had also alerted them to strictly scrutinize SWIFT messages. In the hindsight, it is clear RBI should have ensured its instructions were implemented by the banks.  That said, the RBI is the first and only line of defence when the country is in a foreign exchange crisis. It will necessarily have to take steps quickly and in real time. Such steps will benefit some and hurt others. To hurl innuendos at the central bank on hindsight, is not just unfair but also dangerous. Given the inevitable rise in interest rates globally and an incipient tariff war, there can be crises emanating from the global arena. At such times one needs the RBI to remain resolute and take quick steps to ward off these crises. It can&rsquo;t do that if there is politicized dissection on hindsight.  In the next 12 months political mud-slinging will reach a feverish pitch. But in the country&rsquo;s interest all parties, media included, must keep&nbsp; institutions like the RBI out of the slugfest.","Business, Companies, Economy, policy, Reserve Bank of India",https://www.moneycontrol.com//news/business/comment-pnb-fraud-keep-rbi-outthe-mud-slinging_10630941.html
6,GG03,2018-03-07T21:20:14+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/beena-parmar-6887/', 'name': 'Beena Parmar'}","PNB scam fallout: Jewellery apex body likely to cancel memberships of Nirav Modi, Mehul Choksi",A showcause notice has been issued to the duo.,"Beena Parmar Moneycontrol News  Worried by the fallout of the Rs 12,700-crore PNB fraud and the toll it could take on the industry's image, the Gem and Jewellery Export Promotion Council (GJEPC) is likely to expel Nirav Modi and Mehul Choksi from the body.  Speaking to reporters,&nbsp;Colin Shah, vice chairman of GJEPC, said that the duo has been issued a&nbsp;showcause notice, as per procedure, and that the body will likely terminate their memberships over the past four weeks.  &ldquo;We have asked them to explain their stand on the incident and their legal stand, that&rsquo;s the legal procedure&hellip;They are supposed to reply by the end of this week,&amp;quot; Shah said. &amp;quot;After that, [if they respond] a disciplinary committee will evaluate based on the fact and legal data and then we will be terminating their membership.&amp;quot;  Membership from the council does not bar&nbsp;Modi and Choksi's firms from operating their businesses, but hinders their prospects&nbsp;-- a GJEPC member gets various certification benefits such as support in customs and access to international&nbsp;exhibitions etc.  Shah added that the top three retailers of both the companies in the US have stopped working with them and cancelled their contracts.  Exports to remain weak for FY18  Shah expects the exports for the year end to remain flat or have marginal growth of 2-3 percent by the end of March 2018.  Even as the industry is reeling from the scam committed by three firms of Modi and Chokshi&rsquo;s Gitanjali Group through Punjab National Bank, the council is hopeful of 10 percent growth in 2018-19 as it looks at newer markets such as Brazil, Russia and South America among other regions with government support.  The net exports during the April 2017 to January 2018 period were down by 8.55 percent to Rs 1,77,242 crore, compared with Rs 1,93,898 crore in the year-ago period.  &ldquo;February and March is usually good (in terms of export business). So we might end a little flat or minimal growth by the end of this year&hellip;We are expecting the growth in gems and jewellery exports to remain flat at around 2-3 percent this fiscal,&rdquo; Shah said adding that it is recovering slowly as the global economies are improving and the fourth quarter is expected to do well.  At present, the USD 43-billion gems and jewellery industry contributes to 15 percent of the country's merchandise exports, the second- largest after&nbsp;the IT sector.","banking, Business, Exports, gems and jewellery, Nirav Modi, PNB",https://www.moneycontrol.com//news/business/pnb-scam-fallout-jewellery-apex-body-likely-to-cancel-membershipsnirav-modi-mehul-choksi_10614681.html
7,GG03,2018-03-06T13:20:44+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/gaurav-choudhury-1138/', 'name': 'Gaurav Choudhury'}",EXCLUSIVE | Here's a list of loans issued by banks to Mehul Choksi's Gitanjali Gems,"It is alleged that Choksi and Nirav Modi got LoUs and Foreign Letters of Credit issued of Rs 12,636 cr","Gaurav Choudhury Moneycontrol News  In a latest salvo in the PNB case,&nbsp;Serious Fraud Investigation Office (SFIO) has issued notices to&nbsp;ICICI Bank's CEO Chanda Kochhar and&nbsp;Axis Bank's Managing Director Shikha Sharma in connection to&nbsp;the&nbsp;Punjab National Bank&nbsp;(PNB) scam worth over Rs 12,000 crore.  Also Read - Mehul Choksi, Nirav Modi diverted funds to overseas firms: ED   It is alleged that Mehul Choksi and Nirav Modi got Letters of Undertakings (LoUs) and Foreign Letters of Credit (FLCs) of Rs 12,636 crore issued in favour of foreign branches of Indian banks based on fraudulent claims.  Also Read: SFIO calls ICICI Bank CEO Chanda Kochhar, Axis' MD Shikha Sharma for questioning   A&nbsp;consortium of 31 banks led by ICICI Bank&nbsp;has loaned close to Rs 5,200 crore to Mehul Chokshi's Gitanjali Group. Nirav Modi firms Stellar Diamond and Solar Exports and Diamonds have together borrowed close to Rs 4,000 crore from banks.  Here's a list of banks that issued loans to Mehul Choksi's Gitanjali Gems&nbsp;over the years:           Separately, the ED is also investigating the planned listing of Choksi's Nakshtra World, and Modi's Firestar International.","Business, Companies, Mehul Choksi, Nirav Modi, PNB fraud",https://www.moneycontrol.com//news/business/exclusive-|-here39slistloans-issued-by-banks-to-mehul-choksi39s-gitanjali-gems_10605141.html
8,GG03,2018-02-27T08:03:27+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/reuters-6885/', 'name': 'Reuters'}",PNB scam: Another board member quits Gitanjali citing personal reasons,"Already, two top level executives -- compliance officer Pankhuri Warange and Chief Financial Officer (CFO) Chandrakant Karkare -- have resigned.","Gitanjali Gems, embroiled in the Rs 11,400 crore PNB loan scam, on Monday said Independent Director Anil Umesh Haldipur has resigned from its board citing personal reasons.  He is the second independent director to quit the company's board after the alleged fraud surfaced this month.  Already, two top level executives -- compliance officer Pankhuri Warange and Chief Financial Officer (CFO) Chandrakant Karkare -- have resigned.  In a regulatory filing, Gitanjali Gems submitted Haldipur's resignation letter dated February 14, 2018.  In the letter, Haldipur said: &amp;quot;Last month, my wife has undergone a major spine operation at Pune. The post operation recovery is not up to the expected level. This has resulted in restrictions on my movement. Hence travelling for board meetings at Mumbai will be very difficult for me in future.  &amp;quot;Taking this factor into consideration I would like to step down as an independent director with immediate effect from the board and other companies,&amp;quot; he said.  During his tenure as an independent director, Haldipur said he received some legal notices from lawyers as well as a senior civil judge in connection with the dues from the company.  &amp;quot;You are aware as an independent director, I don't have a role to play in the internal working of the company and the company will take proper steps to resolve these matter,&amp;quot; he added.  On February 14, Punjab National Bank (PNB) disclosed that it detected some fraudulent transactions with financial implication of about Rs 11,400 crore and the matter has been referred to law enforcement agencies for recovery.  While billionaire jewellery designer Nirav Modi, the alleged perpetrator of this fraud, is not directly linked to any listed company, his relative and business associate Mehul Choksi's Gitanjali Gems is a listed firm.","Business, Companies, Gitanjali Gems",https://www.moneycontrol.com//news/business/pnb-scam-another-board-member-quits-gitanjali-citing-personal-reasons_10571421.html
9,GG03,2018-02-25T20:47:29+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}","PNB fraud: ED to seek info from over dozen countries on Nirav Modi, Choksi's assets","The countries where the LRs would be sent include Belgium, Hong Kong, Switzerland, the United States, the United Kingdom, Dubai, Singapore and South Africa.","Widening its probe into the PNB fraud case, the Enforcement Directorate will soon send judicial requests to over a dozen countries for obtaining information about the overseas businesses and assets of diamantaire Nirav Modi and owner of Gitanjali Gems Mehul Choksi.  Official sources said the agency will approach a competent court in Mumbai with a request to obtain Letters Rogatories (LRs) to be sent to about 15-17 countries where the central investigation agency has traced the footsteps of the diamond and gold jewellery businesses of the firms owned by Modi, his uncle Choksi and others associated with them.  The countries where the LRs would be sent include Belgium, Hong Kong, Switzerland, the United States, the United Kingdom, Dubai, Singapore and South Africa.&nbsp;Some official requests on the basis of agency-to-agency exchange will also be sent to few countries, the sources said.  The attempt of sending these judicial requests for exchange of information is aimed at obtaining the details of the overseas financial holdings of Modi and Choksi, who are accused in the Rs 11,400 crore PNB loan fraud case, their bank accounts, assets, partnerships, showrooms, trusts and other assets, they said.  These assets and their sources of income will be investigated and if necessary would be attached under the criminal sections of the Prevention of Money Laundering Act (PMLA) if it is found that they have been created using tainted funds or the proceeds of crime of the alleged bank fraud, the sources said.  Meanwhile, Modi, his wife Ami, and Choksi have been summoned by the Enforcement Directorate (ED) to appear at its zonal office in Mumbai tomorrow. Sources indicated that if they skip the summons, the agency may approach a special PMLA court to get non-bailable warrants against them.  The agency has also asked about 16 other banks, apart from the Punjab National Bank, to share with it the details of loans extended and collaterals offered in the case of Modi, Choksi and their companies. It has also asked the RBI to share with it audit reports of the PNB conducted by it since 2011.  The total assets seized by the ED in this case are now over Rs 6,393 crore, officials had said, adding that this was being independently valued. Modi, Choksi and others are being investigated by the ED and other probe agencies after the fraud recently came to light, following a complaint by the PNB that they allegedly cheated the nationalised bank to the tune of Rs 11,400 crore, with the purported involvement of a few employees of the bank.  The CBI and the ED have registered two FIRs each to probe the case. Both Modi and Choski are said to have left the country before criminal cases were lodged against them. The ED, a central probe agency under the Union finance ministry, is investigating if the allegedly defrauded bank funds were laundered and proceeds of crime were subsequently used by the accused to create illegal assets and black money.","Business, Current Affairs, Gitanjali Gems, Market news, Punjab National Bank",https://www.moneycontrol.com//news/business/pnb-fraud-ed-to-seek-infoover-dozen-countriesnirav-modi-choksi39s-assets_10566641.html
