,company,datePublished,author,headline,description,articleBody,tags,url
0,GIF,2017-09-28T14:46:59+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Shri Lakshmi Co - Outcome of AGM,OUTCOME OF AGM,OUTCOME OF AGMSource : BSE,Announcements,https://www.moneycontrol.com//news/announcements/shri-lakshmi-co-outcomeagm_9774441.html
1,GIF,2017-02-13T16:08:23+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Shri Lakshmi Cotsyn: Outcome of board meeting,"Shri Lakshmi Cotsyn Ltd has informed BSE regarding Outcome of Board Meeting held on February 13, 2017.","Shri Lakshmi Cotsyn Ltd has informed BSE regarding Outcome of Board Meeting held on February 13, 2017.Source : BSE Read all announcements in Shri Lakshmi Co",Announcements,https://www.moneycontrol.com//news/announcements/shri-lakshmi-cotsyn-outcomeboard-meeting_8483621.html
2,GIF,2016-11-08T15:13:51+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Shri Lakshmi Cotsyn's board meeting on Nov 14, 2016","Shri Lakshmi Cotsyn Ltd has informed BSE that the meeting of the Board of Directors of the Company is scheduled to be held on November 14, 2016, to consider, approve and adopt the Un-Audited Financial Results for the quarter ended on September 30, 2016.","Shri Lakshmi Cotsyn Ltd has informed BSE that the meeting of the Board of Directors of the Company is scheduled to be held on November 14, 2016, to transact the following business:1. To consider, approve and adopt the Un-Audited Financial Results for the quarter ended on September 30, 2016.2. To consider the progress of the Company particularly in regard to Capacity utilisation and recovery from debtors.3. To consider the status at BIFR.Source : BSE Read all announcements in Shri Lakshmi Co",Announcements,https://www.moneycontrol.com//news/announcements/shri-lakshmi-cotsyns-board-meetingnov-14-2016_7925261.html
3,GIF,2016-08-31T22:09:21+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Shri Lakshmi Cotsyn: Outcome of board meeting,"Shri Lakshmi Cotsyn has informed regarding Outcome of Board Meeting held on August 31, 2016.","Shri Lakshmi Cotsyn Ltd has informed BSE regarding Outcome of Board Meeting held on August 31, 2016.Source : BSE Read all announcements in Shri Lakshmi Co",Announcements,https://www.moneycontrol.com//news/announcements/shri-lakshmi-cotsyn-outcomeboard-meeting_7384601.html
4,GIF,2016-05-31T11:53:17+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Shri Lakshmi Cotsyn: Outcome of board meeting,"Shri Lakshmi Cotsyn Ltd has authorised the Chairman to approve the draft of Notice of Annual General Meeting &amp;amp; to fix date, time and venue of Annual General Meeting.","Shri Lakshmi Cotsyn Ltd has informed BSE that the Board of Directors of the Company at its meeting held on May 30, 2016 at 03:30 p.m. have considered and decided the following:-1. Authorised the Chairman to approve the draft of Notice of Annual General Meeting &amp;amp; to fix date, time and venue of Annual General Meeting.2. Reviewed and noted the status of BIFR.Source : BSE Read all announcements in Shri Lakshmi Co",Announcements,https://www.moneycontrol.com//news/announcements/shri-lakshmi-cotsyn-outcomeboard-meeting_6783401.html
5,GIF,2016-05-24T12:36:22+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Shri Lakshmi Cotsyn's board meeting on May 30, 2016","Shri Lakshmi Cotsyn Ltd has informed BSE that a meeting of the Board of Directors of the Company will be held on May 30, 2016, to consider and approve the Audited Financial Results for the quarter/year ended on March 31, 2016.","Shri Lakshmi Cotsyn Ltd has informed BSE that a meeting of the Board of Directors of the Company will be held on May 30, 2016, inter alia, to transact the following business:1. To consider and approve the Audited Financial Results for the quarter/year ended on March 31, 2016.2. To authorize the Chairman to approve the draft of Notice of Annual General Meeting, fixing date, time and venue of Annual General Meeting.3. To consider the status at BIFR.Source : BSE Read all announcements in Shri Lakshmi Co",Announcements,https://www.moneycontrol.com//news/announcements/shri-lakshmi-cotsyns-board-meetingmay-30-2016_6731981.html
6,GIF,2015-11-16T21:48:17+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Shri Lakshmi Cotsyn: Outcome of board meeting,"Shri Lakshmi Cotsyn in its meeting held on November 14, 2015, have considered and decided and Considered and noted the exit from the Corporate Debt Restructuring (CDR) by the lender banks. Considered and noted the present status at Board for Industrial and Financial Restructuring (BIFR).","Shri Lakshmi Cotsyn Ltd has informed BSE that the Board of Directors of the Company at its meeting held on November 14, 2015, inter alia, have considered and decided the following:-1. Considered and noted the exit from the Corporate Debt Restructuring (CDR) by the lender banks.2. Considered and noted the present status at Board for Industrial and Financial Restructuring (BIFR).Source : BSE Read all announcements in Shri Lakshmi Co",Announcements,https://www.moneycontrol.com//news/announcements/shri-lakshmi-cotsyn-outcomeboard-meeting_4179101.html
7,GIF,2015-11-10T15:21:25+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Shri Lakshmi Cotsyn: Updates on outcome of AGM,"Shri Lakshmi Cotsyn Ltd has submitted to BSE a copy of Minutes of the 27th Annual General Meeting (AGM) of the Company held on September 30, 2015.","Shri Lakshmi Cotsyn Ltd has submitted to BSE a copy of Minutes of the 27th Annual General Meeting (AGM) of the Company held on September 30, 2015.Source : BSE Read all announcements in Shri Lakshmi Co",Announcements,https://www.moneycontrol.com//news/announcements/shri-lakshmi-cotsyn-updatesoutcomeagm_4089121.html
8,GIF,2015-11-05T20:35:53+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Shri Lakshmi Cotsyn board meeting on Nov 14, 2015","Shri Lakshmi Cotsyn's board meeting will be held on November 14, 2015,  to transact the business and consider, approve and adopt the Un-Audited Financial Results for the quarter ended on September 30, 2015. To consider the status at BIFR/CDR.","Shri Lakshmi Cotsyn Ltd has informed BSE that a meeting of the Board of Directors of the Company will be held on November 14, 2015, inter alia, to transact the following business:1. To consider, approve and adopt the Un-Audited Financial Results for the quarter ended on September 30, 2015.2. To consider the status at BIFR/CDR.Source : BSE Read all announcements in Shri Lakshmi Co",Announcements,https://www.moneycontrol.com//news/announcements/shri-lakshmi-cotsyn-board-meetingnov-14-2015_4011201.html
9,GIF,2015-09-07T10:01:40+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Shri Lakshmi Cotsyn: Outcome of board meeting,"Shri Lakshmi Cotsyn Ltd has informed BSE that the Board of Directors of the Company at its meeting held on September 05, 2015, reviewed the status of CDR and BIFR.","Shri Lakshmi Cotsyn Ltd has informed BSE that the Board of Directors of the Company at its meeting held on September 05, 2015, inter alia, have considered and decided the following:-1. Board reviewed the status of CDR and BIFR.Source : BSE Read all announcements in Shri Lakshmi Co",Announcements,https://www.moneycontrol.com//news/announcements/shri-lakshmi-cotsyn-outcomeboard-meeting_2939981.html
