,company,datePublished,author,headline,description,articleBody,tags,url
0,HCL02,2024-03-07T13:58:16+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",HCLTech ties up with ServiceNow for Gen-AI solutions,"HCLTech will offer consulting, design, implementation, and managed services through ServiceNow's entire suite of products, HCLtech said in a statement.","IT firm HCLTech on Thursday said it has partnered with American software company ServiceNow to offer Gen-AI-led solutions for driving efficiency and cost-savings in businesses.  HCLTech will offer consulting, design, implementation, and managed services through ServiceNow's entire suite of products, HCLtech said in a statement.  It said the partnership will help enterprises realise cost-savings and enhance cross-department efficiency and productivity.  &amp;quot;HCLTech offers a wealth of ServiceNow expertise to the world's leading businesses,&amp;quot; said Bill McDermott, Chairman and CEO, ServiceNow.  &amp;quot;It is an honour to extend our partnership to the co-creation of industry-specific GenAI (Generative Artificial Intelligence) solutions that will ignite our customers' growth engines with transformative experiences&amp;quot;.  HCLTech and ServiceNow will also launch a ServiceNow business unit and the 'Fluid NOW' centers of excellence in London, New York, and Noida for enterprises to explore the latest GenAI solutions.","Business, Companies, HCL Tech",https://www.moneycontrol.com//news/business/hcltech-ties-upservicenow-for-gen-ai-solutions_17489641.html
1,HCL02,2024-01-19T10:03:13+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy HCL Technologies; target of Rs 1760: Geojit,"Geojit is bullish on HCL Technologies has recommended buy rating on the stock with a target price of Rs 1760 in its research report dated January 17, 2024.","Geojit's research report on HCL Technologies HCL Technologies Ltd (HCL) is into software development and business process outsourcing, as well as providing IT infrastructure services. It has operations in 60 countries, with a client base that includes Fortune 500 and Global 2000 companies. As of end-Q3FY24, the employee count was 224,756. The company delivered muted performance in Q3FY24, with slight increase in topline and margins amid a challenging macroeconomic environment. Consolidated sales grew 6.5% YoY to Rs. 28,446cr (4.3% YoY in constant currency terms), owing to increase in recurring revenue in its software business. EBITDA margin widened 10bps YoY to 23.9%, due to lower discretionary spends and furloughs. In Q3FY24, Company performed far better amongst its top competitors in the IT industry. Order pipeline rose at a tepid pace and remain optimistic on improving margin in the medium term.  Outlook Hence, we upgrade our rating on the stock from HOLD to BUY, with a roll forward target price of Rs. 1,760 based on 23.5x FY26E adjusted EPS. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. HCL Technologies - 18012024 - geo","Buy, Geojit, HCL Technologies, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-hcl-technologies-targetrs-1760-geojit_17405911.html
2,HCL02,2024-01-15T14:21:30+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy HCL Tech; target of Rs 1700: Emkay Global Financial,"Emkay Global Financial is bullish on HCL Tech has recommended buy rating on the stock with a target price of Rs 1700 in its research report dated January 13, 2024.","Emkay Global Financial's research report on HCL Tech HCLT logged a strong operating performance in Q3, aided by its software business. Revenue grew 6% CC QoQ, led by seasonal strength in software (up 32%) and a healthy 3.1% growth in services, propped by the Verizon deal ramp-up and an incremental 2-month contribution from ASAP. EBITM expanded by 130bps QoQ, supported by software business seasonality. Net new-deal intake remained healthy at USD1.9bn in Q3. HCLT has narrowed its overall FY24 revenue growth guidance to 5-5.5% CC (5-6% earlier), implying 0.3-2.1% QoQ revenue growth in Q4; it retains its EBITM guidance at 18-19%. This points to 1.6-3.5% QoQ growth in services, with mgmt target of delivering near the upper end of its guidance. HCLT is not seeing any major uptick in discretionary spend in IT services, but some green shoots are visible in ER&amp;amp;amp;D, along with resilient tech spending in cloud migration, SAP migration, core &amp;amp;amp; data modernization, cyber security, automation, and advance analytics. Outlook We tweak FY24-26E EPS by -1.2% to 0.6%, factoring-in the Q3 performance and divestment of stake in its JV with State Street. We retain BUY and TP at Rs 1,700, at 23x Dec-25E EPS. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. HCL Tech - 15012024 - emkay","Buy, Emkay Global Financial, HCL Tech, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-hcl-tech-targetrs-1700-emkay-global-financial_17399541.html
3,HCL02,2024-01-15T13:17:50+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy HCL Technologies; target of Rs 1780: Sharekhan,"Sharekhan is bullish on HCL Technologies has recommended buy rating on the stock with a target price of Rs 1780 in its research report dated January 12, 2024.","Sharekhan's research report on HCL Technologies HCL Tech reported strong revenues of $3,415 million, up 6% q-o-q/4.3% y-o-y in constant currency (CC) terms beating our estimates of 4.4% q-o-q CC led by ERS, HCL Software and IT services, which grew 8.7%/32% and 1.9%, q-o-q respectively in CC terms. EBIT margins improved ~130 bps q-o-q to 19.8% owing to outperformance from the software (180 bps) that was offset by services margin (50 Bps) despite wage hike and furloughs. New deal win TCVs stood at $1,927 million, down 51%/18% on a q-o-q and y-o-y basis, respectively. FY24 CC revenue growth (including ASAP acquisition) guidance narrowed to 5-5.5% at company level as well as for Services segment. Ask rate for Q4FY24 at 0.3 to 2.1%, and 1.6 to 3.5% at services level. Outlook We believe HCL Tech is well-equipped to maintain its growth leadership among large peers in the medium term given the diversified portfolio that is well-aligned to growth areas and strong execution. Hence, we maintain Buy with revised price target (PT) of Rs 1,780. At CMP the stock trades at 22.5/19.1x its FY25/26E EPS. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. HCL Technologies - 15012024 - khan","Buy, HCL Technologies, Recommendations, Sharekhan",https://www.moneycontrol.com//news/recommendations/buy-hcl-technologies-targetrs-1780-sharekhan_17399441.html
4,HCL02,2024-01-14T21:25:33+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy HCL Technologies; target of Rs 1880: Motilal Oswal,"Motilal Oswal is bullish on HCL Technologies recommended buy rating on the stock with a target price of Rs 1880 in its research report dated January 13, 2024.","Motilal Oswal's research report on HCL Technologies HCL Technologies (HCLT) delivered a robust 3QFY24 performance, with a 6.0% QoQ revenue growth in constant currency (CC) terms, ahead of our estimate of +4.4%. This growth was driven by seasonal gains in HCL Software (P&amp;amp;amp;P), which rose 34% QoQ. HCLT&rsquo;s Services grew 3.1% QoQ in CC terms (110bp ahead of MOFSLe), with healthy growth in both the IT and ER&amp;amp;amp;D verticals. The TCV was at USD1.9b, down from 2Q&rsquo;s high base of USD4.0b. HCLT narrowed its FY24 USD revenue growth guidance to 5.0%-5.5% YoY in CC (vs. 5.0-6.0% YoY earlier, including ASAP) for both consolidated and Services segment. The EBIT margin also exceeded expectations at 19.8% (+130bp QoQ), led by HCL Software, which achieved 32.9% margin. The Services margin contracted 50bp QoQ though. HCLT retained its EBIT margin guidance band of 18-19%. Outlook After the strong 3Q results and beat, we have raised our FY24-26E EPS by 3- 4%. We reiterate our BUY rating with a TP of INR1,880, as we roll forward our P/E-based valuation to FY26 and assign a multiple of 24x. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. HCL Technologies - 14012024 - moti","Buy, HCL Technologies, Motilal Oswal, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-hcl-technologies-targetrs-1880-motilal-oswal_17398571.html
5,HCL02,2024-01-15T07:12:11+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/sunil-shankar-matkar-2345/', 'name': 'Sunil Shankar Matkar'}","Trade Spotlight | Your strategy for HCL Technologies, Firstsource Solutions, IRFC counters today",IRFC extended uptrend for third consecutive session with healthy bullish candlestick pattern on the daily charts and the volume remained above average for yet another session. ,"Considering&nbsp;the impressive rally led by technology stocks in the market last Friday (January 12), experts suggest that the market is poised to reach the 22,000-22,100 zone in the coming days before potentially entering a consolidation phase. Support is expected to move slightly higher to the 21,800-21,700 area, while the crucial support level remains at 21,500.area while the crucial support remains at 21,500 levels, experts said.  On January 12, the benchmark indices achieved a record closing high, with the Nifty 50 gaining 247 points to reach 21,894.5. The daily charts exhibited a bullish candlestick pattern, indicating a formation of higher highs and higher lows for yet another session.  The BSE Sensex climbed 847 points to 72,568, but the broader markets underperformed frontline indices as the Nifty Midcap 100 and Smallcap 100 indices gained 0.4 percent each.  Stocks that recorded healthy gains and better than benchmarks &amp;amp;amp; broader markets included HCL Technologies, Firstsource Solutions, and IRFC. HCL Technologies has seen a decisive breakout of horizontal resistance trendline and climbed 3.8 percent to end at record closing high of Rs 1,540.8. The stock has formed long bullish candlestick pattern on the daily charts with strong volumes, while the stock traded way above all key moving averages (20, 50, 100 and 200-day EMA - exponential moving average), which is a positive sign.  Firstsource Solutions also participated in the IT rally, rising 10.4 percent to Rs 210, the highest closing level since October 19, 2021, and formed robust bullish candlestick pattern on the daily charts with significantly higher volumes.  IRFC extended uptrend for third consecutive session with healthy bullish candlestick pattern on the daily charts and the volume remained above average for yet another session. The stock jumped 6 percent to end at record closing high of Rs 113.4.  Here's what Rajesh Palviya of Axis Securities recommends investors should do with these stocks when the market resumes trading today:  Indian Railway Finance Corporation  On the weekly chart, the IRFC broke above the 'Rounded Bottom' pattern at Rs 92 in mid-December 2023 and consolidated for the past three weeks. Last week, it surpassed the small consolidation range between Rs 105-94, signalling a continuation of the uptrend post-breakout.  The daily and weekly RSI (relative strength index) indicators are in a bullish mode, indicating rising strength.  Investors should buy, hold and accumulate this stock with an expected upside of Rs 123-130 with downside support zone of Rs 108-103 levels.    Firstsource Solutions  On the weekly chart, FSL broke above the 'multi-year resistance' level at Rs 192, a barrier in place since January 2022. This breakout is accompanied by an increase in volume activity, indicating an influx of market participation.  The prior resistance zone around Rs 192 is expected to function as a support zone, aligning with the &amp;quot;Principle of Change in Polarity&amp;quot; in technical analysis.  Additionally, the weekly RSI strength indicators are in a bullish mode, holding above their reference line, indicating rising strength.  Investors should buy, hold and accumulate this stock with an expected upside of Rs 230-250 with downside support zone of Rs 197-190 levels.    HCL Technologies  On the weekly chart, HCLTECH broke above the 'Bullish Flag' pattern at Rs 1,490 with a strong bullish candle, signalling the continuation of an uptrend. The breakout is accompanied by an increase in volume activity, suggesting a surge in market participation.  The stock is establishing higher highs and higher lows, maintaining its position above the medium-term upward-sloping trendline, indicating a continued uptrend.  The weekly strength indicator RSI is in a bullish mode and holding above its reference line, suggesting a positive bias.  Investors should buy, hold and accumulate this stock with an expected upside of Rs 1,630-1,700 and downside support zone of Rs 1,490-1,450 levels.    Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Firstsource Solutions, HCL Technologies, Indian Railway Finance Corporation, Stocks Views, Technicals, Trade Spotlight",https://www.moneycontrol.com//news/technicals/trade-spotlight-|-your-strategy-for-hcl-technologies-firstsource-solutions-irfc-counters-today_17398701.html
6,HCL02,2024-01-15T06:42:51+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","HCL Tech up 4%, extend gains as brokerages raise EPS estimates on Q3 beat","HCL Technologies has slightly reduced its revenue growth guidance for FY24 from 5-6 percent YoY in constant currency terms to now 5-5.5 percent, though it has maintained its margin guidance of 18-19 percent.","Shares of HCL Technologies opened 4 percent higher on January 15, extending gains for a second day in a row, with&nbsp;brokerages&nbsp;raising FY24, FY25 and FY26 earnings estimates for the company following a solid beat in Q3 FY24 numbers. At 9:17 am, the stock was quoting at Rs&nbsp;1,603.70 on the NSE, higher by 4.1 percent from previous close.  For the December quarter, the HCL Tech&nbsp;reported a 6.23 percent year-on-year (YoY) growth in net profit at Rs 4,351 crore&nbsp;and&nbsp;6.54 percent YoY in consolidated revenue at Rs 28,446 crore. Both numbers beat Moneycontrol estimates.  Before the results were announced on January 12, the stock had gained 4 percent in anticipation of strong results on the back of ASAP acquisition and Verizon deal.  Also Read:&nbsp;Jio Financial Services Q3 results on Jan 15: Here's all you need to know  While December quarter is a seasonally weak quarter for Indian IT services companies, HCL Tech is an exception due&nbsp;to its products vertical, as per analysts.  &amp;quot;The growth in revenue was driven by seasonal gains in HCL Software (products and platform), which rose 34 percent&nbsp;sequentially,&amp;quot; said analysts at Motilal Oswal Financial Services.  Meanwhile, the company has slightly reduced its revenue growth guidance for FY24 from 5-6 percent YoY in constant currency terms to now 5-5.5 percent, though it has maintained its margin&nbsp;guidance of 18-19 percent.  Also Read:&nbsp;Avenue Supermarts Q3: D-Mart operator's net profit rises 17% to Rs 690 crore, revenue up 17.3%  EPS upgrades  After the strong Q3 results and beat, Motilal Oswal has&nbsp;raised FY24-26E EPS by 3-4 percent. &amp;quot;We reiterate our BUY rating with a target price of Rs 1,880.&nbsp;HCLT remains our top pick in the IT Services coverage for 2024.&nbsp;The stock is trading at ~20x FY26E EPS, which offers a margin of safety,&amp;quot; it said.  Nuvama Institutional Equities has&nbsp;also&nbsp;upgraded FY24, FY25 and FY26 EPS by 2 percent, 0.6 percent and 2.7 percent, respectively.  &amp;quot;We continue to value HCL at 23x FY26 PE yielding a target price of Rs 1,780 (earlier Rs 1,700). Retain BUY,&amp;quot; Nuvama's analysts&nbsp;Vibhor Singhal and&nbsp;Nikhil Choudhary wrote in a note.  Analysts at Morgan Stanley maintained an Equalweight call but raised the target to Rs 1,600 per share from Rs 1,470, highlighting the company's superior Q3 performance and notable beats in services business and EBIT margins. On the other hand, CLSA downgraded HCLTech to Underperform from Outperform, despite raising the target to Rs 1,536 per share.  Also Read:&nbsp;HCLTech bucks industry trend, headcount up by 3,617 in Q3FY24  Key takeaways from concall  Analysts&nbsp;cheered that the management aspired to achieve and sustain a 20 percent margin trajectory in the longer term. Going ahead, the company is betting big on GenAI.  A key takeaway from the call, as per Emkay Global, is that GenAI holds immense potential and near-term programs in this segment are likely to be small, albeit expected to become sizable in the next 2-3 quarters. HCL Tech has signed 31 deals in Gen AI, most of which are valued at sub-$1&nbsp;million.  Also Read:&nbsp;Dalal Street Week Ahead: Q3 earnings, Red Sea, China GDP, Europe inflation among 10 key factors to watch  Management does not see an uptick in discretionary spend yet. However, cloud, analytics remains strong, noted Nuvama. &amp;quot;HCL Tech does not see any meaningful change in the demand environment in IT Services while seeing growth momentum in the ER&amp;amp;amp;D (Engineering and R&amp;amp;amp;D) business,&amp;quot; it said.  Over the past one year, HCL Tech stock has&nbsp;outperformed most of its large peers and has gained over 42 percent.  Disclaimer:&nbsp;The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Buzzing Stocks, HCL Technologies",https://www.moneycontrol.com//news/buzzing-stocks/hcl-tech4-extend-gains-as-brokerages-raise-eps-estimatesq3-beat_17398601.html
7,HCL02,2023-11-14T12:27:02+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}","HCLTech names Sonia Eland as country manager for Australia, New Zealand operations","Sonia Eland takes over from Michael Horton, who moves into a consulting role after a stint of close to 10 years, during which he helped establish HCLTech as a digital technology services partner in Australia and New Zealand, the company said in a release.","IT services company HCL Technologies (HCLTech) on Tuesday announced the appointment of Sonia Eland as executive vice president and country manager for its Australia and New Zealand operations with effect from April 1, 2024.  Eland takes over from Michael Horton, who moves into a consulting role after a stint of close to 10 years, during which he helped establish HCLTech as a digital technology services partner in Australia and New Zealand, the company said in a release.  In her new role, Eland will report to Swapan Johri, President, Growth Markets at HCLTech. She will be based in Sydney. &amp;quot;Sonia brings with her over three decades of experience across a diverse set of industries such as consulting, technology, banking, retail and travel,&amp;quot; according to HCLTech.  Before joining HCLTech, she was the technology strategy and transformation partner at Deloitte Australia. In the past she has worked with organisations such as DXC Technology, CSC, Fujitsu, Westpac and HSBC. She is an alumna of Macquarie Business School and University of Sydney.  HCLTech has been operating in Australia and New Zealand for over two decades, delivering capabilities around digital, engineering, cloud and AI across a range of verticals. This year, the company extended its partnerships with ANZ Bank, Cricket Australia, and agribusiness firm Elders.","Business, Companies",https://www.moneycontrol.com//news/business/hcltech-names-sonia-eland-as-country-manager-for-australia-new-zealand-operations_17327491.html
8,HCL02,2023-11-07T14:08:49+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}","HCLTech, Cisco team up to drive collaborative environment for hybrid workplaces",The solution -- available on a subscription model -- aims to modernise legacy meeting rooms and enables users to join meetings from any meeting solution provider using Webex devices.,"IT services company HCL Technologies (HCLTech) on Tuesday announced the launch of Meeting-Rooms-as-a-Service (MRaaS) solution, in partnership with Cisco.  The solution -- available on a subscription model -- aims to modernise legacy meeting rooms and enables users to join meetings from any meeting solution provider using Webex devices.  &amp;quot;The MRaaS solution helps enterprises simplify the design, implementation and maintenance of integrated meeting rooms, enabling seamless collaboration for their globally distributed hybrid workforces,&amp;quot; according to a release.  Rakshit Ghura, Senior Vice President and Global Head of Digital Workplace Services, HCLTech said, MRaaS combines the company's consulting and managed services expertise with Cisco's proficiency in Webex devices to change the way employees conceptualise, organise and interact in a collaborative environment for a modern hybrid work model.  &amp;quot;Our partnership with HCLTech helps our clients transform their offices through cost-effective managed services that support the ongoing evolution of workspaces, Alexandra Zagury, Vice President of Partner Managed and as-a-Service Sales at Cisco said.  Zagury further added that &amp;quot;as we reimagine the modern office, we are making it easier to support collaboration and productivity among workers, whether they are in the office or elsewhere.&amp;quot;  Cisco's Webex collaboration devices leverage artificial intelligence to offer seamless collaboration experiences, enabling meeting rooms with smart features such as meeting zones, intelligent people framing, optimised attendee audio and background noise removal, among others, according to the release.","Business, Companies",https://www.moneycontrol.com//news/business/hcltech-cisco-teamto-drive-collaborative-environment-for-hybrid-workplaces_17308381.html
9,HCL02,2023-10-04T10:56:45+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}","HCLTech, Business Finland team up to drive digital innovation in generative AI, metaverse",This alliance strengthens HCLTech's presence in the Nordic region.,"IT services company HCL Technologies (HCLTech) has entered into an agreement with Business Finland to drive innovation and growth in areas of generative AI, metaverse, space and quantum technologies.  This alliance strengthens HCLTech's presence in the Nordic region.  The Noida-headquartered IT services giant will get early access to emerging technologies and innovations in Finland, according to a release.  The collaboration will enable Finnish companies and technology startups to take their solutions to global enterprises through HCLTech's Innovation Network, eSTiPTM, which includes 1,500-plus startups, 14-plus venture capitalists, 16-plus trade commissions and five academic institutions globally.  Business Finland is the Finnish government organisation for innovation funding and trade, travel and investment promotion. HCLTech's global delivery model allows enterprises an easy scale of business operation and secure integration.  HCLTech and Business Finland will explore joint initiatives to empower startups with informative trends and insights on emerging technologies and help them market their solutions globally, the release added.","Business, Companies",https://www.moneycontrol.com//news/business/hcltech-business-finland-teamto-drive-digital-innovationgenerative-ai-metaverse_17258981.html
