,company,datePublished,author,headline,description,articleBody,tags,url
0,HDF,2023-06-29T06:34:20+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",HDFC makes HDFC Life a subsidiary by raising its stake to 50.33%,"Mortgage lender clarified that July 1 is simply a 'tentative' date for completion of its merger with HDFC Bank. The record date of July 13 is also tentative and subject to completion of certain formalities, it said","Housing Development Finance Corporation has increased its stake to over 50 percent in HDFC Life Insurance Company after getting the green light from the Competition Commission of India (CCI) and the Insurance Regulatory and Development Authority of India (RDAI).  &amp;quot;HDFC has acquired 3,62,22,213 equity shares of HDFC Life, representing 1.69 percent of the total issued and paid-up capital, from the secondary market between June 26 and June 28,&amp;quot; the life insurer said in a filing to exchanges.  HDFC picked up 1.65 crore equity shares in HDFC Life through open market transactions at an average price of Rs 674.87 per share on June 28 and another 1.48 crore shares at an average price of Rs 667.1 per share on June 26, as per the bulk deals data available on exchanges.  HDFC now holds 50.33 percent of the total paid-up share capital of HDFC Life and thus HDFC Life has now become a subsidiary of HDFC, said the filing. As of March 2023, HDFC had held 48.65 percent stake in HDFC Life.  After the requests from HDFC Bank, RBI had in April permitted the transfer of shareholding of the Corporation in HDFC Life and HDFC ERGO General Insurance Company, to HDFC Bank. And advised that HDFC or HDFC Bank should increase the shareholding in HDFC Life and HDFC ERGO to more than 50 percent prior to&nbsp;the effective date of the scheme, the RBI said.  Later, fair trade watchdog CCI on June 20 and insurance regulator IRDAI on June 23 had granted their approval to HDFC to raise its stake in HDFC Life beyond 50 percent.  The mortgage lender clarified on June 27 that July 1 is simply the 'tentative' date for completion of its merger with HDFC Bank. &amp;quot;The record date of July 13 is also tentative and subject to completion of certain formalities,&amp;quot; HDFC said in an exchange filing. The clarification from HDFC came hours after its chairman Deepak Parekh announced these two dates.  On April 4 last year, the board members of HDFC approved the scheme of amalgamation. As per the scheme, subsidiaries HDFC Investments and HDFC Holdings will be merged with the promoter HDFC, and then HDFC will be merged with HDFC Bank.","Business, HDFC Bank, HDFC Life Insurance Company, Housing Development Finance Corporation, Market news",https://www.moneycontrol.com//news/business/hdfc-makes-hdfc-lifesubsidiary-by-raising-its-stake-to-5033_17097251.html
1,HDF,2023-05-04T14:32:14+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/rashid-ahmed-mirza-7185/', 'name': 'Rashid Ahmed Mirza'}","HDFC net profit rises 19% to Rs 4,425 crore in Q4; NII climbs 16%","HDFC was expected to post a 4.4 percent on-year growth in net profit for the March quarter to Rs 3,854 crore, according to a Moneycontrol poll.","Housing Development Finance Corporation (HDFC) on May 4 reported an 19.59 percent growth in standalone net profit at&nbsp;Rs 4,425.50 crore for the quarter ended March, as against&nbsp;Rs 3,700.32 crore, reported a year ago.  The net interest income (NII) for the quarter ended March 31, 2023 stood at Rs 5,321 crore compared to Rs 4,601 crore in the previous year, representing a growth of 16 percent.  HDFC was expected to post a 4.4 percent on-year growth in net profit for the March quarter to Rs 3,854 crore, according to a Moneycontrol poll. Net interest income (NII) was expected to rise nearly 5 percent on-year to Rs 4,752 crore, the average of estimates showed.  The Board declared an interim dividend of Rs 44 per equity share for the financial year ended March 31, 2023.  The company said as at March 31, 2023, the assets under management (AUM) stood at Rs 7,23,988 crore as against Rs 6,53,902 crore in the previous year.  As at March 31, 2023, individual loans comprise 83 percent of the AUM. On an AUM basis, the growth in the individual loan book was 17%. The growth in the total loan book on an AUM basis was 11 percent.  &ldquo;The inherent demand for home loans continues to remain strong. Growth in home loans was seen predominantly in the mid-income segment and high-end properties,&rdquo; the company said.  Reacting to the strong numbers, the stock price of HDFC extended its day&rsquo;s gains and rose 2.31 percent to hit the 52-week high of Rs 2,859.15 on BSE.  As at March 31, 2023, the gross individual non performing loans (NPLs) stood at 0.75 percent against 0.99 percent last year of the individual portfolio, while the gross non-performing non-individual loans stood at 2.90 percent against 4.76 percent of the non-individual portfolio.","HDFC, Housing Development Finance Corporation, Results",https://www.moneycontrol.com//news/results/hdfc-net-profit-rises-19-to-rs-4425-croreq4-nii-climbs-16_16986231.html
2,HDF,2023-05-03T21:46:59+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/shivam-shukla-30351/', 'name': 'Shivam Shukla'}",HDFC bottomline may rise 4.4% on 5% surge in net interest income in Q4,"On a five-year basis, the Nifty50 index has given a return of 70.37 percent, thus outperforming the HDFC stock by a considerable margin. The HDFC stock has only given a return of 46.15 percent during the same period.","HDFC is likely to post a 4.4 percent on-year growth in net profit for the March quarter to Rs 3,854 crore, according to a Moneycontrol average poll of three brokerage estimates, as against Rs 3,700 crore a year back.  HDFC, India&rsquo;s largest housing finance company by market capitalisation, is seen reporting muted growth in the net profit for the quarter ended March due to a likely rise in provisions. However, the company is likely to see strong loan growth and healthy operational performance.  Net interest income (NII) is expected to rise nearly 5 percent on-year to Rs 4,752 crore, the average of estimates showed. The housing finance major is scheduled to release its earnings on May 4. The board might also consider dividends for existing shareholders in the meeting.  Brokerage Estimates  Kotak Institutional Equities expects HDFC to deliver 3.7 percent QoQ individual loan growth (16 percent YoY, 3.4-4 percent QoQ in the last three quarters), reflecting marginal weakness in retail disbursements. Overall, loan growth is lower at 11 percent due to slower growth in the non-individual segment. Core net interest margins (NIMs) will likely expand marginally (up 5 bps QoQ), reflecting recent rate hikes.  ICICI Direct expects HDFC to witness loan growth of 15 percent YoY to Rs 6,51,060 crore, led by healthy demand for home loans. Hence, growth in NII is seen at 15 percent YoY to Rs 5,024 crore. NIMs are likely to remain steady despite the competitive intensity. Provisions to decline marginally YoY at Rs 391 crore leading to standalone profit growth of 6.3 percent YoY (4.8 percent growth QoQ) to Rs 3,868 crore.  Motilal Oswal Securities expects healthy growth in HDFC&rsquo;s asset under management (AUM) at 13 percent YoY. It estimates margins to remain largely stable sequentially. The pre-provision operating profit is set to grow 7 percent YoY, and credit cost is likely to be at 25 bps.  Stock Performance  HDFC Ltd stock has given a return of 5.26 percent since the beginning of 2023, outperforming the benchmark Nifty50 index which has lost 0.59 percent of its value since the beginning of this year.  However, on a five-year basis, the Nifty50 index has given a return of 70.37 percent,&nbsp;outperforming the HDFC stock by a considerable margin. The HDFC stock has only given a return of 46.15 percent during the same period.  Disclaimer: The views and investment tips expressed by experts on Moneycontrol are their own and not those of the website or its management. Moneycontrol advises users to check with certified experts before taking any investment decisions.  &amp;amp;nbsp;","HDFC, Result Poll",https://www.moneycontrol.com//news/result-poll/hdfc-bottomline-may-rise-445-surgenet-interest-incomeq4_16984531.html
3,HDF,2023-02-16T11:46:27+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/bloomberg-21811/', 'name': 'Bloomberg'}",HDFC prices its biggest ever rupee bond issue,"India&rsquo;s largest mortgage lender will raise 250 billion rupees ($3 billion) selling notes due in a decade at a coupon of 7.97% on Friday, according to people familiar with the matter. ","Housing Development Finance Corp. priced its biggest ever rupee bond issuance ahead of a merger with its banking unit, which will create an Indian financial services behemoth valued at more than $200 billion.  India&rsquo;s largest mortgage lender will raise 250 billion rupees ($3 billion) selling notes due in a decade at a coupon of 7.97% on Friday, according to people familiar with the matter. The proceeds will be used to support its housing finance business, said the people, who asked not to be identified discussing confidential information.  HDFC is stepping up borrowing from notes because its merger with HDFC Bank Ltd. will make accessing the bond market more difficult. The merged entity will be classified as a bank, which means it can only raise funds through bonds either to meet capital requirements or for funding infrastructure projects.  HDFC was India&rsquo;s top seller of rupee bonds last year, according to data compiled by Bloomberg.  The merger is expected to conclude next quarter, and will give HDFC access to so-called low-cost current and savings account deposits and time deposits of the bank that will let the financier continue expanding its assets, which&nbsp;stood at&nbsp;about 7 trillion rupees at the end of December.  Axis Bank Ltd., HDFC Bank, ICICI Bank Ltd. and ICICI Securities Primary Dealership Ltd. are the arrangers to the issuance, the people said.","Bond, Business, Companies, HDFC, Housing Development Finance Corp, Rupee",https://www.moneycontrol.com//news/business/hdfc-prices-its-biggest-ever-rupee-bond-issue_16885991.html
4,HDF,2022-11-05T13:48:36+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy HDFC; target of Rs 2900: Motilal Oswal,"Motilal Oswal is bullish on HDFC recommended buy rating on the stock with a target price of Rs 2900 in its research report dated November 04, 2022.","Motilal Oswal's research report on HDFC HDFC reported a PAT of INR44.5b in 2QFY23 (5% beat), up 18% YoY, primarily driven by a lower effective tax rate of ~18% (because of higher dividend income). Core PPOP grew 15% YoY to INR43.8b. Margin was stable QoQ at 3.4% in 1HFY23. Credit costs fell by ~4bp QoQ to ~32bp, aided by a decline of ~20bp in GS3 and resolutions in the nonIndividual segment.&nbsp; Disbursements in the Individual segment grew 36% YoY to INR440b. Individual/total AUM rose 20%/16% YoY, with Individual loans comprising ~81% of AUM. The management said it has a healthy pipeline in Construction Finance (CF) and LRD, and expects growth in the NonIndividual segment to accelerate in subsequent quarters. With the merger announced, taking a view in isolation is difficult. Outlook However, we feel that HDFC continues to have a strong &lsquo;right to win&rsquo; in its standalone Mortgage business. We maintain our Buy rating on the stock with a TP of INR2,900 (premised on Mar&rsquo;24E SoTP). For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. HDFC - 04-11-2022 - moti","Buy, HDFC, Motilal Oswal, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-hdfc-targetrs-2900-motilal-oswal_16690931.html
5,HDF,2022-11-04T22:47:31+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Housing Development Finance Corporation; target of Rs 3025: Sharekhan,"Sharekhan is bullish on Housing Development Finance Corporation has recommended buy rating on the stock with a target price of Rs 3025 in its research report dated November 03, 2022.","Sharekhan's research report on Housing Development Finance Corporation HDFC&rsquo;s reported PAT at Rs. 4,454 crore, which was above street expectations and our estimates (3%), rising by 18% y-o-y/ 21% q-o-q mainly due to higher dividend income and contained credit cost. AUM growth was healthy at 16% y-o-y/ 3% q-o-q, with individual loans growing robustly by 20% YoY &amp;amp;amp; Non-individual book grew mutedly by 1% YoY. NII grew by 13% y-o-y/ 4% q-o-q. NIMs (calculated as % of avg. AUMs) stood at 2.86% flat QoQ. Operating profits rose by 15%y-o-y / 15% q-o-q on the back of higher non-core income in the form of dividend from subsidiaries. Credit costs (% of avg AUM) stood at 28 bps vs 31bps QoQ. Combined gross Stage 2&amp;amp;amp;3 assets fell by 62 bps QoQ tp 5.84% vs 6.47% in Q1FY23. GNPL in individual loans stood at 0.91% vs 0.98% in the last quarter, and in non-individual book, GNPL stood at 3.99% vs 4.44% in the last quarter. Outlook We maintain a Buy on the stock with an unchanged SOTP-based PT of Rs. 3,025. At CMP, HDFC trades at 1.5x and 1.4x of its FY23E/FY24E Core BV. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Housing Development Finance Corporation - 04-11-2022 - khan","Buy, Housing Development Finance Corporation, Recommendations, Sharekhan",https://www.moneycontrol.com//news/recommendations/buy-housing-development-finance-corporation-targetrs-3025-sharekhan_16690351.html
6,HDF,2022-11-04T19:41:32+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy HDFC; target of Rs 3000: Prabhudas Lilladher,"Prabhudas Lilladher is bullish on HDFC has recommended buy rating on the stock with a target price of Rs 3000 in its research report dated November 04, 2022.","Prabhudas Lilladher's research report on HDFC HDFC saw a good quarter with core metrics being in-line along with better margins, strong individual loan growth and improved asset quality. NII was a tad better (+12.9% YoY) led by higher NIM at 3.3% (PLe 3.2%). Loan accretion (+14.5% YoY) was driven by individual loans (+20% YoY) due to faster growth in metros that too in higher value home loans. Company expects this credit momentum to sustain while share of construction finance could enhance. NIM may improve in H2FY23 as asset repricing would catch up with that of liabilities. GNPL reduced by 19bps QoQ to 1.6% while OTR/stage-2 pools also declined.  Outlook We retain our multiple at 2.3x and rolling forward to Sep&rsquo;24 core ABV we increase TP from Rs2,900 to Rs3,000. Retain BUY. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. HDFC - 04-11-2022 - prabhu","Buy, HDFC, Prabhudas Lilladher, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-hdfc-targetrs-3000-prabhudas-lilladher_16690211.html
7,HDF,2022-09-02T09:16:33+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/reuters-6885/', 'name': 'Reuters'}","HDFC to issue 10-year bonds, invites bids: Traders","The non-banking financial company will pay an annual coupon of 7.80% to the investors of this issue, and has invited commitment bids on Sept. 5, they said.","India's Housing Development Finance Corp (HDFC) plans to raise at least 50 billion rupees ($627.26 million) through sale of bonds maturing in 10 years, three merchant bankers said on Friday.  The non-banking financial company will pay an annual coupon of 7.80% to the investors of this issue, and has invited commitment bids on Sept. 5, they said.  The notes are rated AAA by ICRA and CRISIL, and the issue will close for subscription next week.  The issue has a greenshoe option to retain an additional 50 billion rupees.","Bonds, Business, Companies, HDFC",https://www.moneycontrol.com//news/business/hdfc-to-issue-10-year-bonds-invites-bids-traders_16610881.html
8,HDF,2022-06-23T11:25:03+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Housing Development Finance Corporation; target of Rs 3025: Sharekhan,"Sharekhan is bullish on Housing Development Finance Corporation has recommended buy rating on the stock with a target price of Rs 3025 in its research report dated June 22, 2022.","Sharekhan's research report on Housing Development Finance Corporation With its theme of &lsquo;actionable intelligence&rsquo; in its annual report, HDFC has been adapting to newer and faster ways of communicating with stakeholders through digital interface, changing with the landscape to remain competitive and be future-ready. Currently, the company receives 91% of home applications through digital channels. The management believes that India&rsquo;s housing loan market would double to ~$600 billion in the next five years with estimated mortgage penetration of 13% of GDP which would still be lower as compared to emerging economies. It believes that the optimum path to scale up housing finance is to be housed within a banking structure. The resources pool for lending will be significantly larger and at lower costs. The company is waiting for regulatory approval of proposed amalgamation of HDFC with HDFC Bank. It remains confident that the outcome will be judicious and fair at a systemic level.  Outlook HDFC&rsquo;s stock price has corrected by 29% from the highs of Rs. 3,021. We re-iterate our Buy rating with an unchanged SOTP based PT of Rs. 3,025. More Info At 11:23 hrs Housing Development Finance Corporation was quoting at Rs 2,175.15, up Rs 16.45, or 0.76 percent.  It has touched an intraday high of Rs 2,179.00 and an intraday low of Rs 2,143.00.  It was trading with volumes of 38,959 shares, compared to its thirty day average of 138,461 shares, a decrease of -71.86 percent.  In the previous trading session, the share closed down 0.76 percent or Rs 16.60 at Rs 2,158.70.  The share touched its 52-week high Rs 3,021.10 and 52-week low Rs 2,026.55 on 15 November, 2021 and 17 June, 2022, respectively.  Currently, it is trading 28 percent below its 52-week high and 7.33 percent above its 52-week low.  Market capitalisation stands at Rs 394,651.18 crore. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  Housing Development Finance Corporation - 230622 - khan ","Buy, Housing Development Finance Corporation, Recommendations, Sharekhan",https://www.moneycontrol.com//news/recommendations/buy-housing-development-finance-corporation-targetrs-3025-sharekhan_16513961.html
9,HDF,2022-05-05T14:00:22+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy HDFC; target of Rs 2840: ICICI Direct,"ICICI Direct is bullish on HDFC has recommended buy rating on the stock with a target price of Rs 2840 in its research report dated May 04, 2022.","ICICI Direct's research report on HDFC HDFC Ltd is the largest NBFC engaged in the housing finance business. It has demonstrated a consistent performance in terms of both business growth as well as asset quality. Individual loans contribute ~79% of AUM &bull; Stake in subsidiaries in insurance and asset management business aid value. Outlook We retain our BUY rating on the stock. We value HDFC Ltd at ~2x FY24E core ABV and Rs 1452 (post15% discount) for subsidiaries and assign a target price of Rs 2840/share. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  HDFC - 040522 - icici","Buy, HDFC, ICICI Direct, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-hdfc-targetrs-2840-icici-direct_16343061.html
