,company,datePublished,author,headline,description,articleBody,tags,url
0,HDO,2016-06-01T15:58:48+05:30,"{'@type': 'Person', 'name': 'Sunil Shankar Matkar'}",Hindustan Dorr Q4 loss narrows significantly to Rs 38.3 cr,Revenue increased 155 percent to Rs 69.3 crore during the quarter compared to Rs 27.2 crore in same period last year.,"Moneycontrol BureauEngineering and turnkey solutions provider Hindustan Dorr-Oliver's fourth quarter net loss narrowed significantly to Rs 38.3 crore against Rs 511.6 crore in year-ago period. It had an exceptional loss of Rs 201.1 crore, provision for doubtful debts of Rs 119.89 crore and provision for foreseeable losses of Rs 114.27 crore in Q4FY15. Revenue increased 155 percent to Rs 69.3 crore during the quarter compared to Rs 27.2 crore in same period last year.&amp;amp;nbsp;The stock was locked at 20 percent upper circuit at Rs 11.11 on Bombay Stock Exchange. There were pending buy orders of 201,918 shares, with no sellers available.","earnings, Hindustan Dorr-Oliver, Q4FY16, Results",https://www.moneycontrol.com//news/results/hindustan-dorr-q4-loss-narrows-significantly-to-rs-383-cr_6793841.html
1,HDO,2016-06-01T15:17:28+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Hindustan Dorr Oliver appoints G. Ramakrishna as company secretary,"Mr. G. Ramakrishna appointed as Company Secretary &amp;amp; Compliance Officer of M/s. Hindustan Dorr Oliver Limited w.e.f. May 30, 2016 in place of Mr. Hemish Purushotham (resigned).","Hindustan Dorr-Oliver Ltd has informed BSE that the following officials were appointed:1. Mr. G. Ramakrishna appointed as Company Secretary &amp;amp; Compliance Officer of M/s. Hindustan Dorr Oliver Limited w.e.f. May 30, 2016 in place of Mr. Hemish Purushotham (resigned).2. Re-appointment of Mr. S C Sekaran, Executive Director of the Company for a period of 5 years w.e.f. June 01, 2016 subject to the approval of the members of the Company and Central Government.Source : BSE Read all announcements in Hind Dorr-Olive",Announcements,https://www.moneycontrol.com//news/announcements/hindustan-dorr-oliver-appoints-g-ramakrishna-as-company-secretary_6793181.html
2,HDO,2016-04-29T21:12:22+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Hindustan Dorr-Oliver appoints Vivek Wahi as nominee director,"Hindustan Dorr-Oliver has informed that Mr. Vivek Wahi, Deputy General Manager, Bank of India has been appointed as","Hindustan Dorr-Oliver Ltd has informed BSE that Mr. Vivek Wahi, Deputy General Manager, Bank of India has been appointed as &amp;quot;Nominee Director&amp;quot; on the Board of the Company.Source : BSE Read all announcements in Hind Dorr-Olive",Announcements,https://www.moneycontrol.com//news/announcements/hindustan-dorr-oliver-appoints-vivek-wahi-as-nominee-director_6464621.html
3,HDO,2016-02-04T10:57:45+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Hindustan Dorr-Oliver's board meeting on February 10, 2016","Hindustan Dorr-Oliver Ltd has informed BSE that a meeting of the Board of Directors of the Company is scheduled to be held on February 10, 2016, inter alia, for consideration of un-audited financial results for the quarter ended December 31, 2015.","Hindustan Dorr-Oliver Ltd has informed BSE that a meeting of the Board of Directors of the Company is scheduled to be held on February 10, 2016, inter alia, for consideration of un-audited financial results for the quarter ended December 31, 2015.Further, the Trading Window for trading in securities of the Company shall stands closed from February 04, 2016 to February 12, 2016 (both days inclusive) as the Board Meeting of the Company is scheduled to be held as mentioned above, which is price sensitive in nature.Source : BSE Read all announcements in Hind Dorr-Olive",Announcements,https://www.moneycontrol.com//news/announcements/hindustan-dorr-olivers-board-meetingfebruary-10-2016_5301581.html
4,HDO,2015-09-23T17:20:12+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Hindustan Dorr-Oliver: Outcome of AGM,"Hindustan Dorr-Oliver has informed that the 40th Annual General Meeting (AGM) of the Company was held on September 23, 2015.","Hindustan Dorr-Oliver Ltd has informed BSE that the 40th Annual General Meeting (AGM) of the Company was held on September 23, 2015.Source : BSE Read all announcements in Hind Dorr-Olive",Announcements,https://www.moneycontrol.com//news/announcements/hindustan-dorr-oliver-outcomeagm_3217721.html
5,HDO,2015-02-13T16:52:26+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Hindustan Dorr-Oliver: Outcome of board meeting - Change in Company Secretary &amp;amp; Compliance Officer,"Hindustan Dorr-Oliver has board meeting held on February 13, 2015, have appointed Mr. G. Ramakrishna as Company Secretary &amp;amp; Compliance officer of the Company with effect from February 13, 2015.","Hindustan Dorr-Oliver Ltd has informed BSE that Mr. A. S. Pardha Saradhi, Company Secretary &amp;amp; Compliance Officer of the Company has resigned from the services of the Company.The Board of Directors at its meeting held on February 13, 2015, have appointed Mr. G. Ramakrishna as Company Secretary &amp;amp; Compliance officer of the Company with effect from February 13, 2015.Source : BSE Read all announcements in Hind Dorr-Olive",Announcements,https://www.moneycontrol.com//news/announcements/hindustan-dorr-oliver-outcomeboard-meeting-changecompany-secretarycompliance-officer_1302191.html
6,HDO,2014-11-13T22:18:52+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Hind Dorr-Olive: Outcome of board meeting,"Hindustan Dorr-Oliver has informed that the Board of Directors of the Company at its meeting held on November 13, 2014, has appointed Mr. Ramendra Gupta as Independent Director with effect from November 13, 2014.","Hindustan Dorr-Oliver Ltd has informed BSE that the Board of Directors of the Company at its meeting held on November 13, 2014, has appointed Mr. Ramendra Gupta as Independent Director with effect from November 13, 2014.Source : BSE Read all announcements in Hind Dorr-Olive",Announcements,https://www.moneycontrol.com//news/announcements/hind-dorr-olive-outcomeboard-meeting_1228198.html
7,HDO,2014-10-17T16:35:11+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Hindustan Dorr-Oliver: Updates on outcome of AGM,"Hindustan Dorr-Oliver has submitted a copy of  the minutes of the 39th Annual General Meeting (AGM) of the Company held on September 22, 2014.","Hindustan Dorr-Oliver Ltd has submitted to BSE a copy of  the minutes of the 39th Annual General Meeting (AGM) of the Company held on September 22, 2014.Source : BSE Read all announcements in Hind Dorr-Olive",Announcements,https://www.moneycontrol.com//news/announcements/hindustan-dorr-oliver-updatesoutcomeagm_1206186.html
8,HDO,2014-02-14T18:49:11+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Hind Dorr-Olive standalone Dec '13 sales at Rs 64.85 crore,Hindustan Dorr-Oliver has reported a standalone sales turnover of Rs 64.85 crore and a net loss of Rs 29.74 crore for the quarter ended Dec '13,"Hindustan Dorr-Oliver has reported a standalone sales turnover of Rs 64.85 crore and a net loss of Rs 29.74 crore for the quarter ended Dec '13. Other income for the quarter was Rs 4.72 crore.For the quarter ended Dec 2012 the standalone sales turnover was Rs 75.80 crore and net loss was Rs 49.69 crore, and other income Rs 0.45 crore.Hind Dorr-Olive shares closed at 9.00 on February 13, 2014 (NSE) and has given -5.26% returns over the last 6 months and -53.13% over the last 12 months.Hindustan Dorr-OliverStandalone Quarterly Results-------- in Rs. Cr. --------Dec '13Sep '13Jun '13Sales Turnover64.8558.3175.05Other Income4.729.143.73Total Income69.5767.4578.78Total Expenses90.4279.1286.35Operating Profit-25.57-20.81-11.30Profit On Sale Of Assets------Profit On Sale Of Investments------Gain/Loss On Foreign Exchange------VRS Adjustment------Other Extraordinary Income/Expenses------Total Extraordinary Income/Expenses------Tax On Extraordinary Items------Net Extra Ordinary Income/Expenses------Gross Profit-20.85-11.67-7.57Interest21.9919.8215.00PBDT-42.84-31.49-22.57Depreciation0.580.580.58Depreciation On Revaluation Of Assets------PBT-43.42-32.07-23.15Tax-13.68-11.20-7.26Net Profit-29.74-20.87-15.89Prior Years Income/Expenses------Depreciation for Previous Years Written Back/ Provided------Dividend------Dividend Tax------Dividend (%)------Earnings Per Share------Book Value------Equity14.4014.4014.40Reserves------Face Value2.002.002.00Source :  Dion Global Solutions Limited","Engineering, Hind Dorr-Olive, Hindustan Dorr-Oliver, Results",https://www.moneycontrol.com//news/results/hind-dorr-olive-standalone-dec-13-sales-at-rs-6485-crore_1043315.html
9,HDO,2013-11-18T16:25:27+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Hind Dorr-Olive standalone Sep '13 sales at Rs 58.31 crore,Hindustan Dorr-Oliver has reported a standalone sales turnover of Rs 58.31 crore and a net loss of Rs 20.87 crore for the quarter ended Sep '13,"Hindustan Dorr-Oliver has reported a standalone sales turnover of Rs 58.31 crore and a net loss of Rs 20.87 crore for the quarter ended Sep '13. Other income for the quarter was Rs 9.14 crore.For the quarter ended Sep 2012 the standalone sales turnover was Rs 81.96 crore and net loss was Rs 46.03 crore, and other income Rs 3.42 crore.Hind Dorr-Olive shares closed at 14.05 on November 14, 2013 (NSE) and has given 9.34% returns over the last 6 months and -39.83% over the last 12 months.Hindustan Dorr-OliverStandalone Quarterly Results-------- in Rs. Cr. --------Sep '13Jun '13Mar '13Sales Turnover58.3175.0582.49Other Income9.143.732.13Total Income67.4578.7884.62Total Expenses79.1286.35109.01Operating Profit-20.81-11.30-26.52Profit On Sale Of Assets------Profit On Sale Of Investments------Gain/Loss On Foreign Exchange------VRS Adjustment------Other Extraordinary Income/Expenses------Total Extraordinary Income/Expenses-----42.03Tax On Extraordinary Items------Net Extra Ordinary Income/Expenses------Gross Profit-11.67-7.57-24.39Interest19.8215.0015.71PBDT-31.49-22.57-82.13Depreciation0.580.580.65Depreciation On Revaluation Of Assets------PBT-32.07-23.15-82.78Tax-11.20-7.26-57.56Net Profit-20.87-15.89-25.22Prior Years Income/Expenses------Depreciation for Previous Years Written Back/ Provided------Dividend------Dividend Tax------Dividend (%)------Earnings Per Share------Book Value------Equity14.4014.4014.40Reserves------Face Value2.002.002.00Source :  Dion Global Solutions Limited","Engineering, Hind Dorr-Olive, Hindustan Dorr-Oliver, Results",https://www.moneycontrol.com//news/results/hind-dorr-olive-standalone-sep-13-sales-at-rs-5831-crore_991969.html
