,company,datePublished,author,headline,description,articleBody,tags,url
0,HSL01,2024-03-04T14:54:40+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",Insurance stocks gain amid reports of IRDAI plan to revisit surrender charges,"According to reports, IRDAI is likely to consider rationalisation of proposed surrender value in its March board meeting","Insurance stocks HDFC Life Insurance,&nbsp;Life Insurance Corporation of India (LIC), General Insurance Corporation of India (GIC), and Max Financial Services gained up to 3 percent on March 4 after reports suggested that the Insurance Regulatory and Development Authority of India (IRDAI) is likely to consider rationalisation of proposed surrender value.  Surrender value refers to the cash value that an insurance policyholder is entitled to receive if they decide to terminate or surrender their life insurance policy before its maturity or before the insured event occurs.  The surrender value can vary depending on factors such as the duration of the policy, the amount of premiums paid and the terms of the insurance contract.  ALSO READ:&nbsp;ICICI Bank buys 25 lakh shares to make ICICI Lombard Gen Insurance subsidiary co  In December 2023, IRDAI had planned to increase surrender value paid by life insurance companies to its policyholders by reducing surrender fee charged by these firms.  IRDAI's suggestion to hike surrender values and cut surrender charges caused a concern among life insurance companies. Brokerages had estimated a 400-500 basis points (bps) hit on the margins for life insurance companies.  However,&nbsp;IRDAI is ready to consider rationalisation of proposed surrender value after multiple representations made by individual life insurance companies as well as the Life Insurance Council (LIC), a CNBC-TV18 report said.  ALSO READ:&nbsp;HDFC ERGO Optima Secure health insurance plan: Benefits, eligibility, claims and more  According to reports, IRDAI is considering the life insurance industry&rsquo;s suggestion to keep the calculation of surrender value the same as is for policies surrendered before five years, irrespective of the duration of that life insurance policy.  However,&nbsp;the regulatory body might also&nbsp;consider reduction of threshold for calculation of surrender value. If threshold limits is brought down then surrender value will also come down.  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Buzzing Stocks, HDFC Life, insurance stocks, SBI Life",https://www.moneycontrol.com//news/buzzing-stocks/insurance-stocks-gain-amid-reportsirdai-plan-to-revisit-surrender-charges_17485291.html
1,HSL01,2024-02-07T06:24:28+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/sunil-shankar-matkar-2345/', 'name': 'Sunil Shankar Matkar'}","Trade Spotlight | How to trade in HDFC Life, Biocon, Ipca Labs today",Ipca Laboratories saw a breakout of downward sloping resistance trendline adjoining highs of December 5 last year and January 12 this year. The stock formed strong bullish candlestick pattern on the daily charts with healthy volumes.,"Bulls managed to set an optimistic tone in the market on February 6,&nbsp;overpowering&nbsp;bears that ruled the Street&nbsp;for&nbsp;the last couple of sessions, indicating that the Nifty 50 would be ready to take a leap towards a record high of 22,126 level in the coming sessions, with immediate support at 21,700 and a crucial one at the 21,500 levels, experts said.  On February 6, the Nifty 50 jumped 158 points to 21,929 and formed a bullish candlestick pattern on the daily charts, while the BSE Sensex rose 455 points to 72,186. The market breadth was also positive as around two shares advanced for every falling share on the NSE.  The broader markets also traded high with the Nifty Midcap 100 and Smallcap 100 indices rising 1.2 percent and 0.8 percent, respectively.  Stocks that outperformed broader markets included HDFC Life Insurance Company, Biocon, and Ipca Laboratories. HDFC Life Insurance Company rebounded 5.2 percent to Rs 592.75, after hitting the multi-month low of Rs 561.55 in previous session, and formed robust bullish candlestick pattern on the daily charts with strong volumes. The stock was falling since mid of December 2023.  Biocon continued uptrend for fifth consecutive session, rising nearly 5 percent to Rs 298.55, the level which was last seen on October 4, 2022. The stock has formed long bullish candlestick pattern with long upper shadow on the daily timeframe with healthy volume. The stock has seen a breakout of horizontal resistance trendline and traded above all key moving averages.  Ipca Laboratories has seen a breakout of slightly downward sloping resistance trendline adjoining highs of December 5 last year and January 12 this year. The stock climbed 5.7 percent to Rs 1,199 and formed strong bullish candlestick pattern on the daily charts with healthy volumes, while it traded above all key moving averages, which is a positive sign.  Here's what Avdhut Bagkar of StoxBox recommends investors should do with these stocks when the market resumes trading today:  Ipca Laboratories  A clear horizontal range breakout, supported by strong volumes and divergence on the strength oscillator, has prompted the next leg of upside in Ipca Laboratories&rsquo; shares. The stock is on track to reach Rs 1,400 level as it portrayed resilient stability over Rs 1,150 mark.  The stock has absorbed all the sell-off emerged in the range of Rs 1,160 -1,100 levels, steering short covering.  Conservative traders may opt to accumulate on a healthy correction towards Rs 1,125, preserving Rs 1,080 as a support mark. The stock is heading towards Rs 1,400.    Biocon  The &ldquo;Golden Crossover&rdquo; breakout has prompted fresh upside in the shares of Biocon, with price action pointing a rally towards Rs 350 level in a short-medium term period. The immediate support comes to Rs 275, followed by Rs 250 levels.  Stability over Rs 350 could see the price action heading towards Rs 425-mark. Furthermore, the &ldquo;Flag Pattern&rdquo; breakout in daily has improved the immediate term position of the stock.  Aggressive trade may take entry around Rs 300-290 level, aiming for Rs 350 mark, holding Rs 275 as an immediate stop-loss.    HDFC Life Insurance Company  While the shares of HDFC Life Insurance Company are trading beneath the 200-simple moving average (SMA), the price action is denoting a short-term reversal that could seek to cross the 200-SMA mark placed at Rs 624. The strength oscillator, relative strength index (RSI) has surged over the oversold territory, proposing bullish momentum in play.  One can enter at the current market price, retaining Rs 560 as a closing basis support to look at achieving Rs 624 mark.    Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Biocon, HDFC Life Insurance Company, Ipca Laboratories, Stocks Views, Technicals, Trade Spotlight",https://www.moneycontrol.com//news/technicals/trade-spotlight-|-how-to-tradehdfc-life-biocon-ipca-labs-today_17431961.html
2,HSL01,2024-01-16T12:37:09+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy HDFC Life Insurance Company; target of Rs 750: Sharekhan,"Sharekhan is bullish on HDFC Life Insurance Company has recommended buy rating on the stock with a target price of Rs 750 in its research report dated January 15, 2024.","Sharekhan's research report on HDFC Life Insurance Company HDFC Life reported ~2% y-o-y decline in APE (~7% below estimates) resulting in VNB declining by ~2% y-o-y (missing our estimates by ~10%). However, VNB margins stood at 26.8% stable y-o-y. Lower APE was led by lower Non-PAR (-32%), Group protection (-31%), Annuity (-9%) and PAR (-2%) sales. While ULIP (+88%) and Individual Protection (+54%) witnessed strong growth. Muted growth seen on Banca (~3% yoy) and Agency (~3%) channel while Direct and Broker channel declined by 6% y-o-y &amp;amp;amp; 57% y-o-y respectively. Outlook Stock currently trades at 2.4x/ 2.0x its FY2025E/ FY2026E EVPS. We maintain a Buy on the stock with an unchanged PT of Rs. 750. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. HDFC Life Insurance Company - 16012024 - khan","Buy, HDFC Life Insurance Company, Recommendations, Sharekhan",https://www.moneycontrol.com//news/recommendations/buy-hdfc-life-insurance-company-targetrs-750-sharekhan_17400771.html
3,HSL01,2024-01-14T21:16:33+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Neutral HDFC Life Insurance; target of Rs 700: Motilal Oswal,"Motilal Oswal recommended Neutral rating on HDFC Life Insurance with a target price of Rs 700 in its research report dated January 13, 2024.","Motilal Oswal's research report on HDFC Life Insurance HDFC Life Insurance (HDFCLIFE) in 3QFY24 reported lower-than-expected performance with total APE at INR31.9b (missed our estimates by 7.3%).&nbsp; Total APE declined marginally by 2% YoY to INR31.9b as NonPAR/annuity/term products declined 35%/45%/16% YoY, offset by 74%/96% surge in ULIPs/group products. VNB margins, at 26.8%, fell 70bp below expectations (missing estimates by 9.6%). Nevertheless, EV grew 20% YoY to INR452b. 3QFY24 PAT at INR 3.6b was broadly in line with estimates and saw a 16% YoY growth. For 9MFY24, APE/VNB/PAT grew 5%/5%/16% to INR86b/22.6b/11.5b. Outlook We estimate HDFCLIFE to deliver ~15% VNB CAGR over FY23-26 and margin to improve to ~29.4% by FY26E. We retain our Neutral stance on the stock with a TP of INR700 (premised on 2.6x Sep&rsquo;25E EV). For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. HDFC Life Insurance - 14012024 - moti","HDFC Life Insurance, Motilal Oswal, neutral, Recommendations",https://www.moneycontrol.com//news/recommendations/neutral-hdfc-life-insurance-targetrs-700-motilal-oswal_17398531.html
4,HSL01,2024-01-12T14:45:26+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/jinit-parmar-27181/', 'name': 'Jinit Parmar'}",HDFC Life Insurance Q3 results: Net profit rises 16% to Rs 365 crore,"Following the earnings, share price of HDFC Life closed for trading at Rs 638.15 apiece on BSE, 0.85 percent down.  ","Private sector insurer HDFC Life Insurance on January 12 reported a net profit of Rs 365 crore for the October-December quarter of financial year (FY) 2023-24, up by 16 percent from Rs 315 crore recorded in the year-ago period.  The net premium income of the insurer came in at Rs 15,235 crore, up 6 percent from Rs 14,379 crore in the year-ago quarter.&nbsp; The solvency ratio of the insurer dropped to 190 percent from 209 percent on a YoY basis.  The company reported annualised premium equivalent (APE), which is a measure of new business written by a life insurance company, of Rs 3,191 crore versus CNBC-TV18's poll of Rs 3,152 crore.  Value of new business (VNB) margin, which is the present value of future profits associated with new business written during the quarter, stood at Rs 856 crore versus CNBC-TV18's poll of Rs 851 crore.  During the quarter, the insurer&nbsp;announced new bancassurance partnerships with Karnataka Bank, Karur Vysya Bank and NKGSB Co-operative Bank.  Following the earnings, share price of HDFC Life closed for trading at Rs 638.15 apiece on BSE, 0.85 percent down.  Insurance sector expectations from budget  The insurance sector is hoping for tax reliefs from the Union budget 2024, that will enable insurers to give customers pricing advantages, besides a provision to introduce fresh schemes to offer customers more options to safeguard against escalating health costs in India.  The insurance sector is also hoping for forward-thinking steps towards inclusivity, making insurance accessible to people with no access to insurance and with a particular focus on supporting the LGBTQAI+ community.  Speaking to Moneycontrol after the results, Niraj Shah, Chief Financial Officer (CFO), HDFC Life Insurance, said that the insurance segment is not expecting anything major from budget 2024. &amp;quot;Nothing significant is expected for the insurance sector from the budget,&amp;quot; Shah said.","HDFC Life Insurance, q3 results, Results",https://www.moneycontrol.com//news/results/hdfc-life-insurance-q3-results-net-profit-rises-16-to-rs-365-crore_17397341.html
5,HSL01,2024-01-15T09:36:01+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",HDFC Life shares fall 2% post mixed Q3 performance; here's what brokerages say,"While the company's net premium income rose 6 percent YoY led by 131 percent YoY growth in investment income, first-year premium experienced a slight dip of 2 percent YoY","Shares of HDFC Life Insurance Company&nbsp;fell over 2 percent to Rs 624 per share&nbsp;on January 15 after the company's&nbsp;muted October-December quarter (Q3FY24) performance received mixed response from brokerages. Going ahead, analysts believe that execution and regulatory proposal outcomes will be key for the life insurer.  Analysts at Nomura shared a 'buy' rating for HDFC Life but reduced the target price to Rs 760 per share, saying that FY24 would be a washout&nbsp;fiscal for the company. &amp;quot;The company reported growth moderation in Q3FY24 with individual and total annual premium equivalent (APE) declining 4 percent or 7 percent year-on-year (YoY),&amp;quot; the brokerage firm said.  Meanwhile, those at Motilal Oswal&nbsp;retained a 'neutral' call for HDFC Life with a target price of Rs 700 per share, adding that the growth outlook appeared steady. &amp;quot;We estimate HDFC Life to deliver 15 percent value of new business (VNB) compounded annual growth rate (CAGR) over FY23-26 and margin to improve to 29.4 percent by FY26,&amp;quot; analysts said.  ALSO READ |&nbsp;HDFC Life Insurance Q3 results: Net profit rises 16% to Rs 365 crore  HDFC Life's net profit jumped 16 percent YoY in Q3FY24 driven by higher investment income.&nbsp;While the&nbsp;company's net premium income rose 6 percent YoY led by 131 percent YoY growth in investment income, first-year premium experienced a slight dip of 2 percent YoY. Analysts believe the demand for higher-ticket size policies&nbsp;was subdued during the quarter owing to taxation changes.  As a result, APE declined 2 percent YoY in Q3FY24. Analysts at Kotak Institutional Equities said that a likely slowdown in earnings growth at its parent HDFC Bank may have impacted APE growth for the insurer.  That apart, the life insurer's VNB - the present value of future profit associated with new business fell 2 percent YoY in the December-ended quarter, thereby resulting in a marginal contraction of VNB margins to 26.8 percent.  ALSO READ |&nbsp;Neutral HDFC Life Insurance; target of Rs 700: Motilal Oswal  Against this, the management remained optimistic about its growth prospects driven by sustained growth in less than Rs 5 lakh ticket size, anticipated stability in the macro-environment that could increase allocation to insurance products, expansion of new relationships, and the forthcoming full-year impact of counter share at HDFC Bank developments.  &amp;quot;While protection has picked up momentum, the growth in the Non-PAR segment is likely to be concentrated in the later part of the year. Growth in lower tier cities will be the key focus areas with the expansion of HDFC Bank&rsquo;s branch network and deepening of&nbsp;HDFC Life's branch network,&amp;quot; said analysts at Motilal Oswal.  In the past month, the stock of HDFC Life fell over 5 percent as against a 2 percent rise in the benchmark Sensex.  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Buzzing Stocks, HDFC Life Insurance, q3 results",https://www.moneycontrol.com//news/buzzing-stocks/hdfc-life-shares-fall-2-post-mixed-q3-performance-here39sbrokerages-say_17399011.html
6,HSL01,2023-07-25T10:18:21+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy HDFC Life Insurance Company; target of Rs 779: Religare Retail Research,Religare Retail Research is bullish on HDFC Life Insurance Company has recommended buy rating on the stock with a target price of Rs 779 in its research report dated July 24 2023.,"Religare Retail Research report on HDFC Life Insurance Company HDFC Life premium income growth in Q1FY24 remained moderate and in line with expectations at 17% YoY which was driven by single premium growth of 24% YoY. Net commission costs increased as the focus remains on increasing the agency network and expanding geographically. Annualized Premium Equivalent (APE) increased by 13% YoY which was driven by increase in individual APE growth of 12% YoY. Value of new business (VNB) growth was decent at 18% YoY as the focus remains on increasing the market share. Outlook We maintain a Buy rating on the insurance company while increasing our target price upwards to Rs 779. We value the company based on 3x of its FY25E embedded value per share. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. HDFC Life Insurance Company- 24 -07 - 2023","Buy, HDFC Life Insurance Company, Recommendations, Religare Retail Research",https://www.moneycontrol.com//news/recommendations/buy-hdfc-life-insurance-company-targetrs-779-religare-retail-research_17129431.html
7,HSL01,2023-07-23T14:24:52+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Neutral HDFC Life Insurance; target of Rs 700: Motilal Oswal,"Motilal Oswal recommended Neutral rating on HDFC Life Insurance with a target price of Rs 700 in its research report dated July 22, 2023.","Motilal Oswal's research report on HDFC Life Insurance HDFC Life Insurance (HDFCLIFE) reported a mixed performance in 1QFY24. It posted a 6% miss on VNB and 160bp miss on VNB margins. APE rose 13% YoY to INR23.3b (in-line) driven by ULIP, Annuity and Term products. On a total APE basis, non-PAR too rose 9% YoY. VNB increased 18% YoY (6% miss) with margin expanding 110bp YoY to 26.2%. EV grew 6% QoQ to INR418b during the quarter. PAT at INR 4.2b was in line with our estimates and rose 15% YoY in 1QFY24. Outlook We estimate HDFCLIFE to deliver ~18% VNB CAGR over FY23-25 and its margin to improve to ~28.5% by FY25. Reiterate Neutral with a TP of INR700 (premised on 2.7x Mar&rsquo;25E EV). For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. HDFC Life Insurance - 23 -07 - 2023 - MOTI","HDFC Life Insurance, Motilal Oswal, neutral, Recommendations",https://www.moneycontrol.com//news/recommendations/neutral-hdfc-life-insurance-targetrs-700-motilal-oswal_17125861.html
8,HSL01,2023-04-29T10:33:54+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy HDFC Life Insurance; target of Rs 650: KR Choksey,"KR Choksey is bullish on HDFC Life Insurance has recommended buy rating on the stock with a target price of Rs 650 in its research report dated April 27, 2023.","KR Choksey's research report on HDFC Life Insurance The Gross Written Premium (GWP) for Q4FY23 stood at INR 1,96,261 Mn, robust growth of 36.1% YoY/ 34.7% QoQ led by a 46.5% YoY/ 40.4% QoQ growth in the New Business Premium (NBP). The value of the new business grew by 68.8% YoY/ 73.7% QoQ to INR 15,110 Mn led by strong growth in APE and margins. The New Business Margin (NBM) expanded by 262 bps YoY while being flat on a sequential basis in Q4FY23. PAT for Q4FY23 was INR 3,587 Mn, a growth of 13.8% YoY/ 0.3% QoQ. AUM as of March 31, 2023, stood at INR 23,88,000 Mn, a growth of 16.9% YoY (+2.1% QoQ). The embedded value of the merged entity is INR 395.3 Bn as of March 31, 2023, as against INR 329.6 Bn as of March 31, 2022. The Solvency ratio was 203% as of March 31, 2023, above the regulatory requirement of 150%.  Outlook We assign a 3.0x P/EV on FY25E EVPS of INR 261.8, a VNB multiple of 14.3x to HDFC Life and arrive at the weighted average Target Price at INR 650 per share (Earlier INR 735) (50:50 weights on the P/EV and appraisal value methodology), implying a 25.1% upside potential over CMP. We have maintained our 'BUY' rating on HDFC Life Insurance Co. Ltd. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. HDFC Life Insurance Company - 28 -04 - 2023 - kr","Buy, HDFC Life Insurance, KR Choksey, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-hdfc-life-insurance-targetrs-650-kr-choksey_16977901.html
9,HSL01,2023-04-28T15:28:03+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy HDFC Life Insurance; target of Rs 720: Sharekhan,"Sharekhan is bullish on HDFC Life Insurance has recommended buy rating on the stock with a target price of Rs 720 in its research report dated April 26, 2023.","Sharekhan's research report on HDFC Life Insurance HDFC Life reported a robust 69% y-o-y growth in VNB. VNB margin remained stable at 29.3% in Q4FY2023 (versus 29.4% y-o-y). APE grew by 69% y-o-y. VNB margins for FY23 were flat at 27.5% versus standalone in FY22 in line with guidance. Strong growth was led by higher business volumes from sale of higher ticket value non-linked products in the last two months of the quarter, ahead of the change in the Union Budgetary provision. APE growth was 23%, excluding the one-off and adjusting for the merger. Non-PAR business growth was at 188% y-o-y in 4QFY23 and 90% in FY23, adjusting for the one-off higher ticket size policies, growth was 72% y-o-y in 4QFY23 and 53% in FY23. Retail protection grew by 62% y-o-y in Q4FY23 and was flat in FY23. Outlook The company is investing to grow lower-ticket policies to offset a slowdown in higher ticket non par business. Stock currently trades at 2.4x/ 2.1x its FY2024E/ FY2025E EVPS. We maintain a Buy on the stock with an unchanged PT of Rs. 720. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  HDFC Life Insurance - 27 -04 - 2023 - khan","Buy, HDFC Life Insurance, Recommendations, Sharekhan",https://www.moneycontrol.com//news/recommendations/buy-hdfc-life-insurance-targetrs-720-sharekhan_16977221.html
