,company,datePublished,author,headline,description,articleBody,tags,url
0,IPL01,2024-03-09T08:07:21+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/vidnyan-sawant-14861/', 'name': 'Vidnyan Sawant'}",Bulls back these 3 stocks that can give 18-20% return in March,"ICICI Prudential Life has maintained its position above both the 12-week and 26-week exponential moving averages (EMA), further consolidating the bullish trend.","By Vidnyan Sawant, HOD - Research at GEPL Capital  After consolidating for two months, the Nifty index is now displaying signs of breaking out, reaching fresh all-time highs and forming higher tops and higher bottoms on the monthly timeframe, indicating bullish strength for the longer term.  On the weekly charts, the Nifty has been consistently hitting record highs over the past three weeks and maintaining levels near the top, indicating strong confidence among market participants.  In the shorter term, particularly on the daily timeframe, the index has been exhibiting a positive structure with higher highs and higher lows, while finding solid support at the 34-day EMA (exponential moving average) for the past three months.  Key technical indicators such as the relative strength index (RSI) are also favourable, with readings above 65 across daily, weekly, and monthly intervals, signaling positive momentum.  Looking forward, immediate resistance levels are noted at 22,780, representing Fibonacci Extension levels, with further resistance at 23,000. Crucial support levels are identified at 22,000 and 21,800.  Given the current chart patterns, a strong bullish phase is anticipated. It is recommended to consider buying at the current market price, with potential upside targets ranging from 22,780 to 23,000 levels. To effectively manage risks, it is advised to implement a strict stop-loss at 22,000 on a closing basis.  Here are three buy calls for the next 2-3 weeks:  ICICI Prudential Life Insurance Company: Buy | LTP: Rs 583.6 | Stop-Loss: Rs 533 | Target: Rs 696 | Return: 19 percent  ICICI Prudential Life has demonstrated remarkable resilience, notably since hitting its 52-week low in March 2023. The stock has been consistently advancing within a bullish trajectory. In a recent noteworthy development, the stock has broken out of a Flag and Pole chart pattern, coinciding with a downward sloping channel originating from its September 2021 all-time high. This breakout was accompanied by a significant surge in trading volume, surpassing the 21-week average volume, indicating positive momentum.  Additionally, ICICI Prudential Life has maintained its position above both the 12-week and 26-week exponential moving averages (EMA), further consolidating the bullish trend.  Momentum indicators such as the RSI and Moving Average Convergence Divergence (MACD) support this bullish sentiment. The MACD has signaled a positive crossover, while the RSI stands at a robust 60, indicating the strength of the trend by substantial momentum.  Looking forward, there is an anticipation of further price ascent towards Rs 696 mark. It is recommended to set a stop-loss at Rs 533, strictly based on the closing basis.    Shriram Finance: Buy | LTP: Rs 2449.55 | Stop-Loss: Rs 2,249 | Target: Rs 2,885 | Return: 18 percent  Since March 2022, Shriram Finance has demonstrated a robust price structure, characterized by a consistent upward trend. Notably, in June 2023, the stock broke out of a volatility contraction pattern (VCP), leading to the formation of higher highs and higher lows. This trend signifies a bullish momentum.  Moreover, Shriram Finance has shown a strong adherence to the 12-week and 26-week moving averages, indicating the strength of the prevailing trend. The momentum of Shriram Finance is further supported by the RSI, which has consistently remained above 60 across various timeframes. This suggests sustained strength in the upward trajectory of the stock.  Furthermore, when comparing Shriram Finance to the Nifty through a ratio chart, there's a continuous upward trend, indicating persistent outperformance compared to the broader market.  Going ahead, we expect the prices to go higher till the level of Rs 2,885, the bullish view will be negated if we see prices sustaining below Rs 2,249 level.    Tata Consumer Products: Buy | LTP: Rs 1,261.55 | Stop-Loss: Rs 1,163 | Target: Rs 1,518 | Return: 20 percent  Tata Consumer Products demonstrates a robust price structure, with a clear uptrend observable since October 2001, characterized by higher highs and higher lows over the long term. Presently, the stock is maintaining its position above the congestion zone and is trading at its all-time high, indicating significant strength in the current uptrend.  The trend support is further strengthened by the stock's ability to remain above both the 12-week and 26-week moving averages. Additionally, a bullish crossover on the MACD indicator occurring in positive territory adds momentum to the ongoing upward trend, affirming the bullish sentiment surrounding Tata Consumer Products.  Moreover, when analyzing Tata Consumer Products against the Nifty using a ratio chart, a continuous upward trend is evident, suggesting sustained outperformance compared to the broader market.  Looking forward, there is an anticipation of further price ascent towards Rs 1,518 mark. It is recommended to set a stop-loss at Rs 1,163, strictly based on the closing basis.    Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","ICICI Prudential Life Insurance Company, Shriram Finance, Stocks Views, Tata Consumer Products, Technicals",https://www.moneycontrol.com//news/technicals/bulls-back3-stocks-that-can-give-18-20-returnmarch_17490941.html
1,IPL01,2024-01-19T21:56:41+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Accumulate ICICI Prudential Life Insurance; target of Rs 545: KR Choksey,"KR Choksey recommended accumulate rating on ICICI Prudential Life Insurance with a target price of Rs 545 in its research report dated January 19, 2024.","KR Choksey's research report on ICICI Prudential Life Insurance In Q3FY24, the Gross Written Premium (GWP) grew 5.2% YoY but fell by 1.4% QoQ to INR 102,850 Mn. The premium was lower by 2.4% than our estimates owing to lower-than-expected single premium segment. The Annualized Premium Equivalent (APE) for Q3FY24 stood at INR 19,070 Mn, a growth of 4.7% YoY (a fall of 7.5% QoQ). The APE was higher by 1.6% than our estimates. In 9MFY24, the APE growth was 1.7% YoY at INR 54,300 Mn. The VNB for Q3FY24 declined by 29.4% YoY/ 24.4% QoQ to INR 4,360 Mn. VNB margins were 22.9% for the quarter as against 28.0% in Q2FY24 (vs 33.9% in Q3FY23). The margins were lower than our expectations of 29.0% due to significant change in the product mix vs our expectation. The margins for 9MFY24 stood at 26.7%, a decline of 529 bps YoY. The total assets under management of the company were INR 2,867 Bn as of December 31, 2023, a growth of 13.8% YoY/ 5.4% QoQ (1.2% higher than our expectations). As of December 31, 2023, the solvency ratio was 197.0% against the regulatory requirement of 150%. Outlook We assign a 1.5x P/EV on FY26E EVPS of INR 368.2 and a VNB multiple of 8.2x to arrive at a weighted average Target Price of INR 545 per share (earlier INR 625) (50:50 weights on the P/EV and appraisal value methodology); indicating a 12.1% upside from the CMP. Accordingly, we downgrade our rating from &ldquo;BUY&rdquo; to &ldquo;ACCUMULATE&rdquo; on the shares of ICICI Prudential Life Insurance Ltd. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. ICICI Prudential Life Insurance - 19012024 - kr","Accumulate, ICICI Prudential Life Insurance, KR Choksey, Recommendations",https://www.moneycontrol.com//news/recommendations/accumulate-icici-prudential-life-insurance-targetrs-545-kr-choksey_17407471.html
2,IPL01,2024-01-19T13:30:24+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy ICICI Prudential Life Insurance; target of Rs 580: Motilal Oswal,"Motilal Oswal is bullish on ICICI Prudential Life Insurance recommended buy rating on the stock with a target price of Rs 580 in its research report dated January 19, 2024.","Motilal Oswal's research report on ICICI Prudential Life Insurance ICICI Prudential Life Insurance (IPRU) reported a 4.7% YoY growth in APE (9.5% higher than estimated) to INR19.1b in 3QFY24. In 3QFY24, protection/ULIP segments rose 5.3%/8.9% YoY but the group segment declined 15.5% YoY. VNB declined 29% YoY to INR5.4b (15% miss), due to a moderation in margins. VNB margin for the quarter stood at 22.9% (-510bp QoQ) vs. our estimate of 29.5%. For 9MFY24, APE stood at INR54.3b and VNB was at INR14.5b, with a VNB margin of 26.7%.&nbsp; Considering the 3QFY24 performance, we have cut our APE/VNB margin for FY24E and FY25E. We expect IPRU to deliver a 6% CAGR in VNB over FY23- 26. Going forward, premium growth and expansion of VNB margin will be the key drivers for the re-rating of the stock. Outlook We note that the 1-year forward P/EV for IPRU has declined to 1.5x currently from 1.8x in Jun&rsquo;23. We reiterate our BUY rating with a TP of INR580 (based on 1.5x Sep&rsquo;25E EV). For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. ICICI Prudential Life Insurance - 19012024 - moti","Buy, ICICI Prudential Life Insurance, Motilal Oswal, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-icici-prudential-life-insurance-targetrs-580-motilal-oswal_17406781.html
3,IPL01,2024-01-16T12:05:22+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","ICICI Pru Life Q3 Preview: APE to grow 2%, margins to contract on product mix change",ICICI Prudential Life Insurance's VNB (value of new business) margins is set to contract over 400 basis points YoY to 29.3 percent due to change in product mix,"ICICI Prudential Life Insurance on January 17 is expected to report&nbsp;a muted&nbsp;2 percent year-on-year growth in annual premium equivalent (APE) for the October-December 2023 quarter. APE is seen at Rs 1,856 crore, as per a poll of brokerages.  APE is essentially a measure of sales for a life insurer. The muted growth is largely in line with the industry trend as premium growth has been dull for the entire life insurance industry, as per IRDAI data.  Further, ICICI Prudential Life Insurance's VNB (value of new business) margins are set to contract over 400 basis points&nbsp;YoY to 29.3 percent due to a change in product mix.    Analysts at Emkay Research pointed out that sales of non-par products were higher in the base quarter while ULIP sales, which fetch lower margins, were higher in the quarter gone by.  ULIP stands for unit-linked insurance products.&nbsp;ULIPs are market-linked products, a combination of insurance plus investment. With markets touching new highs, ULIP sales were higher last year.  Meanwhile, non-par products are those in which profits are not shared with policyholders, and thus, the margins are higher.  Also Read:&nbsp;Budget @10: 5 things that market wants from Nirmala Sitharaman  &amp;quot;As a result of margin contraction, VNB is expected to decline 11 percent year-on-year in Q3 FY24,&amp;quot; said Emkay.  As net profit is not a key metric for life insurance companies, several brokerages have not&nbsp;shared&nbsp;estimates for the bottomline number, except Motilal Oswal Financial Services. The domestic broking firm expects PAT to grow 25.7 percent YoY to Rs 280 crore.  Meanwhile, Nuvama Institutional Equities has noted that growth from non-ICICI Bank channel shall be key. &amp;quot;Guidance on any change in ICICI Bank's distribution strategy. Longer term guidance on APE and VNB growth,&amp;quot; the firm said.  Also Read:&nbsp;HDFC Life shares fall 2% post mixed Q3 performance; here's what brokerages say  Looking beyond Q3 performance, analysts at Kotak Institutional Equities said that the proposed Insurance Regulatory Development Authority (IRDA) guidelines on surrender penalty caps may remain a key overhang for life insurance companies. &amp;quot;We need clarity on the final guidelines, estimated impact, and the strategies to be&nbsp;adopted by life insurance companies hereon,&amp;quot; they wrote.  Surrender penalty caps would limit surrender charges after a policyholder voluntarily terminates an insurance policy before its maturity or occurrence of an insured event. In this manner, a policyholder would receive a higher payout for the insurance they paid and surrender charges would be reduced. This, analysts believe could take a toll on insurance companies' margins.  On January 16, at 11:45 am, the stock was trading flat on the NSE at Rs&nbsp;523.  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","ICICI Prudential Life Insurance, Result Poll",https://www.moneycontrol.com//news/result-poll/icici-pru-life-q3-preview-ape-to-grow-2-margins-to-contractproduct-mix-change_17400691.html
4,IPL01,2024-01-18T11:12:29+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","ICICI Pru Life sees biggest crash in one year, stock down 10% after Q3 misses estimates","The impact on ICICI Pru Life's margins was mainly due to change in product mix, the management said in earnings concall. ULIP sales, which fetch lower margins, were higher in the October-December 2023 quarter","ICICI Prudential Life Insurance crashed over 10 percent on January 18, making its&nbsp;steepest fall in over a year.&nbsp;The stock saw a selloff as the insurer's October-December 2023 quarter results came way below the Street estimates, along with a sharp fall in margins.  At 10:30am, the stock recouped some losses and traded at Rs&nbsp;485.60 on the NSE, down 5 percent from its previous close, after hitting an intraday low of Rs 464.  For Q3FY24, ICICI Pru Life's VNB (value of new business) declined 29.5 percent YoY to Rs 436 crore, against the&nbsp;Moneycontrol estimate of Rs 547 crore. VNB margins came in at 23 percent, over 600 basis points below the estimate of 29.3 percent.  The impact on margins was mainly due to change in product mix, the management said in earnings concall. ULIP sales, which fetch lower margins, were higher in the October-December 2023 quarter.  ULIP stands for unit-linked insurance products. These are linked to the market&nbsp;as a combination of insurance plus investment. With the markets scaling new highs last calendar year, ULIP sales grew fast.  Follow our live blog for all the market action  For Q3FY24,&nbsp;ICICI Pru Life's APE (annualised premium equivalent) jumped 4.72 percent on-year to Rs 1,907 crore, slightly higher than the Moneycontrol estimate&nbsp;of Rs 1,856 crore. In the earnings concall, the management said that credit life and group term business provide an exciting opportunity, going ahead.  The company's commission expenses have increased after re-designed commission structure, which has also put pressure on margins. ICICI Pru Life has been diversifying its distribution to non-ICICI Bank channels.  On the distribution side, domestic broking firm Motilal Oswal pointed out that the share of banca, corporate agents, group channels declined sequentially to 26.8 percent, 11 percent, 16.4 percent, respectively, in Q3 FY24.  Also read:&nbsp;HDFC Life Insurance and other insurers in talks with IRDAI on draft surrender value regulations, says ED and CFO  Most brokerages have not shared revised ratings, target prices and earnings estimates as the concall took place early morning on January 18. Morgan Stanley has an 'overweight' call&nbsp;with the target at Rs&nbsp;660 per&nbsp;share, but is awaiting clarity if FY24 performance&nbsp;should be extrapolated to FY25.  Disclaimer:&nbsp;The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Buzzing Stocks, ICICI Prudential Life Insurance",https://www.moneycontrol.com//news/buzzing-stocks/icici-pru-life-sees-biggest-crashone-year-stock-down-10-after-q3-misses-estimates_17403951.html
5,IPL01,2023-07-21T18:01:56+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy ICICI Prudential Life Insurance; target of Rs 665: KR Choksey,"KR Choksey is bullish on ICICI Prudential Life Insurance has recommended buy rating on the stock with a target price of Rs 665 in its research report dated July 21, 2023.","KR Choksey's research report on ICICI Prudential Life Insurance In Q1FY24, the Gross Written Premium (GWP) de-grew 43.2% QoQ on a high base of Q4FY23 but grew by 1.5% YoY to INR 73,748 Mn. The Annualized Premium Equivalent (APE) for Q1FY24 stood at INR 14,610 Mn, a decline of 3.9% YoY/ 55.7% QoQ. The VNB for Q1FY24 declined by 7.0% YoY/ 58.5% QoQ to INR 4,380 Mn, with VNB margins at 30.0% for the quarter as against 32.0% in Q4FY23 (vs 31.0% in Q1FY23). As of June 30, 2023, the solvency ratio was 203% against the regulatory requirement of 150%. The total assets under management of the company were INR 2,664 bn as of June 30, 2023, a growth of 15.8% YoY/ 6.1% QoQ.  Outlook We assign a 2.0x P/EV (earlier 1.75x P/EV of FY24E) on FY25E EVPS of INR 332.5 and a VNB multiple of 13.6x to arrive at a weighted average Target Price of INR 665 per share (earlier INR 570) (50:50 weights on the P/EV and appraisal value methodology); indicating a 21.5% upside from the CMP. Accordingly, we re-iterate our &ldquo;BUY&rdquo; rating on the shares of ICICI Prudential Life Insurance Ltd. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. ICICI Prudential Life Insurance - 21 -07 - 2023 - kr","Buy, ICICI Prudential Life Insurance, KR Choksey, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-icici-prudential-life-insurance-targetrs-665-kr-choksey_17123871.html
6,IPL01,2023-07-20T13:27:29+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy ICICI Prudential Life Insurance; target of Rs 650: Sharekhan,"Sharekhan is bullish on ICICI Prudential Life Insurance has recommended buy rating on the stock with a target price of Rs 650 in its research report dated July 19, 2023.","Sharekhan's research report on ICICI Prudential Life Insurance Value of new business (VNB) fell 7% y-o-y, while VNB margins dipped 100 bps y-o-y to 30%. APE declined by 4% y-o-y. Despite strong growth in retail protection and stable non-linked savings share, VNB margins were lower due to a change in product mix towards par and ULIP products. ICICI Bank channel continued to drag growth. Overall, ICICI Bank&rsquo;s contribution declined to 13% in the APE mix versus a peak of 59% in FY2019. Agency/partnership channel grew at a slower pace 5%/7% y-o-y, while direct channel reported strong growth of 28.5% y-o-y. Outlook Stock trades at 2.0x/1.7x its FY2024E/FY2025E EVPS. We maintain a Buy rating and raise PT to Rs. 650. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. ICICI Prudential Life Insurance - 20 -07 - 2023 - khan","Buy, ICICI Prudential Life Insurance, Recommendations, Sharekhan",https://www.moneycontrol.com//news/recommendations/buy-icici-prudential-life-insurance-targetrs-650-sharekhan_17121901.html
7,IPL01,2023-07-19T14:37:52+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy ICICI Prudential Life Insurance; target of Rs 670: Motilal Oswal,"Motilal Oswal is bullish on ICICI Prudential Life Insurance recommended buy rating on the stock with a target price of Rs 670 in its research report dated July 18, 2023.","Motilal Oswal's research report on ICICI Prudential Life Insurance ICICI Prudential Life Insurance (IPRU) reported a 3.9% YoY decline in APE (6% beat) in 1QFY24. While savings and annuity segments saw a decline of 6% and 7.1% YoY, respectively, the protection segment registered a growth of 4.2% YoY. VNB declined 7% YoY to INR4.4b (in line), while VNB margin declined 200bp QoQ to 30% in 1QFY24. Lower margins were led by a change in product mix, wherein the share of non-par savings shifted to par and ULIP products. This was partially offset by strong growth in the protection segment. We estimate IPRU to deliver a 14% CAGR in VNB over FY23-25. This will be driven by a combination of premium growth and steady margins, thereby enabling an operating RoEV of ~18% over FY23-25E.  Outlook We reiterate our BUY rating with a TP of INR670 (premised on 1.9x Mar&rsquo;25E EV). For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. ICICI Prudential Life Insurance - 19 -07 - 2023 - moti","Buy, ICICI Prudential Life Insurance, Motilal Oswal, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-icici-prudential-life-insurance-targetrs-670-motilal-oswal_17120421.html
8,IPL01,2023-07-19T13:34:25+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy ICICI Prudential Life Insurance Company; target of Rs 679: Religare Retail Research,Religare Retail Research is bullish on ICICI Prudential Life Insurance Company has recommended buy rating on the stock with a target price of Rs 679 in its research report dated July 19 2023.,"Religare Retail Research report on ICICI Prudential Life Insurance Company ICICI Prudential&rsquo;s (IPRU) top-line remained muted in Q1FY24 as net premium income increased by 2% YoY to Rs 7,020cr. The flat net premium income was mainly due to decline in first year premium and single premium by 2% YoY and 6% YoY, respectively. Even though, the premium income remained flattish, net commission remained elevated at 25% YoY as first year commission and single commission saw a growth of 23% YoY and 94% YoY, respectively. Annualized premium equivalent declined by 4% YoY to Rs 1,460cr.  Outlook We have revised the target price of the company upwards to Rs 679 and also changed rating to Buy from Accumulate valuing the company at a P/EV of 1.9x of its FY25E embedded value per share. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. ICICI Prudential Life Insurance - 19 -07 - 2023 - reg","Buy, ICICI Prudential Life Insurance Company, Recommendations, Religare Retail Research",https://www.moneycontrol.com//news/recommendations/buy-icici-prudential-life-insurance-company-targetrs-679-religare-retail-research_17120231.html
9,IPL01,2023-07-19T12:21:13+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy ICICI Pru Life; target of Rs 660: Emkay Global Financial,"Emkay Global Financial is bullish on ICICI Pru Life has recommended buy rating on the stock with a target price of Rs 660 in its research report dated July 19, 2023.","Emkay Global Financial's research report on ICICI Pru Life ICICI Pru Life delivered in-line results for Q1FY24, with a marginal beat of 2.6% on APE to Rs14.6bn; however, VNB margin at 30% came in slightly below our estimate of 31%, thus driving in-line VNB at Rs4.4bn. The margin moderation was primarily on account of higher expenses, as Management focus on growth is being backed by investments in augmenting distributing channels and increasing productivity. PAT at Rs2.1bn grew 32.4% YoY (Emkay est: Rs1.6bn), likely driven by higher back-book profit. Retail protection APE growth at 61% YoY to Rs 1.1bn affirmed the bounce-back of retail protection.  Outlook Comforted by the commentary around growth in the ex-ICICI Bank channels, we increase our FY24-26E APE and retain our BUY rating on the stock, with revised Jun-24E target price of Rs660/share (implied FY25E P/EV: 2x). For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. ICICI Pru Life - 19 -07 - 2023 - emkay","Buy, Emkay Global Financial, ICICI Pru Life, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-icici-pru-life-targetrs-660-emkay-global-financial_17120011.html
