,company,datePublished,author,headline,description,articleBody,tags,url
0,ITC,2024-01-16T14:49:19+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",ITC director David Robert Simpson resigns,"David Robert Simpson was on ITC board as a representative of Tobacco Manufacturers (India) Ltd, a subsidiary of British American Tobacco plc.","ITC Ltd on Tuesday said its Non-Executive Director David Robert Simpson has resigned due to personal reasons.  His resignation will be effective from January 30, the Kolkata-headquartered company said in a regulatory filing.  Simpson was on ITC board as a representative of Tobacco Manufacturers (India) Ltd, a subsidiary of British American Tobacco plc.  &amp;quot;David Robert Simpson, Non-Executive Director, has tendered his resignation from the Board of Directors of the company with effect from 30th January, 2024, due to personal reasons,&amp;quot; ITC said.  He was appointed on ITC board as a Non-Executive Director with effect from January 27, 2017.  As of September 2023, Tobacco Manufacturers (India) held 23.88 per cent stake in ITC.","Business, Companies",https://www.moneycontrol.com//news/business/itc-director-david-robert-simpson-resigns_17400951.html
1,ITC,2024-01-15T07:05:08+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/sunil-shankar-matkar-2345/', 'name': 'Sunil Shankar Matkar'}"," Chartist Talks | Nifty IT may attempt to move past record high by next quarter, focus on these 3 stocks,...","Charts are saying that Nifty is in a strong uptrend. While 22,000 stays possible, 22,500 may take some time to come by, says Milan Vaishnav.","&amp;quot;Going by the technical structure, Nifty IT is on its way to testing its previous high of 39,446 and may attempt to even move past that level by next quarter,&amp;quot; Milan Vaishnav, CMT, MSTA, founder of Gemstone Equity Research &amp;amp;amp; Advisory Services says in an interview to Moneycontrol.  In the IT sector, his attention would be directed towards three specific stocks namely TCS, Infosys, and LTIMindtree.  After recent sharp correction, he says it would be wrong to say that Polycab India had a &amp;quot;downcycle&amp;quot;. &amp;quot;It is expected to stabilise from current levels and any downsides may find support at Rs 3,350.&amp;quot;  Milan, with almost two decades of experience in the capital markets, suggests that if the markets experience even a slight consolidation, the FMCG (Fast-Moving Consumer Goods) sector is likely to perform well and enhance its relative performance.  Do you think the Nifty IT sector to hit record high by next quarter, considering the momentum and chart structure?  Nifty IT, while lying inside the lagging quadrant of the Relative Rotation Graph (RRG), is seeing a sharp improvement in its relative momentum against the broader markets.  Nifty IT had broken down from a bearish Head &amp;amp;amp; Shoulder formation in May 2022. With Friday's close, after a prolonged move following a decline from that formation, the IT Index has tried to move above that right shoulder. The current upmove has occurred in the Nifty IT index after trading sideways for over twelve months.  Also read:&nbsp;Budget 2024: Fiscal deficit, disinvestment and other key numbers to watch out for  Going by the technical structure, Nifty IT is on its way to testing its previous high of 39,446 and may attempt to even move past that level by next quarter.  Which are the technology stocks that you want to add into your portfolio now?  TCS, Infosys, and LTIMindtree. I would be looking at these three stocks. While TCS is displaying great relative strength. Besides this, Infosys looks at playing catchup to its relative underperformance seen in the recent past. LTIMindtree has an excellent technical setup. It is seen attempting to break out from a double-top formation and move higher towards its previous peak.  Also read:&nbsp;Stockology: As markets scale new highs, rebalancing portfolios is the most critical task  Are the charts telling you that the Nifty will hit 22,000 soon and 22,500 mark in coming weeks?  Charts are saying that Nifty is in a strong uptrend. While 22,000 stays possible, 22,500 may take some time to come by. However, about the level of 22,000, though it is possible to see that mark on Nifty, one must not forget that this possibility comes with some risks attached to it.  Nifty remains greatly deviated from its mean. The nearest pattern support stands at 21,000, the 20-week MA (moving average) is 1,679 points below from current levels at 20,215. The 50-week MA is at 19,112; a good 2,792 points from the current levels.  Do you see the Nifty Realty surpassing Rs 1,000 mark soon?  Nifty Realty stays heavily overextended on the charts. I believe it would be some time before it tests 1000-mark. If that has to happen, it should not come without some consolidation on charts. This index is highly over-extended and over-stretched.  Your top 2 bets for next week and why?  My 2 bets for the next week and onward would be defensive. ITC and Cipla. The FMCG index is in an uptrend and looks at bettering its relative performance. ITC enjoys a significant weight in the index and looks technically better placed on the charts.  Cipla has broken out from a technical pattern; after a brief consolidation, this stock too looks at resuming its upmove.  Do you expect Sobha to hit Rs 1,500 mark soon?  Sobha is currently in a robust uptrend, but it is also significantly overbought. If it surpasses the Rs 1,407 mark, there is potential for renewed momentum in Sobha. However, until it crosses the level of Rs 1,407, there is a possibility that the stock may consolidate just below that level.  Do you think the downcycle is over for Polycab India that corrected 30 percent in current month?  It would be wrong to say that Polycab India had a &amp;quot;downcycle&amp;quot;. If you look at the weekly chart, it was just the previous week that saw a sharp downfall driven the news and developments. The level of Rs 3,350 offers good support for the stock. It is expected to stabilise from current levels and any downsides may find support at Rs 3,350.  Do you expect pick in Nifty FMCG index which has been consolidating after recent correction?  The examination of the weekly charts of the Nifty FMCG index suggests that it has been in a steady uptrend; the only concern was the relative performance that was taking a back seat for some time now. If the markets consolidate even a bit, FMCG is likely to start to perform well and improve its relative performance. I expect this sector to pick up over the next few weeks.  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","interview, MARKET OUTLOOK, Nifty, Sensex, Technicals",https://www.moneycontrol.com//news/technicals/chartist-talks-|-nifty-it-may-attempt-to-move-past-record-high-by-next-quarter-focusthese-3-stocks-says-milan-vaishnav_17398661.html
2,ITC,2023-08-29T11:38:09+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/bloomberg-21811/', 'name': 'Bloomberg'}",ITC chairman hopes India food export bans are short-lived,"The company, a major wheat exporter, saw its agriculture business revenue decline 25% in the April-June quarter, hit by the export bans, according to its quarterly earnings presentation.","India&rsquo;s decision to ban exports of wheat and rice should be short-lived once food supply stabilizes in the country, said Sanjiv Puri, chairman of ITC Ltd.  The company, a major wheat exporter, saw its agriculture business revenue decline 25% in the April-June quarter, hit by the export bans, according to its quarterly earnings&nbsp;presentation.  Puri spoke to Bloomberg News on the sidelines of the B-20 Summit in New Delhi. The excerpts are lightly edited for clarity:  Outlook on India economy Businesses that are indexed to Indian consumption are fairly resilient. Anything that is more integrated with global supply chains, whether it&rsquo;s exports or certain commodities, there is volatility and some weakness there. What we are growing at without exports firing is a decent number.  The impact on consumption has been more inflation-led and inflation has actually been mostly imported. The second factor is climate emergency because it&rsquo;s led to crop failures. As inflation is moderating the latest Nielsen numbers also show some green shoots of pick up in the rural economy. What is to be monitored is the El Nino bit and the global dynamic is still uncertain, but as the inflation is cooling off consumption is picking up.  Impact of export bans It is impacting us. As businesses we have to be also responsible. People have to have food in the country. So we have to understand that and people have to be able to afford it. These are realities we must recognize.  I obviously hope that it is short lived. And what will enable us to export is our crops doing well, our agriculture producing more than is required so that we have the surpluses. As a responsible corporate this is what I would like to work with the farming community on and see how we can improve the produce.  Viability of agri business My focus at this point of time is on value addition (rather than pure output growth that could impact prices and overall profitability). For example, we inaugurated the spices facility and we are now going to inaugurate the nicotine derivative products facility.  That&rsquo;s the path we are on &mdash; building capacity in medicinal and aromatic plants, horticulture and aquaculture. These are the areas of value add we are focusing on as a company. And this is more value accretive than the commodity business in any case.","Business, Companies",https://www.moneycontrol.com//news/business/itc-chairman-hopes-india-food-export-bansshort-lived_17222181.html
3,ITC,2023-08-21T14:48:12+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy ITC; target of Rs 535: Motilal Oswal,"Motilal Oswal is bullish on ITC recommended buy rating on the stock with a target price of Rs 535 in its research report dated August 15, 2023.","Motilal Oswal's research report on ITC ITC reported healthy cigarette volume growth of ~8% in 1QFY24 vs. our estimate of 5%. The 3-year/4-year average volume CAGRs stood at 21.7%/7.0%, indicating strong demand momentum. With no material increase in Cigarette GST/National Calamities Duty, the volume growth outlook remains healthy. Unlike its staple peers, ITC has consistently posted impressive performance in the Other FMCG business (16% revenue growth and margin improvement despite elevated RM costs compared to pre-pandemic levels). The Agri business faced setbacks due to export restrictions, while the Paper segment was affected by demand issues, competition from China, lower pulp prices, and higher input costs. However, the Hotels segment reported a robust performance. We maintain BUY on ITC as we believe its earnings visibility remains better than peers&rsquo;.  Outlook At a time when uncertainty looms over the industry, led by high inflation, unpredictable monsoons and continued weak rural sales, ITC&rsquo;s recovery in Cigarette volumes offer decent earnings visibility at reasonable valuations and attractive dividend yield. We maintain our BUY rating with a TP of INR535, based on 28x FY25E EPS. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. ITC - 21 -08 - 2023 - moti","Buy, ITC, Motilal Oswal, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-itc-targetrs-535-motilal-oswal_17213211.html
4,ITC,2023-08-21T13:23:24+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy ITC; target of Rs 535: Emkay Global Financial,"Emkay Global Financial is bullish on ITC has recommended buy rating on the stock with a target price of Rs 535 in its research report dated August 15, 2023.","Emkay Global Financial's research report on ITC We hold a positive stance on ITC, heartened by its improved management execution, ahead-of-time investment in businesses, and leadership position in most segments. Overall revenue fell 8% in Q1, while growing 11% adjusted for Agri revenue; Cigarettes net sales grew 11% (volume growth estimate: ~8%) and Other FMCG sales growth was a healthy 16%. Cigarettes EBIT grew 11% YoY (as it navigates margin pressure well), with EBIT margin at 74.2%, up by ~20bps YoY. Other FMCG EBITDA margin stands at 11%, up by 375bps YoY (PLI benefit: 30-40bps). We see double-digit EBIT growth for Cigarettes and healthy EBITDA expansion for the Other FMCG segment, going forward.  Outlook We uprear our earnings estimates for Cigarettes by 3%, on better pricing power/margins; this hoists our SOTP-based Jun-24E TP to Rs 535/share (vs Rs525 earlier). For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. ITC - 21 -08 - 2023 - emkay","Buy, Emkay Global Financial, ITC, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-itc-targetrs-535-emkay-global-financial_17213041.html
5,ITC,2023-08-20T19:50:47+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy ITC; target of Rs 496: Sharekhan,"Sharekhan is bullish on ITC has recommended buy rating on the stock with a target price of Rs 496 in its research report dated August 14, 2023.","Sharekhan's research report on ITC ITC&rsquo;s Q1FY2024 performance beat our expectations, largely led by better-than-expected OPM of 39.5% (up by 682 bps y-o-y and 162 bps q-o-q) resulting in 18% y-o-y growth in PAT (with other income high by 2.3x); net revenues fell by 9% y-o-y due to high base of Agri business. The highlight of the quarter was an 8% volume growth in core cigarette business while non cigarette FMCG business grew by 16% with consistent improvement in EBIDTA margins to 11%. Hotels business will be demerged at entitlement ratio of 1:10 (1 share each of demerged entity for 10 shares held in ITC); Demerged entity will be listed in next 15 months.  Outlook Stock trades at 25x/22x its FY2024E and FY2025E earnings. We maintain a Buy rating with a revised SOTP-based PT of Rs. 496. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. ITC - 20 -08 - 2023 - khan","Buy, ITC, Recommendations, Sharekhan",https://www.moneycontrol.com//news/recommendations/buy-itc-targetrs-496-sharekhan_17211811.html
6,ITC,2023-08-16T21:05:15+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Accumulate ITC; target of Rs 478: Prabhudas Lilladher,"Prabhudas Lilladher recommended accumulate rating on ITC with a target price of Rs 478 in its research report dated August 15, 2023.","Prabhudas Lilladher's research report on ITC ITC reported another quarter of strong growth across segments. Cigarette volume growth for 1Q was ~9.8% supported by stability in taxes, and volume recovery from illicit trade. Outlook remains positive although we expect growth to moderate to mid-single digits in medium term. FMCG growth was ahead of industry and margins got a boost due to improving scale, lower raw material costs and PLI incentives, we expect calibrated margin expansion to sustain in coming years. Hotel outlook is positive (despite planned renovations) due to G20 and revival in business &amp;amp;amp; foreign tourist travel. Paper and Paperboard segment has started showing QoQ margin expansion and margins are expected to sustain around current levels. ITC has announced swap ratio of 1:10 for ITC Hotels demerger which is likely to be completed over next 15 months, it will improve ROCE and cash flows. Outlook Near term outlook remains strong, we estimate 10.7% EPS CAGR over FY23- 25. ITC trades at 25.3x FY25 EPS with ROE/ROCE of 30%+/35%+ and ~80%+ dividend payout. Retain Accumulate. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. ITC - 16 -08 - 2023 - prabhu","Accumulate, ITC, Prabhudas Lilladher, Recommendations",https://www.moneycontrol.com//news/recommendations/accumulate-itc-targetrs-478-prabhudas-lilladher_17206261.html
7,ITC,2023-08-16T13:29:28+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy ITC; target of Rs 540: Axis Securities,Axis Securities is bullish on ITC has recommended buy rating on the stock with a target price of Rs 540 in its research report dated August 16 2023.,"Axis Securities report on ITC The company&rsquo;s Q1FY24 results were robust as it remained strong in all segments. The Cigarettes segment continued its strong momentum with volume growth of 8% vs. our estimates of 7%, led by market share gains from illicit trade, targeted market interventions and new product launches. FMCG/Hotels maintained its strong growth momentum, while Agri/Paper board business declined due to the wheat ban and subdued demand in the paperboard business. Gross revenue (excluding agri-business) grew by 10.6% YoY. Demerger of the hotel business &ndash; The share entitlement ratio has been set at 1 share for every 10 shares of ITC. The demerger is expected to be completed by Sep'24, while the listing of the shares is expected to take place in Nov'24. We believe that the ITC business continues to strengthen as all businesses are on track: &ndash; 1) Growth in cigarette volume is stable, thanks to stable taxation, market share gains and new product launches; 2) FMCG business has reached the inflection point as EBIT margins continue to increase, driven by &ndash; the ramp up in the outlet coverage, effective implementation of localization strategy, premiumization, use of demand and supply side technologies, and moderating raw material input cost;3) Demerger of Hotel&rsquo;s business will strengthen ITC&rsquo;s balance sheet and improve return ratios; 4) Stable and decent performance in paperboard and agribusiness continues. In addition, the reasonable valuation provides a margin of safety. Outlook We estimate the company to post Revenue/EBITDA/PAT growth of 10%/12%/12% CAGR over FY23-26E and maintain a BUY rating on the stock with a unchanged TP of Rs 540/share. We value the company at 27x June-25 EPS. The TP implies an upside of 20% from the CMP. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  ITC - 16 -08 - 2023 - axis","Axis Securities, Buy, ITC, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-itc-targetrs-540-axis-securities_17205321.html
8,ITC,2023-08-11T12:15:23+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",ITC bets big on FMCG business for growth,"Speaking at the 112th AGM of the company, ITC chairman Sanjiv Puri told shareholders in his address that the FMCG brands are being exported to several countries and the business vertical has immense growth potential due to the rising per capita income of the people.","Diversified conglomerate ITC Limited on Friday said the FMCG business has immense potential for growth with its brands commanding an annual consumer spend of Rs 29,000 crore.  Speaking at the 112th AGM of the company, ITC chairman Sanjiv Puri told shareholders in his address that the FMCG brands are being exported to several countries and the business vertical has immense growth potential due to the rising per capita income of the people.  &amp;quot;The ITC Next strategy for the FMCG business is to build a future-ready portfolio. With more than 25 brands at the moment, the annual consumer spend is around Rs 29,000 crore&amp;quot;, Puri said.  He said that the addressable market for the FMCG vertical of ITC is USD five trillion. &amp;quot;The business has immense opportunity to harness this potential&amp;quot;, Puri added.  Regarding the hotel business, the ITC board had given in-principle approval to demerge the vertical and spin it off into a new entity.  Puri said that the business is well poised to capitalise on the growth potential of the tourism sector growing.  &amp;quot;We have pivoted to an asset-right strategy. With 120 hotels at the moment under ITC fold, managed properties comprise 55 per cent of the total rooms&amp;quot;, he said.  Regarding the cigarette business, he said the company has been introducing new brands with stability in the taxation regime, sales volumes are increasing.  ITC continues to strengthen the cigarette business, he added.  Puri said the FMCG business is linked to the agri-value chain. The ITC MAARS project will support 4000 FPOs by 2030, he said.","Business, Companies, ITC",https://www.moneycontrol.com//news/business/itc-bets-bigfmcg-business-for-growth_17179431.html
9,ITC,2023-07-31T22:33:59+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Accumulate ITC; target of Rs 478: Prabhudas Lilladher,"Prabhudas Lilladher recommended accumulate rating on ITC with a target price of Rs 478 in its research report dated July 27, 2023.","Prabhudas Lilladher's research report on ITC We believe demerger of Hotel business is positive for unlocking shareholder value as 1) it solves capital allocation issue (given hotels business has seen capex of Rs75bn since it was merged into this entity) 2) de-merger will increase ROCE by 19ppt, as Hotels business has ROCE of just ~9.7% with 2.3% contribution to EBIT and 3) lower room additions in the past and low penetration makes outlook positive for medium term. Near to medium term outlook for hotel industry looks favourable with G20, revival in business &amp;amp;amp; foreign tourist travel. Moreover, the new entity will continue to follow an asset light strategy for the business, while ITC will hold 40% stake and is open to further partnerships in the separated entity for long term.  Outlook We believe strong growth momentum in cigarette business and steady margin expansion in FMCG are positives. ITC trades at 25.3x FY25 EPS with ROE/ROCE of 30%+/35%+ and ~80%+ dividend payout. We increase our SOTP based target price to Rs478 (Rs455 earlier, cigarette multiples increased to 22x). Retain &lsquo;Accumulate&rsquo;. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  ITC - 28 -07 - 2023 - prabhu","Accumulate, ITC, Prabhudas Lilladher, Recommendations",https://www.moneycontrol.com//news/recommendations/accumulate-itc-targetrs-478-prabhudas-lilladher_17144521.html
