,company,datePublished,author,headline,description,articleBody,tags,url
0,IVR,2019-11-15T21:28:06+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",IVRCL narrows Q2 net loss to Rs 394 cr,"Total income during July-September declined to Rs 115.32 crore, as against Rs 245.35 crore in the year-ago period.","IVRCL on November 15 reported a standalone net loss of Rs 394.43 crore for the second quarter ended September. The company had posted a net loss of Rs 443.03 crore in the corresponding quarter of the previous fiscal, IVRCL said in a BSE filing.  Total income during July-September declined to Rs 115.32 crore, as against Rs 245.35 crore in the year-ago period.  Total expenses declined to Rs 502.88 crore during the quarter as against Rs 590.12 crore earlier.","Business, earnings, India, IVRCL, Market news",https://www.moneycontrol.com//news/business/ivrcl-narrows-q2-net-loss-to-rs-394-cr_13186141.html
1,IVR,2018-05-09T15:56:31+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",Resolution professional seeks plans for IVRCL,"Resolution Professional Sutanu Sinha has published an advertisement today inviting resolution plans for the company, IVRCL said in a BSE filing.","Debt-laden IVRCL, which is undergoing insolvency process, today said its resolution professional has sought resolution plans from potential applicants. Last date for submission of expression of interest(EoI) is May 24, 2018.  Resolution Professional Sutanu Sinha has published an advertisement today inviting resolution plans for the company, IVRCL said in a BSE filing.  Corporate Insolvency Resolution Process (CIRP) has been initiated against IVRCL as per provisions of Insolvency and Bankruptcy Code (IBC) by an order dated February 23, 2018 of National Company Law Tribunal.  The infrastructure company last December said it has entered a pact with Singapore-based Cube Highways and Infrastructure to sell its entire stake in two subsidiaries for Rs 726.18 crore.  IVRCL operations are diversified across various infrastructure segments including water and environment, irrigation, transportation, buildings and industrial structures, power distribution, among others.","Business, Companies, IVRCL",https://www.moneycontrol.com//news/business/resolution-professional-seeks-plans-for-ivrcl_10878321.html
2,IVR,2017-12-20T19:37:19+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",IVRCL to sell stake in arms to Singapore firm for Rs 726.18 cr,"&amp;quot;The company has entered into a share purchase agreements with Cube Highways and Infrastructure Pte Ltd for sale of the entire stake in two subsidiary companies viz., Salem Tollways Ltd (STL) and Kumarapalayam Tollways Ltd (KTL),&amp;quot; IVRCL said in a statement.","Infrastructure company IVRCL today said it has entered into a pact with Singapore-based Cube Highways and Infrastructure to sell its entire stake in two subsidiaries for Rs 726.18 crore.  &amp;quot;The company has entered into a share purchase agreements with Cube Highways and Infrastructure Pte Ltd for sale of the entire stake in two subsidiary companies viz., Salem Tollways Ltd (STL) and Kumarapalayam Tollways Ltd (KTL),&amp;quot; IVRCL said in a statement.  &amp;quot;The value of IVRCL's stake in STL...shall be computed on the basis of enterprise value of Rs 342.95 crore,&amp;quot; it said.  For Kumarapalayam Tollways Ltd (KTL), the second subsidiary of IVRCL, the value of shares which is Rs 383.23 crore &amp;quot;subject to adjustments on account of financial indebtedness and working capital and expenses for upcoming major maintenance of each of the project,&amp;quot; the company added.  The agreement was signed yesterday and the expected timeframe date for completion of the sale/disposal is before September quarter 2018, IVRCL said.  However, the completion of transaction and payment of consideration is contingent upon fulfilment of certain customary approvals from all concerned authorities and lenders of STL, KTL and IVRCL.  While, KTL operates on 48.5 km Kumarapalayam-Chengapalli stretch on NH 544, STL operates on 53.5 km stretch on the same highway between Salem and Kumarapalayam in Tamil Nadu.  Cube Highways and Infrastructure Pte Ltd (Cube Highways) is a Singapore-based company investing in road and highway projects.","Business, Companies, India",https://www.moneycontrol.com//news/business/ivrcl-to-sell-stakearms-to-singapore-firm-for-rs-72618-cr_10245141.html
3,IVR,2017-08-29T16:16:30+05:30,"{'@type': 'Person', 'name': 'Beena Parmar'}",RBI sends second list of about 40 loan defaulters for insolvency proceedings: Srcs,"The Reserve Bank of India has sent the second list of over 40 large corporate defaulters that include Videocon, JP Associates, IVRCL and Visa Steel, among others, to be referred to the National Company Law Tribunal (NCLT), reports CNBC-TV18 quoting sources.","The Reserve Bank of India has sent the second list of over 40 large corporate defaulters that include Videocon, JP Associates, IVRCL and Visa Steel, among others, to be referred to the National Company Law Tribunal (NCLT), reports CNBC-TV18 quoting sources.  Among other loan defaulting companies -- Uttam Galva, Castex, Jayswal Neco, Ruchi Soya, Nagarjuna Oil &amp;amp;amp; Orchid Chemicals, East Coast Energy, SEL Manufacturing, Soma Enterprises, Asian Colour, Ispat Coated and Unity Infraprojects &ndash; are among the fresh list identified by the central bank to be referred to the NCLT under the Insolvency and Bankruptcy Code (IBC).  Most of the companies on the list are said to be from infrastructure and power sectors.  The total defaulter list may have 35-40 accounts and State Bank of India alone gets a list of 25-26 accounts, CNBC-TV18 sources added.  Shares of Visa Steel fell 1.24 percent in Tuesday&rsquo;s trade to Rs 19.90 after the news, Videocon Industries&rsquo; shares fell 3 percent to Rs 18.35 apiece, Uttam Galva slipped 0.56 percent to Rs 26.70 per share.  In June, the central bank had identified 12 large stressed accounts to be taken to the NCLT. Each of these companies owed over Rs 5,000 crore with a total of around Rs 175,000 crore, accounting for 25 percent of the bad loans in the Indian banking system.","bad loans, Business, insolvency, NPAs, State Bank of India, Videocon",https://www.moneycontrol.com//news/business/rbi-sends-second-listabout-40-loan-defaulters-for-insolvency-proceedings-srcs_9566481.html
4,IVR,2017-08-03T11:58:19+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","IVRCL's board meeting on August 14, 2017","Board Meeting on August 14, 2017to consider the Un-audited Financial Results for the quarter ended June 30, 2017 and Closure of Trading Window,","Board Meeting on August 14, 2017to consider the Un-audited Financial Results for the quarter ended June 30, 2017 and Closure of Trading Window,Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/ivrcl39s-board-meetingaugust-14-2017_9391161.html
5,IVR,2017-02-14T22:00:12+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",IVRCL Q3 net loss shrinks to Rs 249 crore,Infrastructure major IVRCL today reported narrowing of its net loss to Rs 249.27 crore for the third quarter ended December 2016.,"Infrastructure major IVRCL today reported narrowing of its net loss to Rs 249.27 crore for the third quarter ended December 2016. The company had registered a net loss of Rs 345.47 crore in the same period a year ago. Net income from operations during the quarter also declined to Rs 397.88 crore as against Rs 501.46 crore in the year-ago period. Total expenditure fell to Rs 479.88 crore during October-December 2016 as against Rs 700.49 crore in the previous fiscal. The stock of IVRCL closed at Rs 5.50, down 1.96 percent, on BSE.","BSE, Infrastructure major, IVRCL, net loss, Results, third quarter",https://www.moneycontrol.com//news/results/ivrcl-q3-net-loss-shrinks-to-rs-249-crore_8496621.html
6,IVR,2016-12-15T09:00:03+05:30,"{'@type': 'Person', 'name': 'Faizan Javed'}",IVRCL Q2 net loss widens to Rs 354 cr,The Hyderabad-based construction company had posted a net loss of Rs 306.54 crore in the year-ago period.,"Infrastructure company IVRCL today reported widening of its net loss to Rs 354.47 crore during the second quarter ended September 30, mainly due to lower income from operations. The Hyderabad-based construction company had posted a net loss of Rs 306.54 crore in the year-ago period. Its total income from operations fell by 21.77 percent during the quarter under review to Rs 501.45 crore from Rs 641 crore in the corresponding period of the previous fiscal. The shares of the company were trading 1.46 percent down at Rs 4.74 apiece on BSE.","Infrastructure company, IVRCL, net loss, Results, second quarter",https://www.moneycontrol.com//news/results/ivrcl-q2-net-loss-widens-to-rs-354-cr_8118061.html
7,IVR,2016-12-08T08:35:20+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",IVRCL lenders mull stake sale in unit to Essel Infraprojects,"Creditors of debt-laden infrastructure developer IVRCL are likely in talks with Essel Infraprojects to sell a controlling stake in the company&acirc;&euro;&trade;s listed unit Hindustan Dorr-Oliver (HDO), an article in the Mint says.","Creditors of debt-laden infrastructure developer IVRCL are likely in talks with Essel Infraprojects to sell a controlling stake in the company&amp;amp;rsquo;s listed unit Hindustan Dorr-Oliver (HDO), an article in the Mint says. Last December, lenders to IVRCL had decided to take the strategic debt restructure (SDR) route to convert their debt in the company to equity consequently taking control of over 51 percent stake in the company collectively. They are now trying to sell the company&amp;amp;rsquo;s assets through piecemeal approach to recover their dues while looking for a new owner. &amp;amp;nbsp; IVRCL has around 55 percent stake in Hindustan Dorr-Oliver, a prominent engineering, procurement and construction player with a plant near Ahmedabad. Balance stake in HDO is owned by foreign institutional investors and other investors. &amp;amp;nbsp;","Business, Essel Infraprojects, Hindustan Dorr-Oliver, infrastructure, IVRCL, SDR",https://www.moneycontrol.com//news/business/ivrcl-lenders-mull-stake-saleunit-to-essel-infraprojects_8082601.html
8,IVR,2016-09-27T21:29:44+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",IVRCL: Outcome of AGM,"IVRCL has informed that the 29th Annual General Meeting (AGM) of the Company was held on September 26, 2016.","IVRCL Ltd has informed BSE that the 29th Annual General Meeting (AGM) of the Company was held on September 26, 2016.Source : BSE Read all announcements in IVRCL",Announcements,https://www.moneycontrol.com//news/announcements/ivrcl-outcomeagm_7530461.html
9,IVR,2016-06-14T08:36:03+05:30,"{'@type': 'Person', 'name': 'Faizan Javed'}",IVRCL allots 6.46 lakh shares to Bank of Nova Scotia,"&amp;quot;Pursuant to provisions of Companies Act, 2013 and Sebi (Issue of Capital Disclosure Requirement) Regulations, 2009 and implementation of SDR, the company has made an allotment of 6,46,810 equity shares at a price of Rs 8.765 each, to Bank of Nova Scotia,&amp;quot; it said in a regulatory filing.","Infrastructure firm IVRCL said it has allotted 6.46 lakh shares to Bank of Nova Scotia as part of Strategic Debt Restructuring (SDR). &amp;quot;Pursuant to provisions of Companies Act, 2013 and Sebi (Issue of Capital Disclosure Requirement) Regulations, 2009 and implementation of SDR, the company has made an allotment of 6,46,810 equity shares at a price of Rs 8.765 each, to Bank of Nova Scotia,&amp;quot; it said in a regulatory filing. In December last year, the debt-ridden firm said that its lenders have invoked SDR in the company. Strategic debt conversion option gives lenders the right to convert their outstanding loans into a majority equity stake if the borrower fails to meet conditions stipulated under the restructuring package and take control of the company operations. The Hyderabad-based construction and infrastructure company is passing through one of its toughest business cycles over the past 12 quarters. The company has initiated a number of measures to streamline its business while restructuring its functioning.","2013, Bank of Nova Scotia, Business, Companies Act, infrastructure, IVRCL, SEBI",https://www.moneycontrol.com//news/business/ivrcl-allots-646-lakh-shares-to-banknova-scotia_6858101.html
10,IVR,2016-05-19T16:02:14+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","IVRCL's board meeting on May 30, 2016","IVRCL Ltd has informed BSE that a meeting of the Board of Directors of the Company is scheduled to be held on May 30, 2016, inter alia, for consideration of audited financial results for the year ended March 31, 2016.","IVRCL Ltd has informed BSE that a meeting of the Board of Directors of the Company is scheduled to be held on May 30, 2016, inter alia, for consideration of audited financial results for the year ended March 31, 2016.The trading window for trading in securities of the Company shall stand closed from May 24, 2016 to June 01, 2016 (both days inclusive) as the Board meeting of the Company is scheduled to be held as mentioned above, which is price sensitive in nature.Source : BSE Read all announcements in IVRCL",Announcements,https://www.moneycontrol.com//news/announcements/ivrcls-board-meetingmay-30-2016_6700621.html
11,IVR,2016-03-01T22:21:06+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",IVRCL: Updates on outcome of EGM,"IVRCL has submitted a copy of Minutes of the Extra Ordinary General Meeting (EGM) of the Company held on January 18, 2016.","IVRCL Ltd has submitted to BSE a copy of Minutes of the Extra Ordinary General Meeting (EGM) of the Company held on January 18, 2016.Source : BSE Read all announcements in IVRCL",Announcements,https://www.moneycontrol.com//news/announcements/ivrcl-updatesoutcomeegm_5728781.html
