,company,datePublished,author,headline,description,articleBody,tags,url
0,JI07,2021-11-02T20:16:08+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",Jaypee Infratech Q2 loss widens to Rs 613.87 crore,The company's total expenses increased to Rs 865.98 crore during July-September quarter of this fiscal year from Rs 693.32 crore in the year-ago period.  ,"Crisis-hit Jaypee Infratech Ltd (JIL) on Tuesday reported a consolidated net loss of Rs 613.87 crore for the quarter ending September on higher expenditure.  Its net loss stood at Rs 490.78 crore in the year-ago period.  Total income rose to Rs 252.11 crore in the second quarter of this fiscal year from Rs 202.54 crore in the corresponding period of the previous year, according to a regulatory filing.  The company's total expenses increased to Rs 865.98 crore during July-September quarter of this fiscal year from Rs 693.32 crore in the year-ago period.  In June, Suraksha group won the bid to acquire Jaypee Infratech, raising hopes of thousands of homebuyers that they may finally get possession of their flats after many years of delay.  This was the fourth round of bidding to find a buyer for JIL, which went into the Corporate Insolvency Resolution Process (CIRP) in August 2017.  After the CoC's (Committee of Creditors) approval, the Suraksha group's offer has to be cleared by the National Company Law Tribunal (NCLT).  A successful resolution of JIL will provide a big relief to over 20,000 homebuyers across various housing projects launched by the realty developer in Noida and Greater Noida (Uttar Pradesh).","Business, Jaypee Infratech, Results",https://www.moneycontrol.com//news/business/jaypee-infratech-q2-loss-widens-to-rs-61387-crore_15719021.html
1,JI07,2020-07-29T14:12:16+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}","Jaypee Infra minority shareholders move NCLAT for right compensation, NCLAT issues notices","A three-member NCLAT bench has issued notices to NBCC, IDBI Bank and resolution professional of Jaypee Infratech as well as to the bourses NSE and BSE.","A bunch of minority shareholders of Jaypee Infratech has moved the National Company Law Appellate Tribunal (NCLAT) to seek right compensation in the delisting process of the debt-ridden firm.  A three-member NCLAT bench has issued notices to NBCC, IDBI Bank and resolution professional of Jaypee Infratech as well as to the bourses NSE and BSE.  The appellate tribunal has directed to list the plea of minority shareholders for admission on August 17 along with another petition in the ongoing insolvency proceedings.  State-owned NBCC, which has got an approval from creditors and the National Company Law Tribunal (NCLT) to acquire Jaypee Infratech, has challenged some modification by the tribunal in its &lsquo;Resolution Plan' regarding payment to unclaimed Fixed Deposit Holders.  &ldquo;&hellip; waives and accepts notice on behalf of erstwhile &lsquo;Interim Resolution Professional&hellip; Learned counsel for the Appellant shall provide a complete set of paper-book on Respondent No 1 (RP) within a week. Let notice be issued on rest of the Respondents,&rdquo; said NCLAT bench headed by Acting Chairperson Justice B L Bhat.  In their plea, the minority shareholders have asked for exit price at fair market value.  These shareholders have urged the appellate tribunal to either set aside or modify the order passed by the NCLT approving the resolution plan of NBCC&nbsp;on March 3, 2020.  &amp;quot;The impugned order dated March 3, 2020 passed by the adjudicating authority (NCLT) be set aside/quashed or suitably modified to protect the interests of the appellants herein being the minority shareholders of the company,&amp;quot; said the petition filed through advocates Rohan Jaitely and Akshay Sharma.  The shareholders have also requested NCLAT to &ldquo;direct Respondent No 4 (BSE) and Respondent No 5 (NSE) not to delist the shares of the corporate debtor (Jaypee Infratech) till the appellants (minority shareholders) are adequately compensated by Respondent No 2 (NBCC).&rdquo;  They have also requested NCLAT to give directions to the resolution professional of the company and NBCC to &amp;quot;consider giving a fair market value of the equity shares&amp;quot; held by them.  According to them, Jaypee Infratech has adequate assets to take care of the liabilities and interests of all stakeholders, but the interest of the minority shareholders was &amp;quot;neglected&amp;quot; in the approved resolution plan.  As per the&nbsp;Insolvency and Bankruptcy Code rules, they were not involved in the approval of the resolution plan.  However, it &amp;quot;does not empower the respondents to completely ignore the interest of the minority shareholders&amp;quot;, the petition said.  The Delhi-based Principal bench of NCLT had on March 3 approved the NBCC plan to take over Jaypee Infratech and complete around 20,000 pending flats over the next three-and-a-half years.  As per the plan, the debt-laden firm will be delisted.  The petition by 30 minority shareholders said that as per the resolution plan, the entire share capital of Jaypee Infratech aggregating to Rs 1,388.99 crore would stand cancelled against a payment of Rs 1 crore and the complete ownership of the company would be transferred to NBCC by allotting all the shares for just Rs 120 crore.  &amp;quot;It is pertinent to mention here that the net worth of the corporate debtor (Jaypee Infratech) based on the fair value assessed by the valuer appointed by the resolution professional itself is Rs 8,257 crore,&amp;quot; the petition said.  &amp;quot;NCLT failed to appreciate that NBCC is attempting to acquire the corporate debtor having a net worth of Rs 8,257 crore for a paltry sum of Rs 120 crore,&amp;quot; it added.  In the present case, both the company and the minority shareholders are at a great loss, they said.  According to them, as per a valuation done by IIFCL on March 31, 2017, Jaypee Infratech's net realisable assets stood at Rs 20,277 crore and its net liabilities were Rs 9,900 crore. The amount required by the homebuyers is Rs 3,330 crore.  &amp;quot;As per the valuation done on March 31, 2017 out of the total paid-up equity share capital, there are approximately 139 crore shares out of which the minority shareholders are holding up to 25 crore shares and as per the above estimate and valuation, they should be given a minimum exit price of Rs 25-30 per share, which will not cost more than Rs 500-700 crore,&amp;quot; the petition said.  Jaypee Infratech went into insolvency proceedings in August 2017.  In December last year, a committee of creditors (CoC) comprising 13 banks and around 21,000 homebuyers, approved the resolution plan of NBCC with 97.36 per cent votes in favour.  NBCC's proposal was approved by the lenders in the third round of the bidding process to find a buyer for Jaypee Infratech. In its bid, NBCC had proposed to complete over 20,000 pending flats in housing projects launched by Jaypee Infratech in&nbsp;Noida&nbsp;and&nbsp;Greater Noida.","Business, Companies",https://www.moneycontrol.com//news/business/jaypee-infra-minority-shareholders-move-nclat-for-right-compensation-nclat-issues-notices_14095061.html
2,JI07,2020-02-11T19:31:05+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",Jaypee Infratech Q3 loss widens to Rs 427 cr,Total income also declined to Rs 304.9 crore in the third quarter of this fiscal year from Rs 419.97 crore in the corresponding period of the previous year.  ,"Jaypee Infratech Ltd on Tuesday reported a consolidated net loss of Rs 426.95 crore in the quarter ended December. Its net loss stood at Rs 347.92 crore in the year-ago period.  Total income also declined to Rs 304.9 crore in the third quarter of this fiscal year from Rs 419.97 crore in the corresponding period of the previous year.  The company's total expenses fell to Rs 731.85 crore from Rs 767.89 crore during the period under review.  In December, state-owned NBCC got an approval from financial creditors to takeover debt-laden Jaypee Infratech Ltd rekindling hopes of homebuyers finally getting their promised flats over the next 4 years.","Business, Jaypee Infratech Ltd, Results",https://www.moneycontrol.com//news/business/jaypee-infratech-q3-loss-widens-to-rs-427-cr_13485001.html
3,JI07,2019-11-05T18:13:07+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",Arbitration Tribunal directs Yamuna Expressway authority to refund Rs 41 crore to Jaypee Infratech,The Tribunal has directed YEIDA to ensure that the development work is not obstructed by the Noida development authority. ,"An arbitration panel has directed the Yamuna Expressway Industrial Development Authority to pay back Rs 41.15 crore along with interest to embattled real estate firm Jaypee Infratech, stating that the demand raised by the Authority was &lsquo;illegal and invalid&rsquo;.  Order on the matter was passed by the tribunal led by OP Garg included VK Gupta and Justice PK Srivastava as co-arbitrators, on November 2.  Stating that the claimant (Jaypee Infratech) paid the amount under protest, the tribunal directed the YEIDA to refund, within three months of passing the award, the amount of Rs 41.14 crore to the company with interest at the rate of 9 percent per annum from the dates of actual payment.  The tribunal said if YEIDA failed to refund this amount within three months, then the authority would be liable to pay the principal amount and the interest, with a further interest of 12 percent per annum till the amount is actually refunded to the company.  As per the judgment, the authority had demanded Rs 2,591.78 crore in January 2015 and another Rs 247 crore in May 2017 from Jaypee Infratech as 'no litigation incentive' or additional compensation to be paid to the farmers whose land was acquired by the authority and then allotted to the developer for constructing Yamuna Expressway projects and other purposes.  But Jaypee Infratech had in its plea sought relief on grounds that these demands raised by the authority were contrary to the provisions in the concession agreement and therefore, illegal. The company sought refund of the amount paid by it along with the interest.  In the order, the tribunal also directed the YEIDA to ensure that the development work is not obstructed by the Noida development authority.  The real estate firm claimed that it had paid the Rs 41.14 crore against the Yamuna Expressway Industrial Development Authority (YEIDA) demand under compulsion and economic duress to obtain sanctions, approvals, completion certificates from Noida Development Authority for its various real estate projects.  &amp;quot;We, therefore, have no hesitation in holding and coming to the conclusion that the claimant (Jaypee Infratech) was not at all liable and is not at all liable to pay,&amp;quot; the order said.  As per the concession agreement, Jaypee Infratech was granted a concession for a period of 36 years commencing operation from the date of August 9, 2012. Under the agreement, 25 million square metres of land was transferred to Jaypee Infratech for development of expressway as well as housing, amusement, commercial, institutional, areas.  Jaypee Infratech went into insolvency in 2017 after the National Company Law Tribunal (NCLT) admitted an application by an IDBI Bank-led consortium seeking resolution of the firm.","Business, India, Jaypee Infratech, National Company Law Tribunal (NCLT), Yamuna Expressway Industrial Development Authority",https://www.moneycontrol.com//news/business/arbitration-tribunal-directs-yamuna-expressway-authority-to-refund-rs-41-crore-to-jaypee-infratech_13147841.html
4,JI07,2019-07-29T12:44:09+05:30,"{'@type': 'Person', 'name': 'Subhash Helgaokar'}","Jaypee Infra Standalone June 2019 Net Sales at Rs 591.30 crore, up 66.4% Y-o-Y",,"  Reported Standalone quarterly numbers for Jaypee Infratech are:  Net Sales at Rs 591.30 crore in June 2019 up 66.4% from Rs. 355.34 crore in June 2018.  Quarterly Net Loss at Rs. 423.87 crore in June 2019 down 42.08% from Rs. 298.33 crore in June 2018.  EBITDA stands at Rs. 5.32 crore in June 2019 down 92.87% from Rs. 74.57 crore in June 2018.  Jaypee Infra shares closed at 1.45 on July 26, 2019 (NSE) and has given -56.72% returns over the last 6 months and -67.42% over the last 12 months.          Jaypee Infratech   Standalone Quarterly Results in Rs. Cr.            Jun'19 Mar'19 Jun'18   Net Sales/Income from operations 591.30 386.87 355.34   Other Operating Income -- -- --   Total Income From Operations 591.30 386.87 355.34   EXPENDITURE   Consumption of Raw Materials -- -- --   Purchase of Traded Goods -- -- --   Increase/Decrease in Stocks -- -- --   Power &amp;amp;amp; Fuel -- -- --   Employees Cost 8.75 10.30 4.22   Depreciation 12.93 13.14 13.00   Excise Duty -- -- --   Admin. And Selling Expenses -- -- --   R &amp;amp;amp; D Expenses -- -- --   Provisions And Contingencies -- -- --   Exp. Capitalised -- -- --   Other Expenses 577.37 292.93 276.60   P/L Before Other Inc. , Int., Excpt. Items &amp;amp;amp; Tax -7.75 70.50 61.52   Other Income 0.14 0.07 0.05   P/L Before Int., Excpt. Items &amp;amp;amp; Tax -7.61 70.57 61.57   Interest 416.26 397.52 359.90   P/L Before Exceptional Items &amp;amp;amp; Tax -423.87 -326.95 -298.33   Exceptional Items -- -- --   P/L Before Tax -423.87 -326.95 -298.33   Tax -- 21.86 --   P/L After Tax from Ordinary Activities -423.87 -348.81 -298.33   Prior Year Adjustments -- -- --   Extra Ordinary Items -- -- --   Net Profit/(Loss) For the Period -423.87 -348.81 -298.33   Equity Share Capital 1,388.93 1,388.93 1,388.93   Reserves Excluding Revaluation Reserves -- -- --   Equity Dividend Rate (%) -- -- --   EPS Before Extra Ordinary   Basic EPS -3.05 -2.51 -2.15   Diluted EPS -3.05 -2.51 -2.15   EPS After Extra Ordinary   Basic EPS -3.05 -2.51 -2.15   Diluted EPS -3.05 -2.51 -2.15   Public Share Holding   No Of Shares (Crores) -- -- --   Share Holding (%) -- -- --   Promoters and Promoter Group Shareholding   a) Pledged/Encumbered   - Number of shares (Crores) -- -- --   - Per. of shares (as a % of the total sh. of prom. and promoter group) -- -- --   - Per. of shares (as a % of the total Share Cap. of the company) -- -- --   b) Non-encumbered   - Number of shares (Crores) -- -- --   - Per. of shares (as a % of the total sh. of prom. and promoter group) -- -- --   - Per. of shares (as a % of the total Share Cap. of the company) -- -- --   Source :  Dion Global Solutions Limited        &amp;amp;nbsp;","Earnings First-Cut, Infrastructure - General, Jaypee Infra, Jaypee Infratech, Results",https://www.moneycontrol.com//news/results/jaypee-infra-standalone-june-2019-net-sales-at-rs-59130-crore664-y-o-y_12805701.html
5,JI07,2019-07-09T21:15:05+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",NCLAT reserves order on Jaypee Infra land mortgaged with Jaiprakash's lenders,"A two-member NCLAT bench headed by Chairman Justice S J Mukhopadhaya also reserved its order over the plea of leading lenders to include them in the Committee of Creditors (CoC) of the Jaypee Infratech, which is presently going through insolvency resolution.  ","The National Company Law Appellate Tribunal (NCLAT) on July 9 reserved its order over the issue of Jaypee Infratech's land mortgaged by Jaiprakash Associates Ltd (JAL) to its lenders.  A two-member NCLAT bench headed by Chairman Justice S J Mukhopadhaya also reserved its order over the plea of leading lenders to include them in the Committee of Creditors (CoC) of the Jaypee Infratech, which is presently going through insolvency resolution.  The appellate tribunal directed all the banks to file their written submissions by Friday over their claims.  &amp;quot;Heard the learned counsel appearing on behalf of the RP and other Respondents. Hearing concluded. Judgment reserved. Parties may file their short written submissions, not more than 3 pages, by July 12, 2019,&amp;quot; said NCLAT.  The lenders include Axis Bank, Standard Chartered Bank, ICICI Bank that had challenged NCLT Allahabad order.  Banks have given loans to Jaiprakash Associates, JP Group's flagship firm against the land bank owned by Jaypee Infratech.  The NCLAT was hearing the appeal over the order of the Allahabad bench of the National Company Law Tribunal (NCLT), which had in May 2018 asked JAL to return nearly 760 acres of land to its subsidiary JaypeeInfratech, declaring the transfer of the land as &amp;quot;fraudulent&amp;quot; and &amp;quot;undervalued&amp;quot;.  The NCLT had directed JAL to release and discharge interest created over the land to lenders including ICICI Bank.  However, on May 24, the NCLAT had stayed the order.","Business, Jaypee Infratech, NCLAT",https://www.moneycontrol.com//news/business/nclat-reserves-orderjaypee-infra-land-mortgagedjaiprakash39s-lenders_12730761.html
6,JI07,2019-07-09T21:01:05+05:30,"{'@type': 'Person', 'name': 'PTI'}",Jaypee homebuyers matter: SC asks Centre to come out with uniform proposal,"The bench made the observation while hearing a plea which has sought that Jaypee Infratech Ltd (JIL) be not sent into liquidation, although the deadline for the corporate insolvency resolution process is over, as it would cause 'irreparable loss' to thousands of home buyers.  ","The Supreme Court on July 9 asked the Centre to come out with a &amp;quot;uniform&amp;quot; proposal for all cases to resolve the difficulties being faced by lakhs of homebuyers who have not yet got possession of flats despite paying huge amounts of money to real estate builders. The apex court, which was hearing a homebuyers matter related to Jaypee Infratech Ltd, said the issue concerns lakhs of flat buyers and the Centre should give a proposal to resolve it.  &amp;quot;We want suggestions from the Union of India which could be uniform for all such cases,&amp;quot; a bench comprising justices A M Khanwilkar and Dinesh Maheshwari said.  &amp;quot;This issue will be bothering lakhs of homebuyers. Within the IBC (Insolvency and Bankruptcy Code), we cannot do anything. But outside it, you (Centre) can suggest something. We can consider that,&amp;quot; the bench told Additional Solicitor General (ASG+) Madhavi Divan, who was appearing for the Centre.  The bench made the observation while hearing a plea which has sought that Jaypee Infratech Ltd (JIL) be not sent into liquidation, although the deadline for the corporate insolvency resolution process is over, as it would cause &amp;quot;irreparable loss&amp;quot; to thousands of home buyers.  The ASG told the court that proper authority to respond to the plea would be the resolution professional or the bank concerned.  &amp;quot;Can some other arrangement be suggested by the Union of India without disturbing the ongoing process?,&amp;quot; the bench asked, adding, &amp;quot;We are keen to know whether you have something to suggest&amp;quot;.  &amp;quot;Policy issue has to be resolved by the Union of India,&amp;quot; the bench said and posted the matter for hearing on July 11.  The apex court had on August 9 last year ordered re-commencement of the resolution process against JIL and barred the firm, its holding company and promoters from participating in the fresh bidding process.  It had also allowed the Reserve Bank of India to direct banks to initiate corporate insolvency resolution proceedings (CIRP) against Jaiprakash Associates Ltd (JAL), the holding company of JIL, under the IBC.  It had said there was &amp;quot;no manner of doubt&amp;quot; that JAL and JIL lacked financial capacity and resources to complete unfinished housing projects in which over 21,000 home buyers had not been given the possession of their flats till then.  The fresh plea filed in the top court has sought a direction that an &amp;quot;independent and thorough forensic audit&amp;quot; of JIL should be conducted from the date of its incorporation.  Referring to the apex court's last year order, the plea has said, &amp;quot;The court had made a conscious effort to avoid liquidation of Jaypee Infratech Limited. However, the events as have unfolded subsequent to the passing of the judgment have frustrated the efforts as made by the court.&amp;quot;  As per apex court's direction, the 270 days for completion of CIRP have concluded on May 6, it has said.  &amp;quot;Till date only two serious bids have been received by the Committee of Creditors. One bid has been submitted by National Buildings Construction Corporation Limited, whereas the other has been submitted by Suraksha ARC. None of the said bids have been accepted by the Committee of Creditors till date,&amp;quot; the plea has said, claiming that &amp;quot;threat&amp;quot; of JIL going into liquidation is &amp;quot;turning into a reality with each passing day&amp;quot;.  It said if no resolution plan is accepted till May 6, JIL would &amp;quot;automatically go into liquidation&amp;quot;, leaving thousands of home buyers without any remedy.  Seeking forensic audit of JIL, the plea alleged that &amp;quot;diversion of funds in the present case is on an even larger scale than that of projects developed by Amrapali Group of Companies&amp;quot;.","Business, Current Affairs, India, Jaypee Infratech Ltd, Supreme Court",https://www.moneycontrol.com//news/business/jaypee-homebuyers-matter-sc-asks-centre-to-come-outuniform-proposal_12730721.html
7,JI07,2019-05-29T13:55:05+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",Jaypee Infra insolvency: Lenders put 5 conditions to NBCC for considering bid,"As per the direction of the National Company Law Appellate Tribunal (NCLAT), lenders are negotiating with the NBCC on the latter's bid to acquire Jaypee Infratech and complete stuck housing projects comprising over 20,000 units.","Lenders of Jaypee Infratech have asked state-owned NBCC to sweeten its bid to acquire the debt-laden realty firm and have demanded that the public sector firm should offer 1,426 acre land instead of 950 acre besides taking onus of getting approvals from income tax and development authorities.  As per the direction of the National Company Law Appellate Tribunal (NCLAT), lenders are negotiating with the NBCC on the latter's bid to acquire Jaypee Infratech and complete stuck housing projects comprising over 20,000 units.  The IDBI-led lenders' consortium has written to NBCC that its bid would be considered &amp;quot;favourably&amp;quot; if the public sector firm meets its five conditions. The letter was written to NBCC on Monday, two days before the meeting of the committee of creditors (CoC).  &amp;quot;The resolution plan should reinstate 1,426 acres of land that was earlier offered to the secured financial creditors under the debt asset swap,&amp;quot; law firm Cyril Amarchand Mangaldas has written on behalf of lenders consortium comprising 13 banks.  The land parcel should be made available to secured financial creditors pro-rata to their debt, it added.  NBCC should undertake to get the requisite approval from Yamuna Express Industrial Development Authority (YEIDA) if the &amp;quot;deemed approval&amp;quot; from YEIDA as proposed in the bid for transfer of Yamuna Expressway and land to special purpose vehicles (SPVs) are not approved by the adjudicating authority, the letter said.  Lenders have also put a condition that NBCC should also undertake to get necessary nod from the Income Tax authorities for implementation of the bid if the relief sought by the public sector firm for any future tax liability is not approved by the adjudicating authority.  The creditors would consider providing financial assistance to NBCC in respect of unsold flats, provided such assistance is guaranteed by the centre.  &amp;quot;Any income tax liability or GST liability or corporate tax liability which arises in future on account of transfer of land parcels, the same shall be borne by the resolution applicant and not by the secured financial creditors,&amp;quot; the letter said.  The CoC will meet on May 30 to discuss NBCC's bid. As many as 13 banks and 23,000 homebuyers have voting rights in the committee.  Earlier this month, the CoC rejected a bid by Mumbai-based Suraksha Realty through a voting process. Later, the panel decided to put on vote NBCC's offer even as bankers were opposed to this move citing certain conditions in the resolution plan submitted by the public sector firm.  On the bankers' plea, the NCLAT had on May 17 annulled voting by homebuyers and lenders on NBCC's bid and allowed renegotiation on the offer by May 30. The voting process could start from May 31.  Sources had earlier said that NBCC was unlikely to dilute certain conditions, including exemption from future tax liability, mentioned in its bid, but the public sector firm was open to negotiating on the offer related to unsold flats.  Lenders have shown reluctance to acquire up to 2,207 unsold flats worth Rs 1,756 crore as proposed by NBCC in its revised offer.  In its latest offer, NBCC had proposed infusion of Rs 200 crore equity capital, transfer of 950 acres of land worth Rs 5,000 crore as well as Yamuna Expressway to banks and completion of flats by July 2023 in order to settle an outstanding claim of Rs 23,723 crore of financial creditors, including banks and home buyers.  On this bid, lenders had reservations on certain relief and concessions sought by NBCC and had sought clarifications from the firm.  However, NBCC decided not to dilute the conditions of exemption from future income tax liability as well as from taking consent of development authorities for transfer of businesses, including land parcels and Yamuna Expressway.  Clarifications from the NBCC were sought in the wake of Jaypee Infratech's Interim Resolution Professional (IRP) Anuj Jain flagging to the lenders that the state-owned firm's bid was conditional and non-binding because of conditions like extinguishing of tax liability and exemption from seeking YEIDA consent for any business transfer.  In 2017, Jaypee Infratech went into insolvency process after the National Company Law Tribunal (NCLT) admitted an application by an IDBI Bank-led consortium seeking revival of the realty firm.  In the first round of insolvency proceedings conducted last year, the Rs 7,350-crore bid of Lakshdeep, part of Suraksha Group, was rejected by lenders.  Later in October 2018, the IRP started the second round of bidding process to revive Jaypee Infratech on the NCLT's direction.","Business, Companies",https://www.moneycontrol.com//news/business/jaypee-infra-insolvency-lenders-put-5-conditions-to-nbcc-for-considering-bid_12581321.html
8,JI07,2019-05-28T20:29:36+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",Adani Group submits non-binding bid for Jaypee Infratech; offers Rs 500cr upfront cash infusion,"The Adani Group has also offered a total fund infusion of Rs 1,700 crore to complete the project for homebuyers, sources said.","Adani Group has submitted a non-binding bid including an&nbsp;upfront cash payment of Rs 500 crore and other fund infusions of Rs 1,700 crore for Jaypee Infratech, sources told Moneycontrol. This is much higher than the offer made by NBCC and also comes free of any conditions. In its latest offer, NBCC proposed an infusion of Rs 200 crore equity capital, transfer of 950 acres of land worth Rs 5,000 crore as well as Yamuna Expressway to banks and completion of flats construction by July 2023 in order to settle an outstanding claim of Rs 23,723 crore of financial creditors. However, Moneycontrol is yet to verify the details of the offer from&nbsp;the Adani Group as well as the resolution professional (IRP). The Adani Group has offered a total fund infusion of Rs 1,700 crore to complete the project for homebuyers. The Rs 500 crore upfront payment includes the total cost of Corporate Insolvency Resolution Process (CIRP), Rs 23 crore in payment to unsecured financial creditors and payment to workmen. For the unsecured financial creditors, the Group has offered a transfer of land parcel totalling 1,000 acres. As for penalty/interest for possession delay, 25 percent of such amount will be paid to homebuyers, as accrued on August 9, 2017 on account of delay in delivery of possession. Further, if the Supreme Court or NCLT permits, the amount of Rs 750 crores deposited by Jaiprakash Associates for protection of homebuyers will also be utilised for the payment of balance penalties/interest. It now remains to be seen if&nbsp;the committee of creditors (CoC) will consider the bid as the Adani Group did not participate in the bidding process within the stipulated time.  The 12th committee of creditors (CoC) meeting of Jaypee Infratech is scheduled for May 30, after which the resolution plan is likely to be put to vote on May 31.","Adani Group, Business, Companies, Jaypee Infratech, NBCC",https://www.moneycontrol.com//news/business/adani-group-submits-non-binding-bid-for-jaypee-infratech-offers-rs-500cr-upfront-cash-infusion_12575721.html
9,JI07,2019-05-08T21:05:06+05:30,"{'@type': 'Person', 'name': 'PTI'}",Jaypee Infratech's IRP finds NBCC's bid conditional and non-binding,"The public sector unit has proposed infusion of Rs 200 crore equity capital, transfer of 950 acres of land worth Rs 5,000 crore to banks and completing construction of flats by July 2023 to settle an outstanding claim of Rs 23,723 crore of financial creditors.  ","Realty firm Jaypee Infratech's Interim Resolution Professional (IRP) has opined that state-owned NBCC's revised bid was conditional and non-binding, which ran contrary to terms of the insolvency proceedings, sources said.  The Committee of Creditors (CoC) is scheduled to meet on Thursday (May 9) to discuss NBCC's revised offer to acquire debt-laden Jaypee Infratech.  The public sector unit has proposed infusion of Rs 200 crore equity capital, transfer of 950 acres of land worth Rs 5,000 crore to banks and completing construction of flats by July 2023 to settle an outstanding claim of Rs 23,723 crore of financial creditors.  Sources said NBCC has put several conditions for the implementation of its plan, including a demand to extinguish an estimated income-tax liability of Rs 33,000 crore over a period of 30 years arising out of the transfer of land parcels from Yamuna Expressway Industrial Development Authority (YEIDA) to Jaypee Group.  The IRP Anuj Jain has written to the CoC that NBCC's revised bid is conditional as the state-owned firm has stated that the plan will not be binding on it unless key reliefs such as extinguishing of income tax liability and a dispensation from seeking consent of YEIDA for any business transfer is granted, sources said.  The IRP pointed out that the insolvency process approved by the CoC in December last year provided that the resolution plans from potential bidders should be binding and non-conditional, they added.  The court-mandated deadline for completing the resolution plan for Japyee Infratech ended on May 6 and the CoC has sought an extension of the deadline. The Allahabad bench of the NCLT has posted the matter for hearing on May 21.  The CoC had on May 3 rejected a bid of Mumbai-based Suraksha Realty group, which was the lone contender after NBCC's revised offer was rejected in absence of approvals from the government departments.  NBCC has now got the approval from the relevant government authorities for its revised offer, which was submitted to the IRP on April 24. In its revised offer, NBCC has put several conditions for carrying out its commitment.  Jaypee Infratech, which is a subsidiary of Jaypee Group's flagship firm Jaiprakash Associates Ltd (JAL), owes nearly Rs 9,800 crore to financial creditors. Also, Rs 13,839 crore has been admitted as financial debt of the homebuyers.  Sources said NBCC, in the revised resolution plan, has offered to transfer 100 per cent equity in the Expressway SPV (special purpose vehicle) -- to be created by transferring Delhi-Agra Expressway assets of Jaypee Infratech -- to the banks.  It has proposed that the banks should raise a minimum of Rs 2,000 crore against the Expressway SPV (by securitising its toll income) and provide Rs 1,500 crore from this amount to the state-owned company, which could utilise it for making upfront payments and to start construction on the stuck projects, sources said.  The plan further provides for settling Rs 9,712 crore of claims of operational creditors, including Rs 3,334 crore by the income tax department, Rs 1,689 crore towards compensation to landowners and Rs 4,423 crore to YEIDA, by paying Rs 20 crore.  Sources said NBCC has proposed Rs 62.40 crore upfront payment to buyers who had sought a refund.  During the first round of insolvency proceedings, the Rs 7,350 crore bid of Lakshdeep, part of Suraksha group was rejected by lenders as it was found to be substantially lower than the company's net worth and assets as well as the liquidation value of about Rs 14,000 crore.  Jaypee Group Chairman Manoj Gaur had promised to infuse Rs 2,000 crore to complete pending 20,000 apartments over the next four years.  The crisis-hit group had submitted a Rs 10,000-crore plan before lenders in April 2018 as well, but the same was not accepted.  JAL had submitted Rs 750 crore in the registry of the Supreme Court for the refund to buyers and the amount is lying with the NCLT.","Business, Jaypee Infratech, NBCC",https://www.moneycontrol.com//news/business/jaypee-infratech39s-irp-finds-nbcc39s-bid-conditionalnon-binding_12474821.html
