,company,datePublished,author,headline,description,articleBody,tags,url
0,JS03,2018-08-21T20:33:05+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",NCLAT stays Jyoti Structures liquidation,The appellate tribunal has directed the Mumbai bench of the National Company Law Tribunal (NCLT) and the resolution professional of the company not to take any steps in this regard.,"The National Company Law Appellate Tribunal (NCLAT) has stayed the liquidation of debt-ridden real estate firm Jyoti Structures and barred any sale of its assets till further orders.  The appellate tribunal has directed the Mumbai bench of the National Company Law Tribunal (NCLT) and the resolution professional of the company not to take any steps in this regard.  Until further order, the Adjudicating Authority (NCLT) will not pass any order under Section 33, neither the Resolution Professional or the Adjudicating Authority will take steps to sell any movable or immovable assets of the Corporate Debtor.  &amp;quot;Resolution Professional will also ensure that the company remains ongoing concern,&amp;quot; said a NCLAT bench.  A two member bench headed by Chairman Justice S J Mukhopadhaya has directed to list the matter on September 18 for next hearing. NCLAT's direction came over a petition filed by over 800 employees of Jyoti Structures.  Jyoti Structures was among the 12 companies in the first list issued by the government to face the insolvency proceedings in June 2017.  Lenders of the company could not finalise a buyer for the real estate firm under mandatory 270 days prescribed under the Insolvency and Bankruptcy Code, failing which the company was heading for liquidation as mandated under the law.  DBS Bank, which is one of the lenders has opposed the resolution plan and had moved NCLT for liquidation of the company.","Business, Companies, India, Jyoti Structures, NCLAT",https://www.moneycontrol.com//news/business/nclat-stays-jyoti-structures-liquidation_11327701.html
1,JS03,2017-08-29T15:45:41+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","Jyoti Structures' meeting of committee of creditors on August 30, 2017","The Resolution Professional of Jyoti Structures Limited has called second meeting of the Committee of Creditors of Jyoti Structures Limited scheduled to be held at IMC Chamber of Commerce and Industry, Babubhai Chinai Committee Room, 2nd Floor, IMC Building, IMC Marg, Churchgate, Mumbai &ndash; 400 020, Maharashtra on Wednesday, August 30, 2017 at 11:00 A.M.","Pursuant to Regulation 18 of the Insolvency and Bankruptcy Board of India (Insolvency Resolution Process for Corporate Persons) Regulations, 2016, the Resolution Professional of Jyoti Structures Limited has called second meeting of the Committee of Creditors of Jyoti Structures Limited scheduled to be held at IMC Chamber of Commerce and Industry, Babubhai Chinai Committee Room, 2nd Floor, IMC Building, IMC Marg, Churchgate, Mumbai &ndash; 400 020, Maharashtra on Wednesday, August 30, 2017 at 11:00 A.M.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/jyoti-structures39-meetingcommitteecreditorsaugust-30-2017_9565641.html
2,JS03,2017-08-18T15:51:21+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","Jyoti Structure's board meeting on August 29, 2017","Pursuant to the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, on Tuesday, August 29, 2017 at 10.30 a.m","Pursuant to the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, on Tuesday, August 29, 2017 at 10.30 a.m, the Resolution Professional ('RP') of Jyoti Structures Limited ('JSL'), who has been appointed for conducting the corporate insolvency resolution process of JSL ordered in terms of the order of the National Company Law Tribunal, Mumbai bench dated July 4, 2017, shall consider and approve the unaudited financial results of JSL for the quarter ended June 30, 2017 at the registered office of the CompanySource : BSE",Announcements,https://www.moneycontrol.com//news/announcements/jyoti-structure39s-board-meetingaugust-29-2017_9502441.html
3,JS03,2017-07-05T15:21:04+05:30,"{'@type': 'Person', 'name': 'Faizan Javed'}",Jyoti Structures says tribunal OKs insolvency proceedings,"The NCLT had appointed BDO India on Tuesday to manage the company in the interim, Jyoti Structures said.","Indian power infrastructure company Jyoti Structures Ltd said on Wednesday the National Company Law Tribunal (NCLT) admitted its application for bankruptcy proceedings.  The NCLT had appointed BDO India on Tuesday to manage the company in the interim, Jyoti Structures said.  Lead banker State Bank of India had filed the resolution application before NCLT, the company said.  In a bid to resolve the country's $150 billion stressed loan problem, the Reserve Bank of India last month urged lenders to start bankruptcy proceedings against 12 large loan defaulters, including Jyoti Structures, sources had told Reuters.","Business, Indian power infrastructure company, Jyoti Structures, NCLT, RBI, State Bank of India",https://www.moneycontrol.com//news/business/jyoti-structures-says-tribunal-oks-insolvency-proceedings_9217041.html
4,JS03,2017-07-04T19:33:11+05:30,"{'@type': 'Person', 'name': 'Beena Parmar'}",Jyoti Structures first of 12 NPAs to face bankruptcy proceedings,"The company owes around Rs 7,000 crore to its lenders. In FY17, it made a loss of Rs 1,482 crore","Moneycontrol News  Power distribution equipment maker Jyoti Structures&nbsp;has become the first of the 12 large stressed companies identified by the Reserve Bank of India to be admitted at the National Company Law Tribunal (NCLT) under the insolvency and bankruptcy law.  The Mumbai bench of the NCLT admitted an application against Jyoti Structures filed by its lead lender State Bank of India. The company owes lenders around Rs 7,000 crore.  The total amount due to SBI stands at about Rs 1,600 crore, after it was restructured in September 2014.  As per the NCLT order issued on Tuesday, the board of directors of the company will be suspended and consultancy firm, BDO would manage the company. The company has not opposed the action by the banks so far and has informed the court about a potential buyer interested in taking over the firm, according to reports.  BDO will take control of the company&rsquo;s management and be responsible for its day-to-day operations. It will work with the committee of creditors to come up with a resolution plan within 270 days, and get the approval of 75 percent of the creditors&rsquo; committee and supervised by the overseeing committee and then the nod from the NCLT. Failing this, the company will be liquidated according to the Insolvency and Bankruptcy Code rules.  In the financial year 2017, the company made a loss of Rs 1,482 crore on revenues of Rs 852 crore.  After failure to get a restructuring package from banks, it was set to be resolved through invocation of the Strategic Debt Restructuring Scheme (SDR) in terms of the extant RBI guidelines. Since then, the lenders decided to restructure the debt and evaluate investment proposal submitted by a strategic investor, outside SDR, the company had informed its shareholders last year.  Jyoti Structures is among the 12 companies that account for 25 percent of India&rsquo;s bad debt of about Rs 9.6 lakh crore.  Earlier this year, the government amended the Banking Regulation Act to empower the RBI to get directly involved in the resolution of non-performing assets (NPAs), Post this, RBI identified 12 large bad loan accounts having exposure of over Rs 5,000 crore each, with 60 percent or more classified as NPAs by banks as of March 2016, to be referred to the insolvency court.  RBI is further working on top 50 stressed accounts with an exposure of more than Rs 500 crore each.","bankruptcy, Business, insolvency, NPAs, Reserve Bank of India, SBI",https://www.moneycontrol.com//news/business/jyoti-structures-first12-npas-to-face-bankruptcy-proceedings_9211601.html
5,JS03,2017-02-09T21:03:17+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Jyoti Structure: Outcome of board meeting,"Jyoti Structures has informed about Outcome of Board Meeting held on February 09, 2017.","Jyoti Structures Ltd has informed BSE about Outcome of Board Meeting held on February 09, 2017.Source : BSE Read all announcements in Jyoti Structure",Announcements,https://www.moneycontrol.com//news/announcements/jyoti-structure-outcomeboard-meeting_8464301.html
6,JS03,2016-12-14T21:36:02+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Jyoti Structures: Outcome of board meeting,"Jyoti Structures has informed about Outcome of Board Meeting held on December 14, 2016.","Jyoti Structures Ltd has informed BSE about Outcome of Board Meeting held on December 14, 2016.Source : BSE Read all announcements in Jyoti Structure",Announcements,https://www.moneycontrol.com//news/announcements/jyoti-structures-outcomeboard-meeting_8116061.html
7,JS03,2016-10-25T15:22:24+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Jyoti Structures' independent director Vijay Mohan Kaul resigns,"Jyoti Structures Ltd has informed BSE that Mr. Vijay Mohan Kaul, an Independent Director of the Company has resigned with effect from October 24, 2016.","Jyoti Structures Ltd has informed BSE that Mr. Vijay Mohan Kaul, an Independent Director of the Company has resigned with effect from October 24, 2016.Source : BSE Read all announcements in Jyoti Structure",Announcements,https://www.moneycontrol.com//news/announcements/jyoti-structures-independent-director-vijay-mohan-kaul-resigns_7825661.html
8,JS03,2016-08-25T22:54:46+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Jyoti Structures: Outcome of Board Meeting,"Jyoti Structures at its meeting held on August 25, 2016, took note of resignation of Mr. Sanjay H. Mirchandani with effect from August 24, 2016.","Jyoti Structures Ltd has informed BSE that the Board of Directors of the Company at its meeting held on August 25, 2016, inter alia, took note of resignation of Mr. Sanjay H. Mirchandani with effect from August 24, 2016.Source : BSE Read all announcements in Jyoti Structure",Announcements,https://www.moneycontrol.com//news/announcements/jyoti-structures-outcomeboard-meeting_7346361.html
9,JS03,2016-05-02T12:21:21+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Jyoti Structures bags contract worth USD 50 mn,"Jyoti Structures Africa Pty, subsidiary of Jyoti Structures, has been awarded contract worth of USD 50 mn for turnkey construction of 400/132 kV multiple circuit transmission line between Ariadne and Eros in Natal Province of South Africa, by ESKOM.",Jyoti Structures Ltd has submitted to BSE a copy of Press Release.Source : BSE Read all announcements in Jyoti Structure,Announcements,https://www.moneycontrol.com//news/announcements/jyoti-structures-bags-contract-worth-usd-50-mn_6484821.html
10,JS03,2016-03-30T22:29:46+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Jyoti Structure director Prakash K. Thakur resigns,"Jyoti Structures has informed that Mr. Prakash K. Thakur, Director of the Company has resigned with effect from March 28, 2016.","Jyoti Structures Ltd has informed BSE that Mr. Prakash K. Thakur, Director of the Company has resigned with effect from March 28, 2016.Source : BSE Read all announcements in Jyoti Structure",Announcements,https://www.moneycontrol.com//news/announcements/jyoti-structure-director-prakash-k-thakur-resigns_6073021.html
11,JS03,2016-01-18T14:59:06+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",It's not quite apocalypse for banks,"While the move to clean up banks' balancesheets is welcome, this needs to be accompanied by a move to make some of the promoters pay as well.","It is the season for apocalyptic reports about PSU banks in particular and the Indian banking sector in general. Doing the numbers from all the rating agencies and brokerages it appears that total stressed loans whose borrowers have not been paying, cannot pay or will not pay interest on time is probably 15 percent of total assets, though banks as of September 2015 had declared only 5.1 percent of their assets as gross non performing assets (or default loans).But this once it appears the Reserve Bank of India (RBI) is fully seized of the contours of the problem. Since mid 2014, the RBI has put in a new software called CRILC or (Central Respository of Information for Large Credits). Banks report details of all their accounts to this repository, where the accounts are identified by their PAN numbers. The RBI thus has a master list of borrowings of all the big borrowers and it has been sharing these with banks. Penalties have been imposed on banks who fall short on reporting accounts that are falling back on repayments. In its annual inspection of bank books this time, the RBI was empowered to use a different route. Instead of a bank-wise inspection of asset quality it called for account wise inspection across the banking system. It stands to reason that the central bank now knows the numbers better than anyone and it has shared these numbers regularly with bankers.It is on the strength of this information that the regulator has now told banks to mark as non performing Assets (NPAs) all accounts that show stress: accounts which have defaulted with one bank but not another, promoters who have not brought their share of equity in restructured cases, or who have brought their share of the equity by borrowing from other entities, in short any account where the flow of monies from the asset is inadequate to service the loan.These strict rules from the regulator come at a time when bank shares world over are being pulverized because of the steep decline in commodities and the inevitable expectation that banks will see more corporate defaults. The selling in Indian bank shares has therefore become even more frenzied, accompanied as it is by more and more apocalyptic reports from brokerages.However, my detailed discussion with public sector bankers and RBI officials gives me a feeling that the situation while grim is controllable. Senior public sector bankers told me that if they have to provide for all their stress assets by March 2017, they have the means. Private banks, if anything are even better capitalized. The quiet confidence of senior RBI officials is also reassuring. They maintain that the government has been taken on board in this clean-up exercise and they have been assured that whatever is needed by way of capital will be provided. If that is the case, then this near term pain that all banks are going through is worth enduring. It is not apocalyptic. This too shall pass.There is an argument one often hears from bankers, India Inc and even columnists: that this is the wrong time to order a clean up since growth worldwide is at its worst. This was same the dangerous argument that backed the RBI's 2009 regulation allowing banks to do a one-time-restructuring of bad accounts. The argument was that this is a &amp;quot;passing phase&amp;quot;. As it turned out, banks and corporates were in better shape in 2009, and ought not have restructured stressed assets. They should have called the stressed assets NPAs and arranged for provisions. This would at least have prevented them from throwing good money after bad. Who knows, in 2018, this may still be the good old days. So let banks provide for all suspected bad accounts and then move on to lend to newer, healthier companies.While bankers must bear the pain of their past mistakes, there is one side of the transaction which hasn&amp;amp;rsquo;t really borne the pain, the promoter. Even today companies that are being taken over by banks through conversion of loans to equity under strategic debt restructuring are relatively small fry like Jyoti Structures or Electrosteel. What about the Essars and Lancos and GMRs. Essar Steel is a case in point. The company defaulted on its foreign bond holders in 1999, defaulted on its bankers in 2003 when its loan was restructured and was on the verge of default again this year when bankers once again gave it a lifeline through a 5-25 loan refinance.Aren't three defaults enough to require a change in management? Then why have bankrs refinanced Essar Steel&amp;amp;rsquo;s loan under the 5-25 scheme and not a strategic debt restructure that will remove the owners? In the first place, how can a 20 year old plant be given loan for a further 20 or 25 years. Also, in the past five years the promoters, the Ruias have made decent money first by selling their stake in Vodafone at solid 5 billion dollars. They are recently in the money again thanks to the sale of Essar Oil to Roseneft. Why aren&amp;amp;rsquo;t promoters bearing a larger share of Essar Steel&amp;amp;rsquo;s problems, but leaving it to the banks to bring more funds.?While the move to clean up banks' balancesheets is welcome, it&amp;amp;nbsp;needs to be accompanied by a move to make some of the promoters pay as well.","Business, Electrosteel Steels, Essar Oil, GMR Infrastructure, Jyoti Structures, RBI",https://www.moneycontrol.com//news/business/its-not-quite-apocalypse-for-banks_5050661.html
12,JS03,2015-12-09T20:14:47+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Jyoti Structures: Outcome of board meeting,"Jyoti Structures has informed regarding Outcome of Board Meeting held on December 09, 2015.","Jyoti Structures Ltd has informed BSE regarding Outcome of Board Meeting held on December 09, 2015.Source : BSE Read all announcements in Jyoti Structure",Announcements,https://www.moneycontrol.com//news/announcements/jyoti-structures-outcomeboard-meeting_4524781.html
13,JS03,2015-08-17T21:47:28+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Jyoti Structure appoints T. C. Venkat Subramanian as non-executive chairman,"Jyoti Structures has informed that consequent to appointment as a non-executive Chairman of Indian Bank, Mr. T. C. Venkat Subramanian, an Independent Director has resigned as a Director of the Company with effect from August 15, 2015.","Jyoti Structures Ltd has informed BSE that consequent to appointment as a non-executive Chairman of Indian Bank, Mr. T. C. Venkat Subramanian, an Independent Director has resigned as a Director of the Company with effect from August 15, 2015.Source : BSE Read all announcements in Jyoti Structure",Announcements,https://www.moneycontrol.com//news/announcements/jyoti-structure-appoints-t-c-venkat-subramanian-as-non-executive-chairman_2595961.html
14,JS03,2015-03-31T23:05:01+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Jyoti Structure director A. J. Khan resigns,"Jyoti Structures has informed that Mr. A. J. Khan, Independent Director has resigned as a Director of the Company with effect from the closure of business hours March 31, 2015.","Jyoti Structures Ltd has informed BSE that Mr. A. J. Khan, Independent Director has resigned as a Director of the Company with effect from the closure of business hours March 31, 2015.Source : BSE Read all announcements in Jyoti Structure",Announcements,https://www.moneycontrol.com//news/announcements/jyoti-structure-director-a-j-khan-resigns_1345837.html
15,JS03,2015-02-17T14:34:12+05:30,"{'@type': 'Person', 'name': 'Sandip Das'}",Jyoti Structures bags orders for transmission lines,"The projects include Rs 310 crore order for 400 kv transmission line project in Sultanate of Oman, Rs 32 crore 400 kv transmission line project from DEWA (Dubai Electricity and Water Authority, Dubai and Rs 240 crore orders for various projects for fabrication and supply of transmission line steel structures.","Jyoti Structures&amp;amp;nbsp;said it has bagged orders worth Rs 582 crore for transmission line projects. &amp;quot;Gulf Jyoti International LLC Dubai, a joint venture of Jyoti Structures Ltd and Gulf Investment Corporation of Kuwait have recently secured several prestigious export and domestic orders for transmission lines,&amp;quot; Jyoti Structures said in a statement. The projects include Rs 310 crore order for 400 kv transmission line project in Sultanate of Oman, Rs 32 crore 400 kv transmission line project from DEWA (Dubai Electricity and Water Authority, Dubai and Rs 240 crore orders for various projects for fabrication and supply of transmission line steel structures.","Business, Dubai Electricity and Water Authority, Gulf Investment Corporation of Kuwait, Gulf Jyoti International LLC, Gulf Jyoti International LLC Dubai, Jyoti Structures, transmission line steel structures",https://www.moneycontrol.com//news/business/jyoti-structures-bags-orders-for-transmission-lines_1304826.html
16,JS03,2015-02-09T18:18:24+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Jyoti Structures: Outcome of board meeting,"Jyoti Structures has informed that the Board of Directors of the Company at its meeting held on February 09, 2015, has appointed Ms. Jyotsna Jamkhandi, a Nominee of State Bank of India as an Additional Director of the Company, with immediate effect.","Jyoti Structures Ltd has informed BSE that the Board of Directors of the Company at its meeting held on February 09, 2015, inter alia, has appointed Ms. Jyotsna Jamkhandi, a Nominee of State Bank of India as an Additional Director of the Company, with immediate effect.Source : BSE Read all announcements in Jyoti Structure",Announcements,https://www.moneycontrol.com//news/announcements/jyoti-structures-outcomeboard-meeting_1297009.html
17,JS03,2014-12-11T08:37:06+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Jyoti Structures' MD Santosh V. Nayak resigns,"Jyoti Structures Ltd has informed BSE that Mr. Santosh V. Nayak has resigned as a Director and Managing Director of the Company with effect from the closure of business hours on December 10, 2014.","Jyoti Structures Ltd has informed BSE that Mr. Santosh V. Nayak has resigned as a Director and Managing Director of the Company with effect from the closure of business hours on December 10, 2014.Source : BSE Read all announcements in Jyoti Structure",Announcements,https://www.moneycontrol.com//news/announcements/jyoti-structures-md-santosh-v-nayak-resigns_1250011.html
