,company,datePublished,author,headline,description,articleBody,tags,url
0,JV01,2017-09-04T09:49:35+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",JVL Agro: Outcome of board meeting,Outcome of Board Meeting,Outcome of Board MeetingSource : BSE,Announcements,https://www.moneycontrol.com//news/announcements/jvl-agro-outcomeboard-meeting_9605161.html
1,JV01,2017-06-01T21:54:07+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",JVL Agro Ind: Outcome of board meeting ,"JVL Agro Industries has informed that the Board of Directors of the Company at its meeting held on May 30, 2017.","JVL Agro Industries Ltd has informed BSE that the Board of Directors of the Company at its meeting held on May 30, 2017, inter alia, has considered the need to conserve the resources of the Company and decided to defer the decision of recommending dividend to August 2017 and hence, it will decide about the dividend in a duly called meeting sometime in August 2017.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/jvl-agro-ind-outcomeboard-meeting_9055101.html
2,JV01,2017-01-06T21:26:14+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",JVL Agro Industries: Outcome of board meeting,"JVL Agro Industries has informed that the Board of Directors of the Company has in its meeting on January 06, 2017 approved the drafts of dividend payout documents to be executed for payout of dividend to the members; and authorized Mr. Satya Narayan Jhunjhunwala, Managing Director &amp;amp; CEO, Mr. Adarsh Jhunjhunwala, Whole Time Director.","JVL Agro Industries Ltd has informed BSE that the Board of Directors of the Company has in its meeting on January 06, 2017 approved the drafts of dividend payout documents to be executed for payout of dividend to the members; and authorized Mr. Satya Narayan Jhunjhunwala, Managing Director &amp;amp; CEO, Mr. Adarsh Jhunjhunwala, Whole Time Director and Mr. Dina Nath Jhunjhunwala, Director severally to execute the required documents in this respect on behalf of the Board.It was further decided that the dividend for the financial year ending on March 31, 2016 as recently approved in the Annual General Meeting dated 30th December be paid/dispatched to all the members upto January 28, 2017, i.e. within 30 days of the date of Annual General Meeting.Source : BSE Read all announcements in JVL Agro Ind",Announcements,https://www.moneycontrol.com//news/announcements/jvl-agro-industries-outcomeboard-meeting_8225361.html
3,JV01,2016-12-30T23:26:47+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",JVL Agro Industries: Outcome of AGM,"JVL Agro Industries has informed that the 27th Annual General Meeting (AGM) of the Company was held on December 30, 2016.","JVL Agro Industries Ltd has informed BSE that the 27th Annual General Meeting (AGM) of the Company was held on December 30, 2016.Source : BSE Read all announcements in JVL Agro Ind",Announcements,https://www.moneycontrol.com//news/announcements/jvl-agro-industries-outcomeagm_8188941.html
4,JV01,2016-11-03T13:22:15+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","JVL Agro Industries' board meeting on November 12, 2016","JVL Agro Industries Ltd has informed BSE that a meeting of the Board of Directors of the company is scheduled to be held on November 12, 2016.","JVL Agro Industries Ltd has informed BSE that a meeting of the Board of Directors of the company is scheduled to be held on November 12, 2016. Further, the exchange is requested to take on record that trading window for trading in shares of JVL Agro Industries Limited shall remain closed from November 03, 2016 to November 14, 2016 (both days inclusive) for the Directors, Employees and Auditors of the Company including their immediate relatives. During this period the Directors, Employees and Auditors including their immediate relatives are not permitted to deal in shares of the Company.Source : BSE Read all announcements in JVL Agro Ind",Announcements,https://www.moneycontrol.com//news/announcements/jvl-agro-industries-board-meetingnovember-12-2016_7886721.html
5,JV01,2016-03-10T15:05:39+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","JVL Agro Industries' EGM on March 31, 2016","JVL Agro Industries Ltd has informed BSE that the Extra Ordinary General Meeting (EGM) of the Company will be held on March 31, 2016.","JVL Agro Industries Ltd has informed BSE that the Extra Ordinary General Meeting (EGM) of the Company will be held on March 31, 2016.Source : BSE Read all announcements in JVL Agro Ind",Announcements,https://www.moneycontrol.com//news/announcements/jvl-agro-industries-egmmarch-31-2016_5840001.html
6,JV01,2014-12-11T15:06:55+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Buy JVL Agro Industries; target of Rs 30: Sunidhi Sec,"Sunidhi Securities is bullish on JVL Agro Industries and has recommended a 'Buy' rating on the stock with a target price of Rs 30 in its December 10, 2014 research report.","Sunidhi Securities' report on JVL Agro Industries &amp;quot;JVL Agro Industries (JVL) formally known as Jhunjhunwala Vanaspati Limited, incorporated in the year 1989, manufactures hydrogenated vegetable oil (vanaspati ghee) and refined oils, at its manufacturing facility in Varanasi, Uttar Pradesh located in North India. JVL started as a modest unit, with a production capacity of 25 MT/day is today the single largest manufacturing Company of hydrogenated vegetable oil in India producing over 300 MT/day. The name of the Company was changed from Jhunjhunwala Vanaspati Limited to JVL Agro Industries Ltd in 2008. JVLAIL's manufacturing facilities are strategically located at Varanasi (Uttar Pradesh), Dehri-on-Sone (Bihar), Alwar (Rajasthan) and Haldia&amp;amp;nbsp; (West&amp;amp;nbsp; Bengal. During Q2FY15, net profit jumped 42% to Rs 18.9 crore on 53% higher sales of Rs 1170 cr. Q2FY15 EPS stood at Rs 1.1 against Rs 0.8 in Q2FY14.During H1FY15, net profit rose 20% to Rs 35.9 crore on 18% higher sales of Rs 2389 crore. H1FY15 EPS stands at Rs 2.1 against Rs 1.8 in H1FY14. During FY14, net profit rose 1.9% to Rs 62.8 crore on 11% higher sales of Rs 4884 crore. EPS stood at Rs 3.7. A dividend of 20% was paid. The financials of edible oil companies are likely to improve in the coming quarters, owing to higher revenue growth on account of increased high sea sales and refinery sales. With an increase in the proportion of the higher-margin refinery sales to overall sales, the profitability and margins of companies are likely to improve significantly in 2014-15 compared to the levels seen in 2013-14 and 2012-13, India Ratings forecasts. The agency expects fully integrated refiners with wider product portfolios to benefit more than those with limited product diversification. Companies whose portfolios include branded products, such as JVL will see additional gains. JVL will leverage a stronger product portfolio &amp;amp;ndash; vanaspati, mustard oil, palm refined and soybean &amp;amp;ndash; accounting for 70 per cent of the edible oils consumption basket in India. This wider portfolio will translate into a stronger customer accretion and enhanced branding effectiveness, which will progressively translate into higher sales and lower selling cost, leading to higher profitability. This progressive evolution from a manufacturing centric company addressing the low-mid end of the market to a point where it addresses the premium segment, is expected to translate into enhanced revenues, margins, surpluses and organizational growth. At the current market price of Rs 19, the share is trading at a P/E of 4.0x on FY15E and 3.4x on FY16E. We recommend BUY with a target price of Rs 30 at which, the share will trade at a P/E of 5.5x on 16E&amp;quot;, says Sunidhi Securities research report. For all recommendations, click here  &amp;amp;nbsp; Disclaimer: The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. &amp;amp;nbsp;","JVL Agro Industries, Recommendations, Sunidhi Securities",https://www.moneycontrol.com//news/recommendations/buy-jvl-agro-industries-targetrs-30-sunidhi-sec_1250196.html
7,JV01,2014-08-26T08:46:52+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",JVL Agro Industries: Outcome of board meeting,"JVL Agro Industries Ltd has informed BSE that the Board of Directors of the Company at its meeting held on August 25, 2014, has approved re-designation of Mr. S.N. Jhunjhunwala, Managing Director as the Key Managerial Personnel of the Company.","JVL Agro Industries Ltd has informed BSE that the Board of Directors of the Company at its meeting held on August 25, 2014, inter alia, has transacted the following :1. The Board approved re-designation of Mr. S.N. Jhunjhunwala, Managing Director as the Key Managerial Personnel of the Company.2. The Board approved appointment of Mrs. Anju Jhunjhunwala as Additional Director of the Company.3. The Board approved the appointment of Mr. R. C. Garg as the Chief Finance Officer of the Company.4. The Board approved the appointment of Mr. Sudhir Saxena, Cost Auditor, Kanpur as the Cost Auditor of the Company for financial year 2014-15 at a remuneration of Rs. 50,000/- subject to ratification of the same in the ensuing Annual General Meeting by the members.5. The Board decided to rename the existing &amp;quot;Remuneration Committee&amp;quot; of the Company as &amp;quot;Nomination &amp;amp; Remuneration Committee.&amp;quot;6. The Board decided to rename the existing &amp;quot;Shareholders&rsquo;/Investors&rsquo; Grievance Redressal Committee&amp;quot; of the Company as &amp;quot;Stakeholders Relationship Committee.&amp;quot;7. The Board reconstituted &amp;quot;Audit Committee&amp;quot;. Mr. S.K. Dikshit, Chairman of the Committee retired from the Committee &amp;amp; at his place Mr. Mahesh Kedia was appointed as Chairman. Also, Mr. Harsh Agrawal has been appointed as the Member to the Committee. Accordingly, the revised constitution of Audit Committee includes &ndash; Mr. Mahesh Kedia, Chairman, Mr.Kanhaiya Lal Goenka &amp;amp; Mr. Harsh Agrawal.8. The Board approved the tabled draft of vigil mechanism with minor editings. This mechanism will further strengthen &amp;amp; make effective the working of the Audit Committee of the Board.9. The Board constituted a CSR committee in terms of requirements of new Companies Act, 2013. The Committee shall comprise of Mr. Mahesh Kedia as Chairman, and Mr. S.N. Jhunjhunwala, Director &amp;amp; Mr. Adarsh Jhunjhunwala, Director as other members of the Committee. The Board also deliberated on the draft text for the proposed CSR Policy of theCompany and approved the same.10. The Board appointed Mr. Deepak Kumar Chopra as the Chief Executive Officer (Key Managerial Person) of the Company.11. The Board appointed M/s Namita Ujwal &amp;amp; Associates, Practicing Company Secretary, Varanasi as the Secretarial Auditors of the Company.12. The Board appointed M/s Mukul Shah &amp;amp; Associates as the Internal Auditors of the Company.13. The Board approved the increase in its borrowing powers from existing Rs. 3000 crore excluding temporary loans &amp;amp; working capital facilities to Rs. 3500 crores excluding temporary loans &amp;amp; working capital facilities over and above the paid-up share capital &amp;amp; reserves &amp;amp; surplus of the Company subject to approval of shareholders in ensuing Annual General Meeting of the Company.Source : BSE Read all announcements in JVL Agro Ind",Announcements,https://www.moneycontrol.com//news/announcements/jvl-agro-industries-outcomeboard-meeting_1164061.html
8,JV01,2014-02-11T12:55:52+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","JVL Agro Ind standalone Dec '13 sales at Rs 1,176.00 crore","JVL Agro Industries has reported a sales standalone turnover of Rs 1,176.00 crore and a net profit of Rs 12.60 crore for the quarter ended Dec '13","JVL Agro Industries has reported a standalone sales turnover of Rs 1,176.00 crore and a net profit of Rs 12.60 crore for the quarter ended Dec '13. Other income for the quarter was Rs 1.25 crore.For the quarter ended Dec 2012 the standalone sales turnover was Rs 1,018.50 crore and net profit was Rs 15.52 crore, and other income Rs 1.98 crore.JVL Agro Ind shares closed at 9.45 on February 10, 2014 (NSE) and has given 58.82% returns over the last 6 months and -32.01% over the last 12 months.JVL Agro IndustriesStandalone Quarterly Results-------- in Rs. Cr. --------Dec '13Sep '13Jun '13Sales Turnover1,176.001,119.65901.35Other Income1.251.050.85Total Income1,177.251,120.70902.20Total Expenses1,152.091,095.24873.84Operating Profit23.9124.4127.51Profit On Sale Of Assets------Profit On Sale Of Investments------Gain/Loss On Foreign Exchange------VRS Adjustment------Other Extraordinary Income/Expenses------Total Extraordinary Income/Expenses------Tax On Extraordinary Items------Net Extra Ordinary Income/Expenses------Gross Profit25.1625.4628.36Interest5.965.504.25PBDT19.2019.9624.11Depreciation4.704.664.45Depreciation On Revaluation Of Assets------PBT14.5015.3019.66Tax1.902.002.95Net Profit12.6013.3016.71Prior Years Income/Expenses------Depreciation for Previous Years Written Back/ Provided------Dividend------Dividend Tax------Dividend (%)------Earnings Per Share0.750.791.00Book Value------Equity16.7916.7916.79Reserves434.84422.24408.94Face Value1.001.001.00Source :  Dion Global Solutions Limited","JVL Agro Ind, JVL Agro Industries, Results, Vanaspati/Oils",https://www.moneycontrol.com//news/results/jvl-agro-ind-standalone-dec-13-sales-at-rs-117600-crore_1040877.html
9,JV01,2013-11-18T16:28:07+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","JVL Agro Ind standalone Sep '13 sales at Rs 1,119.65 crore","JVL Agro Industries has reported a sales standalone turnover of Rs 1,119.65 crore and a net profit of Rs 13.30 crore for the quarter ended Sep '13","JVL Agro Industries has reported a standalone sales turnover of Rs 1,119.65 crore and a net profit of Rs 13.30 crore for the quarter ended Sep '13. Other income for the quarter was Rs 1.05 crore.For the quarter ended Sep 2012 the standalone sales turnover was Rs 1,017.29 crore and net profit was Rs 14.02 crore, and other income Rs 1.97 crore.JVL Agro Ind shares closed at 11.90 on November 14, 2013 (NSE) and has given -0.83% returns over the last 6 months and -24.44% over the last 12 months.JVL Agro IndustriesStandalone Quarterly Results-------- in Rs. Cr. --------Sep '13Jun '13Mar '13Sales Turnover1,119.65901.35799.55Other Income1.050.850.35Total Income1,120.70902.20799.90Total Expenses1,095.24873.84763.48Operating Profit24.4127.5136.07Profit On Sale Of Assets------Profit On Sale Of Investments------Gain/Loss On Foreign Exchange------VRS Adjustment------Other Extraordinary Income/Expenses------Total Extraordinary Income/Expenses------Tax On Extraordinary Items------Net Extra Ordinary Income/Expenses------Gross Profit25.4628.3636.42Interest5.504.2511.08PBDT19.9624.1125.34Depreciation4.664.452.41Depreciation On Revaluation Of Assets------PBT15.3019.6622.93Tax2.002.952.73Net Profit13.3016.7120.20Prior Years Income/Expenses------Depreciation for Previous Years Written Back/ Provided------Dividend------Dividend Tax------Dividend (%)------Earnings Per Share0.791.001.20Book Value------Equity16.7916.7916.79Reserves422.24408.94392.23Face Value1.001.001.00Source :  Dion Global Solutions Limited","JVL Agro Ind, JVL Agro Industries, Results, Vanaspati/Oils",https://www.moneycontrol.com//news/results/jvl-agro-ind-standalone-sep-13-sales-at-rs-111965-crore_991981.html
