,company,datePublished,author,headline,description,articleBody,tags,url
0,KDI01,2020-09-21T18:27:39+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","CBI books Kwality for defrauding Bank of India, other banks of Rs 1,400 crore","Other banks involved in the case are Canara Bank, Bank of Baroda, Andhra Bank, Corporation Bank, IDBI, Central Bank of India, Dhanlaxmi Bank and Syndicate Bank","The Central Bureau of Investigation (CBI) on September&nbsp;21 said it has registered a case against Delhi-based private company Kwality and its directors, among others, on allegations of causing a loss of approximately Rs 1,400.62 crore to a consortium of banks led by Bank of India.  The company's directors Sanjay Dhingra, Siddhant Gupta, and Arun Srivastava have been named in the complaint along with other unknown persons.  The case was filed following a complaint by Bank of India.  The probe agency said searches are underway at eight locations, including the premises of the private company and other accused across Delhi, Saharanpur, Bulandshahr, Ajmer and Palwal.  Listen |&nbsp;Setting Sail: 'The question is not if, but when will India become a $10 trillion economy'  Other banks involved the in the case are Canara Bank, Bank of Baroda, Andhra Bank, Corporation Bank, IDBI, Central Bank of India, Dhanlaxmi Bank and Syndicate Bank., Hindustan Times reported.  Last week, the CBI booked a Mumbai-based private firm, Ess Dee Aluminium (EDAL), and others on allegations of defrauding State Bank of India (SBI) of over Rs 338 crore.  According the Reserve Bank of India's (RBI's) annual report, a total of 8,707 bank frauds involving a total of over Rs 1.85 lakh crore were detected during 2019-20, against 6,799 cases involving Rs 71,543 crore in the previous year.  Additionally, an RTI response&nbsp;revealed that public sector banks (PSBs) reported frauds worth over Rs 19,964 crore in 2,867 cases during the April-June quarter of the ongoing fiscal year.","Bank Of India, Business, ESS DEE Aluminium, India, Kwality, State Bank of India, stocks",https://www.moneycontrol.com//news/business/cbi-books-kwality-for-defrauding-bankindia-other-banksrs-1400-crore_14296361.html
1,KDI01,2019-06-06T20:51:05+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",Kwality insolvency: NCLT gives 90 days more time to complete CIRP,"Shailendra Ajmera, who is from multinational consultancy firm EY, has been appointed as the resolution professional to conduct the insolvency proceedings.  ","Debt-ridden dairy firm Kwality June 6 said the NCLT has given 90 days extension till September 7 to the company for completion of the corporate insolvency resolution process (CIRP).  Kwality is currently undergoing the CIRP as per the provisions of the Insolvency and Bankruptcy (IBC) Code, pursuant to an order of the National Company Law Tribunal (NCLT), New Delhi, dated December 11, 2018. Global private equity player KKR had filed insolvency plea against Kwality.  &amp;quot;NCLT, after considering the Progress Report on resolution process by the resolution profession, has extended CIRP time period by 90 days i.e. up to September 7, 2019 in respect of the company in accordance with the provisions of the Insolvency and Bankruptcy Code, 2016,&amp;quot; the company said in a regulatory filing.  Shailendra Ajmera, who is from multinational consultancy firm EY, has been appointed as the resolution professional to conduct the insolvency proceedings.  In 2016, Kwality Ltd had announced that it had raised Rs 300 crore from KKR India Financial Services and got additional commitment of Rs 220 crore. The amount was raised to fund its expansion plans and enter into consumer segment.  The company is engaged in the business of milk processing and manufacturing of dairy products, including ghee, milk powders, lassi, chaach, flavoured milk etc. It owns two milk processing units, one in Softa, Haryana, and another in Dibai, Uttar Pradesh.","Business, Kwality, Market news",https://www.moneycontrol.com//news/business/kwality-insolvency-nclt-gives-90-days-more-time-to-complete-cirp_12622541.html
2,KDI01,2018-10-22T21:50:04+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",KKR files bankruptcy plea against dairy firm Kwality,Kwality in 2016 had announced that it had raised Rs 300 crore from KKR India Financial Services and got additional commitment of Rs 220 crore. ,"Global private equity player KKR has filed insolvency plea against dairy firm Kwality&nbsp;before the National Company Law Tribunal (NCLT).  Kwality in 2016 had announced that it had raised Rs 300 crore from KKR India Financial Services and got additional commitment of Rs 220 crore. The amount was raised to fund its expansion plans and enter into consumer segment.  The matter was listed&nbsp;on October 22 before an NCLT bench in Delhi consisting Ina Malhotra and Deepa Krishan.  Incorporated in 1992, Kwality has six milk processing units in Uttar Pradesh, Haryana, Uttrakhand and Rajasthan with a capacity of 3.2 million litre per day.  It sells milk and milk products under different brand including Kwality and Dairy Best.","Business, India",https://www.moneycontrol.com//news/business/kkr-files-bankruptcy-plea-against-dairy-firm-kwality_11574201.html
3,KDI01,2018-04-20T16:40:30+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",Kwality Q4 PAT may dip 11.5% YoY to Rs. 30.9 cr: KR Choksey,"Net Sales are expected to increase by 10.5 percent Y-o-Y (down 4.4 percent Q-o-Q) to Rs. 1,695.5 crore, according to KR Choksey.","KR Choksey has come out with its fourth quarter (Jan-March&rsquo; 18) earnings estimates for the FMCG sector. The brokerage house expects Kwality to report net profit at Rs. 30.9 crore down 11.5% year-on-year (up 47.4% quarter-on-quarter). Net Sales are expected to increase by 10.5 percent Y-o-Y (down 4.4 percent Q-o-Q) to Rs. 1,695.5 crore, according to KR Choksey. Earnings before interest, tax, depreciation and amortisation (EBITDA) are likely to rise by 25.5 percent Y-o-Y (up 3.8 percent Q-o-Q) to Rs. 132.2 crore. Disclaimer: The views and investment tips expressed by investment experts on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. KR Choksey Q4 Preview","Brokerage Recos - Sector Report, Brokerage Results Estimates, FMCG, KR Choksey, Kwality, Result Poll",https://www.moneycontrol.com//news/result-poll/kwality-q4-pat-may-dip-115-yoy-to-rs-309-cr-kr-choksey_10808601.html
4,KDI01,2018-03-28T14:28:41+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/cnbc-tv18-7513/', 'name': 'CNBC-TV18'}","Nothing fundamentally wrong with the company, says Kwality","Kwality stock is down 50 percent in this month. In an interview to CNBC-TV18, Nawal Sharma, President of Kwality spoke about the latest happenings in the company.","Kwality stock is down 50 percent in this month. In an interview to CNBC-TV18, Nawal Sharma, President of Kwality spoke about the latest happenings in the company.  Sharma said that there is no strategically significant development happening within organization for the stock price to move down.  &amp;quot;Looking at the pattern at this point of time it appears that some negative forces are at play,&rdquo; he said.  According to him, there is nothing fundamentally wrong with the company.  &ldquo;The margin profile of the organization is going up, EBITDA consistently improving which means there will be more internal cash accruals and dependency on debt will go downs,&rdquo; he said.  For entire interview, watch accompanying video.",Business,https://www.moneycontrol.com//news/business/nothing-fundamentally-wrongthe-company-says-kwality_10715741.html
5,KDI01,2018-03-14T15:13:41+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/cnbc-tv18-7513/', 'name': 'CNBC-TV18'}","Planning to increase cow's milk in overall business, says Kwality","Kwality has been on up and up off late. In an interview to CNBC-TV18, Rattan Sagar Khanna, Chairman of Kwality spoke about the latest happenings in the company and gave his outlook for the year.","Kwality has been on up and up off late. In an interview to CNBC-TV18, Rattan Sagar Khanna, Chairman of Kwality spoke about the latest happenings in the company and gave his outlook for the year.  Khanna said we have a 3 million litre of milk capacity across 6 plants. Of 6 plants 3 plants owned by the company and 3 have been franchised.  Talking about procurement prices, he said milk procurement prices are lower by 20 percent versus 2 months ago.  He further said that we are planning to increase cow&rsquo;s milk in company&rsquo;s overall business.  For entire interview, watch accompanying video.",Business,https://www.moneycontrol.com//news/business/planning-to-increase-cow39s-milkoverall-business-says-kwality_10647301.html
6,KDI01,2018-02-12T15:50:47+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",Kwality Q3 net profit falls 54% to Rs 20 cr,Kwality Ltd today posted 54 per cent drop in its standalone net profit to Rs 20.93 crore in the third quarter of the 2017-18 fiscal due to finance cost.,"Kwality Ltd today posted 54 per cent drop in its standalone net profit to Rs 20.93 crore in the third quarter of the 2017-18 fiscal due to finance cost.  Net profit stood at Rs 45.09 crore in the year-ago period, the company said in a regulatory filing.  Net income increased to Rs 1,773.50 crore in the October- December period of 2017-18 compared to Rs 1,588.05 crore in the same period of the last year.  Expenses remained higher at Rs 1,736.58 crore as against Rs 1,519.10 crore in the said period.  Finance cost increased as the company paid dues of the previous years, the filing added.  Shares of the company were trading 1.50 per cent higher at Rs 91.10 apiece at 1515 hours on the BSE today.",Results,https://www.moneycontrol.com//news/results/kwality-q3-net-profit-falls-54-to-rs-20-cr_10499801.html
7,KDI01,2017-10-31T16:06:48+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","Kwality's board meeting on November 14, 2017","Notice is hereby given pursuant to the compliance of applicable provisions of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, that a Meeting of the Board of Directors of the company will be held on Tuesday, November 14, 2017 at the registered office of the company, interalia, to take on record the Unaudited Financial Result for the quarter and half year ended Septembe","Notice is hereby given pursuant to the compliance of applicable provisions of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, that a Meeting of the Board of Directors of the company will be held on Tuesday, November 14, 2017 at the registered office of the company, interalia, to take on record the Unaudited Financial Result for the quarter and half year ended September 30, 2017.  This is to further inform that the Trading window for dealing with securities of the Company by Promoter, Directors, Designated Employees including their relatives and all connected persons, as per the Code of Conduct for prevention of insider trading, framed and adopted in accordance with SEBI (Prohibition of Insider Trading) Regulations, 2015 will be closed from November 07, 2017 to November 16, 2017 (both days inclusive).Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/kwality39s-board-meetingnovember-14-2017_9952841.html
8,KDI01,2017-10-25T20:36:54+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Kwality appoints Kuldeep Sharma as additional director,"We wish to inform that the Board of Directors of the Company at its meeting held on October 25, 2017 concluded at 07:30 PM has appointed Dr. Kuldeep Sharma as Additional Director on the Board of the Company effective October 25, 2017.","Pursuant to regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, we wish to inform that the Board of Directors of the Company at its meeting held on October 25, 2017 concluded at 07:30 PM has appointed Dr. Kuldeep Sharma as Additional Director on the Board of the Company effective October 25, 2017.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/kwality-appoints-kuldeep-sharma-as-additional-director_9917501.html
9,KDI01,2017-10-25T20:35:53+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Kwality's director Satyendra Kumar Bhalla resigns,"We kindly want to inform you that the board accepted the resignation of Dr. Satyendra Kumar Bhalla as Whole Time Director of the Company with effect from October 25, 2017.","The Board accepted the resignation of Dr. Satyendra Kumar Bhalla as Whole Time Director of the Company with effect from October 25, 2017.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/kwality39s-director-satyendra-kumar-bhalla-resigns_9917441.html
