,company,datePublished,author,headline,description,articleBody,tags,url
0,LIC09,2024-02-16T20:55:38+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-pf-team-9051/', 'name': 'Moneycontrol PF Team'}","LIC launches Amritbaal, a traditional savings life insurance plan for children",The product is targeted at parents who wish to create a long-term corpus to meet the higher education needs of their children. ,"The Life Insurance Corporation of India (LIC) has announced the launch of Amritbaal, a traditional endowment policy- non-linked, non-participating - aimed at parents who are looking to build a higher education for their children over the long term.  The minimum age at entry (for the child) is 30 days, while the upper limit is 13 years. At maturity, the minimum age is 18 years while the maximum is 25 years, LIC&nbsp;said in an official release.  &ldquo;The plan is specifically designed to have an adequate corpus to meet the higher education and other needs of the child. It facilitates accumulation of corpus through guaranteed additions at the rate of Rs 80 per thousand basic sum assured at the end of each policy year from the inception till the end of policy term provided policy is in force,&rdquo; the life insurance behemoth said.  The guaranteed return policy comes with shorter premium payment terms of five, six and seven years. The minimum policy tenure for limited premium pay policies and single premium policies is 10 years and five years respectively. The maximum policy tenure for single and limited premium pay policies is 25 years.  The minimum sum assured is Rs 2 lakh, but there is no cap on the maximum sum assured. &ldquo;On the date of maturity, sum assured along with guaranteed additions will be payable&hellip;maturity amount can also be received through settlement options in installments over five, 10 or 15 years,&rdquo; LIC said.  Like other savings plans offered by the company, policyholders can avail of loans under the policy. LIC is offering the product through its offline channels, that is agents or distributor banks, as also directly through the&nbsp;company website.","insurance, LIC, Life Insurance, personal finance",https://www.moneycontrol.com//news/insurance/lic-launches-amritbaaltraditional-savings-life-insurance-plan-for-children_17461201.html
1,LIC09,2024-02-12T16:59:24+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/ravindra-sonavane-20091/', 'name': 'Ravindra Sonavane'}",PSU shares tumble: Rs 6.4 lakh crore wealth destroyed in past 3 sessions,"After the sustained run in these stocks, analysts have been cautioning investors. While a section of the market continues to believe the re-rating in state-owned companies as a whole was very much warranted, some have turned skeptical.","As PSU stocks went on a free fall over the past three sessions, investors' wealth eroded sharply by over Rs 6.4 lakh crore. The BSE PSU Index saw its steepest drop since January 23, declining by 1.7 percent on February 12.  Top wealth-eroding stocks in the last three sessions include Life Insurance Corp of India and Indian Railway Finance Co, each losing around Rs 41,000 crore in market cap. These were followed closely by Indian Oil Corp Ltd and NHPC, shedding about Rs 25,000 crore each in market cap. NTPC Ltd and ONGC also saw declines of approximately Rs 20,500 crore each in market cap over the same period.  Other notable losses included SBI Cards and Payments and Indian Overseas, down by Rs 20,000 crore and Rs 19,000 crore in market cap, respectively. General Insurance Corp and Coal India faced declines of Rs 17,000 crore each in market cap, while SBI, REC, and PFC Ltd recorded losses of Rs 16,900 crore, Rs 16,800 crore, and Rs 15,500 crore in market cap, respectively.    Prior to this, the BSE PSU index, comprising approximately 104 listed public sector firms, had risen for seven consecutive sessions, surging nearly nine percent during that time and accumulating a 13&nbsp;percent gain for the year.  PSU stocks have been on an upward trend since 2021, with the BSE PSU index experiencing gains for the third consecutive year: 41&nbsp;percent in 2021, 23&nbsp;percent in 2022, and 55.3&nbsp;percent in 2023.    After the sustained run in these stocks, analysts have been cautioning investors. While a section of the market continues to believe the re-rating in state-owned companies as a whole was very much warranted, some have turned skeptical. Recently, Kotak Institutional Equities rejected the recent market optimism on PSUs, expressing concerns about near-term focus, profitability, and potential risks in the medium-term. Despite a surge of 19-443 percent in PSU stocks over the past year, led by various sectors, Kotak expressed concern over &ldquo;highly optimistic assumptions about medium-to-long-term growth and profitability.&rdquo;    Market veteran Madhu Kela said some sections of PSU had become over-valued after the rapid gain over the past few months, thus the correction was neither surprising not unwarranted. He suggests waiting to see where individual stocks stabilize and emphasizes that buying will occur where there is valuation comfort.  &ldquo;Stocks could lose about 10-15 percent as a whole, buying will emerge at the right price. We have to wait and watch.&rdquo; Despite this correction, Kela sees the larger PSU story as intact, attributing it to a robust economy, strong public spending, and government initiatives to empower and enhance the performance of public sector companies.  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Buzzing Stocks, equity markets, markets News, PSU stocks",https://www.moneycontrol.com//news/buzzing-stocks/psu-shares-tumble-rs-64-lakh-crore-wealth-destroyedpast-3-sessions_17445831.html
2,LIC09,2024-01-17T09:50:54+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","LIC reclaims status of most-valued PSU, beating SBI with Rs 5.64-lakh-cr MCap","Life Insurance Corp of India Ltd. has reclaimed its position as the most valued listed public sector undertaking, surpassing the market capitalization of State Bank of India.  ","State-run insurance behemoth&nbsp;Life Insurance Corporation of India has reclaimed its position as the most valued listed public sector undertaking, surpassing the market capitalization of State Bank of India.  SBI boasts of&nbsp;a market value of Rs 5.63 lakh crore, while LIC has topped it with a market capitalisation (MCap) of Rs 5.64 lakh crore. At 9.30am, the SBI stock declined 1.5 percent to Rs 624, while LIC traded at Rs 896 on the BSE, up 0.2 percent.&nbsp;The&nbsp;benchmark BSE Sensex lost 1.02 percent to 72,386 points.  LIC has gained over 22 percent in 2023 and jumped 7.5 percent so far in 2024, while&nbsp;SBI advanced nearly 5 percent last year&nbsp;and lost over 1 percent so far this year.  The state-run insurer recently said it plans to launch three-four products in the coming months to achieve double-digit growth in new business premium this fiscal year. Chairman Siddhartha Mohanty in a recent CNBC interview expressed confidence in reaching this target, citing an uptick in individual retail business.  LIC also launched a special scheme, Jeevan Utsav, on November 29. The recent surge in the stock is attributed to the buzz around this non-par product, according to Kotak Institutional Equities.  The brokerage believes LIC's marketing force is capable of promoting non-par policies and anticipates the next four months to determine the success of this product. Kotak Institutional Equities retains a 'buy' tag on LIC, citing inexpensive valuations and a price target of Rs 1,040.  Kotak Institutional Equities in its latest note has increased the target price for SBI to Rs 760, maintaining a 'buy' rating. SBI is now Kotak's preferred stock in the PSU sector, attributed to its demonstrated franchise strength over the last credit cycle.  Kotak recommends owning SBI over other PSU banks, stressing on the lender's&nbsp;superior performance in credit cost, liability and asset franchises, as well as digital/technological enhancements. The firm sees no evidence to alter this view, solidifying SBI's position as the preferred choice in the PSU banking space.  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Buzzing Stocks, equity markets, LIC, markets News, SBI",https://www.moneycontrol.com//news/buzzing-stocks/lic-reclaims-statusmost-valued-psu-beating-sbirs-564-lakh-cr-mcap_17401771.html
3,LIC09,2024-01-03T20:52:35+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",Three tax departments ask LIC to cough up Rs 668 crore,"The insurance behemoth claimed that there was no material impact on financials, operations or other activities of the corporation due to the abovementioned orders.  ","Life Insurance Corporation (LIC) of India on January 3 said that it received three orders from tax authorities to pay a total Rs 668 crore. The&nbsp;life insurance behemoth&nbsp;will appeal against all three orders.  &amp;quot;This is to inform you that the Corporation has received orders from GST authorities for the collection of GST, interest and penalty for Tamil Nadu, Uttarakhand and Gujarat states,&rdquo; LIC said in an exchange filing. &ldquo;Corporation shall file an appeal before Commissioner (Appeals), Chennai, Commissioner (Appeals), Dehradun and Commissioner (Appeals), Ahmedabad respectively, against the said orders within the prescribed timelines.&rdquo;  The insurance behemoth claimed that there was no material impact on financials, operations or other activities of the corporation due to the abovementioned orders.  The first order came from Tamil Nadu's tax authority ordering LIC to pay Rs 663 crore. The tax authority alleged several violations, including availing wrong ITC (Input Tax Credit) on supplies, which are blocked credit, non-reversal of common ITC attributable to exempted supplies, availing wrong ITC without valid duty paid documents; and non-payment on tax on turnover wrongly declared as non-GST supply in GSTR-1. The demand is for FY18-19.  Similarly, the order from Uttarakhand authority asked LIC to cough up Rs 4.28 crore, while the Gujarat-based authority asked to pay Rs 39 lakh. The demands are for FY18.  Earlier, shares of LIC ended the day at Rs 838.65, up 0.11 percent.","LIC, Tax",https://www.moneycontrol.com//news/tax/three-tax-departments-ask-lic-to-coughrs-668-crore_17387651.html
4,LIC09,2023-12-07T14:30:14+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/neethi-rojan-32311/', 'name': 'Neethi Rojan'}",Life insurance premium collections fall 25% in November,"Life insurers have managed to collect a total premium of Rs 26494.83 crore in November and Rs 2,11,690.65 crore so far in FY24.","Premiums collected by life insurance companies fell 25 percent in November 2023, compared to the same period for the previous fiscal year, according to data from the Life Insurance Council.  The premium collection for the life insurance industry in so far in FY24, has seen a decline of 12 percent on a year-on-year basis. Life insurers have managed to collect a total premium of Rs 26,494.83 crore in November and Rs 2,11,690.65 crore so far in FY24.  The country's largest life insurer,&nbsp;Life Insurance Corporation (LIC), reported a 33 percent fall in premium in November. Individual Annual Premium Equivalent (APE) was down&nbsp;nine percent YoY for LIC. LIC collected a total premium of Rs 16,134.55 crore in November 2023.   HDFC Life reported a 21 percent fall in premium in November compared with the same period a year ago. The company&rsquo;s individual APE was down&nbsp;four percent YoY. HDFC collected a total premium of Rs 2,159.73 crore in November 2023.  SBI Life experienced a 10 percent fall in premium in November. Individual APE was down&nbsp;three percent YoY for the company. The company collected a total premium of Rs 2,381.73 crore in November 2023.  ICICI Prudential, however, reported a&nbsp;two percent rise in premium while its individual APE was down&nbsp;three percent YoY. ICICI Prudential collected a total premium of Rs 1,290.95 crore in November 2023.  Max Life reported a rise in premium of&nbsp;eight percent. The company&rsquo;s individual APE also rose eight percent in the period, and it collected a total premium of Rs 748.76 crore in November 2023.  Shares of LIC were trading 6.10 percent up at Rs 791.50 at 2. 25 pm on the NSE.","Business, India, insurance, premium",https://www.moneycontrol.com//news/business/life-insurance-premium-collections-fall-25november_17362981.html
5,LIC09,2023-05-28T21:09:22+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Life Insurance Corporation; target of Rs 830: Motilal Oswal,"Motilal Oswal is bullish on Life Insurance Corporation recommended buy rating on the stock with a target price of Rs 830 in its research report dated May 25, 2023.","Motilal Oswal's research report on Life Insurance Corporation LIC reported a PAT of INR134.3b in 4QFY23, up 4x YoY. This was a result of the transfer of INR73b from the Non-Par segment to shareholders&rsquo; account pertaining to accretion on the available solvency margin in 4QFY23. For FY23, PAT grew 8x YoY to INR364b. APE grew 12% YoY (55% QoQ) to INR191.3b in 4QFY23 (INR566.8b in FY23). 4QFY23 VNB stood at INR37b as VNB margin increased by 476bp QoQ to 19.4%. For FY23, VNB margin improved to 16.2% v/s 15.1% in FY22. The Individual/Group business constituted 68%/32% of APE in FY23. In the Individual business, the share of PAR products remained largely stable at ~91%. In total NBP, the share of PAR products was lower at 66% in FY23. Annuity/Pension and ULIPs constituted the bulk of residual, with 25% and 7%, respectively. Gross margin in the Individual Par segment improved to 14.6% v/s 14.4% in 9MFY23. For the Non-Par segment, it moderated to 70.4% v/s 73.5% in 9MFY23. In the group segment, gross margin improved to 22.1% in FY23.  Outlook We slightly raise our FY24/FY25 VNB estimates by 4%/6%. We estimate LICI to deliver a 15% CAGR in APE over FY23-25, thus enabling a 27% VNB CAGR. We maintain our BUY rating. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Life Insurance Corporation - 26 -05 - 2023 - moti","Buy, Life Insurance Corporation, Motilal Oswal, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-life-insurance-corporation-targetrs-830-motilal-oswal_17038881.html
6,LIC09,2023-05-24T21:00:39+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","LIC Q4 profit surges nearly 6-fold to Rs 13,428 crore; dividend declared","LIC earned net commission of Rs 8,428.5 crore for the last quarter of FY23, growing 5.4 percent over the year-ago period, and showing a massive 33.4 percent increase compared to previous quarter.","Life Insurance Corporation of India recorded a standalone net profit&nbsp;of Rs 13,427.8 crore for the quarter ended March FY23, growing 466 percent over the corresponding period in the last fiscal.  The standalone net profit for the March FY22 quarter stood at Rs 2,371.5 crore, according to an exchange filing from&nbsp;the country's largest insurer&nbsp;on May 24. The sequential growth in profit was 112 percent.  Standalone net premium income fell by 8.3 percent year-on-year to Rs 1.31 lakh crore for March FY23 quarter, but on a sequential basis, the said premium income increased by 17.9 percent.  &amp;quot;The first year premium fell by 12.33 percent on-year to Rs 12,811.2 crore, but the renewal premium increased by 6.8 percent to Rs 76,009 crore compared to year-ago period,&amp;quot; the life insurance major said in its filing to exchanges on May 24.  LIC earned net commission of Rs 8,428.5 crore for the last quarter of financial year 2022-23, growing 5.4 percent over year-ago period, and showing a massive 33.4% increase compared to previous quarter.  Click Here To Read All Earnings Related News  The 13th month persistency ratio, which indicates policyholder loyalty, increased to 70.16 percent for the quarter ended March FY23, from 69.24 percent a year-ago period. This means higher policyholders are sticking with LIC beyond one year, but 25th month persistency ratio fell to 63.84 percent in Q4FY23, from 68.23 percent in corresponding period last fiscal.  LIC&rsquo;s solvency ratio in March FY23 quarter was at 1.87, which came in higher compared to 1.85 in Q4FY22 as well as Q3FY23.  The company said&nbsp;its board has recommended final dividend of Rs 3 per share FY23, translating to a dividend payout of Rs 1,897 crore.","Life Insurance Corporation of India, Results",https://www.moneycontrol.com//news/results/lic-q4-profit-surges-nearly-6-fold-to-rs-13428-crore-dividend-declared_17027451.html
7,LIC09,2023-03-14T16:51:58+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Life Insurance Corporation; target of Rs 830: Motilal Oswal,"Motilal Oswal is bullish on Life Insurance Corporation recommended buy rating on the stock with a target price of Rs 830 in its research report dated February 10, 2023.","Motilal Oswal's research report on Life Insurance Corporation LIC reported a PAT of INR63.3b in 3QFY23, up 27x YoY. This is a result of the transfer of INR56.7b from the Non-Par segment to shareholders&rsquo; accounts (related to accretion on available solvency margin). For 9MFY23, PAT grew 13.7x YoY to INR229.7b. APE came in at INR123.2b in 3QFY23 (down 18% QoQ; INR375.5b in 9MFY23). VNB declined 21% YoY to INR18.0b as VNB margin moderated by 60bp QoQ to 14.6% in 3QFY23. For 9MFY23, VNB margin stood stable at 14.6% with VNB of INR54.8b. The Individual/Group business constituted 62%/38% of APE, respectively, in 9MFY23. Within the Individual business, the share of PAR products remained stable at ~91%. In terms of NBP, the share of PAR products was lower at 66%. Annuity/Pension and ULIPs constituted the bulk of the residual with 24% and 7%, respectively. We expect the momentum to sustain in the medium term, led by incremental focus and introduction of new products.  Outlook However, we expect operating RoEV to remain modest at 10.4%, given its lower margin profile than private peers. LICI is trading at 0.6x FY24E EV, which appears reasonable considering the gradual recovery in margin and diversification in the business mix. We reiterate our Buy rating with a revised TP of INR830 (0.8x Sep&rsquo;24E EV). For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Life Insurance Corporation - 14 -03 - 2023 - moti","Buy, Life Insurance Corporation, Motilal Oswal, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-life-insurance-corporation-targetrs-830-motilal-oswal_16926611.html
8,LIC09,2023-02-16T19:11:39+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Hold LIC of Rs 700: Emkay Global Financial,"Emkay Global Financial recommended hold rating on LIC with a target price of Rs 700 in its research report dated February 10, 2023.","Emkay Global Financial's research report on LIC LIC&rsquo;s 9MFY23 results came broadly in line with our estimates with APE of Rs375.5bn (our est: Rs389bn), VNB of Rs54.8bn (est: Rs56.4bn), and VNB margin of 14.6% (est: 14.5%). Overall APE growth moderated materially to 25.5% YoY in 9MFY23 vs. 36.7% for HY23. For Q3FY23, APE growth was muted at 7.4%YoY, driven by 32% YoY growth in group business, and was dragged down by 0% YoY growth in the individual business. PAT for 9MFY23 stood at Rs230bn (Q3FY23: Rs63.3bn), owing to a host of factors such as accounting policy-led changes of transferring surplus in the non-par account to shareholders&rsquo; account. On net basis, LIC&rsquo;s 9MFY23 numbers do not change our opinion on the fundamental challenges of slower growth and sticky cost leading to gradual market share loss in the retail segment and subpar profitability reflecting in poor embedded value (shareholder value) compounding. To reflect 9M developments, we have slightly adjusted our numbers. Currently, LIC is trading on an undemanding valuation of FY24E P/EV of 0.63x.  Outlook However, given the lack of positive catalysts, we continue to maintain our neutral view on the stock. We reiterate our Hold rating on the stock with our revised Dec-23E TP of Rs700 (0.75x Dec-23E P/EV). For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. LIC - 14 -02 - 2023 - emkay","Emkay Global Financial, Hold, LIC, Recommendations",https://www.moneycontrol.com//news/recommendations/hold-licrs-700-emkay-global-financial_16888241.html
9,LIC09,2022-12-12T12:09:52+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",LIC's aggression visible but private insurers still win on profitability,"On an annualised premium equivalent basis, LIC reported a 30% YoY increase in business for November 2022. However, much of this growth comes from the group insurance segment as LIC&rsquo;s retail market share is on a downhill","The Life Insurance Corporation (LIC) of India seems to be walking its talk of regaining its market share and growing at a faster pace than it has been doing in the past few quarters.  LIC&rsquo;s new business premium for the month of November was Rs 24,033 crore, a massive growth of 50 percent. New business growth of all the private sector life insurers put together was a mere 1.9 percent during the same month. Note that LIC&rsquo;s balance sheet size makes this growth rate even more sizeable.  The insurance industry&rsquo;s business metrics for November show that LIC has gained considerable ground versus its private sector peers in pushing policies. On an annualised premium equivalent (APE) basis, LIC reported 30 percent year-on-year (YoY) increase in business for November 2022.  Among private-sector life insurers, SBI Life Insurance Company reported an 11 percent growth, and ICICI Prudential Life Insurance Corporation reported a marginal fall of 1 percent. HDFC Life Insurance Company reported a 42 percent surge.  To be sure, listed private-sector life insurers have also shown a sharp jump in premium growth.  LIC leads the growth rate on a three-year compounded annual growth rate (CAGR) basis too. A three-year CAGR growth smoothens out the volatility induced by the COVID-19 pandemic, giving investors a fair idea of the performance of an insurer.  Notably, the expansion comes on a balance sheet size that dwarfs other players. Kotak Institutional Equities notes that the 3-year CAGR growth for LIC was a stellar 42 percent, as of November.  LIC&rsquo;s retail market share falls  What should bother investors is that much of this growth comes from the group insurance segment even as LIC&rsquo;s retail market share is on a downhill.  Growth here hasn&rsquo;t been spectacular with retail APE increasing by a modest 12.8 percent in November, which compares poorly to a 47.6 percent growth of HDFC Life and 30.3 percent for SBI Life. Ergo, the life insurer has lost market share here.  &ldquo;LIC reported muted retail APE growth of 1.3 percent for YTDFY23, resulting in an immense decline in retail APE market share. Moving further, we expect LIC to grow in high single digits,&rdquo; analysts at Emkay Global Financial Services wrote in a note.  The insurer&rsquo;s management has reiterated several times that the company would pursue growth and particularly increase the share of non-participatory products.  Given its vast agency network, LIC&rsquo;s aggression in margin-friendly, non-participatory products does not bode well for private-sector life insurers. In fact, smaller life insurers could face a greater challenge simply because of the balance sheet heft of LIC.  So, will LIC stock price go up?  The stock is down 23 percent from its issue price of Rs 949 at the initial public offer in May to Rs 685 a piece now. Though analysts have taken a favourable look, post the insurer&rsquo;s growth pick-up, LIC&rsquo;s profitability metrics still fall short. This could weigh on the stock.  Private-sector peers are likely to deliver more bang for their buck. Profitability metrics, such as value of new business (VNB) and margins, are superior for HDFC Life and SBI Life.  For instance, in the July-September 2022 quarter, HDFC Life reported a VNB margin of 26.2 percent, second only to SBI Life&rsquo;s VNB margin of 31.6 percent. LIC&rsquo;s margin was a mere 14.6 percent.  Analysts at Kotak Institutional Equities continue to keep HDFC Life and SBI Life as their top picks in life insurance. To be sure, growth could moderate for bank-promoted life insurers as lenders get busy pushing deposits and side-line policies.  &ldquo;We do not expect the current month&rsquo;s momentum to continue, especially in the light of rising deposit rates, even as we build consistent moderate gains for HDFC Life. SBI Life, though volatile on month-on-month basis, would continue to gain share over the year&mdash;largely supported by its strong parent,&rdquo; they said in a note.  For LIC, given the vintage of its policies, the extent of profits it can squeeze out is limited. This is already reflecting in its embedded value, which hardly showed an expansion despite the insurer&rsquo;s operating performance being stellar. The contribution of VNB to embedded value &mdash; of around 1.8 percent &mdash; is low for LIC.","Business, Companies, India, insurance, Insurance regulator IRDA, LIC, Life Insurance, sector",https://www.moneycontrol.com//news/business/lic39s-aggression-visibleprivate-insurers-still-winprofitability_16772081.html
