,company,datePublished,author,headline,description,articleBody,tags,url
0,LPS,2017-08-23T13:16:43+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Lakshmi Precision Screws' board meeting rescheduled,"THE 306th BOARD MEETING OF THE COMPANY IS RESCHEDULED ON TUESDAY, 12TH DAY OF SEPTEMBER, 2017 DUE TO NON- FINALIZATION OF FINANCIAL STATEMENT FOR FIRST QUARTER ENDED ON JUNE 30, 2017 FOR FINANCIAL YEAR 2017-18.","THE 306th BOARD MEETING OF THE COMPANY IS RESCHEDULED ON TUESDAY, 12TH DAY OF SEPTEMBER, 2017 DUE TO NON- FINALIZATION OF FINANCIAL STATEMENT FOR FIRST QUARTER ENDED ON JUNE 30, 2017 FOR FINANCIAL YEAR 2017-18.  TRADING WINDOW SHALL BE CLOSED FROM SEPTEMBER 05, 2017 TO SEPTEMBER 14, 2017.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/lakshmi-precision-screws39-board-meeting-rescheduled_9529521.html
1,LPS,2017-08-01T12:33:15+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","Lakshmi Precision Screws' board meeting on August 11, 2017","The Meeting of Board of Directors is scheduled on Friday, the 11th day of August, 2017 at Rohtak, to inter alia, to consider, approve and take on record the un-audited financial Results for quarter 1 ended on June 30, 2017.","The Meeting of Board of Directors is scheduled on Friday, the 11th day of August, 2017 at Rohtak, to inter alia, to consider, approve and take on record the un-audited financial Results for quarter 1 ended on June 30, 2017.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/lakshmi-precision-screws39-board-meetingaugust-11-2017_9370741.html
2,LPS,2017-06-13T13:32:04+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Lakshmi Precision Screws to consider dividend,"Lakshmi Precision Screws Ltd has informed BSE that the meeting of the Board of Directors of the Company is scheduled to be held on June 20, 2017, to, consider, approve and take on record Annual Audited Financial Results for the fourth quarter and financial year ended on March 31, 2017 and to recommend the dividend, if any.","Lakshmi Precision Screws Ltd has informed BSE that the meeting of the Board of Directors of the Company is scheduled to be held on June 20, 2017, to, inter alia, to consider, approve and take on record Annual Audited Financial Results for the fourth quarter and financial year ended on March 31, 2017 and to recommend the dividend, if any, subject to the approval of the members in the ensuing 48th Annual General Meeting.Further, the Trading Window, under the provisions of the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations, 2015 will remain closed from June 13, 2017 to June 22, 2017 (both days inclusive).Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/lakshmi-precision-screws-to-consider-dividend_9091861.html
3,LPS,2017-06-12T16:25:20+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","Lakshmi Precision Screws' board meeting on June 20, 2017","Intimation of Convening Board Meeting on June 20, 2017 interalia to consider and approve Audited financial results for fourth quarter and financial year ended on March 31, 2017.","Intimation of Convening Board Meeting on June 20, 2017 interalia to consider and approve Audited financial results for fourth quarter and financial year ended on March 31, 2017.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/lakshmi-precision-screws39-board-meetingjune-20-2017_9086501.html
4,LPS,2017-05-11T13:29:12+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","Lakshmi Precision Screws' board meeting on May 30, 2017","Pursuant to Regulation 29 of the SEBI (LODR) Regulations 2015, this is to inform that the meeting of Board of Directors of the Company is scheduled to be held on Tuesday, May 30, 2017, to, iteralia, to consider and approve Audited Financial results for fourth quarter and Annual Financial Result for FY 2016-17, and to recommend the dividend, if any.","Pursuant to Regulation 29 of the SEBI (LODR) Regulations 2015, this is to inform that the meeting of Board of Directors of the Company is scheduled to be held on Tuesday, May 30, 2017, to, iteralia, to consider and approve Audited Financial results for fourth quarter and Annual Financial Result for FY 2016-17, and to recommend the dividend, if any, subject to approval of the members in ensuing the 48th Annual General Meeting.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/lakshmi-precision-screws39-board-meetingmay-30-2017_8906421.html
5,LPS,2017-02-22T16:17:01+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Lakshmi Precision Screws' board meeting on Feb 25, 2017","Lakshmi Precision Screws Ltd has informed BSE that the Meeting of the Board of Directors of the Company is scheduled to be held at shorter notice on February 25, 2017 to consider and approve for filling of casual vacancy caused due to resignation of existing Statutory Auditors of the Company.","Lakshmi Precision Screws Ltd has informed BSE that the Meeting of the Board of Directors of the Company is scheduled to be held at shorter notice on February 25, 2017 inter alia, to consider and approve for filling of casual vacancy caused due to resignation of existing Statutory Auditors of the Company.Source : BSE Read all announcements in Lakshmi Prec",Announcements,https://www.moneycontrol.com//news/announcements/lakshmi-precision-screws-board-meetingfeb-25-2017_8541101.html
6,LPS,2017-01-31T15:31:35+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Lakshmi Precision Screws' board meeting on February 14, 2017","Lakshmi Precision Screws Ltd has informed BSE that the Meeting of the Board of Directors of the Company is scheduled to be held on February 14, 2017, inter alia, to consider and approve the Unaudited Financial Results for the 3rd Quarter/ Nine months ended December 31, 2016.","Lakshmi Precision Screws Ltd has informed BSE that the Meeting of the Board of Directors of the Company is scheduled to be held on February 14, 2017, inter alia, to consider and approve the Unaudited Financial Results for the 3rd Quarter/ Nine months ended December 31, 2016.Further, the Trading Window under Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations, 2015 will remain closed from February 07, 2017 to February 16, 2017 (both days inclusive).Source : BSE Read all announcements in Lakshmi Prec",Announcements,https://www.moneycontrol.com//news/announcements/lakshmi-precision-screws-board-meetingfebruary-14-2017_8383921.html
7,LPS,2016-12-30T23:15:13+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Lakshmi Precision Screws: Outcome of board meeting,"Lakshmi Precision Screws has informed regarding Outcome of Board Meeting held on December 30, 2016.","Lakshmi Precision Screws Ltd has informed BSE regarding Outcome of Board Meeting held on December 30, 2016.Source : BSE Read all announcements in Lakshmi Prec",Announcements,https://www.moneycontrol.com//news/announcements/lakshmi-precision-screws-outcomeboard-meeting_8188541.html
8,LPS,2016-12-23T14:31:14+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Lakshmi Precision Screws' board meeting on December 30, 2016","Lakshmi Precision Screws Ltd has informed BSE that a meeting of the Board of Directors of the Company, which is scheduled to be held on December 30, 2016 to consider and approve the appointment of an Independent Director of the Company.","Lakshmi Precision Screws Ltd has informed BSE that a meeting of the Board of Directors of the Company, which is scheduled to be held on December 30, 2016 to consider and approve the appointment of an Independent Director of the Company.Source : BSE Read all announcements in Lakshmi Prec",Announcements,https://www.moneycontrol.com//news/announcements/lakshmi-precision-screws-board-meetingdecember-30-2016_8156281.html
9,LPS,2016-08-24T15:24:12+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Lakshmi Precision's board meeting on August 27, 2016","Lakshmi Precision Screws Ltd has informed BSE that a meeting of the Board of Directors of the Company is scheduled to be held on August 27, 2016, inter alia, to consider, approve and take on record Quarterly Unaudited Financial results for the first quarter of the financial year 2016-17.","Lakshmi Precision Screws Ltd has informed BSE that a meeting of the Board of Directors of the Company is scheduled to be held on August 27, 2016, inter alia, to consider, approve and take on record Quarterly Unaudited Financial results for the first quarter of the financial year 2016-17.Further, the trading window, under the provisions of the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations, 2015 will remain closed from August 24, 2016 to August 29, 2016 (both days inclusive).Source : BSE Read all announcements in Lakshmi Prec",Announcements,https://www.moneycontrol.com//news/announcements/lakshmi-precisions-board-meetingaugust-27-2016_7335021.html
10,LPS,2016-08-03T15:04:07+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Lakshmi Precision Screws' board meeting on August 13, 2016","Lakshmi Precision Screws Ltd has informed BSE that a meeting of the Board of Directors of the Company, which is scheduled to be held on August 13, 2016, to, inter alia, to consider, approve and take on record the Un-audited Financial Results for the 1st quarter ended June 30, 2016.","Lakshmi Precision Screws Ltd has informed BSE that a meeting of the Board of Directors of the Company, which is scheduled to be held on August 13, 2016, to, inter alia, to consider, approve and take on record the Un-audited Financial Results for the 1st quarter ended June 30, 2016.Further, the Trading Window, under the provisions of the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations, 2015 will remain closed from August 06, 2016 to August 15, 2016 (both days inclusive).Source : BSE Read all announcements in Lakshmi Prec",Announcements,https://www.moneycontrol.com//news/announcements/lakshmi-precision-screws-board-meetingaugust-13-2016_7189741.html
11,LPS,2016-08-02T22:13:11+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Lakshmi Precision Screws: Updates on resignation of director,"Lakshmi Precision Screws has informed that in partial modification of earlier intimation of Resignation of Director, as communicated vide letter dated July 08, 2016, the Company had received the intimation from Mr. Bhuwan Kumar Chaturvedi, Independent Director, via email on August 02, 2016.","Lakshmi Precision Screws Ltd has informed BSE that in partial modification of earlier intimation of Resignation of Director, as communicated vide letter dated July 08, 2016, the Company had received the intimation from Mr. Bhuwan Kumar Chaturvedi, Independent Director, via email on August 02, 2016, where he had mentioned his resignation date should be read as August 16, 2016 instead of July 05, 2016.Source : BSE Read all announcements in Lakshmi Prec",Announcements,https://www.moneycontrol.com//news/announcements/lakshmi-precision-screws-updatesresignationdirector_7180761.html
12,LPS,2016-06-15T08:47:48+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Lakshmi Precision Screws: Outcome of board meeting,"Lakshmi Precision Screws Ltd has informed BSE that the Board of Directors of the Company at its meeting held on June 14, 2016, inter alia, has not recommended any payment of dividend to the Members of the Company for the financial year 2015-16.","Lakshmi Precision Screws Ltd has informed BSE that the Board of Directors of the Company at its meeting held on June 14, 2016, inter alia, has not recommended any payment of dividend to the Members of the Company for the financial year 2015-16.Source : BSE Read all announcements in Lakshmi Prec",Announcements,https://www.moneycontrol.com//news/announcements/lakshmi-precision-screws-outcomeboard-meeting_6866041.html
13,LPS,2016-01-25T21:34:18+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Lakshmi Precision Screws: Outcome of board meeting,"Lakshmi Precision Screws has informed regarding Outcome of Board Meeting held on January 25, 2016.","Lakshmi Precision Screws Ltd has informed BSE regarding Outcome of Board Meeting held on January 25, 2016.Source : BSE Read all announcements in Lakshmi Prec",Announcements,https://www.moneycontrol.com//news/announcements/lakshmi-precision-screws-outcomeboard-meeting_5155681.html
14,LPS,2015-11-03T19:43:12+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Lakshmi Precision Screws appoints Santosh Kumar company secretary &amp;amp; CO,"Lakshmi Precision Screws has informed that Mr. Santosh Kumar Sharma have joined the Company as Company Secretary and Compliance Officer w.e.f. November 02, 2015 in place of Mr. Tarun Kumar.","Lakshmi Precision Screws Ltd has informed BSE that Mr. Santosh Kumar Sharma have joined the Company as Company Secretary and Compliance Officer w.e.f. November 02, 2015 in place of Mr. Tarun Kumar.Source : BSE Read all announcements in Lakshmi Prec",Announcements,https://www.moneycontrol.com//news/announcements/lakshmi-precision-screws-appoints-santosh-kumar-company-secretaryco_3958021.html
15,LPS,2015-10-19T08:47:07+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Lakshmi Precision Screws' board meeting on November 13, 2015","Lakshmi Precision Screws Ltd has informed BSE that the Meeting of the Board of Directors of the Company is scheduled to be held on November 13, 2015, inter alia, to consider, approve and take on record the Un-audited Financial Results for the 2nd quarter and 1st half year ended September 30, 2015.","Lakshmi Precision Screws Ltd has informed BSE that the Meeting of the Board of Directors of the Company is scheduled to be held on November 13, 2015, inter alia, to consider, approve and take on record the Un-audited Financial Results for the 2nd quarter and 1st half year ended September 30, 2015.Further, the Trading Window under Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations, 2015 will remain closed from November 06, 2015 to November 15, 2015 (both days inclusive).Source : BSE Read all announcements in Lakshmi Prec",Announcements,https://www.moneycontrol.com//news/announcements/lakshmi-precision-screws-board-meetingnovember-13-2015_3662361.html
16,LPS,2015-10-06T23:13:54+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Lakshmi Precision Screws director Ajay Kumar Chakraborty resigns,"Lakshmi Precision Screws has informed that Mr. Ajay Kumar Chakraborty, Non-executive Independent Director has submitted his resignation from the Directorship of the Company with immediate effect.","Lakshmi Precision Screws Ltd has informed BSE that Mr. Ajay Kumar Chakraborty, Non-executive Independent Director has submitted his resignation from the Directorship of the Company with immediate effect.Source : BSE Read all announcements in Lakshmi Prec",Announcements,https://www.moneycontrol.com//news/announcements/lakshmi-precision-screws-director-ajay-kumar-chakraborty-resigns_3456041.html
17,LPS,2015-10-01T20:53:24+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Lakshmi Precision Screws: Updates on outcome of AGM,"Lakshmi Precision Screws has submitted a copy of Proceedings of the 46th Annual General Meeting (AGM) of the Company held on September 29, 2015.","Lakshmi Precision Screws Ltd has submitted to BSE a copy of Proceedings of the 46th Annual General Meeting (AGM) of the Company held on September 29, 2015.Source : BSE Read all announcements in Lakshmi Prec",Announcements,https://www.moneycontrol.com//news/announcements/lakshmi-precision-screws-updatesoutcomeagm_3381981.html
18,LPS,2015-10-01T15:45:55+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Lakshmi Precision Screws: Outcome of AGM,"Lakshmi Precision Screws Ltd has informed BSE that the 46th Annual General Meeting (AGM) of the Company was held on September 29, 2015 pursuant to Clause 35A. Further the Company has submitted a copy of Scrutinizer Report.","Lakshmi Precision Screws Ltd has informed BSE that the 46th Annual General Meeting (AGM) of the Company was held on September 29, 2015 pursuant to Clause 35A.Further the Company has submitted a copy of Scrutinizer Report.Source : BSE Read all announcements in Lakshmi Prec",Announcements,https://www.moneycontrol.com//news/announcements/lakshmi-precision-screws-outcomeagm_3371321.html
19,LPS,2015-07-16T15:44:50+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Lakshmi Precision Screws appoints Tarun Kumar as company secretary,"Lakshmi Precision Screws Ltd has informed BSE that Mr. Tarun Kumar have joined the Company as Company Secretary and Compliance Officer w.e.f. July 16, 2015 in place of Mr. Naveen Kakkar.","Lakshmi Precision Screws Ltd has informed BSE that Mr. Tarun Kumar have joined the Company as Company Secretary and Compliance Officer w.e.f. July 16, 2015 in place of Mr. Naveen Kakkar.Source : BSE Read all announcements in Lakshmi Prec",Announcements,https://www.moneycontrol.com//news/announcements/lakshmi-precision-screws-appoints-tarun-kumar-as-company-secretary_1997121.html
