,company,datePublished,author,headline,description,articleBody,tags,url
0,LTS,2024-01-17T13:39:09+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Neutral Larsen and Toubro Technology Services; target of Rs 5447: YES Securities,"YES Securities recommended Neutral rating on Larsen and Toubro Technology Services with a target price of Rs 5447 in its research report dated January 16, 2024.","YES Securities' research report on Larsen and Toubro Technology Services L&amp;amp;amp;T Technology Services (LTTS) reported broadly inline financial performance for the quarter. Both, the sequential revenue growth and EBIT margin were as per expectation. It reported revenue growth of 0.9% QoQ in USD terms. The cc revenue growth was 0.9% QoQ in cc terms. There was sequential increase in EBIT margin (up 11 bps QoQ) to 17.2%. led by positive operating efficiency. Employee attrition continues to decline as LTM attrition decreased by 90 bps QoQ to 15.8%. The near term demand environment remains challenging as the clients across sectors remain cautious regarding the evolving macroeconomic situation leading to slow decision making and thus impacting near term revenue performance. Improving employee pyramid and falling employee attrition will support operating margin going ahead. We estimate revenue CAGR of 17.1% (including impact of SWC acquisition) over FY23‐26E with average EBIT margin of 18.6%.  Outlook We maintain our NEUTRAL rating on the stock with revised target price of Rs 5,447/share at 31x on FY26E EPS. The stock trades at PER of 34.4x/30.5x on FY25E/FY26E EPS. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. L&amp;amp;amp;T Technology Services - 17012024 - yes","Larsen and Toubro Technology Services, neutral, Recommendations, Yes Securities",https://www.moneycontrol.com//news/recommendations/neutral-larsentoubro-technology-services-targetrs-5447-yes-securities_17402781.html
1,LTS,2024-01-17T13:01:35+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Larsen and Toubro Technology Services; target of Rs 6220: Motilal Oswal,"Motilal Oswal is bullish on Larsen and Toubro Technology Services recommended buy rating on the stock with a target price of Rs 6220 in its research report dated January 17, 2024.","Motilal Oswal's research report on Larsen and Toubro Technology Services L&amp;amp;amp;T Technology (LTTS) posted revenue of USD291m in 3QFY24, up 0.9% QoQ CC and slightly below our estimate. Revenue performance was broad based, led by Medical Devices (+2.4% QoQ). Despite 3Q seasonality, dealsigning was strong, as LTTS signed six large deals with USD10m+ TCV. The management maintained its FY24 revenue growth guidance at 17.5-18.5%, which implies a strong exit to FY24 (+4.0-7.0% QoQ CC), aided by SWC seasonality. EBIT margin wasflat at 17.2% (up 10bp QoQ), missing our estimate of a 60bp QoQ improvement. Despite the net headcount reduction of ~600, the margin improvement was muted in 3Q as utilization was low due to furloughs and higher SG&amp;amp;amp;A costs.  Outlook We keep our FY24/FY25 EPS estimates broadly unchanged after the 3QFY24 results. We retain our BUY rating on LTTS with a TP of INR6,220 (based on 35x FY26E EPS), considering 1) a better outlook for the ER&amp;amp;amp;D services industry compared to the broader IT services universe, and 2) the growing penetration of outsourced ER&amp;amp;amp;D services. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. L&amp;amp;amp;T Technology - 17012024 - moti","Buy, Larsen and Toubro Technology Services, Motilal Oswal, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-larsentoubro-technology-services-targetrs-6220-motilal-oswal_17402621.html
2,LTS,2024-01-17T09:25:33+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/vaibhavi-ranjan-28841/', 'name': 'Vaibhavi Ranjan'}","L&amp;amp;T Tech rises 3.5% as Q3 net jumps 13%, management foresees better days ahead","The company also retained its FY24 growth guidance of 17.5&ndash;18.5 percent, pointing towards a strong Q4.","Shares of L&amp;amp;amp;T Technology Services rose 3.5 percent in the opening trade on January 17, a day after the company reported healthy quarterly numbers for the October-December period. Positive commentary from the management, hinting at better days ahead, further lifted the sentiment.  At 9.17am, shares of L&amp;amp;amp;T Tech were trading at Rs&nbsp;5,491.50 on the NSE.  The information technology company posted a 14.4 percent on-quarter jump in its consolidated net profit to Rs&nbsp;336.2 crore in Q3, largely in-line with CNBC TV-18 estimate of Rs 332 crore.  The topline grew 1.5 percent sequentially to&nbsp;Rs 2,422 crore. In&nbsp;dollar terms, the revenue stood at $290.7 million for October-December. The operating margin ticked marginally by 10 basis points on-quarter to 17.2 percent in Q3.  The company's&nbsp;management sounded positive, with the CEO quoting that &amp;quot;winter is over, spring is around the corner&amp;quot;. On that account, the company also retained its&nbsp;FY24 growth guidance of 17.5&ndash;18.5 percent, pointing towards a strong Q4.  Deal flows in Q3 also remained strong with six $10-million-plus contracts.  Follow our market blog to catch all the live action  Hopeful of seeing a turnaround in the coming quarters, Nuvama Institutional Equities raised its&nbsp;FY24/25/26 by 0.2 percent/1.5 percent/3.1&nbsp;percent in anticipation of&nbsp;enhanced revenue visibility for L&amp;amp;amp;T Tech. The firm also upgraded the stock to 'buy' while raising its price target by over 20 percent to Rs&nbsp;6,260.  Motilal Oswal Financial Services also remains positive of the company and believes that with&nbsp;deal activity and pipeline continuing to improve,&nbsp;L&amp;amp;amp;T Tech&nbsp;is likely to gain incremental business from the scale-up in new accounts.  &amp;quot;While Q4 will benefit from seasonal tailwinds in the recently acquired SWC (Software and Consulting) business, the upper end of the guidance indicates an improving near-term outlook, a ramp-up in recent empanelment, and potential large deal wins,&amp;quot; the firm said in a note. MOFSL has a 'buy' call on the stock with a price target of Rs 6,220.  At a contrast, Nomura showed caution as it felt the Q4 ask rate for L&amp;amp;amp;T Tech for achieving its FY24 revenue growth guidance of 17.5-18.5 percent was a steep one. On that account, Nomura retained its 'reduce' call on the stock and inched down its price target to Rs&nbsp;3,880.  On the other hand, Jefferies believes the company would need material acceleration for growth in FY25, in the absence of which, it could underperform. The brokerage has an 'underweight' call on the stock with a target price of Rs&nbsp;4,600.  Also Read |&nbsp;L&amp;amp;amp;T Tech Q3 results: Net profit jumps 13% YoY to Rs 336 crore, revenue up 12%  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.",", L&T Tech, Buzzing Stocks",https://www.moneycontrol.com//news/buzzing-stocks/lt-tech-rises-35-as-q3-net-jumps-13-management-foresees-better-days-ahead_17401611.html
3,LTS,2023-07-19T11:17:40+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Reduce Larsen and Toubro Technology; target of Rs 3865: HDFC Securities,"HDFC Securities recommended reduce rating on Larsen and Toubro Technology with a target price of Rs 3865 in its research report dated July 18, 2023.","HDFC Securities' research report on Larsen and Toubro Technology L&amp;amp;amp;T Technology Services (LTTS) delivered lower Q1 revenue performance, impacted by SWC seasonality. Strong demand continued in the transportation vertical (33% of revenue), led by continued traction in off-highway, EV, and software-defined vehicles while other verticals were impacted by delayed decision-making. Telecom &amp;amp;amp; Hi-tech witnessed organic decline impacted by weakness in the semi-conductor sub-segment which is expected to prevail further in Q2. SWC revenue performance is expected to improve in H2FY24; it has historically contributed ~60% of annual revenue. We have built low-teen organic revenue CAGR over FY23-26E, which is in line with its historical growth, supported by a strong and diversified engineering services pedigree. LTTS maintained its medium-term growth outlook of USD 1.5bn revenue rate by FY25E. Wage increase in Q2 will be offset by medium-term levers of lower sub-contracting and better performance of SWC in H2FY24E. Outlook The risk-reward is unfavourable at 33x FY24E and we maintain REDUCE, with a TP of INR 3,865, based on 25x Jun-25E EPS and a 16% EPS CAGR over FY23-26E. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. L&amp;amp;amp;T Technology Services - 19 -07 - 2023 - hdfc","HDFC Securities, Larsen and Toubro Technology, Recommendations, Reduce",https://www.moneycontrol.com//news/recommendations/reduce-larsentoubro-technology-targetrs-3865-hdfc-securities_17119811.html
4,LTS,2023-04-28T15:30:11+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Hold Larsen and Toubro Technology Services; target of Rs 3800: Sharekhan,"Sharekhan recommended Hold rating on Larsen and Toubro Technology Services with a target price of Rs 3800 in its research report dated April 26, 2023.","Sharekhan's research report on Larsen and Toubro Technology Services LTTS reported a revenue of $255.1million with constant currency (cc) revenue growth of 2.2% q-o-q/12.1% y-o-y, beating our estimates of 1.2% cc revenue growth q-o-q led by strong growth in Medical devices and Plant Engineering verticals. EBIT margin was flat q-o-q at 18.7% slightly above our estimates of 18.5%. LTTS won a $40 million deal and three $10 million plus TCV during Q4FY23 . The management expects to see another strong year of growth for FY24 and provided guidance of 20% plus in constant currency terms, within this organic growth would be 10% plus while the rest would come from SWC. The company expects the margin to decline by 180 bps q-o-q (180-200 bps earlier) due to integration of SWC in Q1FY24 Apart from near term uncertainty, the SWC acquisition is margin dilutive for FY24 and may provide only marginal synergies in the near-term. Outlook Hence, we maintain Hold rating on LTTS with revised PT of Rs 3800 despite strong deal wins, differentiated engineering capabilities and domain expertise in the diversified vertical mix. At CMP, the stock trades at 28.6x / 23.5x its FY24E/FY25E EPS respectively. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  Larsen and Toubro Technology Services - 27 -04 - 2023 - khan","Hold, Larsen and Toubro Technology Services, Recommendations, Sharekhan",https://www.moneycontrol.com//news/recommendations/hold-larsentoubro-technology-services-targetrs-3800-sharekhan_16977291.html
5,LTS,2023-04-27T16:38:26+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Larsen and Toubro Technology Services; target of Rs 4040 : Motilal Oswal,"Motilal Oswal is bullish on Larsen and Toubro Technology Services recommended buy rating on the stock with a target price of Rs 4040 in its research report dated April 27, 2023.","Motilal Oswal's research report on Larsen and Toubro Technology Services L&amp;amp;amp;T Technology (LTTS) posted 2.2% CC QoQ revenue growth in 4QFY23, beating our estimates of 1.3% growth and implying a limited hit from macro headwinds. Q4 growth was broad-based across verticals with the exception of Transportation, which declined 1.1% QoQ from a high base. EBIT margin was flat at 18.7%, marginally missing our estimate. LTTS announced four USD10m+ deal wins, with one above USD40m, and indicated that the deal ACV in FY23 was up YoY, along with continued momentum in new deals.&nbsp; Strong topline performance in Q4 resulted in FY23 revenue growth of 15.8% YoY CC, ahead of the company&rsquo;s guidance (trimmed in 3Q). LTTS also provided its initial FY24 USD CC revenue growth guidance of 20%+ (10%+ YoY CC organic growth), which included a USD100m contribution from the SWC acquisition.  Outlook We continue to view LTTS as a beneficiary of the growing penetration of ER&amp;amp;amp;D Services. We raise our FY24-25 EPS estimates by 3% on account of a good Q4 performance and retain our BUY rating on the stock. We value LTTS at INR4,040 (premised on 26x FY25E EPS). For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. L&amp;amp;amp;T Technology - 27 -04 - 2023 - moti","Buy, Larsen and Toubro Technology Services, Motilal Oswal, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-larsentoubro-technology-services-targetrs-4040motilal-oswal_16975351.html
6,LTS,2023-04-26T17:06:12+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/sunil-shankar-matkar-2345/', 'name': 'Sunil Shankar Matkar'}","L&amp;amp;T Tech Services Q4: Profit grows 2% to Rs 310 crore, dividend of Rs 30 per share announced","Revenue in dollar terms increased by 2.9 percent QoQ to $255.1 million and the same in constant currency grew 2.2 percent, which came in a tad above CNBC-TV18 poll estimates that pegged them at 1.8 percent and 2.4 percent growth, respectively.","L&amp;amp;amp;T Technology Services on April 26 has recorded around 2 percent sequential growth in consolidated profit at Rs 309.6 crore for the quarter ended March FY23, meeting analysts' expectations.  Revenue from operations for the quarter at Rs 2,096.2 crore increased by 2.3 percent over the previous quarter.  Revenue in dollar terms increased by 2.8 percent QoQ to $255.1 million and the same in constant currency grew 2.2 percent, which came in a tad above CNBC-TV18 poll estimates that pegged&nbsp;them at 1.8 percent and 2.4 percent growth, respectively.  In Q4, &amp;quot;four of our five segments grew more than 4 percent sequentially with medical and plant engineering segments leading the growth,&amp;quot; Amit Chadha, CEO &amp;amp;amp; Managing Director said.  He further said deal wins were healthy with one $40 million-plus deal and three $10-million TCV (total contract value) deals. LTTS won deals worth $70 million in Q4 FY23.  On the geography front, the growth was driven by Europe (up 5.2 percent QoQ), India (15 percent), and the Rest of World (10.6 percent), but North America business posted a 1.4 percent decline on sequential basis.  Operating performance was also tad above analysts' estimates. EBIT (earnings before interest and tax) grew by 2.6 percent sequentially to Rs 392.7 crore for the March FY23 quarter, with margin remaining steady at 18.7 percent. The average estimates of analysts polled by CNBC-TV18 for EBIT were Rs 388 crore and a margin of 18.6 percent for the quarter.  Click Here To Read All Earnings Related News  L&amp;amp;amp;T Technology has recorded a massive 22-percent growth&nbsp;both in net profit as well as revenue for the full year at Rs 1,169.8 crore and Rs 8,013.6 crore, respectively, compared to previous year. The revenue, in dollar terms, grew by 12.4 percent and 15.8 percent in constant currency terms.  &amp;quot;The diversified industry presence has enabled us to grow revenues consistently. The 16-percent constant currency growth for the year was driven by an industry leading 22 percent at transportation and double-digit growth at plant engineering and industrial products,&amp;quot; Amit Chadha said.  He further said the annual EBIT margin was the highest ever at 18.5 percent (against 18.3 percent in FY22), driven by a strong focus on building a robust and sustainable operating model.  The combination of steady growth and expanding operating margin has led to an 18 percent CAGR in profits over the last 5 years, he added.  For FY24, Chadha said the guidance was for a USD constant currency revenue growth of 20 percent plus (10 percent plus organic growth).  L&amp;amp;amp;T Technology has announced a final dividend of Rs 30 per share for the financial year 2022-23.  Meanwhile, the board has appointed Aruna Sundararajan as independent director for five years and Alind Saxena as Whole-time Director for three years, with effect from April 26.","L&T Technology Services, Results",https://www.moneycontrol.com//news/results/lt-tech-services-q4-profit-grows-2-to-rs-310-crore-dividendrs-30-per-share-announced_16973601.html
7,LTS,2023-01-21T19:01:12+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Hold Larsen and Toubro Technology Services target of Rs 3535: Sharekhan,"Sharekhan recommended Hold rating on Larsen and Toubro Technology Services with a target price of Rs 3535 in its research report dated January 20, 2023.","Sharekhan's research report on Larsen and Toubro Technology Services For Q3FY23 LTTS reported revenue at $248mn, up 2.7% q-o-q .Revenue growth in constant currency was flat, missing our estimates by 140bps, impacted by higher-than-expected furloughs and seasonality. EBIT margin at 18.7% improved by ~60 bps which was ~25 bps above our estimates. In Q3FY23, LTTS won five USD 10 million plus TCV deals and a significant empanelment with Airbus in digital manufacturing. Only Transportation vertical grew at a healthy pace, aided by the ramp-up of large deals, while Plant engineering, Hitech and Medical devices verticals declined q-o-q. The Telecom &amp;amp;amp; Hi-tech segment witnessed a challenging quarter due to the weakness in ISV consumer electronics and semi-conductors while Plant engineering was impacted by higher furloughs. LTTS cut its revenue growth guidance to 15% from 15.5-16.5% in CC terms for FY2023E. On the recent acquisition of SWC, the company expects the margin to decline by 180-200 bps q-o-q due to integration in Q1FY24. Outlook We expect FY24 outlook to be uncertain on account of global headwinds and any recovery is most likely to be gradual. The recent SWC acquisition will be margin dilutive for FY24 and may provide only marginal synergies in the near-term. Hence, we maintain Hold rating on LTTS with revised PT of 3535 given strong deal wins in the diversified vertical mix. At the CMP, the stock trades at 28.5x / 23.2x its FY24E / FY25E EPS respectively. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. L&amp;amp;amp;T Technology Services - 21 -01-2023 - khan","Hold, Larsen and Toubro Technology Services, Recommendations, Sharekhan",https://www.moneycontrol.com//news/recommendations/hold-larsentoubro-technology-services-targetrs-3535-sharekhan_16816971.html
8,LTS,2023-01-21T15:57:29+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Larsen and Toubro Technology Services; target of Rs 3940: Motilal Oswal,"Motilal Oswal is bullish on Larsen and Toubro Technology Services recommended buy rating on the stock with a target price of Rs 3940 in its research report dated January 20, 2023.","Motilal Oswal's research report on Larsen and Toubro Technology Services L&amp;amp;amp;T Technology (LTTS) posted a flat QoQ topline growth in constant currency (CC) in 3QFY23, missing our estimates of ~2% QoQ growth. This was led by seasonality and higher-than-expected furloughs, especially in Plant Engineering (-4.1% QoQ), Telecom &amp;amp;amp; Hi-Tech (-2.8% QoQ) and Medical devices (-1.1%), while Transportation (+4.4% QoQ) and Industrial Products (+1.1% QoQ) offset the drag. Despite weak growth, EBIT margin improved 60bp QoQ over a low base (wage hike in 2QFY23), beating our estimates of 18.3%. While we were disappointed by the weak topline growth, healthy deal wins (five deals of USD10m+ TCV, total TCV at USD100m+) suggest limited impact on deal momentum due to macro slowdown. However, the weak performance in 3QFY23 led the company to revise its guidance to 15.0% YoY in CC from 15.5- 16.5% YoY given in 2Q. The management indicated some weakness in the Telecom and Medical devices verticals, where the macro impact is the most pronounced and should continue in the near term, while traction in other verticals should aid LTTS deliver a good exit to FY23 (MOFSLe at 3.1% QoQ CC). Outlook We continue to view LTTS as a beneficiary of the growing penetration of ER&amp;amp;amp;D Services. We cut our FY23-25 EPS estimates by 1-3%. We retain our BUY rating and value LTTS at INR3,940 (premised on 30x FY24E EPS). For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. L&amp;amp;amp;T Technology - 20 -01-2023 - moti","Buy, Larsen and Toubro Technology Services, Motilal Oswal, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-larsentoubro-technology-services-targetrs-3940-motilal-oswal_16816821.html
9,LTS,2023-01-20T13:05:52+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Neutral Larsen and Toubro Technology Services; target of Rs 3502: YES Securities,"YES Securities recommended neutral rating on Larsen and Toubro Technology Services with a target price of Rs 3502 in its research report dated January 19, 2023.","YES Securities' research report on Larsen and Toubro Technology Services L&amp;amp;amp;T Technology Services (INFO) reported mixed financial performance for the quarter. While, the revenue growth was below with estimates, EBIT margin came slightly above expectation. It reported revenue growth of 0.4% QoQ in USD terms, led by Transportation vertical( up 4.4% QoQ) and Industrial products( up 0.9% QoQ). The INR reported growth of 2.7% QoQ was supported by depreciation of INR by 2.9% QoQ vs USD. There was sequential improvement in EBIT margin(up 51 bps QoQ) led by control on other expenses. There was slight decrease in reported employee attrition as LTM attrition decreased by 80 bps QoQ to 23.3%.  Outlook We maintain our NEUTRAL rating on the stock with revised target price of Rs 3,502/share at 28.5x on FY24E EPS. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. L&amp;amp;amp;T Technology Services - 20 -01-2023 - yes","Larsen and Toubro Technology Services, neutral, Recommendations, Yes Securities",https://www.moneycontrol.com//news/recommendations/neutral-larsentoubro-technology-services-targetrs-3502-yes-securities_16813901.html
