,company,datePublished,author,headline,description,articleBody,tags,url
0,MBI,2018-09-25T08:18:05+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",NCLT clears way for liquidation of Moser Baer India,"In a regulatory filing, Moser Baer said the decision has come on a plea filed by its lender Alchemist Asset Reconstruction Company Ltd.","The National Company Law Tribunal (NCLT) has allowed insolvency proceedings against debt-ridden Moser Baer India, a manufacturer of CDs and DVDs.  In a regulatory filing, Moser Baer said the decision has come on a plea filed by its lender Alchemist Asset Reconstruction Company Ltd. The NCLT in its September 20 order has allowed liquidation of the company due to non-receipt of any resolution plan.  It has also appointed an Interim Resolution Professional (IRP), it said. The average liquidation value comes to Rs 337.45 crore.  The total financial debts due to financial creditors as on the corporate insolvency commencement date has been stated as Rs 4,356.12 crore, it added.","Business, Moser Baer (India)",https://www.moneycontrol.com//news/business/nclt-clears-way-for-liquidationmoser-baer-india_11463141.html
1,MBI,2017-10-04T21:17:38+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Moser Baer's appoints Surender Kumar Mata  as Company Secretary,"We hereby inform that the Mr. Surender Kumar Mata is appointed as Company Secretary of the Company w.e.f. October 4, 2017 and Mr. Neeraj Parmar will continue to look after the Legal and Corporate functions of the Company.","Pursuant to Securities And Exchange Board Of India (Listing Obligations And Disclosure Requirements) Regulations, 2015 ('Listing Regulations'), we hereby inform that the following changes in Key Managerial Personnel have taken place:  Mr. Surender Kumar Mata is appointed as Company Secretary of the Company w.e.f. October 4, 2017 and Mr. Neeraj Parmar will continue to look after the Legal and Corporate functions of the Company.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/moser-baer39s-appoints-surender-kumar-mataas-company-secretary_9813881.html
2,MBI,2017-10-04T21:11:33+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Moser Baer's CFO Yogesh Bahadur Mathur resigns,"We hereby inform that the Mr. Yogesh Bahadur Mathur, Group President and Chief Financial Officer will step down as CFO and continue with the role of overseeing group affairs. The position for the new Chief Financial Officer position will be taken up and decided in the forthcoming Board Meeting.","Pursuant to Securities And Exchange Board Of India (Listing Obligations And Disclosure Requirements) Regulations, 2015 ('Listing Regulations'), we hereby inform that the following changes in Key Managerial Personnel have taken place:  W.e.f. October 4, 2017, Mr. Yogesh Bahadur Mathur, Group President and Chief Financial Officer will step down as CFO and continue with the role of overseeing group affairs. The position for the new Chief Financial Officer position will be taken up and decided in the forthcoming Board Meeting.  Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/moser-baer39s-cfo-yogesh-bahadur-mathur-resigns_9813861.html
3,MBI,2017-10-04T21:10:25+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Moser Baer's appoints Surender Kumar Mata as Company Secretary,"We hereby inform that the Mr. Surender Kumar Mata is appointed as Company Secretary of the Company w.e.f. October 4, 2017 and Mr. Neeraj Parmar will continue to look after the Legal and Corporate functions of the Company.","Pursuant to Securities And Exchange Board Of India (Listing Obligations And Disclosure Requirements) Regulations, 2015 ('Listing Regulations'), we hereby inform that the following changes in Key Managerial Personnel have taken place:  Mr. Surender Kumar Mata is appointed as Company Secretary of the Company w.e.f. October 4, 2017 and Mr. Neeraj Parmar will continue to look after the Legal and Corporate functions of the Company.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/moser-baer39s-appoints-surender-kumar-mata-as-company-secretary_9813801.html
4,MBI,2017-05-24T08:22:03+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Moser Baer: Outcome of board meeting,"The Board of Directors of the Company in its meeting, which concluded at 11.50 p.m. today, inter-alia considered, approved and taken on record the audited financial results of the Company for the quarter and financial year ended on 31st March, 2017.","The Board of Directors of the Company in its meeting, which concluded at 11.50 p.m. today, inter-alia considered, approved and taken on record the audited financial results of the Company for the quarter and financial year ended on 31st March, 2017.     In this connection, please find attached herewith:-  1.A Copy of the audited financial results of the Company for the quarter and financial year ended on 31st March, 2017 alongwith audit report and Statement on Impact of Audit Qualifications pursuant to regulation 33(3)(d) of SEBI (Listing Obligations and Disclosure Requirements) Regulation, 2015.    2.Statement of assets and liabilities pursuant to regulation 33(3)(f) of SEBI (Listing Obligations and Disclosure Requirements) Regulation, 2015.     3.A Copy of the Press Release.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/moser-baer-outcomeboard-meeting_9010921.html
5,MBI,2017-05-11T16:16:34+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","Moser Baer's board meeting on May 23, 2017","Notice is hereby given that a meeting of the Board of Directors of the Company will be held on Tuesday, May 23, 2017, to consider and approve the audited financial results of the Company for the quarter and financial year ended on March 31, 2017.","Pursuant to SEBI (Listing Obligations &amp;amp; Disclosure Requirements) Regulations, 2015, Notice is hereby given that a meeting of the Board of Directors of the Company will be held on Tuesday, May 23, 2017, to inter-alia consider and approve the audited financial results of the Company for the quarter and financial year ended on March 31, 2017.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/moser-baer39s-board-meetingmay-23-2017_9037501.html
6,MBI,2016-09-30T22:23:17+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Moser Baer India: Outcome of AGM,"Moser Baer India has informed that the 33rd Annual General Meeting (AGM) of the Company was held on September 30, 2016.","Moser Baer India Ltd has informed BSE that the 33rd Annual General Meeting (AGM) of the Company was held on September 30, 2016.Source : BSE Read all announcements in Moser Baer",Announcements,https://www.moneycontrol.com//news/announcements/moser-baer-india-outcomeagm_7555401.html
7,MBI,2016-09-30T22:23:15+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Moser Baer India: Outcome of AGM,"Moser Baer India has informed that the 33rd Annual General Meeting (AGM) of the Company was held on September 30, 2016.","Moser Baer India Ltd has informed BSE that the 33rd Annual General Meeting (AGM) of the Company was held on September 30, 2016.Source : BSE Read all announcements in Moser Baer",Announcements,https://www.moneycontrol.com//news/announcements/moser-baer-india-outcomeagm_7555381.html
8,MBI,2016-09-06T22:59:35+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Moser Baer India AGM on Sept 30, 2016","Moser Baer India has informed that the 33rd Annual General Meeting (AGM) of the Company will be held on September 30, 2016.","Moser Baer India Ltd has informed BSE that the 33rd Annual General Meeting (AGM) of the Company will be held on September 30, 2016.Source : BSE Read all announcements in Moser Baer",Announcements,https://www.moneycontrol.com//news/announcements/moser-baer-india-agmsept-30-2016_7416261.html
9,MBI,2016-08-03T14:59:00+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Moser Baer India's board meeting on August 11, 2016","Moser Baer India Ltd has informed BSE that a meeting of the Board of Directors of the Company will be held on August 11, 2016, to consider and take on record the un-audited financial results of the Company for the quarter ended on June 30, 2016.","Moser Baer India Ltd has informed BSE that a meeting of the Board of Directors of the Company will be held on August 11, 2016, to consider and take on record the un-audited financial results of the Company for the quarter ended on June 30, 2016.Source : BSE Read all announcements in Moser Baer",Announcements,https://www.moneycontrol.com//news/announcements/moser-baer-indias-board-meetingaugust-11-2016_7189361.html
