,company,datePublished,author,headline,description,articleBody,tags,url
0,MC20,2022-10-20T22:09:14+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Mindtree; target of Rs 3860: Geojit,"Geojit is bullish on Mindtree has recommended buy rating on the stock with a target price of Rs 3860 in its research report dated October 20, 2022.","Geojit's research report on Mindtree Mindtree Ltd is an information technology (IT) consulting and implementation company focusing on select verticals viz. BFSI, Retail, Travel &amp;amp;amp; Hospitality and Hi-Tech. Q2FY23 revenue rose 31.5% YoY to Rs. 3,400cr led by strong growth across most of the segments except Retail, CPG and Manufacturing. EBITDA grew 31.3% YoY despite wage hikes, while margin remained broadly flat at 20.5%. The PAT grew 27.5% YoY to Rs. 509cr. Mindtree has a resilient business structure with strong and efficient execution capabilities. The growth momentum is expected to continue, backed by a robust order book. Outlook We hereby upgrade our rating to BUY with a revised target price of Rs. 3,860 based on 28x FY24E adj. EPS. For all recommendations report, click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Mindtree - 201022 - geo","Buy, Geojit, Mindtree, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-mindtree-targetrs-3860-geojit_16665831.html
1,MC20,2022-10-18T10:47:15+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Mindtree; target of Rs 4000: ICICI Direct,"ICICI Direct is bullish on Mindtree recommended buy rating on the stock with a target price of Rs 4000 in its research report dated October 14, 2022.","ICICI Direct's research report on Mindtree Mindtree Ltd (Mindtree) is a mid-tier IT company with a presence in the US, Europe &amp;amp;amp; RoW catering to BFSI, communication media &amp;amp;amp; technology, retail &amp;amp;amp; travel. Expertise in infrastructure &amp;amp;amp; application catering to Global 2000 clients &bull; Dividend leading margins (&amp;amp;gt;20%) compared to mid-tier IT companies. Outlook We maintain our BUY rating on the stock. We value Mindtree at Rs 4000 i.e. 25x P/E on FY25E EPS. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Mindtree - 171022 - icici","Buy, ICICI Direct, Mindtree, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-mindtree-targetrs-4000-icici-direct_16659521.html
2,MC20,2022-10-15T15:17:03+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Neutral Mindtree; target of Rs 3350: Motilal Oswal,"Motilal Oswal recommended Neutral rating on Mindtree with a target price of Rs 3350 in its research report dated October 14, 2022.","Motilal Oswal's research report on Mindtree Mindtree (MTCL) reported 2QFY23 revenue of USD422m (up 7.2% QoQ in CC), 210bp ahead of our estimate. Reported USD revenue grew 5.7% QoQ, driven by broad-based growth across verticals, with RCM (+2.9% QoQ in CC) back in growth track. Deal TCV in 2QFY23 was strong at USD518m, up 44% YoY, and aided the company surpass USD1b TCV in 1HFY23. EBITDA margin contracted 10bp QoQ (50bp ahead of MOFSLe) to 21.0%, despite the full impact of wage hikes during the quarter. The company was able to compensate for this through operational efficiency, currency support and reversal of a one-off cost last quarter. Utilization (down 50bp QoQ) and attrition (decline of 40bp QoQ to 24.1%) were broadly stable. MTCL's management indicated that it has started to witness some softness and caution in parts of the business (especially in Europe), although these appear to be transitory in its opinion. Management remained confident that MTCL will be able to take advantage of the acquired projects that are cost-saving in nature, thereby boosting both performance and TCV. Strong commentary in other verticals, deal pipeline, and TCV should help it deliver a solid revenue growth in FY23E, as we expect USD revenue CAGR of 16.5% over FY22-24. MTCL should keep its profitability within a narrow range going ahead, which will help it absorb any adverse macro impact. Good revenue growth and stable margin should help it deliver 23% PAT CAGR in INR terms over FY22-24E.  Outlook We maintain our Neutral rating on MTCL due to its fair valuations (based on 22x FY24E P/E), softness in Retail and constrains on management bandwidth because of its impending merger with LTI. We raise our FY23/FY24 EPS estimates by 3%/6% due to strong growth and margin beat. As the stock is trading at 22x FY24E EPS, we see limited upside hereafter. Our TP of INR3,350 is premised on 22x FY24E EPS. More Info At 17:30 Mindtree was quoting at Rs 3,374.45, up Rs 50.95, or 1.53 percent. It has touched an intraday high of Rs 3,472.30 and an intraday low of Rs 3,343.80. It was trading with volumes of 54,402 shares, compared to its thirty day average of 30,397 shares, an increase of 78.97 percent. In the previous trading session, the share closed down 0.67 percent or Rs 22.25 at Rs 3,323.50. The share touched its 52-week high Rs 5,059.15 and 52-week low Rs 2,650.00 on 18 November, 2021 and 26 May, 2022, respectively. Currently, it is trading 33.3 percent below its 52-week high and 27.34 percent above its 52-week low. Market capitalisation stands at Rs 55,663.45 crore. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Mindtree - 141022 - moti","Mindtree, Motilal Oswal, neutral, Recommendations",https://www.moneycontrol.com//news/recommendations/neutral-mindtree-targetrs-3350-motilal-oswal_16655861.html
3,MC20,2022-10-15T14:33:53+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Mindtree; target of Rs 3800: KR Choksey,"KR Choksey is bullish on Mindtree has recommended buy rating on the stock with a target price of Rs 3800 in its research report dated October 14, 2022.","KR Choksey's research report on Mindtree Mindtree (MTCL) has shown a stellar performance in Q2FY23, grew by 5.2% QoQ in CC terms, marking 8th consecutive quarter of 5%+ growth and beats our estimate. Dollar Revenue was up 5.8% QoQ to ~USD 422mn. Rupee revenue grew by 8.9% QoQ to INR 34,004mn. Reported operating margin remained flattish by -3bps to 19.1% QoQ due to wage hike impact of 240 bps which was partially offset by the absence of 60 bps one-off merger expense, 50 bps net tailwind from Rupee depreciation/cross-currency movements, 70 bps from operational efficiencies and remaining from lower travel and other expenses. Reported Net profit was up by ~8% QoQ to INR 5,087mn with margin of 15.0%, down 14bps on QoQ basis. The growth in the quarter for Mindtree was broad based and across geographies/services. Deal TCV was at USD 518mn, up 44% YoY, and seems to have benefited from the rise in longer tenure cost optimization deals. We believe that Mindtree can balance out the two mandate (1) cost saving as well as (2) revenue maximization but LTI, its merger partner, is better at handling the cost take-out part. Outlook Our target price of INR 3,800 is based on 27.8x Mar-24E EPS over FY22-24E. More Info At 17:30 Mindtree was quoting at Rs 3,374.45, up Rs 50.95, or 1.53 percent. It has touched an intraday high of Rs 3,472.30 and an intraday low of Rs 3,343.80. It was trading with volumes of 54,402 shares, compared to its thirty day average of 30,397 shares, an increase of 78.97 percent. In the previous trading session, the share closed down 0.67 percent or Rs 22.25 at Rs 3,323.50. The share touched its 52-week high Rs 5,059.15 and 52-week low Rs 2,650.00 on 18 November, 2021 and 26 May, 2022, respectively. Currently, it is trading 33.3 percent below its 52-week high and 27.34 percent above its 52-week low. Market capitalisation stands at Rs 55,663.45 crore. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Mindtree - 141022 - kr","Buy, KR Choksey, Mindtree, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-mindtree-targetrs-3800-kr-choksey_16655811.html
4,MC20,2022-10-13T17:02:28+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","Mindtree Q2 net profit jumps 27% to Rs 509 cr, revenue spikes 31%","The company management said with an order book of $518 million for the quarter, its H1 signings crossed $1 billion for the first time in its history.","Midcap IT firm Mindtree on October 13 said its consolidated net profit for the quarter ended September 2022 came in at Rs 508.7 crore, growing 27.5 percent over Rs 398.9 crore in the same quarter last year.  Revenue from operations stood at Rs 3,400.4 crore, up 31.5 percent over Rs 2,586.2 crore in the corresponding quarter of the previous fiscal, the company said in an exchange filing.  Sequentially, profit grew 7.9 percent and revenue jumped 8.9 percent.  &ldquo;Our robust performance in the second quarter of FY23 marked a solid first half of the year,&rdquo; said Debashis Chatterjee, Chief Executive Officer and Managing Director, Mindtree.  &ldquo;We not only delivered strong revenues of $422.1 million, up 7.2 percent sequentially in constant currency, but also maintained our EBITDA margin at a healthy 21 percent despite wage hikes across the board, making it our seventh consecutive quarter of more than 5 percent revenue growth in constant currency, and eighth consecutive quarter of more than 20 percent EBITDA margin,&rdquo; Chatterjee added.  The company management said with an order book of $518 million for the quarter, its H1 signings crossed $1 billion for the first time in its history. It has 276 active clients as of September 30, 2022. $1 million+ clients increased by 15, totalling 160 and $5 million+ clients increased by 3, totalling 61.  The trailing 12 months attrition rate was 24.1 percent, among the highest in the sector. Its employee headcount stood at 38,290.","Mindtree, Q2 earnings, Results",https://www.moneycontrol.com//news/results/mindtree-q2-net-profit-jumps-27-to-rs-509-cr-revenue-spikes-31_16653461.html
5,MC20,2022-04-19T20:23:18+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Mindtree; target of Rs 4509: KR Choksey,"KR Choksey is bullish on Mindtree has recommended buy rating on the stock with a target price of Rs 4509 in its research report dated April 19, 2022.","KR Choksey's research report on Mindtree Mindtree (MTCL) has shown a stellar performance in Q4FY22, grew by 5.2% QoQ in CC terms, marking 6th consecutive quarter of 5%+ growth and inline our estimate. Dollar Revenue was up 4.6% QoQ to ~USD 384mn (KRChoksey est. USD 387mn). Rupee revenue grew by 5.4% QoQ to INR 28,974mn (KRChoksey est. INR 29,132Mn). Reported operating margin contracted by 30bps to 18.9% QoQ. Reported Net profit grew by ~8.1% QoQ to INR 4,735mn (KRChoksey est. INR 4,475mn) with margin of 16.3% (up 42bps on QoQ basis). The growth in the quarter for Mindtree was broad based and across geographies served, backed by rising appetite for digitization among clients, who seek business innovation for revenue maximization and other strategic outcomes. Deal TCV was at USD 390mn, up 4% YoY, comprising a healthy mix of annuity and transformational deals. Mindtree&rsquo;s improvement in both growth/margin and correlation between TCV/growth on short cycle deals is led by (1) building full-stack account and account mining focus (top-100 driving 90% of revenue as well as reduced T1 concentration risk) and (2) focus on building partner ecosystem and hyperscalers proposition (MTCL has strong rating within leading cloud providers). MTCL is expected to deliver mid-teen growth, supported by expansion into Continental Europe and core portfolio focus (cross-sell), with predictable margins (management maintained 20%+ EBITDAM outlook). Our target price of INR 4,509 is based on 33x Mar-24E EPS with EPS CAGR of 15.4% over FY22-24E.  Outlook MTCL is currently trading at a valuation with a P/E multiple of 32.7x/26.6x on FY23E/FY24E earnings. We expect Tier-2 Indian IT companies may suffer due to vendor consolidation under the pressured profit picture for customers, a less diversified revenue mix and a larger exposure to non-Global 1000 clientele along with continued industry wide supply headwinds and resumption of travel/facility expenses and hence we are assigning a P/E multiple of 33x to the FY24 estimated EPS of INR 136.7 to arrive at a downward revised target price of INR 4,509 per share (Earlier target price INR 5,263), an upside of ~24% over the CMP. We maintain a &ldquo;BUY&rdquo; rating to the stock. More Info At 17:30 Mindtree was quoting at Rs 3,638.70, down Rs 322.10, or 8.13 percent. It has touched an intraday high of Rs 4,080.00 and an intraday low of Rs 3,564.75. It was trading with volumes of 167,819 shares, compared to its thirty day average of 43,900 shares, an increase of 282.28 percent. In the previous trading session, the share closed down 3.33 percent or Rs 136.35 at Rs 3,960.80. The share touched its 52-week high Rs 5,059.15 and 52-week low Rs 1,999.85 on 18 November, 2021 and 19 April, 2021, respectively. Currently, it is trading 28.08 percent below its 52-week high and 81.95 percent above its 52-week low. Market capitalisation stands at Rs 59,978.06 crore. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  MindTree - 190422 - kr ","Buy, KR Choksey, Mindtree, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-mindtree-targetrs-4509-kr-choksey_16288581.html
6,MC20,2022-04-19T16:11:42+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Hold Mindtree; target of Rs 4400: Emkay Global Financial,"Emkay Global Financial recommended hold rating on Mindtree with a target price of Rs 4400 in its research report dated April 19, 2022.","Emkay Global Financial's report on Mindtree MTCL delivered a steady operating performance in Q4. Revenue grew by 4.7% QoQ (CC 5.2%) to USD383.8mn, broadly in line with our expectations. EBITDAM contracted by ~50bps QoQ to 21% and came in a tad better than our expectations. Deal wins remained healthy in Q4 at USD390mn vs. USD358mn in Q3, taking the TCV of deals signed in FY22 to ~USD1.6bn (16.7% YoY). Management indicated that the deal intake remains well-balanced across annuity and transformational deals. The company is confident about maintaining revenue growth momentum and delivering top quartile growth in FY23 while sustaining EBITDAM over 20% on the back of broadbased revenue growth, strong deal wins, and a healthy deal pipeline.  Outlook We raise our FY23E/24E EPS by 3.2%/3.5%, factoring in the Q4 performance and higher other income assumptions. Considering rich valuations, we maintain Hold rating on the stock with a TP of Rs4,400 (Rs4,300 earlier) at 33x Mar&rsquo;24E EPS. More Info At 16:01 hrs Mindtree was quoting at Rs 3,638.70, down Rs 322.10, or 8.13 percent. It has touched an intraday high of Rs 4,080.00 and an intraday low of Rs 3,564.75. It was trading with volumes of 167,819 shares, compared to its thirty day average of 39,179 shares, an increase of 328.34 percent. In the previous trading session, the share closed down 3.33 percent or Rs 136.35 at Rs 3,960.80. The share touched its 52-week high Rs 5,059.15 and 52-week low Rs 1,999.85 on 18 November, 2021 and 19 April, 2021, respectively. Currently, it is trading 28.08 percent below its 52-week high and 81.95 percent above its 52-week low. Market capitalisation stands at Rs 59,978.06 crore. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  MindTree - 190422 - emkay ","Emkay Global Financial, Hold, Mindtree, Recommendations",https://www.moneycontrol.com//news/recommendations/hold-mindtree-targetrs-4400-emkay-global-financial_16287981.html
7,MC20,2022-04-19T14:23:00+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Neutral Mindtree; target of Rs 4230: Motilal Oswal,"Motilal Oswal recommended Neutral rating on Mindtree with a target price of Rs 4230 in its research report dated April 18, 2022.","Motilal Oswal's research report on Mindtree MTCL reported a revenue of USD384m (+5.2% QoQ CC) in 4QFY22. Reported revenue grew 4.8% (inline), driven by broad-based growth across verticals and regions. Deal TCV rose 9% QoQ to USD390m in 4QFY22. The management reiterated that the demand environment continues to remain strong, and expects industry-leading growth in FY23. EBITDA margin fell 50bp QoQ (inline) in 4QFY22 on higher utilization and offshoring. MTCL was largely able to sustain margin, despite wage costs and higher attrition at 23.8%. We view continued execution in both revenue growth and profitability as a key positive for the stock. We expect revenue to remain robust and margin to remain stable. We expect it to deliver 20% CAGR in USD revenue and 19% in INR PAT over FY22-24. Net additions (~3.1k, total headcount up 9.7% QoQ) in 4QFY22 continue to remain robust. MTCL has now added ~11.2k employees in FY23, with a large share coming from freshers. We maintain our Neutral rating on MTCL due to its fair valuations (28x FY24E P/E) as well as relatively higher client concentration (top client accounts for 24% of revenue), although it is moving in the right direction.  Outlook We raise our FY23/FY24 EPS estimate by 1.9%/1.4%. Our margin estimate is on the higher side of the over 20% range guided by the management, given it was able to sustain margin in 4QFY22, despite the headcount addition. As the stock is trading at 28x FY24E EPS, we see limited upside hereafter. Our TP of INR4,230/share implies 30x FY24E EPS. We maintain our Neutral rating. More Info At 14:19 hrs Mindtree was quoting at Rs 3,770.40, down Rs 190.40, or 4.81 percent. It has touched an intraday high of Rs 4,080.00 and an intraday low of Rs 3,761.25. It was trading with volumes of 105,638 shares, compared to its thirty day average of 39,179 shares, an increase of 169.63 percent. In the previous trading session, the share closed down 3.33 percent or Rs 136.35 at Rs 3,960.80. The share touched its 52-week high Rs 5,059.15 and 52-week low Rs 1,999.85 on 18 November, 2021 and 19 April, 2021, respectively. Currently, it is trading 25.47 percent below its 52-week high and 88.53 percent above its 52-week low. Market capitalisation stands at Rs 62,148.93 crore. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  Mindtree - 190422 -moti ","Mindtree, Motilal Oswal, neutral, Recommendations",https://www.moneycontrol.com//news/recommendations/neutral-mindtree-targetrs-4230-motilal-oswal_16287361.html
8,MC20,2022-04-19T13:45:33+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Hold Mindtree: target of Rs 4167: ICICI Securities,"ICICI Securities recommended hold rating on Mindtree with a target price of Rs 4167 in its research report dated April 19, 2022.","ICICI Securities research report on Mindtree Mindtree (MTCL) has reported revenue growth of over 5% QoQ (CC) for the fifth consecutive quarter in Q4FY22. Revenue stood at US$384mn, growing at 5.2% QoQ (CC) and 4.8% QoQ (US$) (Isec: 4.9%, Cons: 4.3%). Margin performance was impressive with EBIT margin at 18.9%, -30bps QoQ (Isec: 18.1%, Cons: 18.8%), above our estimates. FY22 margins are at 18.6%, up 120bps YoY. MTCL added 3,112 employees, up 10% QoQ and 47% YoY in Q4FY22 (vs average addition of 2.7K per quarter in 9MFY22). The company has been adding 1.5K+ freshers every quarter since last 2-3 quarters. It has added a delivery centre in Pune and opened a new development centre in Kolkata. Utilisation improved to 83.1% (vs 81.5% in Q3FY22) despite strong hiring during the quarter. This was due to MTCL&rsquo;s ability to bill its freshers on a quicker timeframe. LTM attrition increased to 23.8%, +190bps QoQ, in line with industry standards. Management expects this to gradually stabilise over coming quarters. We believe MTCL is handling supply side mechanism most efficiently in our coverage.  Outlook We value MTCL at 32x on FY24E EPS of Rs130 to arrive at a TP of Rs4,167. Maintain HOLD. More Info At 13:40 hrs Mindtree was quoting at Rs 3,818.00, down Rs 142.80, or 3.61 percent. It has touched an intraday high of Rs 4,080.00 and an intraday low of Rs 3,780.80. It was trading with volumes of 95,399 shares, compared to its thirty day average of 39,179 shares, an increase of 143.49 percent. In the previous trading session, the share closed down 3.33 percent or Rs 136.35 at Rs 3,960.80. The share touched its 52-week high Rs 5,059.15 and 52-week low Rs 1,999.85 on 18 November, 2021 and 19 April, 2021, respectively. Currently, it is trading 24.53 percent below its 52-week high and 90.91 percent above its 52-week low. Market capitalisation stands at Rs 62,933.53 crore. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  Mindtree - 190422 -icicis ","Hold, ICICI Securities, Mindtree, Recommendations",https://www.moneycontrol.com//news/recommendations/hold-mindtree-targetrs-4167-icici-securities_16287141.html
9,MC20,2022-04-19T11:31:53+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Mindtree; target of Rs 4778: Prabhudas Lilladher,"Prabhudas Lilladher is bullish on Mindtree has recommended buy rating on the stock with a target price of Rs 4778 in its research report dated April 19, 2022.","Prabhudas Lilladher's research report on Mindtree MTCL reported strong revenue growth of 5.2% QoQ CC in-line with our and above cons estimates, led by broad-based growth across most verticals. The company delivered industry leading organic growth of 31% YoY USD in FY22 and is well positioned to lead on growth front in FY23 led by &ndash; 1) strong TTM TCV of $1.6 Bn, 16.7% YoY, 2) strong client mining capabilities (doubled $20mn+ accounts from 7 to 14 in FY22, 90% of revenue comes from focused 100 accounts) and 3) strong deal pipeline. Strong headcount addition of 47% YoY in FY22 also indicates strength in demand. EBIT margins were resilient at 18.9%, only 30bps QoQ decline despite supply side cost pressures. Management retained EBITDA margin guidance of 20%+ in FY23 (vs reported EBITDA margin of 21% in FY22) Our EPS estimates remain largely unchanged.  Outlook Our DCF based TP of Rs. 4,778 (earlier Rs.5157) with implied earnings target multiple of 35x on FY24 EPS (earlier 38x) factors increase in risk free rate to 7.2% (earlier 6.8%) and moderation in terminal growth rate. MTCL is currently trading at 34x/29x on earnings of INR 116/135 for FY23/24 respectively with Revenue/EPS CAGR of 17%/16% for FY22-24E. Maintain &lsquo;Buy&rsquo;. More Info At 11:08 hrs Mindtree was quoting at Rs 3,878.95, down Rs 81.85, or 2.07 percent. It has touched an intraday high of Rs 4,080.00 and an intraday low of Rs 3,858.00. It was trading with volumes of 58,563 shares, compared to its thirty day average of 39,179 shares, an increase of 49.47 percent. In the previous trading session, the share closed down 3.33 percent or Rs 136.35 at Rs 3,960.80. The share touched its 52-week high Rs 5,059.15 and 52-week low Rs 1,999.85 on 18 November, 2021 and 19 April, 2021, respectively. Currently, it is trading 23.33 percent below its 52-week high and 93.96 percent above its 52-week low. Market capitalisation stands at Rs 63,938.20 crore. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. MindTree - 190422 - prabhu ","Buy, Mindtree, Prabhudas Lilladher, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-mindtree-targetrs-4778-prabhudas-lilladher_16286341.html
