,company,datePublished,author,headline,description,articleBody,tags,url
0,ME12,2024-02-15T13:14:03+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",MIC Electronics zooms 10% on developing EV battery charger,The company says the charger will be launched shortly and commercial operations will begin in March  ,"Shares of MIC Electronics surged 10 percent in the afternoon trade on February 15 after the company&nbsp;announced that it ha developed a 42V/3A electric vehicle (EV) battery charger for e-cycles and two-wheelers.  The company said the charger will be launched shortly and commercial operations will begin in March.  At 12.53 pm, MIC Electronics&nbsp;was trading at Rs 42 on the NSE. The announcement also led to a spike in volumes in the counter, as 15 lakh shares had changed hands, significantly higher than the one-month daily traded average of 7 lakh shares.  Follow our market blog for live updates  The company is also developing high-power rating chargers for e-cycles and two-wheelers.  The company recently released its quarterly results. It posted a net profit of Rs 2.71 crore in the December quarter against a net loss of Rs 96 lakh in the year-ago period.  The company's sales rose manifolds on year to Rs 17.5 crore in Q3, up from Rs 1.24 crore in the base period.  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Buzzing Stocks, MIC Electronics",https://www.moneycontrol.com//news/buzzing-stocks/mic-electronics-zooms-10developing-ev-battery-charger_17455491.html
1,ME12,2017-12-04T23:01:03+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","MIC Electronics' board meeting on December 12, 2017","We would like to inform you that the Board of Directors of the company will be held on Tuesday, December 12, 2017 at 9.00 AM at registered office of the Company to consider and approve Un-audited Financial Results for the second quarter ended on September 30, 2017.","Board of Directors of the company will be held on Tuesday, the 12th day of December 2017 at 9.00 AM at registered office of the Company to consider and approve Un-audited Financial Results for the second quarter ended on 30th September 2017. MIC Electronics is in the Telecommunications - Equipment sector. The current market capitalisation stands at Rs 243.60 crore.  The company management includes M V Ramana Rao - Promoter Managing Director, Atluri Venkata Ram - Non Exe.Non Ind.Director, L N Malleswara Rao - Ind. Non-Executive Director, A V V S S C B Sekhar Babu - Ind. Non-Executive Director, V Venkata Ramani - Ind. Non-Executive Director, Vegiraju Bharatiraju - Additional Director. Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/mic-electronics39-board-meetingdecember-12-2017_10165361.html
2,ME12,2017-09-11T08:47:05+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",MIC Electronics: Outcome of board meeting,"Un-audited Financial Results for the first quarter ended 30th June, 2017 and Limited Review Report.","Un-audited Financial Results for the first quarter ended 30th June, 2017 and Limited Review Report.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/mic-electronics-outcomeboard-meeting_9654321.html
3,ME12,2017-09-04T23:08:38+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",MIC Electronics: Outcome of board meeting,"We kindly want to inform you that the outcome of Board Meeting to be held on September 04, 2017, 29th Annual General Meeting of the Company is scheduled to be held on Friday the 29th day of September 2017 at 11.00 AM at the registered office of the Company.","Outcome of Board Meeting held on 04th September 2017-Reg.  Board Meeting concluded at 18.05 hours and approved the following:  1.29th Annual General Meeting of the Company is scheduled to be held on Friday the 29th day of September 2017 at 11.00 AM at the registered office of the Company situated at A4, Electronic  Complex, Kushaiguda, Hyderabad, Telangana-500 062, to transact Ordinary &amp;amp; Special Business.  2.Register of Members will be closed from 26th September, 2017 to 29th September, 2017 (both days inclusive) for the purpose of 29th Annual General Meeting of the Company.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/mic-electronics-outcomeboard-meeting_9615961.html
4,ME12,2017-07-24T23:07:04+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",MIC Electronics: Outcome of board meeting,"This is inform you that the Board Meeting has concluded at 5.15 PM and approved the appointment of Shri. Vegiraju Bharatiraju (DIN - 06939066) as Additional Director of the Company with effect from July 24, 2017.","Board Meeting has concluded at 5.15 PM and approved the following.   1.Appointment of Shri. Vegiraju Bharatiraju (DIN - 06939066) as Additional Director of the Company with effect from 24th July, 2017.  2.Resignation of Shri. N Srinivasa Rao (DIN &ndash; 00014636) as Director of the Company with effect from 19th July, 2017.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/mic-electronics-outcomeboard-meeting_9321401.html
5,ME12,2017-07-21T21:41:15+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","MIC Electronics' board meeting on July 24, 2017","A meeting of the Board of Directors of the company will be held on Monday, the July 24, 2017 at 4.30 PM at registered office of the Company.","A meeting of the Board of Directors of the company will be held on Monday, the 24th day of July 2017 at 4.30 PM at registered office of the Company to consider and approve :  1.Appointment of Shri Vegiraju Bharatiraju as Additional Director of the Company. 2.Resignation of Shri N Srinviasa Rao as Director of the Company.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/mic-electronics39-board-meetingjuly-24-2017_9309461.html
6,ME12,2017-05-10T15:59:22+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",MIC Electronics: Outcome of board meeting,Board Meeting has been concluded at 03.40 PM and approved Audited Financial Results for the Fourth Quarter and Year ended 31st March 2017.,Outcome of Board Meeting held 10th May 2017.                       Board Meeting has been concluded at 03.40 PM and approved Audited Financial Results for the Fourth Quarter and Year ended 31st March 2017.Source : BSE,Announcements,https://www.moneycontrol.com//news/announcements/mic-electronics-outcomeboard-meeting_9039961.html
7,ME12,2017-05-02T21:39:00+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","MIC Electronics' board meeting on May 10, 2017","This is to inform you that the board of directors meeting will be held on May 10,  2017 at 11.00 AM.","Meeting of the Board of Directors of the company will be held on Wednesday, the 10th day of May 2017 at 11.00 AM at registered office of the Company to consider and approve Audited Financial Results for the fourth quarter and year ended on 31st March 2017.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/mic-electronics39-board-meetingmay-10-2017_9050181.html
8,ME12,2017-03-28T22:51:43+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","MIC Electronics board meeting held on March 31, 2017","This is to inform you that the board of directors meeting to be held on Friday, the 31st day of March 2017 at 11.30 AM.","Meeting of the Board of Directors of the Company Scheduled to be held on Friday, the 31st day of March 2017 at 11.30 AM at registered office of the company to transact the following business:    1.To consider and approve the allotment of 4,32,93,974 Equity Shares at Rs.2/- per share at a premium of Rs.18/- per share aggregating to Rs.20/- per share to Non-promoters.     2.Any other matter with the permission of the Chair.Source : BSE Read all announcements in MIC Electronics",Announcements,https://www.moneycontrol.com//news/announcements/mic-electronics-board-meeting-heldmarch-31-2017_8702901.html
9,ME12,2017-02-20T12:18:54+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",MIC Electronics: Outcome of board meeting,"MIC Electronics Ltd has informed BSE that the Board of Directors of the Company at its meeting held on February 18, 2017, approved the increasing the Authorised Share Capital of the company by Rs 4 crore.","MIC Electronics Ltd has informed BSE that the Board of Directors of the Company at its meeting held on February 18, 2017, approved the following:1. Increasing the Authorised Share Capital of the company by Rs. 4 (Four) Crores.2. Conversion of Debt into Equity by way of issue of 4,32,93,974 (Four Crores Thirty Two Lakhs Ninety Three Thousand Nine Hundred and Seventy Four) equity shares at issue price of Rs. 20/- per share (Face Value of Rs. 2/- each at premium of Rs. 18/- each).3. Calling for Extra-ordinary General Meeting of the Company scheduled to be held on March 20, 2017 at 11.00 AM at Registered office of the Company situated at A-4/II Electronic Complex, Kushaiguda, Hyderabad - 500062, to consider and approve the Item No. 1 and 2 by the members.Source : BSE Read all announcements in MIC Electronics",Announcements,https://www.moneycontrol.com//news/announcements/mic-electronics-outcomeboard-meeting_8524821.html
