,company,datePublished,author,headline,description,articleBody,tags,url
0,MU02,2017-11-01T13:36:23+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Pincon Lifestyle: Outcome of board meeting,"Outcome of the Board Meeting held on 1st November, 2017","Outcome of the Board Meeting held on 1st November, 2017  At 13:28 hrs Pincon Lifestyle was quoting at Rs 41.40, up Rs 1.95, or 4.94 percent.  The share touched its 52-week high Rs 358.00 and 52-week low Rs 30.55 on 28 December, 2016 and 06 October, 2017, respectively.    Currently, it is trading 88.44 percent below its 52-week high and 35.52 percent above its 52-week low.    Market capitalisation stands at Rs 125.19 crore.  Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/pincon-lifestyle-outcomeboard-meeting_9961121.html
1,MU02,2017-09-06T14:11:55+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Pincon Life: Outcome of AGM,"Pursuant to Regulation 30 read with schedule III of the Securities and Exchange Board of India (Listing Obligations and Disclosures Requirements) Regulations, 2015, please find enclosed herewith gist of proceedings of the Thirty Fifth (35th) Annual General Meeting of the Company held on Tuesday, 05th Day of September, 2017 at 3.30 P.M. at the Peerless Inn, 12, Jawaharlal Nehru Road, Kolkata - 700","Pursuant to Regulation 30 read with schedule III of the Securities and Exchange Board of India (Listing Obligations and Disclosures Requirements) Regulations, 2015, please find enclosed herewith gist of proceedings of the Thirty Fifth (35th) Annual General Meeting of the Company held on Tuesday, 05th Day of September, 2017 at 3.30 P.M. at the Peerless Inn, 12, Jawaharlal Nehru Road, Kolkata - 700 013, West Bengal.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/pincon-life-outcomeagm_9626581.html
2,MU02,2017-08-08T14:20:39+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Pincon Lifestyle: Outcome of board meeting,Outcome of the Board Meeting held Today i.e. 08.08.2017,Outcome of the Board Meeting held Today i.e. 08.08.2017Source : BSE,Announcements,https://www.moneycontrol.com//news/announcements/pincon-lifestyle-outcomeboard-meeting_9429641.html
3,MU02,2017-06-29T14:15:13+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Pincon Life: Outcome of board meeting,"Outcome of the Board Meeting held on Thursday, 29th June, 2017.","Outcome of the Board Meeting held on Thursday, 29th June, 2017.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/pincon-life-outcomeboard-meeting_9182541.html
4,MU02,2017-06-23T15:22:00+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","Pincon Lifestyle's board meeting on June 29, 2017","A meeting of the Board of Directors is scheduled to be held on Thursday, 29th Day of June, 2017 at 12.00 p.m. at &amp;quot;Wellesley House&amp;quot; 7, Red Cross Place, 3rd Floor, Kolkata &ndash; 700001","A meeting of the Board of Directors is scheduled to be held on Thursday, 29th Day of June, 2017 at 12.00 p.m. at &amp;quot;Wellesley House&amp;quot; 7, Red Cross Place, 3rd Floor, Kolkata &ndash; 700001Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/pincon-lifestyle39s-board-meetingjune-29-2017_9157901.html
5,MU02,2017-06-14T12:31:16+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Pincon Lifestyle bags export order of Rs 60 crore,Pincon Lifestyle has received export order worth Rs 60 crore for various commodities from Bangladesh.,Company bags very prestigious Export Order for INR 60 crores.Source : BSE,Announcements,https://www.moneycontrol.com//news/announcements/pincon-lifestyle-bags-export-orderrs-60-crore_9097561.html
6,MU02,2017-03-20T23:22:57+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Pincon Life board meeting On 27.03.2017,"Pincon Life has inform that the board of directors meeting of the company will be held on March 27, 2017.","Notice is hereby given that the meeting of Board of Directors of the company will be held on Monday, 27th day of March, 2017 at 12.00 noon at the registered office of the Company at 7, Red Cross Place, Wellesley House, 3rd Floor, Kolkata ",Announcements,https://www.moneycontrol.com//news/announcements/pincon-life-board-meeting-on-27032017_8664981.html
7,MU02,2017-03-10T14:37:55+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Gurugram court convicts 31 &amp;amp; acquits 117 in Maruti violence case,Additional District and Sessions Judge of Gurugram District Court delivered the verdict. The court has scheduled the afternoon session to declare the quantum of sentence for the convicted workers.,"A highly-guarded district court in Gurugram on Friday convicted 31 plant workers and acquitted 117 others in the Maruti violence case of 2012 which injured over 100 employees and killed a senior officer. &amp;amp;nbsp; Additional District and Sessions Judge of Gurugram District Court delivered the verdict. The court has scheduled the afternoon session to declare the quantum of sentence for the convicted workers. &amp;amp;nbsp; General Manager Human Resources of the Manesar unit, Awanish Kumar Dev, was charred to death beyond recognition and several other executives were injured in a violent clash between the workers and the management on the plant premises on July 18, 2012. &amp;amp;nbsp; Immediately after the clash, around 546 workers were laid off and 147 were arrested, out of whom 145 were charged with rioting, murder, attempt to murder, unlawful assembly, assault, and trespass among other sections of the penal code. &amp;amp;nbsp; The case trial has been going on for the last five years. Senior advocates like RS Cheema, Rebecca John and Vrinda Grover appeared on behalf of the accused employees in the case. The counsels had submitted that the case lacked the support of proper evidence to convict the accused ones. &amp;amp;nbsp; They had stated that there was no evidence to back the allegation that the workers had unlawfully assembled with a common objective to kill or set the office on fire. They had also argued there were loopholes in the investigation which suggested the accused were being falsely implicated as there was no evidence to back the claim of the prosecution. &amp;amp;nbsp; During the final arguments, the prosecution had submitted that the court should in no way show mercy to the accused as it led to large scale vandalism in the company and killed a senior official. &amp;amp;nbsp; Out of the total accused in the case, 138 were out on bail. During a course of arguments, Vrinda Grover had submitted that almost 112 of the accused were not identified by any of the prosecution witness. &amp;amp;nbsp; The district administration has deployed heavy security at Maruti's Manesar plant ahead of court verdict. Prohibitory orders have been imposed under Section 144 of the CrPC around the plant and the district courts complex. &amp;amp;nbsp; An official statement issued by the Maruti Suzuki Workers Union hinted at a possible protest if the court verdict was not in their favour. &amp;amp;nbsp; &amp;quot;We are apprehensive and have grounds to believe that it will be a politically motivated anti-worker judgment. We will stand by those facing conviction or were left jobless after the incident,&amp;quot; read an official. &amp;amp;nbsp; In 2011, Maruti incurred a loss over 0 million worth of production due the continuous weeks of labour unrest. This violence had also created a dent on India's appeal as an investor friendly location. &amp;amp;nbsp; It is interesting to note that when the violence broke out, almost half of the workers in the Manesar plant were on contract basis earning around Rs 6,000 per month, a one third of what permanent employees were paid for.","Awanish Kumar Dev, Business, Gurugram, Vrinda Grover",https://www.moneycontrol.com//news/business/gurugram-court-convicts-31acquits-117maruti-violence-case_8628261.html
8,MU02,2017-03-10T09:40:37+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/swaraj-baggonkar-6838/', 'name': 'Swaraj Baggonkar'}","Hot wheels from Maruti, Tata Motors to set roads ablaze this Mar","With an average of nearly two introductions every week, the launches come from Maruti Suzuki, Tata Motors, Honda, Renault, Nissan and Lamborghini. The long-awaited debut of Toyota-owned luxury brand Lexus will also likely happen later this month.","Swaraj BaggonkarMoneycontrol NewsFrom a five-door, five-seater mini car to a twin-seater, two-door exotic super sports car, March is seeing a power packedline up of new launches. To serve the taste buds of car enthusiasts as many as seven new launches are scheduled this month. With an average of nearly two introductions every week, the launches come from Maruti Suzuki, Tata Motors, Honda, Renault, Nissan and Lamborghini. The long-awaited debut of Toyota-owned luxury brand Lexus will also likely happen later this month. The rush for new launches comes on the back of a steady rise in consumer interest for cars who have flocked back to showrooms starting January having stayed away from purchases in November and December following demonetisation. The country&amp;amp;rsquo;s largest carmaker Maruti Suzuki was first off the block with the launch of the Baleno RS, a souped-up variant of the Baleno, its most popular premium hatchback. The Baleno RS gets 1.0 litre boosterjet turbo engine (101bhp) as against the usual 1.2 litre (84bhp). The car comes with SmartPlay infotainment system with Apple CarPlay.After the successful launch the Tiago Mumbai-based Tata Motors is keen to replicate that achievement with the upcoming Tigor. A compact sedan is based on the same platform as the Tiago; the Tigor will fight against Maruti Swift Dzire, Hyundai Xcent and Honda Amaze. The Tigor boasts of a coupe-like rear which will become a stand-out feature in the crowd. Not far behind is an all-new product from Honda. The Japanese giant will launch the WR-V, a premium crossover on the lines of the Hyundai i20 Elite, Fiat Avventura and Toyota Etios Cross. Its tall body design may even allow it to compete against compact sports utility vehicles such as Maruti Suzuki Brezza and Ford EcoSport. Slated for launch on March 16, the WR-V is the first model developed by Honda R&amp;amp;amp;D India in association with Honda R&amp;amp;amp;D Co, Japan. Bookings for the crossover, which is based on the Jazz platform, has already begun with Rs 21,000. For those who are slightly tight on budget there is the Renault Kwid Climber, a jazzed-up version of the Kwid, one of the highest selling budget car models in India. The Climber is priced at Rs 4.3 lakh and is also available with an automated manual transmission version priced at Rs 4.6 lakh. Powered by a 1 litre engine the Kwid Climber, which will come with distinct-looking alloy wheels, roof rails and whitish interiors, will sit high above the ground in an SUV-like demeanour ready for off-roading. Toyota-owned luxury brand Lexus will finally set foot in India this month with reportedly two SUVs and a sedan that are likely to be priced upwards of Rs 70 lakhs going up to Rs 2.2 crore. Such pricing puts them in direct competition with models of Mercedes-Benz, BMW, Audi, Porsche and Jaguar Land Rover. Toyota will initially fully import Lexus models before taking a call on local assembly, as per reports. The luxury brand will have their own line of high-end, limited-number dealerships. However, the star amongst them all would be the Italian race horse from Lamborghini. The super sports car Aventador S has been launched in India and is available for a jaw-dropping Rs 5.01 crore. This car, which generates a staggering 740hp of power (more than 16 times more powerful than India&amp;amp;rsquo;s largest selling car Maruti Suzuki Alto), is the second launch by Lamborghini this year. The Italian great had launched the Hurracan RWD Spyder, an open-top car (convertible) earlier last month at Rs 3.45 crore.","automotive, Business, Maruti Suzuki, Tata Motors",https://www.moneycontrol.com//news/business/hot-wheelsmaruti-tata-motors-to-set-roads-ablaze-this-mar_8625201.html
9,MU02,2017-01-30T11:56:53+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Modi Udyog's board meeting on February 13, 2017","Modi Udyog Ltd has informed BSE that the Meeting of the Board of Directors of the company is schedule to be held on February 13, 2017, to consider, approve and take record of Unaudited Financial Results for the quarter and nine months ended December 31, 2016.","Modi Udyog Ltd has informed BSE that the Meeting of the Board of Directors of the company is schedule to be held on February 13, 2017, inter alia, to discuss the following matters:1. To consider, approve and take record of Unaudited Financial Results for the quarter and nine months ended December 31, 2016.2. To approve the policy on determining Material Subsidiaries, Related Party Transactions and preservation of Documents as required under SEBI (Listing Obligation &amp;amp; Disclosure Requirements) Regulations, 2015Further, pursuant to the provisions of SEBI (Prohibition of Insider Trading) Regulation, 2015 and the Company",Announcements,https://www.moneycontrol.com//news/announcements/modi-udyogs-board-meetingfebruary-13-2017_8366301.html
