,company,datePublished,author,headline,description,articleBody,tags,url
0,MV01,2017-09-11T22:07:38+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Noesis Ind: Outcome of board meeting,"Pursuant to Regulation 33 of Securities and Exchange Board of India Regulations, 2015, please find enclosed herewith a copy of Unaudited Financial Results of the Company as per Ind-AS alongwith Limited Review Report for the Quarter ended on 30th June, 2017.","Pursuant to Regulation 33 of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, please find enclosed herewith a copy of Unaudited Financial Results of the Company as per Ind-AS alongwith Limited Review Report for the Quarter ended on 30th June, 2017.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/noesis-ind-outcomeboard-meeting_9661401.html
1,MV01,2016-11-03T11:15:36+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Noesis Industries' board meeting on November 10, 2016","Noesis Industries Ltd has informed BSE that the meeting of the Board of Directors of the Company will be held on November 10, 2016, inter alia, to consider and approve the Un-audited Financial Results for the Quarter and 6 months ended September 30, 2016.","Noesis Industries Ltd has informed BSE that the meeting of the Board of Directors of the Company will be held on November 10, 2016, inter alia, to consider and approve the Un-audited Financial Results for the Quarter and 6 months ended September 30, 2016.Further, as per the &amp;quot;Code of Conduct for Prevention of Insider Trading&amp;quot; of the Company, the trading window will remain closed for all directors /officers /designated employees of the Company from November 02, 2016 to November 12, 2016 (both days inclusive) on account of consideration of Un-audited Financial Results for the Quarter and 6 months ended September 30, 2016.Source : BSE Read all announcements in MVL Industries",Announcements,https://www.moneycontrol.com//news/announcements/noesis-industries-board-meetingnovember-10-2016_7884081.html
2,MV01,2016-08-01T11:40:38+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Noesis Industries' board meeting on August 11, 2016","Noesis Industries Ltd has informed BSE that the meeting of Directors of the Company will be held on August 11, 2016, inter alia, to consider and take on record the Un-Audited Financial Results for the Quarter ended June 30, 2016.","Noesis Industries Ltd has informed BSE that the meeting of Directors of the Company will be held on August 11, 2016, inter alia, to consider and take on record the Un-Audited Financial Results for the Quarter ended June 30, 2016.Further, as per the ",Announcements,https://www.moneycontrol.com//news/announcements/noesis-industries-board-meetingaugust-11-2016_7156121.html
3,MV01,2016-01-25T13:17:18+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Noesis Industries' board meeting on February 11, 2016","Noesis Industries Ltd has informed BSE that the meeting of the Board of Directors of the Company will be held on February 11, 2016, to consider and take on record the Unaudited Financial Results for the Quarter and 9 months ended December 31, 2015","Noesis Industries Ltd has informed BSE that the meeting of the Board of Directors of the Company will be held on February 11, 2016, inter alia, to consider and take on record the Unaudited Financial Results for the Quarter and 9 months ended December 31, 2015.Further, as per the ",Announcements,https://www.moneycontrol.com//news/announcements/noesis-industries-board-meetingfebruary-11-2016_5145981.html
4,MV01,2015-10-16T22:02:36+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Noesis Industries: Updates on outcome of AGM,"Noesis Industries has submitted a copy of the minutes of the 28th Annual General Meeting (AGM) of the Company held on September 30, 2015.","Noesis Industries Ltd has submitted to BSE a copy of the minutes of the 28th Annual General Meeting (AGM) of the Company held on September 30, 2015.Source : BSE Read all announcements in MVL Industries",Announcements,https://www.moneycontrol.com//news/announcements/noesis-industries-updatesoutcomeagm_3643521.html
5,MV01,2015-10-01T20:50:35+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Noesis Industries: Outcome of AGM,"Noesis Industries has informed that the 28th Annual General Meeting (AGM) of the Company was held on September 30, 2015.","Noesis Industries Ltd has informed BSE that the 28th Annual General Meeting (AGM) of the Company was held on September 30, 2015.Source : BSE Read all announcements in MVL Industries",Announcements,https://www.moneycontrol.com//news/announcements/noesis-industries-outcomeagm_3381541.html
6,MV01,2014-10-09T17:00:43+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",MVL Industries: Outcome of AGM,"MVL Industries has informed that the 27th Annual General Meeting (AGM) of the Company was held on September 30, 2014.","MVL Industries Ltd has informed BSE that the 27th Annual General Meeting (AGM) of the Company was held on September 30, 2014.Source : BSE Read all announcements in MVL Industries",Announcements,https://www.moneycontrol.com//news/announcements/mvl-industries-outcomeagm_1199507.html
7,MV01,2014-02-14T19:06:40+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",MVL Industries standalone Dec '13 sales at Rs 0.05 crore,MVL Industries has reported a standalone sales turnover of Rs 0.05 crore and a net loss of Rs 9.66 crore for the quarter ended Dec '13,"MVL Industries has reported a standalone sales turnover of Rs 0.05 crore and a net loss of Rs 9.66 crore for the quarter ended Dec '13.For the quarter ended Dec 2012 the standalone sales turnover was Rs 0.05 crore and net loss was Rs 38.09 crore.MVL Industries shares closed at 2.80 on January 17, 2014 (NSE)MVL IndustriesStandalone Quarterly Results-------- in Rs. Cr. --------Dec '13Sep '13Mar '13Sales Turnover0.050.030.27Other Income------Total Income0.050.030.27Total Expenses0.340.602.64Operating Profit-0.29-0.57-2.37Profit On Sale Of Assets------Profit On Sale Of Investments------Gain/Loss On Foreign Exchange------VRS Adjustment------Other Extraordinary Income/Expenses------Total Extraordinary Income/Expenses-0.23---15.36Tax On Extraordinary Items------Net Extra Ordinary Income/Expenses------Gross Profit-0.29-0.57-2.37Interest8.978.866.98PBDT-9.49-9.43-24.71Depreciation0.170.180.18Depreciation On Revaluation Of Assets------PBT-9.66-9.61-24.89Tax----0.04Net Profit-9.66-9.61-24.93Prior Years Income/Expenses------Depreciation for Previous Years Written Back/ Provided------Dividend------Dividend Tax------Dividend (%)------Earnings Per Share------Book Value------Equity26.3326.3326.33Reserves------Face Value10.0010.0010.00Source :  Dion Global Solutions Limited","Consumer Goods - Electronic, MVL Industries, Results",https://www.moneycontrol.com//news/results/mvl-industries-standalone-dec-13-sales-at-rs-005-crore_1043398.html
8,MV01,2014-02-03T21:13:06+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",MVL Industries' change of name of the company,"MVL Industries has informed that the name of the Company MVL Industries Limited is changed to Noesis Industries Limited w.e.f. January 17, 2014.","MVL Industries Ltd has informed BSE that the name of the Company MVL Industries Limited is changed to &ldquo;Noesis Industries Limited&rdquo; w.e.f. January 17, 2014.Source : BSE Read all announcements in MVL Industries",Announcements,https://www.moneycontrol.com//news/announcements/mvl-industries-changenamethe-company_1036925.html
9,MV01,2013-12-13T18:01:50+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",MVL Industries fixes book closure for AGM,"The Register of Members &amp;amp; Share Transfer Books of MVL Industries will remain closed from December 21, 2013 to December 27, 2013 (both days inclusive) for the purpose of 26th Annual General Meeting (AGM) of the Company to be held on December 27, 2013.","MVL Industries Ltd has informed BSE that the Register of Members &amp;amp; Share Transfer Books of the Company will remain closed from December 21, 2013 to December 27, 2013 (both days inclusive) for the purpose of 26th Annual General Meeting (AGM) of the Company to be held on December 27, 2013.Source : BSE Read all announcements in MVL Industries",Announcements,https://www.moneycontrol.com//news/announcements/mvl-industries-fixes-book-closure-for-agm_1007966.html
