,company,datePublished,author,headline,description,articleBody,tags,url
0,NOR,2017-11-15T21:33:19+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Nagarjuna Oil Refinery director S R Ramakrishnan resigns,"We inform that the Company has received letter dated October 21, 2017 today, i.e. on November 15, 2017 from Mr. S R Ramakrishnan resigning as an Independent Director of the Company due to personal and health reasons.","Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, we inform that the Company has received letter dated October 21, 2017 today, i.e. on November 15, 2017 from Mr. S R Ramakrishnan resigning as an Independent Director of the Company due to personal and health reasons.  Request you to kindly take the above information on record.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/nagarjuna-oil-refinery-director-s-r-ramakrishnan-resigns_10067841.html
1,NOR,2017-08-01T12:33:31+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","Nagarjuna Oil's board meeting on August 09, 2017","This is to inform that the Board of Directors of the company will be considering the Un-Audited Financial Results for the Quarter ended June 30, 2017 at their meeting scheduled to be held on August 09, 2017 at the Registered Office of the company, Nagarjuna Hills, Punjagutta, Hyderabad &ndash; 500 082.","This is to inform that the Board of Directors of the company will be considering the Un-Audited Financial Results for the Quarter ended June 30, 2017 at their meeting scheduled to be held on August 09, 2017 at the Registered Office of the company, Nagarjuna Hills, Punjagutta, Hyderabad &ndash; 500 082.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/nagarjuna-oil39s-board-meetingaugust-09-2017_9370721.html
2,NOR,2017-05-18T15:15:05+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","Nagarjuna Oil Refinery's board meeting on May 26, 2017","This is to inform that the Board of Directors of the company will be considering the Audited Financial Results for the year ended March 31, 2017 at their meeting scheduled to be held on May 26, 2017 at the Registered Office of the company, Nagarjuna Hills, Punjagutta, Hyderabad &ndash; 500 082.","This is to inform that the Board of Directors of the company will be considering the Audited Financial Results for the year ended March 31, 2017 at their meeting scheduled to be held on May 26, 2017 at the Registered Office of the company, Nagarjuna Hills, Punjagutta, Hyderabad &ndash; 500 082.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/nagarjuna-oil-refinery39s-board-meetingmay-26-2017_9022041.html
3,NOR,2017-02-09T21:02:58+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Nagarjuna Oil Refinery director D Ranga Raju resigns,"Nagarjuna Oil Refinery has informed that the Company has received letter dated February 01, 2017 from Mr. D Ranga Raju informing that he has resigned as an Independent Director of the Company with effect from February 01, 2017.","Nagarjuna Oil Refinery Ltd has informed BSE that the Company has received letter dated February 01, 2017 from Mr. D Ranga Raju informing that he has resigned as an Independent Director of the Company with effect from February 01, 2017.Source : BSE Read all announcements in Nagarjuna Oil",Announcements,https://www.moneycontrol.com//news/announcements/nagarjuna-oil-refinery-director-d-ranga-raju-resigns_8464121.html
4,NOR,2017-01-30T11:55:58+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Nagarjuna Oil Refinery's board meeting on February 09, 2017","Nagarjuna Oil Refinery Ltd has informed BSE that the Board of Directors of the Company will be considering the Un-Audited Financial Results for the quarter ended December 31, 2016 at their meeting scheduled to be held on February 09, 2017.","Nagarjuna Oil Refinery Ltd has informed BSE that the Board of Directors of the Company will be considering the Un-Audited Financial Results for the quarter ended December 31, 2016 at their meeting scheduled to be held on February 09, 2017.Source : BSE Read all announcements in Nagarjuna Oil",Announcements,https://www.moneycontrol.com//news/announcements/nagarjuna-oil-refinerys-board-meetingfebruary-09-2017_8366261.html
5,NOR,2017-01-23T11:56:28+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Nagarjuna Oil Refinery's board meeting on February 09, 2017","Nagarjuna Oil Refinery Ltd has informed BSE that the Board of Directors of the Company will be considering the Un-Audited Financial Results for the quarter ended December 31, 2016 at their meeting proposed to be held on February 09, 2017.","Nagarjuna Oil Refinery Ltd has informed BSE that the Board of Directors of the Company will be considering the Un-Audited Financial Results for the quarter ended December 31, 2016 at their meeting proposed to be held on February 09, 2017.Accordingly, the trading window shall be closed from January 25, 2017 to February 11, 2017 (both days inclusive).Source : BSE Read all announcements in Nagarjuna Oil",Announcements,https://www.moneycontrol.com//news/announcements/nagarjuna-oil-refinerys-board-meetingfebruary-09-2017_8320441.html
6,NOR,2016-11-08T22:07:05+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Nagarjuna Oil Refinery: Outcome of board meeting,"Nagarjuna Oil Refinery has informed about Outcome of Board Meeting held on November 08, 2016.","Nagarjuna Oil Refinery Ltd has informed BSE about Outcome of Board Meeting held on November 08, 2016.Source : BSE Read all announcements in Nagarjuna Oil",Announcements,https://www.moneycontrol.com//news/announcements/nagarjuna-oil-refinery-outcomeboard-meeting_7927921.html
7,NOR,2016-11-07T22:03:22+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Nagarjuna Oil Refinery board meeting on Nov 08, 2016","Nagarjuna Oil Refinery at their meeting scheduled to be held on Nov. 08, 2016 shall consider sale of 77,62,20,000 equity shares of Rs. 10/- each held by the Company in Nagarjuna Oil Corporation Limited (NOCL), a company incorporated under the Companies Act, 1956 with registered office at No.53, RK Salai, Mylapore, Chennai - 600 004.","Nagarjuna Oil Refinery Ltd has informed BSE that the Board of Directors of the Company at their meeting scheduled to be held on November 08, 2016 shall consider sale of 77,62,20,000 equity shares of Rs. 10/- each held by the Company in Nagarjuna Oil Corporation Limited (NOCL), a company incorporated under the Companies Act, 1956 with registered office at No.53, RK Salai, Mylapore, Chennai - 600 004, involved in setting up a 6 million tonnes oil refinery at Cuddalore in Tamil Nadu aggregating to 46.78% of its equity share capital.Source : BSE Read all announcements in Nagarjuna Oil",Announcements,https://www.moneycontrol.com//news/announcements/nagarjuna-oil-refinery-board-meetingnov-08-2016_7918721.html
8,NOR,2016-11-01T15:32:15+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Nagarjuna Oil Refinery's board meeting on November 08, 2016","Nagarjuna Oil Refinery Ltd has informed BSE that the Board of Directors of the company will be considering the Un-Audited Financial Results for the quarter / half year ended September 30, 2016 at their meeting scheduled to be held on November 08, 2016.","Nagarjuna Oil Refinery Ltd has informed BSE that the Board of Directors of the company will be considering the Un-Audited Financial Results for the quarter / half year ended September 30, 2016 at their meeting scheduled to be held on November 08, 2016.Source : BSE Read all announcements in Nagarjuna Oil",Announcements,https://www.moneycontrol.com//news/announcements/nagarjuna-oil-refinerys-board-meetingnovember-08-2016_7868261.html
9,NOR,2016-02-05T15:06:42+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Nagarjuna Oil Refinery: Updates on outcome of board meeting,"Nagarjuna Oil Refinery is in discussion with various potential Investors who have shown interest in investing in the 6 million tonnes petroleum refinery project of Nagarjuna Oil Corporation Limited (NOCL) at Cuddalore in Tamil Nadu, where the Company holds 46.78% of the equity share capital.","With reference to the earlier letter dated February 04, 2016 regarding Outcome of Board Meeting held on February 04, 2016, Nagarjuna Oil Refinery Ltd has now informed BSE that the Board of Directors of the Company also noted that the Company is in discussion with various potential Investors who have shown interest in investing in the 6 million tonnes petroleum refinery project of Nagarjuna Oil Corporation Limited (NOCL) at Cuddalore in Tamil Nadu, where the Company holds 46.78% of the equity share capital.The Company shall provide further update on the matter as and when there is progress.Source : BSE Read all announcements in Nagarjuna Oil",Announcements,https://www.moneycontrol.com//news/announcements/nagarjuna-oil-refinery-updatesoutcomeboard-meeting_5328321.html
10,NOR,2016-01-25T12:04:21+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Nagarjuna Oil Refinery's board meeting on February 04, 2016","Nagarjuna Oil Refinery Ltd has informed BSE that the Board of Directors of the Company will be considering the Unaudited Results for the quarter ended December 31, 2015 at their meeting scheduled to be held on February 04, 2016.","Nagarjuna Oil Refinery Ltd has informed BSE that the Board of Directors of the Company will be considering the Unaudited Results for the quarter ended December 31, 2015 at their meeting scheduled to be held on February 04, 2016.Accordingly, the trading window shall be closed from January 22, 2016 to February 05, 2016.Source : BSE Read all announcements in Nagarjuna Oil",Announcements,https://www.moneycontrol.com//news/announcements/nagarjuna-oil-refinerys-board-meetingfebruary-04-2016_5144461.html
