,company,datePublished,author,headline,description,articleBody,tags,url
0,NTP,2024-03-07T11:02:00+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy NTPC; target of Rs 425: Sharekhan,"Sharekhan is bullish on NTPC has recommended buy rating on the stock with a target price of Rs 425 in its research report dated March 06, 2024.","Sharekhan's research report on NTPC NTPC plans to add significant thermal power capacities is coming at right timing of peak power cycle. Core thermal power business earns a regulated RoE and a higher capex intensity would drive earnings growth and offer cash flow visibility. NTPC&rsquo;s RE expansion plan of 20GW/60GW by FY27E/FY32E would mean meaningful EBITDA contribution apart from improving ESG score. Power PSUs&rsquo; valuations are at a steep discount of 35-40% when compared to private power companies. We expect this gap for NTPC (discount of 45% versus private listed companies) to narrow down, given the favourable dynamics for its core thermal power business supported by rising peak power deficit, high growth for RE and a likely improvement in ESG score. Outlook We maintain a Buy on NTPC with a revised PT of Rs. 425 given strong earnings growth visibility, reasonable valuation of 2x FY26E P/BV and healthy dividend yield of ~3%. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. NTPC - 07032024 - khan","Buy, NTPC, Recommendations, Sharekhan",https://www.moneycontrol.com//news/recommendations/buy-ntpc-targetrs-425-sharekhan_17489151.html
1,NTP,2024-02-29T09:30:02+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",NTPC falls as green subsidiary signs JVA with Maharashtra State Power Generation Company,The company under the JVA will develop GW-scale renewable energy parks and undertake projects of this scale in a phased manner.,"Shares of NTPC fell nearly 1 percent at open on the NSE on February 29, a day after it reported that subsidiary NTPC Green Energy had signed a JVA with the Maharashtra State Power Generation Company (MAHAGENCO). At 9:20 am, the stock was trading at Rs 331.05.  Follow our market blog for live updates  In an exchange filing, post market hours, NTPC said that its fully owned subsidiary NTPC Green Energy had signed a joint venture agreement with MAHAGENCO for the development of Renewable Energy Parks in the state of Maharashtra.  The company under the JVA will develop GW-scale renewable energy parks and undertake projects of this scale in a phased manner.  Also read:&nbsp;NTPC gets DIPAM nod to list arm NTPC Green Energy to raise Rs 10,000 cr  NTPC has a total installed capacity, including JVs and subsidiaries, of approximately 74 GW. The subsidiary was formed as a part of NTPC's goal of increasing its renewable energy portfolio. &amp;quot;NTPC Group has ambitious plans of attaining 60 GW of renewable energy capacity by the year 2032. Currently, it has 3.4 GW of installed RE capacity and more than 22 GW under pipeline,&amp;quot; a PIB release noted.  Disclaimer: The views and investment tips expressed by investment experts on&nbsp;Moneycontrol.com&nbsp;are their own and not those of the website or its management.&nbsp;Moneycontrol.com&nbsp;advises users to check with certified experts before taking any investment decisions. ","Buzzing Stocks, NTPC",https://www.moneycontrol.com//news/buzzing-stocks/ntpc-falls-as-green-subsidiary-signs-jvamaharashtra-state-power-generation-company_17481581.html
2,NTP,2024-02-22T20:23:32+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/anishaa-kumar-33261/', 'name': 'Anishaa Kumar'}",In charts: What is driving power sector growth and investor optimism in India,"According to a latest JM Financial report, demand for power is growing at an unprecedented level along with improved cash flows and a push for renewables by both government and private players.","Power companies witnessed mixed earnings in the fiscal third quarter, but the growth optimism in the sector persists, driven by increasing demand, larger investments into augmenting capacities, and rapidly growing renewable energy.  In a recent report, Jefferies said that power demand is up 8 percent in 9M FY24, and is expected to continue growing. This increase in demand has been realised over the last couple of years, aided by the government efforts towards complete electrification in both rural and urban India.  Further, the power sector has seen substantially reduced costs and losses, which has led to increased investments into the sector.  Finally, as part of the government's move towards Green Energy, a number of schemes and incentives have been announced to encourage the use of renewable energy. In the interim budget, the sector received an allocation of around Rs 30,000 crore -- 50 percent more than the previous year&rsquo;s revised estimates. This overall sentiment for the segment has been beneficial to power stocks. Some of the biggest gainers in the segment in the last one year have been NTPC (1-year return: 98 percent), JSW Energy (124 percent) and Torrent Power (128 percent). Power finance firm stocks PFC and REC have also gained nearly 3x over the last one year.  1. Full electrification boosts power demand    Full electrification of both rural and urban India has resulted in the increased availability of power to about 21-22 hours in rural areas, up from 12.5 hours in 2015. Urban areas&rsquo; power availability is at 23.8 hours. Energy demand has risen two-and-a-half times from 592 billion units (BU) in FY 2005 to 1,512 BU in FY2023. &ldquo;The momentum is continuing with 9M FY24 energy demand at 1,225 BU, a 7.6 percent YoY increase,&rdquo; JM Financial said. This has been aided by an increase in power transfer capacity, and infrastructure development such as substations and transmission lines.  2. Reduction in losses: Dues and AT&amp;amp;amp;C    The power sector has seen significant improvement in cash flows, and reduction in outstanding dues from discoms. High AT&amp;amp;amp;C (aggregate technical and commercial losses) and low billing have historically limited investments in the whole power value chain. But now this is changing. &ldquo;AT&amp;amp;amp;C losses have reduced from 25.72 percent in FY2015 to 15.40 percent in FY 2023 as a result of various initiatives like installation of smart metres, mandatory energy accounting and audit system etc,&amp;quot; the report added.  Outstanding discom dues have also been reduced with the implementation of the Electricity (Late Payment Surcharge and Related Matters) Rules, 2022 in June 2022. Under this, the total outstanding dues of generating companies have reduced from Rs 1,400 billion in FY2022 to around Rs 495 billion in FY2023. With increased cash flow, these companies are able to invest in increased capacity and storage facilities.  3. Increasing renewable capacity and storage    Renewable power generation capacity in India stands at 130,957 MW, with 104 GW of renewable projects under construction. The government expects a renewable capacity addition of 322GW&nbsp; by FY2032 as part of their plan to achieve 500 GW by 2030. The government has also been focussing on adding energy storage capacities, especially in the hydropower space. Currently, pumped storage projects of 4.7 GW are operational, the report adds with about 3-4 GW under construction; and 35GW under clearances.  4. Thermal power capacity expansion on the rise too    While there has been a push for renewables, in order to ensure continuous power demand, there has also been a renewed focus on investments to expand thermal capacity. Currently around 26,380 MW of thermal capacity is under construction, while another 11,960 MW has been bid out, and 19,050 MW is awaiting clearance. The government has a target to add 93,380 MW of thermal capacity by FY2032.  Disclaimer: The views and investment tips expressed by investment experts on&nbsp;Moneycontrol.com&nbsp;are their own and not those of the website or its management.&nbsp;Moneycontrol.com&nbsp;advises users to check with certified experts before taking any investment decisions. ","Market Edge, power",https://www.moneycontrol.com//news/market-edge/in-charts-what-is-driving-power-sector-growthinvestor-optimismindia_17472511.html
3,NTP,2024-02-19T14:54:18+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","NTPC, JSW Energy, PowerGrid to benefit from rising power demand: Jefferies","On the supply side, the report highlighted that irregular rainfall and unusual dryness impacted hydropower generation which declined 19 percent YoY while All-India thermal PLF increased to 72 percent from  67 percent YoY in order to compensate for the deficit.","Power demand in January 2024 grew on expected lines at 5 percent on the back of a high base of 14 percent rise last year, a latest power sector report by Jefferies said. The brokerage expects an increase in temperature in the summer months will&nbsp;further boost the demand.  The broker has rated NTPC, JSW Energy and Power Grid&nbsp;as its top picks.  Rising demand  In terms of geography, North India saw the highest rise in demand in January at 8 percent on-year, while the West accounted for the overall highest power demand at 32 percent, followed by North&nbsp;at 31 percent and South at 25 percent, the report said.  On the supply side, the report&nbsp;highlighted that&nbsp;irregular rainfall and unusual dryness impacted hydropower generation which declined 19 percent YoY, while All-India thermal PLF&nbsp;increased to 72 percent from&nbsp; 67 percent YoY in order to compensate for the deficit.  Also read:&nbsp;Govt eyes concentrated solar power systems in renewable energy parks  Rise in renewable energy  So far in FY2024, more than 25 GW renewable auctions&nbsp;were&nbsp;conducted which, according to the report, is&nbsp;much higher than FY2023 which saw around 6 to 9 GW rise. According to Jefferies, this is largely in line with&nbsp;their estimate of 18-25 GW and the required annual run-rate for India to&nbsp;reach Jefferies' estimate of 308 GW renewable energy capacity expectations by 2030.&nbsp;The government has a 450 GW target for the same duration.  Market Coupling implementation  Recently CERC (Central Electricity Regulatory Commission), the power regulator, directed Grid India to develop a software within two months for the market coupling pilot for a duration of two months across all three exchanges. According to Jefferies, if market coupling is implemented, it could be &amp;quot;negative for IEX due to decline in market share&amp;quot;.  Also read:&nbsp;MC Explains: What is market coupling and why is it in the news?  CERC draft energy generation tariff norms  Additionally,&nbsp;in January 2024, in a draft paper on tariffs by CERC, the Return on equity (ROE) on regulated projects has been retained at 15.5 percent for thermal and transmission projects and as well as 16.5 percent for for hydro projects. This according to Jefferies, augurs well for NTPC&nbsp; and Power Grid on a regulated business. The brokerage has a buy call on both stocks.  Also read:&nbsp;Business as usual say brokerages on recently-released draft CERC regulations  &amp;quot;On a competitive bidding, given access to lowest rates, NTPC and Power Grid are in a better position to generate profitable growth,&amp;quot; the report said. Additionally,&nbsp; JSW Energy should see some benefits from commissioning of 700 MW merchant power plant&nbsp;&amp;amp;amp; renewables rising to 81 percent of capacity from 52 percent over the next 5-7 years.  Disclaimer: The views and investment tips expressed by investment experts on&nbsp;Moneycontrol.com&nbsp;are their own and not those of the website or its management.&nbsp;Moneycontrol.com&nbsp;advises users to check with certified experts before taking any investment decisions. ","Market Edge, power",https://www.moneycontrol.com//news/market-edge/ntpc-jsw-energy-powergrid-to-benefitrising-power-demand-jefferies_17464021.html
4,NTP,2024-02-15T12:54:04+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","Tata Power, Torrent Power, BHEL surge up to 6% on Morgan Stanley's target upgrade",Analysts at Morgan Stanley forecasted capex of $550 billion in the next decade as India builds energy security,"Shares of power companies NTPC, Power Grid, BHEL, Tata Power&nbsp;and Torrent Power surged up to 6 percent on February 15 after global brokerage firm Morgan Stanley shared bullish calls and raised their respective target prices.  The brokerage firm upgraded BHEL to 'equal-weight' and raised its target price to Rs 220 per share, followed by an 'overweight' call on NTPC and a target upgrade to Rs 390 per share. Morgan Stanley also shared an 'overweight' call on Power Grid and raised its target to Rs 296.  On the other hand, analysts&nbsp;were 'underweight' on Tata Power and Torrent Power, raising their target prices to Rs 308 and Rs 940 per share.  Follow our live blog for all the market action  &amp;quot;We forecast a capex of $550 billion in the next decade as India builds on energy security. The power demand is rising while supply-side constraints are becoming more complex. We prefer utilities over independent power producers (IPPs),&amp;quot; the brokerage firm said.  Power generation rose 4.5 percent year-on-year (YoY) in December 2023 to 135 billion units.&nbsp;This modest growth was on a high base of December 2022, which saw a robust 14 percent on-year rise.  Plant-load factors (PLFs)&nbsp;for coal-based capacities stood at 65 percent in December 2023 (68&nbsp;percent for 9MFY24), whereas gas-based capacities operated at 10.4&nbsp;percent utilisation in December 2023.  Also read:&nbsp;Government's power sector schemes get 50% higher funds in Budget 2024  The Centre's schemes for the power sector, including renewables, have received an allocation of at least Rs 28,352 crore in the Interim Budget 2024, up 50 percent from the revised estimate (RE) of Rs 18,945 crore in 2023-24. Separately,&nbsp;renewable energy schemes (under MNRE) were allocated Rs 12,491 crore, up 65 percent from Rs 7,586 crore in RE 2023-24.  Besides, power&nbsp;sector initiatives (under the Ministry of Power) got a 40 percent hike from Rs 11,359 crore to Rs 15,861 crore.  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","BHEL, Buzzing Stocks, Morgan Stanley, power stocks, Tata Power",https://www.moneycontrol.com//news/buzzing-stocks/tata-power-torrent-power-bhel-surgeto-6morgan-stanley39s-target-upgrade_17455311.html
5,NTP,2024-02-07T11:03:55+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","Kotak analysts refuse to ride PSU stock rally, see threat to profitability, downside risks","Kotak Institutional Equities, in its recent report, finds the recent sharp rally in public sector stocks puzzling","Kotak Institutional Equities has refused to accept the market's new narrative of PSUs that may have contributed to the sharp rally in stocks of state-run companies recently. In a report, the analysts have rejected positive outlook on the sector, citing concerns about near-term focus, profitability, and overlooking risks in the medium term, business models, and disruptions.  PSU stocks surged 19-443&nbsp;percent in the past year, led by capital goods, electric utilities, financials, and oil&nbsp;and gas. &amp;quot;We find certain assumptions, surrounding the medium-to-long-term growth and profitability of these sectors, to be highly optimistic. We doubt much has changed in most sectors,&amp;quot; the Kotak report said.  PSUs in capital goods experienced a notable rerating on the back of increased order flow, but Kotak has warned of underestimated risks in assuming prolonged large order inflows, especially in sectors like thermal electricity generation.&nbsp;&amp;quot;The government&rsquo;s three-in-one role of buyer, owner and policymaker&nbsp;or regulator creates uncertainty regarding the companies&rsquo; future earnings and returns,&amp;quot; it said.  In electric utilities, Kotak notes a significant rerating, highlighting NTPC's valuation concerns and the market's overestimation of growth potential for&nbsp;PowerGrid. The transition to solar electricity and competitive tariff-based bidding projects pose risks, according to the analysts.  &amp;quot; We are puzzled by the market&rsquo;s confidence,&amp;quot; Kotak wrote on the rally in&nbsp;state-run oil marketing companies (OMCs). In OMCs,&nbsp;the&nbsp;rerating was driven by high profitability assumptions, but Kotak has questioned market confidence, citing volatile marketing margins and optimistic profitability assumptions. &amp;quot;The government pricing policy uncertainty and low FCF-to-PAT ratios make P/E-based valuations irrelevant,&amp;quot; it said.  Portfolio revision  Kotak said it has added Pidilite Industries to its portfolio with a weight of 150 basis points while exiting PowerGrid Corp (190 bps). The brokerage house has redistributed the remaining 40 bps to SBI Life.  PowerGrid Corp's robust performance, with a 69&nbsp;percent return over the past year, is now trading at 2.4X FY2026 BV &mdash; a considerable premium compared to its fair multiple of around 1.5X BV. While historically viewed as a prime investment for India's electrification, current valuations seem to be reflecting the anticipated growth opportunities for the next few years, it said.  The brokerage house is reassured by Pidilite's strong earnings visibility in the thriving residential real estate up-cycle, expecting it to continue for the next few years. Pidilite's solid market position and potential weakening competition are factors contributing to this confidence. The company's profitability, despite recent price cuts and increased advertising and promotion spending, is considered comfortable.  Additionally, Pidilite's low risk of disruption sets it apart from other building materials products. Adhesives, a key product, are likely to remain B2C, unlike other building products that may transition to B2B as development trends shift towards larger projects by major developers, Kotak said.  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Buzzing Stocks, equity markets, markets News, PSU stocks",https://www.moneycontrol.com//news/buzzing-stocks/kotak-analysts-refuse-to-ride-psu-stock-rally-see-threat-to-profitability-downside-risks_17432961.html
6,NTP,2024-02-03T12:59:18+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy NTPC; target of Rs 365: Sharekhan,"Sharekhan is bullish on NTPC has recommended buy rating on the stock with a target price of Rs 365 in its research report dated January 30, 2024.","Sharekhan's research report on NTPC Q3FY24 adjusted PAT was up 1% y-o-y to Rs. 4,468 crore (above estimates) due to higher other income which offsets rise in fixed cost under-recoveries. Regulated equity base grew by 9% y-o-y to Rs. 82,094 crore. NTPC plans to add another 16.8 GW of thermal capacities beyond by FY26 besides under-construction thermal capacities of 10 GW. Renewable energy (RE) capacity target remains strong at 15 GW by FY26 but recent execution has been subdued with RE capacity remaining stagnant at 3.3 GW. We believe that addition of thermal power capacities would drive regulated equity base and provides earnings growth visibility. Moreover, focus on ramping up of RE portfolio and new areas of green hydrogen/battery storage would be key re-rating catalysts in the medium to long term as it would not only drive growth but also improve ESG score. Outlook We maintain a Buy on NTPC with a revised PT of Rs. 365. Valuation of 1.8x FY25E P/BV is reasonable given strong long-term growth prospects and stock offers a healthy dividend yield of ~3%. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  NTPC - 3112024 - khan","Buy, NTPC, Recommendations, Sharekhan",https://www.moneycontrol.com//news/recommendations/buy-ntpc-targetrs-365-sharekhan_17428121.html
7,NTP,2024-01-29T20:51:25+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","NTPC Q3 results: Net profit rises 7.3% YoY to Rs 5,209 crore, beats estimates","The revenue from operations in the December 2023 quarter was Rs 42,820.38 crore, down 4 percent from Rs 44,601.84 crore reported in the corresponding quarter of the previous fiscal year.","State-run power generator NTPC Ltd reported a consolidated net profit of Rs&nbsp;5,208.87 crore for the third quarter of 2023-24, up 7.3 percent from Rs&nbsp;4,854.36&nbsp;crore in the year-ago period.  Revenue from operations in the December 2023 quarter was Rs&nbsp;42,820.38 crore, down 3.9 percent from Rs&nbsp;44,601.84 crore reported in the corresponding quarter of the previous fiscal year.  According to the average of analyst estimates calculated by Bloomberg, NTPC was projected to report a net profit of Rs 4,930 crore and a revenue of Rs 44,646.80 crore in the quarter under review.  The company's board also approved paying a second interim dividend of Rs 2.25 per share on the face value of paid-up equity shares of Rs 10 each for FY24. The dividend will be paid on February 22.  NTPC is India's largest integrated power utility, contributing 25 percent of the country&rsquo;s power requirement.  ALSO READ: Exclusive: PM Modi likely to launch projects worth Rs 69,000 cr in Odisha next month, bulk in coal &amp;amp;amp; power sector  Earnings before interest, taxes, depreciation and amortisation (EBITDA) came in at Rs 12,116.42 crore, which is 18 percent lower compared with Rs 14,864.96 crore during the same period a year earlier. The EBITDA margin declined by 5 percentage points to 28 percent from 33 percent.  During the quarter, the company recorded gross power generation of 89.467 billion units (BU), 13.76 percent higher than 78.646 BUs in the same period of the previous year.  Coal produced from its captive mines stood at 8.09 million tonnes in the quarter, marking a sharp spike of 51.2 percent over 5.35 MT in FY23.  The total installed capacity of the NTPC group stood at 73,874 MW in Q3FY24 against 70,884 MW in the same quarter of the previous fiscal year. On a standalone basis, NTPC reported a total installed capacity of 57,838 MW, up from 58,269 MW in Q3FY23.  On September 1, 2023, India witnessed a record power demand of almost 240 GW, amid soaring temperatures.  Shares of NTPC closed at Rs 324.55 a piece on the National Stock Exchange on January 29 ahead of the results, up almost 3.11 percent.","earnings, FY24, NTPC, NTPC Ltd, Q3, Results",https://www.moneycontrol.com//news/results/ntpc-q3-results-net-profit-rises-73-yoy-to-rs-5209-crore-beats-estimates_17419311.html
8,NTP,2024-01-19T10:41:32+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/anishaa-kumar-33261/', 'name': 'Anishaa Kumar'}","Q3 power sector earnings preview: Optimism continues, earnings expected to be mixed","Earlier this month, a Jefferies report said that momentum will likely continue in the power sector if monthly power stays at 7 percent or higher","Power companies are expected to report healthy earnings for the December quarter of FY24, driven by increased demand during the festival season. Earlier this month, a Jefferies report said momentum will likely continue in the power sector if monthly demand stays at 7 percent or higher. This aligns with the government's focus on increasing investments and expanding capacities in the sector.  Also read:&nbsp;NTPC Green Energy signs two pacts for green hydrogen projects in Gujarat  Analysts expect a muted quarter despite demand; still positive on sector  While the power demand and generation has been high, power generation, according to Elara Securities, rose 4.5 percent YoY in December 2023 to 135 billion units (BU).&nbsp; According to the brokerage, this modest growth was on a high base of December 2022, which saw a 14 percent YoY rise. &amp;quot;The slight uptick in generation can be linked to decreased cooling demand during winters, thus deviating from the strong trend seen in the preceding three months,&amp;quot; the report added.  While JM Financial expects the companies under coverage to report 6 percent YoY revenue growth driven by 11 percent YoY growth in power demand, they estimate that earnings&nbsp; will remain flat in the quarter. But overall, the brokerage adds that they &amp;quot;remain positive on the utilities space with likely stability in power demand, pickup in thermal capex and continued momentum in RE additions.&amp;quot;   .  Going ahead, they expect demand for power (which is significantly higher than all earlier growth rates) to continue to grow. &amp;quot;We expect peak demand to remain high going forward along with sustenance of robust power demand on the back of pick-up in industrial activities and general elections,&amp;quot; the brokerage added.  Renewable power continues to lead the way  In a December 2023 report, Kotak Securities analysts said that India has steadily improved its renewable capacity to 179 GW as of October 2023 (including hydro capacities) even though the pace of addition has been slow in recent years. The government is targeting 500 GW of renewable capacity by FY2030E. &amp;quot;While the key players have lined up impressive plans to set up renewable capacities, execution has been patchy so far,&amp;quot; the report added.  Also read:&nbsp;MC Exclusive | RK Singh seeks more funds for power sector, sops for green hydrogen  Top power sector picks in the run up to Q3FY24 results  Top picks in the sector include NTPC, NHPC, and IEX. Analysts at Elara Capital project healthy growth for JSW Energy, driven by incremental earnings from acquired renewable assets and capacity additions. However, NHPC and SJVN are expected to see marginal growth due to irregular rainfall and unusual dryness affecting hydro generation.  NHPC revenue may fall marginally, offset by a 6 percent YoY increase in PAT, attributed to assured return and incentive income. Elara Capital anticipates a 2 percent YoY revenue increase for the sector and positive growth for Indian Energy Exchange, with an 18 percent YoY rise in revenue to Rs 1.2 billion and PAT increasing by 13 percent YoY to Rs 875 million in Q3.  Most analysts expect Power Grid to report a flattish quarter with order conversion to earnings expected to take time. JM Financial analysts estimate net sales at Rs 115 billion, and EBITDA margin of 86 percent.  Disclaimer: The views and investment tips expressed by investment experts on&nbsp;Moneycontrol.com&nbsp;are their own and not those of the website or its management.&nbsp;Moneycontrol.com&nbsp;advises users to check with certified experts before taking any investment decisions.","Business, power, Result Poll",https://www.moneycontrol.com//news/business/q3-power-sector-earnings-preview-optimism-continues-earnings-expected-to-be-mixed_17406011.html
9,NTP,2024-01-09T12:31:12+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}","Premier Energies bags Rs 1,700 crore order from NTPC","The order is for NTPC's Nokh solar PV project in Rajasthan, a company statement said.","Premier Energies on Tuesday said it has bagged an order worth Rs 1,700 crore from NTPC for supply of 608 MW bifacial solar photovoltaic modules.  The order is for NTPC's Nokh solar PV project in Rajasthan, a company statement said.  The supply is expected to be completed in a span of 9 months.  The company said it has an annual module capacity of 4GW and is dedicated to developing world-class indigenous solar cells and modules and significantly contribute towards 'Make in India' initiative.","Business, Companies",https://www.moneycontrol.com//news/business/premier-energies-bags-rs-1700-crore-orderntpc_17392901.html
