,company,datePublished,author,headline,description,articleBody,tags,url
0,OC13,2017-12-26T23:56:02+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Ortel Communications: Outcome of board meeting,"We kindly want to inform you that the outcome of the Board Meeting held on December 26, 2017.","Outcome of the Board Meeting held on 26th December, 2017.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/ortel-communications-outcomeboard-meeting_10265641.html
1,OC13,2017-11-28T16:00:05+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Ortel Communications - Outcome of board meeting,"Outcome of the Board Meeting held on 28th November, 2017 for the quarter and half year ended September 30, 2017","Outcome of the Board Meeting held on 28th November, 2017 for the quarter and half year ended September 30, 2017.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/ortel-communications-outcomeboard-meeting_10131481.html
2,OC13,2017-09-06T13:42:35+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Ortel Communications: Outcome of AGM,"Annual General Meeting summary of Proceedings held on 05th September, 2017.","Annual General Meeting summary of Proceedings held on 05th September, 2017.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/ortel-communications-outcomeagm_9626081.html
3,OC13,2017-08-14T10:52:05+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","Ortel Communications' AGM on September 5, 2017","Intimation pertaining to AGM Date, Notice, Book Closure and E-voting.","Intimation pertaining to AGM Date, Notice, Book Closure and E-voting.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/ortel-communications39-agmseptember-5-2017_9470321.html
4,OC13,2017-05-05T22:45:01+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","Ortel Comm's board meeting on May 19, 2017","This is to inform you that the board of directors meeting will be held on 19th May, 2017.","Intimation for the Board Meeting on 19th May, 2017 of Ortel Communications Ltd.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/ortel-comm39s-board-meetingmay-19-2017_9045941.html
5,OC13,2016-10-28T15:20:51+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Ortel Comm Q2 revenue up 17% QoQ to Rs 53.7 cr,"On a sequential basis the total income increased to Rs 53.7 crore, from Rs 52.4 crore, up by 2.5 percent, EBITDA increased 22.8 percent and stood at Rs 17.1 crore and EBITDA margins increased to 31.5 percent against 26.3 percent in Q1FY17.","Cable television and broadband service provider Ortel Communications Limited (Ortel) announced its financial results for the quarter and half-year ended September 30, 2016 yesterday. On a sequential basis the total income increased to Rs 53.7 crore, from Rs 52.4 crore, up by 2.5 percent, EBITDA increased 22.8 percent and stood at Rs 17.1 crore and EBITDA margins increased to 31.5 percent against 26.3 percent in Q1FY17. Profit after tax came in at Rs 2.5 crore compared to Rs 2.8 crore year-on-year (YoY). Commenting on the performance, Bibhu Prasad Rath, President and CEO at Ortel Communications said, &amp;amp;ldquo;We reported steady performance during the quarter led by balanced growth in Cable TV and Broadband revenues. Subscription fees in both the segments jumped by 7 percent QoQ. More importantly, I am happy to highlight that the overall costs have stabilized with 5 percent reduction in total expenses. This was possible due to management&amp;amp;rsquo;s focus on efficiency and cost rationalisation.&amp;quot; &amp;quot; During the quarter, we turned EBITDA positive in the emerging markets of Andhra Pradesh, Chhattisgarh, West Bengal, Telengana &amp;amp;amp; Madhya Pradesh. I believe, this is a huge positive for us and I am confident that the operating performance in the emerging markets will further improve as the subscriber base increases,&amp;quot; he said. &amp;quot;The road ahead appears encouraging and we remain on track to demonstrate solid performance in times ahead. Full control over the last mile network as well as our strategy of focusing on B2C customers will continue to drive growth for us,&amp;amp;rdquo; he added. The press release said that there was a steady increase in subscriber base and during the quarter the total subscriber additions stood at 34,748 which took the total subscriber base to 804,889 as on September 30.","Bibhu Prasad Rath, Ortel Communications, Results",https://www.moneycontrol.com//news/results/ortel-comm-q2-revenue17-qoq-to-rs-537-cr_7855201.html
6,OC13,2016-10-25T22:14:20+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Ortel Communications: Outcome of board meeting,"Ortel Communications at its meeting held on October 25, 2016, has discussed and approved the Review and noting of utilization of IPO proceeds.","Ortel Communications Ltd has informed BSE that the Board of Directors of the Company at its meeting held on October 25, 2016, inter alia, has discussed and approved the following :- Review and noting of utilization of IPO proceeds.Source : BSE Read all announcements in Ortel Comm",Announcements,https://www.moneycontrol.com//news/announcements/ortel-communications-outcomeboard-meeting_7828021.html
7,OC13,2016-07-29T17:36:13+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Ortel Comm standalone Jun '16 total income from operations at Rs 52.42 crore,Ortel Communications has reported a standalone standalone total income from operations of Rs 52.42 crore and a net profit of Rs 0.86 crore for the quarter ended Jun '16,"Ortel Communications has reported a standalone total income from operations of Rs 52.42 crore and a net profit of Rs 0.86 crore for the quarter ended Jun '16.For the quarter ended Mar 2016 the standalone total income from operations was Rs 53.28 crore and net profit was Rs 2.76 crore.Ortel Comm shares closed at 170.60 on July 28, 2016 (NSE) and has given -9.50% returns over the last 6 months and -13.49% over the last 12 months.Ortel CommunicationsStandalone Quarterly Results-------- in Rs. Cr. --------Jun '16Mar '16Jun '15Net Sales/Income from operations52.4253.2840.60Other Operating Income------Total Income From Operations52.4253.2840.60EXPENDITUREConsumption of Raw Materials------Purchase of Traded Goods------Increase/Decrease in Stocks------Power &amp;amp; Fuel------Employees Cost6.226.304.89Depreciation5.424.954.66Excise Duty------Admin. And Selling Expenses------R &amp;amp; D Expenses------Provisions And Contingencies8.075.032.57Exp. Capitalised------Other Expenses26.1428.5422.31P/L Before Other Inc. , Int., Excpt. Items &amp;amp; Tax6.568.466.18Other Income0.531.452.49P/L Before Int., Excpt. Items &amp;amp; Tax7.099.918.66Interest6.236.165.61P/L Before Exceptional Items &amp;amp; Tax0.863.753.05Exceptional Items------P/L Before Tax0.863.753.05Tax--0.980.61P/L After Tax from Ordinary Activities0.862.762.44Prior Year Adjustments------Extra Ordinary Items------Net Profit/(Loss) For the Period0.862.762.44Equity Share Capital30.3730.3730.37Reserves Excluding Revaluation Reserves------Equity Dividend Rate (%)------EPS Before Extra OrdinaryBasic EPS0.280.910.80Diluted EPS0.280.910.80EPS After Extra OrdinaryBasic EPS0.280.910.80Diluted EPS0.280.910.80Public Share HoldingNo Of Shares (Crores)----1.47Share Holding (%)----48.53Promoters and Promoter Group Shareholdinga) Pledged/Encumbered- Number of shares (Crores)------- Per. of shares (as a % of the total sh. of prom. and promoter group)------- Per. of shares (as a % of the total Share Cap. of the company)------b) Non-encumbered- Number of shares (Crores)----1.56- Per. of shares (as a % of the total sh. of prom. and promoter group)----100.00- Per. of shares (as a % of the total Share Cap. of the company)----51.47Source :  Dion Global Solutions Limited","MEDIA & ENTERTAINMENT, Ortel Comm, Ortel Communications, Results",https://www.moneycontrol.com//news/results/ortel-comm-standalone-jun-16-total-incomeoperations-at-rs-5242-crore_7149481.html
8,OC13,2016-05-20T13:09:56+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Ortel Communications: Outcome of finance committee meeting,"Ortel Communications Ltd has informed BSE that Finance Committee of Board of Directors of the Company in its Meeting held on May 20, 2016, has approved the proposal for availing term loan of Rs.9.50 Crs from SREI Equipment Finance Limited.","Ortel Communications Ltd has informed BSE that Finance Committee of Board of Directors of the Company in its Meeting held on May 20, 2016, has approved the proposal for availing term loan of Rs.9.50 Crs from SREI Equipment Finance Limited.Source : BSE Read all announcements in Ortel Comm",Announcements,https://www.moneycontrol.com//news/announcements/ortel-communications-outcomefinance-committee-meeting_6707581.html
9,OC13,2016-03-16T13:21:39+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Ortel Communications:Outcome of finance committee meeting,"Ortel Communications Ltd has informed BSE that Finance Committee of Board of Directors of the Company in its meeting held on March 16, 2016, has approved availment of term loan of Rs. 8.50 crore. from Union Bank Limited, Bhubaneswar in order to part finance its capital expansion plan.","Ortel Communications Ltd has informed BSE that Finance Committee of Board of Directors of the Company in its meeting held on March 16, 2016, has approved availment of term loan of Rs. 8.50 Crs. from Union Bank Limited (&amp;quot;the Bank&amp;quot;), Bhubaneswar in order to part finance its capital expansion plan.Source : BSE Read all announcements in Ortel Comm",Announcements,https://www.moneycontrol.com//news/announcements/ortel-communicationsoutcomefinance-committee-meeting_5897161.html
