,company,datePublished,author,headline,description,articleBody,tags,url
0,OCP,2017-12-13T15:32:20+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",Orchid Pharma gets USFDA nod for schizophrenia drug,"In a filing to BSE, the company said it &amp;quot;has received ANDA (abbreviated new drug application) approval from USFDA (United States Food and Drug Administration) for Aripiprazole Orally-Disintegrating tablets USP, 10 mg and 15 mg.&amp;quot;","Orchid Pharma today said it has received approval from the US health regulator for Aripiprazole Orally-Disintegrating tablets, used in treatment of schizophrenia and bipolar disorder.  In a filing to BSE, the company said it &amp;quot;has received ANDA (abbreviated new drug application) approval from USFDA (United States Food and Drug Administration) for Aripiprazole Orally-Disintegrating tablets USP, 10 mg and 15 mg.&amp;quot;  The tablets are atypical antipsychotic, indicated in the treatment of symptoms related to psychotic conditions such as schizophrenia and bipolar disorder (manic depression), it added.  Shares of the company were trading 4.87 per cent up at Rs 18.30 on BSE.","Business, Companies, Orchid Pharma, USFDA",https://www.moneycontrol.com//news/business/orchid-pharma-gets-usfda-nod-for-schizophrenia-drug_10211121.html
1,OCP,2017-09-21T15:33:10+05:30,"{'@type': 'Person', 'name': 'Faizan Javed'}",Orchid Pharma gets EIR from USFDA for its Alathur facility,"The company has received EIR from the United States Food and Drug Administration (USFDA) based on the successful inspection of the active pharmaceutical ingredients (API) manufacturing facility at Alathur, Orchid Pharma said in a filing to BSE.","Orchid Pharma today said it has received establishment inspection report (EIR) from the US health regulator for its Alathur facility in Tamil Nadu.  The company has received EIR from the United States Food and Drug Administration (USFDA) based on the successful inspection of the active pharmaceutical ingredients (API) manufacturing facility at Alathur, Orchid Pharma said in a filing to BSE.  The facility was inspected by the USFDA on May 2017, it added. Orchid Pharma stock shot up nearly 20 per cent to Rs 21.45 per scrip in the afternoon trade on BSE.","BSE, Business, Companies, Orchid Pharma, pharma, USFDA",https://www.moneycontrol.com//news/business/orchid-pharma-gets-eirusfda-for-its-alathur-facility_9725341.html
2,OCP,2017-09-18T12:18:12+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Orchid Pharma: Outcome of AGM,"VOTING RESULTS OF THE 24TH ANNUAL GENERAL MEETING IN THE REVISED FORMAT AS SPECIFIED IN THE SEBI CIRCULAR CIR/CFD/CMD/8/2015 DATED NOVEMBER 04,2015","VOTING RESULTS OF THE 24TH ANNUAL GENERAL MEETING IN THE REVISED FORMAT AS SPECIFIED IN THE SEBI CIRCULAR CIR/CFD/CMD/8/2015 DATED NOVEMBER 04,2015Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/orchid-pharma-outcomeagm_9700441.html
3,OCP,2017-08-22T20:53:59+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","Orchid Pharma's AGM held on September 13, 2017","We kindly want to inform you that the Annual General Meeting to be held on September 13, 2017.","Intimation of the Notice of AGM to be held on September 13, 2017.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/orchid-pharma39s-agm-heldseptember-13-2017_9525221.html
4,OCP,2017-07-26T08:41:22+05:30,"{'@type': 'Person', 'name': 'Faizan Javed'}","Orchid Pharma settles case with Sebi, pays Rs 5.25 lakh","In an order dated July 24, the Securities and Exchange Board of India (Sebi) settled the &amp;quot;possible proceedings&amp;quot; against Orchid Pharma related to alleged non-compliances by the firm of Sebi's ICDR (Issue of Capital and Disclosure Requirements) Regulations.","Orchid Pharma has settled a case related to alleged violation of disclosure norms with markets regulator Sebi after payment of Rs 5.25 lakh as settlement charges.  In an order dated July 24, the Securities and Exchange Board of India (Sebi) settled the &amp;quot;possible proceedings&amp;quot; against Orchid Pharma related to alleged non-compliances by the firm of Sebi's ICDR (Issue of Capital and Disclosure Requirements) Regulations.  Orchid Pharma had filed an application with the regulator under settlement mechanism, that provides for settlement of cases without admitting or denying the charges.  The settlement terms proposed by the firm were considered by Sebi's High Powered Advisory Committee (HPAC), which recommended the case for settlement on payment of Rs 5.25 lakh by the company. The recommendation of HPAC was also accepted by the panel of whole-time members of the regulator.  Last month, the company paid the settlement amount of Rs 5.25 lakh and accordingly Sebi disposed of the possible proceedings.  However, Sebi said if any representation made by the firm in the settlement proceedings is subsequently discovered to be untrue, enforcement actions including commencing of proceedings can be initiated against it.","Business, ICDR, Orchid Pharma, SEBI",https://www.moneycontrol.com//news/business/orchid-pharma-settles-casesebi-pays-rs-525-lakh_9331021.html
5,OCP,2017-04-18T13:13:57+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Orchid Pharma receives establishment inspection report from USFDA,"Orchid Pharma has received the establishment inspection report (EIR) from USFDA based on the successful inspection of the formulation manufacturing facility located at Tamil Nadu, India.",Establishment Inspection Report from USFDASource : BSE Read all announcements in Orchid Pharma,Announcements,https://www.moneycontrol.com//news/announcements/orchid-pharma-receives-establishment-inspection-reportusfda_8791501.html
6,OCP,2017-04-18T13:13:56+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Orchid Pharma receives establishment inspection report from USFDA,"Orchid Pharma has received the establishment inspection report (EIR) from USFDA based on the successful inspection of the formulation manufacturing facility located at Tamil Nadu, India.",Establishment Inspection Report from USFDASource : BSE,Announcements,https://www.moneycontrol.com//news/announcements/orchid-pharma-receives-establishment-inspection-reportusfda_8791521.html
7,OCP,2017-04-07T15:46:16+05:30,"{'@type': 'Person', 'name': 'Rakesh Patil'}","Sell Orchid Pharma on rally, says Vijay Chopra",Vijay Chopra of enochventures.com advises selling Orchid Pharma.,"Vijay Chopra of enochventures.com told CNBC-TV18, &amp;quot;Fundamentally speaking I looked at the balance sheet of Orchid Pharma and it is stressed. I would say that there are better opportunities in the pharma space if somebody wants to buy into those stocks. Wockhardt looks much better structurally and according to the balance sheet also one can get into the stock at this point of time.&amp;quot;  &amp;quot;Even Sun Pharmaceutical looks good but stock like Orchid Pharma I would suggest that one should get out on rallies as soon as possible because its balance sheets are stressed and I would say that it is not a good idea to stay in that stock, so better get out and get into some better story,&amp;quot; he added.","Orchid Pharma, Stocks Views, Sun Pharmaceutical, Vijay Chopra, Wockhardt",https://www.moneycontrol.com//news/stocks-views/sell-orchid-pharmarally-says-vijay-chopra_8752601.html
8,OCP,2017-04-07T15:36:29+05:30,"{'@type': 'Person', 'name': 'Rakesh Patil'}","Exit Orchid Pharma, says Prakash Gaba","According to Prakash Gaba of prakashgaba.com, one may exit Orchid Pharma.","Prakash Gaba of prakashgaba.com told CNBC-TV18, &amp;quot;So far Orchid Pharma has formed a base here. The structure is weak, so it has just formed a base and has given a breakout at Rs 29. Even if it does go up it is likely to find resistances, stiff resistance closer to Rs 36, one should exit there.&amp;quot;  The share touched its 52-week high Rs 45.90 and 52-week low Rs 23.70 on 22 April, 2016 and 22 November, 2016, respectively.","Orchid Pharma, Prakash Gaba of prakashgaba.com, Stocks Views",https://www.moneycontrol.com//news/stocks-views/exit-orchid-pharma-says-prakash-gaba_8752561.html
9,OCP,2017-02-07T16:28:03+05:30,"{'@type': 'Person', 'name': 'Faizan Javed'}",Orchid Pharma Q3 net loss narrows to Rs 60.97 cr,"The company had posted a net loss of Rs 94.02 crore in the year-ago period, Orchid Pharma said in a BSE filing.","Drug firm Orchid Pharma's standalone net loss narrowed to Rs 60.97 crore during the quarter ended December 31, 2016. The company had posted a net loss of Rs 94.02 crore in the year-ago period, Orchid Pharma said in a BSE filing. Its standalone total income from operations also declined to Rs 179.98 crore during the quarter under review from Rs 205.87 crore a year ago. Shares of Orchid Pharma today closed 2.47 percent down at Rs 29.65 ascrip on BSE.","BSE, Drug firm, Orchid Pharma, Results",https://www.moneycontrol.com//news/results/orchid-pharma-q3-net-loss-narrows-to-rs-6097-cr_8442741.html
