,company,datePublished,author,headline,description,articleBody,tags,url
0,ONG,2024-02-22T08:28:00+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","ONGC, Oil India have more value upside, says Motilal Oswal: Check target price","According to the report,  Indian upstream stocks like ONGC and Oil India have &amp;quot;proven to be strong value plays in recent months&amp;quot; with both ONGC and Oil India trading higher as a result of  robust production growth guidance. ","Shares of ONGC and Oil India will be in focus after brokerage firm Motilal Oswal retained its 'buy' call on both the stocks with a target price of Rs 315 for ONGC and Rs 650 for Oil India. On February 21, the ONGC stocks closed in the red at Rs&nbsp;273, around 1.3 percent lower. Oil India too closed in the red at Rs&nbsp;586.95, 2.94 percent lower.  Follow our market blog for live updates  According to the report,&nbsp; Indian upstream stocks like ONGC and Oil India have &amp;quot;proven to be strong value plays in recent months&amp;quot; with both ONGC and Oil India trading higher as a result of&nbsp; robust production growth guidance. Over the last one year, ONGC stocks have gained around 77 percent, while Oil India has gained nearly 2x.  Analysts at Motilal Oswal expect to see another 15-20 percent of &lsquo;value upside&rsquo; left in both these stocks as investor attention for both stocks will move to&nbsp;&amp;quot;assessing volume growth scenarios, analysing operating costs and the strength and visibility of the exploration and development pipeline&amp;quot; instead of valuation. This could lead to some rerating.  Also read:&nbsp;India exported $6.65 billion oil products derived from Russian oil to sanctioning nations: Report  While Motilal Oswal is positive on both the stocks, analysts prefer Oil India to ONGC due to its &amp;quot;exposure to the refining upcycle led by its stake in Numaligarh Refinery Limited, and higher core oil and gas volume growth&amp;quot;. ONGC on the other hand, the report says has more growth challenges and is dependent on&nbsp;&nbsp;&amp;quot;more offshore-oriented projects&amp;quot; that have a longer gestation period.  Disclaimer: The views and investment tips expressed by investment experts on&nbsp;Moneycontrol.com&nbsp;are their own and not those of the website or its management.&nbsp;Moneycontrol.com&nbsp;advises users to check with certified experts before taking any investment decisions. ","Buzzing Stocks, Oil India, ONGC",https://www.moneycontrol.com//news/buzzing-stocks/ongc-oil-india-have-more-value-upside-says-motilal-oswal-check-target-price_17470491.html
1,ONG,2024-02-12T09:43:24+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",ONGC shares slide 1.3% on weak Q3 earnings,"The firm's consolidated net profit dropped by 8% to Rs 10,748 crore in the December quarter, with revenue falling 2.2% to Rs 1,65,569 crore compared to the previous year.   ","Shares of Oil and Natural Gas Corp Ltd fell 1.3 percent after the upstream company reported weaker earnings. Analysts are awaiting its investors call which is scheduled on February 12 after 3.30pm.  At 9.30am, the stock was trading at Rs 262 on the BSE, down 1.3 percent from its previous close. It opened nearly 1.5 percent lower intraday.  The company's consolidated net profit dropped by 8&nbsp;percent to Rs 10,748 crore in the December quarter, with revenue falling 2.2 percent to Rs 1,65,569 crore over the previous year.  Crude oil production decreased by 3.3 percent in Q3, and total oil production in the first nine months of FY24 declined 2.9 percent. The decline is attributed to factors like platform shutdowns, cyclone Biparjoy, and natural field decline. ONGC plans proactive measures, including interventions and new drilling, to counter the decline in output.  The company expects oil production from KG-DWN-98/2 block to offset the decline. ONGC represents a significant portion of India's oil and gas production and has a Rs 30,000 crore annual expenditure plan for further growth.  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Buzzing Stocks, equity markets, markets News, ONGC",https://www.moneycontrol.com//news/buzzing-stocks/ongc-shares-slide-13weak-q3-earnings_17443151.html
2,ONG,2024-02-11T07:18:23+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","ONGC Q3 Results: Net profit drops 7.9% to Rs 10,748 cr, revenue falls 2.2% YoY","ONGC also declared the second interim dividend of Rs 4.00 per share, which will be paid to eligible shareholders on or before March 10, 2024. ","Oil and Natural Gas Corporation (ONGC) posted a decline of around 8 percent in consolidated net profit at Rs&nbsp;10,748 crore in the December quarter of the financial year 2023-24.  The oil and gas exploration&nbsp;giant reported a 2.2 percent decrease in revenue from operations for the third quarter of the current fiscal year, amounting to Rs 1,65,569 crore. This is in contrast to the Rs 1,69,213 crore recorded in the same period of the previous year.  ONGC also declared the second interim dividend of Rs 4.00 per share, which will be paid to eligible shareholders on or before March 10, 2024.  In the third quarter, the company&rsquo;s total crude oil production slipped 3.3 percent from last year at 5.2 million metric tonnes (MMT). Meanwhile, ONGC&rsquo;s total oil production in the first nine months of FY24 declined 2.9 percent.  The company said decline in output in the nine months was due to shut down in Panna-Mukta offshore platforms for commissioning of new crude oil pipeline, cyclone Biparjoy and natural decline from mature fields.  ONGC said it is taking proactive steps by implementing well interventions and advancing new well drilling activities to counter the decline in output. The company also expects oil production commencement from KG-DWN-98/2 block to arrest the decline. On January 7, ONGC announced successful commencement of oil production from its block in the Krishna Godavari basin.  ONGC represents 67 percent of India's oil and 54 percent of its gas production. The company has devised an annual expenditure plan of approximately Rs 30,000 crore to drive further growth.  &ldquo;To counter the decline in production from some of the matured and marginal fields, ONGC is taking proactive steps by implementing well interventions and advancing new well drilling activities,&rdquo; the company said.  Meanwhile, ONGC total gas production in Q3 declined 4.5 percent from the previous year.","Business, Oil and Natural Gas Corporation, ONGC, Results",https://www.moneycontrol.com//news/business/ongc-q3-results-net-profit-drops-79-to-rs-10748-cr-revenue-falls-22-yoy_17442571.html
3,ONG,2024-02-09T08:14:32+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",ONGC may report a decline in Q3 net profit on lower realisations,"ONGC is expected to post a net profit of Rs 9,115 crore, down 14% YoY and 8% QoQ, based on seven analysts' estimates","State-run oil marketing major&nbsp;Oil and Natural Gas Corp Ltd&nbsp;(ONGC) may see a decline in the December quarter net profit on the back of lower crude realisation and provisioning for GST on royalties. The company will report its earnings on February 10.  ONGC is expected to post a net profit of Rs 9,115 crore, down 14&nbsp;percent on-year and 8&nbsp;percent on-quarter, based on the estimates of seven analysts. Net sales are anticipated to remain flat sequentially and decrease 9&nbsp;percent on-year&nbsp;to Rs 34,631 crore, while EBITDA is likely to plummet 10&nbsp;percent annually and remain flat sequentially.  ONGC may face a decline of 0.5&nbsp;percent in crude and 1.4&nbsp;percent in gas production, coupled with a 2&nbsp;percent drop in net crude realisation, leading to a projected 9&nbsp;percent EBITDA&nbsp;loss over the previous quarter. CLSA expects an 18&nbsp;percent rise in recouped costs, possibly increasing the decline in net profit by 13 percent on-quarter and 19&nbsp;percent on-year.  Kotak forecasts a 1&nbsp;percent increase in crude oil sales to 4.7 million metric tonnes&nbsp;and natural gas sales up 1&nbsp;percent to&nbsp;4.1 billion cubic metres, but down 3&nbsp;percent over the last year. The company's gross crude realisation is expected to drop 3&nbsp;percent to $82.6 per barrel, while net realisation, accounting for royalties and taxes, is estimated to rise 3&nbsp;percent to $52 per barrel, with lower windfall taxes offsetting reduced Brent prices.  Nuvama predicts a substantial 12&nbsp;percent on-year&nbsp;EBITDA decline for ONGC due to lower crude and gas prices. Brent prices fell 7&nbsp;percent annually and 4&nbsp;percent sequentially in Q3FY24, and APM gas prices dropped by 24&nbsp;percent to $6.5/mmbtu, as per the Kirit Parikh committee recommendation from April 2023. Anticipated declines include 3 percent on-year and 4&nbsp;percent on-year in oil and gas production, with a flat on-quarter performance across segments.  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Buzzing Stocks, equity markets, markets News, ONGC",https://www.moneycontrol.com//news/buzzing-stocks/ongc-may-reportdeclineq3-net-profitlower-realisations_17438531.html
4,ONG,2024-01-30T09:16:25+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/ravindra-sonavane-25341/', 'name': 'Ravindra Sonavane'}",RIL rally triggered by funds taking refuge in &lsquo;strong stock&rsquo; to hedge against short positions,"The RIL market cap increased around Rs 1.29 lakh crore on January 29. The stock scaled a fresh record high of Rs 2,905, taking the market capitalisation to Rs 19.5 lakh crore","The Mukesh Ambani-led Reliance Industries Ltd (RIL) single-handedly contributed to a 38 percent surge in the Nifty 50 market capitalisation on January 29. Apart from strong fundamentals, analysts also attributed the rally to foreign funds taking refuge in Reliance Industries to hedge their short positions on the index.  RIL market&nbsp;cap increased around Rs 1.29 lakh crore on January 29.&nbsp;The stock scaled&nbsp;a fresh record high of Rs 2,905, taking the&nbsp;market capitalisation to Rs 19.5 lakh crore.  The next five stocks - ONGC, Adani Enterprises, Larsen &amp;amp;amp; Toubro, HDFC Bank and Coal India - together contributed over 26 percent to the up-move.  Both the benchmarks Sensex and Nifty jumped over 1.7 percent each on January 29. Nifty's mcap rose&nbsp;to Rs 173.3 lakh crore from Rs 169.95 lakh crore on January 25, making an increase of Rs 3.35 lakh crore.    Also Read:&nbsp;Budget and Markets: Will the FM spook the F&amp;amp;amp;O party by hiking securities transaction tax?  What led to the RIL rally?  According to Shrikant Chouhan of&nbsp;Kotak Securities, Reliance's unexpected surge, a rare occurrence, is notable. &amp;quot;Such moves usually follow when there are numerous short positions in the overall market, and FIIs look for strong stocks to hedge their positions,&amp;quot; he said.  This trend has been observed in the past with stocks&nbsp;like Infosys, Bajaj Finance, and HDFC Bank, he said.  If we look at the derivatives data, Ruchit Jain, Lead Research, 5paisa.com noted that FIIs had last week rolled over their short bets in the index futures with short positions at 78 percent and net short contracts over 1.08 lakh contracts.  &amp;quot;These positions are seen as short heavy and such short heavy positions around the support usually leads to a short covering move,&amp;quot; he said.  Also Read:&nbsp;Expect some housing incentives in Budget, prefer private over PSU banks: Macquarie&rsquo;s Suresh Ganapathy  Further, on January 29, other&nbsp;refiners like HPCL and BPCL also&nbsp;performed well, driven by the strength in Brent crude, as it&nbsp;means better&nbsp;refining margins.  &amp;quot;After Q3 results, brokerages had&nbsp;revised RIL&nbsp;target price to Rs 2,900 levels, making Reliance an attractive option for FIIs looking to hedge short positions, especially as it was 10 percent&nbsp;below its fair value,&amp;quot; Chouhan added.  Independent analyst Prakash Diwan also said that the recent surge in Singapore GRMs (gross refining margins) indicates a positive outlook for RIL's O2C business.  &amp;quot;This marks a valuation reset for RIL, which is currently under-owned by FIIs. As FIIs sell&nbsp;HDFC Bank, IT and FMCG stocks due to bleak outlook, they will redirect funds elsewhere. And, RIL will be a big beneficiary,&amp;quot; he said.  Also Read:&nbsp;India sees biggest FII outflows in January among Asian markets  RIL stock has seen a nearly 12 percent increase in January, fuelled by positive remarks on capped expenditures and robust retail performance in its Q3 earnings. The company's Q3 capital expenditure (capex) dropped by 22&nbsp;percent sequentially to Rs 30,100 crore, attributed to reduced spending by Jio after the 5G rollout and limited retail space expansion.  Despite a slight increase in net debt, analysts anticipate a positive trend driven by reduced capex and an improved EBITDA run rate, signaling positive free cash flow for the next two years.  Disclosure: Moneycontrol is a part of the Network18 group. Network18 is controlled by Independent Media Trust, of which Reliance Industries is the sole beneficiary.  Disclaimer: The views and investment tips expressed by investment experts on&nbsp;Moneycontrol.com&nbsp;are their own and not those of the website or its management.&nbsp;Moneycontrol.com&nbsp;advises users to check with certified experts before taking any investment decisions.","Buzzing Stocks, markets News, Reliance Industries, RIL",https://www.moneycontrol.com//news/buzzing-stocks/ril-rally-triggered-by-funds-taking-refugeâstrong-stockâ-to-hedge-against-short-positions_17420161.html
5,ONG,2024-01-18T13:47:12+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}","ONGC arm gets $420 million loan from DBS Bank, Bank of Baroda",The loan will strengthen ONGC Videsh's available cash as it contends with shrinking free cash.,"ONGC Videsh, the overseas investment unit of the country's top explorer, Oil and Natural Gas Corp, has received a five-year $420 million loan from DBS Bank and Bank of Baroda, a company spokesperson said on Thursday.  The loan will strengthen ONGC Videsh's available cash as it contends with shrinking free cash.  Merchant bankers said last month that the company was likely to issue bonds to raise funds, and Venezuela provided some respite in January by agreeing to give ONGC Videsh some oil in lieu of $600 million dividend dues.  ONGC Videsh's free cash flow was down about 88% from a year earlier to 6.48 billion rupees ($78 million) in the financial year ended March 2023, as per LSEG data.  The new loan is a refinancing of a $500 million loan it had received in 2019 for a project in Mozambique, the spokesperson told Reuters.  DBS Bank, a unit of Singapore's DBS Group Holdings, is leading the syndicated transaction guaranteed by ONGC, spokespersons for both ONGC Videsh and DBS Bank told Reuters.  A syndicated loan involves two or more lenders providing funds for a single loan to a borrower. DBS Bank is committing $300 million for loan while the Indian state-owned Bank of Baroda is providing $120 million, the spokespersons said.  Bank of Baroda did not immediately respond to a Reuters request for comment.  The news was first reported by the Economic Times.","Business, Companies",https://www.moneycontrol.com//news/business/ongc-arm-gets-36420-million-loandbs-bank-bankbaroda_17404491.html
6,ONG,2024-01-08T10:16:38+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",ONGC starts oil production from delayed $5 billion deep-water project,ONGC has started producing from the Cluster-2 project in KG-DWN-98/2 block and will slowly ramp up output.,"State-controlled Oil and Natural Gas Corporation (ONGC) has started oil production from its much-delayed flagship deep-sea project in Krishna Godavari basin in Bay of Bengal, helping reverse years of decline in output, the company said.  ONGC has started producing from the Cluster-2 project in KG-DWN-98/2 block and will slowly ramp up output.  Oil Minister Hardeep Singh Puri said &amp;quot;first oil production commences from complex and difficult&amp;quot; block.  He did not indicate the current output but said &amp;quot;production is expected to be 45,000 barrels per day and over 10 million standard cubic metres per day of gas&amp;quot;.  Cluster-2 oil production should have begun by November 2021 but was delayed because of the Covid pandemic.  ONGC has hired floating vessel Armada Sterling-V, owned 70 per cent by SPOG (Shapoorji Pallonji Oil &amp;amp;amp; Gas) and 30 per cent by Malaysia's Bumi Armada, for producing oil from below seabed.  The FPSO (floating production, storage and offloading vessel), Armada Sterling-V, has been waiting to receive oil since January 2, 2023, after she was hooked up on December 27, 2022.  ONGC previously set May 2023 as the first Cluster-2 oil deadline, extended to August 2023, September 2023, October 2023 and finally December 2023.  ONGC's KG-DWN-98/2 or KG-D5 block, which sits next to Reliance Industries' KG-D6 block in the KG basin, has a number of discoveries that have been clubbed into clusters. It is situated offshore the Godavari river delta in the Bay of Bengal.  It is located 35 kilometres off the coast of Andhra Pradesh in water depths ranging from 300-3,200 metres. The discoveries in the block are divided into three clusters -- Cluster-1, 2 and 3. Cluster 2 is being put to production first.  Cluster 2 field is divided into two blocks namely 2A and 2B, which as per the original investment decision were expected to produce 23.52 million metric tonnes of oil and 50.70 billion cubic metres (bcm) of gas over the life of the field.  Cluster 2A was estimated to contain reserves of 94.26 million tonnes of crude oil and 21.75 bcm of associated gas, while Cluster 2B is estimated to host 51.98 bcm of gas reserves.  Cluster 2A was anticipated to produce 77,305 barrels of oil per day (bopd) and associated gas at a rate of 3.81 million metric standard cubic metres per day (mmscmd) over 15 years.  Cluster 2B is expected to produce free gas of 12.75 mmscmd from eight wells and has a 16-year life. But now the output estimate is lower -- 45,000 bpd of oil and associated gas up to 2.5 mmscmd from Cluster 2A and around 9 mmscmd from Cluster 2B.","Business, Companies",https://www.moneycontrol.com//news/business/ongc-starts-oil-productiondelayed-365-billion-deep-water-project_17391231.html
7,ONG,2023-10-26T12:58:41+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/reuters-6885/', 'name': 'Reuters'}",ONGC hopes to recover over $500 million dividend as sanctions on Venezuela eased,"The Biden administration on Wednesday eased sanctions on Venezuela's oil sector after the government and opposition parties reached a deal for the 2024 election, in the most extensive rollback of Trump-era restrictions on Caracas.","India's Oil and Natural Gas Corp hopes to recover over $500 million in dividends pending since 2014 for its stake in Venezuelan projects as sanctions on the nation were eased, a source said on Thursday.  The source declined to be named due to sensitivity of the matter.  The Biden administration on Wednesday eased sanctions on Venezuela's oil sector after the government and opposition parties reached a deal for&nbsp;the 2024 election, in the most extensive rollback of Trump-era restrictions on Caracas.  U.S. sanctions had hit Venezuela's finances and oil output, leading to accumulation of dividend for foreign companies such as ONGC.  ONGC, through its overseas investment ONGC Videsh, holds 40% stake in the San Cristobal field in eastern Venezuela's Orinoco Heavy Oil belt, and 11% in Carabobo area-1.  ONGC would like to sell its share of oil from the Venezuela field to whoever offers the best price, the source said, adding lifting of sanctions has ignited hopes for a recovery of pending&nbsp;dividend.","Business, Companies",https://www.moneycontrol.com//news/business/ongc-hopes-to-recover-over-36500-million-dividend-as-sanctionsvenezuela-eased_17282991.html
8,ONG,2023-08-23T11:41:13+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy ONGC; target of Rs 220: Motilal Oswal,"Motilal Oswal is bullish on ONGC recommended buy rating on the stock with a target price of Rs 220 in its research report dated August 12, 2023.","Motilal Oswal's research report on ONGC ONGC&rsquo;s reported EBITDA stood at INR194.5b (-25% YoY, +19% QoQ), 8% above our estimate, due to slightly higher gas realization and lower profit petroleum. As per earlier guidance, management expects oil production from KG-DWN98/2 to commence by Aug&rsquo;23 in an optimistic scenario and by Oct&rsquo;23 in a worst-case scenario. The peak oil production is likely to be ~40-45kbopd. Although the levy of windfall tax by the Center with a fortnightly revision raised concerns on realizations of upstream companies, the government has adjusted windfall taxes in line with crude oil fluctuations. Our estimate suggests that the government is allowing a post-windfall realization of USD68-81/bbl and we expect it to remain at ~USD70/bbl from 2QFY24 onwards. The implementation of the Kirit Parikh Committee's recommendations from Apr'23 has provided the much-needed respite to the company, as it had to sell gas below the cost of production for quite a long time. We build in gas price assumptions of USD6.7/mmBtu for FY24-FY25E. Additionally, ~6-8% of APM gas production comes from new wells that will attract 20% premium as per the new pricing policy.  Outlook We value the standalone business at 6x FY25E adj. EPS of INR30.8 and add the value of investments to arrive at our TP of INR220, implying 24% potential upside. We reiterate our BUY rating on the stock. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. ONGC - 23 -08 - 2023 - moti","Buy, Motilal Oswal, ONGC, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-ongc-targetrs-220-motilal-oswal_17215951.html
9,ONG,2023-08-20T19:14:13+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Hold Oil and Natural Gas Corporation; target of Rs 190: Sharekhan,"Sharekhan recommended Hold rating on Oil and Natural Gas Corporation with a target price of Rs 190 in its research report dated August 14, 2023.","Sharekhan's research report on Oil and Natural Gas Corporation Q1 performance was strong with an 8% beat in standalone PAT at Rs. 10,015 crore (up 62% q-o-q) led by better-than-expected oil &amp;amp;amp; gas realisations, significantly lower operating cost and higher other income. Net oil/gas realisation of $74/bbl and $7.1/mmBtu was above estimate while employee/ other expenses declined sharply by 7%/28% q-o-q. Volume performance was mixed with in-line oil sales volume of 4.7mmt (up 1% q-o-q) and 2% miss in gas sales volume at 4.1bcm (down 1.1% q-o-q). We increase our FY24/FY25 earnings estimate by 6%/9% to factor lower opex. The current pricing mechanism provides earnings visibility but capping of oil &amp;amp;amp; gas realisation limits any earnings surprise over FY24-25 unless KG 98/2 block sees faster ramp-up. Any significant benefit from 20% premium on APM gas price cap of $6.5/ mmBtu for gas production from new wells needs to be watched before building any likely improvement in gas price going forward.  Outlook We maintain a Hold rating on ONGC with a revised PT of Rs. 190. Stock trades at 5x/0.7x its FY2025E EPS/BV and offers healthy dividend yield of ~8%. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Oil and Natural Gas Corporation - 20 -08 - 2023 - khan","Hold, Oil and Natural Gas Corporation, Recommendations, Sharekhan",https://www.moneycontrol.com//news/recommendations/hold-oilnatural-gas-corporation-targetrs-190-sharekhan_17211741.html
