,company,datePublished,author,headline,description,articleBody,tags,url
0,PD06,2017-12-20T15:39:02+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Parabolic Drugs - Outcome of board meeting,"This is to inform you that the Board of Directors in its Meeting held on 20th December, 2017."," SUBJECT: OUTCOME OF BOARD MEETING !  Ref: Regulation 30 SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015.  This is to inform you that the Board of Directors in its Meeting held on 20th December, 2017 and concluded at 03:15 p.m. : 1. This is to inform you that Ms. Ishrat Gill, Company Secretary and Compliance Officer of the Company has resigned from the service of the Company to pursue future career objectives.  2. The Company is in the process of appointing a Company Secretary who will act as the Compliance Officer of the Company. In the meantime, Mr. Ashok Kumar Jindal               (Chief Financial Officer) shall act as Compliance Officer pursuant to the SEBI Listing Regulation. Mr. Ashok Kumar Jindal shall disclose to the Stock Exchange the material event, if any, in terms of Regulation 30 of the SEBI (Listing Obligation and Disclosure Regulations, 2015.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/parabolic-drugs-outcomeboard-meeting_10243741.html
1,PD06,2017-11-01T12:40:12+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","Parabolic Drugs' board meeting on November 13, 2017","Pursuant to Regulation 29 of SEBI (LODR) Regulations, 2015, it is to bring to your kind notice that the meeting of Board of Directors of the Company is scheduled to be held on Monday, the 13th day of November, 2017 inter-alia to consider and approve the unaudited results for the qurter/half year ended on 30 September, 2017.","Pursuant to Regulation 29 of SEBI (LODR) Regulations, 2015, it is to bring to your kind notice that the meeting of Board of Directors of the Company is scheduled to be held on Monday, the 13th day of November, 2017 inter-alia to consider and approve the unaudited results for the qurter/half year ended on 30 September, 2017.  Kindly take note and oblige.  Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/parabolic-drugs39-board-meetingnovember-13-2017_9960281.html
2,PD06,2017-08-29T15:47:01+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","Parabolic Drugs' AGM on September 29, 2017","1.The Annual General Meeting, 2017 is scheduled to be held on 29th September, 2017 from 9:30 am at PHD Chambers, Sector 31-A, Chandigarh. The notice of the same has been attached here with. &amp;lt;BR&amp;gt; &amp;lt;BR&amp;gt; 2.Pursuant to section 108 of the Companies Act, 2013 read with Rule 20 of the Companies (Management and Administration Rules), 2014, as amended by the Companies (Management and Administration) Amendme","1.The Annual General Meeting, 2017 is scheduled to be held on 29th September, 2017 from 9:30 am at PHD Chambers, Sector 31-A, Chandigarh. The notice of the same has been attached here with.   2.Pursuant to section 108 of the Companies Act, 2013 read with Rule 20 of the Companies (Management and Administration Rules), 2014, as amended by the Companies (Management and Administration) Amendment Rules, 2015, and Regulation 44 of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, the company is providing e-voting facility,                 26th September, 2017 from 09:00 a.m. and ends on 28th September, 2017 at 05:00 p.m. to the members to cast their votes on all resolutions set out in the notice of the            21st AGM. During this period shareholders' of the Company, holding shares either in physical form or in dematerialized form, as on the cutoff date (record date) of             22nd September, 2017 may cast their vote electronically.  3.The register of members and share transfer books of the company will remain closed from 23rd September 2017 to 29th September 2017 for Annual Closing (both days inclusive).  Kindly take on record and oblige.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/parabolic-drugs39-agmseptember-29-2017_9565681.html
3,PD06,2017-08-29T15:26:18+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","Parabolic Drugs' AGM on September 29, 2017","1.The Annual General Meeting, 2017 is scheduled to be held on 29th September, 2017 from 9:30 am at PHD Chambers, Sector 31-A, Chandigarh. The notice of the same has been attached here with. &amp;lt;BR&amp;gt; &amp;lt;BR&amp;gt; 2.Pursuant to section 108 of the Companies Act, 2013 read with Rule 20 of the Companies (Management and Administration Rules), 2014, as amended by the Companies (Management and Administration) Amendme","1.The Annual General Meeting, 2017 is scheduled to be held on 29th September, 2017 from 9:30 am at PHD Chambers, Sector 31-A, Chandigarh. The notice of the same has been attached here with.   2.Pursuant to section 108 of the Companies Act, 2013 read with Rule 20 of the Companies (Management and Administration Rules), 2014, as amended by the Companies (Management and Administration) Amendment Rules, 2015, and Regulation 44 of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, the company is providing e-voting facility,                 26th September, 2017 from 09:00 a.m. and ends on 28th September, 2017 at 05:00 p.m. to the members to cast their votes on all resolutions set out in the notice of the            21st AGM. During this period shareholders' of the Company, holding shares either in physical form or in dematerialized form, as on the cutoff date (record date) of             22nd September, 2017 may cast their vote electronically.  3.The register of members and share transfer books of the company will remain closed from 23rd September 2017 to 29th September 2017 for Annual Closing (both days inclusive).  Kindly take on record and oblige.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/parabolic-drugs39-agmseptember-29-2017_9565401.html
4,PD06,2017-08-21T14:38:31+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Parabolic Drugs: Outcome of board meeting,"&amp;lt;BR&amp;gt; 1.Recommended the appointment of M/s. V.K. Jindal &amp;amp; Associates, Chartered Accountants as Statutory Auditors of the Company for a period of one year and the same would be presented for the approval of Shareholders at the forthcoming AGM."," 1.Recommended the appointment of M/s. V.K. Jindal &amp;amp; Associates, Chartered Accountants as Statutory Auditors of the Company for a period of one year and the same would be presented for the approval of Shareholders at the forthcoming AGM.   2.Re-appointed Mr. Harbans Lal as Internal Auditor of the Company for a period of one year. Mr. Lal's hands-on experience in finance and accounting helps him in making sound judgments thus helping the Company in the decision making process.  3.Recommended the re-appointment of Mr. Jagjit Singh Chahal as Independent director of the Company for a period of one year and the same would be presented for the approval of Shareholders at the forthcoming AGM.  Mr. Chahal is a technocrat and retired Gazette Officer from Haryana Govt.   4.Recommended the re-appointment of Mr. Sanjeev Kumar as Independent director of the Company for a period of one year and the same would be presented for the approval of Shareholders at the forthcoming AGM.    Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/parabolic-drugs-outcomeboard-meeting_9515041.html
5,PD06,2017-08-14T20:02:17+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","Parabolic Drugs's board meeting held on August 21, 2017","This is to inform you that meeting of the Board of Directors of the company is scheduled to be held on Monday, August 21, 2017."," Pursuant to the Regulation 29 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, this is to inform you that meeting of the Board of Directors of the company is scheduled to be held on Monday, the 21st day of August, 2017.   You are requested to display the same on the Notice Board of your Exchange for the information of members and general public.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/parabolic-drugs39s-board-meeting-heldaugust-21-2017_9479661.html
6,PD06,2017-08-14T19:57:04+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","Parabolic Drugs' board meeting held on Augusr 21, 2017","This is to inform you that meeting of the Board of Directors of the company is scheduled to be held on Monday, August 21, 2017.","Pursuant to the Regulation 29 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, this is to inform you that meeting of the Board of Directors of the company is scheduled to be held on Monday, the 21st day of August, 2017.   You are requested to display the same on the Notice Board of your Exchange for the information of members and general public.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/parabolic-drugs39-board-meeting-heldaugusr-21-2017_9479561.html
7,PD06,2017-08-03T14:34:34+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","Parabolic Drugs' board meeting on August 14, 2017","This is to inform you that meeting of the Board of Directors of the company is scheduled to be held on Monday, the 14th day of August, 2017, inter-alia, to consider and approve the Unaudited Financial Results for the Quarter ended on 30th June, 2017.","Pursuant to the Regulation 29 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, this is to inform you that meeting of the Board of Directors of the company is scheduled to be held on Monday, the 14th day of August, 2017, inter-alia, to consider and approve the Unaudited Financial Results for the Quarter ended on 30th June, 2017.   Pursuant to this, the Company has decided that the close period (i.e. closure of trading window) under the 'Company's code of conduct for prevention of Insider Trading' would commence from August 03, 2017 and end 24 hours after the results are made public on August 14, 2017.  You are requested to display the same on the Notice Board of your Exchange for the information of members and general public.  Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/parabolic-drugs39-board-meetingaugust-14-2017_9393781.html
8,PD06,2017-05-17T15:53:50+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","Parabolic Drugs' board meting on May 29, 2017","This is to inform you that a meeting of the Board of Directors of the company is scheduled to be held on Monday, the 29th day of May, 2017, inter-alia, to consider and approve the Audited Financial Results for the Year ended on 31st March, 2017.","Sir/Madam    Pursuant to the Regulation 29 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, this is to inform you that a meeting of the Board of Directors of the company is scheduled to be held on Monday, the 29th day of May, 2017, inter-alia, to consider and approve the Audited Financial Results for the Year ended on 31st March, 2017.     Pursuant to this, the Company has decided that the close period (i.e. closure of trading window) under the 'Company's code of conduct for prevention of Insider Trading' would commence from May 18, 2017 and end 24 hours after the results are made public on May 29, 2017.    You are requested to display the same on the Notice Board of your Exchange for the information of members and general public.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/parabolic-drugs39-board-metingmay-29-2017_9024981.html
9,PD06,2017-05-10T14:36:05+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Parabolic Drugs: Outcome of board meeting,"This is to inform you that the Board of Directors in its Meeting held on 10th May, 2017 has appointed Mr. Ashok Kumar Jindal as Chief Financial Officer of the Company. You are requested to take the above said information on your record and oblige.","This is to inform you that the Board of Directors in its Meeting held on 10th May, 2017:    1.Appointed Mr. Ashok Kumar Jindal as Chief Financial Officer of the Company.                            You are requested to take the above said information on your record and oblige.    Thanking You.     For &amp;amp; on behalf of Parabolic Drugs LimitedSource : BSE",Announcements,https://www.moneycontrol.com//news/announcements/parabolic-drugs-outcomeboard-meeting_9040561.html
