,company,datePublished,author,headline,description,articleBody,tags,url
0,PI33,2018-12-14T12:21:10+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/tarun-sharma-6905/', 'name': 'Tarun Sharma'}",MCA to crack down on 3 dozen companies for failing to repay deposit-holders,"In the first phase of the probe, the Western Regional office has started a probe against Pratibha Industries, Valecha Engineering and Yash Birla Group.  ","Tarun Sharma Moneycontrol News  The Ministry of Corporate Affairs has started an inspection into three dozen companies that took deposits from the public to the tune of thousands of crores but failed to repay them.  In the first phase of the probe, the Western Regional office has started a probe against Pratibha Industries, Valecha Engineering and Yash Birla Group.  &amp;quot;These companies have duped innocent people,&amp;quot; a source in the department told Moneycontrol. &amp;quot;[If any wrongdoing is proved] directors of these companies will be permanently disqualified.&amp;quot;  Besides, the MCA may also move the National Company Law Tribunal to seize assets of these companies.  Another source said there is a possibility that some of these companies may have siphoned off money, adding that MCA may also involve the Serious Fraud Investigation Office for further investigation.  Corporates borrow money from the public by coming out with fixed deposits. They typically offer interest rates higher than banks because of the higher default risk &ndash; something that makes the offer lucrative for some investors. For companies, these instruments serve as an additional source of borrowing.  The default risk, sometimes, materialises.  Alone in Valecha Engineering, more than five thousand investors&rsquo; money has been stuck in such fixed deposits, with the total repayment amount being more than Rs 50 crore. Pratibha Industries, which deals in infrastructure, which has also borrowed Rs 50 crore, has also failed to repay investors.  The third entity on the list, the Yash Birla Group, has been in the dock previously for various serious offences.  In 2014, the Mumbai Police&rsquo;s Economic Offence Wing had registered a cheating case against the group&rsquo;s companies around Rs 350 crore. The Income Tax Department and Enforcement Directorate are also investigating Yash Birla Group companies for various offences.  Valecha Engineering, Pratibha Industries, and Yash Birla Group did not respond to a query seeking comment that was sent on December 7.","Business, Companies, Current Affairs, Pratibha Industries, Valecha Engineering, Yash Birla Group",https://www.moneycontrol.com//news/business/mca-to-crack-down3-dozen-companies-for-failing-to-repay-deposit-holders_11844261.html
1,PI33,2017-11-14T15:29:47+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Pratibha Industries - Outcome of board meeting,"With reference to captioned subject, we wish to inform you that the Board of Directors of the Company in their meeting held on Tuesday, 14th November, 2017, have, inter alia, considered and approved the Standalone and Consolidated Financial Results for the quarter ended 30th September, 2017, subjected to limited review by the Statutory Auditors. A copy of the Financial Results and Limited Review R","With reference to captioned subject, we wish to inform you that the Board of Directors of the Company in their meeting held on Tuesday, 14th November, 2017, have, inter alia, considered and approved the Standalone and Consolidated Financial Results for the quarter ended 30th September, 2017, subjected to limited review by the Statutory Auditors. A copy of the Financial Results and Limited Review Report are enclosed herewith.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/pratibha-industries-outcomeboard-meeting_10055821.html
2,PI33,2017-11-03T16:09:19+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","Pratibha Industries' board meeting on November 14, 2017","Pursuant to Regulation 29 (1) (a) of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, we would like to inform you that a Board Meeting of the Company shall be held on Tuesday, 14th November, 2017, inter-alia, to consider and approve, the Unaudited Financial Results for the second quarter ended September 30, 2017","Pursuant to Regulation 29 (1) (a) of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, we would like to inform you that a Board Meeting of the Company shall be held on Tuesday, 14th November, 2017, inter-alia, to consider and approve, the Unaudited Financial Results for the second quarter ended September 30, 2017  Pratibha Ind is in the Construction &amp;amp; Contracting - Civil sector. The current market capitalisation stands at Rs 162.01 crore.  The company management includes Ajit B Kulkarni - Chairman &amp;amp; Managing Director, Ravi A Kulkarni - Deputy Managing Director, Sharad Deshpande - Whole Time Director, Awinash M Arondekar - Independent Director, Shrikant T Gadre - Independent Director, S L Dhingra - Independent Director, V Sivakumaran - Independent DirectoSource : BSE",Announcements,https://www.moneycontrol.com//news/announcements/pratibha-industries39-board-meetingnovember-14-2017_9983721.html
3,PI33,2017-10-02T16:48:46+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Pratibha Industries: Outcome of AGM,"Pratibha Industries Ltd has informed BSE that the 22nd Annual General Meeting (AGM) of the Company was held on September 29, 2017.","Pratibha Industries Ltd has informed BSE that the 22nd Annual General Meeting (AGM) of the Company was held on September 29, 2017.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/pratibha-industries-outcomeagm_9795981.html
4,PI33,2017-10-02T13:21:53+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Pratibha Industries: Outcome of AGM,"Proceedings of the 22nd Annual General Meeting of the Company held on 29th September, 2017.","Proceedings of the 22nd Annual General Meeting of the Company held on 29th September, 2017.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/pratibha-industries-outcomeagm_9790781.html
5,PI33,2017-01-11T22:43:01+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Pratibha Industries: Outcome of board meeting,"Pratibha Industries has informed regarding Outcome of Board Meeting held on January 11, 2017.","Pratibha Industries Ltd has informed BSE regarding Outcome of Board Meeting held on January 11, 2017.Source : BSE Read all announcements in Pratibha Ind",Announcements,https://www.moneycontrol.com//news/announcements/pratibha-industries-outcomeboard-meeting_8251201.html
6,PI33,2017-01-05T08:56:40+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Pratibha Industries: Outcome of board meeting,"Pratibha Industries Ltd has informed BSE about Outcome of Board Meeting held on January 04, 2017.","Pratibha Industries Ltd has informed BSE about Outcome of Board Meeting held on January 04, 2017.Source : BSE Read all announcements in Pratibha Ind",Announcements,https://www.moneycontrol.com//news/announcements/pratibha-industries-outcomeboard-meeting_8213181.html
7,PI33,2017-01-05T08:56:11+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Pratibha Industries' board meeting on January 07, 2017","Pratibha Industries has informed that a Meeting of the Board of Directors of the Company shall be held on January 07, 2017, to consider and approve, the issue and allotment of shares on preferential basis to the Lenders of the Company, who have not subscribed the shares till January 04, 2017 under Strategic Debt Restructuring (SDR) scheme.","Pratibha Industries Ltd has informed BSE that a Meeting of the Board of Directors of the Company shall be held on January 07, 2017, inter-alia, to consider and approve, the issue and allotment of shares on preferential basis to the Lenders of the Company, who have not subscribed the shares till January 04, 2017 under Strategic Debt Restructuring (SDR) scheme.Source : BSE Read all announcements in Pratibha Ind",Announcements,https://www.moneycontrol.com//news/announcements/pratibha-industries-board-meetingjanuary-07-2017_8213141.html
8,PI33,2016-12-28T20:54:08+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Pratibha Industries' board meeting on Jan 04, 2017","Pratibha Industries has informed that a Meeting of the Board of Directors of the Company shall be held on January 04, 2017, to consider and approve, the issue and allotment of shares on preferential basis to the Lenders of the Company under (SDR) scheme for which approval of the members of the Company.","Pratibha Industries Ltd has informed BSE that a Meeting of the Board of Directors of the Company shall be held on January 04, 2017, inter-alia, to consider and approve, the issue and allotment of shares on preferential basis to the Lenders of the Company under Strategic Debt Restructuring (SDR) scheme for which approval of the members of the Company have already been taken vide Special Resolution passed through postal ballot concluded on November 05, 2016.Source : BSE Read all announcements in Pratibha Ind",Announcements,https://www.moneycontrol.com//news/announcements/pratibha-industries-board-meetingjan-04-2017_8176101.html
9,PI33,2016-12-28T20:00:07+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Pratibha Ind to decide on allotment of shares next week,Pratibha Industries today said its board will meet next week to consider and approve the issue and allotment of shares on preferential basis to its lenders under Strategic Debt Restructuring (SDR) scheme.,"Pratibha Industries today said its board will meet next week to consider and approve the issue and allotment of shares on preferential basis to its lenders under Strategic Debt Restructuring (SDR) scheme. &amp;quot;A meeting of the board of directors of the company shall be held on January 4, inter-alia, to consider and approve, the issue and allotment of shares on preferential basis to the lenders of the company under SDR scheme for which approval of the members of the company have already been taken vide Special Resolution passed through postal ballot concluded on November 5, 2016,&amp;quot; Pratibha Industries said in a BSE filing. Pratibha Industries, flagship company of Pratibha Group, is engaged in the areas of urban infrastructure, which includes water supply and distribution projects, waste and sewerage management, including environmental engineering.&amp;amp;nbsp;","BSE, Business, Pratibha Group, Pratibha Industries, SDR, shares",https://www.moneycontrol.com//news/business/pratibha-ind-to-decideallotmentshares-next-week_8175741.html
