,company,datePublished,author,headline,description,articleBody,tags,url
0,PL9,2019-03-08T20:22:05+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",NCLT allows ICICI Bank's insolvency plea against Punj Lloyd over Rs 854 cr default,"Confirming the development, Punj Lloyd said in a regulatory filing that the company was waiting for the copy of the full order to provide further details.  ","In a setback to engineering and construction firm Punj Lloyd, the National Company Law Tribunal (NCLT) has admitted an insolvency plea against the company filed by ICICI Bank. A two-member Principal Bench headed by President Justice M M Kumar has admitted the lender's plea to initiate insolvency proceedings against Punj Lloyd for a default of Rs 853.83 crore.  Confirming the development, Punj Lloyd said in a regulatory filing that the company was waiting for the copy of the full order to provide further details.  &amp;quot;We hereby inform you that NCLT Principal Bench, New Delhi vide order pronounced on March 8, 2019, has admitted the petition filed by ICICI Bank under Section 7 of the Insolvency and Bankruptcy Code, 2016 in respect of an alleged default amount of Rs 853.83 crore,&amp;quot; Punj Lloyd said in the filing.  Last year in June, ICICI Bank had filed an application before NCLT against Punj Lloyd alleging default by the company.  However, at that time, its other lenders including SBI opposed the insolvency plea, saying that the company has several ongoing projects and favoured restructuring of its debts.  Punj Lloyd has total debt of around Rs 6,000 crore, in which ICICI Bank has debt of around Rs 854 crore.","Business, ICICI Bank, Market news, NCLT, Punj Lloyd",https://www.moneycontrol.com//news/business/nclt-allows-icici-bank39s-insolvency-plea-against-punj-lloyd-over-rs-854-cr-default_12230341.html
1,PL9,2019-02-06T20:33:05+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}","Punj Lloyd Q3 net loss widens to Rs 2,795 cr","The company, as part of its financial restructuring to pare debt and strengthen balance sheet to better equipped for bidding new projects, had submitted a scheme of restructuring with its lenders.","Infrastructure company Punj Lloyd's loss widened to Rs 2,795.06 crore in the third quarter of 2018-19 from Rs 183.9 crore in the year-ago quarter, the company informed bourses Wednesday. Its income from operations in the October-December period declined to Rs 511.04 crore, over Rs 1,169.47 crore in the corresponding quarter of previous fiscal.  Punj Lloyd further said that there were delays, defaults in repayments of substantial dues to lenders.  &amp;quot;Company's current liabilities exceeded its current assets and net worth of the company was also eroded as at December 31, 2018,&amp;quot; Punj Lloyd said.  The company, as part of its financial restructuring to pare debt and strengthen balance sheet to better equipped for bidding new projects, had submitted a scheme of restructuring with its lenders.  Clarity on the structure of restructuring proposal was under consideration and response was awaited from lenders, it said.  Additionally, to improve operational efficiencies, Punj Lloyd said that it was taking various measures, including monetising its identified assets as avenues of raising funds.  Due to delay in restructuring, the firm was unable to generate the expected profits in the current period, and had to revise its estimates for future taxable income, it said.  Punj Lloyd Group is an international conglomerate offering EPC services in energy and infrastructure along with engineering and manufacturing capabilities in the defence sector.","Business, Market news, Punj Lloyd, Results",https://www.moneycontrol.com//news/business/punj-lloyd-q3-net-loss-widens-to-rs-2795-cr_12076341.html
2,PL9,2018-10-04T12:02:04+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",IFC moves insolvency plea against Punj Lloyd at NCLT,"The tribunal has directed both the petitions to list on October 9, when it would hear similar matter in which leading private sector lender ICICI Bank has filed insolvency plea against Punj Lloyd.","International Finance Corporation (IFC) Thursday moved an insolvency plea against infrastructure firm Punj Lloyd before the National Company Law Tribunal (NCLT). A two-member principal bench headed by President Justice M M Kumar has issued notices to Punj Lloyd and Punj Lloyd Upstream Ltd.  The tribunal has directed both the petitions to list on October 9, when it would hear similar matter in which leading private sector lender ICICI Bank has filed insolvency plea against Punj Lloyd.  IFC is seeking recovery of USD 30 million defaulted by Punj Lloyd.  Earlier in June, ICICI Bank had approached NCLT to recover Rs 830 crore of outstanding loans to Punj Lloyd.  However, majority of its lender including SBI are against and had opposed ICICI's insolvency plea.","Business, Companies, IFC, Punj Lloyd",https://www.moneycontrol.com//news/business/ifc-moves-insolvency-plea-against-punj-lloyd-at-nclt_11499261.html
3,PL9,2018-08-14T20:45:05+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",Punj Lloyd Q1 net loss widens to Rs 216 crore,"Total expenses too rose to Rs 1,339.08 crore as against Rs 1,286.22 crore earlier.","Infrastructure major Punj Lloyd today reported widening of net loss to Rs 215.64 crore for the quarter ended June 30, 2018. The company suffered a loss of Rs 194.32 crore in the corresponding quarter of 2017-18, Punj Lloyd said in a BSE filing.  Net sales during the quarter rose to Rs 1,029.28 crore from Rs 977.34 crore in the year-ago period.  Total expenses too rose to Rs 1,339.08 crore as against Rs 1,286.22 crore earlier.  Punj Lloyd Group is a diversified international conglomerate offering EPC services in energy and infrastructure along with engineering and manufacturing capabilities in the defence sector.","India, Punj Lloyd, Results",https://www.moneycontrol.com//news/results/punj-lloyd-q1-net-loss-widens-to-rs-216-crore_11301101.html
4,PL9,2018-03-26T19:55:12+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",Punj Lloyd wins Rs 505 cr contract from NHAI in Odisha,"&amp;quot;The company has been awarded a contract worth Rs 505.22 crore for six/four Laning of NH 5 (New NH 16) from Puintola to Tangi in Odisha,&amp;quot; the company said in a filing to BSE.","Engineering and construction firm Punj Lloyd today said it has won a Rs 505.22 crore highway contract in Odisha from NHAI.  &amp;quot;The company has been awarded a contract worth Rs 505.22 crore for six/four Laning of NH 5 (New NH 16) from Puintola to Tangi in Odisha,&amp;quot; the company said in a filing to BSE.  The project has been won from the National Highways Authority of India (NHAI) on engineering, procurement and construction basis, it said.  The construction period is 730 days from the start of the project, it added. PTI NAM MR .","Business, Companies, NHAI, Odisha, Punj Lloyd",https://www.moneycontrol.com//news/business/punj-lloyd-wins-rs-505-cr-contractnhaiodisha_10705461.html
5,PL9,2018-02-07T23:47:03+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","Punj Lloyd's board meeting on February 14, 2018","We wish to inform you that a meeting of the Board of Directors of the Company is scheduled to be held on Wednesday, February 14, 2018.","Sub:   Disclosure under Regulation 29 of the SEBI (Listing Obligations &amp;amp; Disclosure Requirements) Regulations, 2015 - Notice of Board Meeting   Dear Sir/Madam,  In terms of the provisions of captioned regulation, we wish to inform you that a meeting of the Board of Directors of the Company is scheduled to be held on Wednesday, 14th February, 2018, inter alia :  1. to consider and approve the Standalone Un-audited Financial Results for the quarter ended December 31, 2017.  2. to consider and approve a proposal to restructure the outstanding credit facilities (the 'Restructuring Scheme') by way of conversion of such credit facilities into equity shares and convertible / non-convertible securities and recommend the increase in authorized share capital of the Company for the above purpose.  3. to call an Extra-Ordinary General Meeting of the Company to seek Shareholders Approval to implement the Restructuring Scheme by way of conversion of aforesaid credit facilities into equity shares and convertible / non-convertible securities and to consider and approve the increase in authorized share capital of the Company for the above purpose.  This is for your information and records.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/punj-lloyd39s-board-meetingfebruary-14-2018_10477781.html
6,PL9,2017-11-11T16:20:16+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",Punj Lloyd Q2 net loss widens to Rs 248 crore,"Punj Lloyd Ltd, the diversified engineering, procurement and construction conglomerate, today posted a loss of Rs 248.42 on standalone basis for the second quarter ended September 30.","Punj Lloyd Ltd, the diversified engineering, procurement and construction conglomerate, today posted a loss of Rs 248.42 on a standalone basis for the second quarter ended September 30.  The company had posted a net loss of Rs 226 crore in the corresponding quarter of previous fiscal, Punj Lloyd said in a BSE filing.  However, total income from operations rose marginally to Rs 1,086 crore from Rs 1,024 crore in the year-ago period.  At the same time, total expenses of the company rose to Rs 1,334.77 crore from Rs 1,249.83 crore in the same quarter a year ago.","Business, India, Results",https://www.moneycontrol.com//news/business/punj-lloyd-q2-net-loss-widens-to-rs-248-crore_10039281.html
7,PL9,2017-09-22T13:17:37+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Punj Lloyd: Outcome of AGM,"We are enclosing herewith the following with respect to the 29th Annual General Meeting ('the AGM') of the Company held on September 21, 2017 at Kamani Auditorium, 1, Copernicus Marg, New Delhi - 110001.","Re: Proceedings of the 29th Annual General Meeting ('the AGM') along with Voting Results and Scrutinizer's Report  Dear Sir/Madam,  We are enclosing herewith the following with respect to the 29th Annual General Meeting ('the AGM') of the Company held on September 21, 2017 at Kamani Auditorium, 1, Copernicus Marg, New Delhi - 110001:-  1. Summary of Proceedings of the AGM as required under Regulation 30 read with Para A of Part A of Schedule -III of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 (Annexure-I).  2. Voting results pursuant to Regulation 44(3) of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 (Annexure -II).  3. Scrutinizer's Report dated September 22, 2017 pursuant to Section 108 of the Companies Act, 2013 and Rule 20 and 21 of the Companies (Management and Administration Rules, 2014 (Annexure - III).  This is for your information and records. Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/punj-lloyd-outcomeagm_9731841.html
8,PL9,2017-09-18T12:30:25+05:30,"{'@type': 'Person', 'name': 'Faizan Javed'}",Punj Lloyd bags Rs 120 cr project to supply truck scanners,"&amp;quot;Punj Lloyd has won a prestigious order worth Rs 120 crore for the supply and commission of five full body truck scanners (FBTS) from the Ministry of Home Affairs,&amp;quot; the conglomerate said.","Punj Lloyd today announced that it has bagged Rs 120 crore contract from the government for the supply of full-body truck scanners.  &amp;quot;Punj Lloyd has won a prestigious order worth Rs 120 crore for the supply and commission of five full body truck scanners (FBTS) from the Ministry of Home Affairs,&amp;quot; the conglomerate said.  The FBTS can locate hidden arms, ammunition, explosives, detonators and IEDs. The scanner can also detect fake currency and narcotics. The company, in a filing to BSE, said that with the bagging of this project it will be the first firm operating in the private sector to install X-Ray based scanners at the borders of the country.  &amp;quot;This is our first order in homeland security and is extremely significant as it will enhance the national security ... by fortifying our borders against illegal activities,&amp;quot; company's chairman Atul Punj said adding that the scanners will be manufactured at company's unit at Malanpur.","Business, Companies, Punj Lloyd",https://www.moneycontrol.com//news/business/punj-lloyd-bags-rs-120-cr-project-to-supply-truck-scanners_9701021.html
9,PL9,2017-09-15T15:21:46+05:30,"{'@type': 'Person', 'name': 'Rakesh Patil'}","Sell Punj Lloyd, says Avinnash Gorakssakar","Avinnash Gorakssakar, Market Expert is of the view that one may exit Punj Lloyd.","Avinnash Gorakssakar, Market Expert told CNBC-TV18, &amp;quot;Punj Lloyd has actually destroyed a lot of wealth and this is very clear that the investor has not made any kind of big money from this stock. I think on an operational level also the company despite having a very large order book, the execution has always been a problem. So, I would believe that there are many other choices in the capital goods sector.&amp;quot;  &amp;quot;It is better that one exits the stock and puts the capital somewhere where the capital can earn a decent kind of risk reward ratio,&amp;quot; he said.",Stocks Views,https://www.moneycontrol.com//news/stocks-views/sell-punj-lloyd-says-avinnash-gorakssakar_9690181.html
