,company,datePublished,author,headline,description,articleBody,tags,url
0,PS15,2024-01-23T14:27:54+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Neutral Persistent Systems; target of Rs 8110: Motilal Oswal,"Motilal Oswal recommended Neutral rating on Persistent Systems with a target price of Rs 8110 in its research report dated January 23, 2024.","Motilal Oswal's research report on Persistent Systems Persistent Systems (PSYS) delivered 3QFY24 revenue of USD300.6m, up 3.1% QoQ in CC terms, in line with our estimate. Deal win TCV was at a record high (USD 521m), aided by strong wins and renewals in North America. EBITDA margin at 17.7% (up 90bp QoQ) beat our estimates; the improvement was attributed to seasonality in IP business and SG&amp;amp;amp;A optimization. PSYS&rsquo;s 3QFY24 revenue performance was positive, although the growth was skewed toward Healthcare and Life (up 16% QoQ); the other two verticals reported muted growth. Despite a seasonal furlough, the deal TCV recorded yet another quarter of strong growth, up 8.8% QoQ (vs +26% QoQ in 2Q), translating to 1.7x BTB.  Outlook We believe PSYS&rsquo; valuation appropriately factors in the favorable growth along with the adverse macro environment. We value the stock at 37x FY26E EPS. We reiterate Neutral as we see limited upside from the current levels. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Persistent Systems - 23012024 - moti","Motilal Oswal, neutral, Persistent Systems, Recommendations",https://www.moneycontrol.com//news/recommendations/neutral-persistent-systems-targetrs-8110-motilal-oswal_17411431.html
1,PS15,2023-09-01T14:57:13+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Persistent Systems; target of Rs 6000: Sharekhan,"Sharekhan is bullish on Persistent Systems has recommended buy rating on the stock with a target price of Rs 6000 in its research report dated August 31, 2023.","Sharekhan's research report on Persistent Systems Growth across Hi-tech continues to lead due to resilience from the largely non-discretionary product engineering segment. Further, incremental deal wins over the past several quarters have aided in increasing the company&rsquo;s market share in the product engineering segment. While BFSI and Healthcare&amp;amp;amp; Lifesciences are expected to witness slowdown for couple of quarters, positive signs of stabilising client engagement are emerging. The company has sufficient margin levers to partly offset the margin impact due to wage hike in Q2 and has reiterated its aspiration to achieve 200-300 bps margin improvement over the next 2-3 years. Outlook We maintain Buy rating on Persistent Systems Limited (Persistent) with a revised PT of Rs. 6,000, as we believe the company can continue to consistently perform, aided by resilient Hi-tech vertical, robust deal wins, and a strong deal pipeline. At CMP, the stock trades at 27.6/23.8x its FY25/26E EPS. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Persistent Systems - 01 -09 - 2023 - khan","Buy, Persistent Systems, Recommendations, Sharekhan",https://www.moneycontrol.com//news/recommendations/buy-persistent-systems-targetrs-6000-sharekhan_17225891.html
2,PS15,2023-07-24T19:56:16+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Neutral Persistent Systems; target of Rs 4600: Motilal Oswal,"Motilal Oswal recommended Neutral rating on Persistent Systems with a target price of Rs 4600 in its research report dated July 23, 2023.","Motilal Oswal's research report on Persistent Systems Persistent Systems (PSYS) delivered 1QFY24 revenue of USD282.9m, +2.9% QoQ in CC/+3.0% QoQ, in line with our estimates. Growth was led by IP business (up 8.0% QoQ), while Service business grew 2.7% QoQ. EBITDA margin was at 18.2% (down 30bp QoQ), a tad below our estimate of 18.4%, due to higher Visa cost (~40bp impact). PSYS added 241 employees in 1QFY24, while attrition moderated sharply (15.5%, down 430bp QoQ).&nbsp; PSYS&rsquo; 1QFY24 revenue performance was positive, especially in the environment when execution remains a challenge. Despite BFS industry headwinds, it was up 6.2% QoQ, although management indicated softness in the near-term. Top accounts posted healthy growth with top 5/top 10 accounts increasing 13%/8% YoY in 1QFY24. Outlook The stock is currently trading at 26x FY25E EPS. Our TP is based on 25x FY25E EPS. We reiterate our Neutral rating as we believe the positives have already been captured and the stock offers limited upside from current levels. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Persistent Systems - 24 -07 - 2023 - moti","Motilal Oswal, neutral, Persistent Systems, Recommendations",https://www.moneycontrol.com//news/recommendations/neutral-persistent-systems-targetrs-4600-motilal-oswal_17128371.html
3,PS15,2023-07-24T15:07:24+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Persistent Systems; target of Rs 5500: Sharekhan,"Sharekhan is bullish on Persistent Systems has recommended buy rating on the stock with a target price of Rs 5500 in its research report dated July 21, 2023.","Sharekhan's research report on Persistent Systems Persistent reported revenues of $282.9 million, up 3%q-o-q/17.1% y-o-y in constant currency (CC) terms, nearly in line with our estimates of $283.6 million. EBIT margin fell ~50 bps q-o-q to 14.9% missing our estimates of 15.5%, as the tailwind of revenue growth was offset by higher SG&amp;amp;amp;A costs, higher amortization costs, and doubtful debt provision. Order booking moderated to $380.3 million in TCV, down ~10% q-o-q/3% y-o-y. Persistent would endeavour for aspirational quarterly growth of 3-5% in a good economy and 2-4% in a bad economy. Persistent Systems continues to deliver industry-leading revenue growth despite challenging macro environment on account of consistently decent order booking, strong contributions from top clients and broad-based demand across verticals. Outlook Hence, we maintain a Buy rating on Persistent Systems with revised PT of 5500. At the CMP, the stock trades at 30.1/24.4x its FY24/25E EPS. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  Persistent Systems - 24 -07 - 2023 - khan","Buy, Persistent Systems, Recommendations, Sharekhan",https://www.moneycontrol.com//news/recommendations/buy-persistent-systems-targetrs-5500-sharekhan_17128011.html
4,PS15,2023-07-24T14:20:07+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Persistent Systems; target of Rs 5776: ICICI Securities,"ICICI Securities is bullish on Persistent Systems recommended buy rating on the stock with a target price of Rs 5776 in its research report dated July 22, 2023.","ICICI Securities research report on Persistent Systems Persistent Systems (Persistent) reported largely in line Q1FY24 revenue growth of 3% QoQ USD (17.1% YoY USD) and 2.9% QoQ CC driven by strong growth in BFSI (+6.2% QoQ USD) and hi-tech (+3.2% QoQ USD), partially offset by a decline of 2.7% in healthcare. There was a miss on EBIT margin that came in at 14.9%, -50bps QoQ (ISEC: 16%, cons: 15.4%). During the quarter, there were headwinds from H1B visa costs (+40bps), work from office related costs (+20bps) and higher D&amp;amp;amp;A charges (+10bps). Deal wins were muted with TCV at USD 380.3mn, -3% YoY, -10% QoQ and ACV at USD 271.9mn, 3% YoY and -12% QoQ due to spill over of deal closures from Q1 to Q2FY24. Management expects softness in next 1-2 quarters with growth at 2-4% QoQ (vs 3-5% QoQ earlier) if macros remain weak in the near term. Outlook We reiterate our BUY rating on PSYS with a revised 12-month target price of INR 5,776, implying 21% potential upside. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Persistent Systems - 24 -07 - 2023 - isc","Buy, ICICI Securities, Persistent Systems, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-persistent-systems-targetrs-5776-icici-securities_17127831.html
5,PS15,2023-07-22T18:23:38+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Persistent Systems; target of Rs 6430: HDFC Securities,"HDFC Securities is bullish on Persistent Systems has recommended buy rating on the stock with a target price of Rs 6430 in its research report dated July 21, 2023.","HDFC Securities' research report on Persistent Systems Persistent Systems (PSYS) posted in-line revenue performance, supported by strong growth across T1 and T50 (66% of revenue). PSYS is expected to continue its outperformance and key markers of client mining remained steady with (1) T50 posting an impressive 5.7% QoQ growth (ex T1 also growth was 4.5% QoQ), (2) an increase in USD 5mn+ client cohort from 34 in last quarter to 38 in Q1. While deal TCV declined sequentially on the base of record quarters, it was impacted by the spillover of some deals into Q2; multiple marquee wins marked the quarter including deals with the largest hyperscaler, healthcare client deal and ODC setup for Software/Hi-tech client. The company has doubled its revenue in the last three years and is well positioned to double revenue over the next four years, with earnings expected to accelerate even faster (23% EPS CAGR over FY23-26E) as the margin expands.  Outlook We maintain BUY on Persistent Systems (PSYS) as our top pick in mid-tier IT and our TP is INR 6,430, valuing PSYS at 32x Jun-25E. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Persistent Systems - 22 -07 - 2023 - hdfc","Buy, HDFC Securities, Persistent Systems, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-persistent-systems-targetrs-6430-hdfc-securities_17125611.html
6,PS15,2023-04-28T13:02:48+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Persistent Systems; target of Rs 5170: ICICI Direct,"ICICI Direct is bullish on Persistent Systems recommended buy rating on the stock with a target price of Rs 5170 in its research report dated April 26, 2023.","ICICI Direct's research report on Persistent Systems Persistent Systems (Persistent) offers cloud, data, product &amp;amp;amp; design led services to BFSI, healthcare &amp;amp;amp; hi-tech verticals. &bull; Persistent had a strong year (FY23) with revenue growth of 35.2% in dollar terms &amp;amp;amp; rupee revenue growth of 46.2% &bull; Net debt free and healthy double digit return ratio (with RoCE of 20%). Outlook We maintain our BUY rating on the stock. We value Persistent at Rs 5,170 i.e. 26x P/E on FY25E. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  Persistent Systems - 27 -04 - 2023 - icici","Buy, ICICI Direct, Persistent Systems, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-persistent-systems-targetrs-5170-icici-direct_16976861.html
7,PS15,2023-04-27T17:15:27+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Neutral Persistent Systems; target of Rs 4870: Motilal Oswal,"Motilal Oswal recommended Neutral rating on Persistent Systems with a target price of Rs 4870 in its research report dated April 26, 2023.","Motilal Oswal's research report on Persistent Systems Persistent Systems (PSYS) delivered 4QFY23 revenue of USD274.6m (+3.5% QoQ in CC/ +3.9% QoQ, ahead of our estimate of +3.0% QoQ in CC). 4Q growth was led by Services business (+5.5% QoQ), while IP-led business declined 14.6% QoQ due to seasonality. EBITDA margin was in line at 18.5%, as lower employee cost was offset by a spike in software royalty cost. PSYS added 1.9k employees in 4QFY23, despite moderating attrition (19.8%, down 180bp QoQ). We view PSYS&rsquo; 4QFY23 topline performance as positive, especially as the weak macro environment has resulted in cutbacks in discretionary spending. While this impacted growth adversely at a key Hyperscaler account (down USD3m QoQ), a rebound in its top account (up 30.5% QoQ) &ndash; post-declining for four quarters &ndash; more than offset the impact.  Outlook Hence, PSYS&rsquo; valuation appropriately factors in favorable growth along with the adverse demand environment in our opinion. We maintain our Neutral rating as we see limited upside from current levels. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Persistent Systems - 26 -04 - 2023 - moti","Motilal Oswal, neutral, Persistent Systems, Recommendations",https://www.moneycontrol.com//news/recommendations/neutral-persistent-systems-targetrs-4870-motilal-oswal_16975551.html
8,PS15,2023-04-26T15:19:25+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Persistent Systems; target of Rs 4800: Emkay Global Financial,"Emkay Global Financial is bullish on Persistent Systems has recommended buy rating on the stock with a target price of Rs 4800 in its research report dated April 26, 2023.","Emkay Global Financial's research report on Persistent Systems PSYS reported in-line operating performance in Q4FY23. Revenue grew by 3.9% QoQ to USD274.6mn (3.5% CC), driven by the top-10 clients. Revenue from the top client grew by 30.5% QoQ (after four consecutive quarters of decline), contributing ~60% to incremental revenue sequentially, owing to deal ramp-ups. Services revenue grew 5.5% in Q4, while IP revenue declined 14.6% due to seasonality. Services growth momentum moderated to 4.4% CQGR over the last three quarters. Management remains watchful of macro uncertainties and has suggested some moderation in demand amid a tough demand environment for the next couple of quarters; however, it remains confident to sustain 3-5% sequential growth due to robust deal intake (USD421.6mn in Q4; 1.5x book-to-bill), healthy deal pipeline and steady progress in client mining. Management expects EBITM to expand by 200-300bps over the next 2-3 years, owing to scale benefits, client mining, pyramid rationalization and better pricing in newer areas like cloud and generative AI.  Outlook We tweak our EPS by 1.1-1.5% for FY24E/25E, factoring in Q4 performance. We retain BUY with a TP of Rs4,800 on 25x Mar-25E EPS (earlier Rs4,700). For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Persistent Systems - 26 -04 - 2023 - emkay","Buy, Emkay Global Financial, Persistent Systems, Recommendations",https://www.moneycontrol.com//news/recommendations/buy-persistent-systems-targetrs-4800-emkay-global-financial_16973451.html
9,PS15,2023-04-26T13:32:45+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Persistent Systems; target of Rs 5010: Sharekhan,"Sharekhan is bullish on Persistent Systems has recommended buy rating on the stock with a target price of Rs 5010 in its research report dated April 25, 2023.","Sharekhan's research report on Persistent Systems Persistent Systems reported strong constant currency (CC) revenue growth of 3.5% q-o-q beating our estimates of 3.0% (CC) revenue growth led by IT Services. Top-1 client&rsquo;s revenues increased by 30.5% q-o-q in USD terms. EBIT margin was flat q-o-q at 15.4%, broadly in-line with our estimates of 15.5% owing to higher Project related travel expenses, royalty and SGA expenses. Total TCVs stood at $421.6 million, down 4%/ up 17% q-o-q/y-o-y. New business TCVs stood at $250.3 million versus $239 million in Q3FY2023, up 5%/28% q-o-q/y-o-y. Strong new business ACV at $168.3 million up 17%/28% q-o-q/ y-o-y We believe Persistent Systems is well-placed to navigate the near term uncertain environment owing to its ability to deliver industry-leading revenue growth on account of broad-based demand across verticals, robust order intake and new logo additions. Outlook Hence, we maintain a Buy rating on Persistent Systems with unchanged PT of Rs. 5,010. At the CMP the stock trades at 29.5x its FY2024E EPS and 25.1x its FY2025E EPS. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Persistent Systems - 26 -04 - 2023 - khan","Buy, Persistent Systems, Recommendations, Sharekhan",https://www.moneycontrol.com//news/recommendations/buy-persistent-systems-targetrs-5010-sharekhan_16973091.html
