,company,datePublished,author,headline,description,articleBody,tags,url
0,PSL,2018-07-24T22:26:02+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","PSL's board meeting held on August 09, 2018","We wish to inform you that a meeting of Board of Directors of the Company is scheduled to be held on Thursday, August 09, 2018 to consider, approve and take on record the Un-audited Financial Results of the Company for the quarter ended June 30, 2018.","Pursuant to Regulation 29 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, we wish to inform you that a meeting of Board of Directors of the Company is scheduled to be held on Thursday, the 9th day of August, 2018 to consider, approve and take on record the Un-audited Financial Results of the Company for the quarter ended June 30, 2018.  Further, as per Company's Code of Conduct for Prevention of Insider Trading framed in accordance with the SEBI (Prohibition of Insider Trading) Regulations, 2015, the trading window shall remain closed for all Designated Employees of the Company from July 25, 2018 to August 11, 2018 (both days inclusive).   Kindly take this information on record and oblige.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/psl39s-board-meeting-heldaugust-09-2018_11193941.html
1,PSL,2018-05-24T22:43:03+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",PSL : Outcome of board meeting,"This is to inform you that the Board of Directors in its meeting held today i.e. May 24, 2018, has approved the Audited Financial Results for the Quarter and Financial Year ended on March 31, 2018.","This is to inform you that the Board of Directors in its meeting held today i.e. May 24, 2018, has approved the Audited Financial Results for the Quarter and Financial Year ended on March 31, 2018 under regulation 33 of SEBI (LODR) Regulations, 2015. In the view of same, we are attaching herewith a summarized copy of Financial Results along with Audit Report issued by the Statutory Auditors of the Company. Kindly take the same on your records and oblige. Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/psloutcomeboard-meeting_10935721.html
2,PSL,2017-11-10T21:38:23+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",PSL: Outcome of board meeting,"The Board of Directors in its meeting held today i.e. November 10, 2017 has approved and taken on record the un-audited financial results for the Quarter &amp;amp; half year ended on September 30, 2017 under regulation 33 of SEBI (LODR) Regulations, 2015.","The Board of Directors in its meeting held today i.e. November 10, 2017 has approved and taken on record the un-audited financial results for the Quarter &amp;amp; half year ended on September 30, 2017 under regulation 33 of SEBI (LODR) Regulations, 2015.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/psl-outcomeboard-meeting_10037401.html
3,PSL,2017-05-09T22:53:01+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",PSL: Outcome of board meeting,"This is to inform you that the Board of Directors in its meeting held today i.e. May 9, 2017.","With reference to the captioned subject, this is to inform you that the Board of Directors in its meeting held today i.e. May 9, 2017, has approved the Audited Financial Results for the Quarter and Financial Year ended on March 31, 2017 under regulation 33 of SEBI (LODR) Regulations, 2015. In the view of same, we are enclosing herewith a summarized copy of Financial Results along with Audit Report issued by the Statutory Auditors of the Company.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/psl-outcomeboard-meeting_9041801.html
4,PSL,2017-05-04T11:01:48+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","PSL's board meeting on May 9, 2017","Meeting of Board of Directors of the Company is scheduled to be held on Tuesday, May 09, 2017 to consider, approve and take on record the Audited Financial Results of the Company for the quarter and financial year ended March 31, 2017.","Meeting of Board of Directors of the Company is scheduled to be held on Tuesday, May 09, 2017 to consider, approve and take on record the Audited Financial Results of the Company for the quarter and financial year ended March 31, 2017.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/psl39s-board-meetingmay-9-2017_8865481.html
5,PSL,2017-01-31T14:35:58+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","PSL's board meeting on February 09, 2017","PSL Ltd has informed BSE that a meeting of Board of Directors of the Company is scheduled to be held on February 09, 2017, inter alia, to consider, approve and take on record the un-audited financial results of the Company for the quarter ended on December 31, 2016.","PSL Ltd has informed BSE that a meeting of Board of Directors of the Company is scheduled to be held on February 09, 2017, inter alia, to consider, approve and take on record the un-audited financial results of the Company for the quarter ended on December 31, 2016.Further, as per Company's Code of Conduct for Prevention of Insider Trading framed in accordance with the SEBI (Prohibition of Insider Trading) Regulations, 2015, the trading window shall remain closed for all Designated Employees of the Company from February 01, 2017 to February 11, 2017 (both days inclusive) for the purpose of considering the un-audited financial results of the Company for the quarter ended on December 31, 2016.Source : BSE Read all announcements in PSL",Announcements,https://www.moneycontrol.com//news/announcements/psls-board-meetingfebruary-09-2017_8382401.html
6,PSL,2016-05-25T16:17:05+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",PSL: Outcome of board meeting,"PSL Ltd has informed BSE that the Board of Directors of the Company at its meeting held on May 24, 2016, has approved the allotment of 25999232 equity shares to Seven (7) Promoter Group Entities and One (1) Lender of the Company.","PSL Ltd has informed BSE that the Board of Directors of the Company at its meeting held on May 24, 2016, has approved the allotment of 25999232 equity shares to Seven (7) Promoter Group Entities and One (1) Lender of the Company pursuant to the terms and conditions prescribed for restructuring of Company's debt through CDR mechanism approved by the CDR Empowered Group on September 23, 2013.Source : BSE Read all announcements in PSL",Announcements,https://www.moneycontrol.com//news/announcements/psl-outcomeboard-meeting_6744521.html
7,PSL,2015-11-16T21:46:59+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",PSL: Outcome of board meeting,"PSL in its meeting held on November 09, 2015 has appointed Ms. Geeta Girdher as Company Secretary and Compliance Officer of the Company w.e.f. November 10, 2015.","PSL Ltd has informed BSE that the Board of Directors of the Company at its meeting held on November 09, 2015 has appointed Ms. Geeta Girdher as Company Secretary and Compliance Officer of the Company w.e.f. November 10, 2015.Source : BSE Read all announcements in PSL",Announcements,https://www.moneycontrol.com//news/announcements/psl-outcomeboard-meeting_4178621.html
8,PSL,2015-09-25T10:33:33+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",PSL: Outcome of AGM,"PSL Ltd has informed BSE that the 27th Annual General Meeting (AGM) of the Company was held on September 23, 2015.","PSL Ltd has informed BSE that the 27th Annual General Meeting (AGM) of the Company was held on September 23, 2015.Source : BSE Read all announcements in PSL",Announcements,https://www.moneycontrol.com//news/announcements/psl-outcomeagm_3251581.html
9,PSL,2015-01-20T22:25:38+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",PSL appoints Shashi Ranjan as Company Secretary,"PSL has informed that Mr. Shashi Ranjan has been appointed as Company Secretary of the Company with effect from December 20, 2014.","PSL Ltd has informed BSE that Mr. Shashi Ranjan has been appointed as Company Secretary of the Company with effect from December 20, 2014.Source : BSE Read all announcements in PSL",Announcements,https://www.moneycontrol.com//news/announcements/psl-appoints-shashi-ranjan-as-company-secretary_1279538.html
