,company,datePublished,author,headline,description,articleBody,tags,url
0,RCV02,2023-12-15T08:25:06+05:30,"{'@type': 'Person', 'name': 'Faizan Javed'}","NCLT Mumbai approves sale of RCom real estate assets, shares","The filing attached an order of the National Company Law Tribunal's Mumbai bench in the matter of application filed by the resolution professional of Reliance Communications (RCom), seeking approval from the NCLT for undertaking the sale of certain unencumbered assets of the company.","Insolvency tribunal NCLT Mumbai has approved the sale of some of the real estate assets of telecom company Reliance Communications, a regulatory filing said on Wednesday.  The filing attached an order of the National Company Law Tribunal's Mumbai bench in the matter of application filed by the resolution professional of Reliance Communications (RCom), seeking approval from the NCLT for undertaking the sale of certain unencumbered assets of the company.  &amp;quot;...this Tribunal clarifies that the Applicant/RP can sell assets of the Corporate Debtor (as described in Para 1 above) under Regulation 29 of the CIRP Regulations after submission of the resolution plan for approval by this Tribunal,&amp;quot; the NCLT order dated December 7 said.  Resolution professional can sell assets of the company after submission of the resolution plan for approval by the tribunal, according to the order.  &amp;quot;This Tribunal accords its approval to the Applicant to conduct the sale of the Assets of the Corporate Debtor in terms of Regulation 29 of the CIRP Regulations, which sale proceeds shall be treated as unencumbered assets of the Corporate Debtor and be distributed during the implementation of the approved resolution plan or in liquidation, as the case may be,&amp;quot; the order said.  The assets identified for sale include Chennai Haddow Office of RCom, comprising land and building; land parcel in Ambattur in Chennai spread over an area of about 3.44 acres; 871.1 square metres of land parcel in Pune; Bhubaneswar-based office space, investment in shares of Campion Properties and investment in shares of Reliance Realty.","Business, Companies",https://www.moneycontrol.com//news/business/nclt-mumbai-approves-salercom-real-estate-assets-shares_17370941.html
1,RCV02,2020-07-04T20:12:57+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/forbes-india-10381/', 'name': 'Forbes India'}","Coronavirus impact | Indian billionaires take a knock, have a slow year",The collective wealth of Indian billionaires fell by 22.8 percent compared to last year; the pandemic will hurt company valuations in the coming quarters as well.,"Businesses of India&rsquo;s richest continued to slow down&mdash;and resultantly their net worth eroded&mdash;in an economy which is growing at its slowest in 11 years, hurt by poor consumption demand.  The collective wealth of India&rsquo;s billionaires, according to the Forbes World Billionaires 2020 List, contracted 22.8 percent to $312.6 billion from $405.3 billion a year earlier. Forbes calculated net worth based on stock prices and exchange rates as on March 18.  Reliance Industries&rsquo; (RIL) owner Mukesh Ambani continued to hold his position as India&rsquo;s richest, but saw his wealth fall by over 25 percent to $36.8 billion, from $50 billion last year due to stock market collapses and global oil fluctuations. (RIL is the owner of Network 18, publisher of Forbes India.)  However, Ambani has since stormed back into the top 10 of the&nbsp;Forbes real-time Billionaires Index (as of June 26), on the back of 11 large investments into its telecom subsidiary Jio Platforms, which has led to a surge in the RIL stock price and helped make it debt-free.  At least 15 billionaires from the list have seen a growth in net worth from last year. Radhakishan Damani jumped to become the second richest Indian billionaire from seventh in 2019 (net worth up by 24 percent to $13.8 billion), through his Avenue Supermarts which owns and operates the DMart chain of hypermarkets.  Other gainers include Sunil Mittal, whose net worth rose by 35 percent to $8.8 billion in the list, as its telecom service Bharti Airtel has emerged a force to reckon with. Industrialist Gautam Adani, who leads the diversified Adani Group, food and beverages tycoon Ravi Jaipuria and Shree Cement founder Benu Gopal Bangur also gained in net worth from the previous year.  Once math tutor and now entrepreneur Byju Raveendran (in picture) debuts on the list (53rd richest Indian and ranked 1,196) on the back of sharp growth of his edtech unicorn Byju&rsquo;s. According to the list, the company is valued at $8 billion and Raveendran, India&rsquo;s youngest billionaire at 38, at $1.8 billion. (In June-end, Byju&rsquo;s raised about $100 million from Silicon Valley investor Bond Capital, sending its valuation soaring at around $10.5 billion.)  The net worth of Wipro chairman Azim Premji, India&rsquo;s second richest billionaire as per the 2019 list, has fallen 73 percent to $6.1 billion and rank to tenth, as he has been giving away most of his wealth to his charity foundation.  The number of India&rsquo;s dollar billionaires in the list fell by four to 102, which included Ambani&rsquo;s younger brother Anil (75th Indian and 1,349 on the 2019 list). Anil Ambani has seen his businesses crumble, with RCom filing for bankruptcy last year. Media tycoon Subhash Chandra (51st Indian and 916 in 2019) has also fallen off due to debts.  For some, stock market fortunes and business cycles continue to be harsh. Former Yes Bank shareholders Rana Kapoor and Madhu Kapur; Tarang Jain, owner of auto-part maker Varroc, and Max Group&rsquo;s chairman Analjit Singh, who had dropped out in 2019, have not climbed back onto the list. The current fiscal is bound to throw up more unpleasant news. The impact of COVID-19 has only worsened since the list was published and it will hurt valuations of companies more in the coming quarters.  Disclaimer: Reliance Industries Ltd. is the sole beneficiary of Independent Media Trust which controls Network18 Media &amp;amp;amp; Investments Ltd.  This article was first published on the Forbes India website.","Business, Forbes India, India",https://www.moneycontrol.com//news/business/coronavirus-impact-|-indian-billionaires-takeknock-haveslow-year_14003181.html
2,RCV02,2020-01-07T13:10:06+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",Reliance Communications' committee of creditors to meet on January 8,RCom is going through the corporate insolvency resolution process under the Mumbai-bench of NCLT,"Reliance Communications' (RCom) committee of creditors (CoC) will hold a meeting on January 8, the company said in a regulatory filing on January 7.  &amp;quot;We wish to inform you that the 16th meeting of the&nbsp;CoC of RCom is scheduled to be convened on January 8, 2020,&amp;quot;&nbsp;the company said in a filing to BSE.  RCom is going through the corporate insolvency resolution process under the supervision of the Mumbai-bench of National Company Law Tribunal (NCLT).  The company's secured debt is estimated to be around Rs 33,000 crore. Lenders have submitted claims of around Rs 49,000 crore in August.  RCom has put all of its assets for sale which includes spectrum holding of 122 MHz, towers business, optical fibre network and data centres.  The firm's chairman Anil Ambani has tendered his resignation after the company posted a consolidated loss of Rs 30,142 crore for July-September due to provisioning for liabilities after the Supreme Court's ruling on statutory dues.  This was the second-highest loss posted by any Indian corporate till date. However, the CoC has rejected Ambani's resignation and asked to cooperate in insolvency proceedings.","Business, Companies, Reliance Communications",https://www.moneycontrol.com//news/business/reliance-communications39-committeecreditors-to-meetjanuary-8_13334061.html
3,RCV02,2020-01-07T12:35:07+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",SC rejects Centre's plea challenging refund of Rs 104 crore ordered by TDSAT to RCom,"&amp;quot;We do not find any merits in the appeal,&amp;quot; a bench of justices RF Nariman and S Ravindra Bhat said. ","The Supreme Court on January 7 has rejected the Centre's plea challenging a Telecom Disputes Settlement and Appellate Tribunal (TDSAT) order which directed it to refund close to Rs 104 crore to Reliance Communication.  &amp;quot;We do not find any merits in the appeal,&amp;quot;&nbsp;a bench of justices RF Nariman and S Ravindra Bhat said.  The TDSAT had on December 21, 2018, directed the Centre to return around Rs 104 crore after encashing bank guarantee of Rs 908 crore against spectrum charges of Rs 774 crore.  The Department of Telecom (DoT) has already adjusted Rs 30.33 crore.","Business, Companies, DoT, RComm, SC, sector, Telecom",https://www.moneycontrol.com//news/business/sc-rejects-centre39s-plea-challenging-refundrs-104-crore-ordered-by-tdsat-to-rcom_13333961.html
4,RCV02,2019-11-24T15:00:05+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}","RCom lenders reject resignation of Anil Ambani, 4 other directors","In a BSE filing, RCom said its Committee of Creditors (CoC) had met on November 20.","Reliance Communications on Sunday said its lenders have rejected the resignation of Chairman Anil Ambani and four other directors, and asked them to cooperate in the ongoing corporate insolvency resolution process. Ambani along with four directors -- Ryna Karani, Chhaya Virani, Manjari Kacker and Suresh Rangachar -- had resigned from the company earlier this month.  In a BSE filing, RCom said its Committee of Creditors (CoC) had met on November 20.  &amp;quot;...(the committee had) expressed a unanimous view that the resignations cannot be accepted,&amp;quot; it noted.  The filing further said: &amp;quot;...it is being duly communicated to the aforesaid directors of RCom that their resignations have not been accepted and they are advised to continue to perform their duties and responsibilities as the directors of RCOM and provide all cooperation to Resolution Professional in the corporate insolvency resolution process&amp;quot;.  RCom had posted a consolidated loss of Rs 30,142 crore for September 2019 quarter due to provisioning for liabilities after the Supreme Court ruling on statutory dues.  This had marked the second highest loss posted by any Indian corporate till date, after Vodafone Idea Ltd's Rs 50,921 crore losses.  During July-September 2019, RCom set aside Rs 28,314 crore on account of provisioning following the Supreme Court order on calculation of annual adjusted gross revenue (AGR) of telecom companies.","Business, Companies, Reliance Communications",https://www.moneycontrol.com//news/business/rcom-lenders-reject-resignationanil-ambani-4-other-directors_13210261.html
5,RCV02,2019-11-19T18:06:06+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",RCom's committee of creditors to meet on November 20,"The company posted a consolidated loss of Rs 30,142 crore for September 2019 quarter due to provisioning for liabilities after the Supreme Court ruling on statutory dues.","Reliance Communications' Committee of Creditors (CoC) will hold a meeting on November 20, the company said in a regulatory filing on Tuesday. Last week, Reliance Communications Chairman Anil Ambani along with four directors had resigned from the company, that is going through insolvency process.  The company posted a consolidated loss of Rs 30,142 crore for September 2019 quarter due to provisioning for liabilities after the Supreme Court ruling on statutory dues. This had marked the second highest loss posted by any Indian corporate till date, after VIL's Rs 50,921 crore losses.  &amp;quot;... we wish to inform you that the 11th meeting of Committee of Creditors of Reliance Communications Limited is scheduled to be convened on Wednesday, November 20, 2019,&amp;quot; RCom said in a BSE filing.  During July-September 2019, RCom set aside Rs 28,314 crore on account of provisioning following the Supreme Court order on calculation of annual adjusted gross revenue (AGR) of telecom companies.  The apex court, last month, upheld the government's position on including revenue from non-telecommunication businesses in calculating the annual AGR, a share of which has to be paid as licence and spectrum fee to the exchequer.  RCom's total liability includes Rs 23,327 crore licence fee and Rs 4,987 crore spectrum usage charges.  The company is going through insolvency proceedings following an application filed by Swedish telecom gear maker Ericsson. The National Company Law Tribunal has handed over control of the company to an insolvency resolution professional.  Sources estimate that RCom Group's total secured debt is around Rs 33,000 crore. Lenders have submitted claim of around Rs 49,000 crore in August.  RCom has put its all assets for sale which include spectrum holding of 122 MHz that the company before insolvency proceedings estimated to be around Rs 14,000 crore, towers business for Rs 7,000 crore, optical fibre network Rs 3,000 crore and data centres worth Rs 4,000 crore.","Business, Market news, Reliance Communications",https://www.moneycontrol.com//news/business/rcom39s-committeecreditors-to-meetnovember-20_13195381.html
6,RCV02,2019-09-16T21:14:06+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-PTI/', 'name': 'PTI'}",RCom's undersea cable unit GCX files for bankruptcy,"GCX, which owns private undersea cable system spanning more than 68,000 route km, is a subsidiary of Reliance Communications, and offers portfolio of solutions customised for carriers, enterprises and new media companies","Reliance Communications' subsidiary Global Cloud Xchange (GCX) has filed for bankruptcy in the US. GCX said in a statement that it has initiated voluntary, pre-packaged Chapter 11 restructuring with support from over 75 percent of lenders.  &amp;quot;GCX today announced a pre-packaged plan of reorganisation that will support its long-term growth and development by reducing bond debt by $150 million, providing a permanent capital structure that includes working capital facility and transitioning the business to new ownership. The company has initiated a voluntary case under Chapter 11 of the United States Bankruptcy Code to effectuate the plan...,&amp;quot; GCX said in a statement.  GCX, which owns private undersea cable system spanning more than 68,000 route km, is a subsidiary of Reliance Communications, and offers portfolio of solutions customised for carriers, enterprises and new media companies.  &amp;quot;More than 75 percent of the company's lenders have already committed their support for the plan, which outlines the terms for a transaction through which GCX's senior secured noteholders would become owners of the company and provide new loans to support and grow the business,&amp;quot; GCX statement said.  To ensure GCX maximises value for its stakeholders, it also will use the protections and framework of Chapter 11 to undertake a sale process that invites additional prospective buyers.  &amp;quot;GCX expects to complete the Chapter 11 process and emerge as a stronger company within the fourth quarter of 2019, subject to all required regulatory approvals,&amp;quot; it said.  Notably, the latest move by GCX comes at a time when its parent Reliance Communications is also undergoing insolvency process.  The GCX statement further said that its customers, suppliers and employees should expect business as usual throughout the Chapter 11 process.  &amp;quot;The plan does not contemplate any changes in business arrangements or activities for any GCX subsidiary, and according to the terms of the plan, all trade/vendor claims will be paid in full,&amp;quot; GCX said.  GCX Chairman and CEO Bill Barney said steps announced on&nbsp;September 16 will allow the company to continue to build on its strengths and emerge as &amp;quot;an even stronger employer and business partner&amp;quot;.  &amp;quot;We appreciate the strong collaboration with our lenders, which has resulted in a plan of reorganisation that allows us to honour our commitments to employees, customers and suppliers while also securing a financially strong future for our business,&amp;quot; Barney said.","Business, Reliance Communications",https://www.moneycontrol.com//news/business/rcom39s-undersea-cable-unit-gcx-files-for-bankruptcy_12989761.html
7,RCV02,2019-06-17T21:15:04+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}","Claims against RCom swell to Rs 57,382 cr; Reliance ADAG cos among claimants","Reliance ADA Group firms account for Rs 7,000.63 crore of fresh claims against the group firm RCom.  ","Claims against Reliance Communications (RCom) have risen to Rs 57,382.5 crore with new entities, including some Reliance Anil Dhirubhai Ambani Group companies, joining the creditors' list, according to a regulatory filing. Interim Resolution Professional (IRP) Pardeep Kumar Sethi, however, admitted dues of Rs 30 crore out of fresh claims of Rs 8,189 crore, taking admitted claims so far to Rs 49,223.88 crore, RCom said in the filing.  Reliance ADA Group firms account for Rs 7,000.63 crore of fresh claims against the group firm RCom.  The filing said the fresh claims except for admitted dues have been put for verification.  Reliance ADAG firm Reliance HR Services Private Limited has submitted claim of Rs 3,368.95 crore, Reliance Capital 1,291.71 crore and Reliance Communications Enterprise Private Limited of Rs 2,336.22 crore and Bermuda-based Reliance Globalcom has made claim of Rs 3.75 crore.  The IRP admitted none of the claims and marked the entire amount for verification.  Shubh Holdings Pte Ltd, CQS Asian Opportunities Master Fund Limited and CQS Directional Opportunities Master Fund Limited have joined the new list of creditors with claims of Rs 400.26 crore, Rs 135.04 crore and Rs 100.11 crore respectively.  The list shows that China Development Bank (CDB) claimed dues of Rs 9,863.89 crore and the IRP has admitted the entire claim.  The IRP also admitted full claims made by Life Insurance Corporation (Rs 4,758 crore), Exim Bank of China (Rs 3,356.44 crore), Standard Chartered Bank (Rs 2,130.23 crore), ICBC (Rs 1,832.89 crore), Syndicate Bank (Rs 1,225.19 crore), and Punjab National Bank (Rs 1,126.87 crore), among several others.  State Bank of India submitted a claim of Rs 4,905.37 crore but IRP admitted Rs 4,714.52 crore and set aside Rs 190.85 crore for verification. Among lead lenders, Bank of Baroda placed a claim of Rs 2,707.67 crore but IRP admitted Rs 2,531.87.  Last month, as many as 41 creditors submitted total claims of Rs 49,193.46 crore and IRP admitted more than 95 per cent of the amount as dues.","Business, Reliance Communications",https://www.moneycontrol.com//news/business/claims-against-rcom-swell-to-rs-57382-cr-reliance-adag-cos-among-claimants_12656521.html
8,RCV02,2019-05-31T21:02:05+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}","RCom lenders claim Rs 49,193-crore dues","The list showed that China Development Bank (CDB) claimed dues of Rs 9,863.89 crore and the IRP has admitted the entire claim.  ","Financial creditors of Reliance Communications have submitted claims of over Rs 49,193 crore, which showed that China Development Bank, LIC and SBI have the highest exposure in the dues.  According to the list, Interim Resolution Professional (IRP) Pardeep Kumar Sethi has admitted claims of Rs 47,038.79 crore and the remaining amount has been put for verification.  The list showed that China Development Bank (CDB) claimed dues of Rs 9,863.89 crore and the IRP has admitted the entire claim.  The IRP also admitted full claims made by Life Insurance Corporation (Rs 4,758 crore), Exim Bank of China (Rs 3,356.44 crore), Standard Chartered Bank (Rs 2,130.23 crore), ICBC (Rs 1,832.89 crore), Syndicate Bank (Rs 1,225.19 crore), and Punjab National Bank (Rs 1,126.87 crore), among several others.  State Bank of India submitted a claim of Rs 4,905.37 crore but IRP admitted Rs 4,714.52 crore and set aside Rs 190.85 crore for verification. Among lead lenders, Bank of Baroda placed a claim of Rs 2,707.67 crore but IRP admitted Rs 2,531.87.  Details of operational and other creditors were not available in the note.  Anil Ambani-led RCom is under the corporate insolvency resolution process after it failed to pay dues of lenders and vendors.  Earlier this month, the National Company Law Tribunal allowed RCom to exclude the 357 days spent in litigation and admitted it for bankruptcy proceedings.  On May 24, RCom reported a consolidated net loss of Rs 7,767 crore in the fourth quarter of 2018-19 ended March 31.","Business, Reliance Communications",https://www.moneycontrol.com//news/business/rcom-lenders-claim-rs-49193-crore-dues_12605161.html
9,RCV02,2019-05-30T12:51:05+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",Ericsson considering new clauses to avoid RCom like situations,Ericsson signed managed services contract with RCom after Chinese telecom gear maker Huawei stopped services to the debt-ridden telecom operator because of payment issues.,"Swedish telecom gear maker Ericsson is considering tweaking provisions in business deals to avoid situations like those it is facing with Reliance Communications. The company sued RCom and its promoter Anil Ambani to recover dues of about Rs 1,500 crore, of which it managed to receive only Rs 550 crore.  &amp;quot;We think fairness sort of came true in the end. But of course, as we sell new deals...we try to avoid those things. But it is hard to tell because who could have seen that coming. That was a tough period,&amp;quot; Peter Laurin, senior vice president and head of business area managed services at Ericsson told PTI.  He was responding to a question whether the company is planning to bring any change in business provisions following the RCom issue.  Ericsson signed managed services contract with RCom after Chinese telecom gear maker Huawei stopped services to the debt-ridden telecom operator because of payment issues.  However, experts feel that Ericsson may have to deposit the amount back in trust and retentionship account.  The National Company Law Appellate Tribunal (NCLAT) on April 30 allowed insolvency proceedings against RCom after the Anil Ambani-led firm withdrew a challenge to such a move.  &amp;quot;The immediate fallout of IBC proceedings would be that the payment of Rs 550 crore made by RCom to Ericsson would be questioned by the financial creditors.  &amp;quot;Under IBC (Insolvency and Bankruptcy Code), no payment can be made to any creditor, much less an operational creditor during CIRP (Corporate Insolvency Resolution Process),&amp;quot; Punit Dutt Tyagi, Partner, Lakshmikumaran &amp;amp;amp; Sridharan &nbsp;said.  He said the payment to Ericsson has been made during CIRP, and that too pursuant to the proceedings under IBC, it is quite likely that Committee of Creditors/NCLT may ask Ericsson to deposit the amount with the resolution professional.  The Swedish firm posted decline in sales contribution from India in the first quarter of 2019 to 4 per cent compared to 6 per cent recorded in the same period a year ago.  Laurin said India is very important for managed services business of Ericsson but at the same time it is complex and a demanding market too.  &ldquo;India is super important. It is important for two reasons. It is important because we have some of our largest customers here. We are doing a lot of managed services for both Bharti Airtel and Vodafone Idea. With lot of operations, it is very complex and very demanding market too,&rdquo; he said.  With around 25,000 employees, Ericsson has the largest employee base in India and largest offshore site for managed services.  Laurin said Ericsson is now placing a lot of trust on Indian engineers because of their competency.  &ldquo;We are putting a lot of trust in Indian engineers who are operating these networks on behalf of our customers worldwide. We have four centres worldwide with India being the biggest, the others being Romania, Mexico and China.  &amp;quot;We are increasing our focus on India as a hub for our managed services. It is not only about labour, which was a big thing in past. Now it is very much about competence and about accessing great engineers with great capabilities,&amp;quot; he said.  The company has plans to hire 300 data scientists in India, Sweden, and Silicon Valley (the US) together as it looks to upscale its capacity in the field of artificial intelligence.  &ldquo;We are interviewing now for India. We believe that half of that 300 will be in India,&rdquo; Laurin said.  The company has already hired 100 data scientists in India and expects the number to reach 150 by the end of this calendar year.","Business, Companies",https://www.moneycontrol.com//news/business/ericsson-considering-new-clauses-to-avoid-rcom-like-situations_12588961.html
