,company,datePublished,author,headline,description,articleBody,tags,url
0,RP01,2017-09-15T14:59:19+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Rainbow Papers: Outcome of board meeting,"We had submitted outcome for the board meeting held on 14th September, 2017, however on checking we came to know about clerical mistake in the share exchange ratio mentioned in the outcome of the Board Meeting submitted to you, we hereby submit revised and corrected outcome along with disclosure in respect of the aforesaid Scheme as required under Regulation 30 of the SEBI (Listing Obligations and","We had submitted outcome for the board meeting held on 14th September, 2017, however on checking we came to know about clerical mistake in the share exchange ratio mentioned in the outcome of the Board Meeting submitted to you, we hereby submit revised and corrected outcome along with disclosure in respect of the aforesaid Scheme as required under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 are enclosed as Annexure 1Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/rainbow-papers-outcomeboard-meeting_9689901.html
1,RP01,2017-08-12T12:42:27+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Rainbow Papers: Outcome of board meeting,"With reference to the above captioned subject, please find herewith the outcome of the meeting of the Board of Directors.","With reference to the above captioned subject, please find herewith the outcome of the meeting of the Board of Directors of M/s. Rainbow Paper Limited held on 12th August, 2017, at the registered office of the company:    i. The Board of Directors has approved the Secretarial Audit Report for the financial year ended on 31st March, 2017 received from the Practicing Company Secretary.   ii. The Board of Directors has approved the draft of Directors' Report.  iii. Board Of Directors has reappointed Mr. Rahul Maheshwari,Executive Director for a term of 5 years ,subject to the approval of members in General Meeting.  iv. Board of Directors have decided to review conducting of 31st Annual General Meeting of the company and its venue at the later Board Meeting which is tentatively scheduled to be held in the end of this month.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/rainbow-papers-outcomeboard-meeting_9466201.html
2,RP01,2017-08-02T16:05:26+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","Rainbow Papers' board meeting on August 12, 2017","With reference to the above subject, we are pleased to inform you that a meeting of the Board of Directors of the company will be held on Saturday, 12th August, 2017, at the Registered Office of the Company situated at 801, Avdhesh House, Opp. Shri Guru Govind Gurudwara, Gandhinagar - Sarkhej Highway, Thaltej, Ahmedabad &ndash; 380 054.","With reference to the above subject, we are pleased to inform you that a meeting of the Board of Directors of the company will be held on Saturday, 12th August, 2017, at the Registered Office of the Company situated at 801, Avdhesh House, Opp. Shri Guru Govind Gurudwara, Gandhinagar - Sarkhej Highway, Thaltej, Ahmedabad &ndash; 380 054, to consider the following matters:    Approval of the unaudited financial results for the quarter ended on 30th June, 2017.   To consider &amp;amp; approve the Directors' Report and Corporate Governance Report for the financial year ended 31st March, 2017.   To consider &amp;amp; approve the Secretarial Audit Report for the financial year ended 31st March, 2017.   To approve the notice for convening the 31st Annual General Meeting and decide date, time and venue for the same.    Any other matter with the permission of the Chair.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/rainbow-papers39-board-meetingaugust-12-2017_9384781.html
3,RP01,2017-02-14T22:51:11+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Rainbow Papers: Outcome of board meeting,"Rainbow Papers has informed about Outcome of Board Meeting held on February 14, 2017.","Rainbow Papers Ltd has informed BSE about Outcome of Board Meeting held on February 14, 2017.Source : BSE Read all announcements in Rainbow Papers",Announcements,https://www.moneycontrol.com//news/announcements/rainbow-papers-outcomeboard-meeting_8497381.html
4,RP01,2016-09-28T21:29:19+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Rainbow Papers: Outcome of AGM,"Rainbow Papers has informed that the 30th Annual General Meeting (AGM) of the Company was held on September 28, 2016.","Rainbow Papers Ltd has informed BSE that the 30th Annual General Meeting (AGM) of the Company was held on September 28, 2016.Source : BSE Read all announcements in Rainbow Papers",Announcements,https://www.moneycontrol.com//news/announcements/rainbow-papers-outcomeagm_7538661.html
5,RP01,2016-07-18T15:43:40+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Rainbow Papers: Outcome of board meeting,"Rainbow Papers Ltd has informed BSE that the Board of Directors of the Company at its meeting held on July 18, 2016, has finalized M/s. Link Intime India Pvt. Ltd., as Company's new Registrar &amp;amp; Share Transfer Agent to take over the charge from M/s Sharepro Services (India) Pvt. Ltd.","Rainbow Papers Ltd has informed BSE that the Board of Directors of the Company at its meeting held on July 18, 2016, has :- The Board has finalized M/s. Link Intime India Pvt. Ltd., as Company's new Registrar &amp;amp; Share Transfer Agent to take over the charge from M/s Sharepro Services (India) Pvt. Ltd. in compliance with SEBI order dated March 22, 2016. The documentation for shifting of RTA Services is under process.Source : BSE Read all announcements in Rainbow Papers",Announcements,https://www.moneycontrol.com//news/announcements/rainbow-papers-outcomeboard-meeting_7058501.html
6,RP01,2016-06-07T21:29:09+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Rainbow Papers: Outcome of board meeting,"Rainbow Papers at its meeting held on June 07, 2016, has authorized Shri Rajpal Singh, Authorised Person of the Company as Informant to file the reference with the Board for Industrial and Financial Reconstruction [BIFR] in Form 'A' as prescribed by Honourable BIFR.","Rainbow Papers Ltd has informed BSE that the Board of Directors of the Company at its meeting held on June 07, 2016, inter alia, has authorized Shri Rajpal Singh, Authorised Person of the Company as Informant to file the reference with the Board for Industrial and Financial Reconstruction [BIFR] in Form 'A' as prescribed by Honourable BIFR.Source : BSE Read all announcements in Rainbow Papers",Announcements,https://www.moneycontrol.com//news/announcements/rainbow-papers-outcomeboard-meeting_6826381.html
7,RP01,2016-06-03T21:19:02+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Rainbow Papers board meeting on June 07, 2016","Rainbow Papers' board meeting will be held on June 07, 2016, to consider &amp;amp; approve the Directors' Report and Corporate Governance for the financial year ended March 31, 2016. To consider &amp;amp; approve the Secretarial Audit Report for the financial year ended March 31, 2016.","Rainbow Papers Ltd has informed BSE that a meeting of the Board of Directors of the Company will be held on June 07, 2016, inter alia, to consider the following matters:1. To consider &amp;amp; approve the Directors' Report and Corporate Governance for the financial year ended March 31, 2016.2. To consider &amp;amp; approve the Secretarial Audit Report for the financial year ended March 31, 2016.3. To approve the notice for convening the 30th Annual General Meeting and decide date, time and venue for the same.Source : BSE Read all announcements in Rainbow Papers",Announcements,https://www.moneycontrol.com//news/announcements/rainbow-papers-board-meetingjune-07-2016_6811241.html
8,RP01,2016-05-31T12:13:37+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Rainbow Papers: Outcome of board meeting,"Rainbow Papers Ltd has informed BSE that the Board of Directors of the Company at its meeting held on May 30, 2016, has considered the recommendation of ratification of appointment of M/s. Mehta Lodha &amp;amp; Co., Chartered Accountants, as Statutory Auditors of the Company for the FY 2016-17.","Rainbow Papers Ltd has informed BSE that the Board of Directors of the Company at its meeting held on May 30, 2016, inter alia, has transacted the following:- Recommendation of ratification of appointment of M/s. Mehta Lodha &amp;amp; Co., Chartered Accountants, as Statutory Auditors of the Company for the FY 2016-17.Source : BSE Read all announcements in Rainbow Papers",Announcements,https://www.moneycontrol.com//news/announcements/rainbow-papers-outcomeboard-meeting_6783881.html
9,RP01,2016-02-12T10:14:26+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Rainbow Papers consolidated Dec '15 sales at Rs 69.78 crore,Rainbow Papers has reported a consolidated total income from operations of Rs 69.78 crore and a net loss of Rs 47.98 crore for the quarter ended Dec '15,"Rainbow Papers has reported a consolidated total income from operations of Rs 69.78 crore and a net loss of Rs 47.98 crore for the quarter ended Dec '15.For the quarter ended Dec 2014 the consolidated total income from operations was Rs 305.26 crore and net profit was Rs 4.57 crore.Rainbow Papers shares closed at 30.80 on February 11, 2016 (NSE) and has given -54.03% returns over the last 6 months and -57.07% over the last 12 months.Rainbow PapersConsolidated Quarterly Results-------- in Rs. Cr. --------Dec '15Sep '15Dec '14Net Sales/Income from operations69.1090.82304.31Other Operating Income0.681.270.95Total Income From Operations69.7892.09305.26EXPENDITUREConsumption of Raw Materials54.7756.5545.71Purchase of Traded Goods2.5634.59198.76Increase/Decrease in Stocks1.06-4.76-2.02Power &amp;amp; Fuel------Employees Cost5.175.655.50Depreciation9.199.199.82Excise Duty------Admin. And Selling Expenses------R &amp;amp; D Expenses------Provisions And Contingencies------Exp. Capitalised------Other Expenses26.4133.0024.36P/L Before Other Inc., Int., Excpt. Items &amp;amp; Tax-29.38-42.1323.13Other Income3.474.093.18P/L Before Int., Excpt. Items &amp;amp; Tax-25.91-38.0426.31Interest22.0718.1621.74P/L Before Exceptional Items &amp;amp; Tax-47.98-56.204.57Exceptional Items------P/L Before Tax-47.98-56.204.57Tax------P/L After Tax from Ordinary Activities-47.98-56.204.57Prior Year Adjustments------Extra Ordinary Items------Net Profit/(Loss) For the Period-47.98-56.204.57Minority Interest------Share Of P/L Of Associates------Net P/L After M.I &amp;amp; Associates-47.98-56.204.57Equity Share Capital21.2421.2421.24Reserves Excluding Revaluation Reserves------Equity Dividend Rate (%)------EPS Before Extra OrdinaryBasic EPS-4.52-5.300.43Diluted EPS-4.52-5.300.43EPS After Extra OrdinaryBasic EPS-4.52-5.300.43Diluted EPS-4.52-5.300.43Public Share HoldingNo Of Shares (Crores)--5.995.99Share Holding (%)--56.3556.35Promoters and Promoter Group Shareholdinga) Pledged/Encumbered- Number of shares (Crores)--3.533.18- Per. of shares (as a % of the total sh. of prom. and promoter group)--76.0968.68- Per. of shares (as a % of the total Share Cap. of the company)--33.2129.98b) Non-encumbered- Number of shares (Crores)--1.111.45- Per. of shares (as a % of the total sh. of prom. and promoter group)--23.9131.32- Per. of shares (as a % of the total Share Cap. of the company)--10.4413.67Source :  Dion Global Solutions Limited","paper, Rainbow Papers, Results",https://www.moneycontrol.com//news/results/rainbow-papers-consolidated-dec-15-sales-at-rs-6978-crore_5432721.html
