,company,datePublished,author,headline,description,articleBody,tags,url
0,S15,2017-11-03T14:08:45+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","SRS's board meeting on November 14, 2017",Intimation of Board Meeting.,"At 13:52 hrs SRS was quoting at Rs 2.70, down Rs 0.03, or 1.10 percent.  The share touched its 52-week high Rs 8.25 and 52-week low Rs 2.33 on 30 January, 2017 and 06 June, 2017, respectively.    Currently, it is trading 67.27 percent below its 52-week high and 15.88 percent above its 52-week low.    Market capitalisation stands at Rs 75.22 crore.  Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/srs39s-board-meetingnovember-14-2017_9981661.html
1,S15,2017-02-14T22:50:32+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",SRS: Outcome of board meeting,"SRS has informed about Outcome of Board Meeting held on February 14, 2017.","SRS Ltd has informed BSE about Outcome of Board Meeting held on February 14, 2017.Source : BSE Read all announcements in SRS",Announcements,https://www.moneycontrol.com//news/announcements/srs-outcomeboard-meeting_8497101.html
2,S15,2017-01-27T21:25:42+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",SRS: Outcome of board meeting,"SRS has informed regarding Outcome of Board Meeting held on January 27, 2017.","SRS Ltd has informed BSE regarding Outcome of Board Meeting held on January 27, 2017.Source : BSE Read all announcements in SRS",Announcements,https://www.moneycontrol.com//news/announcements/srs-outcomeboard-meeting_8359101.html
3,S15,2017-01-25T14:48:02+05:30,"{'@type': 'Person', 'name': 'Faizan Javed'}",SRS in talks to sell cinema business,"&amp;quot;Due to liquidity issues, the company had decided to sell the 'Cinemas' and 'Retail' divisions of the company,&amp;quot; SRS Ltd said in a regulatory filing.","Facing &amp;quot;liquidity issues&amp;quot;, diversified company SRS Ltd today said it is in talks with multiplex operators including INOX and private equity players to sell its cinema business. &amp;quot;Due to liquidity issues, the company had decided to sell the 'Cinemas' and 'Retail' divisions of the company,&amp;quot; SRS Ltd said in a regulatory filing. &amp;quot;The Expression of Interest (EOI) for cinema division has been received by few players of the cinema exhibition business and private equity, including INOX, however, financial bids are yet to be received,&amp;quot; it said. SRS Cinemas operates over 50 screens in over 15 cities in the country. SRS Ltd stock was trading nearly 20 percent up at Rs 6.33 in the afternoon trade on BSE.","Business, Cinema, Cinemas, INOX, SRS",https://www.moneycontrol.com//news/business/srstalks-to-sell-cinema-business_8343261.html
4,S15,2016-12-14T21:12:07+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",SRS Q2 net loss at Rs 20.22cr,"The company had clocked a net profit of Rs 14.24 crore in the same period last year, the company said in a BSE filing.","Diversified company SRS Ltd today posted a standalone net loss of Rs 20.22 crore in the second quarter of this fiscal due to sluggish sales. The company had clocked a net profit of Rs 14.24 crore in the same period last year, the company said in a BSE filing. The company's income during the second quarter of the fiscal declined sharply to Rs 155.77 crore from 1,093.26 crore in the year-ago period. The company posted losses in its gold and jewellery as well as retail segments during the quarter.","Results, SRS",https://www.moneycontrol.com//news/results/srs-q2-net-loss-at-rs-2022cr_8115441.html
5,S15,2016-11-10T14:29:16+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",SRS: Outcome of board meeting,"SRS Ltd has informed BSE regarding Outcome of Board Meeting held on November 10, 2016.","SRS Ltd has informed BSE regarding Outcome of Board Meeting held on November 10, 2016.Source : BSE Read all announcements in SRS",Announcements,https://www.moneycontrol.com//news/announcements/srs-outcomeboard-meeting_7941401.html
6,S15,2016-10-04T18:36:04+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",SRS: Outcome of AGM,"SRS Ltd has informed that the 16th Annual General Meeting (AGM) of the Company was held on September 30, 2016.","SRS Ltd has informed BSE that the 16th Annual General Meeting (AGM) of the Company was held on September 30, 2016.Source : BSE Read all announcements in SRS",Announcements,https://www.moneycontrol.com//news/announcements/srs-outcomeagm_7572701.html
7,S15,2016-08-30T12:18:36+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",SRS subsidiary to set up 5 screen multiplex at Bareilly,"SRS Ltd has informed BSE that SRS Entertainment India Limited (Formerly known as SRS Entertainment Limited), a wholly-owned subsidiary Company, has signed up for setting up of 5 screen multiplex at Bareilly with seating capacity of 1126 seats.","SRS Ltd has informed BSE that SRS Entertainment India Limited (Formerly known as SRS Entertainment Limited), a wholly-owned subsidiary Company, has signed up for setting up of 5 screen multiplex at Bareilly with seating capacity of 1126 seats.Presently, the Company operates 62 screens with total capacity of 16099 Seats across 17 cities with 22 properties.Source : BSE Read all announcements in SRS",Announcements,https://www.moneycontrol.com//news/announcements/srs-subsidiary-to-set5-screen-multiplex-at-bareilly_7368601.html
8,S15,2016-08-24T13:20:26+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",SRS: Outcome of board meeting,"SRS Ltd has informed BSE regarding Outcome of Board Meeting held on August 24, 2016.","SRS Ltd has informed BSE regarding Outcome of Board Meeting held on August 24, 2016.Source : BSE Read all announcements in SRS",Announcements,https://www.moneycontrol.com//news/announcements/srs-outcomeboard-meeting_7333281.html
9,S15,2016-08-11T13:42:11+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","SRS' board meeting on August 24, 2016","SRS Ltd has informed BSE that the meeting of the Board of Directors of the Company will be held on August 24, 2016, to decide the date of 16th Annual General Meeting of the Company and to decide the Book Closure date.","SRS Ltd has informed BSE that the meeting of the Board of Directors of the Company will be held on August 24, 2016, inter alia, to consider the following:1. To decide the date of 16th Annual General Meeting of the Company.2. To decide the Book Closure date.Source : BSE Read all announcements in SRS",Announcements,https://www.moneycontrol.com//news/announcements/srs-board-meetingaugust-24-2016_7252021.html
10,S15,2016-07-12T13:43:57+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","SRS' board meeting on July 13, 2016","SRS Ltd has informed BSE that a meeting of the Board of Directors of the Company will be held on July 13, 2016, inter alia, to reconsider the proposal of sub-division of equity shares from Rs.10/- each to Re.1/- each.","SRS Ltd has informed BSE that a meeting of the Board of Directors of the Company will be held on July 13, 2016, inter alia, to reconsider the proposal of sub-division of equity shares from Rs.10/- each to Re.1/- each.Source : BSE Read all announcements in SRS",Announcements,https://www.moneycontrol.com//news/announcements/srs-board-meetingjuly-13-2016_7019221.html
11,S15,2016-06-09T08:50:59+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",SRS: Outcome of board meeting,"SRS Ltd has informed BSE regarding Outcome of Board Meeting held on June 08, 2016.","SRS Ltd has informed BSE regarding Outcome of Board Meeting held on June 08, 2016.Source : BSE Read all announcements in SRS",Announcements,https://www.moneycontrol.com//news/announcements/srs-outcomeboard-meeting_6834901.html
