,company,datePublished,author,headline,description,articleBody,tags,url
0,SBM01,2017-04-25T13:09:27+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Sharon Bio Medicine: Outcome of board meeting,"Sharon Bio Medicine has informed that Mr. Harish Palecanda &amp;amp; Dr. Nivedita Patil has resigned as independent directors w.e.f 01 April,2017.","Resignation of Mr. Harish Palecanda &amp;amp; Dr. Nivedita Patil as independent directors w.e.f 01 April,2017.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/sharon-bio-medicine-outcomeboard-meeting_8897501.html
1,SBM01,2016-11-03T13:24:14+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Sharon Bio-Medicine's board meeting on November 10, 2016","Sharon Bio-Medicine Ltd has informed BSE that the meeting of the Board of Directors of the Company will be held on November 10, 2016, to take on record the Unaudited Financial Results for the Quarter ended September 30, 2016 along with the Limited Review Report.","Sharon Bio-Medicine Ltd has informed BSE that the meeting of the Board of Directors of the Company will be held on November 10, 2016, inter alia:- To take on record the Unaudited Financial Results for the Quarter ended September 30, 2016 along with the Limited Review ReportFurther, as per the Company's Code of Conduct for Prevention of Insider Trading, framed pursuant to the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations, 2015, the trading window for dealing in the securities of the Company will be closed from November 03, 2016 to November 12, 2016 (both days inclusive) for the purpose of declaration of financial results of the Company for the quarter ended September 30, 2016. Accordingly, all the Directors and Designated Employees of the Company have been intimated not to enter into any transaction involving the securities of the Company during the aforesaid period of closure of trading window.Source : BSE Read all announcements in Sharon Bio Medi",Announcements,https://www.moneycontrol.com//news/announcements/sharon-bio-medicines-board-meetingnovember-10-2016_7886901.html
2,SBM01,2016-09-28T20:35:19+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Sharon Bio-Medicine: Outcome of AGM,"Sharon Bio-Medicine has informed that the 27th Annual General Meeting (AGM) of the Company was held on September 27, 2016.","Sharon Bio-Medicine Ltd has informed BSE that the 27th Annual General Meeting (AGM) of the Company was held on September 27, 2016.Source : BSE Read all announcements in Sharon Bio Medi",Announcements,https://www.moneycontrol.com//news/announcements/sharon-bio-medicine-outcomeagm_7537641.html
3,SBM01,2016-09-22T13:36:53+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Sharon Bio-Medicine appoints Deepali Bhatia as company secretary,"Sharon Bio-Medicine Ltd has informed BSE that Ms. Deepali Bhatia has been appointed as a Company Secretary &amp;amp; Compliance Officer w.e.f. September 21, 2016.","Sharon Bio-Medicine Ltd has informed BSE that Ms. Deepali Bhatia has been appointed as a Company Secretary &amp;amp; Compliance Officer w.e.f. September 21, 2016.Source : BSE Read all announcements in Sharon Bio Medi",Announcements,https://www.moneycontrol.com//news/announcements/sharon-bio-medicine-appoints-deepali-bhatia-as-company-secretary_7499101.html
4,SBM01,2016-09-20T14:08:02+05:30,"{'@type': 'Person', 'name': 'Faizan Javed'}",Sharon Bio-Medicine gets USFDA nod for API plant in Taloja,"The company, however, said it cannot start supplying to the US market as its payment for generic drug user fee is pending.","Sharon Bio-Medicine today said it has received approval from the US health regulator for its API plant at Taloja in Maharashtra. The company, however, said it cannot start supplying to the US market as its payment for generic drug user fee is pending. In a BSE filing, Sharon Bio Medicine said it has &amp;quot;received the Establishment Inspection Reports from the US Food and Drug Administration (USFDA)&amp;quot;. The inspection was conducted during June 29, 2015 to July 7, 2015 at the Taloja plant, it added. &amp;quot;The API (active pharmaceuticals ingredients) is now approved by USFDA,&amp;quot; the company said. It may be noted that the payment for Generic Drug User Fee is pending and therefore supply to the US cannot be done unless pending arrears are cleared, it said without disclosing details. Shares of Sharon Bio Medicine were trading at Rs 10.16 in the afternoon trade, up 19.95 percent on BSE.","Business, Sharon Bio Medicine, Taloja, US health",https://www.moneycontrol.com//news/business/sharon-bio-medicine-gets-usfda-nod-for-api-planttaloja_7482601.html
5,SBM01,2016-08-01T12:12:50+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Sharon Bio-Medicine's board meeting on August 11, 2016","Sharon Bio-Medicine Ltd has informed BSE that a meeting of the Board of Directors of the Company will be held on August 11, 2016.","Sharon Bio-Medicine Ltd has informed BSE that a meeting of the Board of Directors of the Company will be held on August 11, 2016.Source : BSE Read all announcements in Sharon Bio Medi",Announcements,https://www.moneycontrol.com//news/announcements/sharon-bio-medicines-board-meetingaugust-11-2016_7156881.html
6,SBM01,2016-06-21T21:52:15+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Sharon Bio Medi: Outcome of board meeting,"Sharon Bio-Medicine at its meeting held on June 21, 2016, has  Discussed the current financial position of the Company and decided to introduce more profitable products increase capacity utilization and get the business to move in the regulated markets specifically the United States of America.","Sharon Bio-Medicine Ltd has informed BSE that the Board of Directors of the Company at its meeting held on June 21, 2016, has:- Discussed the current financial position of the Company and decided to introduce more profitable products increase capacity utilization and get the business to move in the regulated markets specifically the United States of America.Source : BSE Read all announcements in Sharon Bio Medi",Announcements,https://www.moneycontrol.com//news/announcements/sharon-bio-medi-outcomeboard-meeting_6904581.html
7,SBM01,2016-06-16T21:01:35+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Sharon Bio-Medicine board meeting on June 21, 2016","Sharon Bio-Medicine's board meeting will be held on June 21, 2016, to consider and discuss the overall financial viability of the Company.","Sharon Bio-Medicine Ltd has informed BSE that a meeting of the Board of Directors of the Company will be held on June 21, 2016, inter alia, to consider and discuss the overall financial viability of the Company.Source : BSE Read all announcements in Sharon Bio Medi",Announcements,https://www.moneycontrol.com//news/announcements/sharon-bio-medicine-board-meetingjune-21-2016_6879861.html
8,SBM01,2016-06-15T15:39:03+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Sharon Bio-Medicine's company secretary Viral Dilip Vora resigns,"Sharon Bio-Medicine Ltd has informed BSE that Mr. Viral Dilip Vora, being Company Secretary in whole time in employment has resigned as a Company Secretary as well as Compliance Officer of the Company w.e.f. May 31, 2016.","Sharon Bio-Medicine Ltd has informed BSE that Mr. Viral Dilip Vora, being Company Secretary in whole time in employment has resigned as a Company Secretary as well as Compliance Officer of the Company w.e.f. May 31, 2016.Source : BSE Read all announcements in Sharon Bio Medi",Announcements,https://www.moneycontrol.com//news/announcements/sharon-bio-medicines-company-secretary-viral-dilip-vora-resigns_6869881.html
9,SBM01,2016-05-20T15:31:42+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Sharon Bio-Medicine's board meeting on May 30, 2016","Sharon Bio-Medicine Ltd has informed BSE that the meeting of the Board of Directors of the Company will be held on May 30, 2016 to consider and approve the Standalone and Consolidated Audited Financial Results of the Company for the quarter and nine months period ended March 31, 2016.","Sharon Bio-Medicine Ltd has informed BSE that the meeting of the Board of Directors of the Company will be held on May 30, 2016.-To consider and approve the Standalone and Consolidated Audited Financial Results of the Company for the quarter and nine months period ended March 31, 2016.Further, pursuant to the Securities and Exchange Board of India [Prohibition of Insider Trading) Regulations, 2015, the trading window for dealing in the securities of the Company will be closed for the purpose of declaration of financial results of the Company from May 20, 2016 to June 01, 2016.Source : BSE Read all announcements in Sharon Bio Medi",Announcements,https://www.moneycontrol.com//news/announcements/sharon-bio-medicines-board-meetingmay-30-2016_6710961.html
