,company,datePublished,author,headline,description,articleBody,tags,url
0,SCT02,2017-11-06T11:10:54+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Shilpi Cable Technologies' board meeting adjourned,"In view of that Board has decided to adjourn the meeting to next day i.e. Sunday, 05th November, 2017, inter-alia, to consider, approve and take on record the Standalone and Consolidated Audited Financial Results of the Company for the quarter and year ended on 31st March, 2017.","Shilpi cable technologies Limited informed the exchanges that directors presented at the meeting (held today) suggested some changes in the financial results which are necessary to be incorporated in the results. Our finance team needs time to amend the suggested changes. In view of that Board has decided to adjourn the meeting to next day i.e. Sunday, 05th November, 2017, inter-alia, to consider, approve and take on record the Standalone and Consolidated Audited Financial Results of the Company for the quarter and year ended on 31st March, 2017.  Further, in terms of the Company' Code of Conduct for Trading by Insiders, the Trading Window for dealing in the securities of the Company will continue to remain closed for all directors, officers, designated employees and connected persons of the Company till end of 48 hours after the results are made public on 05th November, 2017Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/shilpi-cable-technologies39-board-meeting-adjourned_9997241.html
1,SCT02,2017-11-06T08:43:05+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Shilpi Cable Technologies: Outcome of board meeting,"Shilpi Cable Technologies Limited informed the Exchanges that Board of Directors at their meeting held today i.e. 05th November, 2017, has considered and approved the Audited Standalone and Consolidated financial results for the Quarter and Year ended 31st March, 2017 in terms of Regulation 33 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015.","Shilpi Cable Technologies Limited informed the Exchanges that Board of Directors at their meeting held today i.e. 05th November, 2017, has inter-alia considered and approved the following:  1. Audited Standalone and Consolidated financial results for the Quarter and Year ended 31st March, 2017 in terms of Regulation 33 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. A copy of the same along with the Audit Reports (Standalone &amp;amp; Consolidated) given by Statutory Auditor is attached herewith.  2. Fixing of day, date &amp;amp; Place of 11th Annual General Meeting of the Company i.e. Thursday, 30th November, 2017 at Mapple Emerald, Rajokri, National Highway-8, New Delhi-110038.  The adjourned Board meeting started at 06.00 p.m. and concluded at 10.30 p.m.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/shilpi-cable-technologies-outcomeboard-meeting_9993041.html
2,SCT02,2017-07-03T09:35:41+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Shilpi Cable: Outcome of board meeting,"The Board of Directors on 30th June, 2017 has considered and approved the appointment of Ms. Nalini Malhotra as Additional Director of the Company with effect from 30th June, 2017 (Women Independent Director).","The Board of Directors on 30th June, 2017 has inter-alia considered and approved the following:  1. Appointment of Ms. Nalini Malhotra as Additional Director of the Company with effect from 30th June, 2017 (Women Independent Director).  2. Appointment of Mr. Gurvinder Singh as Company Secretary and Compliance officer of the Company with effect from 01st July, 2017.  The Board meeting started at 05.00 p.m. and concluded at 06.15 p.m.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/shilpi-cable-outcomeboard-meeting_9198381.html
3,SCT02,2017-06-12T14:47:59+05:30,"{'@type': 'Person', 'name': 'Rakesh Patil'}","Exit Shilpi Cable Technologies, says Prakash Gaba",Prakash Gaba of prakashgaba.com is of the view that one may exit Shilpi Cable Technologies.,"Prakash Gaba of prakashgaba.com told CNBC-TV18, &amp;quot;Shilpi Cable Technologies has a circuit on the way down. You cannot exit even if you want to. I would exit at the first opportunity and stay out.&amp;quot;  At 14:26 hrs Shilpi Cable Technologies was quoting at Rs 23.30, down Rs 1.20, or 4.90 percent.  It has touched a 52-week low of Rs 23.30 on the BSE.","Prakash Gaba of prakashgaba.com, Shilpi Cable Technologies, Stocks Views",https://www.moneycontrol.com//news/stocks-views/exit-shilpi-cable-technologies-says-prakash-gaba_9085661.html
4,SCT02,2017-05-11T14:35:52+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Shilpi Cable Technologies to consider Bonus Issue,"Shilpi Cable Technologies Ltd has informed BSE that a meeting of the Board of Directors of the Company is scheduled to be held on May 28, 2017, inter alia, to consider and approve issue of fully paid-up Bonus Shares to the Shareholders of the Company on proportionate basis, in such proportion as the Board may deem fit.","Shilpi Cable Technologies Ltd has informed BSE that a meeting of the Board of Directors of the Company is scheduled to be held on May 28, 2017, inter alia, to consider and approve issue of fully paid-up Bonus Shares to the Shareholders of the Company on proportionate basis, in such proportion as the Board may deem fit.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/shilpi-cable-technologies-to-consider-bonus-issue_8907021.html
5,SCT02,2017-03-31T23:05:29+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Shilpi Cable director Vikas Gupta resigns,"This is to inform you that Vikas Gupta, Non Executive Independent Director of the Company, due to his ill health, has resigned from the Board of Directors of the Company with effect from March 30, 2017.","This is to inform you that Mr. Vikas Gupta, Non Executive Independent Director of the Company, due to his ill health, has resigned from the Board of Directors of the Company with effect from March 30, 2017.Source : BSE Read all announcements in Shilpi Cable",Announcements,https://www.moneycontrol.com//news/announcements/shilpi-cable-director-vikas-gupta-resigns_8724121.html
6,SCT02,2017-03-09T09:11:31+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Shilpi Cable Technologies; Outcome of board meeting,"Shilpi Cable Technologies as its meeting held on March 8, 2017 has approved the issue of unlisted, unsecured, redeemable, non-convertible debentures.","Intimation under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations,2015Source : BSE Read all announcements in Shilpi Cable",Announcements,https://www.moneycontrol.com//news/announcements/shilpi-cable-technologies-outcomeboard-meeting_8618481.html
7,SCT02,2016-12-30T23:26:49+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Shilpi Cable Technologies: Outcome of board meeting,"Shilpi Cable Technologies has informed that the Board of Directors in their meeting held on December 30, 2016 has proposed to invest in Gulf Aglow LED Lighting FZCO a company incorporated within the laws of UAE.","Shilpi Cable Technologies Ltd has informed BSE that the Board of Directors in their meeting held on December 30, 2016 has proposed to invest in Gulf Aglow LED Lighting FZCO a company incorporated within the laws of UAE.Source : BSE Read all announcements in Shilpi Cable",Announcements,https://www.moneycontrol.com//news/announcements/shilpi-cable-technologies-outcomeboard-meeting_8188961.html
8,SCT02,2016-08-16T16:01:26+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Shilpi Cable Technologies appoints Ravi Shankar as company secretary,"Shilpi Cable Technologies Ltd has informed BSE that the Board of Directors at their meeting held on August 12, 2016, has appointed Mr. Ravi Shankar as Company Secretary and Compliance officer of the Company with effect from August 12, 2016.","Shilpi Cable Technologies Ltd has informed BSE that the Board of Directors at their meeting held on August 12, 2016, has appointed Mr. Ravi Shankar as Company Secretary and Compliance officer of the Company with effect from August 12, 2016 in accordance with the provisions of Section 203 of the Companies Act, 2013 and SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. The Company also informed about the appointment of Company Secretary and Compliance Officer in outcome of Board Meeting letter dated August 12, 2016.Source : BSE Read all announcements in Shilpi Cable",Announcements,https://www.moneycontrol.com//news/announcements/shilpi-cable-technologies-appoints-ravi-shankar-as-company-secretary_7286641.html
9,SCT02,2016-08-12T19:50:20+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Shilpi Cable Tech Q1 net up 13% at Rs 62.43 crore,Cable manufacturer Shilpi Cable Technologies (SCTL) today reported a 13 per cent increase in net profit to Rs 62.43 crore for the quarter ended June 30 2016.,"Cable manufacturer Shilpi Cable Technologies (SCTL) on Friday&amp;amp;nbsp;reported a 13 per cent increase in net profit to Rs 62.43 crore for the quarter ended June 30 2016. The net profit for the company in the corresponding period of the previous fiscal stood at Rs 55.49 crore. Total revenues for the April-June period grew by 12 per cent to Rs 1,128.01 crore from Rs 1,010.88 crore in the same quarter last fiscal. &amp;quot;We are beginning the financial year on a successful note with 12 per cent growth in revenues. All segments have performed well during this quarter. Our focus on consistently increasing our network and new product development using advance research and development techniques have augmented well with our vision to become a billion dollar company by 2020,&amp;quot; company's Managing Director Manish Goel said in a statement. He said that in B2C segment, its brand 'SAFE' has evoked good response with its presences in 17 states in the country and the company will continue to launch more brands in order to penetrate the B2C segment in coming quarters. &amp;quot;Demand for our products have increased in both domestic and international markets and we shall continue to tap new geographies going forward,&amp;quot; Goel added. SCTL is engaged in manufacturing of wide variety of cables used in telecom, automotive and energy segments complied with the business of wires, switches, MCB, among others in B2C segment.","PTI, Q1, Results, Shilpi Cable Technologies",https://www.moneycontrol.com//news/results/shilpi-cable-tech-q1-net13-at-rs-6243-crore_7271061.html
