,company,datePublished,author,headline,description,articleBody,tags,url
0,SG,2024-03-07T09:40:26+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",Vedanta gains on plans to move SC on Sterlite copper plant reopening,Vedanta is exploring possible legal options with respect to closure of copper smelter plant at Thoothukudi.,"Vedanta shares gained in early trade&nbsp;on March 7 as the mining major plans to file a review petition in the Supreme Court pertaining to the closure of a copper smelter plant at Thoothukudi.  At 9.20am, shares of the iron ore miner were quoting Rs 283.75 on the NSE, higher by 0.46 percent.  Follow our market blog to catch all the live updates  On March 6, shares of Vedanta fell 1.14 percent to settle at Rs 282.45 on the NSE. Over the past six months, the stock price has risen more than 18 percent as against a 14 percent rise in the frontline Nifty 50 index.  Vedanta had filed a special leave petition in the Supreme Court on April 10, 2023, against the order of the Madras HC upholding the closure of the copper smelter plant at Thoothukudi.&nbsp;On February 29, the Supreme Court dismissed Vedanta's plea seeking to reopen its Sterlite copper smelter plant in Tamil Nadu.  &amp;quot;We are conscious of the nature of the contribution of the company to the area. However, the court has to be mindful of the principle of sustainable development and the health and welfare of the residents of the area is a matter of utmost concern,&amp;quot; observed the apex court.  Also Read |&nbsp;Big setback for Vedanta: SC junks plea for reopening Sterlite copper smelter plant in Tamil Nadu  After hearing the case for five days, the court delivered its judgment, noting Vedanta's non-compliance with legal obligations, including failure to remove copper slabs from nearly 11 sites, not abiding by consent conditions for gypsum operations, and inability to obtain authorisation for hazardous waste disposal.  During the earlier hearings, the court had&nbsp;suggested setting up an expert committee&nbsp;to evaluate the possibility of opening the plant. Vedanta had agreed to set up of the committee and suggested&nbsp;certain parameters for the same. However, both the government of Tamil Nadu and the Tamil Nadu Pollution Control Board (TNPCB) were not aggregable for setting up a committee.  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Buzzing Stocks, Vedanta",https://www.moneycontrol.com//news/buzzing-stocks/vedanta-gainsplans-to-move-scsterlite-copper-plant-reopening_17488841.html
1,SG,2024-02-28T08:57:57+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","CLSA upgrades Vedanta to 'underperform', raises target price to Rs 260","Analysts at CLSA said that the company's EBITDA target guidance of $6-7.5 billion by FY25/27 will be done through capacity expansion plans, backward integration, and value additions","Global brokerage firm CLSA upgraded Vedanta shares to 'underperform' from 'sell' and raised the target price to Rs 260 from Rs 230 as the company guided an earnings before interest, tax, depreciation, and amortisation (EBITDA) target of $6-7.5 billion by FY25-27 through capacity expansion.  The mining company's stock has surged 13 percent in the past three months, as against a 10 percent rise in the benchmark Sensex. Vedanta shares had hit a 52-week high of Rs 301 on May 29, 2023.  Follow our live blog for all the market action  &amp;quot;With deleveraging, the company's capital allocation and corporate structure have been a focal point. The improvement in operational parameters will be key to re-rating. We will keenly watch out the execution of growth and margin expansion projects,&amp;quot; the brokerage firm said.  Also read:&nbsp;Options Trade | A non-directional options strategy setup in Vedanta  Earlier, analysts at Phillip Capital upgraded Vedanta to 'buy' with a target price of Rs 330 per share from Rs 290, saying that the company would avoid default and operating performance to improve on cost optimisation and better LME.  &amp;quot;We continue to hold positive outlook as we feel that commodity prices have the legroom to improve from here, driven by Chinese stimulus and improved demand in H2.&nbsp;The demerger of businesses and potential sales of the ferrous division will provide further flexibility to&nbsp;Vedanta in terms of debt management,&amp;quot; the brokerage firm added.  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Buzzing Stocks, CLSA, mining stocks, Vedanta",https://www.moneycontrol.com//news/buzzing-stocks/clsa-upgrades-vedanta-to-39underperform39-raises-target-price-to-rs-260_17479801.html
2,SG,2024-02-15T09:32:55+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","Vedanta block deal: 2.2% equity stake sold for Rs 2,255 crore, GQG likely buyer; stock falls","As per exchange details, around 8.2 crore shares or 2,2 percent equity worth Rs 2,255 crore changed hands. Moneycontrol could not independently identify the buyer.","Shares of Vedanta Resources fell on NSE on February 15,&nbsp;after 8.2 crore shares changed hands in block deals. Earlier, ET Now reported that the promoters were looking to sell stake worth&nbsp;$1 billion in the company to Rajiv Jain's investment firm GQG Partners. At 9:25&nbsp;am, the stock was trading down 1 percent at Rs 277.  As per exchange details, around 2.2 percent equity stake worth Rs 2,255 crore in Vedanta Ltd changed hands in block deals. Moneycontrol could not independently identify the buyer.  Follow our market blog for live updates  The&nbsp;news of the stake sale comes at a time when&nbsp;Vedanta is facing around $6.4 billion in outstanding debt, including a $4.5 billion payment due by fiscal 2025. The promoter and group entities, as of December 2023, held a total of 63.71 percent stake in Vedanta .  Over the last one year, foreign portfolio investor, GQG Partners has increased stakes in other Indian companies, including Adani Ports and GMR Airport Infrastructure..  Also read:&nbsp;SC proposes panel to explore restart of Vedanta's Tamil Nadu copper smelter plant  On February 14, the Supreme Court said that it could constitute a panel to study the feasibility of restarting the shut&nbsp;Sterlite copper smelting plant which is owned by Vedanta in Tuticorin. Vedanta is the parent company of Sterlite. In 2018, the plant was shut down after&nbsp;protests against the plant had resulted in 13 deaths due to police firing.  In Q3, the Anil Agarwal-led company reported&nbsp;a 40.81 percent&nbsp;decline in consolidated net profit&nbsp;to Rs 2,464 crore while revenue for the quarter was flat at Rs 33,691. Speaking to Moneycontrol, Deven Choksey, Director, DR Choksey, said that as Vedanta is passing through a restructuring program there is going to be some amount of balance sheet challenge, for some time to come because of which it is likely&nbsp;that the stocks will not perform as much.  Disclaimer: The views and investment tips expressed by investment experts on&nbsp;Moneycontrol.com&nbsp;are their own and not those of the website or its management.&nbsp;Moneycontrol.com&nbsp;advises users to check with certified experts before taking any investment decisions. ","Buzzing Stocks, Vedanta",https://www.moneycontrol.com//news/buzzing-stocks/vedanta-block-deal-22-equity-stake-sold-for-rs-2255-crore-gqg-likely-buyer-stock-falls_17453551.html
3,SG,2024-02-15T07:17:04+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/reuters-6885/', 'name': 'Reuters'}",Vedanta's parent may sell $1 billion worth shares to GQG,"Saddled with $6.4 billion in outstanding debt, including a $4.5 billion payment due by fiscal 2025, Vedanta Resources has been attempting to shore up its finances, including through a recent debt restructuring.","Vedanta Resources, the parent of Indian miner Vedanta Ltd, may sell about $1 billion worth shares in the company to investment firm GQG Partners via block deals, television channel ET Now reported on Wednesday citing sources.  Vedanta did not immediately respond to a Reuters request for comment.  Saddled with $6.4 billion in outstanding debt, including a $4.5 billion payment due by fiscal 2025, Vedanta Resources has been attempting to shore up its finances, including through a recent debt restructuring.  Group Chairman Anil Agarwal has made several bids to trim debt, including an unsuccessful attempt to take the company private in 2020 and plans to split Vedanta into six companies.  GQG Partners had raised its stake in billionaire Gautam Adani-owned Adani Ports and Special Economic Zone in August last year.","Business, Companies, Vedanta",https://www.moneycontrol.com//news/business/vedanta39s-parent-may-sell-361-billion-worth-shares-to-gqg_17453251.html
4,SG,2024-01-30T22:17:00+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Neutral Vedanta; target of Rs 270: Motilal Oswal,"Motilal Oswal recommended Neutral rating on Vedanta with a target price of Rs 270 in its research report dated January 27, 2024.","Motilal Oswal's research report on Vedanta Vedanta (VEDL) delivered the highest ever 3Q consolidated net sales at INR355b (up 4% YoY), which was 6% higher than our estimate of INR337b. The revenue was driven by higher sales volumes and favorable movements in forex, which were partially offset by a fall in commodity (input) prices.&nbsp; VEDL&rsquo;s consolidated EBITDA stood at INR85b (up 21% YoY), which was a 28% beat to our estimate of INR67b. EBITDA margin for 3QFY24 improved ~440bp to 24%. The beat was driven by higher volumes across business verticals and a strong focus on cost reduction initiatives. Aluminum and HZ reported the highest ever 9M volumes and they are now in the first quartile of the global aluminum and zinc mining cost curves. APAT for the quarter stood at INR20b (up 29% YoY) against our estimate of INR10b. The beat was supported by better operating performance, lower finance cost, and higher other income, which were partially offset by higher depreciation and tax outgo. Outlook During 9MFY24, revenue stood at INR1,034b (-5.5% YoY), EBITDA was at INR216b (-13.6% YoY), and PAT stood at INR34b (-54.1% YoY). Reiterate Neutral with a revised SoTP-based TP of INR270. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Vedanta - 2912024 - moti","Motilal Oswal, neutral, Recommendations, Vedanta",https://www.moneycontrol.com//news/recommendations/neutral-vedanta-targetrs-270-motilal-oswal_17421381.html
5,SG,2024-01-04T09:47:30+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",Vedanta shares gain after bondholders clear $3.2-billion bonds recast,"The meetings in respect of each of the four series of bonds will be held on January 4, following which the company will make an announcement about the passing of the extraordinary resolution in respect of each series of bonds.","Shares of Vedanta Limited gained 1.2&nbsp;percent at the open on January 4 after Vedanta Resources received the bondholders&rsquo; consent to restructure four series of bonds. At 9:20am, the stock was trading at Rs&nbsp;266.85 on the NSE.  Follow our market blog for live updates  In a statement on January 3, Vedanta Resources ( the holding company of Vedanta Limited) said that more than&nbsp;97 percent of bondholders approved the restructuring of $3.2 billion worth of bonds due to mature in the next three years. According to the statement, the meetings over each of the four series of bonds will be held on January 4, following which the company will make an announcement about the passing of the extraordinary resolution in respect of each series.  Also read:&nbsp;Vedanta Q3 update: Mined metal output up 7% YoY, saleable silver up 22%  In a regulatory filing on the same day, Vedanta Limited reported that&nbsp;the alumina production at Lanjigarh (Odisha) refinery grew by 6 percent on-year and 1 percent on-quarter to 4,70,000 tonnes in Q3FY24. Saleable ore production from Karnataka increased 13 percent QoQ, driven by improved operational efficiency. Production declined 3 percent YoY. Pig iron production grew 1 percent YoY and declined 7 percent QoQ, on account of capital shutdown of one smaller furnace.  Disclaimer: The views and investment tips expressed by investment experts on&nbsp;Moneycontrol.com&nbsp;are their own and not those of the website or its management.&nbsp;Moneycontrol.com&nbsp;advises users to check with certified experts before taking any investment decisions.","Buzzing Stocks, Vedanta Limited",https://www.moneycontrol.com//news/buzzing-stocks/vedanta-shares-gain-after-bondholders-clear-3632-billion-bonds-recast_17388321.html
6,SG,2023-11-16T13:32:46+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",Vedanta's arm sets up new unit in Saudi Arabia for copper business,"&amp;quot;Malco Energy Ltd, a wholly-owned subsidiary of the Company, has incorporated a new wholly-owned Subsidiary in the name of 'Vedanta Copper International VCI Company Limited,&amp;quot; metal and mining giant Vedanta said in a filing to BSE.","Vedanta's arm Malco Energy Ltd has set up a new unit in Saudi Arabia for copper business at an investment of 1,00,000 Saudi riyals (Rs 22.19 lakh).  &amp;quot;Malco Energy Ltd, a wholly-owned subsidiary of the Company, has incorporated a new wholly-owned Subsidiary in the name of 'Vedanta Copper International VCI Company Limited,&amp;quot; metal and mining giant Vedanta said in a filing to BSE.  Vedanta Copper International VCI Company Limited has been incorporated to explore growth opportunities in new geographies, it said. Vedanta had earlier announced plans to demerge five of its key businesses, including aluminium, oil and gas, and steel, into separate listed entities with a view to creating shareholder value.  &amp;quot;The de-merger is planned to be a simple vertical split, for every 1 share of Vedanta Limited, the shareholders will additionally receive 1 share of each of the five newly listed companies,&amp;quot; the firm had said in a stock exchange filing.  The Board of Vedanta Ltd had approved &amp;quot;a pure-play, asset-owner business model&amp;quot; that will result in aluminium, oil and gas, power, steel and ferrous materials, and base metals being demerged and listed separately.","Business, Companies",https://www.moneycontrol.com//news/business/vedanta39s-arm-setsnew-unitsaudi-arabia-for-copper-business_17332581.html
7,SG,2023-10-12T07:19:12+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",India Ratings downgrades rating on Vedanta's debt instruments,"The ratings have been downgraded to 'IND AA-' from 'IND AA', Vedanta said in a filing to the BSE.","Vedanta Ltd said India Ratings and Research has downgraded its ratings for the long-term bank facilities and debt instruments.  The ratings have been downgraded to 'IND AA-' from 'IND AA', Vedanta said in a filing to the BSE.  &amp;quot;India Ratings and Research has placed these ratings on Rating Watch with negative implications while reaffirming the ratings on the short-term debt instruments of the company at IND A1+ and placing these ratings also on rating watch with negative implications,&amp;quot; the company said.  Vedanta, a subsidiary of Vedanta Resources Ltd, is one of the world's leading natural resources companies.","Business, Companies",https://www.moneycontrol.com//news/business/india-ratings-downgrades-ratingvedanta39s-debt-instruments_17267201.html
8,SG,2023-10-03T12:59:26+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/reuters-6885/', 'name': 'Reuters'}",Vedanta split unlikely to help parent's near-term debt crisis: Analysts,"The billionaire Anil Agarwal-led company on Friday reversed an earlier strategy of taking the entire company private, saying it will, instead, spin off into various commodity-focused companies looking to shore up financials after a string of poor results.","Metals-to-oil conglomerate Vedanta Ltd's move to split into six separate units in the next 15 months may not immediately help its UK-based parent meet a looming payment deadline for about $4.2 billion rupees of debt, at least four brokerages said.  The billionaire Anil Agarwal-led company on Friday reversed an earlier strategy of taking the entire company private, saying it will, instead, spin off into various commodity-focused companies looking to shore up financials after a string of poor results.  The conglomerate's parent, Vedanta Resources, is battling a host of rating downgrades triggered by worries over outstanding dues - $6.4 billion as of May - according to the company.  &amp;quot;The demerger does not solve the debt concern of parent company Vedanta Resources, which must repay about $4.2 billion in debt by FY25,&amp;quot; Nuvama analysts said in a research note, saying the split would not improve Vedanta's credit profile.  Agarwal's attempt in 2020 to privatise Vedanta did not materialise as investors found the de-listing price to be too low. His latest attempt to trim down the holding company's dues by getting its unit, Hindustan Zinc, to buy some of the firm's zinc assets also did not succeed due to opposition from the Indian government, which is a minority shareholder.  &amp;quot;As it will take time to complete demerger, (the process) won't be helpful for the parent company to meet debt obligation. It has insufficient revenues, and hence the likely course of action is refinancing or a stake-sale in subsidiaries,&amp;quot; Centrum Broking said in a note.  Analysts also said some of the company's non-core businesses not generating enough cash were likely to be sold after the demerger.  Vedanta shares, which have lost about one-fourth of its value this year, were up 4.5% to 232.80 rupees on Tuesday. The metals index is up about 1% so far this year.","Business, Companies",https://www.moneycontrol.com//news/business/vedanta-split-unlikely-to-help-parent39s-near-term-debt-crisis-analysts_17257851.html
9,SG,2023-10-03T11:08:11+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/nickey-mirchandani-24561/', 'name': 'Nickey Mirchandani'}",Vedanta&rsquo;s demerger fails to excite brokerages; Stock adds up 3%,Investec sees the Vedanta demerger as a strategic move that will eventually make it easier for the promoter to consider monetisation or delisting.,"Vedanta Ltd has unveiled a plan to demerge its business division into six listed entities: Vedanta Aluminium, Vedanta Oil &amp;amp;amp; Gas, Vedanta Power, Vedanta Steel and Ferrous Materials and Vedanta Base Metals. For every share they hold of Vedanta Limited, shareholders will receive one share of each of the five new companies. Currently, Vedanta Ltd and Hindustan Zinc are the group&rsquo;s only listed entities.  However, the latest stance by the management is a U- turn from Vedanta&rsquo;s previous efforts, between 2012 and 2017, to consolidate the stakes in different businesses.  Even as concerns remain,&nbsp;the latest development has led to some positive moves for the stock- which has added another 3 percent in opening deal after rallying nearly 6 percent in trade on Friday.  Even as concerns remain,&nbsp;the latest development has led to some positive moves for the stock- which has added another 3 percent in opening deal after rallying nearly 6 percent in trade on Friday.  Most brokerages have maintained their sell rating on Vedanta post the demerger announcement, barring CLSA, which has revised its rating upwards mainly due to the stock correction but reduced the target price due to capital structure uncertainty. The lack of clarity on debt profiles, reversal of past consolidation efforts, Vedanta&rsquo;s funding gap, and lack of focus on core operations are some of the concerns of these brokerages.  An interesting take has been offered by Investec Securities, which sees the demerger as a strategic move that will eventually make it easier for the promoter to consider monetisation or delisting.  Also read:&nbsp;Vedanta&rsquo;s merger-demerger merry-go-round  Here&rsquo;s what the brokerages have to say:  CLSA:  CLSA has raised its rating for Vedanta from underperform to Outperform due to a significant stock correction observed over the past three months. However, the brokerage has also reduced its target price from Rs 255 to Rs 230. This decision was made based on a lower target multiple, which was influenced by the uncertainty surrounding the company's capital structure and allocation. According to the brokerage&rsquo;s analysis, a crucial factor for a potential re-rating would be a shift in focus towards core operations.  According to CLSA, Vedanta has been adjusting its capital structure for approximately a decade, with the goal of simplification and value enhancement. It believes that this effort was also aimed at reducing leverage at the parent company, Vedanta Resources (VRL). From the brokerage&rsquo;s perspective, this shift has diverted attention away from the core business and diminished investor interest. CLSA now believes that a cleaner holding structure and renewed focus on the core business will help VRL reduce its debt, as it would facilitate the sale of stakes in operational entities and streamline brand fee payments to VRL.  Also read:&nbsp;Vedanta gains 2%, brokerages have mixed views as demerger may ease debt load  Citi:  Citi has maintained its sell rating but changed the target price to Rs 225 from Rs 222. The brokerage reckons that Vedanta&rsquo;s objective in pursuing these actions is to reduce the conglomerate discount and potentially facilitate a stake sale by the promoter. However, Citi has expressed uncertainty about whether these measures would lead to improved multiples, particularly in light of concerns about leverage at both Vedanta Resources and Vedanta. The management's lack of clarification on the debt breakdown has provided limited visibility into independent leverage ratios.  Kotak Institutional Equities:  Kotak Institutional Equities has maintained its &lsquo;Sell&rsquo; rating for Vedanta with an unchanged Fair Value (FV) of Rs 200, primarily due to what it perceives to be an unfavourable risk-reward scenario, and the belief that the demerger alone might not bring about a significant unlocking of value.  The brokerage highlights that this demerger represents a reversal of Vedanta&rsquo;s previous efforts, between 2012 and 2017, to consolidate stakes in different businesses, and contradicts the rationale behind those earlier corporate actions.  Additionally, Kotak Institutional Equities points out that VRL, the parent company, has been facing significant challenges due to its high leverage and a funding gap of $3 billion projected for FY2025. The report mentions &ldquo;divestment of non-core businesses was deemed necessary to address these issues&rdquo;. However, the brokerage, in its analysis, also noted that the demerger on its own might not necessarily unlock any value.  Kotak Institutional Equities emphasised that the reduced fungibility of cash flows and increased cash flow volatility associated with the demerger could pose challenges in obtaining lender approval, especially considering Vedanta's elevated debt levels.  Investec Securities:  Investec has retained its sell rating on Vedanta and maintained its target price of Rs 240 per share. The brokerage sees this as a strategic move because it eliminates the need for a majority of minority approval, facilitates debt allocation, and eventually makes it easier for the promoter to consider monetisation or delisting.  While there is a theoretical argument for expansion on multiple fronts through peer benchmarking, Investec points to potential risks in the new ventures, including inter-group restructuring, carbon-heavy assets, and potential cash-flow challenges. The brokerage has emphasised that it is critical to have clarity on the debt profiles and other financial aspects of the new entities before making a comprehensive assessment.","Anil Agarwal-led Vedanta, Announcements, Vedanta Ltd",https://www.moneycontrol.com//news/announcements/vedantaâs-demerger-fails-to-excite-brokerages-stock-adds3_17257601.html
