,company,datePublished,author,headline,description,articleBody,tags,url
0,SHE,2018-09-04T21:06:05+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/beena-parmar-6887/', 'name': 'Beena Parmar'}",Sunil Hitech to go into bankruptcy motion - for excess use of Amex credit cards,Sunil Hitech has been unable to settle its corporate credit card dues of about Rs 45 crore.,"Beena Parmar Moneycontrol News (An earlier version of this story inadvertently pegged UCO Bank's loans to Sunil Hitech as Rs 740 crore. That number has been updated to Rs 400 crore after clarification from the company.)  The slowdown in the business cycle, which has resulted in several companies being put on the block thanks to the government&rsquo;s bankruptcy law, may claim one more victim.  Infrastructure firm Sunil Hitech Engineers is likely to be put under insolvency proceedings on September 5. The petitioner: American Express, which claims Sunil owes it around Rs 45 crore for usage of corporate credit cards.  American Express had dragged Sunil Hitech to the National Company Law Tribunal (NCLT) in July. According to a source, Sunil sought 50 days to clear the payments and wanted to settle the matter out of court. But two weeks back, it came back and said it was facing difficulties raising money to repay the dues.  The NCLT will now admit Sunil Hitech into bankruptcy proceedings. Once admitted, an insolvency resolution professional (IRP) takes operational control from a company&rsquo;s promoters. The promoters get 270 days to find buyers for the company, a move that has to be approved by a committee of creditors (CoC). Failure to do so results in the company being liquidated.  Interestingly, UCO Bank, which is the largest lender to the engineering firm, having loaned around Rs&nbsp;400 crore, is not leading the motion. However, the source Moneycontrol spoke to, who is close to Amex, says the credit card company expects UCO to support the petition.  An email to the company and a call to UCO Bank chief remained unanswered.  Other banks that have made loans to Sunil Hitech include&nbsp;Union Bank of India,&nbsp;Punjab National Bank,&nbsp;Oriental Bank of Commerce&nbsp;and&nbsp;ICICI Bank.  The insolvency and bankruptcy law, passed in 2016, has kickstarted a fire sale of distressed companies, especially those in the infrastructure sector, whose loans have been declared as non-performing assets.  The Sunil Hitech stock, once dubbed as attractive by many high-profile investors, has tumbled over the past one year, falling from a high of Rs 22.6 (adjusted) to about Rs 2.8 low, a loss of about 88 percent.  The Enforcement Directorate (ED) had attached cash deposits worth Rs 25.44 crore of the company in a coal block case under the Prevention of Money Laundering Act (PMLA).  The company&rsquo;s stock was also added to the additional surveillance mechanism (ASM) list put out by SEBI in June this year.  As per the company&rsquo;s consolidated financial statements, as of March 2018, it had a total debt of Rs 1,785 crore as opposed to equity of Rs 641 crore.","American Express, bankruptcy, Banks, Business, infrastructure, insolvency, NPAs, Sunil Hitech",https://www.moneycontrol.com//news/business/sunil-hitech-to-go-into-bankruptcy-motion-for-excess-useamex-credit-cards_11382641.html
1,SHE,2017-11-29T22:42:03+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","Sunil Hitech Engineers' board meeting on December 08, 2017","It is hereby informed that a Board Meeting of the Company will be held on Friday, December 08, 2017."," Pursuant to regulation 29 and other applicable provisions of SEBI (Listing Obligations and disclosure Requirements), Regulations 2015, it is hereby informed that a Board Meeting of the Company will be held on Friday 08th December, 2017 inter-alia; to consider and approve the Unaudited Financial Results for the quarter and half year ended 30th September, 2017.  Pursuant to clause 8 of Internal Code of Conduct to regulate, monitor and report trading by insider of the company, read with SEBI (Prohibition of Insider Trading) regulations, 2015 trading window for dealing in the Company's scrip by the designated persons (including directors) of the company will be remain closed from immediately till completion of 48 working hours after the unaudited financial results are made public.  We request to take the above information on record.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/sunil-hitech-engineers39-board-meetingdecember-08-2017_10140201.html
2,SHE,2017-09-22T15:33:27+05:30,"{'@type': 'Person', 'name': 'Mitali Mohite'}",Target to keep order book at 2.5x by end of FY18: Sunil Hitech,"In an interview to CNBC-TV18, Sunil Ratnakar Gutte, MD of Sunil Hitech Engineers spoke about allotment of warrants to promoters and non-promoters and his outlook going ahead.","In an interview to CNBC-TV18, Sunil Ratnakar Gutte, MD of Sunil Hitech Engineers spoke about allotment of warrants to promoters and non-promoters and his outlook going ahead.  Gutte said promoter stake to go up on account of warrant issues.  Won't need additional funding post this warrant issue, he added.  Talking about business, he said would raise debt or equity depending on business need, going ahead.  Hoping to win Rs 1,000 crore worth of order this quarter, said Gutte.  Target to keep order book at 2.5x by FY18 end, he mentioned.  Watch accompanying video for more details.","Business, Sunil Hitech Engineers",https://www.moneycontrol.com//news/business/target-to-keep-order-book-at-25x-by-endfy18-sunil-hitech_9734181.html
3,SHE,2017-09-15T21:05:14+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Sunil HitechEng: Outcome of board meeting,"We kindly want to inform you that the outcome of Board meeting to be held on September 14, 2017.","Outcome of Board meeting held on 14th September, 2017Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/sunil-hitecheng-outcomeboard-meeting_9693161.html
4,SHE,2017-09-01T14:19:46+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Sunil Hitech Engineers: Outcome of AGM,"The Company hereby pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 submits proceedings of 19th Annual General Meeting held on 29th August, 2017 at 11:00 a.m. at Hotel Rangsharda, Near Lilavati Hospital, KC Marg, Bandra Reclamation Flyover, Bandra West, Mumbai, Maharashtra 400050.","The Company hereby pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 submits proceedings of 19th Annual General Meeting held on 29th August, 2017 at 11:00 a.m. at Hotel Rangsharda, Near Lilavati Hospital, KC Marg, Bandra Reclamation Flyover, Bandra West, Mumbai, Maharashtra 400050.  This is for your information and records.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/sunil-hitech-engineers-outcomeagm_9590621.html
5,SHE,2017-05-12T08:32:36+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Sunil Hitech Engineers to consider final dividend,"Sunil Hitech Engineers Ltd has informed BSE that a Board Meeting of the Company will be held on May 19, 2017, to consider and approve the Audited Financial Results for the quarter and year ended on March 31, 2017.","Sunil Hitech Engineers Ltd has informed BSE that a Board Meeting of the Company will be held on May 19, 2017, inter alia :1. To consider and approve the Audited Financial Results for the quarter and year ended on March 31, 2017.2. To consider and recommend final dividend, if any, on the equity shares of the Company for the financial year ended on March 31, 2017.Pursuant to clause 8 of Internal Code of Conduct to regulate, monitor and report trading by insiders of the Company, read with SEBI (Prohibition of Insider Trading) Regulations, 2015, trading window for dealing in the Company's scrip by the designated persons (includes Directors) of the Company will remain closed from immediately till completion of 48 working hours after the Audited Financial Results are made public.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/sunil-hitech-engineers-to-consider-final-dividend_9036501.html
6,SHE,2017-05-04T22:01:00+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","Sunil HitechEng's board meeting on May 12, 2017","This is to inform you that the board meeting to be held on May 12, 2017.",Notice of Board Meeting to be held on 12/05/2017Source : BSE,Announcements,https://www.moneycontrol.com//news/announcements/sunil-hitecheng39s-board-meetingmay-12-2017_8870401.html
7,SHE,2017-04-06T14:54:49+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Sunil Hitech gets 4 new projects worth Rs 935.91 crore,This is to inform you that our company has been awarded 4 road projects worth of Rs. 935.91 crores in the State of Maharashtra on EPC Mode.,This is to inform you that our company has been awarded 4 road projects worth of Rs. 935.91 crores in the State of Maharashtra on EPC Mode. Please find attached herewith press release for the same.    This is for your necessary information &amp;amp; records.Source : BSE Read all announcements in Sunil HitechEng,Announcements,https://www.moneycontrol.com//news/announcements/sunil-hitech-gets-4-new-projects-worth-rs-93591-crore_8745861.html
8,SHE,2017-03-23T13:40:35+05:30,"{'@type': 'Person', 'name': 'Faizan Javed'}",Sunil Hitech gets Rs 982 cr road project in Maharashtra,,"Sunil Hitech Engineers Ltd (SHEL) has won a Rs 982 crore highway project in Maharashtra to widen a stretch on NH 211.  The National Highways Authority of India (NHAI) has given the work for constructing and widening &amp;quot;the existing 2-lane Bodhre to Dhule road section of NH-211 to four/six lane in Maharashtra for a bid project cost of Rs 982 crore on Hybrid annuity Model (HAM)&amp;quot;, SHEL said in a BSE filing today.  The construction of the 67.2 km road includes 2 new ROBs, 6 underpasses, 4 major bridges, 26 minor bridges and 2 new bypasses.  The company said it will be signing the concession agreement soon. The construction period for the project is 2.5 years.  SHEL Managing Director Sunil Gutte said: &amp;quot;This is amongst one of the major projects awarded to the company in the road sector and is in line with the company's vision to be a major player in the road sector.","Business, Highway, Hybrid Annuity Model, National Highways Authority of India, NHAI, road sector, Sunil Hitech Engineers",https://www.moneycontrol.com//news/business/sunil-hitech-gets-rs-982-cr-road-projectmaharashtra_8680581.html
9,SHE,2017-03-23T12:07:05+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Sunil Hitech bags project worth Rs 982 crore,Sunil Hitech Engineers has recently been mandated through a Letter of Award (LoA) from National Highways Authority of India (NHAI) for a bid project cost of Rs 982 crore on Hybrid annuity Model (HAM).,Sunil Hitech Engineers Limited awarded Road project worth Rs 982 Crore in the State of Maharashtra on Hybrid Annuity ModeSource : BSE Read all announcements in Sunil HitechEng,Announcements,https://www.moneycontrol.com//news/announcements/sunil-hitech-bags-project-worth-rs-982-crore_8679461.html
