,company,datePublished,author,headline,description,articleBody,tags,url
0,SPI,2024-03-06T15:11:33+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",Sun Pharma hits 52- week high on USFDA all-clear to Ankleshwar unit,"The USFDA classified the unit as No Action Indicated, paving the way for manufacturing and export from the plant, a CNBC Awaaz report said","Shares of Sun Pharmaceutical Industries rose around 2 percent and hit a 52-week high of Rs&nbsp;1,606.75 on March 6 afternoon after the US Food and Drugs Administration reportedly gave the company's Ankleshwar API (Active Pharmaceutical Ingredients) unit the all-clear to manufacture and export.  A CNBC Awaaz report said the USFDA classified the unit as&nbsp;No Action Indicated (NAI), paving the way for manufacturing and export from the plant.  The NAI classification issued by the US FDA is the most sought after and corresponds to the highest level of compliance.  At 2.57 pm, Sun Pharma&nbsp;was trading at Rs 1,605.30 on the NSE.  Follow our market blog to catch all the live updates  Investors cheered the development, more so since the company has struggled with the adverse impacts of an import alert for its Halol unit and another compliance snag at its Mohali facility in recent times. These regulatory troubles have put pressure on the drugmaker's US market revenue.  Shares of Sun Pharma have gained 29 percent in the past three months.  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Buzzing Stocks, Sun pharma, USFDA",https://www.moneycontrol.com//news/buzzing-stocks/sun-pharma-hits-52week-highusfda-all-clear-to-ankleshwar-unit_17488271.html
1,SPI,2024-03-01T15:03:26+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/neethi-rojan-32311/', 'name': 'Neethi Rojan'}","Strong India growth, benign price erosion in the US drive Q3 earnings for Indian pharma",Indian generic companies have benefited from the continuing shortages and approval slowdown in the US.,"The Indian pharmaceuticals sector experienced a&nbsp;good third quarter due to growth in the domestic market and a favourable pricing landscape in the US. Companies also reported minimal impact from the Red Sea crisis.  Growth in the Indian pharmaceuticals market surpassed estimates for many, driven by higher volumes from an expanded field force. Analysts at YES Securities highlighted margin improvement facilitated by softening input costs and reduced freight expenses.  Analysts at Nuvama&nbsp;observed a benign generic price erosion in the US, attributed to ongoing shortages and&nbsp;longer approval timelines. This trend benefited generic companies, as seen in their improved gross margin performance. They also noted that as abbreviated new drug application (ANDA) approvals outpaced ANDA submissions in 2023, R&amp;amp;amp;D investments in non-complex products slowed substantially, supporting a better price environment for Indian generic pharma manufacturers.  Sun Pharmaceutical&nbsp;Industries Ltd.&nbsp;reported revenue growth supported by the specialty business, new US generic launches and steady growth in India. Global specialty sales accounted for 19.2 percent of Q3FY24 sales, and doubled its contribution from 7 percent in FY18 to over 16 percent in FY23. HDFC Securities analysts anticipate this growth momentum to persist in the coming quarters.  Dr Reddy's&nbsp;&nbsp;Laboratories&nbsp;exhibited strong sequential performance over the past four quarters, driven by the generic version of US pharmaceutical company Celgene's cancer drug Revlimid, with expectations of continuity for the next four to five&nbsp; quarters, according to HDFC Securities analysts.  Cipla introduced the&nbsp;off-patent variant of AstraZeneca's&nbsp;inhaler Symbicort and one peptide product in the quarter, with plans for four more peptides in FY25. Despite witnessing an on-year revenue increase of 13.66 percent and a profit rise of 31.83 percent, there was a marginal decline in revenue (1.11 percent) and profit (6.63 percent) compared to the previous quarter.  Lupin's US business recorded a revenue of $212 million in the three months to December 2023, representing a 0.5 percent increase on a quarterly basis. New launches such as antiretroviral therapy drug darunavir and respiratory product gSpiriva continue to gain traction, with the company achieving market shares of up to 30 percent and 32 percent, respectively, despite experiencing low single-digit price erosion in its base business. Recent approvals of 180 days' exclusivity for tolvaptan (used for treating low sodium in the blood, among other things, and which has a market size of $287 million) and the US' FMC Corporation's fungicide Xyway (market size $958 million) could add business in the second half.  Aurobindo Pharma reported a 90.6 percent year-on-year rise in consolidated net profit to Rs 936.2 crore for the October-December quarter. Its margins were supported by steady US growth, normalisation in input cost, improved gross margin and overall cost controls, according to analysts from HDFC Securities.  Mankind Pharma&rsquo;s consolidated net profit increased 55 percent to Rs 460 crore in the third quarter. Nirmal Bang analysts predict future growth strategy for the company to revolve around an increased presence in the chronic diseases segment, improved scale in consumer healthcare, deeper penetration in metro and Class I cities and increasing doctor engagements, especially with specialists.","Business, pharma",https://www.moneycontrol.com//news/business/strong-india-growth-benign-price-erosionthe-us-drive-q3-earnings-for-indian-pharma_17483301.html
2,SPI,2024-02-29T10:05:10+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/neethi-rojan-32311/', 'name': 'Neethi Rojan'}","Diabetes, BP drugs to cost less as NPPA&nbsp;fixes retail prices of 69 formulations","Various drugs manufactured by listed players like Sun Pharmaceuticals, Alkem Laboratories, Cipla Ltd, Mankind Pharma, Lupin Ltda and Torrent Pharma are included in the list.","Drugs for diabetes and hypertension are likely to get cheaper as the&nbsp;National Pharmaceutical Pricing Authority&nbsp;(NPPA) has fixed the retail cost of 69 formulations and the ceiling cost of 31 formulations.  Manufacturers failing to comply with the price cap have to return the overcharged amount to the government.  Various medications for type 2 diabetes, blood pressure, antibiotics, cough syrups and depression medication will be under price control.  Combination of dapagliflozin, metformin hydrochloride (extended release) and glimepiride tablets for type 2 diabetes will be priced around Rs 14 each, while the sitagliptin phosphate, metformin hydrochloride and glimepiride combination drug&nbsp;will be priced at Rs 13 per tablet.  Various drugs manufactured by listed players like Sun Pharmaceuticals, Alkem Laboratories, Cipla Ltd, Mankind Pharma, Lupin Ltd and Torrent Pharma are included in the list.  Additionally, 39 formulations have also been included in the NPPA list. This has set the ceiling price of Snake venom antiserum at Rs 428. Prices of HIV medication Zidovudine, Desferrioxamine used in thalassemia and budesonide-formoterol combination used in asthma have also been brought under price control.  Set up in 1997, the drug pricing regulator is vested with the responsibility of fixing and revising prices of pharmaceutical products, enforcing provisions of the Drug Price Control Order (DPCO), and monitoring the prices of both controlled and decontrolled drugs. The primary objective of the NPPA is to ensure the availability of essential medicines at reasonable and regulated prices. The authority has mandated every retailer and dealer to prominently display prices at their business premises, ensuring easy accessibility for consumers.  Recent reports indicate that the Federation of Pharma Entrepreneurs (FOPE), a prominent lobby group, has urged the regulator to temporarily halt a notice. The notice had cautioned drug manufacturers of potential penal actions if new drugs were introduced before their retail prices were officially notified.","Business, NPPA, price control",https://www.moneycontrol.com//news/business/diabetes-bp-drugs-to-cost-less-as-nppaÂ fixes-retail-prices69-formulations_17481691.html
3,SPI,2024-02-27T09:47:44+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/neethi-rojan-32311/', 'name': 'Neethi Rojan'}",What are nutraceuticals&nbsp;and why is government planning more regulations&nbsp;around them?,"Though nutraceuticals&nbsp;are consumed widely, there is limited evidence of their health benefits in well-nourished adults. The government is planning tighter regulations on their quality, pricing and marketing aspects","Nutraceuticals, encompassing vitamins, minerals, omega-3 products, fibre and herbal supplements, have gained popularity for their touted benefits like better health, anti-aging effects, disease prevention, and overall well-being.  COVID-19 fuelled the rise in dietary supplement usage, particularly for boosting immunity. Currently, the global nutraceutical market is dominated by the US, Japan, and Europe.  What are the recent developments in India?  The Ministry of Health and Family Welfare is planning to bring these products under the supervision of the Central Drugs Standard Control Organisation (CDSCO). Nutraceuticals are currently governed by the Food Safety and Standards Authority of India (FSSAI). But it only regulates the quality of these products, leaving their usage and marketing uncontrolled. The proposed move aims to enhance quality control, with the formation of a committee comprising key entities such as FSSAI, CDSCO, and the Indian Council of Medical Research (ICMR), Ministry of Ayush, and the Department of Pharmaceuticals. This proposal could bring nutraceuticals under the National Pharmaceutical Pricing Authority (NPPA), making them more affordable for the general public, Local Circles said in a report.  What are the regulations in other markets?  In the US, nutraceuticals, termed &lsquo;dietary supplements&rsquo;, differ from FDA (Food and Drug Administration)-regulated drugs. They undergo post-market surveillance, without pre-approval. Manufacturers assume responsibility for safety, bypassing the need for FDA approval or product registration.  In Canada, Health Canada oversees food and drug regulations, mandating manufacturers to acquire site licences, monitor adverse reactions, and report serious incidents. Australia's regulatory guidelines detail regulations for complementary medicines, especially high-risk ones requiring regulatory evaluation for health claims. The nation's health authority assesses safety trends and risk communications for all regulated health products.  Is there any medical evidence supporting supplements?  Despite widespread consumption, there is limited evidence of health benefits related to nutraceutical or supplement usage in well-nourished adults. A recent study published in The Journal of Clinical Investigation said that dietary supplements containing antioxidants can accelerate tumour growth and metastasis. However, the risk is only when taken in excess amounts. Healthcare activists and doctors have campaigned against the over-consumption of supplements without medical advice.  Who are the players in the Indian market?  The Indian nutraceutical market, estimated to be worth around $4-5 billion in 2022, anticipates a surge to $18 billion by 2025, as per the Ministry of Food Processing Industries. Despite this growth, challenges loom, with 40,000 cases filed in 2022-23 against unsafe protein powders and supplements failing food safety norms.  Popular nutraceutical products include Revital (Sun Pharma), Ensure (Abbott), Seven Seas Seacod (P&amp;amp;amp;G) Peptamen, NutriMix, Nutrova, Curcumin Boost, Chyawanprash (Dabur), etc. Players also provide health gummies, gut health supplements, hair growth products, among others.  The Indian nutraceutical market consists of pharmaceutical companies like Sun Pharma and Dr Reddy's Laboratories and FMCG companies like Dabur, HUL, P&amp;amp;amp;G.  Vitamins and minerals accounted for 5 percent of Sun Pharma&rsquo;s total product mix in Q3FY24. Dr Reddy&rsquo;s Laboratories&rsquo; incorporated a wholly owned subsidiary for nutraceuticals, vitamins, minerals, herbals and supplements in &nbsp;September 2023.  Another listed player, JB Chemicals &amp;amp;amp; Pharmaceuticals, acquired a probiotic brand named Sporolac for Rs 628 crore in 2022. The Sporlac brand has registered a year-on-year (YoY) growth of 16 percent, as of December 2023.  A recent nationwide survey by Local Circles unveiled a significant surge in nutraceutical consumption in India, with 7 in 10 individuals opting for various health supplements. Notably, a staggering 69 percent of respondents admitted to using these products without a medical prescription.&nbsp;Local Circles&rsquo; survey received over 47,000 responses from 318 districts.","Business, CDSCO, FSSAI, India",https://www.moneycontrol.com//news/business/whatnutraceuticalsÂ andis-government-planning-more-regulationsÂ around-them_17477091.html
4,SPI,2024-02-25T20:06:56+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/neethi-rojan-32311/', 'name': 'Neethi Rojan'}","Sun Pharma, Lupin, Alkem recall products from US market","Sun Pharma is recalling 54,960 bottles of Mesalamine Extended-Release Capsules, an anti-inflammatory medicine used to treat a type of bowel disease known as ulcerative colitis","Pharmaceutical products manufactured by Sun Pharma, Lupin Laboratories and Alkem&nbsp;Laboratories are being recalled from the US market, as per&nbsp;a list issued in the weekly enforcement report of the US Food and Drug Administration (USFDA).  The Mumbai-based Sun Pharmaceutical Industries is recalling 54,960 bottles of Mesalamine Extended-Release Capsules&nbsp;from the US. It is an anti-inflammatory medicine used to treat a type of bowel disease known as ulcerative colitis. The company is recalling the lot due to &amp;quot;Failed Dissolution Specifications: out of specification for dissolution.&amp;quot;, the USFDA stated. The product was manufactured at Sun Pharma&rsquo;s Mohali unit.  The Mohali facility has been under the US FDA scanner for some time. The USFDA had directed the company to take corrective actions at the Mohali facility before further releasing final product batches into the US. According to the latest quarterly updates, some issues persist.  The American drug regulator&nbsp;stated that Ascend Laboratories (a subsidiary of Alkem Ltd.) is recalling 71,244 units of Fosfomycin Tromethamine Granule sachets. It is an antibiotic used to treat bladder infections (such as acute cystitis or lower urinary tract infections). This product was manufactured by Alkem in India.  The company is recalling the lot due to &ldquo;failed Impurities/degradation specification: out of specification for organic impurities.&rdquo;  The USFDA also stated that Mumbai-based Lupin is recalling an unspecified number of Voriconazole for Oral Suspension tablets in the US.  The medication is used to treat various types of fungal infections. Baltimore-based Lupin Pharmaceuticals Inc, a unit of the company, is recalling the affected lot that was manufactured by Novel Laboratories, Inc. Somerset, USA. The company is recalling the lot due to &ldquo;incorrect or missing package Insert&rdquo;.  All three recalls were Class II recalls according to the USFDA. A Class II recall is where the use of, or exposure to the product may cause temporary or medically reversible adverse health consequences or where the probability of serious adverse health consequences is remote, according to the US FDA.  Communications to the companies seeking response on the matter have remained unanswered.  Indian companies supply 20 percent of the world&rsquo;s pharma generics, 60 percent of global vaccines and 40 percent of the medicines in the US according to Indian Pharmaceutical Association.","Alkem, Business, Lupin, Sun Pharmaceuticals",https://www.moneycontrol.com//news/business/sun-pharma-lupin-alkem-recall-productsus-market_17474241.html
5,SPI,2024-02-07T18:39:33+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Sun Pharma; target of Rs 1635: Motilal Oswal,"Motilal Oswal is bullish on Sun Pharma recommended buy rating on the stock with a target price of Rs 1635 in its research report dated January 31, 2024.","Motilal Oswal's research report on Sun Pharma Sun Pharma (SUNP) delivered in-line earnings for 3QFY24. SUNP delivered robust performance in domestic formulation (DF), specialty portfolio, US generics as well as the ROW market. This was partially offset by subdued show in emerging markets for the quarter. The R&amp;amp;amp;D expenditure remained lower than earlier guidance, partly driving better profitability for the quarter. We raise our earnings estimates for FY25/FY26 by 4%/5%, factoring a) superior execution in global specialty sales, b) revival in growth prospects in Taro, and c) industry-beating growth in the branded generics DF market. We also raise our PE multiple to 28x (from 26x earlier), factoring a) increased contribution from specialty and branded generics portfolio, b) expanding specialty portfolio by adding new molecules as well as utilizing existing molecule for alternate indications, and c) robust ANDA pipeline, comprising niche products. Accordingly, we arrive at a price target of INR1,635. Outlook We also raise our PE multiple to 28x (from 26x earlier) factoring a) increased contribution from specialty and branded generics portfolio, b) expanding specialty portfolio by adding new molecules as well as utilizing existing molecule for alternate indications and c) robust ANDA pipeline comprising niche products. Accordingly, we arrive at a price target of INR1,635. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Sun Pharma - 0122024 - moti","Buy, Motilal Oswal, Recommendations, Sun pharma",https://www.moneycontrol.com//news/recommendations/buy-sun-pharma-targetrs-1635-motilal-oswal_17434961.html
6,SPI,2024-02-07T17:13:23+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Hold Sun Pharma; target of Rs 1400: ICICI Securities,"ICICI Securities recommended hold rating on Sun Pharma with a target price of Rs 1400 in its research report dated January 31, 2024.","ICICI Securities research report on Sun Pharma Sun Pharma (Sun)&rsquo;s Q3FY24 results, after adjusting for the milestone income of USD 20mn, were in-line with our expectations. Specialty business rose a massive 23% QoQ to USD 291mn led by traction in Ilumya, Cequa and Levulan while India grew at a faster pace of 11.4%. The company is likely to file Nidlegy in Europe in H2CY24, which will likely further boost specialty sales in the near term. In India, the new MRs are helping Sun gain market share and boost volume growth while the company had launched 28 products in Q3. Management maintains its single-digit growth guidance for FY24. We broadly maintain our FY25E earnings estimate. Outlook We lower our rating on the stock to HOLD (Add earlier) due to pricey valuation, though raise our target price to INR 1,400 based on 27x FY26E earnings. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  Sun Pharma - 0122024 - icici","Hold, ICICI Securities, Recommendations, Sun pharma",https://www.moneycontrol.com//news/recommendations/hold-sun-pharma-targetrs-1400-icici-securities_17434731.html
7,SPI,2024-02-06T09:37:32+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Sun Pharmaceutical Industries; target of Rs 1640: Prabhudas Lilladher,"Prabhudas Lilladher is bullish on Sun Pharmaceutical Industries has recommended buy rating on the stock with a target price of Rs 1640 in its research report dated February 01, 2024.","Prabhudas Lilladher's research report on Sun Pharmaceutical Industries Our FY24/FY25 earnings estimates broadly remains unchanged. Sun Pharma (SUNP) Q3FY24 EBIDTA was in line with our estimate, aided by domestic formulation and specialty sales. Overall specialty sales, GMs continue to remain healthy. Over last few years SUNP dependency on US generics has reduced and company&rsquo;s growth is more functional on specialty, RoW and domestic pharma business that has strong growth visibility. Furthermore, acquisition of Concert Pharma along with progress of other pipelines provides visibility to SUNP&rsquo;s specialty pipeline beyond FY25. Outlook We maintain &lsquo;BUY&rsquo; rating at TP of Rs.1640 (Rs1280 earlier) based on 30x (26x earlier) FY26E earnings. SUNP remains our top pick in large cap space. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Sun Pharmaceutical Industries - 0122024 - prabhu","Buy, Prabhudas Lilladher, Recommendations, Sun Pharmaceutical Industries",https://www.moneycontrol.com//news/recommendations/buy-sun-pharmaceutical-industries-targetrs-1640-prabhudas-lilladher_17430551.html
8,SPI,2024-01-18T07:00:38+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}","Sun Pharma to acquire remaining 21.52% shares of Taro for Rs 2,892 crore","The acquisition of 8,086,818 shares (21.52 per cent) will be at the cost of Rs 2,891.76 crore, Sun Pharma said.","Sun Pharmaceutical Industries on Thursday said it will acquire the remaining 21.52 per cent stake in Israel-based Taro Pharmaceutical Industries for Rs 2,891.76 crore, enabling the merger of the two entities.  The acquisition of 8,086,818 shares (21.52 per cent) will be at the cost of Rs 2,891.76 crore, Sun Pharma said.  The Mumbai-based drug major has agreed to acquire all of the outstanding ordinary shares of Taro for USD 43 per share in cash without interest, as per the definitive merger agreement.  Sun Pharma already owns a 78.48 per cent stake in Taro.  &amp;quot;Over the years, with Sun Pharma's strategic interventions, Taro has remained a key player in the generic dermatology market in a challenging environment,&amp;quot; Sun Pharma Managing Director Dilip Shanghvi said in a statement.  After the merger, the combined entity will firmly move forward, leveraging its global strengths and capabilities to better serve the needs of patients and healthcare professionals, he added.  Upon completion of the merger, currently expected to close in the first half of 2024, Taro will become a privately held company and its shares will no longer be listed on the NYSE.  &amp;quot;Taro is committed to delivering high-quality products to our patients and customers around the world. This merger will further enable us to compete effectively in our products and markets,&amp;quot; Taro CEO Uday Baldota said.  The merger agreement was unanimously recommended by the Special Committee, which was formed by Taro's Board of Directors to consider Sun Pharma's proposal.  Upon receiving the unanimous recommendation of the Special Committee, and following unanimous approval by Taro's Audit Committee, Taro's Board and the Board of Directors of Sun Pharma unanimously approved the definitive merger agreement.  Sun Pharma said the USD 43 per share purchase price represents a 48 per cent premium over the closing price of USD 28.97 per share on May 25, 2023, the last trading day before Sun Pharma first submitted its non-binding proposal to Taro.  The purchase price also represents a 13 per cent increase over the initial proposed purchase price of USD 38 per share as proposed on May 26, 2023.  Sun Pharma shares were trading 1.52 per cent up at Rs 1,319 apiece on BSE.","Business, Companies, Sun Pharmaceutical Industries, Taro",https://www.moneycontrol.com//news/business/sun-pharma-to-acquire-remaining-2152-sharestaro-for-rs-2892-crore_17403481.html
9,SPI,2023-12-18T19:28:43+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/neethi-rojan-32311/', 'name': 'Neethi Rojan'}",Sun Pharma to acquire 16.7% in Lyndra Therapeutics for $30 million,The US company had a turnover of $10.7 million in 2022.,"Indian Pharma major Sun Pharmaceuticals Ltd. said that it&nbsp;has entered into agreement to acquire about 16.7 percent shares on fully diluted basis, in Lyndra Therapeutics Inc., for $30 million.  Lyndra Theraputics is a company based in Massachusetts, USA, engaged in the business of developing novel delivery technology for long-acting oral (LAO) therapies.  Sun Pharma stated that the strategic investment is to support development of innovative pharmaceutical delivery technologies and get access to the technology for certain molecules and territories.  The US company had a turnover of $10.7 million in 2022.&nbsp;Lyndra was founded in 2015 with technology that emerged from the Langer Lab at MIT. Robert Langer, Sc.D., Giovanni Traverso, M.D., Ph.D., Andrew Bellinger, M.D., Ph.D. and Amy Schulman, J.D., founded the company to develop, expand and eventually commercialize the technology that would ultimately become the LYN drug delivery platform.  In July 2023, the company elevated its ten COO Jessica Ballinger to the Chief Executive Officer post.  Lyndra has raised $260 million to date through investors and partners, including $100 million in non-dilutive grants, according to the company website. Lyndra has achieved rapid progress in a short span of time formulating 19 therapies in the lab and advancing four therapeutic products to the clinic, validating the feasibility of its platform with multiple APIs.  The company was last in news in September after Fierce Pharma reported that&nbsp;Lyndra Therapeutics cuts nearly a quarter of staff.","acquisition, Business, ma, Sun pharma",https://www.moneycontrol.com//news/business/sun-pharma-to-acquire-167lyndra-therapeutics-for-3630-million_17373791.html
