,company,datePublished,author,headline,description,articleBody,tags,url
0,SS28,2018-05-30T23:00:07+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Splendid Metal Product: Outcome of board meeting,"We would like to inform you that the outcome of the board meeting held on May 30, 2018.",outcome of the board meeting held on 30.05.2018.Source : BSE,Announcements,https://www.moneycontrol.com//news/announcements/splendid-metal-product-outcomeboard-meeting_10958541.html
1,SS28,2017-09-07T21:12:49+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","Splendid Metal's 27th AGM held on September 29, 2017","Notice dated 14th August, 2017 convening the 27th Annual General Meeting of the Company held on Friday, September 29, 2017.","Please find enclosed, a copy of the Notice dated 14th August, 2017 convening the 27th Annual General Meeting of the Company held on Friday, 29th September, 2017 at Katriya Hotel &amp;amp; Towers, #8, Raj bhavan Road, Somajiguda, Hyderabad-500082 at 12.00 noon.  The remote e-voting period commences on September 25th, 2017 (9:00 A.M.) and ends on September 28th, 2017 (5:00 P.M.). During this period members of the Company, holding shares either in physical form or in dematerialised form, as on the cut-off date of Friday, September 22nd, 2017, may cast their vote by remote e-voting. Any person, who acquires shares of the Company and become member of the Company after dispatch of the notice and holding shares as of the cut-off date i.e. 22nd September, 2017, may obtain the login ID and password by sending a request at evoting@nsdl.co.in or Issuer/ RTA and If the member is already registered with NSDL for e-voting then he/she can use his/her existing user ID and password for casting the vote. This may be treated as Compliance of Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulation, 2015 Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/splendid-metal39s-27th-agm-heldseptember-29-2017_9639721.html
2,SS28,2017-01-31T15:33:41+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Sujana Metal Products' board meeting on February 13, 2017","Sujana Metal Products has informed that the meeting of the Board of Directors of the Company will be Scheduled to be held on February 13, 2017, to consider and approve the Un-Audited Financial Results of the Company for the quarter ended December 31, 2016 along with Limited Review Report and any other business as may be permitted by the Chairman.","Sujana Metal Products Ltd has informed BSE that the meeting of the Board of Directors of the Company will be Scheduled to be held on February 13, 2017, inter alia, to consider and approve the Un-Audited Financial Results of the Company for the quarter ended December 31, 2016 along with Limited Review Report and any other business as may be permitted by the Chairman.Further, pursuant to the provisions of the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations, 2015 and Company",Announcements,https://www.moneycontrol.com//news/announcements/sujana-metal-products-board-meetingfebruary-13-2017_8383981.html
3,SS28,2016-12-14T14:34:00+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Sujana Metal Products: Outcome of board meeting,"Sujana Metal Products Ltd has informed BSE that the Board of Directors of the Company at its meeting held on December 14, 2016, has approved the appointed Shri Ram Kumar on the Board of the Company as the Nominee of Punjab National Bank in place of Shri Vimlesh Kumar.","Sujana Metal Products Ltd has informed BSE that the Board of Directors of the Company at its meeting held on December 14, 2016, has approved the following:- Appointed Shri Ram Kumar on the Board of the Company as the Nominee of Punjab National Bank in place of Shri Vimlesh Kumar.Source : BSE Read all announcements in Sujana Metal",Announcements,https://www.moneycontrol.com//news/announcements/sujana-metal-products-outcomeboard-meeting_8113141.html
4,SS28,2016-09-30T22:23:21+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Sujana Metal Products: Outcome of AGM,"Sujana Metal Products has informed that the 26th Annual General Meeting (AGM) of the Company was held on September 30, 2016.","Sujana Metal Products Ltd has informed BSE that the 26th Annual General Meeting (AGM) of the Company was held on September 30, 2016.Source : BSE Read all announcements in Sujana Metal",Announcements,https://www.moneycontrol.com//news/announcements/sujana-metal-products-outcomeagm_7555441.html
5,SS28,2016-09-07T21:57:21+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Sujana Metal Products AGM on Sept 30, 2016","Sujana Metal Products has informed that the 26th Annual General Meeting (AGM) of the Company will be held on September 30, 2016.","Sujana Metal Products Ltd has informed BSE that the 26th Annual General Meeting (AGM) of the Company will be held on September 30, 2016.Source : BSE Read all announcements in Sujana Metal",Announcements,https://www.moneycontrol.com//news/announcements/sujana-metal-products-agmsept-30-2016_7423981.html
6,SS28,2016-02-12T21:33:29+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Sujana Metal Products: Outcome of board meeting,Sujana Metal Products has informed about Outcome of Board Meeting held on 12.02.2016.,Sujana Metal Products Ltd has informed BSE about Outcome of Board Meeting held on 12.02.2016.Source : BSE Read all announcements in Sujana Metal,Announcements,https://www.moneycontrol.com//news/announcements/sujana-metal-products-outcomeboard-meeting_5452921.html
7,SS28,2016-01-19T15:21:46+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Sujana Metal Products to allot  9.95cr equity shares  to Yalamanchili Finance on preferential basis,"Sujana Metal Products has informed that the Management Committee of Board of Directors of the Company at their meeting held on January 19, 2016 approved the issue and allotment of 9,95,60,000 equity shares of Rs 5 each at par on preferential basis to M/s. Yalamanchili Finance and Trading Private Limited.","Sujana Metal Products Ltd has informed BSE that the Management Committee of Board of Directors of the Company at their meeting held on January 19, 2016 approved the following:- Issue and allotment of 9,95,60,000 equity shares of Rs.5/- each at par on preferential basis to M/s. Yalamanchili Finance and Trading Private Limited in compliance with the terms and conditions of CDR package.Source : BSE Read all announcements in Sujana Metal",Announcements,https://www.moneycontrol.com//news/announcements/sujana-metal-products-to-allot995cr-equity-sharesto-yalamanchili-financepreferential-basis_5069241.html
8,SS28,2015-12-28T20:37:01+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Sujana Metal Products: Outcome of board meeting,"Sujana Metal Products in its meeting held on Dec 28, 2015, has passed the resolutions subject to the approval of members of the Company by way of postal ballot to change the name of the Company from","Sujana Metal Products Ltd has informed BSE that the Board of Directors of the Company at its meeting held on December 28, 2015, has passed the following resolutions subject to the approval of members of the Company by way of postal ballot:1. To change the name of the Company from &amp;quot;Sujana Metal Products Limited&amp;quot; to &amp;quot;SMPL Limited&amp;quot;.2. To shift of the Registered Office of the Company from the State of Telangana to State of Maharashtra.Source : BSE Read all announcements in Sujana Metal",Announcements,https://www.moneycontrol.com//news/announcements/sujana-metal-products-outcomeboard-meeting_4766901.html
9,SS28,2015-12-21T21:21:11+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Sujana Metal Products board meeting on Dec 28, 2015","Sujana Metal Products' board meeting will be held on December 28, 2015,  to consider the matters and approve the proposal of change in Name of the Company to SMPL Limited or such other name as approved by the Registrar of Companies, Andhra Pradesh &amp;amp; Telangana. To consider the shifting of the Registered Office of the Company.","Sujana Metal Products Ltd has informed BSE that a meeting of the Board of Directors of the Company will be held on December 28, 2015, inter alia, to consider the following matters:1. To consider and approve the proposal of change in Name of the Company to SMPL Limited or such other name as approved by the Registrar of Companies, Andhra Pradesh &amp;amp; Telangana.2. To consider the shifting of the Registered Office of the Company from the State of Telangana to the State of Maharashtra.In this connection, as per the Company's Code of Conduct for Prevention of Insider Trading, the Trading Window for dealing in the securities of the Company will remain closed for all Directors/Officers/Designated Employees of the Company from December 21, 2015 to December 30, 2015 (both days inclusive).Source : BSE Read all announcements in Sujana Metal",Announcements,https://www.moneycontrol.com//news/announcements/sujana-metal-products-board-meetingdec-28-2015_4677761.html
