,company,datePublished,author,headline,description,articleBody,tags,url
0,TE11,2017-12-04T21:59:06+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","Tulsi Extrusions' board meeting on December 13, 2017","We would like to inform you that the, Board Meeting for considering Q2 FY 2017-18 Results on December 13, 2017 &amp;amp; Closure of Trading Window.",Board Meeting for considering Q2 FY 2017-18 Results on 13.12.2017 &amp;amp; Closure of Trading WindowSource : BSE,Announcements,https://www.moneycontrol.com//news/announcements/tulsi-extrusions39-board-meetingdecember-13-2017_10164721.html
1,TE11,2017-09-27T21:12:59+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Tulsi Extrusion: Outcome of AGM,"We kindly want to inform you that the outcome of 23rd Annual General Meeting held on September 27, 2017.",Outcome of 23rd Annual General Meeting held on 27.09.2017Source : BSE,Announcements,https://www.moneycontrol.com//news/announcements/tulsi-extrusion-outcomeagm_9769701.html
2,TE11,2017-09-04T09:45:15+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","Tulsi Extrusion's AGM on September 27, 2017",The 23rd Annual General Meeting of the Comppany will be held on 27.09.2017 at the registered office address of the Company. The Notice along with all annexures and details is attached herewith.,The 23rd Annual General Meeting of the Comppany will be held on 27.09.2017 at the registered office address of the Company. The Notice along with all annexures and details is attached herewith.Source : BSE,Announcements,https://www.moneycontrol.com//news/announcements/tulsi-extrusion39s-agmseptember-27-2017_9604841.html
3,TE11,2017-02-08T21:40:21+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Tulsi Extrusions: Outcome of board meeting,"Tulsi Extrusions has informed about Outcome of Board Meeting held on February 08, 2017.","Tulsi Extrusions Ltd has informed BSE about Outcome of Board Meeting held on February 08, 2017.Source : BSE Read all announcements in Tulsi Extrusion",Announcements,https://www.moneycontrol.com//news/announcements/tulsi-extrusions-outcomeboard-meeting_8455661.html
4,TE11,2016-05-31T11:30:28+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Tulsi Extrusions: Outcome of board meeting,"Tulsi Extrusions Ltd has informed BSE regarding Outcome of Board Meeting held on May 30, 2016.","Tulsi Extrusions Ltd has informed BSE regarding Outcome of Board Meeting held on May 30, 2016.Source : BSE Read all announcements in Tulsi Extrusion",Announcements,https://www.moneycontrol.com//news/announcements/tulsi-extrusions-outcomeboard-meeting_6782961.html
5,TE11,2015-04-01T09:09:39+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Tulsi Extrusions appoints Chetna Rajendra Nannavare as independent women director,"Tulsi Extrusions Ltd has informed BSE that the Board of Directors of the Company at its meeting held on March 31, 2015, inter alia, has considered &amp;amp; appointed Mr. Chetna Rajendra Nannavare as Independent Women Director, w.e.f. March 31, 2015.","Tulsi Extrusions Ltd has informed BSE that the Board of Directors of the Company at its meeting held on March 31, 2015, inter alia, has considered &amp;amp; appointed Mr. Chetna Rajendra Nannavare as Independent Women Director, w.e.f. March 31, 2015.Source : BSE Read all announcements in Tulsi Extrusion",Announcements,https://www.moneycontrol.com//news/announcements/tulsi-extrusions-appoints-chetna-rajendra-nannavare-as-independent-women-director_1346014.html
6,TE11,2014-09-04T14:21:45+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Tulsi Extrusions: Outcome of board meeting,"Tulsi Extrusions Ltd has informed that Mr. Sanjay R. Taparia be and is hereby appointed as Chief Executive Officer of the Company with effect from September 03, 2014 as per the term and condition approved by the board.","Tulsi Extrusions Ltd has informed BSE that the Board of Directors of the Company at its meeting held on September 03, 2014, inter alia, has considered and approved the following;1. Mr. Sanjay R. Taparia be and is hereby appointed as Chief Executive Officer of the Company with effect from September 03, 2014 as per the term and condition approved by the board.2. Mr. Pradip J. Mundhra be and is hereby resigned from Managing Director and as well as the directorship from board of the Company w.e.f. September 03, 2014.Source : BSE Read all announcements in Tulsi Extrusion",Announcements,https://www.moneycontrol.com//news/announcements/tulsi-extrusions-outcomeboard-meeting_1170583.html
7,TE11,2014-08-25T22:00:44+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Tulsi Extrusion: Outcome of board meeting,"Tulsi Extrusions in its meeting held on August 25, 2014, has appointed Mr. Satish Charkha as CFO of the Company and Mr. Sanjay R Taparia designated as CEO would now be Non Executive Director only.","Tulsi Extrusions Ltd has informed BSE that the Board of Directors of the Company at its meeting held on August 25, 2014, has appointed Mr. Satish Charkha as CFO of the Company and Mr. Sanjay R Taparia designated as CEO would now be Non Executive Director only.Source : BSE Read all announcements in Tulsi Extrusion",Announcements,https://www.moneycontrol.com//news/announcements/tulsi-extrusion-outcomeboard-meeting_1163886.html
8,TE11,2014-02-18T18:56:46+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Tulsi Extrusion standalone Dec '13 sales at Rs 23.01 crore,Tulsi Extrusions has reported a standalone sales turnover of Rs 23.01 crore and a net loss of Rs 4.99 crore for the quarter ended Dec '13,"Tulsi Extrusions has reported a standalone sales turnover of Rs 23.01 crore and a net loss of Rs 4.99 crore for the quarter ended Dec '13.For the quarter ended Dec 2012 the standalone sales turnover was Rs 40.08 crore and net profit was Rs 0.02 crore.Tulsi Extrusion shares closed at 4.25 on February 17, 2014 (NSE)Tulsi ExtrusionsStandalone Quarterly Results-------- in Rs. Cr. --------Dec '13Sep '13Jun '13Sales Turnover23.0116.4823.12Other Income------Total Income23.0116.4823.12Total Expenses20.9047.3418.81Operating Profit2.11-30.864.31Profit On Sale Of Assets------Profit On Sale Of Investments------Gain/Loss On Foreign Exchange------VRS Adjustment------Other Extraordinary Income/Expenses------Total Extraordinary Income/Expenses------Tax On Extraordinary Items------Net Extra Ordinary Income/Expenses------Gross Profit2.11-30.864.31Interest4.975.404.67PBDT-2.86-36.26-0.36Depreciation2.171.181.13Depreciation On Revaluation Of Assets------PBT-5.03-37.44-1.49Tax-0.040.090.04Net Profit-4.99-37.53-1.53Prior Years Income/Expenses------Depreciation for Previous Years Written Back/ Provided------Dividend------Dividend Tax------Dividend (%)------Earnings Per Share------Book Value------Equity27.4927.4927.49Reserves------Face Value10.0010.0010.00Source :  Dion Global Solutions Limited","Plastics, Results, Tulsi Extrusion, Tulsi Extrusions",https://www.moneycontrol.com//news/results/tulsi-extrusion-standalone-dec-13-sales-at-rs-2301-crore_1045463.html
9,TE11,2013-11-19T09:10:21+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Tulsi Extrusions' adjourned board meeting on Nov 22, 2013","Tulsi Extrusions has informed that the Board of Directors of the Company met on November 15, 2013 on the scheduled time but due to the technical query raised by the directors on which auditors also wanted to reassess the financials once again, meeting stands adjourned and scheduled to meet on November 22, 2013.","Tulsi Extrusions Ltd has informed BSE that the Board of Directors of the Company met on November 15, 2013 on the scheduled time but due to the technical query raised by the directors on which auditors also wanted to reassess the financials once again, meeting stands adjourned and scheduled to meet on November 22, 2013 at 7:00 PM at the Registered Office of the Company to reconsider, readopt and reapprove the audited financial results of the Company for the II quarter ended September 30, 2013.Source : BSE Read all announcements in Tulsi Extrusion",Announcements,https://www.moneycontrol.com//news/announcements/tulsi-extrusions-adjourned-board-meetingnov-22-2013_992562.html
