,company,datePublished,author,headline,description,articleBody,tags,url
0,TEI,2023-07-19T12:06:59+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Hold Tata Elxsi; target of Rs 7500: Sharekhan,"Sharekhan recommended Hold rating on Tata Elxsi with a target price of Rs 7500 in its research report dated July 18, 2023.","Sharekhan's research report on Tata Elxsi Tata Elxsi reported constant currency (CC) revenue growth of 1.2% q-o-q and 11.9% y-o-y, missing our estimates of 2.5%. Revenue growth was led by a rise in revenues of industrial design &amp;amp;amp; visualization and transportation divisions (up 41.1%/17% y-o-y in cc terms), respectively. EBIT margins dipped slightly by ~ 20 bps q-o-q to 27.1% in line with estimates despite wage hikes and strong employee additions in the quarter, Net profit was impacted by a higher effective tax rate (ETR). Company won significant new deals including a strategic multi-year multi-million US$ SDV deal with a leading Asian OEM and a multi-country licensing and deployment of connected vehicle platforms.  Outlook Despite a soft quarter, the company continues to witness good traction and a strong deal pipeline, especially in software defined vehicles and EV and is well positioned to capture opportunities in Industrial design, Medical and other verticals . However, the recent run-up limits the upside with the stock trading at 57.9/50.0x its FY24/FY25E EPS . Hence, we maintain Hold with unchanged price target (PT) of Rs 7500. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Tata Elxsi - 19 -07 - 2023 - khan","Hold, Recommendations, Sharekhan, Tata Elxsi",https://www.moneycontrol.com//news/recommendations/hold-tata-elxsi-targetrs-7500-sharekhan_17119961.html
1,TEI,2023-07-19T10:28:49+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Tata Elxsi; target of Rs 8406: KR Choksey,"KR Choksey is bullish on Tata Elxsi has recommended buy rating on the stock with a target price of Rs 8406 in its research report dated July 18, 2023.","KR Choksey's research report on Tata Elxsi Tata Elxsi Ltd reported a YoY revenue growth of 17.12% to INR 8,502 mn in Q1FY24, compared to INR 7,259 mn in Q1FY23. Sequentially, revenue increased marginally by 1.47% from INR 8,379 mn in Q4FY23. The EBIT for Q1FY24 was INR 2,300 mn, reflecting a YoY growth of 4.02% from INR 2,211 mn in Q1FY23. On a QoQ basis, it increased marginally by 0.61% from INR 2,286 mn. The OPM for the quarter stood at 27.05%, indicating a decline of 341 basis points (bps) YoY and 25 bps QoQ. Net profit for the quarter was INR 1,888 mn, showing a YoY growth of 2.22% from INR 1,847 mn in Q1FY23. However, on a sequential basis, it declined by 6.30% from INR 2,015 mn due to an increase in the effective tax rate. The net profit margin (NPM) for Q1FY24 stood at 22.20%, which declined by 324 bps YoY and 185 bps sequentially. The earnings per share (EPS) for the quarter stood at INR 30.32, compared to INR 29.66 YoY and INR 32.36 QoQ. During Q1FY24, the company added 422 net employees, crossing the 12,000-employee mark. The attrition rate further declined to 15.60% in Q1FY24. Outlook TELX is currently trading at a valuation with a P/E multiple of 55.0x/42.1x on FY24E/FY25E earnings. We expect strong deal momentum across verticals, the addition of new clients from newer geographies, a higher focus on IDV, especially in design-led digital projects, and a multi-year tailwind in EPD. Therefore, we are assigning a P/E multiple of 47.0x to the FY25 estimated EPS of INR 178.8. This calculation leads us to a target price of INR 8,406 per share, representing an upside of around 11.6% over the current market price (CMP). For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Tata Elxsi - 19 -07 - 2023 - kr","Buy, KR Choksey, Recommendations, Tata Elxsi",https://www.moneycontrol.com//news/recommendations/buy-tata-elxsi-targetrs-8406-kr-choksey_17118831.html
2,TEI,2023-07-17T16:29:29+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",Tata Elxsi Q1 results: Net profit up 2% to Rs 189 crore,The revenue from operations grew by 17 percent to Rs 850 crore during the quarter from Rs 726 crore in June 2021 quarter.,"Technology services firm Tata Elxsi on July 17 posted a marginal 2 percent year-on-year increase in net profit at Rs 189 crore in the first quarter ended June 2023, its smallest rise in profit in 15 quarters.  The company had registered a net profit of Rs 185 crore in the year-ago period.  The revenue from operations grew by 17 percent to Rs 850 crore during the quarter from Rs 726 crore in June 2021 quarter.  The company's EBITDA, or earnings before interest, taxes, depreciation and amortization, rose 4.1 percent to Rs 230 crore from Rs 221 crore in the same quarter last fiscal, while its operating margins decreased to 27.1 percent in Q1FY24 from 30.5 percent in Q1FY23.  Commenting on the company&rsquo;s performance, Manoj Raghavan, CEO and Managing Director, Tata Elxsi said,&amp;quot;While the overall global economic outlook remains challenging, our customer focus and targeted efforts to keep the growth momentum going is showing good results.&amp;quot;  Tata Elxsi's healthcare business grew by 3.4 percent quarter-on-quarter. &amp;quot;. This vertical also reported new product development deal wins for medical diagnostics and smart hospital equipment,&amp;quot; Raghavan said.  Further, in the transportation business, the company saw &amp;quot;good traction and a strong deal pipeline, especially in Software defined vehicles and EV.&amp;quot;  &amp;quot;While some deal closures were delayed in this quarter, we won significant new deals including a strategic multi-year multi-million US$ SDV deal with a leading Asian OEM for their SDV platform and software development, and a multi-country licensing and deployment of our Connected vehicle platform with a global Top 5 OEM.&amp;quot;  &amp;quot;To expand our automotive and smart mobility focus in North America, we have opened an Innovation Hub and nearshore engineering centre in Troy, Michigan that will innovate along with leading institutes and technology ecosystem in the region,&amp;quot; Raghavan added.  Meanwhile, shares of Tata Elxsi on July 17 closed 0.30 percent lower at Rs 7,710.85 apiece on BSE.","Results, Tata Elxsi",https://www.moneycontrol.com//news/results/tata-elxsi-q1-results-net-profit2-to-rs-189-crore_17115991.html
3,TEI,2023-05-20T10:49:40+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Hold Tata Elxsi; target of Rs 7500: Sharekhan,"Sharekhan recommended Hold rating on Tata Elxsi with a target price of Rs 7500 in its research report dated May 18, 2023.","Sharekhan's research report on Tata Elxsi The company reported constant currency revenue growth of 1.6% q-o-q and 17.9% y-o-y, missing our estimates of 2.5% cc revenue growth due to muted sequential growth in Embedded Product Design (EPD) and Industrial Design &amp;amp;amp; Visualization (IDV). EBITDA margin fell by ~40bps q-o-q to 29.8%, missing our estimates of 30.7% due to higher employee expenses. Net profit of Rs. 201.5 crore (up 3.5% q-o-q and 25.9% y-o-y) was 3.7% ahead of our estimates aided by higher other income. The company believes that growth in the transportation vertical over the years will continue in FY24. In the Media and Healthcare verticals, there are positive signs of growth returning, although it is still in the early stages. The emergence of 5G opportunities and deals further strengthens the management&rsquo;s belief that growth will pick up in the latter half of Q1 and Q2.  Outlook We upgrade Tata Elxsi to Hold (from Reduce)with a revised PT of Rs7500 (increase in PT reflects rollover of PE multiple to FY25E EPS) as the upcoming IPO of group company Tata Technologies and healthy deal wins would support valuation. At the CMP the stock trades at 54.7/45.1x its FY24/25 E Eps. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  Tata Elxsi - 19 -05 - 2023 - khan","Hold, Recommendations, Sharekhan, Tata Elxsi",https://www.moneycontrol.com//news/recommendations/hold-tata-elxsi-targetrs-7500-sharekhan_17016651.html
4,TEI,2023-01-27T22:50:58+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}","Reduce Tata Elxsi, target of Rs 6185: Sharekhan","Sharekhan recommended Reduce rating on Tata Elxsi with a target price of Rs 6185 in its research report dated January 25, 2023.","Sharekhan's research report on Tata Elxsi Tata Elxsi Limited&rsquo;s Q3FY23 revenue increased by 3.5% q-o-q/29% y-o-y in cc but missed our estimates of 4.1% q-o-q in cc. Revenues was impacted by furloughs and lower working days. Sequential CC revenue growth continued to moderate to 3.5% from 4.7% in Q2FY23. EBITDA margin for the quarter improved by 50 bps q-o-q to 30.2%. Utilization of billable employees and INR depreciation provided tailwinds for margin improvement. Management indicated that while demand outlook for Media &amp;amp;amp; communications and Healthcare &amp;amp;amp; Medical devices would be soft, they are more optimistic on Healthcare &amp;amp;amp; Medical Devices to recover faster. On the demand outlook Management stated among Top 10 clients they are seeing some large deals not moving forward and seeing caution in the market. Clients prefer to adopt wait and watch policy. The company stated that it will take a couple of quarters before they get some clarity. Outlook We expect the outlook for FY24 to be uncertain on account of global headwinds and any recovery is most likely to be gradual. Given the continuing macro uncertainties and tapering of earning growth trajectory for Tata Elxsi, we maintain Reduce rating and revise our PT to Rs. 6,185. We advise investors to wait for a better entry point for long-term investment. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Tata Elxsi - 27 -01-2023 - khan","Recommendations, Reduce, Sharekhan, Tata Elxsi",https://www.moneycontrol.com//news/recommendations/reduce-tata-elxsi-targetrs-6185-sharekhan_16828981.html
5,TEI,2022-10-17T19:40:08+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Reduce Tata Elxsi; target of Rs 7500: Sharekhan,"Sharekhan recommended reduce rating on Tata Elxsi with a target price of Rs 7500 in its research report dated October 14, 2022.","Sharekhan's research report on Tata Elxsi Tata Elxsi Limited&rsquo;s (TEL) Q2FY2023 performance missed the mark &ndash; both on the revenue and margins front. Revenue increased by 4.7% qoq in CC term and EBITDA margin dropped by 312 bps to 29.7%. Margin was impacted by strong addition in headcount in Q2, opening of centres in three locations, back-to-office costs, and increased discretionary spends such as travel and training. Management cited softness in Media and Communications on account of macro-uncertainties, though it remains fairly confident on other verticals.  Outlook At the current juncture with macro uncertainties and earnings growth trajectory tapering off, we downgrade our rating on the stock to Reduce from Buy. We also revise our PT to Rs. 7,500. We advise advisors to wait for a better entry point for long-term investment. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Tata Elxsi - 171022 - khan","Recommendations, Reduce, Sharekhan, Tata Elxsi",https://www.moneycontrol.com//news/recommendations/reduce-tata-elxsi-targetrs-7500-sharekhan_16658281.html
6,TEI,2022-06-09T15:26:06+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Tata Elxsi; target of Rs 9750: Sharekhan,"Sharekhan is bullish on Tata Elxsi has recommended buy rating on the stock with a target price of Rs 9750 in its research report dated June 08, 2022.","Sharekhan's research report on Tata Elxsi Tata Elxsi Ltd (TEL), in its annual report, highlighted its differentiated capabilities in design-led engineering and strong delivery capability that help it drive the customers&rsquo; transformation agendas in its focused verticals. TEL&rsquo;s investments in platforms have increased its ability to scale efficiencies. Besides providing services, TEL eyes enterprises who want to outsource platforms on subscriber-based business model. Given its strong digital engineering capabilities, TEL would benefit from the current upcycle in ERD spends. TEL is expected to deliver industry-leading margin in FY2023, led by a higher offshore mix, and currency tailwinds.  Outlook We retain a Buy on Tata Elxsi with a revised PT of Rs. 9,750, given its strong growth potential, robust deal wins and consistent dividend payouts. USD revenue and PAT are likely to clock a CAGR of 23% and 20%, respectively, over FY22-24E. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  Tata Elxsi - 090622 - sharekhan ","Buy, Recommendations, Sharekhan, Tata Elxsi",https://www.moneycontrol.com//news/recommendations/buy-tata-elxsi-targetrs-9750-sharekhan_16490861.html
7,TEI,2022-04-22T23:06:47+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Tata Elxsi: target of Rs 9000: Sharekhan,"Sharekhan is bullish on Tata Elxsi has recommended buy rating on the stock with a target price of Rs 9000 in its research report dated April 21, 2022.","Sharekhan's research report on Tata Elxsi Q4FY22 was yet another quarter of strong revenue growth led by ramp-up of deals, while margins were in line with hopes; quarter saw healthy net hiring, strong deal intake across verticals, expansion into new geographies and good client mining. The company entered new geographies such as Middle East, Africa and Latin America, where it saw strong customer addition especially in media segment. TEL is well placed to deliver another year of strong growth in FY2023E, given strong order intake, traction for large deal conversation and increasing spends in digital engineering.  Outlook We retain a Buy on Tata Elxsi Limited (TEL) with a revised PT of Rs. 9,000, given its market share gains, superior margin profile, and presence in fast growing ERD market. We expect USD revenue/earnings to report a 23%/20% CAGR over FY2022-FY2024E. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Tata Elxsi - 220422 -khan","Buy, Recommendations, Sharekhan, Tata Elxsi",https://www.moneycontrol.com//news/recommendations/buy-tata-elxsi-targetrs-9000-sharekhan_16300321.html
8,TEI,2022-04-22T23:02:31+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Accumulate Tata Elxsi; target of Rs 8884: KR Choksey,"KR Choksey recommended Accumulate rating on ICICI Bank with a target price of Rs 8884 in its research report dated April 21, 2022.","KR Choksey's research report on Tata Elxsi TATA Elxsi Ltd (TELX) Q4FY22 performance was slightly lower than our estimate. Rupee revenue grew by 7.3% QoQ to INR 6,817Mn (with a CC revenue growth of 7.4% in Q4FY22), powered by Embedded Product Design (EPD) growing at 7.5% QoQ, while Industrial Design and Visualization (IDV) grew smartly at 8.0% QoQ. Operating margin for the quarter stood at 32.1%. The overall growth was fueled by digital and platform-led deals. Significant growth in the automotive market helped TELX to win large and strategic deals with both OEM and suppliers in EV and autonomous technologies. Reported Net profit grew by 6% QoQ to INR 1,600Mn with margin of 23.5%. In-spite of the ongoing talent crunch, margins to remain stable in the near term, led by higher offshoring/utilization, deeper customer mining, large sustainable deals, rebalancing vertical/geographical mix and operating leverage. The deal pipeline remains robust with a good mix of large deals and has seen traction in Rail, commercial vehicle &amp;amp;amp; healthcare segment. Our target price of INR 8,884 is based on 64x Mar-24E EPS with EPS CAGR of 25.4% over FY22-24E.  Outlook TELX is currently trading at a valuation with a P/E multiple of 70.2x/56.9x on FY23E/FY24E earnings. We expect strong deal momentum across verticals, addition of new clients from newer geographies, higher focus on IDV especially in design-led digital projects, and multi-year tailwind in EPD and hence we are assigning a P/E multiple of 64x to the FY24 estimated EPS of INR 138.8 to arrive at a target price of INR 8,884 per share (Earlier INR 7,504), an upside of 12.4% over the CMP. Accordingly, we maintain our rating to an &ldquo;ACCUMULATE&rdquo; to the stock. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  ICICI Securities - 220422 - kr","Accumulate, ICICI Bank, KR Choksey, Recommendations",https://www.moneycontrol.com//news/recommendations/accumulate-tata-elxsi-targetrs-8884-kr-choksey_16300061.html
9,TEI,2022-03-16T16:31:24+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Neutral Tata Elxsi; target of Rs 6755: Choice Equity Broking,"Choice Equity Broking recommended Neutral rating on Tata Elxsi with a target price of Rs 6755 in its research report dated March 16, 2022.","Choice Equity Broking's report on Tata Elxsi Tata Elxsi is amongst the fastest growing premium engineering service provider with domain expertise across industries, including Automotive, Broadcast, Communications, Healthcare, and Transportation. The company has recently opened a Global Engineering Center (GEC) in partnership with Schaeffler Technologies, a world leader in providing mechatronics solutions for the Transportation industry. Apart from being one of the top five ADAS service providers globally, it is also a significant contributor to the media &amp;amp;amp; communications industry with innovative designs for 5G use cases &amp;amp;amp; medical heath devices. In the recent past, the company has developed a niche clientele in the OTT media with rapid innovationsin the AdTech space.  Outlook Given the rich valuation, despite the company&rsquo;s robust revenue growth &amp;amp;amp; building pipeline of deal wins, we initiate a coverage on the stock with a NEUTRAL rating and a target price of Rs. 6,755. More Info At 16:01 hrs Tata Elxsi was quoting at Rs 7,201.60, up Rs 206.20, or 2.95 percent. It has touched an intraday high of Rs 7,248.70 and an intraday low of Rs 7,040.00. It was trading with volumes of 10,513 shares, compared to its thirty day average of 34,738 shares, a decrease of -69.74 percent. In the previous trading session, the share closed down 2.41 percent or Rs 172.95 at Rs 6,995.40. The share touched its 52-week high Rs 7,949.00 and 52-week low Rs 2,581.20 on 01 February, 2022 and 25 March, 2021, respectively. Currently, it is trading 9.4 percent below its 52-week high and 179 percent above its 52-week low. Market capitalisation stands at Rs 44,849.00 crore. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  Tata Elxsi - 16032022 - choice ","Choice Equity Broking, neutral, Recommendations, Tata Elxsi",https://www.moneycontrol.com//news/recommendations/neutral-tata-elxsi-targetrs-6755-choice-equity-broking_16196141.html
