,company,datePublished,author,headline,description,articleBody,tags,url
0,TEL,2024-03-06T13:41:35+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Tata Motors; target of Rs 1188: Sharekhan,"Sharekhan is bullish on Tata Motors has recommended buy rating on the stock with a target price of Rs 1188 in its research report dated March 05, 2024.","Sharekhan's research report on Tata Motors Tata Motors Ltd plans to separately list its CV and PV businesses in equity markets. TML has been consistently showing an improvement in all of its business segments. Outlook We maintain a Buy with a revised PT of Rs 1,188 on expectations of continued improvement in JLR, PV and CV business and reduced net automotive debt from current levels. Stock trades at P/E multiple of 14.6x and EV/EBITDA multiple of 5.6x its FY26E estimates. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Tata Motors - 06032024 - khan","Buy, Recommendations, Sharekhan, Tata Motors",https://www.moneycontrol.com//news/recommendations/buy-tata-motors-targetrs-1188-sharekhan_17488061.html
1,TEL,2024-03-06T12:49:40+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Reduce Tata Motors; target of Rs 901: ICICI Securities,"ICICI Securities recommended reduce rating on Tata Motors with a target price of Rs 901 in its research report dated March 06, 2024.","ICICI Securities research report on Tata Motors Tata Motors (TTMT) approved proposal of demerger of existing listed entity into two listed entities, one w.r.t CVs plus related investments and the other including JLR, India PVs/EVs. With identical shareholding post demerger, we believe this development would help investors manage their holdings in the CV business, as per their assessment of CV cycle&rsquo;s trends. This demerger, in our view, would bring to the fore the synergistic benefits within the PV domain more efficiently and help TTMT unlock further value in domestic PVs vs. valuing India CV+PVs at 10-12x EV/EBITDA &ndash; India PVs shall be valued at 15x EV/EBITDA, 10% discount to MSIL, pushing up overall valuation by ~6%. Outlook We downgrade TTMT to REDUCE from Hold, post its ~40% rally in past three months, with an SoTP-based TP of INR 901 (implying ~13x/2.5x FY26E India/JLR EV/EBITDA). For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Tata Motors - 06032024 -ici","ICICI Securities, Recommendations, Reduce, Tata Motors",https://www.moneycontrol.com//news/recommendations/reduce-tata-motors-targetrs-901-icici-securities_17487861.html
2,TEL,2024-03-06T09:03:49+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","Tata Motors shares take a breather after 7.5% rally, trade flat","Tata Motors shares have pared the 7.5% gain seen in the previous five sessions. On March 5, the stock hit a 52-week high of Rs 1,065.60 after the company announced the decision to split its passenger and commercial vehicle businesses.","Shares of Tata Motors Ltd&nbsp;pared the gains after rallying 7.5&nbsp;percent in the previous&nbsp;five sessions.  On March 5, the stock hit a 52-week high of Rs 1,065.60 after the company announced the decision to split its passenger and commercial vehicle businesses.  The Tata Motors shares have gained over 67&nbsp;percent in the past six months. At 9:20am on March 6, the stock was trading 0.3&nbsp;percent lower at Rs 1,019.  &amp;quot;The demerger is a logical progression of the subsidiarisation of PV and EV businesses done earlier in 2022 and shall further empower the respective businesses to pursue their respective strategies to deliver higher growths with greater agility while reinforcing accountability,&amp;quot; the carmaker said.  Over recent years, the company's commercial vehicle, passenger vehicle that include electric vehicle too, luxury vehicle Jaguar Land Rover (JLR) businesses have implemented distinct growth strategies and, began functioning independently under their respective CEOs since 2021, according to Tata Motors.  The auto major's decision to demerge its businesses into two listed entities was cheered by both brokerages and investors.  Nuvama retained its 'hold' rating on the stock as the brokerage expects moderation in the volume performance of the Jaguar Land Rover and India CV businesses in FY24-26. &amp;quot;Going forward, FY24-26 JLR and India CV volume growth should taper to low single digits,&amp;quot; the brokerage said.  Also Read |&nbsp;Tata Motors demerger: Commercial, passenger vehicle biz to become separate listed entities  Brokerage JP Morgan assigned an 'overweight' tag on the stock and set a price target of Rs 1,000, implying an upside of 1.2 percent from Rs 988, the closing price of the stock on March 3.  Morgan Stanley had assigned a target price of Rs 1,013 to Tata Motors. The brokerage firm is of the view that the decision reflects the company's confidence in the PV segment being self-sustaining and could lead to better value creation for the company.","Buzzing Stocks, CV, JLR, PV, Tata Motors",https://www.moneycontrol.com//news/buzzing-stocks/tata-motors-shares-takebreather-after-75-rally-trade-flat_17487431.html
3,TEL,2024-03-05T14:55:36+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Neutral Tata Motors; target of Rs 1000: Motilal Oswal,"Motilal Oswal recommended Neutral rating on Tata Motors with a target price of Rs 1000 in its research report dated March 05, 2024.","Motilal Oswal's research report on Tata Motors Tata Motors (TTMT) has announced the demerger of its business verticals into two separate listed companies (click here for the press release), which will house: 1) the commercial vehicle (CV) business and its related investments in one entity; and 2) the passenger vehicle (PV) business, including PVs, EVs, JLR, and related investments in another entity. While the demerger seems to be a step in the right direction, we do not foresee any need to revisit our target price, which is already based on SoTP valuation. Outlook Moreover, despite factoring in most of the positive triggers in our estimates, we get limited upside given the recent sharp run-up in the stock. We, hence, downgrade TTMT to Neutral (from BUY) with an unchanged TP of INR1,000 per share. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Tata Motors - 05032024 - moti","Motilal Oswal, neutral, Recommendations, Tata Motors",https://www.moneycontrol.com//news/recommendations/neutral-tata-motors-targetrs-1000-motilal-oswal_17486761.html
4,TEL,2024-03-05T14:28:15+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Reduce Tata Motors; target of Rs 950: Emkay Global Financial,"Emkay Global Financial recommended reduce rating on Tata Motors with a target price of Rs 950 in its research report dated March 04, 2024.","Emkay Global Financial's research report on Tata Motors TTMT&rsquo;s board approved the proposal to demerge the company into two separate listed entities, viz a) CV and its related investments and b) PV, including India PV, EV, JLR, and related investments. This comes across as a logical progression of separate reporting of the CV and India PV financials run by their respective CEOs (since 2021). We believe this signifies management&rsquo;s confidence that the two businesses can operate independently with self-sustaining cash flows.  Outlook While we do not envisage major fundamental changes (as both businesses were run independently), we upward revise our SOTP-based TP marginally to Rs950 (vs. Rs925 earlier) as we factor in 10% premium multiple to TTMT&rsquo;s CV business (vs AL IN) for potential pure-play optionality on CVs with higher scale. Downgrade to REDUCE as recent run-up leaves limited upside. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Tata Motors - 05032024 - emkay","Emkay Global Financial, Recommendations, Reduce, Tata Motors",https://www.moneycontrol.com//news/recommendations/reduce-tata-motors-targetrs-950-emkay-global-financial_17486681.html
5,TEL,2024-03-04T18:52:28+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",Mutual funds sold Rs 1441 crore worth of Tata Motors shares in Jan,"SBI Mutual Fund led January's selling spree among mutual funds, offloading over 58 lakh shares worth Rs 476 crore. Axis and Bandhan Mutual Funds followed, selling over 28 lakh shares and 16 lakh shares worth Rs 225 crore and Rs 132 crore, respectively","&amp;amp;nbsp;  Mutual funds capitalized on Tata Motors' recent upswing, pocketing a profit of around Rs 1441 crore in January. They reduced their collective holdings to 32.80 crore shares from 34.58 crore shares in December, selling around 1.78 crore shares. The Tata Motors stock has risen nearly 2.5x so far this financial year. Sentiment for the stock was further bolstered when the automaker reported a sturdy set of earnings for the December quarter, with revenues rising 25 percent and net profit by 137 percent year-on-year.  SBI Mutual Fund led January's selling spree in Tata Motors shares, offloading over 58 lakh shares worth Rs 476 crore. Axis and Bandhan Mutual Funds followed, selling over 28 lakh shares and 16 lakh shares worth Rs 225 crore and Rs 132 crore, respectively. Additional net sellers included Edelweiss, ICICI Prudential, DSP, Aditya Birla Sun Life, and Kotak Mahindra Mutual Funds, each selling just above Rs 100 crore.   Mirae Assets MF increased its Tata Motors shares by around Rs 84 crore in January, with HSBC MF and Franklin Templeton MF following suit, adding around Rs 65 crore and Rs 60 crore to their portfolios, respectively.  Even after the sales, SBI Mutual Fund leads in Tata Motors stakes with holding over 7.96 crore shares which is worth Rs 7034.44 crore, followed by Axis and UTI Mutual Fund with over 3.91 crore and 88.54 lakh shares which is worth Rs 3452 crore and Rs 3058 crore. Other stakeholders include HDFC MF, Nippon India MF, Aditya Birla Sun Life MF, and DSP Mutual Fund, holding approximately Rs 2782 crore, Rs 1916 crore, Rs 1830 crore, and Rs 1118 crore, respectively.  The stock has risen for four consecutive months, boasting a 26% increase in 2024 so far. It has shown consistent gains since January 2023, experiencing negative returns only in February, August, and October for a total of three months.  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.",Tata Motors,https://www.moneycontrol.com//news/buzzing-stocks/mutual-funds-sold-rs-1441-crore-worthtata-motors-sharesjan_17485441.html
6,TEL,2024-02-29T08:43:46+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",CLSA downgrades Tata Motors to 'outperform' but sees 11% upside potential,A sharp rally in the counter prompted the downgrade but CLSA remains bullish on Tata Motors' growth prospects.,"Global broking firm CLSA downgraded the shares of Tata Motors to 'outperform' from 'buy', citing the recent sharp run-up in stock price. The firm remains largely bullish on the automaker's growth prospects and hence assigned a price target of Rs 1,061 for the stock, sensing a near 11 percent upside potential.  Shares of Tata Motors surged over 18 percent in the past month, having scaled greater highs in the period. The strong momentum for the stock is triggered by expectations of strong growth and its robust quarterly performance.  The firm was impressed by the robust volume growth put up by the Tata Motors luxury arm. Jaguar Land Rover posted a 14.5 percent on-year growth in retail volumes in January, whereas CLSA noted that its volumes in Q4 are tracking higher than that seen in Q3.  Follow our market blog to catch all the live updates  Going ahead, CLSA sees JLR's&nbsp;UK, European Union and China volumes rising 43 percent, 12&nbsp;percent and 38&nbsp;percent on-year, respectively. The firm also noted that discounts on Jaguar increased whereas those on Land Rover have declined in January.  CLSA is also positive about the decline in net debt levels for JLR by&nbsp;&pound;675 million and forecasts the company to turn net cash by FY25.  On February 28, shares of Tata Motors settled marginally lower at Rs 958.05 on the NSE.  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Buzzing Stocks, CLSA, Tata Motors",https://www.moneycontrol.com//news/buzzing-stocks/clsa-downgrades-tata-motors-to-39outperform39sees-11-upside-potential_17481471.html
7,TEL,2024-02-12T14:16:08+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",Tata Motors ties up with LeadIT for greener future,"As a member of LeadIT, the auto major will be able to harness the power of global best practices, influence policy-making, and together with other members strengthen climate action plans, thereby accelerating transition towards net-zero emissions.","Tata Motors on Monday said it has tied up with the Leadership Group for Industry Transition (LeadIT), a global alliance launched by governments of Sweden and India at the UN Climate Action Summit in September 2019.  As a member of LeadIT, the auto major will be able to harness the power of global best practices, influence policy-making, and together with other members strengthen climate action plans, thereby accelerating transition towards net-zero emissions.  &amp;quot;Our pledge to attain net-zero emissions across our Passenger Vehicles (PV) business by 2040, and our Commercial Vehicles (CV) business by 2045, is a testament to our commitment to a greener future,&amp;quot; Tata Motors Vice President and Chief Sustainability Officer SJR Kutty said in a statement.  Joining forces with LeadIT propels the automaker closer to these ambitious goals, facilitating a journey towards sustainable transformation, he added.  Sweden's Minister for Climate and the Environment and Co-Chair of LeadIT, Romina Pourmokhtari said the membership signals an important commitment to net-zero from a leading global manufacturer in the supply chain.  &amp;quot;Demand signals are crucial for the transformation of our industry. Fostering dialogues and strengthening partnerships in areas where transition challenges need to be addressed is core to achieving reduced climate emissions,&amp;quot; she added.","Business, Companies, Tata Motors",https://www.moneycontrol.com//news/business/tata-motors-ties-upleadit-for-greener-future_17445101.html
8,TEL,2024-02-05T09:51:47+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",Tata Motors zooms 7% on beating the Street with 137% surge in Q3 profit,"Revenue from operations for the same period grew 25 percent YoY to Rs 1,10,577 crore for the quarter, while EBITDA for the quarter grew 59 percent to Rs 15,333.3 crore.","Shares for Tata Motors zoomed&nbsp;7 percent in early trade on February 5 at the open on the NSE after outpacing the Street estimates with robust Q3 numbers. In the last one year, the stock has accelerated nearly 99 percent. At&nbsp;9:30am, it was trading at Rs 942.  Follow our market blog for live updates  In a regulatory filing on February 2, after the market hours, Tata Motors reported&nbsp;a 137.5 percent on-year growth in consolidated profit of Rs 7,025 crore for the quarter ended December 2023.&nbsp;Revenue from operations for the same period grew 25 percent YoY to Rs 1,10,577 crore for the quarter, while EBITDA for the quarter&nbsp;grew 59 percent to Rs 15,333.3 crore. Margin for the reporting period expanded&nbsp;300 basis points to 13.9 percent  Also read:&nbsp;Tata Motors Q3 consolidated net profit jumps 2x to Rs 7,025 crore, beats estimates  What the brokerages say  Analysts at Jefferies have a 'buy' call on the stock and have raised the target to Rs 1,100 per share. According to the brokerage, the company expects a better Q4 led by seasonality and improving supplies at JLR. While the brokerage sees some demand concerns in India in CY2024, they like the company's strong PV launch pipeline. Jefferies has raised the FY2024-26 EPS by 7-11 percent.  The company, according to Motilal Oswal, should put up a healthy recovery as supply-side issues ebb (for JLR) and commodity headwinds stabilise (for the India business). They believe that the next leg of growth for the company will be driven by JLR as they expect EBIT margin to reach around 9.9 percent by FY26, in line with the management&rsquo;s guidance.  &amp;quot;While the India CV and PV businesses would see some moderation in growth in FY25, the focus shifts to margin expansion led earnings growth, which is likely to sustain,&amp;quot; the MOSL report adds.  Disclaimer: The views and investment tips expressed by investment experts on&nbsp;Moneycontrol.com&nbsp;are their own and not those of the website or its management.&nbsp;Moneycontrol.com&nbsp;advises users to check with certified experts before taking any investment decisions.","Buzzing Stocks, Tata Motors",https://www.moneycontrol.com//news/buzzing-stocks/tata-motors-zooms-7beatingstreet137-surgeq3-profit_17428921.html
9,TEL,2024-02-02T17:12:41+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","Tata Motors Q3 consolidated net profit jumps 2x to Rs 7,025 crore, beats estimates","Tata Motors&rsquo; total vehicle sales across segment in the domestic &amp;amp; international market for Q3 stood at 234,981 vehicles, compared to 228,169 units during the year-ago period.","Tata Motors on February 2 reported a two-fold jump in its consolidated net profit at Rs 7,025 crore&nbsp;for the October-December quarter from Rs 2,957.71 crore year ago, helped by robust demand for passenger and commercial vehicles in India, sustained growth in Jaguar Land Rover models, easing raw material costs, price hikes and a superior product mix.  Revenue&nbsp;surged 24.9 percent on-year to Rs&nbsp;110,577 crore as against Rs 88,489 crore in the same period last year,&nbsp;Tata Motors said in an exchange filing.  The results exceeded analysts&rsquo; expectations, which expected the Mumbai-based automaker&rsquo;s net profit to grow 54 percent year-on-year (YOY) to Rs 4,547 crore in the October-December quarter. The estimates also suggested that revenue will shoot up by 22 percent on-year to Rs 1,08,169 crore.  The Tata Group company's earnings before interest, taxes, depreciation and amortization (EBITDA) jumped by a sharp 42.5 percent YoY to Rs 15,333 crore, and operating margin expanded by 171 basis points to 13.94 percent.  The company&rsquo;s revenue from&nbsp;Jaguar Land Rover (JLR business) climbed to Rs 76,665 crore in the last quarter against Rs 58,863 crore in the December 2022 quarter.  ALSO READ: Tata Motors surges 5 percent to hit all time high, crosses Maruti Suzuki in market capitalisation  Tata Motors&rsquo; total vehicle sales across segment in the domestic&nbsp;and international market for Q3 FY2023-24 stood at 234,981 vehicles, higher than 228,169 units during Q3 FY 2022-23.  P.B. Balaji, Group Chief Financial Officer, Tata Motors said, &ldquo;It is satisfying to see our businesses execute well on their differentiated strategies and deliver a strong set of results for the quarter, thereby making it six quarters of consistent delivery. We aim to end the year on a strong footing and remain confident of sustaining our performance in the coming quarters and delivering on our de-leveraging plans.&rdquo;  In Q3FY24, Tata Motors recorded wholesales of 138,455 units of Passenger Vehicles (up five percent vs Q3FY23) and 96,526 units of commercial vehicles (up 1 per cent vs Q3FY23). Sales of its British subsidiary, Jaguar Land Rover&mdash;excluding the China joint venture&mdash;rose 27 percent to 1.01 lakh units.  On the near-term outlook, Tata Motors maintained that it remains positive on all three auto businesses.  &ldquo;We expect the performance to further improve in Q4 on account of seasonality, new launches and improving supplies at JLR. We achieved net debt reduction of Rs 9.5K crore in Q3 and we are confident of achieving our deleveraging plans,'' said Tata Motors in its regulatory filing to the stock exchanges.  Shares of Tata Motors ended up 0.05 percent at Rs 878.80 apiece on the BSE on February 2.","automakers, automobile, carmaker, Jaguar Land Rover, Results, Tata Motors",https://www.moneycontrol.com//news/results/tata-motors-q3-consolidated-net-profit-jumps-2x-to-rs-7025-crore-beats-estimates_17427651.html
