,company,datePublished,author,headline,description,articleBody,tags,url
0,TJ01,2018-04-18T15:14:44+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",Avoid Tara Jewels: Akash Jain,"&amp;quot;We would avoid Tara Jewels owing to its weak financials,&amp;quot; says Akash Jain, Vice-president, Equity Research at Ajcon Global Services.","Akash Jain  We would avoid Tara Jewels owing to its weak financials. In addition, the market sentiments are weak for new and smaller players in the listed space.  To give a background, Tara Jewels Limited is a public listed company since 2012 and has witnessed significant price correction after its listing. In addition, the low promoter holding in the company does not give us the confidence to enter this company.  The company's promoters sold 1.8 million shares or 7.32&nbsp;percent stake through the open market between December 18 and December 26 for Rs 24.62 crore. After the transaction, the promoter stake has decreased to 39.22&nbsp;percent from 46.53&nbsp;percent, the company said on December 2017.  Disclaimer: The author is&nbsp;Vice-president, Equity Research at Ajcon Global Services. The views and investment tips expressed by investment experts on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Stocks Views, Tara Jewels",https://www.moneycontrol.com//news/stocks-views/avoid-tara-jewels-akash-jain_10796341.html
1,TJ01,2017-07-31T18:38:46+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","Tara Jewels' board meeting held on August 10, 2017","This is to inform you that the board of Directors meeting to be held on August 10, 2017.","BOARD MEETING ON AUGUST 10, 2017Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/tara-jewels39-board-meeting-heldaugust-10-2017_9365301.html
2,TJ01,2017-01-31T12:23:13+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Tara Jewels' board meeting on February 10, 2017","Tara Jewels Ltd has informed BSE that the meeting of the Board of Directors of the Company is scheduled to be held on February 10, 2017, to consider and approve the Un-audited Financial Results of the Company for the Quarter ended December 31, 2016.","Tara Jewels Ltd has informed BSE that the meeting of the Board of Directors of the Company is scheduled to be held on February 10, 2017, inter alia, to consider and approve the Un-audited Financial Results of the Company for the Quarter ended December 31, 2016.Further, as per the Company's Code of Conduct for Prohibition of Insider Trading for Designated Employees, framed pursuant to the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations, 2015, the Trading Window for dealing in the securities of the Company has been closed for the purpose of declaration of Un-audited Financial Results of the Company for the Quarter ending December 31, 2016 for all Designated Employees (including Directors) of the Company and their dependents from February 01, 2017 till 48 hours after the announcement of the financial results of the Company to the Stock Exchanges (both days inclusive).Source : BSE Read all announcements in Tara Jewels",Announcements,https://www.moneycontrol.com//news/announcements/tara-jewels-board-meetingfebruary-10-2017_8379241.html
3,TJ01,2016-09-20T16:07:17+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Tara Jewels: Outcome of AGM,"Tara Jewels Ltd has informed BSE that the 15th Annual General Meeting (AGM) of the Company was held on September 19, 2016.","Tara Jewels Ltd has informed BSE that the 15th Annual General Meeting (AGM) of the Company was held on September 19, 2016.Source : BSE Read all announcements in Tara Jewels",Announcements,https://www.moneycontrol.com//news/announcements/tara-jewels-outcomeagm_7484081.html
4,TJ01,2016-09-02T22:17:10+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Tara Jewels: Outcome of board meeting,"Tara Jewels has informed regarding Outcome of Board Meeting held on September 02, 2016.","Tara Jewels Ltd has informed BSE regarding Outcome of Board Meeting held on September 02, 2016.Source : BSE Read all announcements in Tara Jewels",Announcements,https://www.moneycontrol.com//news/announcements/tara-jewels-outcomeboard-meeting_7404461.html
5,TJ01,2016-08-08T12:44:14+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Tara Jewels' revised AGM on September 19, 2016","Tara Jewels Ltd has informed BSE that Director's of the Company have decided to convene the 15th Annual General Meeting of the Company on September 19, 2016 instead of September 08, 2016 as intimated earlier.","Tara Jewels Ltd has informed BSE that Director's of the Company have decided to convene the 15th Annual General Meeting of the Company on September 19, 2016 instead of September 08, 2016 as intimated earlier.Source : BSE Read all announcements in Tara Jewels",Announcements,https://www.moneycontrol.com//news/announcements/tara-jewels-revised-agmseptember-19-2016_7221321.html
6,TJ01,2016-05-23T22:43:44+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Tara Jewels: Outcome of board meeting,"Tara Jewels has informed regarding Outcome of Board Meeting held on May 23, 2016.","Tara Jewels Ltd has informed BSE regarding Outcome of Board Meeting held on May 23, 2016.Source : BSE Read all announcements in Tara Jewels",Announcements,https://www.moneycontrol.com//news/announcements/tara-jewels-outcomeboard-meeting_6727821.html
7,TJ01,2016-05-10T12:43:36+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Tara Jewels' board meeting on May 23, 2016","Tara Jewels Ltd has informed BSE that meeting of the Board of Directors of the Company is scheduled to be held on May 23, 2016, inter alia, among other matters, to consider and approve the audited standalone and consolidated Financial Results of the Company for the Quarter and Year ended March 31, 2016.","Tara Jewels Ltd has informed BSE that meeting of the Board of Directors of the Company is scheduled to be held on May 23, 2016, inter alia, among other matters, to consider and approve the audited standalone and consolidated Financial Results of the Company for the Quarter and Year ended March 31, 2016.Further, as per the Company's Code of Conduct for Prohibition of Insider Trading for Designated Employees, framed pursuant to the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations, 2015, the Trading Window for dealing in the securities of the Company has been closed for the purpose of declaration of audited Financial Results of the Company for the Quarter and Year ending March 31, 2016 for all Designated Employees (including Directors) of the Company and their dependents from May 12, 2016 till 48 hours after the announcement of the financial results of the Company to the Stock Exchanges (both days inclusive&amp;quot;).Source : BSE Read all announcements in Tara Jewels",Announcements,https://www.moneycontrol.com//news/announcements/tara-jewels-board-meetingmay-23-2016_6599381.html
8,TJ01,2016-02-15T07:47:29+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Tara Jewels consolidated Dec '15 sales at Rs 569.41 crore,Tara Jewels has reported a consolidated total income from operations of Rs 569.41 crore and a net profit of Rs 16.67 crore for the quarter ended Dec '15,"Tara Jewels has reported a consolidated total income from operations of Rs 569.41 crore and a net profit of Rs 16.67 crore for the quarter ended Dec '15.For the quarter ended Dec 2014 the consolidated total income from operations was Rs 502.01 crore and net profit was Rs 16.19 crore.Tara Jewels shares closed at 38.40 on February 11, 2016 (NSE) and has given -32.22% returns over the last 6 months and -50.74% over the last 12 months.Tara JewelsConsolidated Quarterly Results-------- in Rs. Cr. --------Dec '15Sep '15Dec '14Net Sales/Income from operations569.41348.12502.01Other Operating Income------Total Income From Operations569.41348.12502.01EXPENDITUREConsumption of Raw Materials265.43218.32215.07Purchase of Traded Goods108.4382.94111.67Increase/Decrease in Stocks108.21-21.5381.31Power &amp;amp; Fuel------Employees Cost13.8411.4114.61Depreciation5.095.288.72Excise Duty------Admin. And Selling Expenses------R &amp;amp; D Expenses------Provisions And Contingencies------Exp. Capitalised------Other Expenses26.4823.7528.96P/L Before Other Inc., Int., Excpt. Items &amp;amp; Tax41.9327.9541.67Other Income1.231.291.15P/L Before Int., Excpt. Items &amp;amp; Tax43.1629.2342.82Interest18.8918.1719.85P/L Before Exceptional Items &amp;amp; Tax24.2711.0622.98Exceptional Items------P/L Before Tax24.2711.0622.98Tax7.603.626.79P/L After Tax from Ordinary Activities16.677.4416.19Prior Year Adjustments------Extra Ordinary Items------Net Profit/(Loss) For the Period16.677.4416.19Minority Interest------Share Of P/L Of Associates------Net P/L After M.I &amp;amp; Associates16.677.4416.19Equity Share Capital24.6224.6224.62Reserves Excluding Revaluation Reserves------Equity Dividend Rate (%)------EPS Before Extra OrdinaryBasic EPS6.773.026.58Diluted EPS6.773.026.58EPS After Extra OrdinaryBasic EPS6.773.026.58Diluted EPS6.773.026.58Public Share HoldingNo Of Shares (Crores)--0.980.99Share Holding (%)--39.9340.06Promoters and Promoter Group Shareholdinga) Pledged/Encumbered- Number of shares (Crores)--0.33--- Per. of shares (as a % of the total sh. of prom. and promoter group)--22.55--- Per. of shares (as a % of the total Share Cap. of the company)--13.55--b) Non-encumbered- Number of shares (Crores)--1.151.48- Per. of shares (as a % of the total sh. of prom. and promoter group)--77.45100.00- Per. of shares (as a % of the total Share Cap. of the company)--46.5259.94Source :  Dion Global Solutions Limited","Diamond Cutting & Jewellery & Precious Metals, Results, Tara Jewels",https://www.moneycontrol.com//news/results/tara-jewels-consolidated-dec-15-sales-at-rs-56941-crore_5465881.html
9,TJ01,2016-02-12T09:08:07+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Tara Jewels: Outcome of board meeting,"Tara Jewels Ltd has informed BSE that the Board of Directors of the Company at its meeting held on February 11, 2016, has considered the  resignation of Mr. Sanjay Sethi as a Director of Company w.e.f. February 11, 2016.","Tara Jewels Ltd has informed BSE that the Board of Directors of the Company at its meeting held on February 11, 2016, inter alia, has considered the  following:1. Mr. Sanjay Sethi resigned as a Director of Company w.e.f. February 11, 2016.2. Mr. Francois Arpels resigned as a Director of Company w.e.f. February 11, 2016.2. Board also approved to enter into joint venture/create wholly owned subsidiaries globally as per business requirement from time to time.Source : BSE Read all announcements in Tara Jewels",Announcements,https://www.moneycontrol.com//news/announcements/tara-jewels-outcomeboard-meeting_5431241.html
