,company,datePublished,author,headline,description,articleBody,tags,url
0,TM4,2024-01-31T09:32:26+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Hold Tech Mahindra; target of Rs 1357: KR Choksey,"KR Choksey recommended hold rating on Tech Mahindra with a target price of Rs 1357 in its research report dated January 29, 2024.","KR Choksey's research report on Tech Mahindra TECHM saw a decline of 4.6% YoY and a growth of 1.8% QoQ, registering revenue of INR 131,013 Mn for Q3FY24. This was 1.9% higher than our estimate. Revenue for 9MFY24 reduced by 1.1% YoY to INR 3,91,242 Mn. &bull; EBIT for the quarter was INR 7,030 Mn, a decline of 57.3% YoY and growth of 15.9% QoQ. EBIT margin was 5.4%, lower by 662 bps YoY and higher by 65 bps QoQ. The EBIT was 25.8% below our estimate due to higher employee benefit expenses and other expenses. &bull; EBIT for 9MFY24 contracted 51.5% YoY while EBIT margin reduced by 585 bps YoY, respectively. &bull; PAT for the quarter contracted 59.3% YoY and expanded by 3.6% QoQ to INR 5,237 Mn, missing our expectations by 35.4% due to lower EBIT and other income. For 9MFY24, PAT contracted by 53.6% YoY and PAT margin declined by 500 bps, respectively. Outlook Although Tech Mahindra has delivered poor revenue growth over the past few quarters, the sequential improvement in revenue and margins in Q3FY24 was a positive. However, high exposure to the telecom sector, where growth has been a major challenge, will continue to adversely impact the Company&rsquo;s turnaround efforts, in our view. Tech Mahindra currently trades at a PE multiple of 41.2x on FY24E/ 22.8x on FY25E EPS. We believe the new management and its ability to turnaround the business is yet to be tested. We introduce FY26E earnings of INR 74 and assign a relatively modest PE multiple of 18.3x to arrive at a slightly raised target price of INR 1,357 per share (previously: INR 1,278). Given the 2.6% upside from current levels, we downgrade the stock to &ldquo;HOLD&rdquo; from &ldquo;ACCUMULATE&rdquo;. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Tech Mahindra - 2912024 - kr","Hold, KR Choksey, Recommendations, Tech Mahindra",https://www.moneycontrol.com//news/recommendations/hold-tech-mahindra-targetrs-1357-kr-choksey_17422101.html
1,TM4,2024-01-29T20:13:50+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Neutral Tech Mahindra; target of Rs 1360: Motilal Oswal,"Motilal Oswal recommended Neutral rating on Tech Mahindra with a target price of Rs 1360 in its research report dated January 25, 2024.","Motilal Oswal's research report on Tech Mahindra Tech Mahindra (TECHM) reported 3QFY24 revenue of USD1.57b, up 1.1% QoQ in CC terms. Adjusting for a one-time product-related revenue gain of 140bp, 3Q growth came 80bp ahead of our expectation. CME remains a weak area, declining marginally despite a low base. Enterprise growth was mixed, with Manufacturing and Retail doing well, while BFSI and Technology declined. TECHM had another quarter of low profitability, with 7.0% adj. EBIT margin (excluding restructuring and other one-time costs), down 30bp QoQ/500bp YoY and slightly below our estimates. Reported EBIT margin stood at 5.4%, up 70bp QoQ. 3Q TCV came in at USD381m (-40% QoQ/-52% YoY), pulling down its trailing 12m TCV/book to bill to its lowest in the last 3/5 years. We remain positive about the restructuring initiatives at TECHM under the new leadership. The recent steps, including right-sizing SBUs, investing in key accounts, establishing vertical delivery teams, and prioritizing employee investments, as moves in the right direction. However, we expect to see the positive impact of these actions only gradually, which can result in near-term misalignment with investor expectations, particularly in terms of profitability. With the management committing to incremental clarity post 4Q earnings, April remains the key to any view change. Outlook We remain on the sidelines as we feel the current valuation fairly factors in the uncertainties around growth and margin. Our FY25/FY26 EPS estimates remain broadly unchanged post 3Q results. We remain Neutral on the stock with a TP of INR1,360, as we roll forward to 20x FY26E EPS. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  Tech Mahindra - 2612024 - moti","Motilal Oswal, neutral, Recommendations, Tech Mahindra",https://www.moneycontrol.com//news/recommendations/neutral-tech-mahindra-targetrs-1360-motilal-oswal_17419291.html
2,TM4,2024-01-25T09:11:42+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/lovisha-darad-34111/', 'name': 'Lovisha Darad'}","Brokerages await Tech Mahindra new CEO's turnaround plan post Q3; should you buy, sell, or hold?","Analysts at Nomura shared a 'buy' call for Tech Mahindra, with a target price of Rs 1,470 saying that the Q3 financials were above estimates on growth front","Tech Mahindra's performance for the October-December quarter (Q3FY24) largely met street expectations but brokerages express concerns about the near-term challenges posed by a demand slowdown within a challenging macroeconomic environment. Despite these uncertainties, market analysts remain optimistic about the company's prospects, eagerly expecting insights into the turnaround strategy from the newly appointed CEO, Mohit Joshi, for the medium-term.  Over the last twelve months, the stock of this IT services company has experienced a notable surge, recording a growth of over 31 percent. This outperforms the broader Nifty IT index, which witnessed a comparatively modest rise of 23 percent during the same period.  Street awaits new CEO Mohit Joshi's turnaround strategy  Analysts at Nomura shared a 'buy' call for Tech Mahindra, with a target price of Rs 1,470 per share from last close of Rs 1,407, saying that the Q3 financials were above estimates on growth and margins were in-line with their expectations. The brokerage firm awaits full details of new CEO's turnaround strategy in April 2024.  This is the first quarter since new CEO Joshi completely took over reins of the company from former CEO CP Gurnani. Joshi restructured the organisation and the leadership team to turnaround the business, which came into effect on January 1, 2024.  ALSO READ:&nbsp;Inside Tech Mahindra&rsquo;s restructuring game plan  &amp;quot;The quarter was a mixed outcome. While this dichotomy in the markets will take its own time to settle, we are focusing internally on realigning under the new structure,&amp;quot; said the CEO &amp;amp;amp; MD.  Under Joshi's leadership, the reorganisation plan is structured around three key tracks: enhancing sales performance, improving profit margins, and restructuring the internal organisational culture.  Tech Mahindra's net profit fell by 60 percent on-year to Rs 510 crore in Q3FY24 in a seasonally weak quarter plagued by sluggish demand in key verticlas like hi-tech, telecom, and financial services. Net profit, too, saw a decline of 41 percent YoY to Rs 763 crore in Q3FY24.  Margin improvement contingent on pricing uptick  Meanwhile, the IT services operating margins saw a contraction of 164 basis points (bps) sequentially due to ongoing portfolio restructuring.  Analysts at HSBC shared a 'hold' call on the counter, with a target price of Rs 1,300 per share, sceptical of a turnaround, especially in a tough macro environment. &amp;quot;The margin expansion is contingent on pyramid improvement or a pricing uptick,&amp;quot; they wrote in a post result review analysis.  ALSO READ:&nbsp;MC Pro Quicktake: Tech Mahindra&rsquo;s Q3 results hold out hope for investors  However, Morgan Stanley analysts were 'underweight' on Tech Mahindra, raising target price to Rs 1,220 per share from Rs 1,100, saying that Q3 may mark bottoming of performance.  &amp;quot;We see the company as a good potential turnaround story candidate over the medium term. However, expect sharp downward revisions to consensus estimate in the near-term,&amp;quot; they said.  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Buzzing Stocks, Mohit Joshi, Nifty IT, Tech Mahindra, Tech Mahindra Q3",https://www.moneycontrol.com//news/buzzing-stocks/brokerages-await-tech-mahindra-new-ceo39s-turnaround-plan-post-q3-should-you-buy-sell-or-hold_17414721.html
3,TM4,2023-07-31T14:34:00+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Accumulate Tech Mahindra; target of Rs 1207: KR Choksey,"KR Choksey recommended accumulate rating on Tech Mahindra with a target price of Rs 1207 in its research report dated July 29, 2023.","KR Choksey's research report on Tech Mahindra Tech Mahindra Ltd revenue for Q1FY24 stood at INR 1,31,590 mn, registering a growth of 3.55% on a YoY basis from INR 1,27,079 mn and on a sequential basis it declined by 4.08% from INR 1,37,182 mn. The EBIT for Q1FY24 stood at INR 8,914 mn, which showed a decline of 36.48% on a YoY basis from INR 14,034 mn and on a QoQ basis it declined by 32.36% from INR 13,178 mn. The operating margin for the quarter came at 6.77%, which shown a decline of 284 bps on a sequential basis and 427 bps on a YoY basis. PAT for Q1FY24 stood at INR 7,036 mn, which showed a decline of 38.81% on a YoY basis from INR 11,475m mn and on a sequential basis it declined by 38.03% from INR 11,250 mn. The PAT margin for the quarter stood at 5.35%, which declined by 285 bps on a sequential basis and 368 bps on a YoY basis. The EPS for the quarter stood at INR 7.82 as against INR 12.62 sequentially and INR 12.78 in a YoY basis. Outlook Tech Mahindra is currently trading at a valuation with a P/E multiple of 17.7x/13.0x on FY24E/FY25E earnings. The story is premised on pipeline commentary, improved services portfolio (design, engineering and consulting) &amp;amp;amp; acquisition synergies, and 5G-related spending and reduction in the attrition rate and hence we are assigning a P/E multiple of 14x to the FY25E estimated EPS of INR 86.2 to arrive at a target price of INR 1,207, with an upside of around 7.7%. Accordingly, we kept our rating to a &ldquo;Accumulate&rdquo; for the stock. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  Tech Mahindra - 28 -07 - 2023 - kr","Accumulate, KR Choksey, Recommendations, Tech Mahindra",https://www.moneycontrol.com//news/recommendations/accumulate-tech-mahindra-targetrs-1207-kr-choksey_17143721.html
4,TM4,2023-07-30T11:08:15+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Neutral Tech Mahindra; target of Rs 1080: Motilal Oswal,"Motilal Oswal recommended Neutral rating on Tech Mahindra with a target price of Rs 1080 in its research report dated July 27, 2023.","Motilal Oswal's research report on Tech Mahindra Tech Mahindra (TECHM) delivered a weak 1QFY24 performance, with revenue declining 4.2% QoQ in CC to USD1.6b, missing our estimate of a 2.5% decline. The weakness was primarily due to a slowdown in CME (down 9.5% QoQ), while Enterprise saw a marginal dip vs. 4QFY23. 1Q EBIT margin (adjusted for client-specific write-off) was down 240bp QoQ at 8.8% (est. 10.6%). TECHM delivered weak TCV for the second straight quarter at USD359m, down 39% QoQ after a 25% QoQ decline in Q4. Given the slowdown in Communications business across IT services peers in the last few weeks, there was a concern about a weak revenue performance from TECHM. But we were still surprised by the sharp drop in CME vertical (38% of revenues in 1Q) even after adjusting for the Comviva seasonality. While we expect the segment to return to growth in 2Q, we remain concerned about near-term demand in the space, given the adverse readthrough from the global ecosystem, including telecom hardware makers. We factor in USD revenue decline of 7.1% YoY in the vertical in FY24. Outlook We remain on the sidelines as we feel the current valuation fairly factors in the uncertainties around growth and margin. We cut our FY24/FY25 EPS estimates by 8-10% on weak margin and muted outlook. We remain Neutral on the stock with a TP of INR1,080 (17x FY25E EPS). For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  Tech Mahindra - 27 -07 - 2023 - moti","Motilal Oswal, neutral, Recommendations, Tech Mahindra",https://www.moneycontrol.com//news/recommendations/neutral-tech-mahindra-targetrs-1080-motilal-oswal_17141671.html
5,TM4,2023-07-29T22:03:17+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Reduce Tech Mahindra; target of Rs 1050: Sharekhan,"Sharekhan recommended reduce rating on Tech Mahindra with a target price of Rs 1050 in its research report dated July 26, 2023.","Sharekhan's research report on Tech Mahindra Constant currency revenue declined 4.1% q-o-q, missing our estimates of 1.9% decline q-o-q, due to weak revenues from CME and BFSI verticals, down 9.4%/3.2% q-o-q. EBIT margin contracted sharply by ~440 bps q-o-q to 6.8 %, below our estimates of 10.8% due to revenue drop impacting margin, one-time provisioning and seasonality. Net new deal win (TCV) for the quarter stood at $359 million, down 39% q-o-q/ 55% y-o-y. The number of active clients declined by 42 to 1255.Net headcount declined by 4,103 taking the total headcount to 1,48,297.  Outlook Tech Mahindra reported the weakest performance among Tier 1 IT service companies with declining trajectory of Net new deal wins which places its earnings outlook at risk. Hence, we downgrade Tech Mahindra to Reduce with revised PT of Rs 1050. At CMP, the stock trades at 21.2/15.5x FY24E/FY25E EPS. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  Tech Mahindra - 27 -07 - 2023 - khan","Recommendations, Reduce, Sharekhan, Tech Mahindra",https://www.moneycontrol.com//news/recommendations/reduce-tech-mahindra-targetrs-1050-sharekhan_17141421.html
6,TM4,2023-07-29T21:43:09+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Reduce Tech Mahindra; target of Rs 1020: HDFC Securities,"HDFC Securities recommended reduce rating on Tech Mahindra with a target price of Rs 1020 in its research report dated July 26, 2023.","HDFC Securities' research report on Tech Mahindra Tech Mahindra&rsquo;s (TECHM) disappointing Q1 performance has elements that could take longer to recover. While the dismal levels of margin are the bottom, its recovery trajectory can be protracted. The slip in Q1 revenue of -4% QoQ was largely led by the CME vertical (38% of revenue) which dropped 9.5% QoQ, while the Enterprise segment delivered in line with peers (flat sequentially). The decline in the CME vertical was a combination of impact on network services, lower discretionary spend, and transition-delay between project completion and project/phase starts. The margin was impacted by certain oneoffs pertaining to provision towards client-specific situations (-200bps impact).  Outlook We downgrade TECHM to Reduce (ADD earlier) with a TP at INR 1,020 (14x Jun-25E EPS) as recovery in growth/margin may be protracted on sub-par bookings and near-term challenges in CME vertical may persist for longer (recent instances of deals from large customers going to competition as well as business challenges for telcos). For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  Tech Mahindra - 27 -07 - 2023 - hdfc","HDFC Securities, Recommendations, Reduce, Tech Mahindra",https://www.moneycontrol.com//news/recommendations/reduce-tech-mahindra-targetrs-1020-hdfc-securities_17141351.html
7,TM4,2023-07-29T19:56:59+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Buy Tech Mahindra; target of Rs 1200: Emkay Global Financial,"Emkay Global Financial is bullish on Tech Mahindra has recommended buy rating on the stock with a target price of Rs 1200 in its research report dated July 27, 2023.","Emkay Global Financial's research report on Tech Mahindra TechM&rsquo;s revenue slumped 4% QoQ (4.2% CC) to USD1.6bn, missing our estimates. EBITM declined by 440bps QoQ to 6.8%, well below our estimate even after adjusting for one-offs. The sharp decline in CME (-9.4% QoQ), owing to cut in discretionary spending and closure of network services projects, largely explains the revenue miss. Deal wins remain weak, and stand at USD359mn (TTM deal-intake down ~25% YoY). Mgmt attributed the weak performance to cut in discretionary spend/delay in decision making amid macro uncertainties. It expects performance to recover in H2. We cut FY24E EPS by ~17%, factoring-in a weak Q1 and near-term uncertainty, while lowering FY25- 26E EPS by &amp;amp;lt;2%, in anticipation of demand improvement/better execution. TechM has failed to capitalize on its strength in the areas of communications, ER&amp;amp;amp;D, BPO, XDS, etc, and deliver consistent performance in the past. Outlook We believe leadership change gives more credence to turnaround efforts, entailing better execution, sustainable margin expansion and scaling of BFSI &amp;amp;amp; other verticals (ex-CME). We retain BUY; TP: Rs1,200, at 16x Jun-25E EPS. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.  Tech Mahindra - 27 -07 - 2023 - emkay","Buy, Emkay Global Financial, Recommendations, Tech Mahindra",https://www.moneycontrol.com//news/recommendations/buy-tech-mahindra-targetrs-1200-emkay-global-financial_17141151.html
8,TM4,2023-07-26T08:48:09+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",Tech Mahindra Q1 Preview: Net profit expected to decline on macro headwinds,"The Mahindra Group firm is likely to report a net profit of Rs 1,107 crore, representing a decline of 2.12 percent YoY amid global headwinds, as per analysts.","IT services firm Tech Mahindra is expected to report a marginal decline in net profit for the first quarter of this fiscal amid flat-to-negative revenue growth due to lower tech spends triggered by the economic slowdown in the West, analysts said.  The Mahindra Group firm is likely to report a net profit of Rs 1,107 crore, representing a decline of 2.12 percent YoY, as per the average of a poll of estimates of four brokerages.  Tech Mahindra had posted a consolidated net profit of Rs 1,131 crore in the first quarter of the preceding fiscal FY23.  When compared sequentially, the company&rsquo;s net profit is seen contracting by 0.90 percent compared to Rs 1,117 crore in Q4 FY23.  Revenue is estimated to grow 6.23 percent to Rs 13,499 crore from Rs 12,707 crore in Q1 FY23. However sequentially, it is expected to decline from the consolidated revenue&nbsp;of Rs 13,718 crore clocked in the preceding quarter Q4 FY23.    &amp;amp;nbsp;  &ldquo;We expect TechM to report -2.3 percent QoQ decline in constant currency and -2 percent in USD -- driven by overall weak macro, lower tech spend and Q1 seasonality,&rdquo; analysts at Nuvama Institutional Equities said in a note to clients.  It also expects margins to decline by 110 bps QoQ -- mainly due to wage hike, Q1 seasonality and decline in revenue.  The company&rsquo;s EBITDA margin stood at 11.2 percent in the preceding quarter and 11 percent in Q1 FY23.  &ldquo;Deal wins are expected to be modest, and so is the overall outlook,&rdquo; it added.  Choppy Waters  Foreign brokerage Jefferies expects Tech Mahindra's 1Q revenues to decline by 1.5 percent QoQ (in constant currency terms), impacted by weakness in the communication vertical, seasonal weakness at its subsidiary Comviva and overall macro weakness.  &ldquo;EBIT margin to decline by 150 bps QoQ due to revenue decline and wage hikes. Deal wins likely to be soft similar to last quarter,&rdquo; it added.  Tech Mahindra had posted a 26 percent decline in consolidated net profit for the March quarter of 2022-23, while revenue from operations stayed flat on a sequential basis and up 13 percent on-year.  In a note, Kotak Institutional Equities said Tech Mahindra is likely to post a sharp 3 percent QoQ decline in revenues in the communications vertical and flattish revenues in enterprise segment.  &ldquo;Revenue decline in communications vertical is due to seasonal weakness in Comviva and ramp down by a large telecom client. Of particular focus will be weak top five client billing,&rdquo; it noted.  Revenue decline will likely feed into margins.  &ldquo;We build in EBIT margin decline of 40 bps on a sequential basis due to decline in Comviva margin. Lack of leverage from growth is the key headwind. Utilization levels are maxed out and will provide limited tailwinds,&rdquo; the domestic brokerage added.  Dismal growth, guidance downgrades, declining headcount: How Indian IT majors fared in Q1  Analysts said the overall weak global macro and slow decision-making will likely feed into muted deal wins.  In such a scenario, the focus will shift entirely to turnaround initiatives and margin expansion strategies of CEO- Designate, Mohit Joshi, Kotak said.    The brokerage added that other key factors to watch will be the near-term growth outlook given by the firm, timing of divestments of low-margin businesses, health of deal pipeline and outlook for revenue growth in top telecom clients.  Most IT firms have posted lacklustre numbers for the June quarter, impacted by the recessionary headwinds in Europe and US &ndash; the bread-and-butter markets for the domestic IT players.  &ldquo;We expect macro-related uncertainty, likely slowdown in tech spends and supply-side pressure to impede growth in the near-term at least in 2 more quarters,&rdquo; brokerage Ashika said in a recent report.  The top five Indian IT companies (by market capitalisation) have seen their sequential revenue growth on a constant currency basis at anywhere between -2.8 percent and 1 percent, a far cry from the high single-digit and double-digit growth seen last year. The biggest shocker, however, was Infosys&rsquo; sharp guidance cut for the year from 4-7 percent to 1-3.5 percent.  Disclaimer: The views and investment tips expressed by experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Result Poll, Tech Mahindra",https://www.moneycontrol.com//news/result-poll/tech-mahindra-q1-preview-net-profit-expected-to-declinemacro-headwinds_17131231.html
9,TM4,2023-07-10T12:58:01+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Neutral Tech Mahindra; target of Rs 1110: Motilal Oswal,"Motilal Oswal recommended Neutral rating on Tech Mahindra with a target price of Rs 1110 in its research report dated July 10, 2023.","Motilal Oswal's research report on Tech Mahindra Tech Mahindra&rsquo;s (TECHM) FY23 annual report highlights that the inflationary environment has led to a massive shift in tech spending by enterprises. The spending is now finding its way through conserving resources and optimizing costs. Enterprises continue to accelerate the adoption of new-age technologies to drive innovation and enable a new operating model for making it consumer centric and agile. For 5G technology, which is still emerging and relatively new, TECHM has established a leadership team in the space, and its 5G-related revenue crossed USD1b in FY23. In FY23, TECHM reported new deal TCV of USD2.9b (book-to-bill of 0.4x), with a major proportion of digital transformation projects. Given a delay in decision making amid adverse macros, the conversion remains a challenge in the near to-medium term. Outlook Considering the near-term weakness, we await greater comfort on sustainable and profitable growth. We value the stock at 16x FY25E EPS. We maintain our Neutral rating. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Tech Mahindra - 10 -07 - 2023 - moti","Motilal Oswal, neutral, Recommendations, Tech Mahindra",https://www.moneycontrol.com//news/recommendations/neutral-tech-mahindra-targetrs-1110-motilal-oswal_17107151.html
