,company,datePublished,author,headline,description,articleBody,tags,url
0,TW02,2017-11-02T21:12:18+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}","Todays Writing Instruments 25th AGM held on November 30, 2017","This is to inform you that the 25th Annual General Meeting (AGM) of the Company will be held on Thursday, November 30, 2017 at 10.00 a.m. at the Registered office of the Company.","This is to inform you that the 25th Annual General Meeting (AGM) of the Company will be held on Thursday, 30th November 2017 at 10.00 a.m. at the Registered office of the Company at Survey No. 251/2, Valsad Falia, Near Jain Temple, Dadra,  Dadra Nagar Haveli, (U.T.)- 396193.  A copy of the notice of the AGM is attached herewith for your information and record. The Register of Members and Share Transfer books of the Company shall remain closed from Sunday, 26th November 2017 to Wednesday, 29th November 2017(both days inclusive).  Further, pursuant to the provisions of Regulation 44 of SEBI (Listing Obligations and Disclosure Requirements), Regulations 2015 read with Section 108 of the Companies Act, 2013 and the Rules made thereunder, the Company is pleased to provide its members, the facility to exercise their right to vote at the 25th AGM by electronic means (remote e-voting) and the business may be transacted through e-voting services provided by National Securities Depository Limited (NSDL).The voting period begins on Sunday, 26th November 2017 at 9.00 a.m to Wednesday, 29th November 2017 at 5.00 p.m. During this period shareholders' of the Company, holding shares either in physical form or in dematerialized form, as on the cut-off date (record date) i.e Thursday 23rd November 2017  may cast their vote electronically. The e-voting module shall be disabled by NSDL for voting thereafter. Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/todays-writing-instruments-25th-agm-heldnovember-30-2017_9976501.html
1,TW02,2017-08-14T12:16:45+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Todays Writing: Outcome of Board Meeting,"This is to inform you that the Board of Directors of the Company have duly approved the  Un-Audited financial results for the quarter ended 30th June, 2017 in their meeting held on 12th August,2017. Please find enclosed the Un-Audited Financial results along with limited review report for your record","This is to inform you that the Board of Directors of the Company have duly approved the  Un-Audited financial results for the quarter ended 30th June, 2017 in their meeting held on 12th August,2017. Please find enclosed the Un-Audited Financial results along with limited review report for your recordSource : BSE",Announcements,https://www.moneycontrol.com//news/announcements/todays-writing-outcomeboard-meeting_9475181.html
2,TW02,2017-05-30T20:40:21+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Todays Writing: Outcome of board meeting,"This is to inform you that the outcome of board meeting to be held on May 30, 2017.",Outcome of Board Meeting held on 30/05/2017.Source : BSE,Announcements,https://www.moneycontrol.com//news/announcements/todays-writing-outcomeboard-meeting_8999181.html
3,TW02,2015-09-23T21:44:33+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Todays Writing Instruments appoints Rajiv Drolia as CFO,Todays Writing Instruments has informed that Mr. Rajiv Drolia has been appointed on the Board of the Company as the Chief Financial Officer and he shall hold office in the capacity of a whole time key managerial personnel of the Company.,Todays Writing Instruments Ltd has informed BSE that Mr. Rajiv Drolia has been appointed on the Board of the Company as the Chief Financial Officer and he shall hold office in the capacity of a whole time key managerial personnel of the Company.Source : BSE Read all announcements in Todays Writing,Announcements,https://www.moneycontrol.com//news/announcements/todays-writing-instruments-appoints-rajiv-drolia-as-cfo_3225981.html
4,TW02,2015-07-29T11:41:18+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Todays Writing Instruments' board meeting on August 07, 2015","Todays Writing Instruments Ltd has informed BSE that a meeting of the Board of Directors of the Company will be held on August 07, 2015, to consider, approve and take on record the Un-Audited Financial Results of the Company for the first quarter of FY 2015-16 ended on June 30, 2015.","Todays Writing Instruments Ltd has informed BSE that a meeting of the Board of Directors of the Company will be held on August 07, 2015, inter alia, to:1. Consider, approve and take on record the Un-Audited Financial Results of the Company for the first quarter of FY 2015-16 ended on June 30, 2015.2. To declare/recommend Dividend for FY 2014-15, if any.Further, pursuant to the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations, 1992, the trading window for dealing in the Company's securities shall remain closed from July 29, 2015 till 48 hours after the financial results are made public on August 07, 2015.Source : BSE Read all announcements in Todays Writing",Announcements,https://www.moneycontrol.com//news/announcements/todays-writing-instruments-board-meetingaugust-07-2015_2209921.html
5,TW02,2015-04-15T11:08:52+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Todays Writing Instruments enters in to OTS with ICICI Bank,Todays Writing Instruments has entered in to one time settlement (OTS) with ICICI Bank (one of the secured creditor).,"Todays Writing Instruments Ltd has informed BSE that the Company Todays Writing Instruments Limited, has entered in to one time settlement (OTS) with ICICI Bank (one of the secured creditor). Further, the Company informed that this is not a material event, as on a stand alone basis, this settlement has no relevance unless the Company enters in to a settlement with all the secured and unsecured lenders and also obtains a Draft Rehabilitation scheme approved by BIFR.Source : BSE Read all announcements in Todays Writing",Announcements,https://www.moneycontrol.com//news/announcements/todays-writing-instruments-entersto-otsicici-bank_1358031.html
6,TW02,2015-03-16T22:14:32+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Todays Writing Instruments company secretary &amp;amp; CO Bhavika Shah resign.,"Todays Writing Instruments has informed that Ms. Bhavika Shah, Company Secretary of the Company has resigned from the Company. Consequent to her resignation as Company Secretary, Ms. Bhavika Shah ceases to be Compliance Officer of the Company.","Todays Writing Instruments Ltd has informed BSE that Ms. Bhavika Shah, Company Secretary of the Company has resigned from the Company. Consequent to her resignation as Company Secretary, Ms. Bhavika Shah ceases to be Compliance Officer of the Company.Source : BSE Read all announcements in Todays Writing",Announcements,https://www.moneycontrol.com//news/announcements/todays-writing-instruments-company-secretaryco-bhavika-shah-resign_1331047.html
7,TW02,2015-02-19T22:30:35+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Todays Writing Instruments: Outcome of board meeting,"Todays Writing Instruments has informed that Mr. Rahul Gupta, Non-Executive- Independent Director of the Company has resigned from the Board vide his letter dated February 14, 2015 due to other pre-occupations. The Board has accepted his resignation in the meeting held on February 14, 2015.","Todays Writing Instruments Ltd has informed BSE that Mr. Rahul Gupta, Non-Executive- Independent Director of the Company has resigned from the Board vide his letter dated February 14, 2015 due to other pre-occupations. The Board has accepted his resignation in the meeting held on February 14, 2015.Further, as per the provisions of the Companies Act, 2013, rules made there and the Listing Agreement, Ms. Shilpa Joshi has been appointed as additional (Independent) Director. She will also serve as the Woman Director on the Board in compliance with and subject to the said provisions.Source : BSE Read all announcements in Todays Writing",Announcements,https://www.moneycontrol.com//news/announcements/todays-writing-instruments-outcomeboard-meeting_1308616.html
8,TW02,2014-09-11T14:31:48+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Todays Writing's AGM adjourned,"Todays Writing Instruments Ltd has informed BSE that 22nd Annual General Meeting of the Company scheduled on September 11, 2014 has been adjourned for the want of requisite quorum to the same day in the next week at the same time and place i.e. September 18, 2014.","Todays Writing Instruments Ltd has informed BSE that 22nd Annual General Meeting of the Company scheduled on September 11, 2014 has been adjourned for the want of requisite quorum as required under Section 103(1)(2)(a) of the Companies Act, 2013 to the same day in the next week at the same time and place i.e. September 18, 2014 at 10.00 a.m at the Registered Office of the Company at Survey No.251/2, Valsad Falia, Near Jain Temple, Dadra Nagar Haveli, (U.T) - 396193.Source : BSE Read all announcements in Todays Writing",Announcements,https://www.moneycontrol.com//news/announcements/todays-writings-agm-adjourned_1176419.html
9,TW02,2014-02-14T19:28:26+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Todays Writing standalone Dec '13 sales at Rs 12.81 crore,Todays Writing Instruments has reported a standalone sales turnover of Rs 12.81 crore and a net loss of Rs 2.83 crore for the quarter ended Dec '13,"Todays Writing Instruments has reported a standalone sales turnover of Rs 12.81 crore and a net loss of Rs 2.83 crore for the quarter ended Dec '13. Other income for the quarter was Rs 0.38 crore.For the quarter ended Dec 2012 the standalone sales turnover was Rs 13.16 crore and net loss was Rs 3.57 crore, and other income Rs 0.33 crore.Todays Writing shares closed at 2.30 on February 12, 2014 (NSE)Todays Writing InstrumentsStandalone Quarterly Results-------- in Rs. Cr. --------Dec '13Sep '13Jun '13Sales Turnover12.8114.2611.09Other Income0.380.360.36Total Income13.1914.6311.45Total Expenses12.8013.8111.39Operating Profit0.010.45-0.30Profit On Sale Of Assets------Profit On Sale Of Investments------Gain/Loss On Foreign Exchange------VRS Adjustment------Other Extraordinary Income/Expenses------Total Extraordinary Income/Expenses------Tax On Extraordinary Items------Net Extra Ordinary Income/Expenses------Gross Profit0.390.810.06Interest2.842.852.81PBDT-2.45-2.03-2.75Depreciation0.380.540.54Depreciation On Revaluation Of Assets------PBT-2.83-2.57-3.29Tax------Net Profit-2.83-2.57-3.29Prior Years Income/Expenses------Depreciation for Previous Years Written Back/ Provided------Dividend------Dividend Tax------Dividend (%)------Earnings Per Share------Book Value------Equity12.8112.8112.81Reserves------Face Value10.0010.0010.00Source :  Dion Global Solutions Limited","Printing & Stationery, Results, Todays Writing, Todays Writing Instruments",https://www.moneycontrol.com//news/results/todays-writing-standalone-dec-13-sales-at-rs-1281-crore_1043499.html
