,company,datePublished,author,headline,description,articleBody,tags,url
0,UA01,2017-08-24T15:57:11+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Usher Agro's director Ajay Sharma resigns,"Pursuant to the provisions of Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, we wish to inform you that Mr. Ajay Sharma, Non Executive Nominee Director has tendered his resignation from the directorship of the company with effect from the August 22, 2017.","Pursuant to the provisions of Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, we wish to inform you that Mr. Ajay Sharma, Non Executive Nominee Director has tendered his resignation from the directorship of the company with effect from the August 22, 2017.Source : BSE",Announcements,https://www.moneycontrol.com//news/announcements/usher-agro39s-director-ajay-sharma-resigns_9540901.html
1,UA01,2017-02-03T15:24:52+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Usher Agro's board meeting on February 14, 2017","Usher Agro Ltd has informed BSE that a Meeting of the Board of Directors of the Company is scheduled to be held on February 14, 2017, inter alia, to consider and approve Unaudited Financial Results of the Company for the Third Quarter ended December 31, 2016.","Usher Agro Ltd has informed BSE that a Meeting of the Board of Directors of the Company is scheduled to be held on February 14, 2017, inter alia, to consider and approve Unaudited Financial Results of the Company for the Third Quarter ended December 31, 2016.Further, the Trading Window for the purpose of transacting in the Company's shares will remain closed with effect from February 03, 2017 till the expiry of 48 hours after the declaration of financial results.Source : BSE Read all announcements in Usher Agro",Announcements,https://www.moneycontrol.com//news/announcements/usher-agros-board-meetingfebruary-14-2017_8422441.html
2,UA01,2016-12-08T22:08:27+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Usher Agro: Outcome of board meeting,"Usher Agro has informed about Outcome of Board Meeting held on December 08, 2016.","Usher Agro Ltd has informed BSE about Outcome of Board Meeting held on December 08, 2016.Source : BSE Read all announcements in Usher Agro",Announcements,https://www.moneycontrol.com//news/announcements/usher-agro-outcomeboard-meeting_8088321.html
3,UA01,2016-12-07T15:28:41+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Usher Agro's board meeting on December 08, 2016","Usher Agro Ltd has informed BSE that a Meeting of the Board of Directors of the Company is scheduled to be held at Short Notice on December 08, 2016, inter alia, to consider and approve the allotment of equity shares to the lenders in pursuance of invocation of SDR Scheme.","Usher Agro Ltd has informed BSE that a Meeting of the Board of Directors of the Company is scheduled to be held at Short Notice on December 08, 2016, inter alia, to consider and approve the allotment of equity shares to the lenders in pursuance of invocation of SDR Scheme.Further, the Trading Window for the purpose of transacting in the Company's shares will remain closed with effect from December 07, 2016 to December 09, 2016 (both days inclusive).Source : BSE Read all announcements in Usher Agro",Announcements,https://www.moneycontrol.com//news/announcements/usher-agros-board-meetingdecember-08-2016_8079361.html
4,UA01,2016-08-31T22:06:44+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Usher Agro: Outcome of board meeting,"Usher Agro has informed regarding Outcome of Board Meeting held on August 31, 2016.","Usher Agro Ltd has informed BSE regarding Outcome of Board Meeting held on August 31, 2016.Source : BSE Read all announcements in Usher Agro",Announcements,https://www.moneycontrol.com//news/announcements/usher-agro-outcomeboard-meeting_7383941.html
5,UA01,2016-06-24T13:14:50+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Usher Agro's EGM on July 20, 2016","Usher Agro Ltd has informed BSE that the Extra Ordinary General Meeting (EGM) of the Company will be held on July 20, 2016.","Usher Agro Ltd has informed BSE that the Extra Ordinary General Meeting (EGM) of the Company will be held on July 20, 2016.Source : BSE Read all announcements in Usher Agro",Announcements,https://www.moneycontrol.com//news/announcements/usher-agros-egmjuly-20-2016_6924201.html
6,UA01,2016-06-17T12:32:57+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Usher Agro's board meeting on June 20, 2016","Usher Agro Ltd has informed BSE that a meeting of the Board of Directors of the Company will be held on June 20, 2016, to finalise the appointment of new Auditor and decide the date of EGM to fill the casual vacancy caused by resignation of Statutory Auditor.","Usher Agro Ltd has informed BSE that a meeting of the Board of Directors of the Company will be held on June 20, 2016, inter alia, to finalise the appointment of new Auditor and decide the date of EGM to fill the casual vacancy caused by resignation of Statutory Auditor.Source : BSE Read all announcements in Usher Agro",Announcements,https://www.moneycontrol.com//news/announcements/usher-agros-board-meetingjune-20-2016_6883281.html
7,UA01,2016-05-25T15:24:42+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Usher Agro's board meeting on May 30, 2016","Usher Agro Ltd has informed BSE that a meeting of the Board of Directors of the Company is scheduled to be held on May 30, 2016, inter alia, to consider and approve Audited Financial Results of the Company for the Year ended March 31, 2016.&amp;lt;","Usher Agro Ltd has informed BSE that a meeting of the Board of Directors of the Company is scheduled to be held on May 30, 2016, inter alia, to consider and approve Audited Financial Results of the Company for the Year ended March 31, 2016.Further, the Trading Window for the purpose of transacting in the Company",Announcements,https://www.moneycontrol.com//news/announcements/usher-agros-board-meetingmay-30-2016_6743601.html
8,UA01,2015-10-23T14:16:26+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Usher Agro in agreement with Al Mada Project Management Company and Sohar Food Cluster Company LLC,"Usher Agro subsidiary Usher Worldwide FZE and Prime Trading Company signed a joint venture agreement with Al Mada Project Management Company and Sohar Food Custer Company LLC for setting up rise and pulses storage, processing and packaging facility at port of Sohar.","Usher Agro Ltd has informed BSE regarding &amp;quot;Usher Agro Limited, Al Mada Project Management Company and Sohar Food Cluster Company LLC signed a Joint Venture Agreement to setup a rice and pulses distribution hub at Port of Sohar&amp;quot;.Source : BSE Read all announcements in Usher Agro",Announcements,https://www.moneycontrol.com//news/announcements/usher-agroagreemental-mada-project-management-companysohar-food-cluster-company-llc_3745661.html
9,UA01,2014-02-12T19:10:06+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Usher Agro standalone Dec '13 sales at Rs 277.79 crore,Usher Agro has reported a sales standalone turnover of Rs 277.79 crore and a net profit of Rs 16.73 crore for the quarter ended Dec '13,"Usher Agro has reported a standalone sales turnover of Rs 277.79 crore and a net profit of Rs 16.73 crore for the quarter ended Dec '13. Other income for the quarter was Rs 1.97 crore.For the quarter ended Dec 2012 the standalone sales turnover was Rs 248.51 crore and net profit was Rs 13.73 crore, and other income Rs 0.40 crore.Usher Agro shares closed at 34.10 on February 11, 2014 (NSE) and has given 9.29% returns over the last 6 months and -42.06% over the last 12 months.Usher AgroStandalone Quarterly Results-------- in Rs. Cr. --------Dec '13Sep '13Jun '13Sales Turnover277.79245.85235.47Other Income1.970.45-0.46Total Income279.77246.30235.01Total Expenses240.72212.13201.68Operating Profit37.0733.7233.79Profit On Sale Of Assets------Profit On Sale Of Investments------Gain/Loss On Foreign Exchange------VRS Adjustment------Other Extraordinary Income/Expenses------Total Extraordinary Income/Expenses------Tax On Extraordinary Items------Net Extra Ordinary Income/Expenses------Gross Profit39.0434.1733.33Interest15.3314.8313.58PBDT23.7219.3319.75Depreciation3.783.773.62Depreciation On Revaluation Of Assets------PBT19.9415.5616.13Tax3.213.898.58Net Profit16.7311.677.55Prior Years Income/Expenses------Depreciation for Previous Years Written Back/ Provided------Dividend------Dividend Tax------Dividend (%)------Earnings Per Share4.403.071.98Book Value------Equity38.0638.0638.06Reserves278.87290.54278.87Face Value10.0010.0010.00Source :  Dion Global Solutions Limited","Food Processing, Results, Usher Agro",https://www.moneycontrol.com//news/results/usher-agro-standalone-dec-13-sales-at-rs-27779-crore_1041843.html
