,company,datePublished,author,headline,description,articleBody,tags,url
0,UI17,2017-05-15T20:59:11+05:30,"{'@type': 'Person', 'name': 'BSE Notices'}",Unity Infraproj: Outcome of board meeting,"Pursuant to Regulation 30(2) of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, the outcome of the Board of Directors meeting held on 15th May, 2017.","Pursuant to Regulation 30(2) of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, the outcome of the Board of Directors meeting held on 15th May, 2017 is enclosed herewithSource : BSE",Announcements,https://www.moneycontrol.com//news/announcements/unity-infraproj-outcomeboard-meeting_9031041.html
1,UI17,2017-01-30T14:08:14+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Unity Infraprojects' independent directors meeting on February 10, 2017","Unity Infraprojects Ltd has informed BSE that a meeting of the Independent Directors of the Company is scheduled to be held on February 10, 2017 at 11.00 a.m. at Registered Office of the Company at 1252, Pushpanjali Apartments, Old Prabhadevi Road, Prabhadevi, Mumbai- 400025.","Unity Infraprojects Ltd has informed BSE that a meeting of the Independent Directors of the Company is scheduled to be held on February 10, 2017 at 11.00 a.m. at Registered Office of the Company at 1252, Pushpanjali Apartments, Old Prabhadevi Road, Prabhadevi, Mumbai- 400025.Source : BSE Read all announcements in Unity Infraproj",Announcements,https://www.moneycontrol.com//news/announcements/unity-infraprojects-independent-directors-meetingfebruary-10-2017_8369401.html
2,UI17,2016-12-14T21:35:32+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Unity Infraprojects: Outcome of board meeting,"Unity Infraprojects has informed about Outcome of Board Meeting held on December 14, 2016.","Unity Infraprojects Ltd has informed BSE about Outcome of Board Meeting held on December 14, 2016.Source : BSE Read all announcements in Unity Infraproj",Announcements,https://www.moneycontrol.com//news/announcements/unity-infraprojects-outcomeboard-meeting_8115821.html
3,UI17,2016-09-21T15:50:22+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Unity Infraprojects: Outcome of AGM,"Unity Infraprojects Ltd has informed BSE that the 19th Annual General Meeting (AGM) of the Company was held on September 21, 2016.","Unity Infraprojects Ltd has informed BSE that the 19th Annual General Meeting (AGM) of the Company was held on September 21, 2016.Source : BSE Read all announcements in Unity Infraproj",Announcements,https://www.moneycontrol.com//news/announcements/unity-infraprojects-outcomeagm_7492561.html
4,UI17,2016-05-23T14:29:57+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Unity Infraprojects' board meeting on May 30, 2016","Unity Infraprojects Ltd has informed BSE that a meeting of the Board of Directors of the Company is scheduled to be held on May 30, 2016, to consider, approve and take on record the Audited Financial Results of the Company for the quarter / year ended March 31, 2016.","Unity Infraprojects Ltd has informed BSE that a meeting of the Board of Directors of the Company is scheduled to be held on May 30, 2016, to consider, approve and take on record the Audited Financial Results of the Company for the quarter / year ended March 31, 2016.Source : BSE Read all announcements in Unity Infraproj",Announcements,https://www.moneycontrol.com//news/announcements/unity-infraprojects-board-meetingmay-30-2016_6723121.html
5,UI17,2016-03-31T15:50:14+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Unity Infraprojects: Outcome of board meeting,"Unity Infraprojects Ltd has informed BSE that the Board of Directors of the Company at its meeting held on March 31, 2016, has considered, issued &amp;amp; allotted 44,83,206 equity shares of Rs 2 each at a price of Rs 27.52 per share to CDR lenders on preferential basis on Conversion of interest on FITL as per CDR Scheme.","Unity Infraprojects Ltd has informed BSE that the Board of Directors of the Company at its meeting held on March 31, 2016, inter alia, has considered and approved the following:1. Considered, issued &amp;amp; allotted 44,83,206 equity shares of Rs. 2/- each at a price of Rs. 27.52 per share to CDR lenders on preferential basis on Conversion of interest on FITL as per CDR Scheme.2. Considered and taken on record that the Joint Lenders Forum (JLF) at its meeting held on March 29, 2016 have approved in &amp;quot;In principle&amp;quot; the decision for invocation of Strategic Debt Restructuring (SDR) pursuant to RBI Circular dated June 08, 2015.3. Considered conversion of FITL into Equity pursuant to invocation of Strategic Debt Restructuring (SDR).4. Considered and approved to take Postal Ballot for obtaining Shareholders approval.Source : BSE Read all announcements in Unity Infraproj",Announcements,https://www.moneycontrol.com//news/announcements/unity-infraprojects-outcomeboard-meeting_6082021.html
6,UI17,2016-03-23T13:06:37+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Unity Infraprojects' board meeting on March 31, 2016","Unity Infraprojects Ltd has informed BSE that a meeting of the Board of Directors of the Company will be held on March 31, 2016, to consider, issue and allot equity shares to CDR Lenders against conversion of interest on FITL into equity pursuant to CDR Scheme.","Unity Infraprojects Ltd has informed BSE that a meeting of the Board of Directors of the Company will be held on March 31, 2016,  inter-alia to consider, issue and allot equity shares to CDR Lenders against conversion of interest on FITL into equity pursuant to CDR Scheme.The Trading Window for dealing in securities of the Company will be closed for Promoters, Directors, Officers and designated Employees of the Company from March 23, 2016 to April 02, 2016 (both days inclusive) pursuant to the provisions of SEBI(Prohibition of Insider Trading) Regulations, 2015.Source : BSE Read all announcements in Unity Infraproj",Announcements,https://www.moneycontrol.com//news/announcements/unity-infraprojects-board-meetingmarch-31-2016_5991141.html
7,UI17,2015-12-24T21:03:22+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Unity Infraprojects board meeting on Dec 31, 2015","Unity Infraprojects' board meeting will be held on December 31, 2015, inter alia, to consider, issue and allot equity shares to CDR Lenders against conversion of FITL interest into equity pursuant to CDR Scheme.","Unity Infraprojects Ltd has informed BSE that a meeting of the Board of Directors of the Company will be held on December 31, 2015, inter alia, to consider, issue and allot equity shares to CDR Lenders against conversion of FITL interest into equity pursuant to CDR Scheme.Source : BSE Read all announcements in Unity Infraproj",Announcements,https://www.moneycontrol.com//news/announcements/unity-infraprojects-board-meetingdec-31-2015_4731181.html
8,UI17,2015-09-30T21:36:14+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Unity Infraprojects: Outcome of board meeting,"Unity Infraprojects in its meeting held on September 30, 2015, has considered and approved and Considered, issued &amp;amp; allotted 83,56,176 equity shares of Rs. 2/- each at a price of Rs. 27.52/- per share to CDR lenders on preferential basis on Conversion of interest on FITL as per CDR Scheme.","Unity Infraprojects Ltd has informed BSE that the Board of Directors of the Company at its meeting held on September 30, 2015, has considered and approved the followings:1. Considered, issued &amp;amp; allotted 83,56,176 equity shares of Rs. 2/- each at a price of Rs. 27.52/- per share to CDR lenders on preferential basis on Conversion of interest on FITL as per CDR Scheme.2. Considered and approved to make reference to Reserve Bank of India under Structural Debt Restructuring.Source : BSE Read all announcements in Unity Infraproj",Announcements,https://www.moneycontrol.com//news/announcements/unity-infraprojects-outcomeboard-meeting_3356121.html
9,UI17,2015-09-22T16:03:37+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}","Unity Infraprojects' board meeting on September 30, 2015","Unity Infraprojects Ltd has informed BSE that a meeting of the Board of Directors of the Company will be held on September 30, 2015, to consider, issue and allot equity shares to CDR Lenders pursuant to CDR Scheme.","Unity Infraprojects Ltd has informed BSE that a meeting of the Board of Directors of the Company will be held on September 30, 2015, to consider, issue and allot equity shares to CDR Lenders pursuant to CDR Scheme.Source : BSE Read all announcements in Unity Infraproj",Announcements,https://www.moneycontrol.com//news/announcements/unity-infraprojects-board-meetingseptember-30-2015_3194081.html
10,UI17,2015-09-21T22:28:53+05:30,"{'@type': 'Person', 'name': 'webtech_news18'}",Unity Infraproj: Outcome of AGM,"Unity Infraprojects has informed that the 18th Annual General Meeting (AGM) of the Company was held on September 21, 2015.","Unity Infraprojects Ltd has informed BSE that the 18th Annual General Meeting (AGM) of the Company was held on September 21, 2015.Source : BSE Read all announcements in Unity Infraproj",Announcements,https://www.moneycontrol.com//news/announcements/unity-infraproj-outcomeagm_3183101.html
